Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Sure Foot,https://www.trailjournals.com//journal/entry/554880,"Around the first of January I began hiking 5 or 6 times per week with about 30 lbs in my back pack. The average distance each day was 10 to 12 miles. My peak distance for 1 week was a little over 70 miles. I did nearly all my hiking in the Baytown Nature Center. Great place to visit,there are many different kinds of wild life that call it home. They include: many different kinds of birds, fish, snakes, rabbits, coyotes, and alligators. It's a nice quiet place to hike, very little car traffic on the roads and more than half of my hikes were on trails. The only drawback is that the nature center is flat. I also made 3 trips to West Texas to back pack this past year. I learned a great deal about the whole backpacking experience on these trips.","
",Baytown Nature Center,"Feb 20, Mon",12
Sure Foot,https://www.trailjournals.com//journal/entry/555084,"I flew from Hobby to Atlanta Airport today where I met my son, Terry. We traveled to Falls State Park and checked into the lodge. We took the trail where we climbed up 600 stairs to get to the lodge.We hiked the steepest part of the Springer Mountain approach trail getting up to the lodge. We've got two fewer miles to go tomorrow!",,Atlanta,"Feb 24, Fri",0
Sure Foot,https://www.trailjournals.com//journal/entry/555806,Terry and I left the Amicalola Falls State Park Lodge around 9 a.m. on Saturday morning we made it to the top of Springer Mountain and signed in on the book which starts my thru hike on the Appalachian Trail. We ended up hiking all the way to Hawk Mountain campsite which is about seven and a half miles up the Appalachian Trail from Springer Mountain. The first day was quite exciting lots of big Hills to climb and a lot of getting used to being on the trail. Because it was a weekend there were lots of other people on the trail not so many thru-hikers but a lot of day hikers. That is why we wound up going all the way to Hawk Mountain. this was the first available open Campground.," Amicalola Falls lodge
",hawk mountain campsite,"Feb 26, Sun",8
Sure Foot,https://www.trailjournals.com//journal/entry/555534,Camping tonight at justice Creek Campground.   there's 5 or 6 of us here. Met a nice fellow name Jay that is a through hiker. We all three hung our food bags together to keep them away from the bears. We made it about 8 miles today I think we were or I was tired from the 15 mile hike yesterday. We've know hiked about 15 miles on the AT.,"Hawk Mountain campsite
",Justus creek,"Feb 27, Mon",7
Sure Foot,https://www.trailjournals.com//journal/entry/555535,Terry and I hiked just about 10 miles today. We're spending the night at Lance Creek Campground. We're staying with several other hikers most notable Jay is here tonight. We hit it off with him and he's also through hiking. He's a little younger than me but he is retired. We got rained on all afternoon and been very chilly all day but beautiful scenery. Tomorrow we're headed over Blood Mountain which is going to be the highest mountain we traveled over since we started.   Will spend tomorrow night either at Neil's gap or we may go on to the next gap depends on how we feel in and how tough Blood Mountain is.,"Justus creek
",länce Creek ,"Feb 28, Tue",10
Sure Foot,https://www.trailjournals.com//journal/entry/555536,We made it over Blood Mountain about noon today.   Blood Mountain is the highest point on the at in Georgia.   It's supposed to have a great view but we were in fog all morning.   It was a heck of a climb up to the top and an equally scary descent.   Lots of the descent was over boulders that were wet and very slippery. We made it to Neel gap this afternoon and decided to stay in a hostel. It started raining about the time we got here and hasn't let up. There's room for 14 and is full up.   We did get a shower and we bough a bunch of junk food. Everyone's pigging out on frozen Pizza and sodas.   Yum!,"länce creek
",Neil's gap hostel,"Mar 01, Wed",7
Sure Foot,https://www.trailjournals.com//journal/entry/555433,"This has been a long longest day to date we covered 18 and a half miles today. We went all the way from Neil's gap to Blue Mountain we're only 2 miles from where we will get a lift into Hiawassee Georgia tomorrow. Shortly after, we got to Blue Mountain's shelter and the shelter was filled. A huge powerful thunderstorm blew in and blew Terry's tarps flat! He is sleeping in the shelter on the floor. My tent almost blew away because I hadn't gotten it fully staked down when the wind hit! Tt blew 50 to 60 miles an hour and lightning was hitting all over. Very good that we got here when we did! The weather appears to be moving on now. Everything in my tent surprisingly is dry so I'm in my tent tonight. We are now 50.2 miles from Springer Mountain where we started today. We did do a 18.51 miles and we climbed 4770 feet. We are also right on my schedule. We've also made friends with a couple people on the trail - we met Rooster and Hydrator. I'm not sure how Rooster got his name but Hydrator drinks about 6 liters of water a day. We also met Pacer and Monkey - Pacer got his name because he sets the pace for the two. These guys are brothers and Monkey got his name because he's a tree trimmer by trade. Terry has also hung a trail name on me, he's calling me Sure Foot now because of how slow I am when I come down steep windy and very wet mountain trails. Sorry I didn't get time to take any pictures tonight I'll try to get a few in the morning.","Neil's gap
", Blue Mountain shelter,"Mar 02, Thu",18.50
Sure Foot,https://www.trailjournals.com//journal/entry/555670,Terry and I went to town from Unicoi gap this morning. Hiawassee is a pretty little north Georgia town.   We spent the day washing clothes and shopping for trail food.   We also ate at Daniel's steak house. We spent the night in town and caught a ride back to Unicoi gap with a fellow we'd meet at the restaurant. He gave us his business card and told us to call him in the morning. He showed up in the morning and he wouldn't take money for the 14 mile drive to Unicoi.   He also had hiked hundreds of miles of the AT in Georgia and North Carolina. We learned alot about the trail from him.   His trail name is THE ENCOURAGER and he was our first Trail Angel. Hiawassee made a great impression on both of us.,"blue Mountain shelter
",Day 6 in Hiawassee resupply,"Mar 03, Fri",3
Sure Foot,https://www.trailjournals.com//journal/entry/555671,Our trail Angel Encourager suggested we extend our hike to Dicks gap and to stay at the Top of Georgia hostel. the temps tonight are dropping to a low of 14 deg. so we hiked 16.5 miles over Tray mountain which at 4500 feet is the second highest peak on the AT in Georgia.   We also hiked over a whole bunch of PUDs (Pointless ups and downs). Very tough day but the scenery was beautiful.   it was cold all day but the sun was out and when the trees or hills blocked the wind it was nearly perfect hiking conditions.   we got to the hostel by 530 this evening. my GPS tracker says we climbed over 5200 feet today and took 37000 plus steps. we are also less than 10 miles from the north Carolina state line.   we should be in a new state tomorrow evening!,"Unicoi gap
", Dicks Gap,"Mar 04, Sat",17
Sure Foot,https://www.trailjournals.com//journal/entry/555673,"Terry and I left Dicks gap about 830 and began our 9 miles walk to the north Carolina border.   we crossed the border about 2 and immediately began to notice how quickly the terrain was changing. 2 miles over the border,we began climbing sharp peak and then court house bald.   court house bald Tops out at 4800 feet,higher than any mountains we hiked over in Georgia.tonight we camping at muskrat creek with about 20 folks most of who are thru hikers. we sat around a fire talking and joking tonight just a great evening.there's a bitter sweet element, this is the last night Terry and i will camp together.   we'll hike to standing Indian mountain and then he's taking an alternate trail to standing Indian state park. survivor Dave is coming to pick him up Monday. we've had a great 9 days hiking 82 miles of the AT together.   I'll miss him a lot.","Dicks Gap
", Muskrat Creek shelter,"Mar 05, Sun",12
