Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Tigger,https://www.trailjournals.com//journal/entry/556386,"After several months of planning and preparation, I'm getting ready to start one of the greatest journey's of my life.....hiking the Appalachian trail. I start on Friday, March 17 going northbound (NOBO) from Springer Mountain Georgia. I have a lot of emotions stirring as I write this entry today because it's no longer a wish or a dream...it's for REAL! I want to invite everyone to join me on my journey through this trailjournals page.My goal is to ""pay it forward"" in my writing to all the wonderful folks who hiked the trail before me. 2016 thru hikers like Storm, Bunkie, Subman and Subs, Cheryl and Santa, Two Peas, Hazel, Terodactyle, Full Throttle and more. I followed each of their journey's on trailjournals last year and felt like I became part of their trail family. I want to paint the same picture for each of you and give real insights into what it's like on the Appalachian Trail. I hope you follow along over the next 5 months.I look forward to the journey ahead and will be adding a couple entry's before my start date to give more details on my background, gear, preparation, etc. In the meantime, please feel free to interact with me by signing the guest book on the left side. Your comments, feedback and encouragement will mean so much to me and I will do my best to write you back.Until next time.....Keith",,Katahdin Maine,"Mar 14, Tue",0
Tigger,https://www.trailjournals.com//journal/entry/556439,"I'm only 2 days away now from starting my AT adventure at Springer Mountain, Ga. I can't wait! I thought it would be a good time to talk about my planning and preparation for the trip as well.First and foremost, I could not start this great adventure without the love and support of my wife Cindy (pic). I've been lucky enough to be married to this wonderful women for 34 years. Believe me guys, I really married up! We have three grown children who are also cheering me on. Cindy will start the hike with me to Neel Gap and will join me every month or so for a few days. She will also be my support crew back home with food prep and resupply boxes. I couldn't do it without her!I also want to thank all my hiking friends from Dayton Hikers and the Miami Rivers Chapter of the Buckeye Trail Association. They have been so supportive and encouraging which has meant the world to me. We have spent many days and hours on the trail including several AT section hikes over the past couple of years. We're really blessed to have such a great hiking/backpacking community in Southwest Ohio. Again, I welcome everyone reading this journal to become part of my extended trail family. I want you to feel that my success on the trail will be your success too. I will need all of your love and support for sure! Please keep in touch with me often by adding a note in the guestbook on the left. In return, I'll do my best to bring the Appalachian Trail to life for each of you in my daily journals. Until tomorrow.....The Mountains are Calling!Keith","Springer Mountain Georgia
",Katahdin Maine,"Mar 15, Wed",0
Tigger,https://www.trailjournals.com//journal/entry/556602,"The time is finally here....we're on our way to Springer Mountain, Ga. today. We're leaving Cincinnati around 6:00 AM and traveling directly to Amicalola Falls to register at the Visitor Center. My wife Cindy is joining me for the first 3 days from Springer to Neel Gap. I'm sure it will be tough to part ways come Monday morning.We made arrangements to stay in Dahlonega tonight which is only 30 minutes from Amicalola and Neel Gap. We're going to park our car at Neel Gap and have a shuttle driver take us back to the Springer Mountain trailhead to start. That way we're hiking back to the car instead of Cindy having to shuttle herself on Monday morning. If all goes to plan we'll be staying at Hawk Mountain campsites on Friday evening, the Hiker Hostel near Woody Gap on Saturday and Blood Mountain Cabins on Sunday evening. I know this is a ""cushy"" way to start, but I thought it would be a better experience for Cindy at the start and provides even more trail memories. After that, I will look forward to finding and developing a new trail family with folks who are just starting out like me. That will be pretty cool.Looking forward to the day ahead. Kind of like a kid at Christmas to be honest? Springer, here we come!Until next time.....The Mountains are CallingKeith","Springer Mountain Georgia
",Katahdin Maine,"Mar 16, Thu",0
Tigger,https://www.trailjournals.com//journal/entry/556754,"We had a great day and great start to my Appalachian Trail Journey. First, we had to make it to the Springer Mountain trailhead which is essentially an up and back for the first official mile of the AT. We met our shuttle driver at Neel Gap around 8am after spending the night in nearby Dahlonega, Ga. We had a bit of a scare on the way over when a car pulled out right in front of us and missing us by inches. That would have been quite a start to my AT journey. We met Ms. Dixie Wisser at the Gap and she was sweet as could be. She was subbing for her husband Wes who was dealing with some health issues. The ride over to Springer trailhead was on an old gravel forest road that had what seemed like a record number of potholes and bumps. I was bouncing around in the back like a kids inflatable bouncy house. The 90 minute ride took years off my life for sure. Ms. Dixie never stopped talking the entire trip, but she was delightful. We had decided ahead of time to not kill ourselves on the first day. I hiked with Cindy the entire day and enjoyed the time immensely. We found a great spot in a beautiful pine forest for lunch which was awesome. The trail was as easy as its going to get today which made for a nice warmup. We made it to Hawk Mountain Shelter at the 8.1 mile marker and set up our tent nearby for the night. We have approximately 25 other hikers her tonight from all over. Cindy and I had dinner at the shelter with several other thru hikers. We spent a lot of time reflecting on this experience and everyone shared why they're hiking the AT. I was impressed by the honest emotion that each person shared and what brought them to the trail. We have already met some very cool people which I know will be the favorite part of my journey. Some hiker names include Growler from Plymoth, Mass. (he loves craft beer) and Rolling Stone from Florida. Most of us don't have trail names yet, but it will come soon I'm sure. It's well past hikers midnight (8pm), so I'm going to hit the hay. We have 13 miles to complete tomorrow in order to get to Woody Gap. The forecast is calling for rain overnight with possible thunderstorm in the morning. Looks like we'll be breaking down camp in the rain. Oh well. Thanks to everyone who has posted a note so far in my guestbook. It is greatly appreciated and very encouraging for sure.Until next time.....The Mountains are CallingKeith","Springer Mountain
",Hawk Mountain Shelter,"Mar 17, Fri",8.10
Tigger,https://www.trailjournals.com//journal/entry/556831,"Another glorious day on the trail as we hiked 12.5 miles from Hawk Mountain Shelter to Woody Gap. We woke this morning to a heavy fog after some overnight rain. Thankfully the temps stayed in the mid 40's overnight which made for a very pleasant start. The initial part of today's hike was downhill with lots of rocks and mud. We had the first climbs of the trip up Sassafras Mountain and Justus Mountain. Sassafras had an elevation gain of 700 ft over 1 mile and Justus was straight up over .5 miles. It wasn't nearly as touch as the 1900 ft climb in the Smokies last month on my final shakedown hike. Thankfully the fog burned off just before noon and it turned out to be a splendid day. We stopped for lunch at Gooch Mountain Shelter where I set up my tent to dry out. Two new thru hiker friends that we met last night at Hawk Mountain Shelter rolled in just after lunch (See Pic under photos tab on left). Carla and Sprinkle are from Scranton, Pa. and appear quite delightful. Cindy and I had the distinct pleasure of giving Sprinkle her triail name last night. Trail names happen by chance on the trail when a certain event occurs or story is told. It can't be forced, but happens organically. She loved the name and from now on will be called Sprinkle on the trail. These girls are very positive and good to have around.The coolest thing today was walking into a huge trail magic gathering at Gooch Gap. For friends and family who are new to hiking, trail magic is a single person or group that comes together on the trail and provides food, drinks, snacks and moral support. It is usually done by former thru hikers or church groups. It truly is magical and so appreciated. Today's trail magic was hosted by Geek and Boudain who through hiked the AT in 1990. Since 2002 they come back every St. Patty's Day weekend to host this event. Cindy an I really enjoyed all the good eats and beverage. Awesome!More funny stories from the trail...I ran into a group of Boy Scouts who were on an overnight backpacking trip. One young man who was probably 12 was very curious about my journey. After answering the usual questions of distance, how long it takes, etc., he finally said, ""are you going to see Travis Pastrana? Do you know who he is? I said that I remember him from the X Games years ago and all his triicks on a dirt bike, but still not sure where this conversation was going. The scout then told me that this guy lives in Maine and he has broken 53 bones. In the moment, it was so funny and unexpected on the trail. The second funny story was when I ran into a 20 something guy on the trail and asked about his trail name U-Turn. It turns out that he started a thru hike last year and went the wrong way on the first mile of the trail. That would be very hard to do.Spending the night at the Hiker Hostel which is 7 miles east of Woody Gap. They offer a free pickup at the trailhead and back to the trail tomorrow along with a big hiker breakfast. You can't beat that? Total of 23 people staying here tonight. It is a 5 star hostel for sure. Hiking up Blood Mountain tomorrow and up to Neel Gap.Until next time....Keith","Hawk Mountain Shelter
",Woody Gap,"Mar 18, Sat",12.50
Tigger,https://www.trailjournals.com//journal/entry/556937,"Great stay last night at the Hiker Hostel near Woody Gap. It is a 5 star hostel for sure and is more like a B&B than hostel. They put on a huge hiker breakfast this morning which fueled us well for the day. They dropped us back at the Woody Gap trailhead and we were on our way.Today was Blood Mountain day and I had heard for years how hard of a climb it would be. It has a 1600 ft elevation gain over 5 miles. The initial climb is very gradual with a sharp 800 ft climb over the last mile. Quite honestly the climb was a lot easier than yesterday's climb up Sassafras Mountain. We were blessed with a magnificent sunny day and endless views. The real prize was getting to the top of Blood Mountain. You could see forever in all directions from 4457 feet in the sky. Blood Mountain Shelter is the oldest shelter on the AT with stone walls and old wooden beams in the ceiling. Pretty cool to see. The final 2.4 miles was a steep, rocky downhill. We had to climb up and down boulders and large rock steps much of the way. We made it down to Neels Gap and had a chance to go into the famous outfitter, Mountain Crossings. It's a full service outfittter with anything a hiker would ever need along with a hiker hostel. We picked up some soft drinks and snacks for the night. We're staying at Blood Mountain cabins at Neel Gap tonight. This is Cindy's last night on the trail and I wanted her to have a nice treat. The cabins are rustic, but well equipped. They even make pizzas for you and have free laundry if you want it (great for stinky hikers). Looking forward to a good nights rest and feel spoiled to spend the last 2 nights in such nice accommodations. This is only short lived since Cindy leaves in the morning. It will sad to see my honey of almost 34 years leave. We had a great time together for the first 31 miles.Until next time.....Keith","Woody Gap
",Neels Gap,"Mar 19, Sun",10.80
Tigger,https://www.trailjournals.com//journal/entry/557080,"Please note: I add a few pictures each day which can be seen by hitting the photo button on the left hand side.It's a banner day on the AT because I got my trail name. I always wanted the name to come naturally from people I hiked with and today it came a fellow thru hiker (Juke Box/formerly Ginko). She suggested Tigger because I always appear to be bouncing down the trail with joy and positivity. I accepted and from now on I will be known as Tigger on the trail. Juke Box had no idea that we raised our kids on Winnie the Pooh books and videos. Love it! Everyone sing along.....bouncy, bouncy, bouncy, bouncy, bouncy 1, 2, 3, the most wonderful thing about Tiggers is I'm the only one, I'mmmm the only one! It was also a sad day today because Cindy had to go home to Cincinnati. It was an emotional goodbye for now, but I will see her agiain in 3 weeks to celebrate our 34th anniversary. Can't wait. Good hiking day from Neels Gap to Poplar Stamp Gap. Low Gap Shelter area was full when I arrived so I move ahead 1.4 miles and got in around 6PM. Total of 12.9 miles for the day with lots of climb and steep downhills. I prefer climbing or flat (which is rare) because downhills hurt the knees and ankles. I always channel my inner Ben Kendrick when I'm climbing Hope you're doing well buddy. I had my 2nd and 3rd trail magic today from a 2016 thru hiker and a nice older gentleman from Iowa who has been doing this for 7 years. He has never hiked himself, but gets a kick out of seeing AT thru hikers. They both served cold drinks, fruit and snacks at road crossings. It was so awesome!Met a ton of thru hikers today from all over the world including married couples aqua man and sapphire from Hawaii, and Rick and Linda from Missouri. Also met a lovely couple from Australia , Kate and Hitch, Lion from Germany, Texas Ranger from Houston, Editors Choice from Florida, Ninja from Maryland, Uncle Ned, Rockstar and Energizer. Camping tonight with Tristan and Leon from Germany as well. I literally talked to someone new on the trail the entire day. I loved getting to know them and their stories. That's the best part of being out here. Until tomorrow......Keith (Tigger)","Neels Gap
",Poplar Stamp Gap,"Mar 20, Mon",12.90
Tigger,https://www.trailjournals.com//journal/entry/557145,"Not a good nights rest last night, but up on on the trail by 8:30. It takes at least and hour each morning to pack up your sleeping gear, tent and all other essentials. I also cook a warm breakfast of oatmeal, couscous porridge or granola. I mix in fruits and nuts for extra calories and protein. To get ahead a bit, I filter water the night before and fill my water bladder and small Gatorade bottle for an electrolyte drink. We call all of the morning and evening activities camp chores. It's an important routine to help guarantee our success and well being. It's kind of like the movie Groundhog Day every day on the trail. Hiked a total of 12 miles today with climbs at Blue Mountain and Rocky Mountain. Rocky was tough because you start a steep 1000 ft climb after just finishing a steep 1100 ft climb down Blue Mountain. The leg muscles were burning and the heart was pumping overtime. On top of that we were trying to get to camp and setup before the huge thunderstorms rolled in. We made it just In ime. I'm in my tent right now with hard rain, thunder and lighting. It's all part of the experience and something we just have to roll with. Hiking the last couple of days with Justin who is a Navy Vet and Penn State grad and works on research vessels around the world. We get along well and will both stay at the infamous Top of Georgia Hostel tomorrow night. Also camping tonight with another old timer from Australia. He's a really cool guy. Today's photos include a pic of Blue Mountain Shelter and the view at the top of Rocky Mountain. Please note that in the next couple of days I'll switch my name on the trailjournals page to Tigger. You can either scroll the pages to find me or search under real name or trail name.Until tomorrow... next stop, Hiawassee, GeorgiaTigger","Poplar Stamp Gap
",Old Cheese Factory Camp Site,"Mar 21, Tue",12
Tigger,https://www.trailjournals.com//journal/entry/557256,"Today's Pic: Taken at top of Kelly KnobWe survived the huge thunderstorm last night that gave us all we wanted and more. It was a great test for my gear and willpower. Both came thru with flying colors. My Zpacks Duplex tent that is only 21 ounces withstood the 40 mph winds and kept me dry. The only bummer is packing up wet gear in the morning. I was able to air out my pack and tent tonight when I got to the hostel. I'm good to go in the morning.I was really motivated today by the thought of a nice hostel and town food. I had two hard climbs up Tray Mountain and Kelly Knob. Both were over 1100 feet straight up. Once again, the steep downhills were much tougher than the climbs. Your quad muscles are in constant contraction for 1-2 miles down. Ouch! The final downhill comes into Dicks Creek Gap on US 76. It's a half mile walk up to Top of Georgia Hostel. I was blown away by the high level of customer service here. I was greeted with a cold soda and offer to do my laundry. This stinky hiker is now shower clean with fresh smelling clothes. It's a good day. They also shuttled us into Hiawassee for dinner and resupply. We ate at the popular Daniels All You Can Eat buffet where I splurged on salad and vegetables. I finished it off with a pitcher of sweet tea. The hostel is full with 30 thru hikers tonight. I continue to meet and spend time with great people from all over the world. We're all in the same boat and make very easy connections whenever we meet. I'll be out of Georgia tomorrow and into North Carolina. One state down and only 13 to go. Woot, woot! Bouncing down the trail with joy and positivity...Tigger","Old Cheese Factory Camp Site
","Top of Georgia Hostel: Hiawassee, Ga.","Mar 22, Wed",13
Tigger,https://www.trailjournals.com//journal/entry/557378,"After a great night at Top of Georgia Hostel, they shuttled us the .5 miles back to Dicks creek Gap where I came out yesterday. We started the day again with a climb up which is common when you leave a Gap. We were all excited today to cross into North Carolina @ mile 78.2 and officiallly be done with one state. Only 13 more to go.Since this day 7 on the trail already, we are forming bonds and little trail families now. We hike together in pairs or near each other throughout the day and usually reunite at the same Shelter or campsite each night. After doing camp chores like setting up you tent, air mattress, sleeping bag and filtering water, we meet in and around the Shelter to cook our meals and chit chat. There's a lot of story telling and laughter most nights along with reviews of the days hike. For dinner I ate a delicious chili that I dehydrated before my trip. I also dehydrated a hearty spaghetti, rice and beans and tuna mac and cheese. They taste great on the trail. Today we hiked thru the area that was devastated by forest fires last fall. These areas near the NC/GA border and where we're tenting tonight. The burnt forest (see in photos) smells like your barbecuing on the grill. Sad to see, but the forest will heal itself. These fires started before and after the Gatlinburg fires. The AT in this section was closed for quite some time. I added some additional photos today including fellow hikers on the trai. These include the couple Lawn Dart and Waffler, Eli (hiking the trail alone in her Gap year between high school and college), Slipnslide from Orlando, Justin from San Francisco and others . Spent the day hiking with 2EZ from Agustin, Ga. He's retired from the navy and has a spouse who is still active duty. Good guy and a very strong hiker. He's the one who talked me into 16.7 miles today. It's past hikers midnight so I'm going to head in to my sleeping bag. Cold night in the mountains and we're at 4700 feet.Until tomorrow...Tigger","Top of Georgia Hostel: Hiawassee, Ga.
",Standing Indian Shelter,"Mar 23, Thu",16.70
