Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
,https://www.trailjournals.com//journal/entry/556036,"In Boston for my last full day here. Spent yesterday practicing putting up my tent, and laying out my gear in logical groupings for packing. Went out to buy food - had to walk nearly a mile there and back but felt taking a taxi would be unnecessarily ironic...After shoving in 9 lbs of food and all the gear, my pack was 36 lbs, but that doesn't include fuel or water, so I am in a bit of despair as to what to drop, as 36 was my hoped-for outer limit. I've hiked in training with a 52 lb pack, but that was just once and it nearly killed me. I dropped back to 36 lbs for most of my walks in Ferry Reach and that was easy. I read people's journals where they say they don't bother with tent footprints, only have two pairs of socks, no toothpaste, etc. I think I am just going to drop a pound of food from my pack, and expect that I will eat 1.5 lbs daily and wing it. I'm sure on the trail I will be like all other newbies, sending gear home that we thought we'd have to have.
",,D-Day -2,"Mar 10, Fri",0
,https://www.trailjournals.com//journal/entry/556085,"So here I am, early morning in Boston, snow on the ground here, packing to get on a flight to Atlanta where I will spend the night at a hotel near the airport and get a shuttle to Mt Springer tomorrow. I'm nervous and anxious to get going. Last night my wife Gayle and my son Aidan went to the House of Blues for a Passenger concert. It was good to have 75% of the family together for a fun event like that; it would have been unreasonable to expect Aisling to fly up from Mexico City to join us...",,D-Day -1 Boston to Atlanta,"Mar 11, Sat",0
,https://www.trailjournals.com//journal/entry/556198,"Yesterday I flew to Atlanta and took the train to North Springs where Survivor Dave (2008 thru-hiker who now runs a shuttle service) picked me up and took me to my hotel. I went out for a meal to a Chinese-Malaysian restaurant in a mall nearby. Continued to work on my packing. Printed off my Smoky Mountains permit. Went to bed and slept soundly until 5:50. After a good breakfast, I was again picked up by Dave who drove me to Springer Mountain, about a 2-hour drive, the last 14 miles on a pitted and rutted service road. From the car park, I hiked south for one mile to reach the southern terminus, took pics and signed the register, and turned around and started the official AT. There was snow on the ground but it was dry, at least until the temperatures went up enough to start melting the snow and ice in the canopy. I put on my pack cover and poncho at about the 4-mile mark. The going was often muddy, and my pants were filthy by the end. I stuck to my plan and set up tent at Hawk Mountain shelter. The shelter was full and noisy with several conversations going on at once. Surprisingly, I didn't feel hungry but cooked some oatmeal and had it with an apple, some spicy jerky, and a protein bar - a well-balanced meal. The actual hike from the terminus took me roughly 4 hours but the terrain was almost always tricky, with rocks, tree roots and even fallen trees occasionally. It's true that it did seem more uphill than downhill...
","Mt. Springer
",Hawk Mountain Shelter,"Mar 12, Sun",8.10
,https://www.trailjournals.com//journal/entry/556289,"Last night was cold, but I was as warm as toast in my sleeping bag, which is rated as adequate for temperatures down to 15F. I just could not sleep. There were strong winds in the trees that at least drowned out any snoring noises from other tents nearby. Before long the wind was shaking ice crystals out of the trees which sounded just like rain as they hit my tent. In the morning I had my first experience of taking down a tent in the woods - my hands were soon frozen and I dispensed with niceties like folding stuff - it all just got crammed into my pack. I left with Kyle, a 19-year old from Maine. He suffered from painful ankles and slowed down on descents but murdered me on climbs. The ground was dry and frozen, much better than the mud of yesterday. There were some gorgeous stretches of rhododendron alleys and others of open forest where you could see the trail meander away ahead. My pace today again was 2 mph, but my hips and Achilles held up. I pitched tent well away from the shelter at Gooch - there must be 40 people here. We had a roaring fire going and the usual fun trading stories and avoiding the smoke. I had another balanced meal of ramen noodles in vegetable broth, the last of my spicy beef jerky, and peanut butter on crackers. Now I'm in my tent with the rain pattering down. It's supposed to turn to snow later tonight.","Hawk Mountain Shelter
",Gooch Mountain Shelter,"Mar 13, Mon",7.70
,https://www.trailjournals.com//journal/entry/556413,"Thanks to some Ibuprofen PM, I slept through most of the snowstorm last night, waking around 5am. I got myself organized in the dark, first knocking all the snow off the tent from inside. As I had planned on 12.7 miles today, I was on the trail by 8:30. Only a handful of hikers were ahead of me, and the snow had mostly melted on the trail itself, so it was a pleasant start and I found I had to shed my beanie and rain jacket and rain pants to stay cool. I didn't need to bother with gloves either. I was alone most of the time, occasionally passing or being passed by other hikers. I'd anticipated a 6-hour hike, but as I was going up a steep and lengthy climb I discovered I'd passed my destination earlier than expected and missed it. So I carried on to the top of what turned out to be Blood Mountain, an elevation gain of 1,500 feet in five miles. I was truly knackered, doing about a half-mile per hour at times. The top was glacial, with a howling wind, bare ice-covered rocks to navigate and other good stuff - I mean, what's not to like? Noah, a younger (much, much younger) thru-hiker passed me en route to Neel Gap. It was all downhill for 2.4 miles, and I recovered much of my joie de vivre. At the outfitters at Neel, I re-encountered Noah. The manager told us that temperatures tonight and tomorrow night would be 10F and that we'd be wise to stay in town if we could get rooms. When we found there was one room left in a motel in the town of Blairsville nearby, we agreed to share it and I got free earplugs from the shop since Noah mentioned that he snores. A customer at the shop, William Sperin of Irish ancestry, gave us a lift. I knew we were in the right place when I saw a suede (yes, suede) Star Trek poster framed in the reception area of the motel, and the owner's name is Colleen. We had almost free all-one-could-eat pizza at a spot across the street. Again, what's not to like?So tomorrow will be a recovery day and a laundry day and trying to figure out what the next destination will be.","Gooch Mountain Shelter
",Neel Gap,"Mar 14, Tue",15.60
,https://www.trailjournals.com//journal/entry/556579,"It was so pleasant being able to sleep in a normal bed in the warmth of our motel room, getting up late, drying out gear, doing laundry, discussing with one's roommate the various hiking options over the next couple of days, dropping in to see Peggy in Foodland once more, and of course one again indulging in the pizza buffet across the street for the princely sum of $7.04. As we were almost the last to leave, the manager approached us as we tried to squeeze out the door and asked if we'd be interested in a pizza he'd prepared but hadn't sold. We agreed to take it off his hands. Back in the motel, I finally figured out how to add photos to these entries and added a few to earlier ones. This is all to appease my family. Of course it means I now have to take the occasional photo.I called up some of the shuttle services to enquire about rates to get Noah and me back to Neel Gap in the morning, and struck a deal with one chap called Jason. I also spoke to the famous Miss Janet who featured in David ""AWOL"" Miller's book about his AT hike. She's hilarious. She told me about Awol trying to retrieve a resupply package from her house-cum-hostel while she was out. I hope we meet her tomorrow when everybody is getting their rides out.I think I'm going to adopt my roommate, Noah. I hope his parents won't mind. He needs a strong father figure out here on the trail to advise him on ways to hang sleeping bags to dry, how to roll up tarps correctly, how to fit stuff ergonomically into a cup, and many other vitally important life lessons. I also need to talk to his girlfriend to let her know what she's getting into, not least of which is snoring. Food. Everybody on the trail talks about it, but at this stage it's in the context of how little we are eating. I must have hiked in with about ten pounds of food, but have made barely a dent in it. Of course, I am quietly discounting the nightly four pounds of pizza I've savoured last night and the night before, but the healthy salad with bacon bits that I had each night sort of counterbalances that, if you know what I mean. On the trail, I met Bill who is an AT ""ridge runner"" and who spent some time in Galway, where I went to college. On one of those encounters he told me that he was hiking out 15 pounds of trash, including an unopened 4-pound jar of peanut butter that someone had discarded in a shelter against all the rules about attracting bears. [On the subject of dumping: yesterday I hiked out of Gooch with a one-pound battery charger that somebody dumped in the snow by my tent-site. I plugged it in at the motel and it worked fine, and it fully charged my iPhone. I'm giving it to the motel folk to add to the kit hikers leave behind.] But enough about food.","Neel Gap
",Neel Gap,"Mar 15, Wed",0
,https://www.trailjournals.com//journal/entry/556686,"Noah and I were picked up at 8 by Jason our shuttle guy. He is an ex-Army veteran who served a tour in Iraq and is now on disability. It was very cold at Neel Gap -about 20 degrees below freezing. I went into the outfitters to buy sunscreen and a water reservoir as I'm fed up with stopping every time I need to drink. Noah headed on. Immediately on leaving the outfitter the trail heads up an exposed hillside, and there was a bitterly cold wind. I had several layers on, plus a base layer hood, rain jacket hood, and gloves. My fingers went numb and it was at least 30 minutes before the exertion of the climb and some helicoptering of my arms got the circulation going. But as successive climbs followed, there was shelter from the wind, and by Cowrock Mountain I was part of a large group stopping to enjoy the view and the sun, and shed outer layers. I shared half the pizza I'd hiked in and had no refusals. Temperatures were supposed to peak at 47F today and it felt like it. There was my first sighting of trail magic supplied by Nudge Ministries at Tesnatee Gap - I helped myself to a couple of mini-Snickers as a lack of food is not my problem. At Low Gap Shelter, 11.5 miles in and the prettiest Shelter location I've seen, I stopped to finish the rest of my pizza and decided to push on. It was a good decision. The trail for several miles was fairly flat, curving around hillsides and defiles. Towards the end there was a difficult rocky stretch but I had a lot more energy than on Blood Mountain on Tuesday. I got to Blue by five, so 2.3 miles per hour including the breaks for food, and my longest stretch so far. I will be taking it easier tomorrow. Blue Mountain Shelter is on top of a ridge and there was a panoramic view of the sunset, all pinks and oranges. I was quickly quite cold as soon as I'd stopped and set up tent. Davis, another ATC ridge runner, showed all the newbies how to hoist a bear bag into the trees. I cooked some ramen, and sat by the fire for a few minutes, but decided being snuggled up in my sleeping bag was a better option. Several of my tenting neighbours were snorers so I was glad I'd brought along earplugs. 

","Neel Gap
",Blue Mountain Shelter,"Mar 16, Thu",18.80
,https://www.trailjournals.com//journal/entry/556742,"I had a bit of chesty wheezing going on last night so I was glad to be toasty warm in my bag. I opted to stay in bed late to let the air temperature improve a little. It was 10:30 as I left. About 2 miles into the hike was Unicoi Gap, where there was a lot of trail magic but I restricted myself to some oranges. There were two stiff climbs of 1,000 and 1,500 and as the sun came out I shed layers until at one point as I tended to a hot spot on a foot, I was sitting in the sun in my t-shirt and leggings.I opted to stop at Tray Mountain to give my knees a rest - the downhills are hard on them. At Tray I used my newfound skill to hang my bear bag in a tree again. This was after I had cooked up some dehydrated vegetables from Whole Foods and had a protein smoothie.I'm recognising many of the faces as the days go by. The zero days some take and trips to towns mean that you lose and catch up with people all the time. Noah did a big day and is 7 miles ahead of me now. I haven't seen Snail Pace or Two Dogs in a couple of days. But there's Jason, Alex, Chayva, Sweet Spot, Daddy LongLegs and many others here tonight. Rain is forecast for the wee hours. ","Blue Mountain Shelter
",Tray Mountain Shelter,"Mar 17, Fri",8.10
,https://www.trailjournals.com//journal/entry/557148,"I dismantled my tent in fog with a slight dewy drizzle going on. As a fellow-tenter said, it's sad when a good day is 39 degrees and not pounding rain. I was on the trail by 9:15. It was tough, in particular a seeming unending slog of 1,000 feet up Kelly Knob. Most of the descents featured black leaf-mold mud. It made for some exciting moments. I told Chayva, a thru-hiker with a liking for Simon & Garfunkel, that the appropriate song was Slip-Slidin' Away. I sang Follow Me Up To Carlow - bellowed it is more apt - as a way of tackling some difficult stretch. I enjoyed my new Hydrapak, a water reservoir, especially since I figured out a way to jury-rig it to the top of my pack and lead the drinking tube neatly over my shoulder. I ran out of water twice - I was sweating a lot, especially once the fog lifted in the afternoon.
At Dicks Creek Gap I was provided trail magic by a chap from Iowa - two of the sweetest oranges and an apple. I slugged it out from there to Plumorchard. Along the way I met 3 SOBOs, Duchess, Rabbit and Happy Pants. They started in Maine in Aug/Sept last year and are delaying finishing as they don't want the experience to end. (SOBO = southbound)
Daddy Longlegs traded me bags of almonds, banana chips and granola from his oversupply for a use of my lighter - the most uneven trade I've made, I agree. dog Shoes and Trailbait arrived late in the day at camp. 
So today completes my first week. I'm more or less on plan, have blisters on my hands from trekking poles and on one of my toes (now wrapped in black duct-tape and very fetching), but am in otherwise good shape.
Milestones during the week: every time I do another 22 miles, I say ""that's 1% closer to Katahdin"". I passed my first 50-mile mark. I've taken a 'zero' day ( a rest day, zero mileage). I've not yet slept in a shelter but that's coming once I hit the Smokies.
","Tray Mountain Shelter
",Plumorchard Gap Shelter,"Mar 18, Sat",15.50
,https://www.trailjournals.com//journal/entry/557150,"It was a warm start to the day, and within the first hour of hiking I was in my t-shirt and leggings and stayed that way all day. Straight away I finally saw not just one woodpecker but two. I'm told they are the large paliated woodpecker on which Woody Woodpecker was based. Three miles into the hike I crossed the Georgia/North Carolina border - I missed the sign, though. I was caught by Sweet Spot and Lucky Cub (an 18-year old born in Richmond but who grew up in Belfast). I managed to match their pace for a few miles. When they stopped for lunch, I continued on up Standing Indian Mountain. Almost immediately there was a long stretch of difficult path through boulders and rocks. Just after getting through it, as I started to get back into a rhythm, a rock gave way and plunged off the cliff-face, and I went with it. I managed to grab a tree branch with one hand, and swung over the abyss for a while before I was able to - actually I made that last bit up. I did slide off the trail courtesy of a rock sliding under my foot to record my first AT fall, and I had a rather ignominious crawl back up onto the trail through leaves and dirt and twigs. The 0.9-mile drag up half of the mountain was supposed to get me to the shelter, but with the fall and not paying attention I missed the sign. It was gruelling climbing. When I realized my mistake, I opted to crest the mountain and stop on the other side by a campsite with a stream. Unfortunately the trees were poor support for lifting my bear-proof food bag the required 12 feet - branches too high, too low, too skinny, but after 20 minutes of trying I managed to get it about 10 feet up. I cooked some food and crawled into my tent, exhausted by the day.
","Plumorchard Gap Shelter
",Beech Gap tenting area,"Mar 19, Sun",16.60
