Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Tortoise and Snail,https://www.trailjournals.com//journal/entry/519820,"“I’ve decided I am going to walk the Appalachian Trail, and I’m starting in 2017. Want to join me?”This was the start of a conversation I had with my father (John) as my decision to walk the Appalachian Trail (AT) set in. Many years prior we had discussed the possibly of starting the trail but nothing had come of the idol conversation. This time was different; my mind was made up and the journey was to begin. I just had to decide when and how to make this dream into a reality. I also needed equipment, as previous to this conversation I had not thought about what it would take to make this dream a reality.From that point on, my focus shifted into high gear towards what type of equipment I would need. As funny as it may sound, after watching the movie “Wild”, I understood the issue of over packing and decided to start my search for equipment on just the basics: hiking shoes, backpack, tent, sleeping bag/mat, water purifier, and cooking equipment. The rest could be filled in over time. On my days off work I found myself in the local bookstores looking for hiking books with ideas of what would be necessary.   Although they were not very helpful regarding gear, I found a great book on the trail itself through NY, NJ, PA, and MD. This was just the start I was looking for… a little over 400 miles of trail that was driving distance from my house! Later the same week I found my book, John also found a book on selecting equipment that best fits your needs. It was a perfect combination, and gave us the tools we needed to get started.We compiled a list of the type of equipment we wanted based on the suggestions of his book and decided to go to the nearest Cabella’s to purchase some of those necessary items. Top on the list were hiking boots/shoes, closely followed by backpacks and a tent. After careful consideration, all three items were purchased, as well as thicker socks. We also took home multiple ideas for other items such as sleeping bags, water purifiers, and cooking gear that were purchased online at a later date. The only items left to be purchased are a first aid kit and a sleeping mat. Everything else would be incidentals which could be purchased as we find necessary.With the bulk of the most important gear purchased, John offered the idea of day hikes on the AT to start our journey. It was decided there was no reason to wait when we could do day trips while planning our week long adventure for 2017. We scheduled a hike for July 15, 2015 in NJ. Very quickly this dream was coming to fruition and the excitement was hardly able to be contained.",,The Adventure Begins…,"Jul 10, Fri",0
Tortoise and Snail,https://www.trailjournals.com//journal/entry/519821,"Tomorrow is the start of my new Adventure! I’ve acquired all the most necessary gear to start, and I’ve finished packing it into my new Cabela’s XPG 100-Liter Backpack! The List to Date Includes:XPG Ultralight-3 TentMerrell Moab Low Hikers for MenKelty Women’s Dualist 550 Thermadri Sleeping Bag, Regular/33-DegreeLifeStraw Go Water Bottle with Integrated 1000-Liter LifeStraw FilterGSI Outdoors Halulite MicroDualist Outdoor Cook SetEtekcity Ultralight Portable Outdoor Backpacking Camping Stoves with Piezo IgnitionCurrently, John and I are going to start with day hikes, however from the first moment on the trail, my plan is to take my pack to get myself used to carrying everything necessary. As more items are purchased, the pack will become heavier, so I want to build up to carrying all the essentials. I am still in the market for the following:Sleeping PadWater Purifier (For Cooking Water)First Aid KitI will be honest in saying that I am unsure what else I would need, but that is why I am waiting almost 2 years before hiking more than one overnight at a time, so I can learn what essentials I need! I’m excited to learn as I go!I will be leaving around 8:30 in the morning to take an hour and fifteen minute drive to Sussex, NJ to start my first hike on the A.T. Time to charge my Camera, Fitbit, and Go Pro so I can document my lifetime journey!",,The First Step,"Jul 13, Mon",0
Tortoise and Snail,https://www.trailjournals.com//journal/entry/519822,"Today is the day! I took my first step on the Appalachian Trail on my journey to hike the nearly 2,180 mile footpath from Georgia to Maine. The start to crossing a major item off my bucket list, even if it takes twenty years to do it! So where does an amazing adventure like this one begin? For me, it was at the Iris Trail Parking Lot in Sussex, NJ, and I was accompanied by John (my father) & Cindy (my mother). It has long been in both of their interests, and today was the day we were all able to accomplish something we have talked about for years!With a copy of this section of the trail in hand (pictured below), we set out for our day hike around 10am. Our plan was to start at the parking lot and hike up to the High Point Monument to have lunch. I pulled my backpack filled with supplies over my shoulders, clipping the buckles over my chest and waist for support, and started down Iris Trail to the A.T. As soon as we saw the white tree markers we knew we hit the trail. John took the lead and off we went.An hour later we took first major break as we finished our first mile on the A.T. This brought us to the wooden Observation Platform, where we were able to   view our first really spectacular glimpse of the High Point Monument (pictured below). From this distance you would never believe this veterans’ memorial stands 220ft above New Jersey’s highest peak of 1803ft. It still seemed so distant, although it was only another torturous half a mile over a very rocky, uphill trail until we would be at its base. This hike was definitely showing me why so many people would find this tough to accomplish. Already, I knew it was more mental then physical… but the physical is definately challenging as well. It was exactly the challenge I was hoping for!The threat of rain and high humidity convinced me to pack my cellphone (which I was using as a camera) into my pack and try to use my new go pro hero 4 instead. Unfortunately I was less successful with this as the memory card that was used in the device had some technical issues and almost of the videos formatted. I was only able to capture one… and as someone who prides myself on my ability to use technology, this is something that will have to be remedied for future hikes. That said, instead I was able to engulf myself in the hike itself, and enjoy the rejuvenation only nature can provide.We followed the red/green markers on a side trail off the A.T., and made it to High Point Monument. Here is where we stopped for lunch. I took the opportunity to use my new Stove and Cook set. Funny thing, although technology generally goes well for me, not all of my camping gear does. When connecting my stove to the butane tank, I got spooked when it started leaking and threw it into the grass because I hadn’t realized it just wasn’t on the burner tight enough! After composing myself, I realized the mistake that was made and went to rectify the situation so I could eat the meal I brought… but lost most of the heat source in the meantime. But hey! This is why I am taking small steps before just jumping in, so I can figure these things out and see what works for me!Once I got the stove under control, I poured some of my water and couscous into the pot to cook. It completed almost as fast as it does on the stove at home, and instantly I was impressed with how well my cooking option had worked. For this hike each of us packed our own lunches. I added a ranch tuna packet to my couscous and enjoyed my lunch!As we were eating the sky did open up to a light drizzle. It was enough to cool the skin and gave us the opportunity to see that the backpack rain cover works like a charm. The rain halted again just as we set out back down the mountain to the intersection with the A.T. where we then decided to try to make it down to the High Point Shelter .75 miles past the Monument. We made it about half way before there was an unanimous decision to turn around and head back to the car. Between the rocks and the hills it was proving much more difficult then we had imagined. I realized some training before the longer hikes would be imperative. Stamina and endurance is very important, and the right nutrition would make a huge difference.At mile number four we found a tree that had fallen and used it as a bench to rest for a few moments and replenish our liquids. The rain had stopped completely now, however it was still extremely humid. I took the opportunity to pull my cell phone back out to take a picture with my backpack and the path. Then we continued forward, retracing our steps to the start where our car was parked. With only half a mile left until we completed the first two and a quarter miles of our sojourn on the A.T., I decided to document each moment as the journey continues (and park a car at the end so we don’t have to double back!).","Iris Trail Parking Lot, NJ
","High Point Monument, NJ (round trip)","Jul 15, Wed",1.40
Tortoise and Snail,https://www.trailjournals.com//journal/entry/519823,"The hike standing before us today spread through a little under 5 miles of swamp land and farm land alike. John and I started out early from home, arriving at the exit of our trail hike around nine in the morning to leave the first of our cars on the side of the road. Then, with the other car we went north in attempts to find parking on Goldsmith Rd, which was our thought for a starting destination. We would have arrived sooner, however we thought an incorrect turn had occurred on Goldsmith Rd. and came to the “Murray Secret Shelter” where we met some very nice thru-hikers who explained to us they had no idea where we were and that the property we were on was a private one, so most likely there was not parking. With that in mind, we expanded our hike slightly to include from Unionville Rd. straight through to Rte. 519. Within a few minutes we were able to find street parking off of Unionville Rd and prepared to start our hike.By 10am we were ready to start our next section of the A.T. Within the first mile of our hike, we found ourselves walking on wooden planks the A.T. maintainers built for hikers to make it through these very soggy grounds in the Vernie Swamp. As the swamp lands ended, we made our way back up part of the mountain and found ourselves in between farm lands and wooded areas. Unlike the last hike, where it was mostly wooded area and very rocky pathways, this hike we were experiencing much different terrain. We had already gone from walking in the woods, to swamp land on wooden planks. Then up a hill to mowed down field pathways overlooking overgrown farmland.Our breaks took us to the most interesting places. The one place was a field where you could see the High Point Monument in the background. It was an interesting perspective to think we were trying to get back to that point, and it looked so far away from here! That very much put in perspective the amount of distance we were going to be covering. It also put in perspective how little ground we have covered in the big scheme of the whole A.T. This will take… forever! But hey, one mile at a time, right?!After soaking in how long this adventure really will take, We continued on up and down small rolling hills until we came to a creek with a bridge. By this time our water bottles were getting a little low. I had realized if I wanted to cook my lunch then I had better leave some of my water available. We do not yet have something to filter cooking water, only drinking water. This means John was able to fill his but I had to leave mine, so I stole a drink or three from his before we continued on. As a very interesting point of fact… this water tasted one hundred times better than John’s home town water. I am not sure what that says for the water here or there, but either way it was refreshing to have fresh tasting water part way through the hike!I am a very picture happy person, and someone who loves to capture visual memories since my mind does not always remember the finer details of the adventures I take. That said, different parts of the trail caught my eye and seemed picture worthy. I was extremely amused by the tree stump that was cut to form a pathway through it. It amused me even more at how many more were on the path that were not given the same convenient access. Then there were the stone paths, and the wooden bridges over picker bushes. Each section had its own personality and continued to entertain in a way television and electronic devices could not dream of.I love to photograph animals as well. We have not passed too many larger animals, but some of the smaller ones have been fun. This time we passed by a frog and a red spotted newt that were nice enough to pose for a small photo shoot. The newt I almost stepped on but John caught site of it first and brought it to my attention. I stopped to play with him, picking him up and placing him off the path as we had passed other hikers and I could only imagine him squished by someone else who was enjoying the view more than their own feet. The frog was in a pond where we filled John’s water bottle for the second time. I still still holding out for cooking water, and realizing quickly this was something I was going to have to remedy quickly. Next purchase is a way to clean water that isn’t my drinking bottle. That has been decided.Lunch break was quite a few hours after we started and almost all the way through our planned adventure. We stopped on a random tree trunk that was high enough to sit on, closer to a road than we had thought. I experimented with our stove again, this time making much less of a mess than the first time. I was able to screw the heat source without issue this time, and mastered much better the art of cooking the couscous without burning it to the bottom of the pot. Lunch consisted of couscous, ranch tuna, a donut peach, and veggie chips. It was delicious! John had brought with him sandwiches and tried some of the food I made so we could decide if it was a meal to take with us on our longer adventures. We decided it was.After lunch we repacked our gear and continued on to the end of our planned journey. It was only another mile until we reached the car, and we started talking about making up for the area we had not completed the time before. We still wanted to see the shelter just below the High Point Monument. The challenge was, it was ALL uphill to that point, and it was another 1.5 miles to get there. When we reached the car, and the destination we had planned to reach… we decided to try for the extra distance. We did not get too far, however. After tackling some man made steps on a mountainside, John realized physically he was unable to go any further so we turned around and went back down.Next time we will go the opposite direction, and head down the mountainside. For now, that was the end of this adventure.","Unionville Rd, NJ
","Country Rte. 519, NJ","Aug 04, Tue",4.90
Tortoise and Snail,https://www.trailjournals.com//journal/entry/519824,"August 15 is my birthday, and this year my husband themed my birthday. All of my presents were something I was in need of or wanting for my overnight hikes. It was exciting to see more gear that would help complete my goal.   These gifts included the following (pictured below): a multitool, 85pc first aid kit, a sewing kit, an SOS mirror, ice cream, & a dehydrator!The dehydrator I’ve already used! I attempted to dehydrate multiple fruits including: Apples, Strawberries, Kiwi, Donut Peaches, & Bananas. Of these, I need to focus on drying the peaches and bananas a little more, but otherwise they were all very tasty! I will be experimenting with Jerky as well before my overnight trip in September!The other surprise my husband did for me is to make me a cake! He’s never baked before, and when the double fudge cake came out I was dumbfounded! The best part is that he made the A.T. on the cake! It includes a compass, trees, and the A.T. symbol in blue. If you look REALLY closely, you can see approximately where it is that I’ve covered so far on the map in blue! So thoughtful!!This brought me a few steps closer to my goal of having all the equipment needed to spend an overnight in the wilderness. It’s an awesome feeling to know the support and love my husband has for me even if he doesn’t understand the reasons I want to complete this goal. Now to go share my yummy new dehydrated fruit! Until next time…",,Happy Birthday To Me!,"Aug 15, Sat",0
Tortoise and Snail,https://www.trailjournals.com//journal/entry/519826,"I just got back from my first overnight on the A.T. and it was amazing! I’m tired, sore, and need about another three days off to recover… but with all that, I am ready to go back out there and keep at it! But I’m getting ahead of myself. Let me tell you about just a small portion of what I was able to experience.
John and I began our journey where we left off last time, on Unionville Rd. in NJ. Cindy drove me and we followed John to where we ended, then she brought us back to the beginning of our hike and saw us off. We started very early, entering the trail around 8am in attempts to beat the heat. I’m going to give you a hint… it didn’t work. Boy it was hot out the last two days!
I wasn’t as picture happy this time around for the same things we had seen previously. I spent more time enjoying the views, and they were plentiful! Above are just two of the types of places we saw on our journey through the woods. We went through swamps, over streams, up and down valley and hills and continued our journey a little over three miles. The most interesting terrain the first day was when we came out on an actual road and followed that for at least half a mile. As a matter of fact, we followed an actual road, walking along the highway, until we made our way to the Wallkill River National Wildlife Refuge to walk the Liberty Loop Trail. Below are some of the pictures I took while on the Liberty Loop, including when we were finally going back into the protection of the trees!
At this point the sun was shining down and the wind was no where to be found. It was relieving to get back under the cover of leaves. To date, we were already further then we had been in previous hikes and still had at least a mile to go until we got to the shelter! Not only that, but we had a steep, rocky incline to combat as well.
The shelter was up a 400ft incline and did not have water readily available. About 1/10 of the way up the mountainside there was a house that the A.T. had purchased for use of the water on the back stoop. We got there without too much trouble and refilled our 3 1 liter bottles each. Then, with the understanding we needed water for dinner, the rest of the night, and for the start of our hike the second day… we also filled up a two gallon container that I took in my pack up the mountainous rocky terrain. Let me just say: I. AM. OUT. OF. SHAPE! That extra 16 pounds in my pack was treacherous work! That being said, we made it to Pochuck Shelter!!
We got to the shelter by 3pm and it felt to me like it was already going on midnight. My body ached, my lungs were on fire, and I was utterly exhausted. I could not get my backpack off fast enough and had my flip flops (yes, they are necessity!) on before John even had the chance to look around. Really, I didn’t either, I just had to get comfortable before I got into relax mode. Once I got changed, hung my soaking wet clothes out on rocks and in trees, and took a minute to breathe then I started to look around. John and I both checked out the Privy and the shelter, and John looked into the bear box that was provided at the shelter. This is a high bear area so being careful with food is a necessity. We then took a few minutes to nap, which was such a relief. At the end of the nap I woke up to footsteps. Blessed Wolverine came walking up to settle in for the night. By the end of the night two others joined, all longtime hikers, two going south-bound, one going north-bound. We are going scatter-bound. I’m making that up!
Around 6pm we finally decided to make dinner – Cous Cous Pizza. It was good, but it definitely wasn’t real pizza. That said, it was filling and nutritional which was most important to me, since we still had another day of hard hiking ahead of us. Then we sat and chatted with the other three guys who stayed at camp. We listened to the stories of those who started in GA and ME. Even thinking back, it just makes me want to go for more days in a row even more! But, I’ll be happy for what I can get and work on not feeling like all my muscles are on strike!
Bedtime was 9pm for everyone in camp. I don’t think I slept, although John states otherwise. I remember waking up multiple times and rolling around all night. Sleeping in the woods is most assuredly something I am going to have to become accustomed to quickly if I want to spend more nights and come to the morning with some rest.
The next morning before the sun came up one of the campers packed up and left for the trail, with a headlamp on! The sun wasn’t coming up for a few more hours. John and I went back to bed, however the other campers started to pack up and left at day break. We slept until around 7am, then I made breakfast for us of oatmeal and apples. After breakfast we packed up and started our day.
The second day’s hike started with another climb up the final portion of the mountain the shelter sits on. But it was worth every second when we got to the top and looked out at the view! It was a bit cloudy, but we could still see all the fields below, and the mountains on the far side of the outlook.
We stopped to take a moment to enjoy the scene and get some water and a snack, then continued on down the other side, enjoying the mostly down hill journey from this point to the end. For almost three miles I just enjoyed the walk and the views. The next thing that I found document worthy and just plain awesome is the gargantuan boardwalk stretching much farther than the eye can see.
As we walked on this boardwalk we spotted a suspension bridge in the distance. The closer we got, the more impressive it looked. I snapped a few pictures to show what that looked like as well. This sat over the Wawayanda Creek, where we filled the our water bottles for the last time to finish the hike.
Past the bridge was another mile to the end. By this time conversations ended and we just continued to push forward. We were tired and sore and ready to get out of the scorching sun. By the end, it was almost amusing. The final quarter mile ended with a train tracks crossing and walking across planks in a cow field! Yes, it was filled with said cows, but they were hiding in the shade. Smart cows.
Alright… Until Next Time!","Unionville Rd, NJ
",NJ RT. 94,"Sep 10, Thu",12.70
Tortoise and Snail,https://www.trailjournals.com//journal/entry/519829,"John and I took another day hike and completed six more miles of the A.T.   This walk was mostly much easier then the previous hikes we have taken so far, which is a nice change because we found ourselves able to look up from our feet more often and really enjoy the hike and all the beauty around us. It’s truly amazing to me how many different types of forest views there are within the same small footprint of the A.T. If there is such a vast difference in just the 1% we have covered so far, I can only imagine what the next 99% will bring! That being said, let me tell the tale of what we covered this time…To begin the hike, we started off pulling the car onto the side of the Warwick Tpk. Our second car was already parked at the end, in a small lot on RT 94. We decided to slack pack this trip, so all we had with us were our hiking poles, plenty of water, and lunch. I also brought a surprise and had with me homemade beef and venison jerky to share between the two of us , which we shared relately early in the hike as I could not keep the surprise hidden very long.The trail as I said earlier was much easier to hike for the first four miles or so, which was delightful. It provided the ability to really enjoy the ambiance and scenery surrounding us. The weather seemed to give in to autumn a day early, and provided us with a bit of a chill. The air was crisp and the wind was blowing slightly. Without the heat and humidity I found it much easier to find the energy to move forward without too much trouble. It was unbelievably relaxing.The first mile of the four housed the Wawayanda Shelter less than half a mile from the Wawayanda SP Headquarters, both of which we passed the blue blazed routes to. My interest was peaked in seeing another shelter, however as we drew closer to it I saw hikers were there and may have just been rising from a nights sleep. We turned back so as to not disturb them so early in the morning and continued on.Beyond the shelter the trail began a small climb to a crest, then a descent down through abandoned farm fields. Passed the fields, it continues downhill through some trees and comes to a steep area where stone steps were made to hike down to a stream. This was another awesome location that I could only imagine in the spring time when the water is full from the melting snow. The area consists of the stream, and of the very small bridge that was wired on both sides with a single wire to keep it from being washed away when the water levels rise.Here we stopped to have a small snack and to take a water break. You could hear the trickle of the water running down the rocks. Just a few steps up off the river bank there was a flat area you could clearly tell was used by hikers for camping. Without more than a moments thought I could see why the pull to stay here wold draw any hiker in. The sound of fresh running water, the view of the skyline, and the peace and quiet a location like this would provide would make for an amazing experience.After taking this all in, we continued up the trail, which started its ascent back up toward the crest of Wawayanda Mt, at which point there was a register box for those hiking the A.T. When John and I reached the box, we opened it and pulled out the notebook and pen. I jotted down a small note, today’s date, and our names. What amused me the most was that it was a mailbox tied/attached to a tree.Yes, again I say it was an old mailbox tied to a tree. I was impressed and amused. I was also excited as being to this point meant we were almost to what was called the Pinwheel”s Vista.   Less than a tenth of a mile from the Register Box we found the blue trail that led to the vista. This vista offers one of the best views in the whole state of NJ. It looks north to the Catskills and south toward the Delaware Water Gap. You can see from this view the entire length of the Kittatinny Ridge, which is topped by the High Point Monument, which is the location we hiked to for our first trip on the A.T. It was breathtaking to see how far we had come, and knowing that we had gone a full 2 miles past that Monument as well as a full 4 miles behind us. Looking down however, did also remind us that we were parked at the bottom of this mountain so the next step in our journey was to meander our way down.To reach the bottom of this mountain, came the descent down the 900-vertical-ft, boulder-strewn escapartment on a trail with switchbacks and over 400 stone steps. Within this downhill battle we found what is called the “Stairway to Heaven” which alone has 60 monstrous (300lb each) steps, dug into a 60 degree slope. This was taxing going down, so I could only imagine attempting to go up! I have also never seen so many rocks in my entire existence.The pictures I took were only of the staircases we were walking over. I just could not get a shot of side of the mountain good enough to explain the vastness that seemed to go on forever in the form of rocks! Its expanse was impressive and made me wonder what the actual “Rockies” looked like. They must house boulders! I decided some day I’m going to have to find out in person so I can compare. Pictures just don’t do justice.The trip down the side of the mountain stretched on trail reaching around a mile in length. It took us a good hour to accomplish the trek to the bottom, but we made it in one piece. It was rewarding to make it to the fields at the end of this hike and turn around to look back up at where we had just come from. I felt proud to be able to say we had even walked four miles beyond that point… from the stretch of woods that lies beyond that crest.And then just like that we were back at the car, another six miles behind us. I was already yearning for another stretch on the A.T. and hope the weather holds out for our planned overnight trip in October. Until then...","Warwick Tpk
",NJ RT. 94,"Sep 22, Tue",5.50
Tortoise and Snail,https://www.trailjournals.com//journal/entry/519830,"This hike was originally planned as an overnight stay, however our plans changed into two day trips when the weather got colder. At some point in this adventure we are sure to tackle less than thirty degree temperatures, however, at this time we have a choice, and we decided to stay warm and rest between the two days of hiking.The views on this particular hike were breathtaking. There were two particular overlooks that showed the vast expanse of land as far as the eye could see. Mountain ranges meeting with clouds in the far distance, and color everywhere. We could not have asked for a better day to hike, as the sky was clear and baby blue with fluffy clouds scattered throughout the sky. During our 5.3 mile walk we also came up with trail names! After being passed by other hikers, and people who were just out for a nice afternoon walk… I joked with John about how we are like the Tortoise and then I got stuck. Neither of us are the Hare, so I fumbled on my words. John chimed in stating, “And the Snail.” We both got a laugh and moved forward with our conversation, however those words stuck with me. The Tortoise and the Snail. Those names were fitting. Slow and steady, unwilling to give up. And both amusingly enough have shells (Backpacks). It seemed like a great fit and I liked it, but decided to sleep on it before making a decision. Hint: We decided to keep the names! Want to guess which one each of us are?I am the Tortoise. John is the Snail.We finished early and quickly on this hike, and asked ourselves if we are getting used to the terrain or if this stretch was a slight bit easier than the previous we have accomplished. I decided the answer was all of the above. We started around 9:30am on the trail and left for home around 1:30pm, which was almost two hours faster than our previous day hikes for the same distance. To top that, the car snuck up on us! We were getting back into the groove of hiking after a quick break, and a picture opportunity with a Gardener Snake, and all of a sudden the parking lot was in front of us.We packed up our gear into the car and drove home together. We will be returning so we left my car in the overnight lot in anticipation for tomorrow.","Deckertown Tpk, NJ
","Iris Trail, NJ","Oct 07, Wed",5.10
Tortoise and Snail,https://www.trailjournals.com//journal/entry/519831,"For basically two different day hikes, we have been attempting to complete this two mile section of the trail. Altogether we most likely ended up doubling back for at least half of the distance. Today it seems to be much less trouble to complete than the previous attempts. It was also much more enjoyable, however with all the stone it was impossible to take the view off of our feet for most of the hike. The benefit was that when we could, there was almost always something worth attempting to capture in a mere picture.One view I was able to capture quite nicely was the High Point Shelter. The shelter itself is shown over a small stream with a foot bridge built to cross over the running water. To complete this view, we are there in the fall where the leaves are changing to multiple different colors, making this a picture out of a magazine.I put together a collage for the sites we were able to enjoy while on this particular hike (I will post the pictures when I figure out HOW!). It was fascinating to see the same items for the second time and to view them now with the change of season and many more miles under my belt. The tower felt taller, the hike easier, and the views even more spectacular.When we reached High Point Shelter we stopped at the picnic table for a snack. During that time we pulled out the shelter log and read through some of the most recent entries. It looked like someone had stayed just the night before. We also entered our own journal entry, and that’s when the trail names came up again. I asked John what names we should sign, and we decided that Tortoise and Snail were perfect names and that they would stick. I left a few minutes later still laughing.This hike was short, but it was nice to complete this part before moving onto the next section for the day, where we covered another 3.5 miles (next entry). In this short distance we got to see the morning fog on the Delaware River, the High Point Monument, and the High Point Shelter. We fully decided on trail names. It was a great way to start the morning.","High Point Monument, NJ
","Country Rte. 519, NJ","Oct 08, Thu",1.80
Tortoise and Snail,https://www.trailjournals.com//journal/entry/519832,"After finishing the last section between the High Point Monument and Rte 519, Snail and I decided we wanted to continue on for another section. We had only hiked about 2 miles so we wanted to complete another 3.4 miles before ending our journey both for today and for 2015. We took the car back from Rte 519 to the High Point Monument to pick up the second car and took a drive back to where we ended the day previously at Deckertown Tpk. We again left Snail’s car there and took my car up to Sunrise Mountain Rd, where we started our second hike.It was noon when we got to the parking area to start this adventure, so we sat down at the picnic table overlooking the view on the lower side of Sunrise Mountain where the A.T. met the parking lot and enjoyed lunch before starting again. It was warming up but still felt like a fall day. The sun was shining and you could have picked out shapes in the few clouds in the sky. It was the perfect day for a hike, at least in my eyes!After lunch we started on the trail. Throughout the summer I have read some other journals from hikers completing the trail and one thing is a consistent remark. New Jersey is very… rocky. Snail and I joked again how we could not possibly loose the trail here as it looks like an old river that is all dried up. The whole trail is made of uneven stones, rocks, and boulders, with a small amount of grass and dirt in between. Most of this hike we found ourselves looking directly at our feet. To look up inevitably meant tripping over one of the upturned stones in the ground. That meant most of this part of the hike was, well, kind of boring. This was the case for most of the trail, at least for the first two miles or so.The final mile was where it became much more interesting. We found ourselves walking across boulders buried in the ground, the edges peaking through for us to walk on. It was fascinating to see how the terrain was so different from anything else we had passed in this area so far. It made me curious to see more and more of the trail, as each day we’ve been on it so far has been so vastly different. I took some videos with my GoPro and uploaded them to YouTube. The following link will bring you to my YouTube page:https://www.youtube.com/channel/UCXDUUoo9_X42qDMByfpWgtwBy time the boulders ended we found ourselves almost immediately coming to the Mashipacong Shelter. At first view it looked like someone might have been there. Upon closer inspection we found that it just looked as such because someone had left behind two pairs of sunglasses, and there was a blue water jug on the picnic table that someone local seems to refill regularly. Here we took a break for a small snack before completing the final quarter mile to the car. Right before we left, I took one of our trash bags and filled it with garbage that had been left in the shelter. Leave No Trace — and Take more out then in, right?! Well, I have the ability to pack others trash out pretty easily, so that’s what I did.The final quarter mile passed pretty quickly, but did not disappoint in that it too was full of stones. Ending this hike was bittersweet, as I was tired… but knew it was the last one we would be taking for the year and already I wanted to go for more! Instead we headed home, eager for the spring to come quickly!~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~When we got home after this hike, as I was putting my pack away my cell phone went off letting me know I had an email. When I checked it, I had gotten an email from Snail stating the following:“Laughed when I (Snail) read this, especially the last line. It’s from the hiker going SOBO from Harper’s Ferry.The trail was beautiful today, and I am just loving this terrain. It is so easy compared to anything I’ve done so far. I still miss climbing above tree line and viewing the majestic mountain ranges as far as the eye can see, but I don’t miss the hand over hand climbing. The few times I have seen big boulders or impossible looking climbs I automatically assume that is the trail because it would have been in the north.”It seemed a very fitting way to end my entries for 2015. I am looking forward to starting on the trail again in 2016! Our goal is to start late April or early May with some day hikes in preparations for a week hike in June 2016. As we finalize more plans I will be sure to post some updates! For the winter, my goals are to continue walking on my treadmill and to do some light weights. Next year I want to be in even better shape to tackle the trail!","Sunrise Mountain Rd. Parking, NJ
",Deckertown Tpk. NJ,"Oct 08, Thu",3.60
