Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Tuck,https://www.trailjournals.com//journal/entry/554933,One of Several Long Walks (10+miles) with my black lab (Sierra) around White Rock Lake in Dallas TX to prepare for the AT.,,Preparation Walk,"Feb 19, Sun",0
Tuck,https://www.trailjournals.com//journal/entry/555246,"I drove up from Florida with my parents to Amicalola Falls Lodge. We had a nice dinner the night before the hike. I did not get much sleep due to anticipation of starting the hike. The first week will be key in seeing how the body handles the pack, mileage, and hills. This is a big undertaking. Bill","Amicalola Falls Lodge
",Amicalola Falls Lodge,"Feb 26, Sun",0
Tuck,https://www.trailjournals.com//journal/entry/555462,At the AT archway with my parents. There is an 8.5 mile approach trail to the start of the AT trail (Springer mountain) including 6000 steps up a water fall. Spent the night in a shelter because thought it as going to rain-it did not rain. Not a big fan of shelters-to much noise and people coming and going all night (who hikes at night?).   Weather 40-50F-except on Springer Mountain freezing rain.,"Amicalola Falls Lodge
",Stover Creek Shelter,"Feb 27, Mon",2.80
Tuck,https://www.trailjournals.com//journal/entry/555464,"Slept in tent-first time and it rained all the time while setting up camp. A little bird got caught in my vestibule--good breakfast kidding the bird escaped and I ate oatmeal. Also, machine guns were firing not far from tent-it was the army training. As for the picture it is Three Forks-not bad picture if if I must say.","Stover Creek Shelter
",Justus Creek,"Feb 28, Tue",12.80
Tuck,https://www.trailjournals.com//journal/entry/555523,Today was a race to get to camp before a thunderstorm. I made it several hours before it hit--it was a big one. The night was cold had to be on 20s with windchill. The day was foggy so the picture is of me in the tent.,"Justus Creek
",Lance Creek,"Mar 01, Wed",9.80
Tuck,https://www.trailjournals.com//journal/entry/555527,"Today had to hike Blood Mountain which is 4458 feet high. Hence, short hike. I re-supplied and stayed at a hostel. A first for me-- not bad everyone was very considerate. I also had to dry out tent etc... The photo is from top of Blood mountain.","Lance Creek
",Neal Gap,"Mar 02, Thu",7.10
Tuck,https://www.trailjournals.com//journal/entry/555529,Today was perfect day to hike. I spent a lot of time on the trail. The photo is the hostel at Neal Gap. I'm spending night in tent--supposed to be in 20s.,"Neal Gap
",Poplar Stamp Gap,"Mar 03, Fri",13.10
Tuck,https://www.trailjournals.com//journal/entry/555597,"Today was sunny high 54--so put in 14 miles. Lots of people passed me some even running but I'm doling well no ailments. Today experienced what is called ""trail magic"" where some people treated the hikers was bbq'ed hamburgers. The picture is a shelter on the trail-they have them about every 5-6 miles. This is where a lot of hikers stay sleeping next to one another or in tents. Some hikers just tent anywhere along the trail-there are a lot of camping spots.","Poplar Stamp Gap
",Tray mountain shelter,"Mar 04, Sat",0
Tuck,https://www.trailjournals.com//journal/entry/555667,Fairly easy day of hiking 11 miles then took a shuttle to Hiawassee to stay at a budget inn with another hiker. Re-stocked the food and did laundry. The photo is of lake in Hiawassee-very nice town.,"Tray mountain shelter
",Dicks Creek Gap,"Mar 05, Sun",0
Tuck,https://www.trailjournals.com//journal/entry/555723,"Well, I'm not a Georgia dropout--made it to North Carolina. Only hiked 10 miles today since got a late start because had to wait for shuttle to the trail head. Weather was ok in low 50s with drizzle and fog in morning. I'm getting good at setting up tent etc... I may get to break camp in the rain tomorrow since 90% chance of rain.","Dicks Creek Gap
",Bly Gap,"Mar 06, Mon",0
