Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Walkamole,https://www.trailjournals.com//journal/entry/556272,"Hi all!    So, this is a quick update for this year! I drive into Boston tomorrow to hopefully make getting to the airport on Wed easier (due to winter storm Stella). I'll post from there if I've got time to kill. Got everything I need and I'll be headed down to Atlanta to shuttle to Dahlonega on Wed and will hit the trail on Thursday! I'm very excited. More to come...


Walkamolé!""Ah yes, lets add some poison ivy to this...""","
",NH,"Mar 13, Mon",0
Walkamole,https://www.trailjournals.com//journal/entry/556749,"This will be a double entry for yesterday and today. I made it safely to Atlanta and met another thru hiker on the plane! I got dropped of at Springer parking lot at 1600 with turtle and snail, a German couple in their 70s doing their third thru! Hiked into Hawk MTN shelter and spent the night. It was COLD. Not as cold?as Tuesday or Wednesday night I was told but I was chilly. It remained cold until this afternoon then it got pleasantly warm. We've got some rain coming in tonight but I'm planning on staying at Neil's gap tomorrow night so I should be all set. I think I'll pick up a sleeping bag liner just to be safe. Had a trail angel drop off pizza, beer, water, and fried chicken to myself and three other hikers. I only partook? in the first three and only slightly, but it still made my day. Camping with Foggy tonight in a cool site with tall rocks. That's all for now!","Springer MTN parking 
",Woody Gap,"Mar 17, Fri",21
Walkamole,https://www.trailjournals.com//journal/entry/557002,Today I hiked from Woody Gap up into a foggy mountain morning. I summited blood mountain right as the sun was burning off the last of the fog that came on with last night's rain. I got some great views coming into Neels gap where I planned to spend the night. Unfortunately the hostel there was full up (they gave the last bed away 30 min before I got there) so I decided to push on to look for a campsite as sheltered from the wind as possible. JR (from Charlottesville) joined me and we set a good pace together. We ended up at Baggs Gap (we think) and spent the night camping with a ridge runner who thru hiked last year. I got a liner for my sleeping bag and a new dry bag as my old one finally broke at the buckle! I've seen lots of dogs with day hikers so that's really nice,"Woody Gap
",Baggs Gap?,"Mar 18, Sat",15
Walkamole,https://www.trailjournals.com//journal/entry/557003,"Today I fulfilled a lifelong dream: I ate a Snickers bar at 2 a.m in bed and loved it. The temperature got down to about -1.1 C last night but the wind was blowing a gale. It made Ireland wind look like a gentle breeze! The sleeping bag liner really helped (but I ate the Snickers for? saftey and scientific purposes) JR and I broke camp early and hiked into unicoi gap (mile 52) and hitched a ride into hiawassee after some trail angels (rainman and fireball) graciously fed us burgers, dogs, and boiled peanuts! We are thinking of taking a zero day tomorrow and are looking forward to resting a few muscles.","Baggs Gap?
",Hiawassee,"Mar 19, Sun",17.50
Walkamole,https://www.trailjournals.com//journal/entry/557022,"Took a zero day with JR in Hiawassee today to let your legs heal up a bit and to get a good night's sleep after the several cold and windy nights. Slept like a log last night and was very grateful for the roof, bed, and warm meal. My stomach is still adjusting to southern town food so that's been fun but oh well. Going to see a film also so we have an excuse to sit and do nothing! JR and I are looking to be in Franklin,NC on the 25th to meet up with some friends of his and to resupply. After that we're hoping g to be able to really start adding some miles! There's still a fair bit of snow ahead of us so we're trying to time our passage through the Smokies appropriately. Still no trail name yet. That's all for now!","Hiawassee
",Hiawassee,"Mar 20, Mon",0
Walkamole,https://www.trailjournals.com//journal/entry/557136,"JR (trail name now and here after referred to as pineapple) and I hit the trail at unicoi gap and we're originally planning only to go to Trey mountain shelter (6 mi) but we were feeling so good from our luxurious zero day that we pushed on another 7 miles to deep Gap shelter and arrived a few hours before the first t-storm rumblings started. Carrying five days of food is heavy! 
The old axim ""be careful what you wish for..."" was proven today. This first week the weather has been crazy. -1.1 c sunday morning and 29.4c this afternoon! Thunderstorms rolling in tonight but they'll be gone by morning and we'll have another awesome hiking day. 
This will be my first night spent in a shelter and it's filling up quick. Pineapple, joker, bulletproof, Alex, Johnny Walker, momentum, shutterbug, muffit, Jameson, eclipse, and more! Everyone is in very good spirits though. This is the comradery that you hear about and long for out here after a hard Day's hike. 
We hit our hardest mountain yet! Kelly knob! One mile of hot and steep! But we made it. 
A quick note about anyone going to hiawassee, ga. I'd personally avoid Daniel's ayceb... It did something not quite Christian to my stomach. But, such is life. That's all for now!","Hiawassee
",Deep Gap Shelter,"Mar 21, Tue",13
Walkamole,https://www.trailjournals.com//journal/entry/557358,"We crossed over into N. Carolina today! Following this achievement, we proceeded to climb, climb, climb! It was essentially a ""welcome to North Carolina"" for us but we got in a fifteen miler so that was cool. Shelter life was definitely not as warm as Deep Gap. But, oh well. We had a dog in camp! The sunset last night was awesome! I also met a guy who knew about RKS which was really cool cause I'm in their home state. That's all for now!","Deep Gap Shelter
",Muskrat Creek Shelter,"Mar 22, Wed",15.10
Walkamole,https://www.trailjournals.com//journal/entry/557359,We had a cold night but awesome hiking weather today. We had a very good lunch on standing Indian MTN. On the summit we saw the first flowers of spring! It's still pretty damn cold though. Still in the same odd bubble here but oh well. That's all for now.,"Muskrat Creek Shelter
",Carter Gap Shelter,"Mar 23, Thu",12.50
Walkamole,https://www.trailjournals.com//journal/entry/557468,"We hiked from Carter Gap shelter (a cold morning without the small fire from last night) up to Mt. Albert, our steepest climb yet. There was a 40 foot fire tower at the summit but sadly no view except the inside of a fog bank. We hit mile 100 almost immediately after which was awesome! We got to rock gap shelter at 2 p.m (12 miles in 5 hours, including lunch) and we decided to push on to a dispersed site closer to our pick up point for Franklin tomorrow. We found a site close to the top of an unnamed hill and the trail runs through our camp! 
I also have a potential trail name... Walkamole (like guacamole but with walking!) I'll think about it and decide later. Town day tomorrow!!","Carter Gap Shelter
",2 miles past Rock Gap on a Ridge,"Mar 24, Fri",14
Walkamole,https://www.trailjournals.com//journal/entry/557673,"Real short day today heading into Franklin. This was the town that Catherine and I stopped in last year on the way to the approach trail. We resupplied and checked into the budget inn. Our first room the toilet overflowed within us being there for about 30 seconds. Our next room smelled like a muskrat pissed on the carpet and it was more damp than the underside of a black and tan coon hounds jowl during the middle of a thunderstorm in July. pineapple, Alex and I all slept on top of the beds in our bags...    We went out to motor co. Burgers for dinner and then popped into the last hiker brew co. For some awesome Latin style music and a wee pint. I also learned a new card game called castles. That was our day! Zero tomorrow.","2 miles past Rock Gap on a Ridge
","Franklin, NC","Mar 25, Sat",2.50
