Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
You Can Call Me Al,https://www.trailjournals.com//journal/entry/557972,"I've thought about hiking the whole Appalachian Trail since I first hiked a part of the trail as 12-13 year old Boy Scout in Pennsylvania. One of my college classmates planned to hike the entire trail after graduation in 1979. I envied him. Finally, after my retirement last year after 37 years with IBM, Loral, Lockheed Martin, I've got the opportunity.",,View Entry,"Mar 28, Tue",0
You Can Call Me Al,https://www.trailjournals.com//journal/entry/559265,"My plan is to head north from Harper's Ferry on Wednesday, 19 April. After getting to the end of the trail in Maine, I plan to go to Georgia and head north again, finishing at Harper's Ferry. After finishing Maine, I am considering doing Georgia to Harper's Ferry next year since I am not a fan of hiking in the heat. I'll be supported by my wife, Dolora, meeting up about every two weeks.I've been running four miles about five-six times a week to be in shape. For the last couple of months, my right knee has been bothering me. I've stopped running and been walking so it seems to be a lot better. I will be hiking as long as my knee holds up and I'm still having fun!",,View Entry,"Apr 08, Sat",0
You Can Call Me Al,https://www.trailjournals.com//journal/entry/559979,"I've taken over the living room. Gear is spread out everywhere. I've been sorting it into a couple of piles - goes in my pack, leave behind, maybe and a box that I will ask Dolora to bring along when we meetup every two weeks or so. Weight is adding up pretty quickly but I am hoping to be around 20 pounds before food and water. The hard part is trading off weight for comfort. I've got a rough plan for the first month. I will be starting slow and hopefully increasing my daily mileage as I leave Pennsylvania.My original backpacking experience was with a friend, Bob, back in high school and college. We would plan a week long trip at the end of summer before heading back to school. Trips that stand out were the Black Forest Trail in central Pennsylvania and the Northville Placid Trail in the Adirondacks. I weighed about 50 pounds less and probably carried a 50 pound pack. Now I plan to carry about 30 pounds. Gear has really changed in 40 years. Since some friends and family with little or no backpacking experience will be following my adventure, I plan to try to answer trail questions and describe gear choices as I start my hike. Let me know if you have any questions. 


My complete gear list can be found at the link below. I will be updating it until I leave.



Full Gear List",,View Entry,"Apr 13, Thu",0
You Can Call Me Al,https://www.trailjournals.com//journal/entry/560441,"What is the Appalachian Trail, AT for short? The Appalachian Trail is the longest hiking-only footpath in the world, running through 14 states from Georgia to Maine. The AT starts at Springer Mountain in Georgia and finishes at Mount Katahdin in Maine. This year it is 2,189.8 miles long. Trail length varies from year to year because of trail relocations and land acquisitions.The AT was first envisioned by Benton MacKaye in October 1921. In August 1937, a footpath was completed from Georgia to Maine. In 1968, the AT became a national scenic trail under federal protection. Much of the trail was on private land, and some continues to be so today. The National Trails System Act allowed for the acquisition of a corridor for the trail.There are more than 250 shelters located along the AT. Shelters are typically three sided buildings, usually with water and a privy, AT talk for outhouse, close by. Most shelters also have tent sites nearby. Shelters are a good place to meet up with fellow hikers and provide some protection in really wet weather, if you don’t mind the mice.Most parts of the AT are from three to six days between towns. This allows for frequent resupply and carrying less food weight. If a 2,200 mile hike seems ominous, thinking of it as 50 three to six days hikes makes it seem much more achievable.


Appalachian Trail Map",,View Entry,"Apr 17, Mon",0
You Can Call Me Al,https://www.trailjournals.com//journal/entry/560573,"Hikers attempting to complete the entire Appalachian Trail in one season generally have three choices. A limiting factor can be severe weather at the northern terminus of the trail in Maine. Because of its northern latitude and altitude (5,267 feet), access to Mount Katahdin is only available to hikers from 1 June through 15 October.NorthboundThe vast majority of hikers start at Springer Mountain in Georgia and head north. Early shelters and campsites can be overcrowded because of the number of hikers. A start in March or April almost guarantees snow while hiking the Smokies. Northbound hikers should be in Harpers Ferry by 4 July or they risk not making it to Maine before Baxter State Park closes.SouthboundSouthbound hikers generally cannot start their hike before 1 June because of weather in Maine. There are fewer hikers heading south and hikers generally finish at Georgia in the late fall or early winter.Flip FlopA flip flop hike starts somewhere in the middle of the trail. Harpers Ferry is one of the more popular starting points. The Appalachian Trail Conservancy headquarters is located there. The ATC hosts a Flip Flop Festival in April. A conventional flip flop could start in Harpers Ferry and head north. After reaching the terminus in Maine, the hiker returns to Harpers Ferry and heads south to the southern terminus in Georgia. A flip flop avoids crowds and probably provides the most favorable weather conditions. The trail is a little flatter at the start, allowing the hiker to get conditioned.Unconventional Flip FlopI plan to start my hike at Harpers Ferry and head north. After reaching Maine, I would head to Georgia and head north again, finishing at Harpers Ferry. Since I live a little over an hour from Harpers Ferry, I would be finishing heading towards home! There’s always the possibility that I would save the second half for next year and avoid the heat of summer in the south but I won’t worry about that until I reach Maine.",,View Entry,"Apr 18, Tue",0
You Can Call Me Al,https://www.trailjournals.com//journal/entry/560781,"Dolora made me a wonderful dinner last night. This morning we drove to the Appalachian Trail Conservancy headquarters in Harpers Ferry. I had my picture taken and then we took the 0.2 mile side trail to the AT. Dolora walked with me up to the bridge over the Potomac into Maryland. For the next two miles, the trail was flat and followed the C&O Canal. The day didn't stay flat. Got into Ed Garvey Shelter in the early afternoon. There is a north bounder here who started in Georgia on 1 January. Looks like there are two ladies staying in the shelter tonight. One from Wisconsin set her tent up inside. The other from Maryland is hanging a hammock from the shelter and sleeps with her dog in the hammock. Windy, cool and overcast this evening but no rain.","Appalachian Trail Conservancy Headquarters
",Ed Garvey Shelter,"Apr 19, Wed",6.90
You Can Call Me Al,https://www.trailjournals.com//journal/entry/561011,"Eric and Tim, section hikers from PA came in and tented last night. Woke to rain at sunrise. Rain ended about eight. After some coffee, packed up a wet tent and headed out. Passed a few south bound hikers. At Gapland State Park, took the opportunity to rinse some clothes, dry the tent and fill up with water. Sunny and warm until a short shower this evening. 9.1 miles brought me to Rocky Run Shelters. Two shelters and lots of tent sites. A couple of other flip floppers as well as the lady from Wisconsin. The other woman with the dog came in after dark. At least four other section hikers as well. Expecting more tonight. Looking forward to a hot shower 1.8 miles down the trail tomorrow morning. Saw a turkey on the trail this morning. Trees are starting to leaf out. Been great so far. Knees and feet are fine! I'll add photos when I have Wi-Fi.","Ed Garvey Shelter
",Rocky Run Shelters,"Apr 20, Thu",9.10
You Can Call Me Al,https://www.trailjournals.com//journal/entry/561168,"It rained overnight, do I had the opportunity to practice packing a wet tent again. Today was warm and sunny. Tonight is supposed to be dry for a change. After hiking two miles this morning, a hot shower and some laundry at a backpacker campground. Hiking really makes you appreciate a hot shower. Saw a turtle, garter snake, and about a five foot black snake while hiking. Pics will go on Instagram when I have Wi-Fi. At Pogo Memorial Campsite tonight, no shelter but a great spring nearby. Here with Hands and Mouth, another flip flopper who hiked the trail in 2015. Three section hikers and a couple came in later. Not eating as much as planned, I may skip my first planned resupply. Not looking forward to a big up to start the morning.","Rocky Run Shelters
",Pogo Memorial Campsites,"Apr 21, Fri",10.70
You Can Call Me Al,https://www.trailjournals.com//journal/entry/561363,"A gang came in last night after dark. Not sure how many since I left before they were up. Well, today's rain started about 5 a.m.and continued all day. The rocks are normally slick, the rain makes them even more slippery. Mud where there aren't rocks. A couple of slips. Temperature in mid 40's, nice on the uphills, ok on the level but cool on the downhill. Thought Hands and Mouth would be going to town for resupply but he was at the shelter when I got here. Trying the shelter tonight since it is still raining. Shelter will probably be full. There are a couple of Boy Scout troops here. Saw several more on the trail today. Had my first trail magic today. Someone left four gallons of water along the trail.
Trail MagicTrail magic is the hiker term for trail generosity by people, trail angels, who expect nothing in return. It might be a ride into town, a hot dog, soda or even a place to stay. There are some famous trail angels, sometimes former hikers.","Pogo Memorial Campsites
",Raven Rock Shelter,"Apr 22, Sat",9.90
You Can Call Me Al,https://www.trailjournals.com//journal/entry/561492,"Stepped into Pennsylvania today around noon, leaving Maryland behind. Maryland was kind enough to introduce me to lots of rocks before entering Rocksylvania. Sunny and perfect temperature for hiking today. Rain predicted for Monday and Tuesday. The shelter last night was crowded with several troops of Boy Scouts in tents nearby. Lots of snoring, glad I had ear plugs. Added an extra 0.6 miles this morning having to get water before getting started. Biggest day yet, 13.2 trail miles. Knees and legs feel good. Feet not so much. Dealing with a couple of blisters. Sleeping in the shelter again tonight, at Tumbling Run Shelters. Since there are two shelters, I have one to myself. There are three thru-hikers here, two brothers and a recent Marine. John a photographer for the York Dispatch came in late and is hammocking. He is section hiking. Will spend tomorrow night in a dry room with running water. Should have Wi-Fi to add photos.","Raven Rock Shelter
",Tumbling Run Shelters,"Apr 23, Sun",13.20
