Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
hobojoe,https://www.trailjournals.com//journal/entry/554845, ,,View Entry,"Feb 19, Sun",0
hobojoe,https://www.trailjournals.com//journal/entry/556018,"Still in Florida visiting family. We are ready for the hike to just begin. Journal for this hike will be for friends and family who want to track our progress, and we will try to update this site as often as we can. However, we both do not enjoy writing so bets are off about posting on a regular basis.Bullet Points--Our pack weight dialed in to about 17 lbs. base weight- meaning without food, water, and fuel.-We travel from Asheville to Georgia on March 13th to the Hiker HostelThe hostel will shuttle us to the Approach trail on the 15th where we will officially start.-We will be carrying 4 days of food at about 8 pounds (2 pounds per person per day). Water will be collected and filtered along the way at the springs and streams that are along the trail.",,View Entry,"Mar 10, Fri",0
hobojoe,https://www.trailjournals.com//journal/entry/556344,"Family and Friends,We arrived yesterday, and we are now getting our minds right. Start at the approach trail tomorrow. We would like to thank everyone who has helped us and for all of your support out there. It was great to see everyone this past two months- traveling around has been kind of hectic. Again, thank you so much for everything. We'll try to post again in 4 or 5 days.","NONE
",NONE- Rest Day,"Mar 14, Tue",0
hobojoe,https://www.trailjournals.com//journal/entry/557213,"Hello Everybody!!!We started on March 15 at the approach trail and arrived at springer that evening for 15 degree weather with large wind chill all night. We started hiking immediately the next morning just to warm up - which took 2 hours. The day turned out really nice. Some highlights from the first few days:- flock of turkeys in the early morning, about 8 of them, and no shotgun. We got really close before they flew up the hill.-trail magic at unicoi gap with a carton of grapes and two old timers at tray gap with cookies and hot dogs and soda-other than the first day the weather has been really nice except for the rain last night. But, the tent works pretty well in the rain.We're still trying to get our trail legs. We're spending the night at Hiawassi, Ga. We will try to post pictures later today.
New - You can view the photos under the photo link on the left hand side.","NONE- Rest Day
","Hiawassee, GA","Mar 15, Wed",13
hobojoe,https://www.trailjournals.com//journal/entry/557647,"Hello Everyone! Hobojoe and I are in Franklin, NC for a day of recovery and resupply. Since Hiawassee, we have been breaking our 8-10 mile rule and hiking up to 16 miles a day. The daily miles depends on the weather, terrain, and how my feet, knees, etc...hurt. But, we can definitely tell we are getting stronger. And we are getting better at what our pack should have and setting up and tearing down our campsite.We posted some photos, so please look on the left side for those. The past two days have been very foggy, so the views haven't been so good, but like HoboJoe says, they all look the same.We've hiked with a lot of different people, everyone is very nice. Even one who attended the Chewoki school in Maine. We will move through North Carolina for the next week and are looking forward to seeing some friends and family - and hopefully Jake. We miss him a lot!","Hiawassee, GA
",View Entry,"Mar 16, Thu",0
hobojoe,https://www.trailjournals.com//journal/entry/558227,"Hello Everybody!Still cranking out the miles. We stopped at Fontana Hilton Shelter close to Fontana Village Resort for a rest day to recuperate after some tough miles. Some highlights from our little adventure:-the Nantahala Outdoor Center was a pretty fun sight for hikers and a beautiful area to just relax; however, the climb out of the NOC was hard culminating in Jacob's Ladder- or straight up and steep.-new tent worked out nice and is much roomier than the last one. Our first time using it we pitched the tent on too steep an incline- the only tent site available- and we didn't sell sleep too good sliding down to the bottom of the tent every ten seconds.-we are becoming experts at sleeping in the rain, but packing up in the morning with everything wet still is a hard time. Next stop and next post should be from Gatlinburg Shangri-La","
",Smoky Mountain National Forest,"Mar 31, Fri",0
hobojoe,https://www.trailjournals.com//journal/entry/558736,"Hello once again. Hobojoe and I are in Gatlinburg. We left Fontana Dam after taking a zero (no hiking miles) day due to pain in my lower leg. After a day of rest and some KT tape that another hiker gave me, we took off for a 17 mile day. The hike wasn't bad after the 4 mile uphill out of Fontana Dam. Leaving Fontana Dam put us in the Great Smokey Mountains which have been very nice despite the rules of having to sleep in the shelter unless it is full. So far, we haven't had to due to the amount of people hiking. The weather was awesome until the last day heading in to Gatlinburg. We left camp early to beat the rain, but no luck. The last 4 miles it was a downpour, but lucky for us, my sister was there to pick us up. We have taken a day off to resupply and enjoy the family and head back tomorrow. Next stop is Hot Springs and we'll hopefully get to see some more family. I posted photos, but some are having issues. The only thing I can think of is to hit the link titled ""last"" below the photos, then the link ""previous"" when looking at the photos.","Fontana Dam
",Gatlinburg,"Apr 04, Tue",15
hobojoe,https://www.trailjournals.com//journal/entry/559943,"Hello everyone from Hot Springs. We left Gatlinburg after a 5 day stay - we were only going to stay for a day and a half. Due to the weather - rain, cold, then snow and the road being closed, we stayed a few days more than anticipated. We finally left despite the trail being frozen (see photos)and by the time we got to the shelter, we were cold and just wanted to get the tent up and get warm. But, what a difference a day makes - the next day it warmed up and we went downhill past the snow and slush.Right past the northern boundary of the Great Smokey Mountains, we stayed at the Standing Bear Hostel for a night which was nice since we did laundry, had a few beers, and a shower (at least I did just to get the salt off from the sweat). After we left there, we hiked for another day and a half, passed Max Patch (see photos), and into Hot Springs. We got there earlier than anticipated since HoboJoe likes to do 18 mile days now. It worked out, since his parents came in with a resupply and we got to enjoy lunch with them. And today, his friends come in for a visit/hike. We'll take off tomorrow with a goal of Erwin in 4 to 5 days. Hopefully, we can post again.","Gatlinburg
",Hot Springs,"Apr 13, Thu",17
hobojoe,https://www.trailjournals.com//journal/entry/561338,"Hello Everybody!We haven't posted since Hot Springs. Thank you to my parent for visiting, Thomas and Annie and the kids for also seeing us. And, thank you to Aaron and Joy for visiting us in Erwin and bringing Jake to see us. Joy has now totally assimilated Jake into their household, and I think he's her dog right now. We zipped through Hot Springs to Erwin in 4 days and then Erwin to Hampton in 3 days. We put in a 22 miler and a 25 miler; so, we're getting a little better- feet still hurt at the end of the day.The bald mountains in NC and TN are hard to hike up (picture will be posted once we get to Damascus, VA in 3 days), but the views are incredible. We've seen two garter snakes and a rustled up a few deer drinking off of the Elk River in TN.The rain right now in Hampton is bordering on 2-4 inches, and we're glad were inside avoiding the weather. Lots of cold, wet hikers right now. We will write again in Damascus.Thank you again everyone for your support.","NONE- Rest Day
",Damascus,"Apr 23, Sun",0
hobojoe,https://www.trailjournals.com//journal/entry/562984,"Hello everyone.  We apologize for not posting sooner, but we both got a severe virus in Damascus, VA and we didn't feel like doing anything.  Luckily, it hit the night we went in to Damascus, so it could have been worse if we were out on the trail.  I got it first and then a day later, HoboJoe got it.  It set us back two days, but we are both feeling better.Once we got moving, we finally past our 500 mile marker.  I posted some pictures of the ponies from the Grayson State Park.  That was really nice.  The terrain in Virginia has been a little easier  (so far) compared to Georgia and North Carolina.  You can definitely see a difference in the vegetation - everything is budding and turning green - it is really pretty.  We should post in about 5 days or so.  Most places (hostels) don't have a computer for hikers to use, so it can be difficult to post.  Again, thank you to everyone for their support.  ","Damascus
",North,"May 04, Thu",0
hobojoe,https://www.trailjournals.com//journal/entry/563955,"Hello Everybody,We are doing a quick resupply in the town of Pearisburg, VA and staying at the Plaza Motel which is clean and very friendly.  We have a had a great time hiking now that we're healthy from the virus in Damascus.  We have had lots rain to deal with at night.  Our tent is holding up very well.  Luckily, we haven't had to hike much in the rain during the day.  We came across an old school house that you can see in the pics where a methodist church leaves trail magic stuff like cokes and brownies and cookies for us hikers.  Very nice of them.  Also you can see that baby ground hog that followed us down the trail.  It looked like the varmint Bill Murray was trying to blow up in Caddyshack.Our next stop is probably in Daleville, VA.   We'll try and keep you updated.","
",who knows? someplace dry,"May 10, Wed",0
