Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Achin,https://www.trailjournals.com//journal/entry/585234,"After having to take off all of 2017 for medical reason, I am eager to get started once again in 2018.  
 

For those of you who followed me in prior years, you may recall that I had to get off the AT in Maryland in late October 2016.  After obtaining immediate Emergency Room care in a Hagerstown hospital for a serious bladder infection, I returned home to Aiken, SC.    A few weeks later I was scheduled for Prostate surgery (TURP) as a cure for the problem.  That went fine and I was recovering at home about a week later when I started having back pains.  That turned out to be a pulmonary embolism, most likely the result of the surgery.  That put me on a precautionary strong blood thinner for a 6-month protocol.  That precluded a 2017 spring hike due to the danger of any bleeding while in the woods.  Unfortunately while being treated for the PE, they discovered via X-rays that I also had an Ascending Aortic Aneurism (a bulge in the aorta just above the heart).  At first it was a watch and see situation to determine if it was stable (could have been there my whole life).  About April of 2017 I came off the precautionary blood thinner regimen and tests showed the aneurism had not changed.  So, I was cleared by the doctors to engage in any physical activities that I wanted, including long distance hiking.

 

So, plans were made for a fall 2017 AT hike and serious physical training ensued. All plans were made, travel arrangements to Harpers Ferry done and backpack packed and ready to go.  Then I noticed some slight pains in my back and doctors thought it would be prudent before hiking to check it out.  A CAT scan revealed that the aneurism had grown and surgery was planned.  I was so downhearted after training so heavily and being so close to going.  On 10/18/17 I had open-heart surgery to replace a section of the aortic artery and also a replacement aortic valve installation.   Surgery went fine; actually surprisingly pain free throughout the entire recovery process.  For 3 months my only allowed exercise was walking, and I did a ton of that around neighborhood streets and a local mall when raining/freezing.  In June I was told I could start exercising more and that a spring hike was certainly possible. Been training and planning ever since.  I am now ready to go; although it was a tough job getting strength back after serious surgery.

 

The picture is what I looked like on Halloween of last year – come a long way since then.  At that time I was considering going trick or treating in my hard won costume.",,View Entry,"Mar 29, Thu",0
Achin,https://www.trailjournals.com//journal/entry/585535,"So, the days are getting closer to my April 14th start out of Harpers Ferry.  Actually will be leaving home in less than a week from now.   Driving up to Charlotte, NC next Saturday for an early morning Sunday flight to Denver.  Will pick up my daughters car at the Denver airport and drive it to her new home in Charlottesville VA.  On 4/10 we will converge on Charlottesville via 3 separate paths.  Daughter and family will have departed CO on 4/6 after their old home closing, Wendy will arrive driving from Aiken, SC (with my hiking gear) and I will be completing my 1600-mile drive from Denver.  Wow, 1600 miles in 3 days, shortly to be followed by a planned 572 miles in about 2 months.  Will spend a couple of days in VA with the family and see their new home, then depart from there on AMTRAK early on the 13th to arrive in Harpers Ferry later that afternoon.

 

Just recently it seemed I had plenty of time to complete my pre-hike to-do list.  Now, suddenly, it is tight.  Will have a busy week this week.  Am planning on 3 additional 8 to 10 mile outings with my full pack in nearby woods.  Physically, I feel that I am ready; but a little more training will not hurt.  And will also do two more Body Combat classes at the gym.

 

This section hike on paper does not seem as demanding as previous sections.  Just as a quick and dirty way of looking at it, I looked up the maximum AT elevation within each state.  States I have completed are: GA, NC, TN, VA ad WV.  Their maximum elevations are: 4457, 5435, 6667, 5447 & 1117 feet. This planned section hike covering MD, PA, NJ, NY, CT and Mass are: 1795, 2070, 1701, 1433, 2316 & 3491.  This is a noticeable difference.  Obviously there will still be climbs; but not as many and not as severe over-all.  What is concerning is the reputation of PA as being very rocky as well as portions of NY.  I do not like hiking on rocks; but so be it.",,View Entry,"Apr 02, Mon",0
Achin,https://www.trailjournals.com//journal/entry/585584,"After this entry my 2018 journals will start appearing for everyone to see.  Probably my last entry until 4/13 when I arrive in Harpers Ferry.  At that point I will meet up with my old hiking pal, Trudger.  We have hiked together a couple of times after meeting on the AT in GA back in March, 2014.  After spending the night in a hostel, we’ll start out the next day.  Trudger is planning to go to Duncannon, PA with me, about 2 weeks of hiking. Then he’ll depart to prepare for his trip back to Peru.

 

Did a 9 mile hike with full pack this morning in nearby Hitchcock Woods.  Plan on 2 more such training efforts before departing.  Hope I do not lose too much off my training by having over a week elapse before I hit the trail.  Five of those days will be sitting in a plane, a 3 day drive and a day on AMTRAK.

 

Been reading lots of other hikers Trail Journals.  They have had horrible weather this so far this year.  Hope Mother Nature has decided that enough is enough. I do not want hot or even warm.  Looking for cold/cool nights and cool days for awhile.  
 

Picture today is a scene in Hitchcock Woods.  It is pretty typical; but, not always that flat.",,View Entry,"Apr 02, Mon",0
Achin,https://www.trailjournals.com//journal/entry/586666,"Made it to Teahorse Hostel and met up wth buddy Trudger this afternoon.  Had my traditional pre-hike spaghetti dinner a short half mile away.  There's about 12 people at the shelter - 11 hikers and 1 biker.  Two of the hikers are thru hikers starting in GA back in February.Had a last minute change of plans.  At 5am got a text from AMTRAK that my 7am train would not depart until 11:45.  That would make my connection in Washington tight.  An hour later another text added another 15 minutes to the delay.  So, my son in law Jason ended up driving me here.  It was about 2 1/2 hours from Charlottesville.",,Harpers Ferry,"Apr 13, Fri",0
Achin,https://www.trailjournals.com//journal/entry/586727,"Total miles today:  11.1Total miles this hike: 11.1AT mile marker: 1035.1
A good first day.  Trudger and I left the hostel in Harpers Ferry at 7:30am.  We hiked together all day.We had planned on stopping for the day at the first shelter at 7.1 miles.  Even after a 900 foot climb we made it there at noon.  We decided to go on after lunch and ended up just short of the 2nd shelter.  We are stealth camping with no one else around.  Just about .5 miles back was a War Correspondents Memorial (picture) where we had dinner at picnic tables in a pavilion.
It was hot today, in the lower 80's.  Making me a hot, sweaty, stinking hiker.  In fact lying in my tent writing this in just my boxers(tmi?).  Suppose to be much cooler tomorrow; however, rain is coming.  Potential heavy rains Sunday and Monday make us uncertain of plans for tomorrow. 
It was a big first day and we're both quite tired.  Saw many other hikers today.  Probably nearing a hundred or more. Were high school groups, college groups, Boy Scout groups, section hikers and thru hikers.  In the hostel were 2 thru hikers that are already this far after starting in GA in February.","Harpers Ferry
",Stealth camp,"Apr 14, Sat",11.10
Achin,https://www.trailjournals.com//journal/entry/587377,"AT mile marker: 1040.2
A note to my friends(former co-workers) at BAE who enjoy such talk....by stealth camping last night there was no privy.  So I had to pull off a PITW to avoid a PIMP this morning.
Trudger and I met up with a nice retired guy trail named Rock Dawg from Savanah, GA early today and we all hiked together.  It was a short day for us, only 5.1 miles.  We arrived at a very nice, newer shelter and made a decision to stay there.  Very heavy rains were forecast for the evening.  Our thinking was even if we went to the next shelter it was only rated to hold 5 people.  So what if we got there and had to tent in heavy rain?
At the shelter where we stayed there were 9 of us.  A girl and 2 young guys, an older couple and 4 old farts.  And there was room to spare.
It did in fact rain.  As best as I could tell with intermittent sleeping it rained hard from about 9pm until 6am with temps in the low 40's.
Another bummer was that when I got up in the morning I found my phone battery was dead.  Thus the delay in posting journals and lack of pictures.
It was a long, boring day sitting and laying around in a cold shelter from about 10am to the next morning.","Stealth camp
",Rocky Run Shelter,"Apr 15, Sun",5.10
Achin,https://www.trailjournals.com//journal/entry/587378,"AT Mile Marker:  1047.7
Trudger, Rock Dawg and I got a late start today due to the rain and cold.  There was a forecast of another band of showers coming so we had on our rain gear and pack covers.
During the day I passed the point I got off the trail in October, 2016 due to medical problems.  So, on to virgin territory for me.
The trail was very wet, flooded sections from the overnight rains.  We never did get much rain during the day; but, a few light snow/ice pellets.  Even though it didn't rain we were plenty wet from sweating under rain gear and shoes/socks soaked from unavoidable puddles.
After 7.5 miles we arrived at the shelter and secured our spots in the older, small shelter.  A south bounder told us he was there during the torrential previous nights rains and the roof leaked.  Sure enough there were some wet spots on the floor.
So another short day due to weather and surprisingly plethora of darn rocks.  Thought PA was suppose to be the rocky state, not Maryland.","Rocky Run Shelter
",Pine Knob Shelter,"Apr 16, Mon",7.50
Achin,https://www.trailjournals.com//journal/entry/587379,"AT mile marker: 1060.8
Again hiking with Trudger and Rock Dawg.  It was a long, cold and windy day.  In the 40's and VERY rocky.  We planned on a bigger mileage day to set up a morning arrival into Waynesboro, PA the next day.
In the afternoon we met some south bounders who told us of two upcoming streams that were heavily swollen from the recent heavy rains...and too dangerous to ford.  They were normally just crossable via stone stepping.  We got some tips from them about detours.  Sure enough they were too dangerous to cross.  The first involved bushwhacking about .2 miles to where a road bridge crossed the stream and back tracking on the road to the AT again.  The second detour was more involved.  Had to bushwhack along the steam about .3 miles to small walking bridge (actually where the AT once crossed the stream before a trail re-route years ago).  Then up a steep bank to a road and down the road to rejoin the current AT trail again
Then near the end of the day we had a large rocky ascent that plum wore me out.  And on top of that, had a .8 mile round trip on a steep trail to resupply water for the night and next morning.
So, a very tiring day.  Officially 13.1 trail miles.  But with the detours and long trip to the spring it was about 15 miles in total.
Slept in the shelter again with about 7 others.  Another newer, 2 tiered shelter.  Again in the low 30's overnight.","Pine Knob Shelter
",Raven Rock Shelter,"Apr 17, Tue",13.10
Achin,https://www.trailjournals.com//journal/entry/587380,"AT mile marker.  1065.4
Another short day as planned to go into Waynesboro. PA.  It is about 3 miles from the AT.  But it worked out well because Trudger and I benefitted from Rock Dawg having his truck parked at Pen Mar Park.  It is a Maryland state park right at the state line and the AT goes right through it.  So we all rode into town to a Days Inn.
Trudger decided a few days earlier that he was not enjoying this hike and arranged for his son to drive down from NY and pick him up that afternoon.
Rock Dawg and I shared a room, went to a laundromat and to Pappy's Pub for dinner.  
Sometime along the day, I also decided that this hike was not what I wanted to continue as well.  More on that on my next post.","Raven Rock Shelter
","PenMar Park / Waynesboro, PA","Apr 18, Wed",4.60
Achin,https://www.trailjournals.com//journal/entry/587382,"FINAL, yes FINAL(Due to a dead phone battery, am posting several days at once, please go back to see them).
It's really over this time.  
I am currently on AMTRAK in North Carolina somewhere - on the way to  Columbia, SC.  Should arrive there about 1:40am Friday.  Wendy will pick me up about 5:30am.  Earlier today got a ride from an AT shuttler from Waynesboro back to Harpers Ferry.  Picture is the beginning of the rail trip over the river bridge and through the tunnel and towards home.
I finally concur with Trudger's comment ""thinking about hiking the AT is much better than actually doing it"".  
I've known for some time that the likelihood I'd ever complete the whole 2,190 mile AT was a real long shot.  The last week really drove that home.  The realization of the more frequent occurrences of real rocky areas as I would go forward is very disheartening to me.  Especially the larger rocks that you just don't step over; but, have to step up onto(or worse) are killers for me.  Could not see going on, not enjoying the hiking, when I had given up the dream of ever finishing.
I am proud of completing almost half of the AT.  Have met so many really nice people, enjoyed friendships with several and will have lifelong memories.
Do not feel last years heart surgery had anything to do with this decision.  I felt good out there physically and am happy with my recovery from it.
Want to thank all the family, friends and total strangers that supported me from 2014 until now.  Of course, especially Wendy who so often supported me and endured being home alone so many times.
Time to move on to something else.  More travel with Wendy, taking up golf again, or whatever.  I may go on short hikes with family and/or friends.  But no more long distance backpacking trips.  Could even do short sections of the AT I enjoyed or would like to do.
ACHIN out.",,Home,"Apr 19, Thu",0
