Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Atlas,https://www.trailjournals.com//journal/entry/581874,"It is hard to believe that I am only 58 days away from the start of my hike from Springer Mt. This is a first pre-hike entry in a trail journal that I hope will keep friends and family in touch with where I am and what I'm doing.
It has been a life long dream to hike the entire Appalachian Trail and it was planted by my time backpacking in the White Mts of New Hampshire with my father. He started me backpacking at age 5 on Mt Lafayette and we probably did 5 or 6 trips every year. I completed the AMC NH four thousand footer club when I was 11 so literally grew up with a pack on my back and a love of the outdoors. I later expanded into winter mountaineering, rock and ice climbing as well as other outdoors adventures. After 40 years of professional life and raising a family, I'm now retired and ready to take on this dream. My initial thoughts were to wait till I was 65 but at age 60 my wife encouraged me ""what are you waiting for?"" and so the planning began.
My trail name for this hike will be Atlas after the mythological figure who carried the world on his back... and also the initials AT stand for my name and obviously the Appalachian Trail. It also occurs to me to be much easier to write in trail journals than many of the other trendy trail names currently in use!",,Prep,"Jan 04, Thu",0
Atlas,https://www.trailjournals.com//journal/entry/582428,"36 days to my March 3 start on the AT. I’m training daily with long walks up to 20 miles in length, climbing stairs wells in my Florida condo (11 stories high times 6 reps non stop with a pack is my best so far) and also tackling twice a week Orange Theory workouts that are high intensity power builders. Next week I’ve got a 16 mile full pack shakedown hike on Springer planned so feel like I’m going to be ready to go. Also watching the AT trail weather site daily to get a feel for highs and lows at altitude which ultimately will determine the amount of warm gear I’ll pack. Base weight is between 22 and 25 lbs now but hope to trend it down after the shakedown next week.",,Prep,"Jan 26, Fri",0
Atlas,https://www.trailjournals.com//journal/entry/582429,"Started reading other people’s 2018 trail journals yesterday and it definitely gets the excitement level up. There are some hardy souls out there right now with January starts and more power to them! “Bubble? We don’t need no steenkin bubble!”
Also excited to see others planning a March 3rd start and will look forward to meeting on the trail!
Atlas",,Prep,"Jan 26, Fri",0
Atlas,https://www.trailjournals.com//journal/entry/582562,"Took the opportunity for a 17 mile shakedown prep hike while up in GA for a family celebration. 
Fully loaded pack with food, 2 Liters of water and warm gear comes in at 28 lbs. so will continue to refine up until my March 3 start. Overall a beautiful day but windy and cold at my 8am start. 
Thought I’d take advantage of being at Ammicola and pick up the pack hang tag the ATC is offering to 2018 registered thru hikers but ranger station opened after I started my hike and then closed before I left the park! 
Only saw 7 people on the trails today and all were day hikers. I extended past the summit over to parking lot at Big Stamp and FS dirt road is open but muddy and rutted. 
Silliest thing I saw today was a stack of full Campbell’s soup cans near the summit apparently from someone who thought those would be good provisions for a thru hike and abandoned them after lugging them up the 8 mile approach trail.","Prep
",Springer Mt and Big Stamp Gap,"Jan 30, Tue",17
Atlas,https://www.trailjournals.com//journal/entry/582643,"Even though I'm back down in the state of ""flat"", I'm trying to keep up the mileage and further break in my shoes and inserts... My training incline is up and over the Ringling Bridge in Sarasota, over and over and over.I'm sure when I start in March, it'll be just like this sandy path in Lido Key FL, 80 degrees and palm trees.... NOT. Been watching the ATweather.org site and Springers got snow and ice in the forecast. 29 days to go!","
",Sarasota FL,"Feb 01, Thu",10
Atlas,https://www.trailjournals.com//journal/entry/582962,"Another flat but interesting FL 12 mile prep hike today with 25lbs in my daypack. Sweated out a gallon but legs and feet seem fine and ready to go. 
Final items of gear arriving this week with a 20 degree ultralight sleeping bag and Ultra lite rain mittens. My full weight with food and water comes in at 28 lbs and feeling pretty good at this weight considering warm clothes and Yaktrax for the first part up and over the Smokies are included in that number. 
Been watching the weather on Springer and looks pretty wet but not particularly cold right now but it would be a mistake to assume the weathers not still changeable this early in the year. 
Saw a great quote on another AT trail blog today... “ No rain... no pain...., no Maine!”",,Sarasota FL,"Feb 14, Wed",0
Atlas,https://www.trailjournals.com//journal/entry/583134,"By the numbers...
2190 = Miles of the 2018 Appalachian Trail (changes slightly year to year due to re-routing and trail maintenance)
5,000,000 = Approximate number of steps between Springer Mt GA and Mt Katahdin ME (Put that into your Fitbit!)
14 = Number of states the AT passes thru
16 = Number of times a AT hiker would climb Mt Everest over the course of a hike (Thats about 460,000 vertical feet)
165 = Average number of days it takes to complete the trail with the shortest ever being 45 days set last year!
3839 = Number of hikers who attempted the AT in 2017 ( more expected this year)
20 - 25 = Percent of hikers who finish in any given year!
10 = Days until I start my 2018 AT Hike!  ... 
Atlas Northbound",,Sarasota FL,"Feb 21, Wed",0
Atlas,https://www.trailjournals.com//journal/entry/583652,"It was a glorious blue sky Northern Georgia day as we headed to the summit of Springer Mt, the official southern starting point of the Appalachian trail. I had 7 family members including 3 grandkids accompany me to experience the trail I was about to go live on for 5 months. 
After signing the hidden register we took photos and shared a picnic before heading a mile back to our cars to shoulder my pack and say final goodbyes. 
I marched into the woods and the adventure began. I planned an easy first day and since it was nearly noon I headed for Hawke Mt about a 7 mile distance in. There are many thru hikers starting this time of year and Saturday was no exception. I estimate 80 - 100 hikers of all ages started that I saw on the trail. 
I made camp the first night in a  designated tenting site where I counted 25 tents and 2 hammock campers that were there that night. I met several people, some with trail names and some without. 
It was amazing to see the nearly full moon rise over the hills and light up the woods around me. I learned as well that Georgia is home to a large population of Owls who were active all night long hunting and calling out until dawn. 
It was a great ending to a great first day.","Springer Mt and Big Stamp Gap
",Hawke Mt,"Mar 03, Sat",7
Atlas,https://www.trailjournals.com//journal/entry/583660,"After a slow start I was on the trail about 8:30 and headed for Lance Creek, another tenting area about 14 miles away. Again there were lots of hikers all moving at various paces and styles. Some hikers rush up the trail but tire quickly  and therefore stop to pant and rest until they catch their breath. Others are slow and methodically place their feet in a precise rhythm that allows them to not have to stop, rarely breathing hard but frankly... are a roadblock to other hikers who need to pass them. 
I believe my hiking style is more freeform, more like skiing that changes with the terrain, the light and adventure of the section of trail I’m walking on, not afraid to stop when the views are magnificent or the streams crossing the trail magical in the sunlight but at the same time moving forward at a strong pace and allowing my feet to select alternate paths like from rock to rock or to lightly bounce down one or two rock steps at a stride. 
An example of this was as I ascended the first challenging mountain on the trail Sassafras Mt. It’s reputation and motto among previous years thru hikers is “Sassafras will kick your Ass..” and today was the same with other hikers  panting hard, sitting on rocks, guzzling down their water. I was having a grand time of it, stripped down to my light weigh shorts and a running shirt, generating my own heat. I summited it quickly and was rewarded with views of 30 -40 miles of North Georgia woods. 
At the top I came across an elderly gentleman wearing a Korean War Vet hat taking a standing rest and I stopped to chat. His trail name is Papi and I learned he is doing the AT a second time. The first was at age 65 and now at age 87 would be the oldest AT hiker to complete it. I encouraged him that “slow and steady” wins the race and he quipped back “yeah, well I got the Slow part down”. Happy Trails Papi and thank you for your service to our country! 
At Gooches Gap, I came across a sign stating “ Trail Magic ahead... don’t stop yet” and met MacGyver (trail name obviously) a thru hiker from 2015 cooking hotdogs, handing out chips, cookies, sodas and waters. It was awesome and a emotional pick-me-up. He explained that on his hike on the third day he was thinking about quitting and in this same remote spot accessible only by dirt Forest Service roads had someone grill food and cheer him up allowing him to push on and finish the whole trail. He now does every year on the same date and grills hundreds of hotdogs, paying it forward.
I was renewed and pushed trying to catch a trail buddy “Detail” who texted me in late afternoon that all spots were full where we were trying to meet so I decided to stealth camp on one of the high mountains in this range north of Woody Gap. My tent site had a spectacular view of the sunset to the west and then the sunrise in the east and lots of dry firewood so I made my first campfire of the trip. 
It was an encouraging second day on the trail.","Hawke Mt Tent sites
",Preacher Rock Mt,"Mar 04, Sun",14
Atlas,https://www.trailjournals.com//journal/entry/583661,"After a slow start I was on the trail about 8:30 and headed for Lance Creek, another tenting area about 14 miles away. Again there were lots of hikers all moving at various paces and styles. Some hikers rush up the trail but tire quickly  and therefore stop to pant and rest until they catch their breath. Others are slow and methodically place their feet in a precise rhythm that allows them to not have to stop, rarely breathing hard but frankly... are a roadblock to other hikers who need to pass them. 
I believe my hiking style is more freeform, more like skiing that changes with the terrain, the light and adventure of the section of trail I’m walking on, not afraid to stop when the views are magnificent or the streams crossing the trail magical in the sunlight but at the same time moving forward at a strong pace and allowing my feet to select alternate paths like from rock to rock or to lightly bounce down one or two rock steps at a stride. 
An example of this was as I ascended the first challenging mountain on the trail Sassafras Mt. It’s reputation and motto among previous years thru hikers is “Sassafras will kick your Ass..” and today was the same with other hikers  panting hard, sitting on rocks, guzzling down their water. I was having a grand time of it, stripped down to my light weigh shorts and a running shirt, generating my own heat. I summited it quickly and was rewarded with views of 30 -40 miles of North Georgia woods. 
At the top I came across an elderly gentleman wearing a Korean War Vet hat taking a standing rest and I stopped to chat. His trail name is Papi and I learned he is doing the AT a second time. The first was at age 65 and now at age 87 would be the oldest AT hiker to complete it. I encouraged him that “slow and steady” wins the race and he quipped back “yeah, well I got the Slow part down”. Happy Trails Papi and thank you for your service to our country! 
At Gooches Gap, I came across a sign stating “ Trail Magic ahead... don’t stop yet” and met MacGyver (trail name obviously) a thru hiker from 2015 cooking hotdogs, handing out chips, cookies, sodas and waters. It was awesome and a emotional pick-me-up. He explained that on his hike on the third day he was thinking about quitting and in this same remote spot accessible only by dirt Forest Service roads had someone grill food and cheer him up allowing him to push on and finish the whole trail. He now does every year on the same date and grills hundreds of hotdogs, paying it forward.
I was renewed and pushed trying to catch a trail buddy “Detail” who texted me in late afternoon that all spots were full where we were trying to meet so I decided to stealth camp on one of the high mountains in this range north of Woody Gap. My tent site had a spectacular view of the sunset to the west and then the sunrise in the east and lots of dry firewood so I made my first campfire of the trip. 
It was an encouraging second day on the trail.","Hawke Mt Tent sites
",Preacher Rock Mt,"Mar 04, Sun",14
