Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Bald Eagle,https://www.trailjournals.com//journal/entry/604898,"It was a warm stormy rainy start.  The Hiker Hostel is awesome.  Josh and Leigh offer a full service operation with pickup at the bus station in Dahlonega and a shuttle to the terminus of the trail: bunk, shower, breakfast and, they put you on the trail for $85.  You can't beat it.  They stay booked so make reservations!  They offer a pack weigh in ... some of the packs were 54, 55, 45 pounds!  It's going to thin out quickly on the trail!   Duffy, the shuttle driver zipped up the rough forestry roads like a pro.  Don't try it with a regular car.  I sign the register and start the trail.  Can't believe I'm really here!!  I meet Harold Moon from Massachusetts ""Moondog"".   The trail is well prepared here: I love this trail already!  Two old guys.  We keep the same pace.  Day 1, we beat the rain and make it to Hawk Shelter.  There is actually room and we meet ""Elle"" who also created a trail journal and ultimately finished a thru hike of the trail.  Her dad accompanied her on the approach trail.  This trail is a humbling experience: that quickly becomes self-evident!  There will time to think without distractions.  Matt 6:25 Is not life more than food, the body more than clothes?","Springer Mountain
",Hawk Shelter,"Mar 13, Sun",8.10
Bald Eagle,https://www.trailjournals.com//journal/entry/604899,"The trail family is growing and today was grueling but we just slid into Googe Mtn Shelter: Marmalade from Manchester UK, quit his job in England at 62 and is staggering behind me and Moondog, Eva and her dog Boomer, and of course Camel with his monster water jug! Was court Friday last week? Already seems far away.  Climbing endlessly is a great time to meditate: hate what is evil, cling to the good and be devoted to one another in love... Ro 12:9 and, pray I make it to Clingman's Dome!","Hawk Shelter
",Googe Mountain Shelter,"Mar 14, Mon",7.70
Bald Eagle,https://www.trailjournals.com//journal/entry/604900,"9.3 miles to Henry Gap.  Beautiful day!  Lots of ups and downs. l lost most of our trail family today, added one, Don Scro ""Nailgun"" from Raleigh!  Went off trail to Henry Gap to avoid a crowded campsite.  Moon Dog is still strong carrying 44#; but he is a young buck of 64.  Lost Eva and Boomer her dog.  Her boots were caked with red mud and she slipped on a slick shelf in the rain yesterday.  (we found out later when she rejoined the group that she is a physician and shares a clinic with her husband)  Chris was peeing blood and the ridge runners took him off the trail.  Trail Angels were waiting at Woodys Gap with cold sodas, water, and sandwiches plus, free shuttles to town.  Next 5 miles require bear cans so we are hiking straight through and camping off trail.  This is our first tent night.  It is warm, clear and beautiful ... at the moment I don't ever want to stop!  Neel's gap tomorrow after we climb Blood Mountain for showers, pick up my bounce box with six pounds of food.  I brought way too much and will give most of it away.  Bunks available, first come, first serve.","Googe Mountain Shelter
",Henry Gap,"Mar 15, Tue",9.30
Bald Eagle,https://www.trailjournals.com//journal/entry/523727,"This climb was steep and the descent very rocky and tough, but worth it for an incredible view.  We climbed over 29,000 steps today, yes 29 thousand!  Haven't met many my age.  Don is a member of Journey in North Raleigh and we are able to share the daily bible study..small world! I was short on water this leg and became a bit dehydrated.  My muscles are sore and I discovered ibuprofen.  Don calls it ""candy""!  The Blood Mountain cabins are precious with a whole collection of stuffed critters!  Enjoyed a Gatorade and Klondike bar.  Neels Gap is a virtual institution on the trail with a complete outfitter store.  The adjacent tree holds hundreds of hiking boots that didn't fit!","Henry's Gap
",Neel's Gap,"Mar 16, Wed",6.60
Bald Eagle,https://www.trailjournals.com//journal/entry/625726,"Started from Blood Mountain cabins fully loaded.  Bought a waterproof food bag at Neels gap to hold all the stuff from my bounce box, 6#, plus water bring the pack to 35#, big mistake.  Hogpen mountain was a straight up killer and my right knee gave out so taking Robin's advice I rested at the top and took an aleve and soon could walk without limping then, going down to Hogpen gap my back muscles cramped where the VA operated last summer.  The pain was excruciating so I took some more aleve, rested then felt OK but clearly needed to slow down.  I told Moondog and Nailgun to go on without me, I was going real slow.  They said OK but Moondog don't hear too good and I could see him off and on in the distance waiting!  The hills finally eased from the constant steep up and down and I actually had an afternoon of the solitude I came for.  When the wind stopped ... absolute silence.  This is the walk I came for ... with the pain gone I was making good time remembering faces and voices from 1971, details of missions like it was yesterday yet, I can hardly remember the court cases from last week!  Maybe the VA doc was right.  This is what this trail is great for.  When the troops come home from an active theater they should give them paid leave to hike this trail as a final assignment.  It was an awesome walk today along the ridge with great vis.  After seeing no one all day, Low Gap is packed.  It is Spring Break.  Where are the baby boomers?  Have yet to meet anyone my age or older!  I haven't asked but I would bet Robert McMillan has put in a lot of miles on this trail many years after 66!  We ended up doing 11.2 miles, our best day yet!  Bald Eagle","Neel's Gap
",Low Gap,"Mar 17, Thu",11.50
Bald Eagle,https://www.trailjournals.com//journal/entry/626146,"Passed Blue Mtn shelter and pressed on Unicoi Gap, Hwy 17 and on to Rocky Mountain.  Most of the ""crowd"" stayed in the Blue Mounty Shelter or went to town. I had a nice wash in the creek then a very hard grueling climb.  My knees are adjusting and O.K.  There is an interesting vertical bushy plant called mullein growing around the creek.  Geoff tells me it's called Indian toilet paper!   Forecast tonight has weather warnings.  We are camping at the top with a 360 degree view. 4830.jpg   I had good phone signal and was able to paint the weather approaching us.  We were the bullseye for what looked like a tornado.  We did a group prayer for protection and believe it or not, the storm split and went passed us on both sides!  Did the prayer, and it was fervent, matter? Who knows, you be the judge.","Low Gap
",Rocky Mountain,"Mar 18, Fri",11.10
Bald Eagle,https://www.trailjournals.com//journal/entry/626149,It is now cold and windy.  Eva and Boomer showed up.  They had gone to town at Unicoi and got a room.  At this point a lot of hikers have dropped out.,"Rocky Mountain
",Sassafras Gap,"Mar 19, Sat",9
Bald Eagle,https://www.trailjournals.com//journal/entry/626150,"photo 4914.jpg Robin has rescued our ""tramily"" (trail family of myself, Moondog, Nailgun) today at Dick's Creek for a night in Hiawassee, GA.  It was very cold and windy last night, only Boomer didn't freeze!  I was warm until I struck the tent and pack.  It took a couple miles to warm the hands.  We pickup Nikki tomorrow and start back Tuesday in the sunshine again.  Temps tonight are for the 20's.  We had awesome ribs and stayed at the infamous Mull's motel.  Darlene, the caretaker, allowed us to spread out our gear all over the place and was very accommodating.","Sassafras Gap
","Dicks Creek Gap - Hiawassee, GA","Mar 20, Sun",6.30
Bald Eagle,https://www.trailjournals.com//journal/entry/626151,Drove to Asheville to pickup Nikki at the Greyhound station and meet Sarah Whitmeyer to borrow her pack.  We had a nice Mexican dinner.  It snowed that night so we picked a great night for a zero!,,Asheville,"Mar 21, Mon",0
Bald Eagle,https://www.trailjournals.com//journal/entry/626152,"We picked up Nikki from her friend Margaret Chandler drove to Hiawassee picked up Moondog & Nailgun and back to Dick's Gap by 11a.  We hiked across the NC/SC border 9 miles to Bly Gap - Go Nikki, now ""Chickadee""!  Nikki had a great time meeting Cottontop, a Cherokee hiking and cooking as his ancestors and some of the rest of the tramily!","Dicks Creek Gap - Hiawassee, GA
",Bly Gap,"Mar 22, Tue",9
