Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Bama,https://www.trailjournals.com//journal/entry/585733,,"Springer Mountain
",Hawk Mountain Shelter,"Apr 09, Mon",8.10
Bama,https://www.trailjournals.com//journal/entry/585732,,"Hawk Mountain 
",Gooch Gap,"Apr 10, Tue",9.10
Bama,https://www.trailjournals.com//journal/entry/585731,,"Gooch Mountain
",Lance Creek ,"Apr 11, Wed",7.10
Bama,https://www.trailjournals.com//journal/entry/587298,,"Lance Creek 
",Neels Gap. - Coosa Bend Hostel ,"Apr 12, Thu",7.40
Bama,https://www.trailjournals.com//journal/entry/587299,,"Neels Gap
",Low Gap Shelter,"Apr 13, Fri",11.50
Bama,https://www.trailjournals.com//journal/entry/587300,,"Low Gap Shelter
","Unicoi Gap -Helen, Ga","Apr 14, Sat",9.70
Bama,https://www.trailjournals.com//journal/entry/587301,,"Helen, Ga
","Helen, Ga","Apr 15, Sun",0
Bama,https://www.trailjournals.com//journal/entry/587304,,"Unicoi Gap
",Sassafras Gap campsite,"Apr 16, Mon",10.40
Bama,https://www.trailjournals.com//journal/entry/587305,,"Sassafras Gap
",Dicks Creek - Top of Georgia Hostel ,"Apr 17, Tue",6.30
Bama,https://www.trailjournals.com//journal/entry/587303,,"Dicks Creek 
",Muskrat shelter,"Apr 18, Wed",11.80
Bama,https://www.trailjournals.com//journal/entry/587302,,"Deep Gap
",Franklin - Gooder Grove Hostel ,"Apr 19, Thu",4
Bama,https://www.trailjournals.com//journal/entry/587308,,"Winding stairs Gap
",Wayah Bald Tower,"Apr 20, Fri",11.10
Bama,https://www.trailjournals.com//journal/entry/587428,,"Wayah Bald Tower
",Wesser Bald Shelter ,"Apr 21, Sat",11.50
Bama,https://www.trailjournals.com//journal/entry/587627,,"Wesser Bald Shelter 
",NOC,"Apr 22, Sun",5.90
Bama,https://www.trailjournals.com//journal/entry/587628,,"NOC
",NOC,"Apr 23, Mon",0
Bama,https://www.trailjournals.com//journal/entry/587825,,"NOC
",Fontana Lodge,"Apr 24, Tue",0
Bama,https://www.trailjournals.com//journal/entry/587826,,"Fontana Lodge
",Fontana Lodge,"Apr 25, Wed",0
Bama,https://www.trailjournals.com//journal/entry/587827,,"Fontana Lodge
",Fontana Hilton Shelter,"Apr 26, Thu",0
Bama,https://www.trailjournals.com//journal/entry/589893,,"Fontana Hilton Shelter
",Mollies Ridge Shelter,"Apr 27, Fri",11.40
Bama,https://www.trailjournals.com//journal/entry/589894,,"Mollies Ridge Shelter
",Derrick Knob Shelter,"Apr 28, Sat",12
Bama,https://www.trailjournals.com//journal/entry/589895,,"Derrick Knob Shelter
",Mt. Collins Shelter,"Apr 29, Sun",13.50
Bama,https://www.trailjournals.com//journal/entry/589896,,"Mt. Collins Shelter
",Newfound Gap,"Apr 30, Mon",4.30
