Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
BigHead,https://www.trailjournals.com//journal/entry/557562,"I read Into Thin Air by Jon Krakauer in 1997 and I realized that for me to get anywhere near Mt Everest was a far away dream. The next year Bill Bryson released A Walk in the Woods and that kept me intrigued with the possibility of hiking the AT for several years and the since the trail-head at Springer Mountain is practically in my backyard it would be a real possibility to hike at least some of the AT one day. Then Robert Redford released the movie A Walk in the Woods in 2015 and that sparked a renewed interest in hiking the AT so last year when my son-in-laws mother said she wanted to try a section hike in Georgia I said ok let's do it! No, it's not Mt Everest but it does present a mental & physical challenge closer to home at a fraction of the cost. In fact, so much of a challenge that most thru hikers quit before making it out of Georgia. I'm committed to making it happen but I also know that I have my limitations. We'll see what I have for it when the going gets tough this May. Really looking forward to it!",,View Entry,"Mar 25, Sat",0
BigHead,https://www.trailjournals.com//journal/entry/558734,"I'm ready for a walk in the woods. Until then, just kill'n time.","
",View Entry,"Mar 26, Sun",0
BigHead,https://www.trailjournals.com//journal/entry/558735,"I'm ready for a walk in the woods. Just waiting for the day to arrive when The Mayor, B3 and I can hit the trail together.",,View Entry,"Apr 04, Tue",0
BigHead,https://www.trailjournals.com//journal/entry/559747,Life doesn't move fast enough as it is so I decide to go hiking for a week. What's up with that?,,View Entry,"Apr 11, Tue",0
BigHead,https://www.trailjournals.com//journal/entry/561387,"Well, it's raining hard today in Atlanta and I was hoping to do a little finalizing on my gear by setting it all up and giving it a good spraying down with Permethrin to help ward off ticks, spiders and other unwanted insects. Guess we will have to do that another day, maybe on Thursday which is usually the day B3 and I go for a little hike at Sweetwater Creek State Park. My hope is for the weather to be better in two weeks than it has been today because it will not be a fun start to this hike getting all wet on the first day. Guess we will have to wait and see what mother nature throws at us.",,View Entry,"Apr 23, Sun",0
BigHead,https://www.trailjournals.com//journal/entry/562315,"My section hike of the Appalachian Trail starts next Sunday May 7 and a lot of planning and training has gone into making this a successful trip. I can say at this point that I think I am as ready as I can be for the trip. In preparation I have watched a number of You Tube hiker videos looking for information and inspiration and one of my favorite channels is by Homemade Wanderlust who is now off to hike the Pacific Crest Trail. In my opinion her videos are some of the best and even beat a lot of prime time TV shows. Best wishes to Dixie as she makes her way along the Pacific Coast Trail starting this month. 

Now for the record, I realize that my section hike pales in comparison to completing a thru hike of the AT, but I will be just as happy to have had the brief opportunity to sample a little bit of life away from all the routine bs that we all come to accept as daily life. Also, I would like to give a much deserved thanks to my wife who has been 100% supportive of this little adventure and many others over the years. I think that In the back of her mind she knows that if I come home in a bag she will be loaded! That's it until next week when B3, The Mayor and I blastoff from Springer Mountain!",,View Entry,"Apr 29, Sat",0
BigHead,https://www.trailjournals.com//journal/entry/563357,"Well, tomorrow morning is go time and I am as ready as I am going to be! The Appalachians are about 480 million years old so in the big picture my one week hike on the AT will only be a blink in time. People hit the trail for a variety of reasons. The adventure, the challenge, freedom, nature and some are even looking for enlightenment. I'll take a little of each and if any enlightenment comes my way I'll be sure to let you know about it.",,Heading to Springer Mountain ,"May 06, Sat",0
BigHead,https://www.trailjournals.com//journal/entry/563635,"It was 42 degrees this morning at 6AM when we left the hotel in Dahlonega to head over to the Amnicola Falls Visitor Center falls visitor center to put our name on the trail log. One of the AT Ridge Runners weighed our bags and we were right on the average at 31 lbs. for a thru hiker. B3's bag was 29 pounds, The Mayors was 34 pounds and mine weighed 35 pounds. A little on the heavy side but about average. He also said that we were making an intelligent decision by not hiking the approach trail. As it was the hiking was pretty strenuous all day, hardly any moderate to difficult hiking like we had been practicing at Sweetwater Creek. Cardiac Hill as I called it is a piece a cake compared to the 3 mile uphill's that we endured today.
The weather was absolutely gorgeous though, perfect day for hiking and unbelievable blue skies all day through the trees made for some incredible views of nature. Couldn't find any cell service out here so that I could post anything for day one so maybe tomorrow when we climb up out of this gap 
I will be able to get some service. We called it a day and set up the tents at Hawk Mountain Shelter which is only 8.1 miles into the hike. But then you have to consider we had to hike a mile just to the start the trail so we really hiked 9.1 miles today. After we set up our tents we walked downhill to the water source which seemed like it was a mile away but probably only about a 10th of a mile. But it was pretty steep 10th of a mile and after hiking all day it seemed like forever to get back up to the tents to cook our meals, which by the way were pretty good. I had biscuits and gravy with a side of Ramen noodles. Doesn't sound like a very good combination but it was damn good!  It's 7:08 PM and I am in my tent in my sleeping bag ready to call it a day. I will let you know what happens tomorrow. Happy trails!","Springer Mountain
",Hawk Mtn Campsite,"May 08, Mon",7.40
BigHead,https://www.trailjournals.com//journal/entry/563792,"Spent my second day on the trail hiking my ass off, overdosing on Led Zepplin, Rolling Stones and peanut M&Ms.  We left Hawk Mtn. Campsite at 9 o'clock this morning and hiked 8.4 miles to Gooch Mtn. Shelter. It seemed like 20 miles. There was a lot of steep and rocky hiking across Hightower Gap even steeper and rockier conditions up and down on Sassafras Mountain. Several people on the trail were having difficulties and my knees were taking a beating. Glad I had on my knee braces. We are calling it a day and pitching our tents here at Gooch Mtn. Shelter so we are about 8.5 miles short of our original goal for today to be at camping Lance Creek. There's just no way that we could've made that much mileage under these conditions. Overall it was a good day reflecting on people, places and things in my life. Stay tuned!
Enlightenment of the day: 
My Icebreaker Merino Boxers were worth all the $$$","Gooch Mtn. Shelter
",Lance Creek ,"May 09, Tue",8.50
BigHead,https://www.trailjournals.com//journal/entry/563946,"Day 3
We left Gooch Mtn. Shelter at 9:20 this morning on our way to Lance Creek, about an 8.5 mile hike. I tell you, one mountain mile seems like five. Seven hard hours later we started setting up camp here. We made several steep climbs but the best was Big Cedar Mountain. It was a brutal climb and I thought I was never going to make it. Close to the top I came across a pretty girl sitting on an old log up off the trail writing in a journal. She didn't really look like a hiker so I thought she had to be an angel. I asked her if this was heaven because you look like an angel sitting up there. She smiled and said no so I told her I would really try to do better anyway and kept going. About fifteen minutes later I finally caught up to B3 and The Mayor at Big Cedar Mountain Rock Ledges. It was a beautiful clear day and the view was breathtaking. We hung around for about ten minutes and then headed on towards Lance Creek. It was a pretty warm day and I drank about two and a half liters of water and was completely out. Just before getting to camp we came across a little waterfall and I filtered 16 ounces and drank it on the spot. I love my Grayl water filter! It's now 7:20 and we've had our dinner (I had Pho and two packs of Ramen noodles) and I am finally laying down for the night. I'm in the last camp spot where everybody hangs their bear bags so I hope Yogi and Boo Boo don't show up later.
Enlightenment of the day: 
Listening to some of my favorite music all day reminds me of just how much music connects the dots in my life. Led Zeppelin is pure genius but for me there really is no other band like The Rolling Stones!","Gooch Mtn Shelter
",Lance Creek,"May 10, Wed",8.50
