Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Blue Raccoon,https://www.trailjournals.com//journal/entry/583898,"Yikes, only 18 days until my big hike begins!  I’m super excited, but I would be lying if I said I wasn’t a little nervous too.  
Trailjournals.com requires that I make 3 entries before my journal becomes available for public view.  There’s definitely a learning curve here, so I’m sure I’ll need all three entries before I feel comfortable using this journaling format. 
The struggle is real, but I’m here to talk about the A.T.(Appalachian Trail).  The A.T. is approximately 2190 miles long. Actual distance fluctuates because the trail gets detoured or rerouted from time to time.  This is usually due to forest fires, but can be almost anything from natural disasters to increased bear activity.  Yep, I said Bear!  
The A.T. runs through 14 states from Georgia to Maine.  A few hikers choose the opposite path from Maine to Georgia.  As for me, I’m a NOBO (northbounder) from Georgia to Maine.  Hikers going the other way are called SOBO (southbounder).   I’m hoping to cross paths with some SOBO’s along the way and get their perspective from hiking the opposite way.    
A through hiker is someone who hikes the entire trail in one season.  This is my goal!   I’m hoping to earn the title of  NOBO Through Hiker 2018.  There are no rules to this except you must walk every inch of the trail in your season.  So when I come down to re-stock I must go back up where I came down.  I’ve got 2 planned trips off the mountain during my 6 months out there.  Each will be for a few days off the trail.  The same rule applies… I must go up where I came down.  And of course timing is important.  I cannot take too much time off the trail or I won’t get to finish in my season.  I know there is a cut-off date to summit Mt. Katahdin in Maine, and  I’ve got to summit Katahdin! 
Back to my nerves…in 2016 there were 3,337 hikers who attempted to through hike the A.T.  685 of those hikers actually made it.  That’s around a 20% success rate.  More than half of the hikers who attempt a through hike are in their 20’s, but the rest fill up the ranks 30’s,40’s, 50’s, and older.  I’ve personally noted in my readings that middle aged women rarely make it.  As a matter of fact not one of the middle aged women I’ve followed have ever made it.  I’ll turn 54 years old on the trail, the odds are stacked against me…but I’m not a quitter.  
Why do hikers drop off?  Lots of reasons.  Often times it’s due to sickness or injury, and on a rare occasion death. Most times they just give up. It’s not in them to go the long haul. Sometimes they get what they came for without going the distance.  All I know for sure is that I’m not a quitter!  As my daughter Kayla says “if mom comes off the trail early it’ll be on a stretcher”!  She’s probably right.  None the less,  all of these little tidbits of information gets my nerves going just a little.  
Well I guess this is enough to be a decent first entry in my journal.  I’ll talk about the common illnesses and my trail name over the next two mandatory entries.  The hiker world is very interesting, so I’ve got lots to share. 
So long for now from Paducah Kentucky,  where I’m visiting my kids and grands one last time before I set out on the adventure of a lifetime. 
Blue Raccoon (2018)",,View Entry,"Mar 10, Sat",0
Blue Raccoon,https://www.trailjournals.com//journal/entry/583955,"The countdown continues!  
We are still in Paducah visiting the kids and grands.   It has started to snow!  I’m going to try to upload a photo of the snow with this post.  It’s just a photo taken from our hotel, but I’ve got to learn how this website works.  Technology is not my strong suit.  
I previously mentioned illnesses on the trail. There are three main concerns. West Nile Virus is one of them.  This is a viral illness given to humans via mosquito bites.  The only real protection is to use insect repellent, wear loose clothing, and prayer.  The symptoms are usually fever, headache, vomiting or rash.   Often times someone has it and don’t even know, but sometimes it becomes serious and requires medical intervention.  The second concern is Giardiasis.  This is an intestinal infection you get from drinking contaminated water.  I’m using a Sawyer Squeeze which helps filter out the water that I’ll be drinking.   The Sawyer Squeeze is my frontline protection against Giardiasis. I’m also fortunate enough to have a physician willing to work with me on this hike. Because of her, I will have antibiotics if needed along the way.  Lastly there is a concern for Lyme Disease.  Lyme Disease is given to  us compliments of Deer Ticks.   I’ll be using Permethrin treated clothing to help keep them away and I’ll be sleeping in a permethrin treated tent.  However, ticks will still be a problem and I’ll be checking myself every evening.  Once again my doctor is great! I’ll have treatment if I see a bullseye around a tick bite.  A bullseye is a sign of Lyme disease.  
My only other concerns are bears, broken bones, hypothermia, or heat stroke… did I mention BEARS?!?
So let’s talk about trail names.   Most through hikers have a hiking name they use while on the trail.  Mine is “Blue Raccoon”.  Some hikers choose their own name and others acquire a name while on the trail.   I chose my name.  My dad’s favorite coon hound was named Blue, and somehow I turned that memory into the trail name “Blue Raccoon”.  My little cousin even created a logo for me of a raccoon hiking with blue boots.  Preparing for this adventure has been a lot of fun!
So many folks have asked me why am I doing this.  In the beginning it was for one reason only, but over time it’s become multiple reasons, and the list keeps growing.  What do I expect to gain from this? That’s a good question too.  I’ll try to address both of these in my next journal entry.  For now, I think this is a good place to stop for entry #2.  I’m going to do my best to attach a photo.  I think I’ll make it of my grandkids in the hotel pool instead of the snowfall. I hope it’s there! 
Until Next TimeBlue Raccoon (2018)


Where’s your faith?",,View Entry,"Mar 11, Sun",0
Blue Raccoon,https://www.trailjournals.com//journal/entry/584050,"fifteen days and counting!  The pressure is on!  I have so much to do in 15 days including: going back to Florida with my daughter and granddaughter who will be visiting for a few days, then a visit from my son and his girlfriend for a few days, four 12 hour shifts at the hospital, getting all of our bills in order for the hubby to manage, and make sure my backpack is right.  Whew!  It’s a lot! I think I just had my freak out moment. 
Okay, it’s time for me to tell you why I’m doing this.  The idea started as something unique I wanted to do in honor/memory of my dad.  I would say that I was a daddy’s girl.  He was a hunter, an athlete, and just an overall good human being. Excellent father!  I spent many Illinois winter  nights in the woods with him coon hunting. He taught me about survival, keeping a level head in moments of chaos, and respect for nature.  He didn’t spend a lot of time in the mountains, but he loved them.  He would always say “this is God’s country sis”.  Dad was not a religious man, but he was definitely right with God.  
The idea of me hiking the A.T. Was born about 2.5 years ago during a time in my life when I was in the worst physical condition I have ever been in.  I was just coming back from a surgery. My body had gone soft, falling apart literally.  So I started walking as soon as the doc gave me a green light. Dad crossed my mind a lot during these walks.  He was an adventurer.  He and I had talked about going to a dude ranch just before he got sick and died.  I knew if he were here, he would have taken these walks with me.  I thought he would have  even walked the A.T. with me... and so it began. I started doing research. Eventually I began taking day hikes. All the while I was remembering, reliving, my love for the outdoors and nature.  This has been the most therapeutic process for my soul, with bonus physical benefits. I still have horrible joint pains that I’m sure will never go away.  I’ve had surgery on both knees, my left acromiolclavicular joint has been cut out, discs removed in my low back and replaced with synthetic discs then rods, screws, and bone grafting.  I’ve had to take time off from work betweeen these surgeries, but somehow I’ve managed to be a trauma nurse through it all. In some pretty busy ER’s too. I’m not a quitter.  I know if I don’t use it, I’ll lose it.  I’m hoping this is the first and last time you ever hear from me that I’m in pain.  I am in pain all the time, but pain does not dictate my life. 
Once again the question comes WHY am I hiking the A.T.?  The obvious answer is to honor my father, and it did start out that way, but boy oh boy the WHY’s have grown!  Dad is always front and center, but my husband has jumped on board.  He started hiking with me.  We’ve hiked Springer together, we’ve hiked up to 9850 ft elevation in the Rockies, and we’ve enjoyed some awesome meanderings in the cascades.  We’ve also hiked a bit of the Appalachians in New York along with our grandson CJ.  Papa Big Swig (aka my hubby) has become my biggest cheerleader, organizer, and overall supporter for this adventure.  Without him, nothing about this hike would be happening.  So I’m also hiking for my hubs who is doing all he can to make this a success for me.  I don’t want to let him down.
Now for the crazy part of it...I need to get away from the world.  I’m having difficulty living in this computerized generation.  Electronics are great when they work.  Mine seem to have issues every day.  I know they are a must in todays world so I do it, but I don’t want to.  I miss dialing a phone from home only. I carry my cell phone with me, I’m always available, but I don’t want to be.  I miss having 3 channels only, and  PBS.  I’ve actually completely given up TV.  TV was a significant contributor to me going soft!  I don’t even own one anymore.  One day I said to my husband “here we sit watching others live and not living our own lives”.  I cannot imagine the hours that probably add up to years wasting my own life watching others live theirs. It took him a bit to let go, but now we have no televisions in our home.  I guess I could say my brain needs a rest.  Time to hear God, be mesmerized by a babbling brook, challenged in ways that are a joy to face and overcome.  You techie’s can call it a re-boot!(Giggling just a little). 
Lastly, I’m looking for inspiration.  Inspiration to write a book.  I’ve had the pleasure of meeting someone who’s story needs told.  She sings like a bird!  It’s time to get her out of the cage, and watch her spread her wings to fly! She will not be the focus of my journal, it’s all about my hike, but stay tuned for more info on the book.  You will love her!  
I was pleasantly surprised to see that someone has already started reading my journal!  I know I won’t always be able to do this, but thanks for your kind words of encouragement!  You have no idea what it means to see “Connie” as my first follower.  I don’t think this was a coincidence, and I hope you enjoy my hike.  
What do I think I’ll get out of my hike?  Hopefully a renewed sense of wellbeing!  In the medical world we calll it homeostasis.  I need homeostasis of my body, mind, and soul.  
And of course I’m hoping for some wicked bragging rights!  
Until next time
Blue Raccoon (2018)",,View Entry,"Mar 13, Tue",0
Blue Raccoon,https://www.trailjournals.com//journal/entry/584863,"Papa Big Swig and I loaded up the SUV to start driving toward Amicalola Falls state Park today. We have planned two nights and three days to get there.  Slow and steady completes the hike!  
A new REI has opened up here in Florida so we stopped there to get a few final things on my list. I went ahead and bought hiking sandals.(because I’m feeling confident that I will still be on the trail come summer) They are Keen’s.  I have found Keen brand  hiking shoes or boots to be the best for my feet.  So far, I haven’t lost any toenails since I switched to Keens. However, this hike will be the ultimate challenge for toenail loss! I also picked up a thin puffy jacket (REI brand) on clearance.  Broke down and bought two Mountain House meals. I’ll see if my own dehydrated meals come close to them. At my hubby’s insistence I grabbed a snake bite kit. And since I’m feeling confident,a pair of Kuhl brand hiking  shorts. They are the first hiking shorts made for women that I’ve found with decent sized cargo pockets. Hubs picked up a hoodie for himself. Abracadabra, just like that we made $285 disappear!   
We’re pulling the camper behind us, so tonight we are just sleeping at a rest stop. Tomorrow we’ll stop in Cartersville Ga for an overnight stay with the sisters-in-law, then check in at Amicalola Falls as early as possible on Monday.  We’ll stay in the camper there until I start my hike on Wednesday.  
Can you believe I’m just a few days away? I have planned, studied, and trained, for 2.5 years to get here, and at this very moment, I’m feeling calm. I know it could be a false sense of security, but I think I’m ready!   
Until next time
Blue Raccoon (2018) 


Where’s your faith?",,Rest Stop in Northern Florida was ,"Mar 24, Sat",0
Blue Raccoon,https://www.trailjournals.com//journal/entry/585082,"We arrived at Amicalola Falls State Park yesterday afternoon. After much fuss with our (new to us) RPod, we still managed to make some progress for this big adventure I’m about to embark on. 
First, I signed the official through hiker registry.  I’m #1579!  I’ve packed,unpacked, and repacked my backpack at least 3 times. The final weight of my pack is 31 pounds.  That’s pretty average for a winter gear pack. I took some photos with my backpack on so you can see how STUFFED it is! 
I went to a little class on hiking in Georgia this afternoon.  It really was only me there so I got the readers digest version.  Glad I did it though because I had made a mistake packing that could have been detrimental.  Hence the third unpacking and repacking. 
It was there at the class where I met and made my first through hiker friend. His name is Zip Code and he will be riding to the start of our hike with Papa Big Swig and I in the morning. He already knew who I was because of this journal. I’m looking forward to reading his journal from last year.  
In signing off I want to wish my grandson Dawson a very happy 8th birthday!  Today is his special day! I love you so much buddy! 
Until next time 
Blue Raccoon(2018) 


Where’s your faith?",,View Entry,"Mar 27, Tue",0
Blue Raccoon,https://www.trailjournals.com//journal/entry/585164,"I woke this morning in our camper at Amicalola Falls State Park.  Papa Big Swig and I met Zip Code at the lodge for breakfast. They really do a good job with their buffet. 
I learned more about Zip Code. He’s a retired postal worker and Zip Code just fit him for a trail name! I think this is his 8th year on the trail, he knows it backwards and forwards.  He shared his wisdom with me, and I’m so grateful!  
Papa Big Swig drove us around the mountain to a parking lot. We skipped the approach trail as both of us have hiked it before and all of those miles don’t even count!  Papa Big Swig and I brought our dogs and we all summited Springer Mountain. This is the official start of the A.T.  The photo is of me beside the first white blaze. We went back down the mountain the same way we came up, Papa Big swig and the dogs went back to our campsite,  and I headed north! Zip Code was long gone, but I’m sure glad for the information he gave me.  
So, while I only get credit for 8.6 miles of the A.T., I actually hiked 13 miles today. We don’t get credit for the hike up Springer Mountain, only for the hike down as the trail begins on the top. We also don’t get credit for any blue blazes we take to a scenic spot or a privy. That being said, I had hiked about 7 miles today before I began to think UGGHH! I had a brief moment of doubt. That 31lb pack felt 50lbs and the ups kept going up!   I just told myself in my best dad voice  “you’re stronger than this sis” and I persevered. 
Today marks exactly 12 years since my father passed.  I knew I was going to start my hike today no matter what. Rain, shine, sleet, or snow I was starting today!  Maybe I should have been the postal worker?!? At any rate,  God saw fit to give this day sunshine and soft breezes. It was beautiful.  
I hiked past Hawk Mountain Shelter where most of today’s through hikers stopped for the night. I was thirsty and out of water, but I came to a creek and filled up.  This is the first time I’ve intentionally drank creek water. I used my sawyer squeeze filter and it tasted like Evian to me!  
About a mile past the shelter was Hightower Gap with a parking lot. This is where Papa Big Swig picked me up and brought me back to our campsite.  I’m princess hiking these first two days, and it’s wonderful!  He grilled great big turkey burgers for dinner and I got a shower. I’ll also have a warm bed tonight, but up and at’em early to start again where I left off tonight. 
Until next time 
Blue Raccoon (2018)


Where’s your faith?","Springer Mountain 
",Hightower Gap,"Mar 28, Wed",8.60
Blue Raccoon,https://www.trailjournals.com//journal/entry/585243,"I woke up this morning in my nice warm camper again.  Papa Big Swig drove more than an hour to get me back to Hightower Gap so I could pick up where I left off. 
Just as we pulled up Apache came trekking across to start the upward climb for today.  He stopped for some early morning chit chat and told us about his trail experience. He hiked last year and made it all the way to Connecticut. Then he got sick with Lyme Disease. It cut his hike short, but he’s back this year with a great attitude!  Good luck Apache! 
The first couple of miles were up, but comfortably so.  It was quite foggy but the birds still sang their morning songs.  I was alone on the mountain and it was nice.   
Eventually I came down to Cooper’s Gap and there were 3 hikers taking a break.  I had met two of them yesterday. They are Steve and Justin. Neither one has a trail name yet. They had Pyro along with them.  He’s a young’n with too many life stories for his age.  
I failed to mention yesterday that my right knee had started giving me grief, and by the time I reached Cooper’s Gap it was back at it.  I slack packed today and failed to take my duck tape. Steve stepped right up to give me his duck tape  for some knee support.  Then again later for a heel blister.  So with his permission the photo today is of my trail angel Steve. 
We were sitting at the base of Sassafras Mountain, which was today’s biggest climb.  The 4 of us set out together to conquer the challenge. Sassafras Mountain’s elevation is 3500ft and the last 1000ft were brutal. The locals call it(cover your ears)“sassafrassy kick your assy”. There’s a good reason for that!  
Once we summitted Sassafras we decided to eat our lunch right there. I had peanut butter on a tortilla. It was windy up there and pretty chilly so we ate quickly and went on to hike our own hikes. 
I spent the rest of the day by myself.  It was so beautiful.  Switchbacks on the trail had me crossing the same creek a few times. I didn’t mind it at all. The creek was so refreshing.  
I’m a pretty slow hiker. By the time I reached Gooch Shelter most of the other through hikers were there for the night. I didn’t even stop. I walked right on past about 2 miles to the parking lot where my hubby was patiently waiting.  I cannot say enough about how nice it is to see his face after a day in the mountains. 
He took me straight to Chick Fil A where I ate like a pig!  I had a #1 meal with a large diet soda, and a vanilla milkshake.  I’m not even sorry I ate it all!  
At this point we’re going to play it by ear for tomorrow.  Papa Big Swig was suppose to drop me off at Gooch Gap then hook up our camper and go home, but it has started pouring rain. If it’s raining in the morning I may take a zero tomorrow and have Papa Big Swig hang out with me one more day. 
Until next time
Blue Raccoon (2018)


Where’s your faith?","Hightower Gap
",Gooch Gap ,"Mar 29, Thu",8.30
Blue Raccoon,https://www.trailjournals.com//journal/entry/585318,"I toyed with the idea of taking a zero today. So glad that I didn’t! I mostly hiked alone the first half of the day.  When I came upon a good water source I met up with Mike from Maine(now known as flower boy).  We hiked to the gap and stopped for lunch.  I had a kind bar, he had peanut butter and a tortilla.  There was a privy at the gap and trash receptacles.  A hikers delight!   
I hiked alone for a while again and somehow I went off trail. I turned around to go back and realized where I had gone wrong. Or so I thought.  The next thing you know I’m walking towards Shakira and Texas(previously Justin & Steve). I told them they were going the wrong way.  They insisted that they were not going the wrong direction. THEY were right!!! Good grief I had gone the entire wrong way again!  They’ve been my trail Angels  two days in a row now.  
We enjoyed a great view for a few minutes and somehow I managed to get to Lance Creek despite myself... probably because I followed them down. 
My princess hiking days are over.  I had no hubby at the end of my day. I managed to pitch my tent with minimal help, hung my bear bag with more minimal help, and made a mess with my dinner!  It boiled over, and burned my finger.  I’m such a freshman in the hiking world!  
As I’m typing this from my tent, I’m listening to other hikers laughing while sharing stories from their lives.  I will soon go out and join them.  Down by the creek a party has started.Somebody is playing guitar and singing. 
There’s no privy here, and I’m wondering where on earth I’m going to potty!  I’ve also realized my flip flops aren’t good because I can’t wear my socks with them, and the shirt I brought to sleep in is uncomfortable. Oh and changing clothes in a single person tent is not easy! 
The good news is that we only have 8 miles to  Neels Gap tomorrow where I can remedy most of these problems.  I think we’re going to rent a cabin and split it 4 ways tomorrow night.  It’s getting down to 38 degrees tonight so a cabin will feel great!  
Until next time Blue Raccoon (2018)


Where’s your faith?","Gooch Gap
",Lance Creek,"Mar 30, Fri",7
Blue Raccoon,https://www.trailjournals.com//journal/entry/585421,"I woke up at 3:15am and just could not fall back asleep.  It was a snoring ensemble all around me! Shakira’s tent was by mine and he said he’s pretty sure I have sleep apnea.  I guess I scared him. He said I gurgled!  Anyway, he tuned in to listen for another breath. Papa Big Swig has said he sometimes waits for me to take another breath... maybe I do have sleep apnea?!? 
None the less, I felt great this morning! I had peanut butter and a tortilla for breakfast. Packed up camp and took off on my own.  I’m the slowest hiker in our group so I start first and end last every day. 
Today was Blood Mountain. I started out going up and literally went mostly up for 5 miles!  Blood Mountain is 4400ft elevation the climb was long, but the view was beautiful!  There were a lot of day hikers up there today. Many of them with dogs. I dropped my pack and sat with them. The view was clear for miles. I probably sat there too long, but I ate some Chipotle Tuna for lunch, drank lots of water and left  Blood Mountain with a full belly and a full heart.   My goal today was Neels Gap. There’s an outfitter located right there on the trail. In front of the store is a big tree with lots of hiking boots tossed up in it.  Rumor has it that folks hike as far as Neels Gap and call it quits by throwing their boots up in the tree. For the record, I did not throw my boots. 
I arrived at Neels Gap around 3pm. The rest of my crew was already here.  We had planned to rent a cabin and split it 4 ways, but Feather joined in so we split it 5 ways. It’s working out perfectly. Two guys in the upstairs bed, us girls in the downstairs bed, and flower boy on the sofa.  We all had pizza for supper.  It was the best frozen pizza I’ve ever had!  Since tomorrow is Easter we would like to take a zero and maybe stay another night.  We don’t know yet if we can keep the cabin, so we’ll see what happens when tomorrow comes.  
It’s extremely strange how the 5 of us met just 4 days ago and yet we feel a bit like family. We’re calling ourselves “Tramily”, trail family.  Flower Boy says that’s what hiking together 40 miles through the mountains will do.  I agree.  
The conversation has been great!  Everything from pooping in the woods and farmers snots to Shakira’s reason for hiking. His wife recently passed away on February 12, that happens to be my sons birthday.  We both started our hike on March 28 which is the date of my fathers death, but also happens to be the birthdate of his wife Patti.  Patti fought breast cancer for 5 years before losing the battle.  He’s carrying her ashes on this hike and scatters a few at every beautiful view. I don’t think our meeting was happenstance.  
I will try to elaborate on one person in the “tramily” with each new post.  Everybody has a story, and they’re all worth hearing. 
Until NextTimeBlue Raccoon (2018)


Where’s your faith?","Lance Creek
",Neels Gap,"Mar 31, Sat",7.20
Blue Raccoon,https://www.trailjournals.com//journal/entry/585488,"Happy Easter! Today is a day of faith and renewed hope.  Here in the hiker world we took a zero day.  My body definitely feels better from it. 
First thing this morning we tried to get our cabin for another night.  Easter blessings came to us, and for an additional $12 each we got another night at the Wild Boar cabin.  AKA the Hilton! 
For $8 each we got a shuttle into town and spent a long time at Walmart. It’s usually my least favorite place ever, but not today.  I didn’t need a lot of items because I was lucky enough to princess hike the first few days. I did pick up a sleeping bag liner and some hypoallergenic wet wipes.  I have cracks on my fingers from the old wet wipes. 
I had eaten cold pizza for breakfast before we left. That means I ate an entire Red Baron pizza by myself between supper last night and breakfast today!  Lunch time was rolling around though and right there was a Subway Sandwich Shop.  So for lunch we all had a sub.  I got the $5 daily lunch special which was a 6in meatball sub with Parmesan and black olives.  Mmmmm good!   But tonight for Easter dinner Texas is treating us to grilled burgers and hotdogs!  I can’t wait!  It’s certain to be the cherry on top!  
Texas will be my highlighted tramily member today.  He’s 41 years old and a newlywed.  Like literally a couple of months newlywed.  He’s only out here for 30 days, but hopes to meet us in Damascus for Trail Days in May.  He’s a Lawyer and is also in the Air National Guard. He’s actually leaving in thirty days to meet military requirements.  Thank you for your service Texas!  He reminds me of my son-in-law Alan. That means he’s a really good guy, and maybe a little nerdy.( in a good way)
It’s time to get my gear together for tomorrow.  Yesterday I mailed a few things home to lighten the load.  It’s so true that every ounce counts!  I even cut off part of my toothbrush handle!   Tomorrow will be my longest hiking day. 11+ miles to Low Gap.  One step at a time...
Until Next Time Blue Raccoon (2018)


Where’s your faith?","Neels Gap
",Neels Gap,"Apr 01, Sun",0
