Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Bonsai and Tucker,https://www.trailjournals.com//journal/entry/551832,"So, Tucker has finally retired and we have decided that it was time to fulfill Bonsai's bucket list item of hiking the Appalachian trail. We hope to complete the entire trail in 2017, starting the end of April. God willing, and the creek don't rise, we will finish before mid October. We know it will be a tough task, but we are up for the challenge! It will be physically and mentally challenging. Those of you who know Tucker know that that is his specialty! We will try to keep you all informed at least once a week. Depends on when we can get to town to charge the cell phone and when we have a signal to transmit.",,View Entry,"Nov 26, Sat",0
Bonsai and Tucker,https://www.trailjournals.com//journal/entry/551834,This is just a test to see if I can post from my cell phone.,,View Entry,"Nov 26, Sat",0
Bonsai and Tucker,https://www.trailjournals.com//journal/entry/551883,"Last night we were at a dance, and talked to someone we have recently met who thru hiked the AT in two week segments. He finished back in 1998 (I think that's what he said). We asked him questions about resupply, what he did with his food to protect it from bears and mice, and such. He said he just put his food in his sleeping bag stuff sack and hung in on the shelter hanger that had a tin can on it to keep the mice out. I'm thinking we will need a better method than that with all the current bear issues and reading others' blogs about mice eating into their food supply. It's one of my biggest concerns, followed by keeping our sleeping bags and clothes dry. When we registered (volunteer thru hiker registration), they were suggesting using a bear canister for the entire trail because of all the bear activity. That's the best way to protect your food, but, geez, that adds almost three pounds to your gear weight. We do have one, but with thru hiking, we would each need to carry one to have enough room for all the food we would need to carry to resupply only once a week (at least that is the plan right now). I don't know if I want that extra weight, but I also don't want critters eating my food!",,View Entry,"Nov 27, Sun",0
Bonsai and Tucker,https://www.trailjournals.com//journal/entry/552047,"So, we were talking the other night about our upcoming hike, and were kind of doing a mental inventory of what we all ready have and what we still need. We got talking about the tent. We have an REI Passage 2, which is a great tent and worked great for our past backpacking. I was talking about how cramped it could be if we stayed in it for any longer than necessary to sleep, and that it is a little heavy, so Tucker asked what the options were. Well, I just happened to be looking at some websites with backpacking gear, and someone was selling the Big Agnes Fly Creek UL3 for a really great price. It's quite a bit lighter than our tent and it's got more room. So, I guess we're getting a new tent! I think we will really be happy about that once we are on the trail and have that extra little bit of room at night.
We have just over four months to go! Still need a few more items. I think it's getting close to the time to get everything out, spread it out, and make sure we have everything we need and make a list of what we still need to get. I'm getting excited!",,View Entry,"Dec 02, Fri",0
Bonsai and Tucker,https://www.trailjournals.com//journal/entry/552413,"Ok, I want to talk about something sensitive...gasp! Underwear. When I read articles and blogs about underwear, the guys are touting boxer briefs that are synthetic. Women have very little to choose from. I'm sure the ex-officio briefs are good, but, how can they prevent chaffing? I did buy a couple pair of them and tried them out. I have to say, they do NOT cut back on smell. And no way do they prevent chaffing. I really want to wear what is best for me during hiking. How many women have tried men's boxer briefs to prevent chaffing? Do they cut back on odor? I want what is best for my...um...private parts. I need something that breathes and prevents chaffing. Does anyone have any suggestions? I would really appreciate it!",,underwear?,"Dec 12, Mon",0
Bonsai and Tucker,https://www.trailjournals.com//journal/entry/552414,I'm trying to learn to add photos to my journal entries from my phone. Looks like it is going to take a lot of battery power to post. Hope I can get it to work better!,,View Entry,"Dec 12, Mon",0
Bonsai and Tucker,https://www.trailjournals.com//journal/entry/552822,"Today is the first day of the year. We've been getting nervous and excited about our trek on the Appalachian Trail! It's getting about time to start planning in earnest. We are waiting for our 2017 AT guide, which should be sent to us around the middle of this month. When we get that, I will start making definite plans for some mail drops at towns near the trail for the first bit of our trip. I know I can't plan the entire thing because things change as you go. You never can know for sure how fast or slow you will be going and exactly when you will arrive at a certain town or landmark. I know it will be slow going at the beginning. I know that we are planning to stop once a week for resupply and not planning any zero days in town. For family and friends that don't know what a zero day is, it's when you take an entire day to stay in town and don't hike at all that day. Usually you stay one or two nights in a hotel at the same time. We are planning not to do that. We want to keep moving forward to our goal, to finish the entire trail this summer. We most likely might have to stay in a hotel once in a while, so we can charge the cell phone and our battery back up charger. We can only get three charges out of it, but plan to only use the cell phone to post on this journal about once a week, when I have a signal and for taking some pictures along the way.",,Happy New Year!,"Jan 01, Sun",0
Bonsai and Tucker,https://www.trailjournals.com//journal/entry/552890,"Do we need dry bags? I've heard others say they just used a compactor bag inside their backpacks to keep everything dry. So, if we do that, do we need dry bags for the sleeping bag, clothes, etc? Can you all let us know what is the best thing to keep our sleeping bags, sleeping clothes, etc dry? I really want to keep everything dry, but don't want to carry a lot of extra weight. And then, if we should have dry bags, what brand do you recommend? There are so many!",,dry bags?,"Jan 03, Tue",0
Bonsai and Tucker,https://www.trailjournals.com//journal/entry/554402,"So, we have just over two months to go before heading out on the trail. I'm getting pretty excited! Today I started going through some of our gear, and getting our first aid kit together. I plan to test out our cook system...still deciding weather to bring our canister stove or our home made alcohol stove. Tucker thinks we should just bring the alcohol stove made of a soda can. I don't know. Over the next few days I plan to test them both and see what seems to make more sense. I'm not really sure how available canister stove fuel will be, but stuff for the alcohol stove should be available at gas stations, Walmart, the dollar store, etc. Any opinions? I thought it was kind of fun making the soda can stove, but it seems the other stove would be so easy to use, though the canister stays kind of heavy even as you use up the gas. So many decisions to make!!!",,stoves,"Feb 09, Thu",0
Bonsai and Tucker,https://www.trailjournals.com//journal/entry/555096,"Our start date is coming up soon! Can't wait! I've started planning some food for the first few weeks. We are thinking of mail drops for about the first month, until we get things figured out. So, our main concern at the moment is whether to carry a bear canister or just hang a bag. I've been watching lots of blogs/vlogs, and people don't talk about that a lot, but it appears that most people just use a bag and hang it overnight. We're concerned about bears, for sure, but also about rodents and such. A bear canister helps protect from all of those, and can be used as a camp seat, and you don't have to hang it (except in the Smokey Mountain National Park). The down side is that it is very heavy (an extra 2 1/2 to 3 pounds without food) which is a real downer, and that it takes up the same amount of space in your pack whether it's full or empty. A bag is lighter, but needs to be hung at night, and is more susceptible to rodents, raccoons, bugs, etc.
So, if anyone has an opinion about this subject, we would appreciate your input! We haven't invested in either method yet, but need to start planning for that soon. We'd like to hear what you have to say on the subject!
Can't wait to get on the trail...",,"food storage, bear canister?","Feb 24, Fri",0
