Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Buttercup & D.P.Roberts,https://www.trailjournals.com//journal/entry/584235,"Ja, es klingt unvernünftig. Nur 6 Monate nach meiner Kreuzband-OP werde ich wieder auf den AT gehen. Gegen den Rat vieler vernünftiger Menschen.Aber ich kann nicht anders. Ich bin gefangen in dem Gedanken, endlich wieder in den Appalachen unterwegs zu sein. Auch Buttercup geht es so. Nur möchte sie nicht unbedingt noch einmal von vorn starten. Sie ist ein Mensch, der die Intensität eines Erlebnisses durch eine Wiederholung nicht schmälern möchte. Für mich spielt das jedoch keine Rolle, da es mir Freude macht, immer wieder neue Sichtweisen zu entwickeln. Also starte ich am 10. April und Buttercup wartet im Juni in Harpers Ferry auf mich. Von dort aus gehen wir gemeinsam Richtung MK.Wunderbar, dass die Vorbereitung diesmal so einfach ist. Wir wissen, worauf es ankommt. Das Equipment haben wir optimiert. Das heißt, das Rucksackgewicht wird diesmal weit geringer sein, da wir einige Dinge ersetzt haben und auf andere ganz verzichten. Die Basics sind - bis auf das Zelt - die selben. Hier haben wir unser Tarptent gegen ein Zpacks getauscht. Das Tarptent war uns bei Schlechtwetter etwas zu sensibel. Das Zpacks Triplex ist robuster und zudem viel leichter. Großen Wert haben wir auf unsere Schuhe gelegt. Buttercup hat sich wieder die Oboz Trailrunners bestellt, die sie schon einmal in Hot Springs gekauft hatte. Ich bleibe bei Adidas Terrex Fast R MID GTX und habe mir gleich zwei Paar dieses ultraleichten goretex-Schuhs geholt. Die Sohle dieser Schuhe ist der absolute Hammer, total rutschsicher auf nassem Felsen.Nun bleiben noch ein paar Tage des Wartens und Zeit für den Feinschliff. Dann geht es los nach Atlanta. Ich werde dann wieder versuchen, regelmäßig den Blog zu füllen. Wir freuen uns über alle, die uns begleiten, über jeden Eintrag im Gästebuch und über Hinweise und Fragen. Es beginnt alles mit dem ersten Schritt.",,View Entry,"Mar 16, Fri",0
Buttercup & D.P.Roberts,https://www.trailjournals.com//journal/entry/586978,"Früh 3.30 Uhr brechen wir von zu Hause auf. In Tegel am Flughafen dann unser Abschied auf Zeit. Hoffentlich können wir die 90 Tage verkraften. Ich fliege nach Paris und dann weiter nach Atlanta. Die Zeit vergeht wie im Flug;) auch weil ich mir drei Filme anschaue, die irgendwie etwas mit der Situation zu tun haben (Timetraveller‘s wife, Princess bride, Revenant). In Atlanta dann das Einreiseprocedere. Der Beamte sagt, nachdem ich ihm meine Pläne offenbare, dass wohl 2 Monate Aufenthalt ausreichen müssten. Nach etwas Verhandlung und nach Vorzeigen meines Rückflugtickets trägt er in meinen Pass zum Glück 6 Monate ein. Dann erzählt er mir, dass er aus Chile stammt und dort im Sommer eine Andenwanderung vorhat. Wir lächeln uns an. 
Schon vor ein paar Wochen hat mir mein amerikanischer Hikerfreund (Trailname Chili Dog) angeboten, mich abzuholen, bei ihm zu übernachten und mich am Morgen zum Trail zu bringen. Ich schlage mich am Flughafen per Bus an das andere Ende durch (45 Minuten) und da wartet er. Immer noch mit langem Bart, immer noch cool. Wir fahren zu ihm nach Hause. Er lebt in Fayetteville, südlich von Atlanta. Chili ist Tiefbauunternehmer, hat ein riesiges Haus und eine Garage voller Harleys. Passt zu ihm. Dann zeigt er mir seine Stadt. Hier liegen die Studios für „The walking dead“. Ein riesiger Komplex. In einer Bar gibt es ein paar Bud light und die Erklärung wie man richtig Baseball schaut und das Spiel versteht. Wir ziehen am Abend durch die Kneipen, bis ich nicht mehr kann. In Deutschland ist es ja schon 4.00 Uhr morgens und ich bin durch. Ich falle ins Bett und habe Buttercup in meinen Gedanken.",,View Entry,"Apr 10, Tue",0
Buttercup & D.P.Roberts,https://www.trailjournals.com//journal/entry/586980,"Am Morgen bin ich schon um 3.00 Uhr wach. Nach alter Zeit ist es 9.00 Uhr. Also fast verschlafen. Da aber meine Gastgeber mit meiner Mobilität zu dieser Zeit noch nichts anfangen können, döse ich bis halb sechs ein bisschen rum. Dann packe ich meinen Rucksack und warte, bis sich etwas regt. So gegen 7.30 Uhr brechen wir auf. Noch schnell bei Waffles gefrühstückt und dann geht es Richtung Amicalola Falls. Schon von weitem sehe ich die Berge und werde sofort aufgeregt. Im Visitor Center gibt es eine kurze Einweisung und die Registrierung. Es sollen sich in diesem Jahr bereits im Internet 4.000 Thruhiker angemeldet haben. Ich bin von den schon gestarteten Hikern Nummer 2143. Vor mir sind heute immerhin 20 Hiker unterwegs. Chili Dog und ich machen noch schnell ein paar Fotos, dann verabschieden wir uns. Ich habe einen Kloß im Hals. Er ist wirklich ein großartiger Mensch. Noch schlimmer wird es mit meiner Stimmung, als ich die ersten Schritte mache. Ich denke an Buttercup und das vorige Jahr. Nur die physische Anstrengung bringt mich wieder in die Bahn. Ich gehe erst einmal 8.8 Meilen bis zum eigentlichen Start des Appalachian Trails, dem Springer Mountain. Am Anfang sind es 604 Treppenstufen bis zum Kopf des Wasserfalls. Es ist der höchste Wasserfall östlich des Mississippi. Danach bleibt es anspruchsvoll. Gegen 4.30 Uhr komme ich oben an, registriere mich im Gipfelbuch und Foto und los geht AT 2.0. Die Shelter ist ein paar Meter weiter downhill. Das reicht für heute und ich beschließe, zu bleiben. Viele Leute sind hier, aber es ist Platz für alle. Zelt aufbauen, Wasser aufbereiten, Essen machen ist für mich immer noch Routine. Das Zelt stelle ich an der selben Stelle auf, wie im Vorjahr. Ich glaube, das Wetter wird diesmal aber nicht wie damals in der Nacht kippen, denn heute war ein sonniger, warmer Tag und eine Wetteränderung ist nicht in Sicht. Nur kühl kann es werden. Aber mein Schlafsack ist aus guter Daune. Nun ruhe ich mich aus und höre mal, ob das Knie mit mir spricht. Alles gut soweit, nur ein wenig Heimweh.","Springer Mountain
",Springer Mountain Shelter,"Apr 11, Wed",0.20
Buttercup & D.P.Roberts,https://www.trailjournals.com//journal/entry/586981,"Ich wache nach einer ruhigen Nacht auf. Erst gegen 7.00 Uhr wird es hell. Ich bin einer der ersten. Noch geht alles ein wenig langsam. So brauche ich 1.5 Stunden bis zum Abmarsch. Es ist wieder warm und sonnig. Der Weg ist etwa 8 Meilen sehr einfach. So beschließe ich, weiterzugehen. Dann kommen ein paar ordentliche Anstiege. Ich will es ja nicht übertreiben, doch es werden trotzdem 14 Meilen. Der Grund ist einfach: Wasser! An einem Bach finde ich alles, was ich brauche. Ein Hiker aus Wisconsin kommt noch dazu. Außerdem habe ich noch ein spannendes Gespräch mit einem etwas älterem Hiker, der den Trailname Bill Skywalker trägt. Er ist Schriftsteller und Englischlehrer und Globetrotter. Den PCT ist er vor 8 Jahren gegangen und hat darüber ein Buch geschrieben. Als Englischlehrer hilft er mir auch gleich über ein paar Grammatikfehler hinweg. Könnte ich  häufiger gebrauchen;)","Springer Mountain Shelter
",Justus Creek,"Apr 12, Thu",14.10
Buttercup & D.P.Roberts,https://www.trailjournals.com//journal/entry/586982,"Heute muss ich nun etwas Vernunft walten lassen. In der Nacht meldet sich nämlich mein rechtes Knie. Paradoxerweise nicht das Problemknie, sondern die andere Seite. Vielleicht will es mir sagen, ich brauche auch mal ein wenig Aufmerksamkeit. Also nur wenige Meilen und zeitig das Lager aufschlagen! Nur das Streckenprofil spielt nicht richtig mit. Ständig hoch und runter schlaucht meine Kondition. Bergab muss ich mich bemühen, nicht mein schwaches Bein bei den großen Schritten zu schonen. Dann kommt es wahrscheinlich zur Überlastung des stärkeren Beines. Zum Glück finde ich einen guten Platz für die Nacht und 7.00 Uhr bin ich im Bett. Das Murmeln der anderen Hiker lässt mich schnell wegdösen.","Justus Creek
",Jarrad Gap,"Apr 13, Fri",11.80
Buttercup & D.P.Roberts,https://www.trailjournals.com//journal/entry/586983,"Gegen Ende der Nacht gibt mein Knie endlich Ruhe, sodass ich noch ein wenig schlafen kann. Gerade noch rechtzeitig, um keine komischen Entscheidungen treffen zu müssen. Dann werde ich heute mal etwas kürzer treten. So einfach ist das aber nicht, wenn man über Blood Mountain drüber muss. Vor allem der Abstieg hat es in sich. Aber es geht und ich bin noch vor 12.00 Uhr in Neel Gap. Hier müssen einige schon aufgeben. Das sieht man an der gut gefüllten Hikerbox. Ich fische mir hier Essen für drei Tage raus. Alles original verpackt. Dann gehe ich weiter. Alle warnen vor schlechtem Wetter. Gegen fünf soll es anfangen zu regnen. Und dann den Sonntag durch. So schlage ich mein Zelt am frühen Nachmittag etwas abseits an einsamer Stelle auf und gebe meinen Gelenken eine Chance. Hoffentlich holt mich heute Nacht nicht der Bär, wenn ich so allein bin.","Jarrad Gap
",Swaim Gap,"Apr 14, Sat",7.90
Buttercup & D.P.Roberts,https://www.trailjournals.com//journal/entry/586985,"Gegen 3.00 Uhr morgens kommt der Regen. Etwas verspätet. Im Schlafsack, warm und trocken, ist das ein angenehmes Geräusch. Leider regnet es sich ein. Ich warte Stunde um Stunde, dass es weniger wird und ich aufbrechen kann. Gegen Mittag habe ich das Gefühl, es hört auf. Nun packe ich zusammen und gehe los. 10 Minuten später dann Starkregen. Na dann ziehe ich das heute einfach durch. Es ist eine fürchterliche trübe Stimmung in den Bergen. Die Wolken hängen in den Bäumen. Wo sind nur die anderen Hiker? Ich sehe bis zum Tagesende keinen einzigen. Sie warten sicher in den Shelter besseres Wetter ab. Das ist auch der Grund, warum es bei Regen sinnlos ist, auf einen Platz in der Shelter zu hoffen. Ich finde abends eine Zeltstelle nahe des Weges, bin aber wieder allein. Ich kann mich trocken und warm einpacken.","Swaim Gap
",Cold Springs Gap,"Apr 15, Sun",12.50
Buttercup & D.P.Roberts,https://www.trailjournals.com//journal/entry/586986,"In der Nacht stürmt es heftig. Ich mache mir Sorgen, dass irgend ein Baum kippt. Der Regen trommelt auf das Zelt. Ich werde so gegen zwei Uhr wach und spüre, dass die Luft kälter geworden ist. Mein Schlafsack ist an seiner Comfortgrenze angekommen. Der Regen hört sich auch etwas anders an. Was los ist, sehe ich, als es hell wird. Neuschnee und Frost, vielleicht 5 Grad unter Null. Jetzt ist das kein Spaß mehr. Wenn man auskühlt, hat man hier in den Bergen verloren. Mein Wasser hängt im Wasserbeutel steinhart gefroren. Zum Glück sind es nur 2 Liter. Typischer Anfängerfehler! Als ich den Bärensack holen will, bekomme ich den gefrorenen Knoten nicht auf. Die Schnur ist steif wie ein Eiszapfen. Irgendwie mit warmer Atemluft geht der Knoten dann auf, doch der Sack kommt nicht nach unten. Die Schnur ist am Ast angefroren. Ich verplempere eine Menge Zeit, um alles auf die Reihe zu bekommen. Und mir wird kalt. Beim Zusammenpacken geht mir das Ventil meiner Isomatte kaputt. Außerdem ist ein Teil meiner Sachen nass, ohne Chance auf Trocknung. Jetzt ist klar, ich muss heute unterbrechen. Nach der Karte ist Hiawassee, Georgia die beste Gelegenheit. Ich gehe die etwa 6 Meilen bis Unicoi Gap in ermüdenden 3 Stunden. Von dort kann ich mich vielleicht shutteln lassen. Am Gap kreuzt die Straße und auf dem Parkplatz ist viel los. Ich werde gleich von einer großen Gruppe Kinder freundlich begrüßt. Sie machen einen Ausflug mit der Jungen Gemeinde. Der Pfarrer und ein paar Eltern sind dabei und alle sind umwerfend hilfsbereit. Ich darf mich im mitgebrachten Partyzelt setzen und meine Story erzählen. Nebenbei bringt mit ein Mädchen einen gegrillten Hamburger, eine Banane und Wasser. Jemand hilft mir, den Shuttle zu rufen, der mich frei zu dem 14 Meilen entfernten Budget Inn bringen wird. Zum Abschied fragt mich der Pfarrer, ob er für mich ein Gebet sprechen darf. Wir stehen im Kreis, fassen uns an die Schultern und er spricht wirklich gute Worte. Ich bin unendlich dankbar. 
Der Mann an der Rezeption gibt mir sein letztes Zimmer. Es hat sich herumgesprochen, dass auch die nächste Nacht richtig kalt wird. Selbst hier im Ort ist die Temperatur am Gefrierpunkt. Ich bin froh, die richtige Entscheidung getroffen zu haben. Jetzt Duschen, Einkaufen, Wäsche, WiFi. Ich vergesse die Kälte bei einem Pint Häagen-Dasz. Morgen werde ich wieder frisch in die Berge ziehen.","Cold Springs Gap
",Unicoi Gap,"Apr 16, Mon",5.80
Buttercup & D.P.Roberts,https://www.trailjournals.com//journal/entry/587430,"Das ist schon erholsam, so eine Nacht im Motel. Ich habe alles wieder in Ordnung gebracht, gereinigt und getrocknet. Habe ausgeschlafen und entspannt zusammengepackt. Dann fährt der Shuttle gegen Mittag zehn Hiker wieder an den Trail. Ich steige aus und versuche mir nicht vorzustellen, über wieviele steile Berge ich heute gehe. Es fängt gleich ruppig an, eine Stunde steil bergauf, dann eine halbe Stunde bergab und wieder eine Stunde steil hoch. Noch habe ich keine Trail-Beine. Also versuche ich mich abzulenken. Ich will heute die Shelter erreichen, in der wir im letzten Jahr übernachtet haben. 13 Meilen an einem Nachmittag ist ziemlich weit. Aber auch der letzte und schwerste Berg hält mich nicht davon ab. Nach sechseinhalb Stunden komme ich an. An der Shelter treffe ich keine bekannten Gesichter. Ich habe die Bubble vor mir eingeholt. Ich stelle mein Zelt auf und bereite mein Essen an der Shelter zu. Das ist das Kommunikationszentrum. Spannend ist immer, was die Hiker so essen und wie sie es zubereiten. Es wird viel gelacht. Leider verstehe ich nur knapp die Hälfte. Erschwerend ist vor allem der Südstaaten-Akzent. Nach spätestens 30 Sekunden bekommen alle mit, dass ich aus Deutschland komme. Und dann geht die Fragestunde los. Meinem Englisch tut das gut.","Unicoi Gap
",Deep Gap Shelter,"Apr 17, Tue",13.10
Buttercup & D.P.Roberts,https://www.trailjournals.com//journal/entry/587431,"Über der Shelter liegt morgens eine Wolke würzigen Dufts. Etwas zigarettenähnliches macht die Runde. Danach ist kollektives Husten angesagt. Ich esse lieber mein Müsli zum Frühstück. Dann laufe ich bei Sonnenschein los. Heute werde ich Georgia verlassen und North Carolina betreten. Aber der Trail hat es in sich. Das habe ich nicht so schwer in Erinnerung. Up und Downs ununterbrochen. Es ist ein warmer Tag und ich habe einige nette Gespräche. Zum Ende des Tages, als ich gerade die Staatengrenze passiere, kommt es noch mal richtig heftig. Ich erreiche meine physische Grenze und muss am letzten steilen Anstieg alle 50 Meter anhalten und Luft holen. Schließlich bin ich an der Shelter und finde eine Zeltstelle. Zum Abendessen werfe ich mir noch eine „Vitamin I“ ein. Leider hat sich mein rechtes Knie, also eigentlich mein starkes Knie, sehr heftig gemeldet. Mal sehen, was in der Nacht daraus wird. Ich liege trocken, warm und sicher in meinem Zelt. Das ist doch auch etwas!","Deep Gap Shelter
",Muskrat Creek Shelter,"Apr 18, Wed",15.40
