Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Chip Tillson,https://www.trailjournals.com//journal/entry/582767,"T-11 days...final gear selected, extra and summer gear is boxed and ready to be shipped if and when it’s needed. Getting nervous about this...","
",View Entry,"Feb 08, Thu",0
Chip Tillson,https://www.trailjournals.com//journal/entry/582805,"Couldn’t sleep last night. Excited/anxious. Worried/hopefull. Spent the hours meticulously weighing my gear...yes that’s a thing in backpacking circles. I’ve learned a lot reading gear lists posted online by other hikers so my stuff is listed here for others to refer to. (click “gear” in the menu). Everything I’m taking, sans food and water, weighs in at 21 lbs. That’s pretty dang good, and will ease the stress on my knees. If only I’d have put as much effort into loosing the 10 lbs extra around my waist! No matter, if my legs can hold up I’ll likely loose tripple that before this is over.",,View Entry,"Feb 10, Sat",0
Chip Tillson,https://www.trailjournals.com//journal/entry/582928,A week from now I’ll be living outside. Preparing myself to be away from home has been less stressful than preparing home for me to be away.,,View Entry,"Feb 13, Tue",0
Chip Tillson,https://www.trailjournals.com//journal/entry/583088,"I’m here in Georgia and ready to start tomorrow after 2 day’s travel with my incredible parents; without whom I would not be. Unending love to all time best girlie Joyce for her love, patience, and support; I hope the next 6 months are an adventure but pass quickly for us both. Massive pre-thank-you’s to everybody back home...family, friends, fellow BH firefighters; I know you’ve got me covered on the home front and are ready to render aid as needed on the trail. Now if I can get any sleep...",,View Entry,"Feb 19, Mon",0
Chip Tillson,https://www.trailjournals.com//journal/entry/583125,"It was a foggy, rainy, muddy, glorious day! I’m finally here at the top of Springer Mountain, in a wet cloud. Cool but not cold, record high temps for next few days. Most of today’s walking was on the “Approach Trail” so after 9.1 miles I’m camping at AT trail mile 0.3. Long way to go! My bad knee is not performing up to needed specs, lots of pain. That’s quite worrisome but I don’t have any control over it except to keep the daily mileage low and hope for the best. There’re a few peeps camping here tonite, all of us headed for Maine. We ate dinner together and had an enjoyable chat. They are: Marbles (from Texas I think). Georgia and Nick from Australia. Plodalong and Grandma Shortie from Massachusetts (they’re posting their hike on YouTube). John from Tabernackle, NJ. He’s the just retired DPW Supervisor of Medford...holy cows, just like me...incredible! He looks a bit familiar, I’m sure we’ve crossed paths. There’s another guy who’s name I forgot, sorry guy. I’ll call you guy. On we go...","
",View Entry,"Feb 20, Tue",0.30
Chip Tillson,https://www.trailjournals.com//journal/entry/583159,"Another very wet day. The sun did come out briefly at supper time drawing oohs and ahhs at the shelter. A few more people here tonite including another from Jersey. Australians Georgia and Nick got soaked and had a mouse chew into their tent last night. They were last seen headed out the way we came. I hope they’re just regrouping. I asked them if it rains much in their hometown, they said “maybe 2-3 times a year”. It’s gonna rain every day here for at least another week. Yikes! Keeping the miles low, planning about 8 tomorrow. I have supplies for 2 more nights.
Corrections from yesterday: Marbles is from NC and “guy” is Music Man from GA.","
",Hawk Mountain Shelter,"Feb 21, Wed",7.80
Chip Tillson,https://www.trailjournals.com//journal/entry/583231,"A nice warm partly sunny day. It was needed to dry out my stuff. I can’t believe how lucky we hikers are to have this first week be so warm. Even the wet first days were a blessing in disguise forcing us to learn learn efficient set up and beak down. Early this afternoon just as I was getting hungry I had my first Trail Magic! Snap and Lion-heart, “Class of 2017” thru hikers, were paying it forward at Cooper gap with an AWSOME spread. I filled up on fruits, veggies, and a doughnut.","
",Gooch Mountain Shelter,"Feb 22, Thu",7.60
Chip Tillson,https://www.trailjournals.com//journal/entry/583260,"9 hours walking up and down on this warm, sunny Georgia day. I’ve  spent each night so far at the shelter sites with the same several people. We see each other occasionally through the day but mostly we walk alone. The Appalachian Trail Conservancy (ATC) has lots of “Ridge Runners” here in Georgia, ran into 3 of them today. They make sure people follow the rules, especially with regards to carrying out trash and storing food properly. Kudos to them as the sites are in good shape. There are metal boxes at each shelter to store food overnight. Last night coyotes made some noise close by but stayed out of flashlight range. Big day tomorrow, gotta get up and over Blood Mountain. They say it’s as tough as it’s name but it doesn’t stand a chance: there’s a shower, laundry, and a bed on the other side!
As I’m typing this, at 8:30 pm, a big group of people arrived. Everybody is settled in and they’re tromping about in the dark  looking for flat spots to set up their tents...I hope they cook and store their food properly or say hello to Mr Coyote!","Gooch Mountain Shelter
",Woods Hole Shelter,"Feb 23, Fri",11.90
Chip Tillson,https://www.trailjournals.com//journal/entry/583287,"Blood Mountain whaaaa? Kicked it’s butt, so did all the other thru hikers. Staying tonight at Mountain Crossings hostel. I wasn’t the first one here but I was the first one to ask for a bunk and BINGO: Trail Magic again! Someone anonymously payed the $20 for today’s first hiker’s bunk, I proudly took the prize and some ribbing from my fellow travelers. There was a small festival here sponsored by the outfitter, they call it the “Kick Off” of hiking season. There were a few vendors, live music, and hot dogs. The Altra shoe rep gave me a beer (I’m wearing his shoes). The rumored laundry service proved to be just that but no matter, it’s gonna rain hard tomorrow. There are a surprising number of hikers around, 12 here and at least another couple dozen at a near by campsite and the hostel down the road. Eight (give or take) of us have formed a little group traveling at the same pace. I think we’ll begin to break up as each of our need for rest and showers spreads us out along the route. We’ll all no doubt form new groups, everybody’s going the same way!
Note: word is I’m entering a difficult area for cell reception, might miss a day or two posting.","Hawk Mountain Shelter
",Neels Gap,"Feb 24, Sat",3.60
Chip Tillson,https://www.trailjournals.com//journal/entry/583347,"Cold rain today. More rain tomorrow morning then still colder. Got more Magic at a road crossing. Billy was parked there with fresh fruit and a hot cup of Lady Grey tea. Thanks Billy! Lots of people in and around the shelter tonite although we’re spread over about 1/10 mile of slimy muddy trail. There is no “bear box” for food storage here and the trees are not conducive to hanging my bag so I sealed my food up as best I could. It’s laying right here under my hammock with my wet and stinky shirt, socks, and underwear laying on top. That ought’a to do the trick. There’s a dog in the shelter for back up. Marbles and I have been hiking near each other since the start. I pass him on the uphills and he passes me going down. We’ve agreed to stay that way until at least the next hostel, three days away. Rumor has it they do laundry...","Neels Gap
",Low Gap shelter,"Feb 25, Sun",11.50
