Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Commander,https://www.trailjournals.com//journal/entry/585770,Just arrived at Amicalola Falls to register as thru- hiker for the Appalachian Trail. I am Hiker #1923 of Class 2018. Happy Trails. Be sure to check out all the photos I’ve posted on trail journals under “photos”.,,View Entry,"Apr 04, Wed",0
Commander,https://www.trailjournals.com//journal/entry/585897,Survived first night. Planning 13 miles today. Lost pocket knife yesterday and had dehydrated meal burst open. Everything else was great. Taking a break after 10 miles.,"Hawk Mtn
",Woody Gap,"Apr 06, Fri",13
Commander,https://www.trailjournals.com//journal/entry/585996,"Rain and wind -lots of both! My tent did great! Hiked to Blood Mountain and Shelter today. Should be at Neel Gap early this afternoon. Plan to stay in hostel/motel tonite to dry gear, shower, and eat decent meal.","Woody Gap
",Neel Gap,"Apr 07, Sat",10.10
Commander,https://www.trailjournals.com//journal/entry/586190,"Had great breakfast at hostel this morning. Started at Neel Gap. (Photo of shoes hanging in tree are from hikers who abandoned their quest). Trail Magic at Mtn Crossings Outfitters - hamburgers and they were good! AT goes right thru Outfitters Bldg. (Commander, Vermont Vixen, and Ozzie). Hiked thru rain, hail, snow, and lots of mud today. Official mileage today was 6.9 miles. Finished up at Hogpen Gap. Fantastic day.","Neel Gap
",Hogpen Gap,"Apr 08, Sun",6.90
Commander,https://www.trailjournals.com//journal/entry/586240,Experienced my first fall.  Cooked chicken teriyaki for dinner- the dehydrated version. Tent set up and ready for sleep. Hiked in mist and fog most of day. Sun finally peaked thru at 6pm.,"Hogpen Gap
",Blue Mtn Shelter,"Apr 09, Mon",12
Commander,https://www.trailjournals.com//journal/entry/586354,"Day 6 hiked 6.8 miles from Blue Mountain Shelter to Tray Gap in Georgia. Beautiful weather but a lot of steep uphills. Experienced trail magic at Unicoi Gap with other thru-hikers. Picture: Two old hikers with the Haiku Hiking Crew, all headed to Maine. Kneeling: Professor, DNA, Pixie. Standing: Bushkill, King, Stillwater, Bubble Boy, Fire Breather,  Commander, and Ozzie.","Blue Mountain Shelter
",Tray Gap,"Apr 10, Tue",6.80
Commander,https://www.trailjournals.com//journal/entry/586411,"Day 7.  Hiked from Tray Gap to Dick's Creek Gap, a total of 12.3 trail miles. Blonde Lady (Brenda) hiked with me for 2.3 miles before returning to the car. Great day, great weather, great hikers.","Tray Gap
",Dick’s Creek Gap,"Apr 11, Wed",12.30
Commander,https://www.trailjournals.com//journal/entry/586514,"Day 8. Hiked 9.0 official trail miles today beginning at Dick's Creek Gap, GA to Bly Gap, NC. Now I have officially hiked the entire Georgia section of the AT! YEAH! Set up camp, one pic is the view from my tent. Cooked gourmet meal of black beans and rice in another pic. ""Ozzie"" and I have our picture taken by ""Walk It Off"" , a hiker from Switzerland. About 20 campers are tenting  with me tonite. Low temp around 44 tonite. Looking forward to pushing further into NC since ""Georgia is NOT on my Mind."" Happy Trails.","Dick’s Creek Gap, GA
","Bly Gap, NC","Apr 12, Thu",9
Commander,https://www.trailjournals.com//journal/entry/586780,"Day 9. Celebrated 44th wedding anniversary today! Hiked 12.1 miles from Bly Gap to Beech Gap. First full day hike in NC (and I thought the mountains in Georgia were steep!) good start to day with hearty bkft of oatmeal, bagel, and coffee. Trail Magic at Deep Gap for lunch--BBQ Wings and Snickers (yum yum). Great day hiking. Met Ducky, Candy Man, Old School, Bear Piñata, Sticks, Stones, and E Street. First night without cell service--but I survived.","Bly Gap
",Beech Gap,"Apr 13, Fri",12.10
Commander,https://www.trailjournals.com//journal/entry/586781,"Day 10. Hiked 15.3 miles (personal best) today from Beech Gap to Rock Gap. Climbed Albert Mountain (hand over hand in certain sections) to view fire tower. Developed first major blister. Came off trail late in day to due severe weather forecast. Plan to take ""zero"" day tomorrow. Major milestone today - passed 100 miles on the Trail. (Note me pointing to 100 in bottom of photo.)","Beech Gap
",Rock Gap,"Apr 14, Sat",15.30
Commander,https://www.trailjournals.com//journal/entry/586803,"Day 11. Torrential rain all day today. Took ""zero"" day in which hikers do no hiking and usually head indoors to a hostel or hotel to rest/regroup.  I did take the opportunity work on my gear and to get a haircut at Great Clips in Franklin, NC. I asked the stylist to make me good-looking but this was the best she could do! Back on the Trail tomorrow morning with snow in the forecast!","Franklin, NC
","Franklin, NC","Apr 15, Sun",0
Commander,https://www.trailjournals.com//journal/entry/587017,"Day 12.  Hiked from Rock Gap to Wayah Bald for 13.9 Trail miles. Hike was below freezing and in snow the entire day. I was dressed in layers and remained comfortable. Trees were beautiful encased in rime ice. Met many memorable hikers, one of which was ""Space Monkey,"" a four year old thru-hiking with his Dad.","Rock Gap
",Wayah Bald,"Apr 16, Mon",13.90
Commander,https://www.trailjournals.com//journal/entry/587111,"Hiked 9.3 miles from Wayah Bald to Tellico Gap in the ice and snow. Temp was 25 degrees at start of hike. Climbed tower and was treated to spectacular views. As I descended down Mtn, snow turned into mud, and more mud. Met new hikers today: Thumper, Spark Plug, Flame Thrower, and Rodney.","Wayah Bald
",Tellico Gap,"Apr 17, Tue",9.30
Commander,https://www.trailjournals.com//journal/entry/587211,"Day 14. Hiked 8.1 miles from Tellico Gap to Nantahala Outdoor Center. Sunny, clear, 65 degrees today with great views. Saw my first snake on the Trail today - after it dropped from a tree next to the Trail - non poisonous, but about 5 feet long.  Saw numerous wild flowers: bluets, wild iris, white trillium, buttercups, bloodroot, violets. Met new thru-hikers: Sunflower, Raven, Dave, Batty, Hummingbird, and Awesome. Brenda met me the last mile of the Trail. Then we had dinner at a hiker restaurant.","Tellico Gap
",Nantahala Outdoor Center,"Apr 18, Wed",8.10
Commander,https://www.trailjournals.com//journal/entry/587263,"Day 15. Start of week 3. Hiked from Nantahala Outdoor Center to Stecoah Gap for a total  of 13.6 miles. Total mileage for Trail is now 150.6 miles. On Trail at 0730 this morning for grueling climb from 1700 feet to elevation of 5300 feet in about 8 miles. The hike was so steep that the downhills were uphill!  Bright spot of day (in addition to completing 150 trail miles) was that Brenda met me at Stecoah Gap and hiked the last mile with me! Did not meet any new hikers today --- I must be in the bubble, as they say.","Nantahala Outdoor Center
",Stecoah Gap,"Apr 19, Thu",13.60
Commander,https://www.trailjournals.com//journal/entry/587443,"Day 16. Hiked from Stecoah Gap to The Southern Boundry of the Great Smoky Mountain Park for a personal best of 16.8 official Trail miles. Total AT miles are 167.1. What a difference a day makes - yesterday I was passed by everyone on the Trail. Today no one passed me! I made good time on the Trail and encountered not a single hiker - that maybe the reason no one passed me! Lots of solitude today. Met Wander Woman today, retired FBI agent. About 35 thru-hikers are poised to enter the Smokies tomorrow with me - that should be a zoo! Brenda met me at Fontana Dam and we walked across it together.","Stecoah Gap
",Southern Boundary of the Great Smoky Mountain Park,"Apr 20, Fri",16.80
Commander,https://www.trailjournals.com//journal/entry/587746,"Day 17. Hiked from Great Smoky Mountain National Park southern boundary to  Russell Field Shelter (13.3 miles). Total miles= 180.4. Climbed fire tower to get beautiful view of Fontana Lake. Met new thru-hikers: Steel Dan, Spitfire, Wings, Smokie, Denny, Midlife, Arkie, and Silver Bullet. Had sweet & sour pork for dinner but ran out of fuel. First night sleeping in shelter. 14 hikers are snuggled together.","Southern Boundary of the Great Smoky Mountain National Park
",Russell Field Shelter,"Apr 21, Sat",13.30
Commander,https://www.trailjournals.com//journal/entry/587747,"Day 18. Hiked from Russell Field Shelter to Siler's Bald Shelter for official mileage of 14.7 miles. Toughest day yet on the Trail! Lots of ups and downs hiking in rain, mist, and clouds. Hiked all day with Ozzie and Wander Woman. Constant, steady rain set in just as we arrived at shelter. Shelter filled to overflowing because of torrential rains and gale force winds. Met ""Darrell"" who was homeless man on Trail. He was one of the kindness and most giving persons I have ever met! He built fire in shelter fireplace and made sure every hiker was comfortable as possible. Had best night sleep ever on the Trail. Important milestone: I now have less than 2000 miles to Katahdin!","Russell Field Shelter
",Siler’s Bald Shelter,"Apr 22, Sun",14.70
Commander,https://www.trailjournals.com//journal/entry/587748,"Day 19. Well rested after superb night's sleep. Weather was horrific today-rain (lots of it), wind (lots of that too), cold (plenty to go around). Planned to do ""Nero"" day for mileage - that means a near zero day. Started at Siler's Bald Shelter and hiked in those horrific conditions to Clingman's Dome, the highest point on the AT. Mileage today was only 4.6 but I was totally soaked. Brenda had previously planned to meet me in Gatlinburg where I would come off the Trail for one night. However, with the foreboding forecast I decided to take a zero day on Tuesday. Instead of staying in Gatlinburg, I will sleep in my own bed in Bluff City. Got new hiking shoes after my old fell apart on the Trail. Only photo taken today was selfie on the drive home.","Siler’s Bald Shelter
",Clingman’s Dome,"Apr 23, Mon",4.60
Commander,https://www.trailjournals.com//journal/entry/589081,Zero day. Rainy day. Stayed in Bristol at the house.,"
",View Entry,"Apr 24, Tue",0
Commander,https://www.trailjournals.com//journal/entry/588013,"Day 21. Hiked from Clingman's Dome, TN to Icewater Shelter in NC for 10.7 miles. Hiked in mud, rain, mud, blowing rain, mud, mists and clouds. Did I mention I hiked in mud? Surprisingly, encountered about 40 day and section hikers on the Trail today! New shoes got soaked but seemed to hold up well. About 25 hikers are in shelter with me tonight. Ate rice and chicken for dinner with snickers bar and coffee. Climbed in sleeping bag at 6 pm to get warm. Rain forecast for tomorrow is only 80%. Surpassed 200 officialTrail miles today!","Clingman’s Dome, TN
","Icewater Shelter, NC","Apr 25, Wed",10.70
Commander,https://www.trailjournals.com//journal/entry/588225,"Day 22. Start of my fourth week- WOW! Started  at Icewater Shelter with a glimmer of sun - but only for an hour. Then the rain came and never relented. A breakfast of crumbled Pop Tarts did not help with my ""sunny"" disposition! Hiked 12.6 miles to Tri-Corners Shelter and found it filled to capacity with thru-hikers. Met new hikers: Griffin (Pensacola), Galaxy (Alabama) and No Step (Germany). Big milestone today was I reached mile marker 219 which means I have now completed 10% of the entire Trail! Be sure to check out all the photos I’ve posted on trail journals under “photos”.","Icewater Shelter, NC
",Tri-Corners Shelter,"Apr 26, Thu",12.60
Commander,https://www.trailjournals.com//journal/entry/588241,"Day 23. Woke up early since I did go to bed at 5:30 pm! Bkft was 2 oatmeal packets, pop tarts, and coffee. Weather was overcast, foggy, and misty when I started to hike from Tricorners Shelter - but thankfully NO rain. Hiked 15.7 miles in mud, ankle deep mud, sloppy mud (is there any other kind). It was MUDDY today! Hike was mostly downhill into Davenport Gap which is the northern terminus into the Great Smoky Mountains. Brenda met me at Davenport Gap. I was able to dry some of my gear, get a hot shower, a good meal, and good night's rest. Plan to hit Trail early tomorrow at Davenport Gap and hope to reach Hot Springs, NC in three days. Met about 20 day and section hikers today when sun appeared and weather got better- it is amazing how that happens! I was in the Smokies 7 days and it rained HARD 6 of those days! I also have several blisters that need to be doctored because of the wet conditions and new shoes!Be sure to check out all the photos I’ve posted on trail journals under “photos”.","Tri-Corners Shelter
",Davenport Gap,"Apr 27, Fri",15.70
Commander,https://www.trailjournals.com//journal/entry/588485,"Day 24. What a difference a day makes! Arose to bright sun, birds singing, and no threat of rain! Hiked an official 15.3 miles from Davenport Gap to Max Patch Road with Ozzie and Wander Woman. Met my old friend (although I have known her for only four days) No Steps. She was coming out of the gap and we hiked together to Standing Bear Hostel where she was going to recover from the recent rains. She is a very nice lady and solo hiker from Germany. Interacted many times today with Worm, Early Bird, and Griz. Met new hikers: Diamond Blue Eyes, Oklahoma, and Flag. Took pix of nice waterfall and many wild flowers. Experienced Trail Magic at end of hike today - loaded baked potatoes, nachos, cheesecake, fruits, pastries, soda, etc.  At end of day I had 3 small blisters on toes of left foot and 2 major blisters on heel and toe of right foot. Soaking tonight and hope to be ready for 14 mile trek tomorrow. Be sure to check out all the photos I’ve posted on trail journals under “photos”.","Davenport Gap
",Max Patch Rd,"Apr 28, Sat",15.30
Commander,https://www.trailjournals.com//journal/entry/588577,"Day 26. Started hike at Garenflo Gap and hiked to the town of Hot Springs, NC for 7 total miles. US Forestry Service closed both Garenflo Gap and access to AT from Hot Springs AFTER we started due to uncontrollable wildfire. Did not met any other hikers today - wonder why? The first person I ventured upon today was a full geared-up firefighter 3 miles in the middle of nowhere! He informed me that the AT was closed. Well, a lot of good that was for me! He informed me that helicopters were inbound to drop water on the main part of the blaze. I had a front row seat for this as well as some of the fire and it's devastation. After a short time the firefighter escorted me past the main fire corridor and I hustled into the town of Hot Springs where I was met by Brenda. We checked into the Iron Horse Station and had a great meal at the Smoky Mountain Diner. All in all a good day - even though my blisters are still giving me trouble.","Garenflo Gap
","Hot Springs, NC","Apr 29, Sun",7
