Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Crazy Brit,https://www.trailjournals.com//journal/entry/569375,"Hi there as you can see from  my trail name I am English ,but at the time I start on my Thru hike Iwill have been living and working in the USA for the past 25 years, I will be 70 years old at the start and have always been pretty fit and agile being a Sailboat rigger ,Mast builder and Boatbuilder all my working life starting at the young age of 15 years as an Apprentice Boatbuilder in Plymouth Devon in England.
I have always liked Walking and the outdoors also fishing in the Sea ,River and Lakes this gets me out into the nature world,Iam also a keen Photographer , I intend to make a interesting Journal with lots of Photos,both good times and Bad, I will also have some fishing line and bits and pieces, as its always hard for me to pass a river lake or pond without just getting a line wet.
All though I live in Bradenton Florida i can get in some good hiking tho there is a distinct shortage of those hill things I have heard on the grapevine that the AT is not short on these , I have a rock pile i climb up and over also steps  at our local Carpark, have also joined our local gym and making the most of their equipment.
As always there is a black cloud in my preparation in that i have been diagnosed with Arthritis in my Big toes, as I am going to need these my doctor arranged for me to have Cortazone shots ,This was the most painful thing i have ever had to make things worst they never worked , so I am having Acupuncture on my toes and this is really helping , I am back to walking 8 miles every morning  just to get them worked up , we will be going up to North Carolina in August for a week so i can walk a bit of the AT , also my local hiking store Trailwalkers here in Bradenton are putting together a AT hike in October, so will be able to test some of my gear that I am getting together , a list will follow shortly.
I look forward to getting all the equipment and am being Mentord by a friend who competed a thru hike in 2015 name of Dan Caruso  trail name "" Uncle D""  and another friend David Dates  trail name "" D square "" David is going to do the Thru hike with me in 2018 as in 2016 he got hurt just 400 miles from Mt Katahdin, these two have been a great help to me,
When I get a little help with this page I will post more on training,  getting gear , and some photos , its getting closer every day , my wife thinks I am Crazy but then she always has ,any one can live on the flat but its more exciting living  on the Edge
Crazy Brit",,View Entry,"Jun 20, Tue",0
Crazy Brit,https://www.trailjournals.com//journal/entry/570399,"I have made my final selection for a tent, going to get the  Memo   Hornet  I love the fact that it has side doors make it so much better for getting in and out , also ordered a Big Agnes sleeping bag , its the sort that John one of the owners of Trailwalkers the out fitters I use in Bradenton  has he loves it , so will give it a try.",,View Entry,"Jun 29, Thu",0
Crazy Brit,https://www.trailjournals.com//journal/entry/571254,"Hi there my last entry said that I had ordered a sleeping bag ,well it came in Yesterday picked it up from Trailwalkers Outfitters Gear here in Bradenton Florida, its a big Agnes  Skeeter bag and its Awesome going in to day to pick up a Liner will help with Trail smells can wash also as a summer sleep system, my tent will be a Nemo  Hornet , love the idea of having side doors and its only 2 lbs got most of my clothing just need a puffy jacket and I am all set in that area, 
As stated in first entry had big toe problems but seems to be getting better with the Acupuncture ,they have No Choice.
Live on the edge any one can live on the flat areas","
",View Entry,"Jul 08, Sat",110
Crazy Brit,https://www.trailjournals.com//journal/entry/582924,"Got to get back to entering my Journals,these following will be about a trip to Pennsylvania, Two trips out to Myakka State Park in Florida a trip out to Little Manatee State Park and a trip up to Torreya State Park, all part of my preparation for starting my Thru Hike on 10th March 2018.Things are going really good just a few modifications to my overall set up, had to change my tent from the Nemo Hornet 2 person for the Big Agnes Fly Creek 2 person HV, this was because of three leaks on the ridge line also the angle of the side doors the rain came in , great tent but not for me at the moment especially with all the rain on the AT, Fly creek has a stepper entry and a bit of a beak to stop ingress of rain , also a larger vestibule, which should come in handy , mind i did like 2 side doors , time will tell if I made the right choice.My cooker set up is a Jet boil this failed on mr , and the Guys at Trailwalkers gear my local out fitters and Go to guys immediately got to work and a brand new 2018 model was dispatched to me ,they said this was their first failure. !!!Janice my Wife has got me a nice present for Birthday and Christmas a Montbell Mirage Down Puffy Jacket , this one of the best out there and its price reflects that , so light and SO So warm going to love wearing this at camp, thanks to ""Uncle D "" for his advice.Will do a complete list later just in the fine tuning stages.Hope you like the following journals they are a bit long but I do tend to ramble on a bit",,View Entry,"Feb 13, Tue",0
Crazy Brit,https://www.trailjournals.com//journal/entry/582930,,,View Entry,"Feb 13, Tue",0
Crazy Brit,https://www.trailjournals.com//journal/entry/582954,"Hi Guys more news on Testing my Thru Hiking GearI took a two day hike out to our local State Park , Myakka is a great place to train, only problem is its flat , and i mean Flat ,no Elevation what so ever, we are headed out to Bee Island ,this hike was set up by Trailwalkers Gear Outfitters my Go to guys on my quest to become a Thru AT hiker, they have been so good to me ,some times I haven't listened and it has cost me either in time or money ,I am lacking in both the former.We all met up for a good breakfast bit of a tradition I am told , we then drove the short distance to the Park, got all sorted out with the Ranger and headed to the Parking area foe Bee Island ,this done Packs on and its only a short hike out to our allotted campsite, not far but I am testing my gear I carried my full AT pack over the top for this hike but perfect for testing.We all got to Bee Island camp 1 and set up our Tents and one Guy had a Hammock, this should be interesting, It started to rain "" Perfect "" about five of us then decided to do a day hike out into the park ,so donning my Waterproofs off i went the rain really came down but i stayed dry except of course for my feet, had a good hike and back to camp to check on my tent ,I was a bit disappointed as the angle of the side doors let in some rain ,in a down pour this would be real bad, I have a"" Nemo Hornet 2 person"".We had a great campfire all the Logs were brought out by Andrew from Trailwalkers the previous day, Great company and a great dinner, Got to Test out my new sleeping bag liner this is going to be so nice on the trail, can use it as a liner in the winter then as a sleeping bag in the warmer summer months, we had no trouble with the Ferrel Hogs in the night, But those Damn Coyotes were going crazy they were out hunting, had a good sleep in my liner and Big Agnes sleeping bag, nice and cosy, good Breakfast Mountain House Biscuits and gravy my favorite, hiked a bit more it was a good shakedown  for all my gear and me, my feet are doing real good ,cooking was good , sleeping was good ,my pack a Granite Gear 2 is really comfortable to wear, only thing suspect is the Nemo Tent may be a bad decision, should have listened to Jimmy at Trailwalkers. I really need these shake downs to test me and my gear , thanks for reading Crazy Brit",,View Entry,"Feb 14, Wed",0
Crazy Brit,https://www.trailjournals.com//journal/entry/582970,"Crazy Brit here checking in ,I did write a piece sometime back on our shakedown hike up in Pennsylvania. But I hit the wrong button It got deleated so I'm trying again
We left Bradenton on the 8-18 -2017  we're heading toward Pennsylvania and Eckville  shelter that's 1200 miles so we are going to make one stop overnight, and I got two great guys going with me Dave ,aka “ Penguin Man” and Don who is yet to get a ,proper trail name
Dave drove all the way it was a great trip not to much traffic ,and great conversation , when they could get a word in,we arrived at the shelter about three in the afternoon , nice camp site, set up our tents and drove into town to get a good meal and pick up a few items.
When we were all set up Dave drove his car to a friends house where it would stay untill we were finished and need to get home, our aim was to hike from Eckville shelter to Delaware Water Gap, Made my first coffee on the trail, that done in to bed.
We had a very good night sleep and woke to a really heavy dew this campsite is down in a small little valley so we get pretty damp anyway we dried our tents and had a  good breakfast and then got all packed up and ready, let's do this,this is our start of the trail.of course it was uphill to the start of the trail then there it was the famous white blaze a bit faded but nevertheless my first white blaze. It was a nice walk through some woods ,though pretty easy so far where are all these rocks.
Then it started uphill small rocks then these got bigger and bigger ,we had lunch at a place called “Dan's Pulpit”. Great views, but on we go more more rocks I was sure that the ridge runners have piled them up right in our way, every Rockfield had a pretty white blaze going right into the center of it. 
We made it to the Allentown shelter. We were not pushing the miles as Dave was getting through a bout of test Testecular cancer, and it was at Eckville Shelter that he had to come off the trail and get treatment for this this was in 2013, so this is a pilgrimage for him to get back where he finished and to see if the chemo has messed him up.
He is doing great just the big climbs get to him, and he has to stop and rest hey “Hike your own hike” , we are here to support him there but for the grace of God go I.
Allentown Shelter is a great place, met some great people one was Scott a Sobo he was on his way and going to finish at Springer Mountain where he has a house, real cool guy then as we were sat around the fire in Walked a young guy didn't get his name, just had his dinner, very quiet guy he just set up is bivi ,that was  it ,he had just done a 30 mile trek over this terrain awesome.
I had a restless night, had breakfast ,coffee ,oatmeal then packed up our tents, our young Sobo was long gone, Scott had told us that the water supply was just down the mountain, and the first spring was dry but there was another just a bit further down on the yellow blaze trail,this was OK. He also said there was a blue blaze out to the trail just below the shelter.
“WRONG” we must've heard him wrong as we cannot find the blue blaze, and after bushwhacking we decided to head back to the shelter, Dave by this time was in trouble so we decided to rest up there, there was no pressure to do miles as we were out testing no good trying to kill Dave that bloody Chemo really Sucks.
We set up our tents and had a nap, hey there is no agenda let's collect some firewood and stay here tonight we are learning stuff all the time, and you “don't leave your wing man”, this night I slept really well and we broke camp at 8 o'clock nice easy hike out to a service road there we find our first signs of trail angels ,there were 10, 1 gallon jugs of water left by the trail angel, his name was “Dapper “ and he had done a NOBO hike in 2017 thanks ”Dapper” .
We topped up our water bottles and headed out, we came out of the forest at US 309 right along side the Blue Mountain Inn, and we were invited in for lunch and a couple of beers, pretty cool, after lunch it was onto Tripoli campsite it was a hard climb down to the campsite really steep Dave is going to find it tough tomorrow morning coming out, a really cool campsite, a hunter has set up an A-frame shelter , we set up our tents  had dinner I had a mountain house chicken breast and mashed potatoes it actually tasted like chicken I also had a double hot chocolate got into bed at 6:50 hard day tomorrow “Crazy Brit “”out” good night.
10-21-17,  hiking out looked tough we were looking straight up and Dave had gone on, so myself and Don decided to push and do it  nonstop, which we did it was awesome ,we met Dave at the top he was fine just sat there and resting. On over rocks boulder field's, and we came out at the legendary Knife Edge ,wow this is a hard climb up but on top the view was stunning the White blazes went right down the center of the Knife  Edge really amazing, there were big drops on either side, the view was absolutely amazing ,we had a snack and met some hikers going north and a couple going south.
On we went ,rocks, rocks, “oh did I tell you rocks” from the top of one  of the huge pile of rocks and boulders, I looked  into the forest, and there was a perfectly nice trail, the only difference was no white Blaze, So up-and-down every rock or boulder pile we saw had white blaze’s going over them  “ Sadists “.
Eventually we came out to the Oven Knob car park, this is where we stopped for lunch it was at this time that Dave decided that his hiking days in the mountains was over, chemo had taken it's toll on Dave's body ,and for now he was done, I have never seen a person so beat down it was really sad, at least he was man enough to admit defeat ,tough as this was.
Dave called his friends and they said they would bring his car over, after checking that all was good, he told us to go so with heavy hearts Don and I left him and walked into the forest up the trail, we were heading to Asheville Tower Road, so Dave would meet up with us.
We had a great hike there was some really tough places ,we even have time to check out Oak Oven Knob this is a lump of rock sticking out through the forest, there we saw the Audubon Society doing a raptor count the raptors were on a migratory course, 
there were lots of sightseers at this point it's not far for them to walk in from the car park and enjoy the view.
We had to check out the shelter at Bake Oven Nob this  shelter is one of the oldest on the Appalachian Trail, there were two guys there setting up for the night it looked really cozy we had a little chat, good times, I went into the shelter to check out the visitors book, and on the opposing page were I was to  sign there was a note from Graybeard the 82 year old guy who would be setting the record for the oldest person to Thru Hike the Appalachian Trail in one Year.
Of course I should have taken a photo of his message and his logo right opposite mine, then it was on again rocks, rocks, rocks ,these freaking rocks must've been piled up here to piss off Thru  Hikers, we popped out of the forest by some powerlines, and there right down in the valley Far below was a guy with a blueshirt on , its Dave , we scramble down to the parking lot he was so pleased that both Don and I  had made it over this rough part of the trail, he felt good that both Don and Myself were pleased were our performances.
We loaded Into Dave's car and he gave us a tour of his old stomping grounds of Palmerton I forgot to tell you that David grew up not far from here.,We drove to Palmerton to look around and have a big dinner, We have to search around for a place to buy a beer and I picked up a six pack for us to have sat around our camp fire tonight.
Dave then drove us back to Lehigh Bridg, ande we hiked  up to just under Outerbridge  Shelter,so on the way up we could look across at the Lehigh Gap where we will be hiking tomorrow, I went on ahead and there was a party going on at the Outerbridge Shelter ,so we found a great campsite off of the trail, this small campsite was perfect, and it has a small little fire pit so we set up camp, collected our firewood, this would be perfect for our last night on the AT trail we lit our fire and sat around having dinner and a couple of beers, we toasted each other and the AT it was a perfect end to a great shakedown hike lots of elevation ,rocks ,rocks,rocks even around the rocks I was pleased with myself now it was time for bed.
We woke to a great day, packed up and hiked down to the car, packed in our bags and headed across the river to Palmerton for a big breakfast “Yum Yum” Bacon ,Eggs ,Hashbrowns, Toast and two big Pancakes lots of coffee I've got to get my” Hiker hunger ready”.
After breakfast we then drove down to the Lehigh bridge and parked in the car park ,we looked up at Lehigh gap and started up, nice and gentle then steeper and steeper and steeper ,once we got above the tree line it started to get hand over hand ,and to think I have no pack on good job I had my hiking poles ,we got to the top the view was spectacular you could see for miles and miles all up and then the Lehigh Valley. I'm going to remember this view for a long long time. Back to the car all packed up ready for our trip back to the flatlands of Florida.
For me it was a great hike to see what I could do, and test all my gear I only need to make a few tweaks here and there I am so pleased. It was a great pleasure to spend time with really cool people, Don and Dave were great hiking companions. I feel really bad for Dave his dream of finishing the ATA has had a major setback, we can only hope it's for a short time. Don is going ahead with his plans he aims to start his thru hike along with myself on March 10th.
 Thanks for reading hope you didn't get too bored there's even more to come.
Crazy Brit",,View Entry,"Feb 14, Wed",0
Crazy Brit,https://www.trailjournals.com//journal/entry/582991,"Hi There ""  Crazy Brit  Here ""  Well going to take another overnight camp out in Myakka State Park , I again chose to camp at Bee Island nice and easy hike in and a nice campsite, its only a 3 mile hike in to camp ,but you have to carry your own firewood , not so good ,last time Andrew from Trailwalkers brought out the fire wood in a cart , no easy feat in itself, this time I would have to carry my own , I went to the store and picked up 2 bundles of firewood , oh dear to heavy ,so i picked up 2 logs with a swedish stye hole system that you light the small fuel pad and  ""Whoosh"" you have an instant fire Great !!!!I set up my tent got all my gear prepped and ready , o/k what do i do now ,I know lets go for a hike  "" how novel ""
This park is so cool hiked over to the power lines and walked up the trail ,saw some Hogs running around, great hiking weather a bit chilly with a threat of raining it was pretty windy ,perfect for a shakedown hike, got back to the campsite and set about getting my dinner, had a recipe from John at Trailwalkers . got it all going perfect , Rice ,Chicken ,peppers, Garlic , some dried onions and boiling water ,meal for Royalty, have a cup of coffee, and settle down in my Dyneema chair that I have made , the Moon is coming up peace and quiet ,so time for a little Jack Daniels and Coke , All is well with the World.
All is well until I hear some movement in the undergrowth ,What the Hell is that ???????  "" Grunt Grunt ,Snort Snort"" what the hell ,a rather large Sow Hog starts coming into my campsite and starts to rummage around all my trash is up high as is my food, she is now about 50 ft away from me I shine my headlight on her she is completely oblivious to me, she just kept on rooting around , then more of her friends came to join the party, at this time I must admit I felt a little bit anxious, wonder if they knew I had had a lot of Bacon the weekend, I think I will have another Jack and Coke, it was kind of interesting I have hiked in the Park for years allways looking for the Wild Hogs, well boy now you have a whole mess of them.
Its getting later and later ,the hogs are staying away from me and the fire, so I decide, hell time for bed, all went well until a hog started sniffing around the tent , I have a Nemo Hornet and the head part has a single layer of material between me and this big fat hog , I am a little uneasy to tell you the truth, still What could Happen ????? after a while I drifted of to sleep ,Thanks Jack Daniels, the hogs left, all was very Quiet , ""Wrong "" this was the time that the Coyote's come out to play and hunt for their suppers , Man they were going Crazy, louder and louder , closer and closer,I heard them sniffing around the camp site, OH my God I am about to be eaten by a pack of Coyote's, they went past the campsite, I heaved a sigh and went to sleep.
After this episode, I dropped of to sleep , awoke to a really bright day , thanks Jack, made up my breakfast ,washed down with two cups of coffee, had a short hike around some of their great trails ,then headed back to my car , another great shakedown trip , learning all the time ,I think that I have my cooking down , also my setting up of my tent ,getting things organized, packing up in the morning is my weak point at the moment.
Learning all the time getting all the little kinks out, I feel pretty good about my up coming trip, confident, 'Yes I think So ,I CAN do this""
Thanks for reading, more to come.
Crazy Brit",,View Entry,"Feb 15, Thu",0
Crazy Brit,https://www.trailjournals.com//journal/entry/583275,"Hi there Crazy Brit Here
 Another shake then trip this time we're going to Little Manatee State Park this is an awesome place,
I got to the ranger station in the Manatee State Park only to find that the primitive campsite was booked by a large group,” Damn” should've phoned first I suppose, what should I do next 
I'll call my friends in Trail walkers Gear Outfitters to see if there are any hiking trails or camping around this area.
They tell me that there’s camping at the Alifia State Park ,well drove up there and I got to the ranger station only to find that their primitive camping is for Boy Scouts only ,think I'm too old to pass as  a Boy Scout, well I've come this far so may as well stay they offer me a car camping site this is all new so yes I think I will do it.
I get directed to my allotted site it's a nice place just seems a bit strange setting up with all these large RVs around me, my tent looks kind of out of place set on this well manacured piece of grass, tho it is perfect for Hiking,and is cosy for one person.
  
I set up my tent and go for a hike around the trials this is a great place for hiking and it's a Mountain bike Paradise, its  one of the best in the country I am told, had a great hike around the trials and came back and got out my cooking gear.
My neighbors in an RV came over to check out my my set up, they were very interested ,I told him what it was going to do and they just walk away, one guy was pondering “Why”, others just shaking their heads, got a crazy one here, all went well had my dinner a couple of beers , setteled down  for a good nights sleep, what a joke !!!!!!!!!!!
The peace and quiet didn't last long, I was woken up by what sounded  like fireworks a hell of a lot of noise, I got up I'm dressed hell might as well watch the show, a couple of the other campers were trying to see the fireworks show, but no lights or aerial fireworks this noise kept on going for what seemed hours.
When this noise went down everything was nice and quiet until I started hearing the trucks, they start from a stoplight, they erv up and go through the gears there's a long straight  for about three miles ,and you can hear them for a long long long way.
At this campsite I never heard or so any hogs ,I did hear some coyotes yapping but they didn't last long, I find out this morning that just across the highway was the Hillsborough tactical firearms facility, and the swat teams were out practicing ,they sure used  lots of lots of flash bangs and A.R. 15rounds taxpayers money at work big sign “Bad guys keep away.”
Bit of a fitful sleep, 
I asked my neighbor in the RV did he hear the trucks driving down the highway he said his RV is soundproof so he never heard nothing, but strange he did hear the fireworks.
This was another great shake down , the only thing wrong was on this one, I found three leaks in my Nemo hornet tent, down the centerline ,one drip right on my head, and this has made up my mind I will change it for a big Agnes fly Creek 2 person HV I suppose this is what shake downs are for after all, testing ,testing, testing.
Thanks for reading “ Crazy Brit “  out.",,View Entry,"Feb 24, Sat",0
Crazy Brit,https://www.trailjournals.com//journal/entry/583386,"Hi there this is crazy Brit again,
 This may be my last shake down hike before heading up to Dave's house in Nantahala North Carolina, Dave's coming with me on the trail his , trail name is “ D square “he has a house just up the gorge from the Nantahalla outdoor center ,I will leave Bradenton on March 6 to start March 10 its coming up real fast .
I'm headed to Little Manatee State Park ,this time I called  ahead and got a booking its a great hiking park, trail is about 7 1/2 miles in a loop I am camping in the primitive campsite it's about halfway thru
It's a nice hike through the woods, I was only carrying about a liter of water as I wanted to test out my filtering system ,well I crossed the river Shall I stop or no ,thinking that the campsite was pretty close I thought why carry the extra weight” Wrong Decision,” it turned out that the campsite was one and a half miles further along “Lesson Learn’t “ when you need water fill at your first location.
The campsite was great I set up my tent ,I’m really liking this Fly Creek I tried the fast Pitch method , where you erect the grounsheet and the rain fly, then get inside and put up the inner tent ,you need to do this in the rain to keep inner tent dry ,and it worked out great, I had to walk an extra 3 miles there and back to collect my water and filter it ,as I said before” Lesson learned”.
I collected my firewood there was an ample supply after Hurricane Irma which closed the park for two months, trees down all over the place, my camp was already, all there was to do is to cook my dinner, poor Jack Daniels and Coke and relax
Had a great fire really good dinner and apres dinner drinks ,time for bed ,going into my really great sleep system I'm nodding of “ Yeah to be woken up by a couple of hogs” no problem tho, then at 1 AM on the dot the coyotes started yapping.
These coyote’s started calling from different sides of the campsite ,then all of a sudden all hell broke loose ,the damn things must've cornered their prey and dinner was served, I found out the next day from a volunteer, that the hogs were having their young, I'm thinking Bacon must've been on the coyote’s minds.
After that episode I slept really good ,had a good breakfast packed up and headed back to the ranger station to book out a great shakedown,  still pleased with my tent ,all my gear, my liner and sleeping bag are great my tent is working out really good ,my pack feels really comfortable,  my Jet Boil cooking system is working out nice ,it boils water in 90 secs , in fact I am really pleased with all aspects of my gear ,and think ????? i am ready to go Hiking.
My thanks to my Friends at Trailwalker Gear Outfitters , Jimmy , John and Judy also Andrew who is about to go Backpacking to India, all my friends for their continued support in this adventure, I know I am living some of their dreams,
And last but not least my extended family and friends both here and in the UK, and really last but never least my Wife Janice, who thought it a joke at first ,but as I began buying my gear, thought  “Hell I had better start writing out his Honey Do List before he leaves for NC on the 6th of March “ ,  might add she is pretty good at writing lists.
Thanks for reading ,hope your not to bored, my next report should be from NC and my final days prepping ready for the big day “ MARCH  10th”",,View Entry,"Feb 27, Tue",0
