Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Dub V,https://www.trailjournals.com//journal/entry/583027,"So here for the first time publicly, I announce my intention to thru-hike the Appalachian Trail beginning April 1st from Harper's Ferry.  Please take time to read the ""About my Hike"" tab, and my bio for further information on my route and my reasons for hiking.
For the past month I've been gathering gear and doing research.  I am pretty much a virgin to backpacking since my boy scout days forty years ago.   I have purchased an Ospry-Atmos 65 backpack, a Big Agnes-Fly Creek UL2 MountainGlo tent, and a Nemo-Riff 15 degree spoon shaped, down sleeping bag with gills for a little ventilation if needed.  The sleeping bag was my biggest equipment expense.  Specialized hiking clothing expenses have required my doctor to up my blood pressure medication.  As they say on the trail, ""Cotton kills,"" and that's all I had. 
I plan on writing a book about my journey (even though I can't diagram a sentence).  So far I have two chapters written.  Tentatively, the title is, ""The Green Tunnel - A Journey of Peace and Freedom along the Appalachian Trail.""  Let's hope the Peace and Freedom part holds true.  Otherwise, I may have to change the title to ""The Dark Tunnel of Doom - One Man's Journey through Hell."" 
For training, I am working on working on walking 100 miles about five to ten miles at a time before my departure.  I also want to go on at least two overnighters, weather permitting to dial in my pack and weight.  That's about it.
I am carrying two epi-pens with me because I have a life threatening anaphylactic history with stinging insects.  ""Epinephrine"" probably should be my trail name, but I came up with a better one while registering for this journal (see Trail Name Story tab).  I certainly do not want some joker on the trail tagging me with a dumb name like Trailbreath or Skidmark, so I went ahead and picked my own name. 
Please sign my guestbook before you go, and if you don't mind, please say a little prayer for safe travels and fun times on the trail.   Thanks a million!
---Only those who risk going too far can possibly find out how far one can go---  T.S. Eliot",, ,"Feb 17, Sat",0
Dub V,https://www.trailjournals.com//journal/entry/583047,"I may be reconsidering my plans to flip-flop.  People on Facebook are strongly advising against starting SOBO from Harper’s Ferry because when I meet the NOBO bubble it will seem more crowded than if I hike with the flow.  I’m told that at times I’ll pass people going North every 15 minutes or so from mid Virginia to Georgia, which to me would stink to high heaven.
I will be meeting with somebody this week who did a NOBO thru-hike last year, so I’ll be able to get an accurate gauge on what to expect starting from Springer should I decide to do a full NOBO.
People are saying that if I stick with a Flip Flop hike, that it would be better to start NOBO in late April from Harpers Ferry instead.  That way I’d avoid the Virginia heat in summer and be able to enjoy the fall colors in the Shenandoahas on the flip, and there would be no worries about reaching Katahdin before it closes.  
The drawback to that, is that I wanted to summit Katahdin at the end of my hike in order to experience the emotions and camaraderie associated with finishing up the traditional way.  And it would also mean a later start to avoid the mud season in Vermont.  I’m already itching to start and waiting another three weeks may require anxiety meds or ending my lifelong cannibis abstinence.
If I start in Georgia, I’m going to experience overcrowding and probably have to put up with the party crowd for a while, which is definitely not my style.  Plus, there’s a chance of contracting Norovirus as has apparently been epidemic at the start for several seasons.
Decisions, decisions.",, ,"Feb 18, Sun",0
Dub V,https://www.trailjournals.com//journal/entry/583078,"Yesterday I hiked 13 miles on the Allegheny Highlands Rail Trail with no pack.  It was about 37 degrees.  Started in Elkins, WV and went to the Kerens, WV trailhead and back.  Beautiful sunny day after 2 weeks of dreariness and rain.  
I did the hike in 4 hours 45 minutes which would make my speed 2.73 miles per hour.  I took a couple of 5 minute breaks.  I was definitely spent at the end, but it was a good jaunt.  I ran into an old friend walking his dog, which was really nice, but it made me feel ancient chatting about old times.  Plus he's in better shape than me.
I took my new Black Diamond- Ergo-cork grip Trekking poles.  I absolutely love them.  I can see where the ergonomically slanted handles make kicking-out the poles a much more natural motion.  I adjusted the height up a couple times to force me to improve my walking posture.  No knee pain whatsoever.  I'd recommend watching Bigfoot's video on how to use trekking poles.  It was very helpful.  I took along rubber tips to slip on over the carbide tips during the asphalt portion of the trail and they worked like a charm, a lot less vibration.  I'll consider taking them on the AT to keep in my side pant pocket for the rare times they might be beneficial (they weigh next to nothing and take little space).
I layered with a base layer, a fleece, and a puffy.  The puffy came off within a mile due to the heat and sweat.  Luckily it packed down enough to stow in my hip-pack pocket.  My Kuhl-Renegagde convertible hiking pants were great.  I love them.  They are slightly heavier than the Columbia pants, but seem to be some derned tough britches.  Plus, they are formed to angle at the knees which means less rubbing. The side pocket has an easily accesable inner pocket that is perfect for my phone.  I also wore compression socks with Darn Tough hiker crews over top, and leggings.  I think that helped my calves a lot and I'm sure aided in recovery as I am sore this morning, but not as sore as I thought I'd be.  
Footwear - Talus-Trek waterproof hiking boots. They are rated for day hiking, but I think they will be fine for the AT to start with.  I was pleased with the Superfeet liners I put into the boots.  I could feel a big difference as the gave my arches and heels lots more support.  They felt a little odd at first but didn't take long to form up to my feet.
Overall, It was a good little trek.  It is the farthest I've walked in about 5 years.  It does make me realize that I have a lot more shape to get into before April 1st, but thats what I expected.
It is hard to believe my Brothers-n-Law and I walked 25 miles on that rail-trail a few years ago, some of it through fallen trees and brush after the infamous northeast Durecho weather event of 2012.  
I'm so anxious about hiking the AT, I wish I could leave for the trail tomorrow.","Elkins, WV
",Allegheny Highlands Rail-Trail,"Feb 19, Mon",13
Dub V,https://www.trailjournals.com//journal/entry/583145,"I saw my physician today for a pre-hike appointment to discuss some issues that might be of concern on the trail.  My doc is new to me since I changed health systems last year.  My main concerns medically are as follows:
1.  I have a life-threatening anaphylactic history with stinging insects.  My doctor gave me a new prescription for two fresh epi-pens and a prednisone dose pack for emergencies. I'm also going to take some Benadryl with me.
2.  I have very bad seasonal allergies.  My doctor says that I should continue to take Allegra daily, and on the really bad days I can take Allegra D as well. I may however, take Sudeferine supplementally instead of Allegra D as recommended by another doc who hiked the AT.  I am almost certain I will need another prednisone dose pack at some point for seasonal allergies.  I usually require a corto-steriod dose pack once or twice a year anyway (without being in the woods).  So, I do have a real fear that allergies could cut my hike short.  
3.  I take Norvasc for my blood-pressure, and I wanted to make sure it is OK to take Advil for inflammation on the trail (I was told by a pharmacists that I should discontinue use of similar Alieve while taking Norvasc).  My Doctor says it is OK to take Advil and that I might go ahead and take one every day on the trail to help with inflammation.
4.  I did not discuss my occasional ""fluttery feeling"" valve issue.  I just don't want to hassle with a cardiologist, tests, and all that at this point.  I had angioplasty a couple years ago and that seemed like much ado for nothing and a lot of expense.  My brother had a valve replacement last year, so yes, it may be the beginnings of something.  But since I feel pretty good, I'm not worried about it.  An unwise decision?  Perhaps, but I'm not getting any younger and I'm betting that the very act of hiking as great exercise, and the inevitable weight loss, will cause my heart to function better.  Had I not had the angioplasty done already with good results, I would have mentioned it to my doctor.  Its not like I'm a rambling wreck. I whole-heartedly do not recommend anyone else take the same risk even as slight as I feel it may be for me.  That's called a disclaimer.      
Beyond that, I should be good to go.  My bum knee and hip has been holding up well on my many training walks and through my first pre-hike, so I'm pretty confident I'll be able to manage that, but fully expect to have to take some zero days from time to time.  I might even take some Osteo-biflex as a supplement for better knee function.",,View Entry,"Feb 21, Wed",0
Dub V,https://www.trailjournals.com//journal/entry/583234,"Last night I slept in my tent for the first time, urban camping in my back yard.  It was uncomfortable and I didn't sleep well at all but I'm sure I'll get more adjusted on the trail.
This morning until afternoon I worked on trying to cut my pack base weight.  Base weight is without food, water, and fuel.  I'm down to 33 lbs but still have a long way to get to the 25 lb recomended vicinity.  I'm going to have to cut clothes to a bare minimum, do away with some things in my first aid kit, and maybe ditch the sleeping bag liner and my fleece jacket.  I might even have to ditch the Jetboil stove setup for something lighter as a last resort.  Ounces make pounds.  
Preparing to live minimally is taking a lot more time, thought, and effort than I originally thought it would.     
This evening my wife and I had dinner with new acquaintances met on an AT facebook page.  They are a couple our age who thru-hiked the entire AT together last year.  Doc and Tinkles are two of the most genuine people I've met. We had a great time and were thoroughly entertained and mesmerized by their awesome trail stories.  I also got some very valuable feedback on logistics, and some good lodging information.  I can see how thru-hiking the AT is a life changer and a character builder.  I feel very fortunate to have crossed paths with these two.  I also came to find out that Doc works with my my daughter at a local clinic... How cool is that!  An AT serendipity before I've even touched the trail.  
I'm now leaning on starting out in Georgia instead of Harpers Ferry, possibly starting out with Doc and his bro as they do a section hike together in April... If I can wait that long.",,View Entry,"Feb 22, Thu",0
Dub V,https://www.trailjournals.com//journal/entry/583296,"I've decided definitively, to change my thru hike from Flip-Flop to NOBO.  I have the opportunity to start with both a seasoned AT thru-hiking veteran and someone who is probably as green as me, as they do the Georgia section.  It is an opportunity too tempting to pass up.  Plus there's a physician on board.  
So at the first part of April, I'm headed to Springer and very enthused about it.  The man upstairs seems to be looking out for me already.  
Pre-Hike in Dolly Sods wilderness in about a couple weeks.",,View Entry,"Feb 24, Sat",0
Dub V,https://www.trailjournals.com//journal/entry/583441,"I walked 10 miles through town yesterday in 3-1/2 hours, no breaks, with hiking boots.  My feet got a little blistery on the bottoms.  I may have to consider trail-runners.
I reduced my pack base-weight down to 28.5 lbs by removing a bite kit, reducing the first aid kit to bare minimum, removing some clothing articles and my sleeping bag liner, and combining some containers.  My Jetboil stove setup is a bit heavy but I'm too stubborn to replace it with a lighter setup since I already spent money on it. I hope the convenience and efficiency of the Jetboil will be worth it.  
Also, my ""pharmacy"" is problematic because I require so many darned allergy medications.  The Awol guide is quite heavy too, so I may or may not tear it into sections and have them mailed to me as needed.  It just seems wasteful to have periodic mail drops sent for just a few pages.  I would like to minimize mail drops as much as possible for the freedom from not having to schedule specific town visits.  It would be nice to eliminate mail drops all together.  Anyway, I still have some work to do on pack base-weight (base-weight is pack weight without water, food, and fuel).  As mentioned before, I want my total loaded pack weight not to exceed 35 lbs.
I told my oldest brother about going on the Appalachian Trail, but I only told him that I was doing the Georgia section starting out with friends.  I didn't mention that I was attempting the whole thing in order avoid the ""Are you nuts!?"" comments that brothers ""lovingly"" dish out because, well, they're brothers and thats what older brothers do when they're looking out for you.  Nonetheless, he has always entertained the notion of hiking the AT (he hitchhiked across the country in the 1970's when that was all the rage) and it might be cool if he could drop me off at the trailhead in Georgia as he returns to Florida from a visit next week (I haven't mentioned that to him yet).  Doing so would again alter my plans and move up my start date considerably, which I would like.  My Dad is in a nursing facility and I fear he may be due for a decline in the next few months.  The sooner I can leave and get back home, even if by only a couple weeks, the more at ease I will feel.  But it would mean starting alone, which I don't really mind.  
I always said that if I hiked the Appalachian trail, it would be after my Dad passes. However, everyone including the doctors thought he would be gone five years ago. He is afflicted with Parkinson's Disease and Alzheimer's, and can no longer walk.  He used to be an avid walker.  In fact, he gave up a car in mid-life because he didn't feel the need for one when everything he needed was in walking distance from home (that was the accountant in him).I feel my window of opportunity for hiking the AT is closing quickly, so If I can channel some my old man's toughness and perseverance, perhaps, I'll be able to touch the sign on Katadhin it while he is still alive.  He will be 89 in a few days.     
Something to ponder.",,View Entry,"Feb 28, Wed",0
Dub V,https://www.trailjournals.com//journal/entry/583694,"Well, It looks like my brother will be dropping me off at Amicalola Falls this Friday, March 9th.  I will be staring the approach trail, under the arch on Saturday.  Will stay at the Lodge on Friday night. It means a lot to me to have my brother with me to see me off since the hike is dedicated to our Dad who, as Stated before, was a lifelong avid walker and is now afflicted with Parkinson's and cannot walk.
I thought that since I'm hiking anyway, that I might as well try to raise some money for Parkinson's Research.  I've begun a fundraising page through the Micheal J. Fox Foundation for Parkinson's Research.  I'm gong to try to get my other brother to help on the social media end because he's a Facebook Whiz.
Cancelled my Pre-hike at Dolly Sods to prepare for the adventure to come.  Only three days to go!",,View Entry,"Mar 06, Tue",0
Dub V,https://www.trailjournals.com//journal/entry/583759,"I posted the obligatory photo of my gear on an AT Facebook group page today and got totally labmbasted about carrying too much stuff.  In fact, someone tagged me with the trail name ""U-Haul."" That's OK because it did help me to cut down on the weight again.  My base weight is now about 25 pounds, and full pack is 36 pounds.  I am so relieved about this.  Being almost an Eagle Scout as a youngster, our motto was ""Be Prepared,"" so naturally I tried to prepare for everything.  I am the type who likes every cubby hole filled with something useful and a plan for every contingency.  That's not necessarily the best philosophy on the AT.  In the case of long-distance hiking, it appears to be a more spiritual philosophy, trusting that the trail provides.  Most of the AT has civilization within a reasonable distance.  I'm told that the trail community becomes a family and that help in a pinch is usually nearby.
I'm rethinking hiking for a cause.  I don't think I'll do it now because it is just one more thing to worry about.  I'd love to raise money for Parkinson's research to honor my Dad, but I don't have the outside support to make it happen without stressing.  First and foremost, I want to enjoy my hike, live in the moment, experience nature, and commune on a personal level with the man upstairs.
So, as luck would have it my wife has the day off tomorrow, so we'll be able to spend our last day together for conceivably the next 6 months.",,View Entry,"Mar 07, Wed",0
Dub V,https://www.trailjournals.com//journal/entry/583809,"My last full day at home for hopefully quite a while.  It was also my father's 89th birthday. Parkinson's and Alzheimers have taken its toll on him but he has a great attitude.  If I can channel half of that sense of contentment on the trail I'll be in good shape.  Dad always said happiness is a choice.  ""You can be happy or sad, I choose to be happy.""  I think he got that quote from Nat King Cole a long time ago and it stuck with him.
It was awesome to spend yesterday with my wife, my brothers and my Dad. I wish I could have seen some other people whom I care deeply about (Renae's family, my kids and Grandkids), but there are only so many hours in the day and in real life people have to work. 
I spent the early part of the day straightening the house, tweaking my pack, and running last minute errands.  I had to put on a knee brace because naturally my knee is starting to act up, but I'm not too worried.  By evening everything fell into place. We celebrated Pop's birthday, had a great meal at Miss Piggies Bar-b-que, and topped it all off by watching the Mountaineers manhandle Baylor in the Big Twelve Tournament.  A great day indeed.
I got up this morning at 6:30 with ""Trail Brain""... And so I leave today, thanks to my brother's willingness to shuttle me to Georgia for a once-in-a-lifetime adventure.  With the blessings and support of my immediate family... it starts now.  I have reservations at the Amicalola Falls Lodge for tonight.  Tomorrow I will hike the Approach Trail 8-1/2 miles to the beginning of the AT atop Springer Mountain, Georgia.  I'll touch the plaque, and who knows, perhaps six months later I'll kiss the sign atop Mt. Katahdin in Northern Maine.   For now it doesn't seem real but I'm sure the rain and the cold, and the hunger, and at times the loneliness  will make it real soon enough.  The Appalachian Trail is at hand... I wonder how far I'll make it.",,View Entry,"Mar 08, Thu",0
