Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Dyno ,https://www.trailjournals.com//journal/entry/584387,"In prepping for backpacking I have read bunches about bears.  While I am no expert, I do now possess, through the magic of the Google, a rudimentary knowledge of the habits of ursus americanus otherwise known as the black bear.  Truthfully, its easy to do. There’s quite a bit of information, debate, and first hand recollections to be gleaned via the internet regarding how to handle a black bear sighting in the eastern woods. (whiteblaze.net is a good site for debate & recollection)   Besides seeing them in zoos, I have encountered several bears while day hiking in the Great Smoky Mountains National Park.  Every single one was the size of a large dog and working really hard to skedaddle away from me as quickly as possible.
Now I am scared a bears.  It is foolish not to be.  A 100 lb. bear is much stronger than me and can do what it wants with me if it takes a mind to.  However the best offense is a good defense.  So, while other hikers would probably think of me as sort of a buttercup, I do carry bear spray with me when I backpack.  I have hiking poles, bear spray, and an air horn.  (You know, it’s the sort of horn that’s meant for small boats, but instead gets honked by crazy Uncle Albert when your name is called at your high school graduation. It’s annoyingly, startlingly loud.  And considering most bears have never been on a boat or attended a graduation ceremony the noise has to be a deterrent.)
Now here’s the rub.  Since I began section backpacking the Appalachian Trail, I have yet to see Yogi or Boo Boo.  The main threats have been poison ivy, lightning, tripping over stuff, a deranged white tail deer, and a troop of wild boars.  That’s right boars.   
Do boars poop in the woods?  I almost did when we saw them today in North Carolina.  Of course I knew enough about these toothy wild swine to be more than wary, but did I know much about them really?  And that’s the part that caused me to panic a little, well  A LOT.  I really had *no idea* what to do when we encountered them.
Imagine this campers, the protagonists Buttercups and Bubba (aka me and my husband Jason) sauntering along, happily discussing that there was only two miles left to the shelter, and dinner, and rest.  Then imagine pulling up short at the sight of small brown butts and ropy tails…and Jason grabbing me  from behind saying, “BEAR!” in a hushed but strained voice.  Nope, nope, nope.  Those are grunts and squeals.  Change the vowel.  “Not bear…BOAR!!” I hissing back.
We stood there a couple of greenhorn flatlanders in the woods carrying really large packs and squeaking at each other with saucer-sized eyes.  What do we do??
Well I’ll tell you what we did.  We backed up slowly and quietly as humanly possible while getting out our bear defenses.  Works for bear hopefully it’ll work for boar right?  Except we had boars plural…five nasty, tusky, temperamental pigs blocking our trail.  
We both had our hiking poles.  I gathered rocks.  Jason armed himself with bear spray and air horn.  And then we waited.

(This entry was actually from 6/17/15)","Long Branch Shelter
",Siler Bald Shelter,"Jun 17, Fri",11.50
Dyno ,https://www.trailjournals.com//journal/entry/567391,"I get seduced by the idea of mileage.  On the AT, it is a a badge of honor to really eat up the miles. It makes sense, the thing is so darn long at 2,189-ish miles, that the more miles you can get done, the better chance you will get the whole thing done. Quick N' Easy and I like to take our time. We're lookers.  If there's interesting stuff, by golly we're going to look at it.  However, I get these ideas.  Ideas that I'm younger, fitter, and more fleet of foot. In the planning stages, I'm all: Duh, of course we're going to do 15 miles per day!
The truth of the matter is stark and simple: we need to acclimate.  Section hiking means always breaking back in to the trail life. We have to build our trail legs while on the job so to speak. For us, at first, that translates into 10 miles (or less) per day and a heck of a lot of ibuprofen.
So, I'm going to keep this brief.  I still need to: vacuum seal our dehydrated foods, arrange our meals by day, pick out the clothing we're bringing, then treat our clothes, packs, and tent with Permethrin, finish calculating our daily mileage, load the backpack and weigh it, and then do a gear shake down.  I love these pre-trip activities, and while I work on the minutiae, I dream of all the big miles we are going to conquer this trip. It's gonna be great.",,Walking through town.,"Jun 04, Sun",3
Dyno ,https://www.trailjournals.com//journal/entry/567572,"I'm done with gear wrangling for the day.  Now it's time take my ease on the couch with Cheeches the chihuahua suctioned up to me.  Boy, can this little guy snore.  I love times like this, simple and comfortable. That's one of the major benefits of hiking the long trail.  Our treks have helped Quick-N-Easy and I to appreciate the small things that make each day, things like snoring chihuahuas. 
In a few days we will be listening to owls and watching the stars come out.  More simple pleasures...how amazing is that?",,The Couch,"Jun 05, Mon",2
Dyno ,https://www.trailjournals.com//journal/entry/567695,"I walked three miles on the oh-so-flat pavement of Pumpkin Capital, IL today: elevation gain  0'0"".  The thought that mountains were only two days away helped soothe my concrete-sore feet.  In anticipation of our departure, I have been working on our itinerary* by consulting ATC (Appalachian Trail Conservancy) maps, ATC Trail Guides, and one of the best, non-electronic resources an AT hiker can possess: The AT Guide updated and published annually by David ""AWOL"" Miller.  (http://theatguide.com/index.ht... ) Ultimately, all this paper weight is too much to take with us, therefore, I feel compelled to type up and print out a 3-4 page guide with mile markers, stream crossings, elevation numbers, shelter sites, points of interest, and so on...  Consequently, that is what's happening tonight. I'm ferociously typing while Quick-N-Easy continues to treat our gear with Permethrin.
Now given today's high falootin' era of technology, you would be correct to point out there are AT distance counter apps that can be downloaded to cellular devices, annnnnnd there are actual GPS devices that can tell us in real time where we are and where we are going while on the AT.   You would also be correct to point out that this technology is better, in most cases, than maps and guidebooks.  However, tech can have massive FAIL moments in the mountains so we go old school and make sure we have a low-tech backup: the intensively researched itinerary.
There is another dreaded F word that necessitates this low T backup plan.  (Wait, no, not the F word that caused Ralphie to get his mouth washed out with soap.) F as in fall.  I fall... alot.  My boots are like heat seeking missiles for all the ankle turning jobbies that can be found on a trail. And one time in Georgia, I'm pretty sure I tripped on air. AIR.  Being that I am almost guaranteed to sprain my ankle while hiking, it is best practice to have my trusty itinerary so new routes can be hurriedly planned and emergency phone numbers can be dialed.

* I know it goes against the bouncy, free hippy spirit of the Appalachian Trail to have a mile by mile schedule of where we'll be, but HYOH!  In other words, hike your own hike, and if planning is what gets you out there, then by all means obsessively over-plan, like me.
Addendum: one of the best downloadable apps that even works when your cell is in airplane mode is Guthook's AT Hiker Guide.  You do have to buy section by section of Guthook's trail reports, but using your cell's location this guide can tell you where you are at and how far you need to go to the next stream, overlook, shelter, and privy.  Absolutely worth the money.  https://itunes.apple.com/us/ap...",,My couch,"Jun 06, Tue",0
Dyno ,https://www.trailjournals.com//journal/entry/567820,"So excited to be finally on our way. We're not going far tonight, just enough to shorten the ride  to Damascus, VA tomorrow.  On an unrelated topic, boy did the animals know something was up as I was packing. (Commence doggie pouting!) As much as I will miss the fur babies, it's great to know they're at home being watched over by Quick-N-Easy's parents.* On that note, have you ever gone on a long trip, and then as your turning into your neighborhood, start to be convinced a fire ate your house?  A huge shout out to the same in-laws who are sitting the house, insuring no fire makes a meal out if it!!*Absolutely could not imagine bringing Cheeches on the AT, he'd growl at everything and probably pee on the other hikers bags. Zeli maybe, on a short trip, but not the chihuahua.  Supposedly, there was a woman in 2015, who hiked the AT with three chihuahuas. I cannot imagine that went well.",,Indianapolis ,"Jun 07, Wed",0
Dyno ,https://www.trailjournals.com//journal/entry/567922,"Starting at 12 a.m. today, we entered the vortex of weird. You see today is June 8th, our 4th wedding anniversary. No pressure! I am so blessed to be married to this man for four years, but I need to tell you about today. Starting at 12:30 a.m., downtown Indianapolis, we were sucked into that vortex, when Quick-N-Easy had to swerve the car to avoid a soft ball sized rock that had been thrown at our windshield from an overpass. Luckily, it only struck the front bumper with a loud thunking noise. Some scratches and gouges and roaring expletives and rapid heart beats later we arrived at our hotel relatively unscathed . Now, we are used to staying in hiker hostels, which can be quite grimy, but the Red Roof Inn was grosser than a standard Appalachian Trail shelter. I won't get into details about the tdirty bed sheets strewn all over, the piles of trash, and the vomit in the sink. Since then, we have traveled to Damascus and checked into a hiker hostel run by Crazy Larry, and had an amazing dinner of surprisingly healthy nachos at Joe's Tacos. It looks like the vortex might be winding down for the evening. Tomorrow starts the hike. Our shuttle picks us up at 7 a.m. and will deposit us back at Watauga Dam, where we got off the trail on April 1st. The goal is to be back in Damascus by this Monday. Happy trails!
Update:http://cbs4indy.com/2017/06/08/state-and-local-agencies-investigates-multiple-reports-of-people-throwing-bricks-and-cars-at-cars/",,"Crazy Larry's Hostel, Damascus VA","Jun 08, Thu",0
Dyno ,https://www.trailjournals.com//journal/entry/568038,"Sore feet! I'm beat. Today was a treat.Man I wish I had a snack to eat! (But all the food is hanging in the bear bag as it is close to hiker midnight*.) 
Amazing weather. In the 60s...55 tonight. Gradual climbs. Wild roses were blooming but we're too early for raspberries. Met a nice fella while we were eating lunch at Vandeventer Shelter, Big Steve from SC. We ended up with hiking about 3 miles with him, he was good company. Had to camel in a lot of water to Iron Mountain where we pitched our tent since the nearest water source was a quarter mile away. Felt like a pioneer lady as I schlepped 10# of water. (Quick-N-Easy carried a ton in also.) 
At this shelter site we were joined by a group of lively through hikers from MA and MI. Consequently, we had a fun group to eat dinner with tonight. One guy from MA told us how a bear stole his food bag and hiking stick near Hot Springs, NC. The bear also got his spoon, which happened to be in his bag, so he whittled himself a pair of chopsticks from a couple of twigs.
*9 PM is hiker midnight, and as a trail courtesy, it's quiet time in camp.","Wilbur Dam Road 
",Iron Mountain Shelter,"Jun 09, Fri",11.50
Dyno ,https://www.trailjournals.com//journal/entry/568120,"I love meeting people on the AT. You meet people from all over the world, different walks of life, ages, etc... Today was no exception. At a roadside crossing we stopped for a snack and met feisty, 20 something Arizonian ""Little Foot who was attempting to hike 42 miles in one day with her friend ""Harambe"" sporting a banana tattoo. Then there was the weekend SOBO hiker ""Gummi Bear"" who was carrying about 5# of these candies with him. Next were day hikers Renee and retired policeman Mark who were out photographing flowers with their golden retriever, Ruby. Once we reached camp we met Dan who is through hiking with an extremely well trained German shepherd, ""Arizona"". As Quick-N-Easy and I sat around our campfire to keep the gnats at bay we met entrepreneur P.O. from WI whose goal is to open a brewery when he finishes the trail. All delightful company, all with different hopes, dreams, and reasons for being out here. You can choose to avoid people on the AT. For me, however, meeting new folks is one of the AT'S many charms, and why I love it out here.","Iron Mountain Shelter
",Double Springs Shelter,"Jun 10, Sat",7.80
Dyno ,https://www.trailjournals.com//journal/entry/568303,"Hiked with our new trail friends, Jim, Dan, and Arizona the dog. They kept us laughing throughout. But, holy Hannah! It was a day for milestones. I have blisters, sore feet, neck, elbow, shoulder, well everything. But worth it what an adventure. It started out by us climbing a lot ...repeatedly gaining and losing elevation for eight miles. That's okay because today was a day of milestones. 
1.First rattlesnake on trail: big fella, just sunning himself in the flowers
2. First encounter with a black bear. Yikes. That's a whole blog post in itself. Another big feller. Did mention, yikes?!!! 
3.First night hike with head gear. Cool, will do again, but prefer day hiking.
4. New personal best record: 18.7 miles in one day. (Old record:17)
5. Crossed TN border into VA
6. Once we got into town, the most Popsicles I've ever consumed in one sitting: 3 (Cherry-pineapple)
Wow wow wow.","Double Springs Shelter 
","Crazy Larry's Hostel, Damascus VA","Jun 11, Sun",18.70
Dyno ,https://www.trailjournals.com//journal/entry/569165,"Got up and had a wonderful breakfast of shrimp and grits and Mojo's Cafe with our new friend PiO from Wisconsin. Eventually, some of our other new Trail friends filtered in and joined our breakfast crowd: Mantis, Just Jim, and Honey Buns. It will probably be the last time we see this group because they hike faster than us. That is a blessing and the curse of being a section hiker, you hike slower than the thru-hikers; so if you find someone you'd like to keep up with you can't, but then you get to meet a lot more new thru-hikers, but that's fun too. Visited the post office to send ourselves a resupply box to Rural Retreat, Virginia. It was blazing hot in town compared to the mountains.Took a nap and then had dinner with the guys at Bobo McFarland's. (The only restaurant in town that was open on a Monday.) Quick-N-Easy and I split a kitchen sink style pizza and the friendly waitress as many samples of beer! Yay! Back at the hostel I had no will to start packing for tomorrow's Adventure so we'll be bunking it and getting up early.","Crazy Larry's 
","In town! At best, the post office.","Jun 12, Mon",0
