Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Earl Grey,https://www.trailjournals.com//journal/entry/582777,"In 2011 I was able to fulfill one of my lifelong dreams of completing a thru-hike of the AT. I was able to accomplish the hike in no small part thanks to my wife. She was at home supporting me, caring for our youngest son who was still at home, and generally keeping the home front running.  When I finished, the more we talked about the hike and what a life changing adventure it was, the more she thought she would like to attempt one when the time was right.
Fast forward seven years, we are both retired, our two sons aren't living at home, and the time is right.  Well let's just say it's about as right as it will ever be.  We thought we would hike two years ago but that was squashed when we bought a piece of land and undertook the task of building a new house.  That project has taken us over two years and we still aren't totally finished.  We are settled in enough though, so this is going to be the year.  Our plane tickets are purchased, we registered with the ATC, we have a shuttle lined up to take us to Amicalola Park, and we should be on our way on the 6th of March.  We will start our hike on the 7th from the falls
Our gear is mostly set, but I'm sure we will continue to tweak some small things right up until we leave.  The hard part has been getting out to do a lot of training as the weather has been kind of nasty of late and we have been trying to get the house all buttoned up.  Of course, as our departure date nears every little ache and pain is magnified.  My wife has hip and back pain that she is constantly stretching.  I'm dealing with hamstring pain and a pain on the outside of my foot.  The hamstring pain is mostly brought on by my running, and I've dealt with it since before my last thru-hike seven years ago.  It didn't bother me once I got started hiking so I'm hoping all the little ailments will get better once we get going and get the kinks out.  My wife reminds me that when we first started discussing this adventure, I promised we would take our time and start out slow with no big miles.  Well the other day I started mentioning where we would be on our first couple of days, when I was reminded again that I was being too ambitious.  She is right of course. I tend to be to very competitive. But, I'm seven years older and dealt with knee pain and shin splints on my first hike because I pushed it too much early on.  Hopefully she will rein me in, and if not, I'm sure I'll be reminded in the guestbook if she starts complaining about the mileage in our journal
Much like my last hike we plan to make a journal entry everyday as we hike.  Keeping a journal about who I was with, what I saw, and how I felt, was one of the best things I did on my last hike.  My brother took my journal and made it into a hard-covered book which I often refer to to remind myself where I was, or who I was with at certain times. Truth be told, many times I pick it up and start reading, and the memories come flooding back and I relive the hike all over again. My wife also made a hard-covered book of many of the photos I took on the trail
I guess it is time to go.  We'll add a few more entries before we head out, maybe cover some of our gear, or our hike of the foothills trail this past spring.  I'll get my wife Mary to make some entries as she is a much better writer.
Feel free to sign the guestbook or look over my journal from 2011.
Thanks for reading 
Alan ""Earl Grey"" and Mary",,View Entry,"Feb 08, Thu",0
Earl Grey,https://www.trailjournals.com//journal/entry/583506,"Well I was planning on having a few more entries done before we left but we seem to be out straight trying to get everything finalized.  It was much easier before when someone was back home to keep everything going without a hitch.  This time my wife and I will both be on the trail and we are struggling with the logistics of closing up the house, getting all the bills on automatic pay, getting our mail taken care of (thanks Franz and Joanne), and all the other endless details that we deal with on a daily basis.  I think we will both be glad when we are on the trail and life slows down.  
We haven't got much training in lately, so we have pretty much resigned ourselves to getting into shape on the trail.  We have packed and repacked or bags several times and I still have difficulties getting all my stuff to fit. Once good weather arrives, I'll lose a lot of bulk from my pack but at the start I'll be packed to the gills.  Weight wise I think we are doing alright.  My wife's pack with all her stuff and one and a half liters of water weighs 20 to 22 pounds.  I'm running about 27 pounds with water but no food yet. We packed our first food bag for about 4 1/2 days and it came in about 9 pounds.  I'm not sure how we'll divide it up, but it takes up a lot of room. 
Hard to believe but in 4 days we will be leaving for the trail.  We have checked out a few videos and journals of hikers already on the trail and that only gets us more excited.  Looks like some are running into typical nasty spring weather.  Hopefully when we arrive that will all change, and we will only have sunny pleasant weather.  (yeah right!)
See you soon from the trail.
Alan ""Earl Grey"" and Mary Barrett",,View Entry,"Mar 01, Thu",0
Earl Grey,https://www.trailjournals.com//journal/entry/583532,"I thought I would get our third entry done so the journal
will be up and running. We tied up a few more loose ends today, so that puts us
a few steps closer to being ready. Good thing too, only 3 more days before we
head to Georgia.
I figured I should cover some of the gear we will be
bringing. I won’t do a super detailed list, just most of the big items. First, a
disclaimer. I am not an ultralight backpacker, I’m not sure I could consider
myself a lightweight backpacker. I just know I like to be warm and somewhat
comfortable, so I bring what I have found works for me.
Tent – I used an MSR Hubba on my 2011thru hike and loved it,
but we need a tent for the two of us this time. We tried a Big Agnes Copper
Spur 2 and liked it, but ultimately settled on a Big Agnes Copper Spur 3. It
gives us a little more wiggle room and allows us to bring our gear inside
without too much of a weight penalty.
Sleeping Bags – I used a Marmot Helium bag the first time
and it worked well. I’ll be using the same bag again, and Mary purchased one as
well. I think they are rated to 15° and are very warm. We will also be using
sea to summit cool max liners to keep some of the funk out of the bags. Liners
seem to work well at keeping the bags clean, and they are easy to throw in the
laundry with your clothes when you are in town.
Sleeping Pad – Love my neo-air! It’s still in good shape so
it is what I’ll be sleeping on. Mine is the old rectangular shaped on that
crinkles quite a bit, and Mary has the more mummy shaped one. Bonus, this time
I made a pad inflator out of the contractor bag I use for my pack liner. It was
simple to do using the cut off neck of a soda bottle and a gasket from a garden
hose. It works well and should save some huffing and puffing when we get to
camp after a long day.
Backpacks – My Osprey Atmos 65 is quite worn and the straps
are stretched out. So, I’ll be using a relatively new ULA Circuit. I love the
large front stretch pocket along with the big hip belt pockets and side
pockets. I miss my brain though, so I’ve adapted a SMD brain for the circuit. When
it warms up and my cold weather gear goes home I may send it home as well, but
I’m not sure yet. Mary tried a Deuter 65-liter pack that seemed comfortable,
but it was too much pack for her needs. She now is using the Osprey Exos 58.
The pack seems very nice, but I wish they had kept the front zippered slash
pockets. It probably wouldn’t work for me, as I would overload it.
Cook set – MSR Pocket Rocket works well for us. We will also
be using a GSI Dualist cook set minus a couple of the bowls/cups. I think one
bowl each is fine.
Filter – Regular Sawyer Squeeze with various bags and Smartwater
bottles. Neither of us use a hydration bladder.  I tried a bladder, but it always seemed the
bite valve was in the dirt or laying on a gross shelter floor.
Shoes – I’ll be starting with some North Face Ultra 109’s
before switching to Vasque Constant Velocities. I’ve never used the North Face,
but they seem comfortable and I wanted something waterproof and with a little
stiffer sole at the start. Mary is using Merrell Mid Moab Ventilators and may
switch out to some sort of trail runners depending on how she feels. We both
have Crocs for around camp.
Clothing – I’ll be wearing running shorts, an outdoor
research shirt, and Darn Tough socks (the best). I also have a pair of
Smartwool long bottoms, some EMS zip-off pants, and EMS Power Stretch top. (My
favorite, and the same one I wore on my thru hike 7 years ago). An EMS puffy,
wool beanie, glove liners, waterproof mittens, buff, and face mask. That is
pretty much the extent of my clothing. Mary has a Mountain Hardwear skirt, her
favorite hiking shirt (which she has had so long we don’t even know what brand
it is anymore), along with Darn Tough socks. She also has Smartwool long top
and bottoms along with an EMS Power Stretch top. Wool hat, buff, glove liners,
waterproof mittens, puffy coat, along with shorts and shirt for sleeping. 
Rain Gear – We both will be carrying Marmot Minimalist rain
coats along with rain pants. I think mine are Marmot Precips and Mary’s are LL
Bean Gore Tex. Both are pants we’ve had for several years. I also have a Marmot
Mica jacket that is quite light and packable, but I remember on my previous
hike I wanted a more substantial rain jacket early on when the weather was cold
and rainy. The Minimalist seems to fit that bill. I may switch out to the
Mica later in the hike.
Misc. – We also have a basic homemade first aid kit (Band-Aids,
tape, meds), Neo Air repair kit, Leatherman micro knife, long handled spoons,
tea mugs, Flip phones (yes, you read that correctly), camera, clip Mp3 players
and various chargers. We will also carry a Tyvek ground cloth, butt pads
(chunks of an old Z-lite), and sections of Awol’s guide.
That is probably more than most of you wanted to know, but
it gives you an idea of what we will be carrying. If anyone has specific
questions, feel free to ask and we will try to answer. Our next entry will be
from the trail, or at least when we are on our way. Pre-trail excitement is
making it hard to finish all the last-minute details.
Thanks for reading,
Alan “Earl Grey” and Mary",,View Entry,"Mar 02, Fri",0
Earl Grey,https://www.trailjournals.com//journal/entry/583707,"The last two days at home are a blur. We installed 3 garage doors with the help of our good friend Gary, finishing around 6:00 pm before we headed off to spend the night with family.  Our niece Nicole gave us a ride to the airport (we had to get up at 3:00 am to make our 5:30 am flight - who books a flight that early in the morning?!). With Nicole's more than competent driving skills we made it to the airport on time.
After two flights, a MARTA ride, and a taxi ride we are in a hotel outside Atlanta. Tomorrow morning at 7:00 am our shuttle driver, Survivor Dave, will pick us up and take us to Amicalola Falls to start our hike. Final descent into Atlanta was a little ""bumpy"", but the good news is we flew through the rain front that was hitting Georgia, and now we can look forward to some clear but cool weather for the next few days.
Stuffed everything into our packs, and they are way too heavy! We will have an official weight tomorrow when we register at the visitor's center.
Looks like the weather here will be much nicer than it will be at home. We will miss the blizzard which could bring a foot to a foot and a half of snow to New England.
Somewhat apprehensive, but excited to be starting the trail tomorrow.
Alan ""Earl Grey"" and Mary",,View Entry,"Mar 06, Tue",0
Earl Grey,https://www.trailjournals.com//journal/entry/584055,"Day 1
11.6 total miles today, but only 2.8 on the AT.
Survivor Dave picked us up promptly at 7:00 am and we headed for Amicalola. Of course, as we neared the park, we started seeing snow flurries. When we arrived at the park it was cold, no shorts or skirts today! We registered and got our numbers 723 & 724 for the year. Weighed our packs at 27 for Mary and about 37 pounds for me. More than we wanted, but we'll lighten up as we get more dialed in. Quick picture at the arch and we were off. 
After 45 minutes or so we had made the 600+ steps and we were at the top of the falls. Mary said she didn't think the stairs were as bad as she feared. The day was sunny, but it stayed cool and breezy all day. Never really took many layers off, actually had to add a couple as the day went on. Stopped for lunch on the way to Springer and met Rambling Man and Papa Dale. They were sitting beside the trail in a nice spot, so we joined them. We made the top of Springer about 1:00/1:30, signed the log, touched the first white blaze and took a picture or two. Being as early as it was, we figured we would make it down to Springer shelter, stretch and see how we felt. As we were about to leave, we encountered a woman with a Thru-hiking tag kind of milling around the top. As we started to talk to her, she started telling us that she had taken 3 days to do the approach trail and that maybe this wasn't for her. She was going to call her shuttle driver and head home. We continued on down to Springer shelter where we found it mostly empty, and all the tent sites vacant. 
We stretched for a while and felt so good we decided to make the extra 2.8 miles to Stover Creek Shelter.  Probably moving on from Springer was a mistake as we both were sore and tired by the time we arrived, and the area was quite full. But we secured a tent spot, ate and climbed into our bags as it was getting very cold and windy. Not much socializing tonight as it was too cold. Sleeping with the water filter tonight so it doesn't freeze.","Amicalola State Park
",Stover Creek Shelter,"Mar 07, Wed",2.80
Earl Grey,https://www.trailjournals.com//journal/entry/584056,"Day 2
It was a long, cold night in our sleeping bags for about 11 hours. Mary never did get completely warm so I heated a water bottle up at about 5:30 to put in her bag; this helped a little. Our water bottles were slushy this morning, so with all our clothes on we got up, had some oatmeal and tea, broke camp and got moving. Once we got moving, we both felt pretty good. The outside of my right foot that bothered me yesterday felt better today. 
We made good time to Hawk Mountain Shelter where we had lunch with Michelle, Tyler ""Bum Knee"", Bo-Bo, Nerp (Nurse who wears/likes purple), and Emily. We headed out to see how far we would make it, and 2 miles later we came down into Horse Gap where we found a hiker wrapped up in his tent saying he was sick and needed a ride, but his phone was dead. We offered to make a call, but he didn't know who he wanted to call. Our shuttle driver, Survivor Dave, had given us a contact list of shuttle drivers. We tried Survivor Dave, and Ron Brown. We didn't have good cell phone service and were only able to make quick contact with Ron and then the call was dropped. We did get a few text messages out to a shuttle with hopes that he could pick the hiker up. It was cold, so we needed to move on. 
It never did really warm up today and we hiked in our layers with our hats and gloves on most of the day. We only removed them on a couple of the long uphill climbs. We thought about stopping a littler earlier today, but the sites we saw were not near water, and we really didn't have enough water for drinking, dinner, and breakfast. We ended up pushing on to Justus Creek Campsite, where it was just us and another thru-hiker that just cowboy camped even though it was very cold. By the time we set up and ate it was time to crawl into the tent for what is sure to be another long, cold night. Hot water bottle for Mary tonight as she climbs in and I'll sleep with the water filter again so it doesn't freeze. 
Additional note: The thru-hiker staying with us is the same hiker we met at Horse Gap. He had also come upon the hiker wrapped in the tent. He said he charged the kids phone and gave him some food. The kid told this hiker that he had fallen and was not only sick but out of food. Hopefully he got a ride, all we know is he is from Kansas...","Stover Creek Shelter
",Justus Creek Campsite,"Mar 08, Thu",11.50
Earl Grey,https://www.trailjournals.com//journal/entry/584057,"Day 3
Up when it was light, too cold to linger. Ate a cold breakfast and got moving with a plan to have tea at Gooch Shelter. Got to Gooch quickly and the place was still packed with everyone packing up. Saw Rambling Man and Papa Dale and met a hiker named FloBo for the first time. We had tea, chatted and got organized for the day as we had now warmed up. Headed out hoping to reach Lance Creek Tent sites, which will set us up for Neel Gap on Saturday. 
Supposed to be warmer today, so maybe we won't need gloves. Couple of good climbs over Ramrock Mt and Big Cedar Mt. It was still cool, but we were able to hike in less layers and we got to see some really nice views on Preacher Rock. On Preacher Rock we met two women, each day hiking with their dogs. The dogs were Dixie and Olivia (didn't get the names of the women). Anyway, one of the women told Mary she looked like she just stepped out of a Title Nine catalog. Mary got quite a kick out of the comment (she isn't wearing anything from Title Nine). We met lots of other hikers as we all plodded along, I still have trouble remembering all of their names. 
We got to Lance Creek pretty early today which was good because sites were limited and the later arrivals are having trouble finding level ground to set up on. We both are doing pretty well, but we were glad to see camp as our feet are sore and Mary managed to get a blister on her pinky toe. Should be a warmer night so we will be able to chat with more people. Tonight we have Rambling Man, Papa Dale, Steven, River Jack, Jedmorgensen, and many others at camp. Hoping for an earlier start tomorrow so we can make it to Neel Gap early to beat the forecasted rain and get a cabin for the night. It will be nice to have a hot shower and a warm bed.","Justus Creek Campsite
",Lance Creek Tent Sites,"Mar 09, Fri",9.60
Earl Grey,https://www.trailjournals.com//journal/entry/584058,"Day 4
Up about 5:30 packing up. Much warmer, so we weren't shivering. We were hiking by 6:30, most hikers had the same idea as nearly everyone was up and packing as we left. Rain is forecasted for this afternoon into Sunday morning, so everyone is looking to score a dry place to spend the night. We made pretty good time up and over Blood Mountain, but the climb and steep downhill really beat Mary up. 
While we were on the top of Blood Mountain, I called Blood Mountain Cabins and got a cabin for the night so we can resupply, get cleaned up, and do laundry. Made it into Neel Gap just after noon, Mary limped in with a couple of blisters on her pinky toes and one big toe. One of the workers at Neel Gap, who is also a Federal Woodlands Firefighter, is hooking me up with some new pole straps free of charge. I neglected to replace them before I left, so when I inquired at Neel Gap, he said Black Diamond had left some there free and he said he would install them for me. He was having a little trouble remembering how to do it, so we left them and will pick them up in the morning. We ate a Bacon Lover's Pizza as we waited to head down to our cabin. 
Made our way down the road to the cabins where we got our laundry done, ate (pizza again, not much of a choice), and got cleaned up. The plan is to stay off our feet and wait as long as possible tomorrow to avoid some rain. It may rain until Monday though, so we shall see...","Lance Creek Tent Sites
",Neel Gap,"Mar 10, Sat",7.20
Earl Grey,https://www.trailjournals.com//journal/entry/584109,"Day 5
Although the mileage says 6.7, we also did an extra 1.2 miles into Whitley Gap shelter.
Still a cool, dreary day, so we waited until about check out time (11:00 am) to make our way back up the path to Mountain Crossings. At Mountain Crossings I found ""Pretzel"" again, who quickly brought me over to show me how the wrist straps came off the poles and how to attach the new ones. He said he had to do a little internet research, but figured it out. So, a shout out to Pretzel for new wrist straps at no charge and congratulations on his new endeavor as a Wildland Firefighter. Pretzel also showed me his wallet which is made by Recycled Firefighter Co and is made out of recycled fire hose. 
Did our resupply and headed up the trail. Many other hikers stayed at the cabins as there is talk of rain for a couple of days. We might have stayed but the cost was too much. Most had several hikers in each cabin which cut the cost. Also, we learned the thru-hiker rate is only if you are standing at their front door, first come first serve. Reservations are significantly higher, but we really wanted a warm, comfortable place to stay for the night. Hind sight we should have made arrangements with some other hikers prior to our arrival. We heard from one group of hikers that they had sent ""The Specialist"" ahead as he was a fast hiker, and he reserved a cabin for their group at the thru-hiker rate. We saw Tyler (we called him Bum knee as he stayed at Hawk Mountain when we moved on due to his knee), he was one of the hikers staying with The Specialist.  
As we headed up out of Neel Gap the rain had stopped and we had to quickly strip off our rain gear and some layers as this was the warmest day we have had on the trail. Our plan was to not go too far as we were getting a late start. We considered staying at the first shelter as the next was too far. Unfortunately, the first shelter is 1.2 miles off the trail which means another 1.2 miles just to get back to the trail in the morning. Rambling Man soon passed by saying he was going to the 2nd shelter. We played leap frog with ""River Jack"" and ""Jedmorgensen"" most of the day as we made our way up the trail. 
Soon we came to the turn for the first shelter (Whitley Gap) and we reasoned it would be better to do the 1.2 miles and have a dry night and no wet tent to pick up rather than camp along the trail, so we made the turn. It's called Whitley Gap for a reason. You walk on what would be a beautiful ridge in good weather, then you descend into the gap. We got to the shelter only to find we had it all to ourselves. We set up and cooked our dinner. Soon the rain started, lightly at first, but the wind also increased. By the time we were in our bags the gap had become one big cloud with a mist blowing diagonally into the shelter getting our bags and faces quite damp. We readjusted, trying to get as much protection as we could. The rain and wind picked up, but we did manage to get some rest. Another night of being in our sleeping bags way too long, but with the cold there was no other choice.
On another note, when we arrived at Neel Gap and dropped our bags outside the store Mary sat down at the picnic table with a young hiker, so she thought. Anyway, she made the mistake of asking his name and where he was from and if he was a thru-hiker. He started speaking very fast, telling her where he was originally from and then rambling on and on about military school, Alaska, Hawaii, etc. He was talking so fast she could hardly understand most of what he said. He did say he was camping out while he was in grad school. He hopes to hike the trail someday. He was cooking some fish he must have caught, and offering it to others who were politely declining. Apparently other hikers had already asked him a simple question and had also tried to politely listen as he rambled on. Mary said she had to go find her husband and quickly got up from the table.","Neel Gap
",Whitley Gap,"Mar 11, Sun",6.70
Earl Grey,https://www.trailjournals.com//journal/entry/584110,"Day 6
Although our mileage for today shows 11.1, we also did the 1.2 back to the trail from Whitley Gap. 
When we finally braved the elements to get out of our bags it was pretty late. With the time change and it being overcast it doesn't get light any too early. We quickly packed up our damp bags and had some oatmeal and tea. Again, no lingering this morning as the temperature had dropped significantly over night and what started as mist was quickly changing to sleet. We headed back uphill to the trail, questioning our decision to hike in so far to the shelter. Even though we didn't have a wet tent to pick up, we didn't exactly stay dry and warm. 
When we made it back to the trail intersection we found ""Jedmorgensen"" and ""River Jack"" looking mighty forlorn with a wet, sleet filled camp they were breaking down. I'm still not sure what the better decision was, but either way the morning has been kind of harsh. As we hiked on to Low Gap shelter for lunch the temperature continued to drop and the wind was now howling in many areas. Snow/sleet was falling and covering the ground and trees with rime ice. The only thing that was not white was the brown trail. 
As we descended into Low Gap the wind died down and it was warmer so things were just wet and muddy. At Low Gap shelter we had lunch with ""Waltnuts"" ""Bo-Bo"" and the ""Colonel"" ""Bo-Bo"" decided to stay as he had come from Neel Gap this morning. Everyone else was moving on including Brandon and Mark who we met coming in as we were leaving. It was going to be a pretty big day for us as we already had done 1.2 miles just to get back on trail. Mary's legs were sore and her pinky toes are both still bothering her even with them taped. We stopped at one point to stretch, and Mark and Brandon came up the trail. They stopped and we chatted for a few minutes. They are from Lowell, MA. They first said Boston, but once they realized we were from NH they said ""Oh, then you know where Lowell is. They are hiking together and said they have been friends since high school. 
As we hiked on the weather cleared and we actually saw some blue sky! The wind never fully let up, blowing most of the ice off the trees, occasionally pelting you in the face. As we neared camp with about 2 1/2 miles to go Mary's legs began to fade. The final miles to the shelter are a rocky traverse with a good climb into camp. We made it with plenty of light and had a good tent site, but it was cold and the wind was howling. Hiking in zip-offs and rain pants, long sleeve top, another insulating long sleeve top, down puffy coat, rain coat, neck buff, hat and gloves and I'm still cold after I stop for more than a few minutes. Lots of hikers here tonight including Brandon, Mark, ""Bluegrass"", ""Waltnuts"", ""Flo-Bo"" (Phlebotomist who goes with the flow), ""Colonel"", Tyler, who we call ""Bum Knee"", ""Awakened Ghost"" (or ""AG on the AT for short), ""Mega Cache Pop Tarts"" (I think?), and Logan. There is a fire in the fire pit tonight, but again it was too cold to hang out too long. 
Once again we ate and retreated to our down sleeping bags. Once we were in the tent we decided that based on the weather report of even colder temperatures tomorrow night, and the condition of Mary's toes and legs, we should go to town and take a zero. Instead of waiting two more days to go into Hiawassee, we can hike into Unicoi Gap and catch a shuttle to the Budget Inn. With a plan hatched, we tried to get some sleep.
Forgot to mention that we experienced our first trail magic this morning at Hogpen Gap. ""Wokman"", a previous thru-hiker (2016?), had donuts, muffins, and cold drinks in the back of his truck. He would have had hot coffee as well, but his inverter wasn't working. We each had a glazed donut, and chatted with him and a few other hikers that had also stopped. It was too cold to stay too long, but ""Wokman"" did mention NH was his favorite state on the trail.","Whitley Gap
",Blue Mountain Shelter,"Mar 12, Mon",11.10
