Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Farfar,https://www.trailjournals.com//journal/entry/581837,"My name is Carl Hagelin. I am planning to start my modified NOBO Thru Hike of the Appalachian Trail on Sunday, March 11, 2018. I've been thinking about this hike for easily 15 years. Now at the age of 66 and freshly retired in March of 2017, I hope to realize this dream.Here's how my NOBO hike is a ""modified NOBO"". In order to avoid the anticipated crowding of facilities accompanying a traditional Springer to Katahdin hike with a mid-March to mid-April start, I've split the hike into three sections. While still a completely northbound hike, I'll be starting just north of the Smokies. It looks something like this.1) March 11 - start at Davenport Gap at the northern border of the GSMNP in NC2) Late April - jump back to Springer and hike to Davenport Gap3) Sometime in May - skip over first section and continue on to Katahdin

Starting at Davenport Gap, NC
69 days to go!River Edge, NJ",,View Entry,"Jan 01, Mon",0
Farfar,https://www.trailjournals.com//journal/entry/581839,"On December 13, 2017 I drove up to where the AT crosses Rt 17 in New York and hiked north through the Lemon Squeezer to Fingerboard Shelter where I camped overnight.  It was drizzling and then snowing on my hike in and very cold and windy overnight.  I woke to 10 degrees and who knows what with the wind chill factored in.  I slept in my hammock and here's what I learned:
1)  My gloves where inadequate for temps this low.  My fingers were so frozen in the morning that I couldn't use them to stuff away my shelter properly for tie my shows.  I ended up using my fists to push my gear into my pack and tied my shows with square knots instead of bows.  I have since purchased a pair of down-filled mittens.
2)  Though I kept just warm enough wearing ALL of my clothes including a down hoodie and my rain shell, my feet were cold all night long.  I was wearing ""possum down"" socks.  I've decided to take these on my hike along with my pair of down booties that I had set aside in favor of the socks.January 2, 2018, River Edge, NJ

Hammock and tarp at Fingerboard Shelter in NY",,View Entry,"Jan 02, Tue",0
Farfar,https://www.trailjournals.com//journal/entry/581840,"My biggest fear going into my 2018 thru hike attempt is my right foot.  I've suffered from plantar fasciitis off and on for 20 years.  It started while training for my third marathon back in 1998 and it ended my long-distance running.
Long story short, back in July I was playing tennis and jammed my right heel going after a ball and it hurt like hell.  Since then I've been to three podiatrists, am wearing custom orthotics and a heel lift for my right foot.  I think I've figured out that rest seems to be the best course of action as exercise like walking or using the moving stairs at the gym seem to make the pain worse.
I felt I needed a significant shake down hike back in September so I hiked for 2 weeks on the AT from Front Royal, VA to Boiling Springs, PA.  I learned a lot and really enjoyed the experience but I don't think I did my heel any favors.
I am hoping these next couple of months bring my heel into hiking condition.  I REALLY don't want to delay this hike!
January 3, 2018, River Edge, NJ",,View Entry,"Jan 03, Wed",0
Farfar,https://www.trailjournals.com//journal/entry/583403,"Since I'll be starting my thru-hike at Davenport Gap at the northern boundary of the Smokies, I'm flying from New York to Knoxville on Friday March 9 to spend a day with two old college chums who live down there.  Ruthie and Ellen will drive me to Davenport Gap on Saturday the 10th and I'll walk three short miles to Standing Bear Hostel where I'll spend the night and take off northbound on my hike.
Gear decisions keep coming!  I had decided to use only AquaMira drops for my water purification, but just decided yesterday to carry my small Steri-Pen as my primary and use the AM drops as backup.  Funny how I got my base weight down to 20 lbs and now that the start is around the corner, I find myself adding things back that I had removed.  Like carrying both down-filled mittens and my OR gloves.  Like carrying my down booties in addition to my possum down socks for sleeping.
I spent the night near one of the shelters in NJ a couple of weeks ago to see how my new hammock would work in the cold.  It got down to the mid teens overnight and while I managed to keep most of me warm enough, my feet were cold all night in my possum down socks.  And with just my OR gloves, my hands were so cold I couldn't do all the packing chores in the morning.  Hence the down mittens.
So my pack weight is creeping up, but it's still lower than when I did my two-week shakedown back in the fall.
My new hammock is a bridge hammock from Jacks-R-Better.  I like the comfort.  I'm a bit concerned about the fact that my old Clark hammock had a shell in addition to the bug net so I could close myself in for the night.  This new one only has a bug net so I'm pretty much exposed to the wind and cold with just a tarp above me.
I'm really looking forward to meeting other hikers.  Leaving my wife for 6 months might get a tad lonely.
Carl (no trail name)",,View Entry,"Feb 27, Tue",0
Farfar,https://www.trailjournals.com//journal/entry/583456,"Woke up with a nasty toothache this morning.  It didn't get any better.  Long story short, I had a root canal performed this afternoon.  Now I need to get it crowned before my flight on March 9.  My dentist will install a temporary crown on Sunday.  She wants me to get off the trail in NJ/NY to get the permanent one installed.
Good thing this happened before the hike and not during!",,View Entry,"Feb 28, Wed",0
Farfar,https://www.trailjournals.com//journal/entry/583501,"Boxes and boxes of trail food.  I've prepared over 50 dinners from food that I've dehydrated.  My delightful sis-in-law loaned me her dehydrator.  Thanks, Trish!My Trail Angel wife, Joan, will be tasked with putting together boxes to send to various hiker hostels along the way.",,View Entry,"Mar 01, Thu",0
Farfar,https://www.trailjournals.com//journal/entry/583699,"Beautiful day here in northern New Jersey but tomorrow we're supposed to get a lot of snow.  One last heroic day for the snow blower.  My flight leaves on Friday, three days away.  Hello southern warmth...Weather forecast has me hiking in rain and snow my first two days in the mountains of North Carolina with temps dropping below freezing.  First day has me climbing 2500 ft in the first 5 miles.  Hey, this way the rest will be easy peasy (not so much).I hope I'll meet other thru hikers who may have started their hikes early from Springer.  Misery loves company.All that said, I'm very excited and looking forward to this amazing adventure!",,View Entry,"Mar 06, Tue",0
Farfar,https://www.trailjournals.com//journal/entry/583932,"First day on the trail. I started at Standing Bear Hostel just north of Davenport Gap at the northern border of Great Smoky Mountains NP.
It’s hard to describe the emotions running through me as I took those first steps. I’d been anticipating this day for so long and then it’s here.  I did a brief selfie video but was kind of at a loss for words.
I met some nice young northbounders at the Hostel last night. They wished me well as I set off this morning.
Many thanks to Ruthie and Ellen for putting me up in Knoxville and driving me to the trail. Such fond memories of our college years together. 
I’ve got a 13 and a 10 miler coming up Monday and Tuesday. Then a short hike into Hot Springs, NC on Wednesday morning.","Standing Bear Farm Hostel
",Groundhog Creek Shelter ,"Mar 11, Sun",6.90
Farfar,https://www.trailjournals.com//journal/entry/584151,"Day two took me up and over Max Patch, one of the more famously beautiful spots on the AT.  Given the high winds and driving snow and sleet and minimal visibility, I can’t comment on it’s beauty. 
I was aiming for a 13 mile day until I ran into Fresh Grounds and his Leapfrog Cafe. He’s a trail angel who takes care of hikers. He was serving chili and grilled cheese sandwiches right there on the trail. The hot food was most welcome!  Fresh Ground convinced me to set up camp there at Lemon Gap and have hot coffee and banana pancakes in the morning. The wind was howling like a banshee all night. It was a challenge packing up in the cold. I had to take frequent breaks to thaw my fingers.","Groundhog Creek Shelter 
",Lemon Gap,"Mar 12, Mon",11.80
Farfar,https://www.trailjournals.com//journal/entry/584153,"After a breakfast of banana pancakes courtesy of Fresh Grounds, I packed up with frequent breaks to thaw my fingers. I hiked through snow most of the day which made for breathtaking scenery. Being the first one out I was making fresh tracks.
I made it to the shelter around 4:00.  I was joined later by two fresh high school graduates.  After making myself a nice hot meal I got really cold and shivering so I hit the hammock at 6:30 to get warm. No cell service so I read and listened to music.Short 3.2 mile hike tomorrow into the welcoming trail town of Hot Springs.  I’m ready for hot.","Lemon Gap
",Deer Park Mountain Shelter,"Mar 13, Tue",11.20
