Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Flatlander,https://www.trailjournals.com//journal/entry/591904,,"Harpers Ferry, Wv
",Ed garvey shelter,"May 23, Wed",7.50
Flatlander,https://www.trailjournals.com//journal/entry/592010,Overdid it today. I am aching but only thing hurting is my pride. About 15 hikers at campground. Free shower was awesome.,"Ed garvey shelter
",Dahlgren Backpacker Campground,"May 24, Thu",11
Flatlander,https://www.trailjournals.com//journal/entry/592012,"Thought yesterday was rough. Oh My!! It was my fault though. I planned to hike about 8 miles to campsite. Missed the sign, hiked another 6 to the next shelter. The trail traversed over rocks, big rocks. I've learned when asking someone how far you are from somewhere, responses such as ""not far"", ""maybe about"", ""close"", are all relative. ","Dahlgren Backpacker Campground
",Ensign Cowall Shelter,"May 25, Fri",14
Flatlander,https://www.trailjournals.com//journal/entry/592013,"Need to note that the journal is not activated until you post three entries. So now should be good to go. So, got to this beautiful park overlooking the town of Waynesboro, Pa. Hotel is calling me. I need shower and bed so bad, I checked in not even asking the price. It's called the Cobblestone. Real nice with Walmart next door. I have no appetite yet, I hear it will come and then it's time for all food to beware. Am consuming tons of water.","Ensign Cowall Shelter
",Pen-Mar campground,"May 26, Sat",9.50
Flatlander,https://www.trailjournals.com//journal/entry/592014,"Took my first zero day. It's Sunday, made it to St. Andrews the Apostle church for Mass. Resting up for journey into Pa. tomorrow. Since I really got going with the journal today (had to get 5 days of thoughts out of head to the blog) I am going to try to update nightly. I should then be able to provide more interesting reading. Happy Trails to you, until we meet again!","
",View Entry,"May 27, Sun",0
Flatlander,https://www.trailjournals.com//journal/entry/592816,"Met Songbird. Add to my relative phrases ""just up ahead"".  Delayed gratification.  I'm not eating that Snickers for 30 minutes. 
Met Maverick and Detail who helped me out with Gut Hook, a GPS tracking app.  Hiked with Trudge from Panama City and stayed with four folks at shelter.","Pen-Mar campground
",Rocky Mountain Shelter,"May 28, Mon",15
Flatlander,https://www.trailjournals.com//journal/entry/592819,"Met the Crawfords, family of eight, youngest two yrs old.","Rocky Mountain Shelter
",Birch Run Shelter,"May 29, Tue",13
Flatlander,https://www.trailjournals.com//journal/entry/592824,"Left at 4:30 am.  Cleared out all the cobwebs for those behind me. Arrived at 7:45 pm. Took my first fall. Fell backwards and had trouble righting myself, but not hurt. Poured all night long. Shelter full with mom and 14 yr old won, 70 yr old dad and daughter, and five other through hikers.","Birch Run Shelter
",James Fry Shelter,"May 30, Wed",18
Flatlander,https://www.trailjournals.com//journal/entry/593350,"poured all. Igbto g. Shelter was packed with Echo a d her father Earthspri g, a mother a d her 13 yr d so  a d 5 other thru hikers.","James Fry Shelter
",Darlington shelter,"May 31, Thu",0
Flatlander,https://www.trailjournals.com//journal/entry/592825,"Mosquitoes Mosquitoes Mosquitoes.  Ate me alive. Took second fall. Slipped on a wet rock and scraped forearm, but nothing broken. Checked in at Red Carpet Inn for the night.","James Fry Shelter
","Duncannon, Pa","Jun 01, Fri",17
Flatlander,https://www.trailjournals.com//journal/entry/592827,Took a zero day in Duncannon. Resupplied my food. Visited a hostile and met a bunch of hikers who shared some good info. Made Vigil Mass at St. Bernadette's. The only Catholic Church directly on the trail.,"
",View Entry,"Jun 02, Sat",0
Flatlander,https://www.trailjournals.com//journal/entry/593406,great views. Turned in early for 18 miles tomorrow,"Duncannon, Pa
",Peters Mtn shelter,"Jun 03, Sun",12.60
Flatlander,https://www.trailjournals.com//journal/entry/593359,"left at 6:15 arrived at Raush shelter at 4. Echo and Earthspring here tonite. Echo let me use her hammock and other stuff to keep me warm. I’m freezing at might. I brought only a bag liner thinking I didn’t my sleeping bag. So, so wrong. Trail boss Jonathan, my son, is overnighting my bag. Can’t wait.","Peters Mountain shelter
",Raish Gap shelter,"Jun 04, Mon",18
Flatlander,https://www.trailjournals.com//journal/entry/593411,"2guys from Germany, Echo and Earthspring, Mountain Man Pete and me. after dark, Roundabout came running into the shelter. she was tenting about a mile away. Claimed an animal grabbed her backpack from the vestibule. She grabbed it, packed up her tent and ran to the shelter. The Germans entertained us over breakfast with videos of all the rattlers they have seen. I’ve only seen the one very long black snake.","Raish Gap shelter
",William Penn Shelter,"Jun 05, Tue",13.40
Flatlander,https://www.trailjournals.com//journal/entry/593415,"stopped by the 501 shelter to check it out. All enclosed, potable water available, nice privy and shower. Great shelter but couldn’t stay. Had to move on to Rock M Soul. Awesome hostel. for 40 bucks, bunk with fresh sheets, shower, dinner and breakfast. Truly outstanding. ","William Penn Shelter
",Rock N Soul Hostel,"Jun 06, Wed",14.10
Flatlander,https://www.trailjournals.com//journal/entry/593416,"slackpacking- leave my pack at hostel, take day pack on 15 mile hike, hostel owner picks me up and brings me back. Wow, such a relief to give my aching back a day off yet stll log some miles. The descent into Port Clinton was the steepest yet, so glad I didn’t have a full pack. Another outstanding dinner tonight. Hostel is full with 13 hikers. Package didn’t arrive. Have to wait until tomorrow. I need my sleeping bag.","Port Clinton
",Port Clinton,"Jun 07, Thu",15
Flatlander,https://www.trailjournals.com//journal/entry/594219,waited at Rock N Soul til 1:30 to get package. Too late to get much hiking in. Stayed at shelter with Down East from Maine and some others. Probably 15 others tenting. Uneventful day.,"Port Clinton
",Windsor Furnace Shelter,"Jun 08, Fri",6.10
Flatlander,https://www.trailjournals.com//journal/entry/594223,Everyone on the trail today was talking about all the rattlesnakes. I saw one. It was coiled up ,"Windsor Furnace Shelter
",Allentown Hiking Club Shelter,"Jun 09, Sat",16.50
Flatlander,https://www.trailjournals.com//journal/entry/594568,"Got my first AT bath. It rained all day. I climbed over Knife’s Edge (it’s just as it’s named) a sharp peak. It was very slick. I slipped, scraping up the side of my right leg. When I got off the edge, I realized I lost my backup water bottle. There was no place to camp so I kept plodding along. Climbed over Lehigh Gap ( all rock scrambling, on hands and knees) .Got to a nice clear spot, pulled out tent to set up but the ground was all rock. No way tent spikes were penetrating. Packed up and kept going. Still raining, my toes were freezing. I was starting to get concerned since I had maybe an hour of daylight left when miraculously I came upon a nice pine straw spot. I set up so fast, crawled inside, stripped out of wet clothes, put on dry shorts and shirt, in sleeping bag and warmed up. Too cold and too tired to eat.  it continued to rain all night but I had a great night’s sleep.","Allentown Hiking Club Shelter
",Stealth tent site,"Jun 10, Sun",22.10
