Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Gaddabout,https://www.trailjournals.com//journal/entry/583477,"Arrived by Greyhound Bus to Gainesville,Georgia from Canton Ohio at 11:50 am. Ride waiting. Took me to Amicalola Park to sign in. Amicalola Falls stair were shut down for maintenance so shuttle driver offered to take me up top top of Springer. I arrived there at 3pm and hiked the 1 mi. To Start of Trail at the southern terminus and then hiked back and on to Stover Creek shelter for the night.","Springer Mountain
",Stover Creek shelter,"Feb 20, Tue",2.80
Gaddabout,https://www.trailjournals.com//journal/entry/583478,Overcast 60 degrees average with rain on and off most of the day.,"Stover Creek shelter
",Gooch Mountain Shelter,"Feb 21, Wed",12.90
Gaddabout,https://www.trailjournals.com//journal/entry/583479,40's in the morning getting up to 65 with overcast skies and fog.,"Gooch Mountain Shelter
",Lance Creek Camp,"Feb 22, Thu",8.10
Gaddabout,https://www.trailjournals.com//journal/entry/583481,Left Lance Creek and 7:30 am and hiked up and over Blood Mountain. Very foggy most of the day no view on top. Hiked down to Neel's Gap. Picked up resupply and had Trail Magic . Hiked the additional mile past to tent camp at Bull Gap camp.,"Lance Creek Camp
",Bull Gap Camp,"Feb 23, Fri",8.40
Gaddabout,https://www.trailjournals.com//journal/entry/583482,Few minor showers and fog 50's,"Bull Gap Camp
",Poplar Camp,"Feb 24, Sat",11.70
Gaddabout,https://www.trailjournals.com//journal/entry/583483,Weather has finally had a few rays of sun 50's . Stayed in Tray Mountain Shelter with 4 other hikers.,"Poplar Camp
",Tray Mountain Shelter,"Feb 25, Sun",14.10
Gaddabout,https://www.trailjournals.com//journal/entry/583484,Overcast skies with a few brief brakes of sunshine. 50-60. Class Act and myself had the whole Shelter to ourselves. Woke up to 36 degrees.,"
",Deep Gap Shelter,"Feb 26, Mon",7.40
Gaddabout,https://www.trailjournals.com//journal/entry/583485,"Was planning a Nero here. But bad weather coming in tomorrow and Thursday 2"" of rain an winds 40 to 50 mile gusts. So I'll be taking 2 zero's. Free shuttles to town so was able to do Mexican lunch one day and dinner at buffet another. With a stop at grocery for small resupply. Plan on getting back on trail Friday the 2nd.","Deep Gap Shelter
",Top of Georgia Hiker Hostel and Supply,"Feb 27, Tue",3.60
Gaddabout,https://www.trailjournals.com//journal/entry/583674,zero day waiting on weather.,"Top of Georgia Hiker Hostel and Supply
",Zero day,"Feb 28, Wed",0
Gaddabout,https://www.trailjournals.com//journal/entry/583681,Zero day waiting on weather.,"Top of Georgia Hiker Hostel and Supply
",Zero day,"Mar 01, Thu",0
Gaddabout,https://www.trailjournals.com//journal/entry/583679,Sunny mid 40's for a high. Wind 10 to 15 mph. Dropped down to mid 20's at night.,"Top of Georgia Hiker Hostel and Supply
",Muskrat Shelter,"Mar 02, Fri",11.80
Gaddabout,https://www.trailjournals.com//journal/entry/583678,Sunny with highs in the upper 40's dropping down to mid 20's at night.,"Muskrat Shelter
",Carter Gap Shelter,"Mar 03, Sat",12.50
Gaddabout,https://www.trailjournals.com//journal/entry/583684,26 degrees this morning. Got up into high 40's.,"Carter Gap Shelter
",Rock Gap Shelter,"Mar 04, Sun",12.10
Gaddabout,https://www.trailjournals.com//journal/entry/583686,"26 degrees this morning. Sunny with high upper low 50's. Nero today in Franklin, N.C. at Baltimore Jack's Hostel.","Rock Gap Shelter
",Winding Stair Gap,"Mar 05, Mon",3.80
Gaddabout,https://www.trailjournals.com//journal/entry/583687,Zero day. Rain,"Baltimore Jack's Place Hostel
",Zero day,"Mar 06, Tue",0
