Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Genesis,https://www.trailjournals.com//journal/entry/407479,Setting up my account for my future hike in 2017.,"
",View Entry,"Apr 13, Sat",0
Genesis,https://www.trailjournals.com//journal/entry/407486,I picked this name because when I start in 2017 I will have just retired which will be a new beginning of life for me. Also a great name after one of the greatest rock bands of the 70s and 80s.,"
",View Entry,"Apr 13, Sat",0
Genesis,https://www.trailjournals.com//journal/entry/407482,Just opened my account. I picked this name because when I start in 2017 I will have just retired (hopefully) which will be a new beginning of life for me. Also a great name after one of the greatest rock bands of the 70s and 80s.,"
",View Entry,"Apr 14, Sun",0
Genesis,https://www.trailjournals.com//journal/entry/528460,"So after much thought we are going to start our 2017 thru hike the last week in September 2016. Living in southcentral PA and close to the trail we will take a week and hike NOBO from Harpers Ferry to Pine Grove Furnace, PA. Since I will still be working I will take a week of vacation to do this hike with my sister (retired) and another friend (also retired). We will do section hikes for the rest of 2016 and January and February 2017 trying to get all of PA completed. Once I retire in the middle of March 2017 we will go back to Harpers Ferry and SOBO to Springer Mountain, then flip-flop back to where we left the northern part of the trail and NOBO. If anyone else is planning on SOBO staring at Harpers Ferry in March 2017 let me know. With so many hikers starting at Springer Mountain we wanted to avoid the large crowds. Our plan is to complete the entire trail in 1 year. We have been doing weekend or long weekend hiking on the AT and other trails in PA. We still have a lot to learn, but most of that learning will come on the thru hike. Hope to see you on the trail in ""17"".","
",View Entry,"Apr 11, Mon",0
Genesis,https://www.trailjournals.com//journal/entry/528464,"So after much thought we are going to start our 2017 thru hike the last week in September 2016. Living in southcentral PA and close to the trail we will take a week and hike NOBO from Harpers Ferry to Pine Grove Furnace, PA. Since I will still be working I will take a week of vacation to do this hike with my sister (retired) and another friend (also retired). We will do section hikes for the rest of 2016 and January and February 2017 trying to get all of PA completed. Once I retire in the middle of March 2017 we will go back to Harpers Ferry and SOBO to Springer Mountain, then flip-flop back to where we left the northern part of the trail and NOBO. If anyone else is planning on SOBO staring at Harpers Ferry in March 2017 let me know. With so many hikers starting at Springer Mountain we wanted to avoid the large crowds. Our plan is to complete the thru hike in 1 year. We have done several long weekend hikes on the AT and other trails in PA to prepare for our thru hike. We still have a lot to learn, but most of that learning will come on our thru hike. Hope to see you on the trail in ""17"".","
",View Entry,"Apr 12, Tue",0
Genesis,https://www.trailjournals.com//journal/entry/580527,"Looks like some of our schedules are about the same. After working almost 35 years in the nuclear power industry I plan on retiring 1/31/18. I tell my work in 2 days:). I will start hiking north the week of 2/12/18. Not sure of the exact date yet. My sister is planning on starting with me. She is talking about taking her car down to do some slack packing. She is not sure how far she will go. She is already retired. I live in south central PA and we have almost all of PA done so far, but I will redo it in 2018. So to get an earlier start, weather permitting we plan on starting at Harpers Ferry the week of 1/15/18 (Martin Luther King's holiday day plus 4 days of vacation) and hike north for about 6 - 7 days and try to get to Pine Grove Furnace. Maybe slack packing since we live so close. I'll go back to work and then retire 1 1/2 weeks later. I may try to get 1 or 2 weekends in and get a little further north before I travel down to Springer. Maybe to Boiling Springs. So when I get up to Harpers Ferry after I start at Springer I will jump up to where I stop in January/February. Good luck to all of us and I hope our paths will cross. Genesis - 18",,View Entry,"Nov 13, Mon",0
Genesis,https://www.trailjournals.com//journal/entry/580668,"Last Wednesday I informed my work that I was retiring 1/31/18.  So now it's official.  Time to get serious. Also took another overnighter on the AT from Rt 72 to Rt 325 in PA.  Nice on Friday but finished out in sleet and then heavy downpour.  Temps in the mid 30's.  Better get used to it. With all the pre-hikes my sister and I have taken we only have about 45 miles left in PA to have the state done, but I will do it all over again next year.",,View Entry,"Nov 19, Sun",0
Genesis,https://www.trailjournals.com//journal/entry/580964,Right now I have a 2- person Northface Tadpole tent. I really like it but a little over 5 lbs I believe.  My sister has a Big Agnes Copper Spur HV UL 1 Tent.  It only weights 2 lbs 8 oz.  Big difference. So right now I have hers set up in my family room looking at it to see if I like it.  I have climbed in to make sure I can live in there for the next 5 - 6 months.  Smaller but livable and my feet will like the lighter weight. It is expensive to buy but I have to give this old body every  opportunity to succeed on this long trek. So I will probably wait to see if it goes on sale in the next couple weeks and if it does I will buy it.,,View Entry,"Dec 03, Sun",0
Genesis,https://www.trailjournals.com//journal/entry/581266,"Will today I bought another tent.  I had a 2 person tent, but wanted to lighten the load a little.  So I bought a Big Agnes Copper Spur HV UL 1 Tent and a footprint.  Should be here before Christmas.  That will be my home for the next 6 months.  If for some reason I want to switch back to a bigger tent I will have that option.  Retirement is coming soon and then time to start hiking.",,View Entry,"Dec 18, Mon",0
Genesis,https://www.trailjournals.com//journal/entry/581583,"My new tent finally arrived.  Big Agnes Copper Spur HV UL1.  Cuts off about 3 lbs.  Planning on starting in Harpers Ferry, WV with my sister on 1/13/18 if weather permits and hike a week north.  Should be able to get to Pine Grove Furnace.  Supposed to be in the single digits this week in PA.  Not above freezing for the next 10 days so I hope it warms up a little by hiking time.",,View Entry,"Dec 27, Wed",0
