Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
German Shepherd,https://www.trailjournals.com//journal/entry/582601,"We have our gear laid out all over the main room in our home. 
We are beginning to sew our tarp etc, shells, quilts, hats, mittens very very soon with an ultra light focus.
We will leave at end of March 2018.
Training daily most of time, reading all the time.
Working still.",,Appalachian Trail,"Jan 31, Wed",0
German Shepherd,https://www.trailjournals.com//journal/entry/582721,"I just finished sewing a nice light Tarp from Ripstop by the roll products. I used silnylon 1.1 oz . The whole project took like
15 hours with learning to sew etc. and extra attachments to ends to keep wind and weather out of sleep area .Weight is 14 oz.",,AT Spring 2018,"Feb 06, Tue",0
German Shepherd,https://www.trailjournals.com//journal/entry/582722,"Fabricated with sewing machine etc a 18 ounce nylon synthetic filled sleeping quilt. Very Easy project
Took about 5 hours.",,Appalachian Trail,"Feb 06, Tue",0
German Shepherd,https://www.trailjournals.com//journal/entry/582762,"I spent some time last eve learning about how to modify my nylon umbrella by removingparts that are extra. I removed j handle and left a 3 inch straight handle.Removed lock mechanism, removed spring, removed extra tip length and spacers.I will weigh it soon but my guess 8 oz now",,View Entry,"Feb 08, Thu",0
German Shepherd,https://www.trailjournals.com//journal/entry/583079,Most of our gear is now here at the home and we had success modifying umbrella to 9 ounces yesterday.The rest of climashield apex insulation showed up so we will finish sewing our quilts both winter and summer weights to be traded outalong the trail. Balancing work and prep time is challenge but exciting.,,View Entry,"Feb 19, Mon",0
German Shepherd,https://www.trailjournals.com//journal/entry/583558,"I was working on a home I am updating for resale, and slipped on laminate floor and sprained my ankle quite severely.I went in and had it xrayed and the good news is that it is not broken. However I have been hobbling around for about 3 days and it is stillpainful and hard to mobilize and somewhat swollen. This is concerning with a start date on the AT northbound tentative at end of March.Moral is : If the Lord Will's we will do this or that.",,View Entry,"Mar 03, Sat",0
German Shepherd,https://www.trailjournals.com//journal/entry/586826,"We were originally going to start in Georgia and hike to Maine beginning in the end of March 2018.But. I severally sprained my ankle working on a flip house we bought to help fund this extravaganza inearly March at it is now just finally coming around to healthy use. Researching the start times and seeing thata lot of flip-flop hikes begin in Harper's Ferry WV about the beginning of May it made sense for us to switch tothat style of Thru hike. We liked the idea of attending the flip-flop festival on 4/28 and 29th, also the first 200-300miles of easier terrain will be welcome with an ankle still recovering to full strength.This week we begin in Earnest to sew, and plan. I feel blessed to be with my Son doing these things, and am excitedto meet with God out there and see what happens. Fears yes of course, but with a supporting wife and home teamhow can we lose. I appreciate the many friends praying and following our adventure it is very encouraging to know we are notalone. Why hike this long and far? I cannot answer that now .Maybe it is appropriate for a house flipper to do a flip/flop hike too?",,View Entry,"Apr 15, Sun",0
German Shepherd,https://www.trailjournals.com//journal/entry/587230,"David and I have been at this for the last 4 days. this week we have sewn a bugnet for under tarp, headnets for bugs,Fleece for hats, lightweight taffeta sleeping top quilts. We also sealed seams on sleeping tarp with silicone sealant thinnedwith mineral spirits and added lifter patches for treeless tarp applications.We hope to sew wind pants, wind jackets, and waterproof breathable noon rain coats.We also made a nylon groundsheet and sprayed with poly spar type.We work 5-6 hours then train as well.",,View Entry,"Apr 19, Thu",0
German Shepherd,https://www.trailjournals.com//journal/entry/588414,"Harper’s Ferry greeted us with spring flowers and new friends.
We enjoyed an early morning send off at
The AT cons. Headquarters . There are new photo in the library. We hope to see
These nice people further on down the road. God was good last night as we had to adjust due to a delayed flight. We flew in Reagan airport in Washington DC
Instead but lost our rental car and another would cost double. So we had a pleasant Taxi Ride with Sultan a Turkish
Cabbie. Price same as our first car rental even though 69 miles to Wv.
We are fired up and ready to go in
Am to begin hiking.
Keep us in prayer we need it",,Maine flop to Georgia end from Harper’s Ferry WV,"Apr 29, Sun",0
German Shepherd,https://www.trailjournals.com//journal/entry/588675,"First day of hiking we took our first step about 7:45, leaving Harper’s Ferry in beautiful, sunny weather with a high of 67 degrees. Met many nice folks along the way from New York, Louisiana, Vermont, Alaska. Flowers starting to bloom on forest floor, leaves starting to bud out. We accomplished about 20 miles and stayed at a little campground with a shower and drinking water.","Harper's Ferry
",Maine flop from Harper's Ferry to end in Georgia,"Apr 30, Mon",20
