Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Gouda Girl,https://www.trailjournals.com//journal/entry/593377,"The last time I was on the trail was 2005. I tried, in 2016, to hike the 200 plus mile section from Hot Springs to Damascus only to have to cancel due to forest fires along the section I was going to hike. I tried again in 2017 and another cancellation. But, 2018 came and I waited until the last minute waiting for something to happen that would cause me to cancel again, but it didn't happen...YES! 
I found myself sitting on a bed, in room 5, of Sunnybank Inn, in Hot Springs, NC. The smells of dinner making their way up the shoe worn, dark wooden staircase to the second floor, which was dressed in old carpets and rows of bookshelves with titles of any subject you could think of. The 1875 Victorian house rooms and walls hold decades of memorabilia and memories. After 3 years I felt like I'd hiked the section of the AT from Hot Springs to Damascus mentally several times, and now I was actually about to put my hiking boots on and start.","Hot Springs
",Around Town,"Apr 26, Thu",0
Gouda Girl,https://www.trailjournals.com//journal/entry/592802,"It was a steep, hard climb out of Hot Springs. Trail was muddy and there were lots of roots, rocks and turns to watch for. My legs ached and I was so tired and sore when I arrived at Spring Mountain Shelter that I just sat down and drank water for awhile. Met up with Nurp, Pilot, and Organic.  I hate to think how I would have felt if I hadn't trained for 4 months with weights, pilates, yoga, and treadmill hills. I'm slow but I got here!  I pitched my tent  on a knoll above the shelter and joined other hikers around a large campfire. There was a large group of weekend hikers called  ""Bounty"" they were identifying and collecting edible plants and made soup from them to share with anyone who wanted a taste. I wasn't hungry but nibbled on a power bar and drank some powdered milk before going down to filter water for tomorrow.","Hot Springs
",Spring Mountain Shelter,"Apr 27, Fri",11
Gouda Girl,https://www.trailjournals.com//journal/entry/592803,"The uphills are hard for me, my gait is short. I keep telling myself to lengthen my stride but the Trail won't let me. (Is there a life lesson here?) 
Little Laurel Shelter is at the base of Camp Creek Bald a steep uphill I will do in the morning. Learned about Usnea from ""Melt Down"" today. It is a type of moss that grows on trees and has antibiotic properties. I'll have to look it up later. Also saw a red bird with black wings, very striking. I don't have cell service though others may. Verizon seems to be the carrier that has coverage. I have AT&T. 
Looking out from my spot in the shelter I note that no one is ""connected"" tonight. There is a fire crackling and being fed outside the shelter and incense slowly burning inside. Hikers seem absorbed in their personal moments or soft conversation  as the full moon rises, it's light trading places with that of the sun.","Spring Mountain Shelter
",Little Laurel Shelter,"Apr 28, Sat",8.50
Gouda Girl,https://www.trailjournals.com//journal/entry/592804,"It got down into the 30's last night and I woke up feeling chilled. I told myself ""Barb get up! Get hiking! before you really get cold. So I did"".  Took me about 2 hours to finally warm up my feet and hands. I could see my breath when I started out.  The uphill out of Little Laurel wasn't bad but the 1.4 mile ALL ROCK section of the Ridgeline Trail was awful! Had to really watch my every step. 
Was taking a quick break at Jerry Cabin Shelter when 2 great Danes came lopping in followed by TRAIL MAGIC! This hiker said he regularly hikes this section and he brought little baggies with fig bars, tangerines, and candy in them. I high graded the fig bars and 2 of the 3 tangerines from one bag and gave the rest to another hiker.
First day on the Trail I wondered ""What did I get myself into?"" Second day was short and I was able to relax a little. Today, the third day, I felt I was able to keep a more steady pace on flats and short uphills. So I was feeling pretty good, plus I was half way to my hostel stay at Uncle Johnny's. I also started to recognize and got to know a few of the hikers that I saw at the shelters and who passed me, by their trail names.","Little Laurel
",Flint Mountain Shelter,"Apr 29, Sun",13.50
Gouda Girl,https://www.trailjournals.com//journal/entry/592805,"There seemed to be more up hills than the map showed today. I have been hiking pretty much all alone during the day. I rise early and am usually at my destination early to mid afternoon. Thru hikers seem to be rising later and arriving later. I am using zip fizz in my water for electrolytes, others I noticed use Emergent C. Hogback Shelter was really nice, easy water source. It felt good to go down stream a bit and just soak my feet. Days are getting warmer. I know I need to drinking more water. Because my pack's water bottle sleeves can't be accessed except by taking off my pack I had a tendency to not drink as much as I should. I wasn't hungry the first 3 days of the hike but now I was starting to think about orange juice-- volumes of orange juice.","Flint Mountain Shelter
",Hogback Ridge Shelter,"Apr 30, Mon",9.80
Gouda Girl,https://www.trailjournals.com//journal/entry/592806,"I had a Fitbit on and it was always showing a mile or two more than what the maps indicated. Guthook is an app many of the hikers have and it tells a different story of the mileage, as do the paper maps I carry, so I've concluded that each mile of the Appalachian trail is not only different in topography (the amounts of ups/downs/rocks/roots) but also mileage value:)
Big Bald views were beautiful and I felt like I had really accomplished a number of goals. I had climbed to over 5500 ft, passed 300 AT miles back at Jerry Shelter, and I was one day away from completing the first of the 4 segments that I had broken my hike into. I felt great!!  Took picture with Wisco, DJ, and Dat Boi at Big Bald.
At Sam's Gap, Trail Magic was occurring but I was a little early. A group of men were setting up to cook hot dogs and hamburgers. I can't hike on a full stomach so I thanked them for what they were doing and started to cross the road for the climb on the other side when a woman approached me. She was taking trail names and where hikers were from for her records. Her trail name was Elmo. Elmo had items for resupplying hikers in the back of her SUV for a small cost and as I looked at the array of choices, there slightly hidden by 3 bananas was an orange! OMG, I bought it and an apple and happily carried the weight up the hill.
Today I learned about the different ""Blazes"": White Blazes mark the AT but there is also ""yellow Blazing"" that is when you use roads to skip parts of the trail. There are others that I'll have to look up: Red, Pink, Blue. I am also finding out I am not hungry for the food I brought- mainly soup. Pilot bread and peanut butter and honey sounds really good but I only have the pilot bread. Love the dried apples I made at my daughter's. Trail Magic has provided variety that is getting me through.","Hogback Shelter
",Bald Mountain Shelter,"May 01, Tue",10.50
Gouda Girl,https://www.trailjournals.com//journal/entry/592807,"Beautiful day, hot, ups and downs, not bad, I took frequent breaks. One was at Spivey Gap where there was this perfect oblong rock across a stream. I ate the orange I saved from Sam's Gap yesterday while sitting on the rock and soaking my feet. The climb up to High Rocks was brutal along with the downhill rocks but there were lots of waterfalls, birds, dwarf irises back in the landscape, MountainLaurel, Hemlock, and pines.  The water source was down a steep ravine and I had planned on filling up before I got to the Shelter but I didn't realize I was so close and arrived with what I had. 1 1/2 liters.
I was relaxing, reviewing my hike so far and the people I've met. I was the only one at the shelter at 4pm. Then Mt. Goat (yes long white hair and beard) and Ariel (worked at REI in Spokane) came in. Everyone was chatting and setting up tents, when around 7pm this skinny guy wearing flag shorts and a black T with head phones and a head lamp dangling around his neck and broken in tennis shoes strides into camp from the direction of Erwin. He dropped a pack, pulled out two foot long pork loins, bottles of sauces, and a bottle of alcohol. His companion pulled out a pineapple!  They rapidly assembled firewood, made a fire, reshaped an old grill that was there and began cooking the pork loin over the coals they made. Everyone watched in awe. No utensils, just two wood sticks to move and rotate the meat. They rolled cigarettes and told us they were cooking for a group that was on their way. Chop Sticks and Shadow were their trail names. The group didn't show by the time the first loin was ready so he offered it up along with the pineapple to all of us. It was delicious! Chop Sticks, we were told, was legally blind and paddled the Mississippi River last year. By the time the second loin was done to perfection  his friends had arrived. That was an amazing piece of Shelter Magic: Impromptu Luau.","Bald Mountain Shelter
",No Business Knob Shelter,"May 02, Wed",10.60
Gouda Girl,https://www.trailjournals.com//journal/entry/592808,"In the morning Mt. Goat said he was going down for water, and he noted that I was low, so he said he would bring me back some. The trail and wonderful fellow hikers will provide. With the water I received from him, I didn't have to stop until I got to Uncle Johnny's. 
The hike from No Business Knob Shelter to Uncle Johnny's was very nice and easy and there were some great views of the Nolichucky River. When I arrived there were tangerines sitting on the hiker table for the taking and I found size 7 Crocks in the hiker discard box just for me. I gratefully changed out of my hiking boots and slipped them on. Thank-you to whoever left them.  A free shuttle went into town at 2pm so I went in to get a few food supplies and 32 oz of orange juice. I thought I'd drink half today and half tomorrow........It was gone in 2 hours!
I woke each day on the AT to the songs of birds, the hammering of the woodpeckers and the hoots of owls. I'd learned to hang my bear bag the PCT way and learned not to put too many bags from one line or I wouldn't be able to pull hard enough to get them down. Also learned the term  ""in the economy"" meaning those individuals not hiking the AT.","No Business Knob Shelter
",Uncle Johnny's,"May 03, Thu",7.60
Gouda Girl,https://www.trailjournals.com//journal/entry/593090,"I was going to take a zero at Johnny's but I got to thinking about the 15 or so miles I was setting myself up  hike the next day. I decided not to zero and instead hike the short 5.6 miles to Curley Maple Gap Shelter. Many hikers stopped to have lunch and rest but continued on. There were at least 5 foot bridges over swift tumbling streams with waterfalls, moss covered rocks and over hanging vegetation tumbling their way down the steeply slopping hillsides. I almost walked over a rat snake making its way across the trail. I put my trekking pole right down by it's head before I realized what it was then, pulled back very rapidly! 
I was amazed at the number of hikers I'd seen smoking. My feet were still sore at the end of each day. I thought about those crocks I used at Johnny's and left behind. I changed food items at Johnny's adding tortillas, peanut butter, 2 tuna pkgs, 2 snickers, and 3 tangerines. I found I was only using my stove for hot chocolate or tea and not for cooking. There were no privies or bear cables at Curley Maple. Hanging my bear bag this time, I was able to get my limb in 3 tries! Note to self: the rock you tie your line to has to be heavy enough to actually bring the line down to you from the limb. I had to coax it down to a point where I could actually reach it!","Uncle Johnny's
",Curley Maple Gap Shelter,"May 04, Fri",5.60
Gouda Girl,https://www.trailjournals.com//journal/entry/593091,"Left Curley Maple by 7 am. The first part of the trail was undulating and pretty nice for longer strides and and making time. I hiked alone all day with only 3 hikers passing me. I found I liked it when I knew there were people behind me who would be passing me in case I found myself in need. It rained lightly as I ascended Unaka. I looked for the stand of Red Spruce at the top and was surprised to see a decorated Christmas tree. I found out later that it was a memorial put up by a father who lost his son. The day's hike was long and challenging, and I was so grateful that I had used my zero day to get ahead on today's mileage. It surprised me then to find all these hikers at the shelter when I arrived at 4pm. 
Tonight as I relaxed at the shelter, chatter was mostly about starting a blog about ""what hikers eat"" with suggestions of Spam & Mac & Cheese Tortilla wrap and the ""AT Slide"" which is Knorr noodles and sauce made with extra water, to which you add your favorite protein (tuna, spam), and mash potatoes. At 6:30 pm rain started in earnest. ""Now is when we see who won the lottery,"" someone in the shelter yelled, meaning we would see if the shelter roof leaks.  Nobody won.","Curley Maple Gap Shelter
",Cherry Gap,"May 05, Sat",12.20
