Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Happy & Yappy now Dorothy and Toto,https://www.trailjournals.com//journal/entry/600259,Finally starting my trip!  MD to Maine 12 hours - Maine to MD 2+ months.  Actually a very enjoyable drive - thanks Kel!,"Annapolis, MD
",Pamola Motor Lodge,"Aug 12, Sun",0
Happy & Yappy now Dorothy and Toto,https://www.trailjournals.com//journal/entry/600366,"Fun climb up a very rocky mountain!   Let me rephrase that, fun climb up but scary climb down and got many bruises and cuts.  Ate lunch at the top and watched about 10 NOBO finish their hike - loved feeling their excitement.  Even better got to go back to the hotel for a shower, real dinner with ice cold beer.  My pup isn't allowed in Baxter State Park which is the first 15 miles of the AT so Kel is staying with him in the hotel.   Something I forgot to mention, I did get lost coming down the mountain.  I was admiring the view and obviously could see the way down so I got off the path.  After taking a pic I looked up and followed the first white blaze I saw.  The path does go a little up and down in parts to make it easier but I did think I might be headed the wrong way.  Fortunately a guy was coming down and I asked him which way he was going.  He laughed and said down.  Ha ha.  Once I got to my car and headed out I realized I did not know which way to turn.  I got out of my car to ask the car coming in and then I see the nobo sitting on the side of the road.  Once again he laughed then asked if he could have a ride.  He hopped in and we laughed about my great sense of direction.  This was Tim's third thru hike once sobo and twice nobo.  He suggested two great stealth spots in the 100 mile wilderness.  He also made an awesome cold weather trick - carry a nalgene bottle and fill it with hot water before bedtime and sleep with it by your feet in the sleeping bag.","Katahdin Stream
",Katahdin,"Aug 13, Mon",5
Happy & Yappy now Dorothy and Toto,https://www.trailjournals.com//journal/entry/600567,"Great start with shuttles. I shuttled to katahdin stream and hiked the rest of the no dogs allowed part of the AT in Baxter State Park.  Realized when I got there I had forgotten my poles in Kels car.  Dummy but did find good sticks to use.  
Had some beautiful views.  Took a coffee break at toll dam a beautiful spot. Then came to little niagara falls which had rocks beat to look like waves (see pic).  Then big Niagara Falls.  Love walking by moving water!  
Kel drove to the end of the 100 mile wilderness and shuttled back to abol and met me at their restaurant right on trail.  She got there about 2 hours after me so I enjoyed a nice long lunch and break.  Originally we planned a 3 mile walk to the first shelter but was too early to stop. 
However when we were ready to stop couldn’t find any spots that weren’t taken for a good 2 hours.  Desperate at end to stop so decided to try the private campground.  (How can there be a private spot in the middle of the public ground.)  So beautiful!  But we were beat so set up quickly, ate and went to bed.  
Bad start to tenting for me though.  Didnt notice Rusty swimming and he came in the tent wet and sandy.   Ug!  Fortunately I brought a towel though.","Katahdin stream 
",Rainbow lake Private campsite,"Aug 14, Tue",19.50
Happy & Yappy now Dorothy and Toto,https://www.trailjournals.com//journal/entry/600568,"Beautiful morning! Sat in a lounge chair listening to birds looking out at the lakeI  Kel slept till after 9 so I had a great lazy mornings.  I can’t remember the last time I actually had a completely free morning with nothing I should be doing. 
The morning started with some really slippery muddy patches so we were even happier we stopped at the private site.  We would have had a very hard time last night being overtired and dark.   It was a pretty but muddy hike.  We appreciated all the stepping stones that had been put on the path.  As we were talking about it 2 people passed by and we told them how impressed we were by the maintainers of the path.  They happened to be volunteers so we got to thank them.  Also asked them how they actually moved the huge stepping stones - groups of 4 were needed.  What a great group!
We had thunderstorms and downpours off and on all day.  Poor rusty thinks that he needs to protect us from loud thunder so would run off barking at it.  I did put him on the leash for awhile so he didn’t run too much extra.
We learn new lunch gourmet from a nobo German hiker: tortillas, a block of cheese, pepperoni and thousand island dressing.  I appreciated learning that sharp block cheese does not need to be refrigerated.  He also said if his buddy wasn’t already named sticks that should be my name due to my stick poles.
Once again it was getting late and we were ready to stop.  We were hoping to find spots on top of the mountain and we found perfect spots.  Ended around 630 tonight so got to enjoy dinner overlooking katahdin.","Rainbow lake private beach
",Nesuntabunt Mt,"Aug 15, Wed",11.80
Happy & Yappy now Dorothy and Toto,https://www.trailjournals.com//journal/entry/600852,"Woke up to a beautiful sunrise over katahdin. Really enjoyed having service and catching up with people. I love hiking and having no schedule but definitely will miss Internet and tv. However the no schedule thing made a grumpy day of hiking as we didn’t get started hiking till 1045. I was suppose to wake Kel up at 9 but my phone died and i was enjoying stretching and just lounging and really had no idea of time. I’m quite good at doing nothing.Usually I assume 2 mph when backpacking but Maine is covered in roots, rocks, mud and water so we are much slower. The trail volunteers do a great job of laying down planks and stones but you really have to watch your step.Our first stop we made was at Nahmakanta lake to filter water. All of us wanted to swim but only rusty did. We decided our next stop for lunch would be a swimming stop but as we kept walking we realized we would be really late to our campsite. We only have food for 7 nights and there are no easy resupply places in the 100 mile wilderness so we do have to keep a schedule - bummer.It was a beautiful walk over looking lakes most of the time but still hard since we had to push. We did have a beautiful though brief stop at Pemadumcook lake and had the clearest view of Katahdin. We ended about 630 and stayed in our first designated campsite at the Potaywadjo Spring lean-to. It is a nice wooded campsite but there are other people here, we can’t see them but can hear them, so I have to really watch rusty so he doesn’t bark. We did have a nice night though looking at pics and deciding on a plan for tomorrow. I’m waking Kel at 730.Pretty sad but Rusty crawled in Kel's tent and really did not want to join me.  Kel's tent is smaller though so he should be with me plus I want him to be so I had to drag him out.","Nesuntabunt Mt
",Potaywadjo Spring lean-to,"Aug 16, Thu",12
Happy & Yappy now Dorothy and Toto,https://www.trailjournals.com//journal/entry/600853,"This morning wasn’t nearly as relaxing as the others. I let rusty wander as usual but he heard people so started barking, when we are walking he never barks at people however once we claim our spot he thinks he has to guard it. Rusty ended up crawling in Kels tent. I woke both them at 8 and we started hiking around 845. Our first stop was Jo Mary lake to filter water. Next was Antlers campsite for coffee and a snack. That would have been a great place to camp.Kels feet were really bothering her so we stopped at footbridge to fix her blisters which were huge - 2 she popped and bandaged. I am really glad I switched to Saloman trail shoes though I do have a couple small blisters.I feel bad for Kel because she is really ready to be done and we are less then halfway. We have no service so there is no way out. She is being good about it but just expressing her feelings. She is finding it tedious which I do understand. I’ll find out next week when I’m alone if I really do love it but right now I think it’s great.We stopped at a great lean-to Cooper Book Falls and were tempted to stay there and swim under the falls however our plan was for a spot past Crawford pond that would be on the water too and most likely be private, A nobo told us about it. We did enjoy meeting the 3 people that were staying there though. 2 were already thru hikers and the other had gotten hurt last year and was finishing this year. The guy was a nobo 2013 and trying a Sobo this year - Yay another Sobo and only the 2nd I’ve met. The 2 woman were nobo and were enjoying finishing the rest of the one woman’s hike from last year. Their advice was don’t forget to have fun.Fortunately we moved on because this spot is great. We had planned on swimming but the water and air were cold so just took a quick dunk to clean off. It really made us feel better. We had a nice dinner on the beach but ended quickly with the rain. Hopefully the rain stops before we wake up. It is nice to fall asleep to though. This really would have been a great day if Kels feet weren’t hurting. I like our many breaks.","Potaywadjo Spring lean-to
",.1 miles past the access to Crawford pond,"Aug 17, Fri",14.50
Happy & Yappy now Dorothy and Toto,https://www.trailjournals.com//journal/entry/600854,"Since we went to bed so early I woke up around 3.  It was still raining so I read in my tent for a couple of hours then fell back asleep until 7.  It was still raining so for the first time ever we had to pack up in the rain - no fun at all.  Kel bandaged her blisters and put on dry socks but then had to put on her wet boots and wet clothes.  It rained on and off most of the day so her blistered feet were wet all day.  Fortunately Rusty does not mind the rain or walking through water.  This was our hardest day too with many climbs; the downhills are actually the hardest part especially on wet rocks.  About 3:30 we stopped at the Carl A Newhall Lean-to for a snack break and to filter to water.  We met a flip flopper Bee's Knees and 2 others that were doing the 100 mile wilderness.  Pretty funny but the 2 that were doing the 100 mile had met Kel and Rusty at Shaws where Kel got her shuttle. They were just talking about Rusty and were wondering how he was doing.  They were very happy to see him enjoying the hike.  I would have been happy to stop there but Kel wanted to get over the next mountain today instead of tomorrow morning which was smart.  We did get a great view of Katahdin from halfway up the White Cap Mt and then were in the clouds on top of the mountain which was pretty neat.  
Unfortunately the downhill was slippery so we were very slow.  We did get to see the sunset on Hay Mt but then had to use our headlamps for the last mile to Sidney Tappan Campsite. We needed water so could not stealth camp.  I thought night hiking would be fun but it isn't with Rusty because he barks at noises at night.  Like Kel said it is good if he scaring off an animal but its not when going into a camp with others already sleeping.  Once I put him on a leash he stopped however it made walking harder for me and unfortunately it was on a rocky decline.
We got to camp after 9 and then had to set up wet tents and eat dinner quietly since we had many other campers nearby and already sleeping.  Not a fun way to end the day but we actually set ourselves up mileage wise for a nice 3 day distance to end the 100 mile wilderness.  For some reason Kel could not get her tent to stand up right.  I offer to help but she said good enough and crawled in to sleep.  Actually the wet tents ended up being fine to sleep in.  Both of our sleeping bags were wet but still cozy.  Not sure what happens though when its raining during set up.",".1 miles past the access to Crawford pond
",Sidney Tappan Campsite,"Aug 18, Sat",14
Happy & Yappy now Dorothy and Toto,https://www.trailjournals.com//journal/entry/600876,"Woke up this morning to everything still wet since it was a foggy night.  I did ask someone how to best deal with wet stuff and he said just pack it up and hope for a clear night to dry things up.  Kel's feet really look terrible but we have no service so really no way out - 37 miles to go.  She took care of her feet as best she could popping some and using moleskin.  Really an awful day for both of us.  She is in pain limping along and there is nothing I can do to help.  She now feels claustrophobic with the green tunnel trapping her inside and I feel like a drill sergeant.  Fortunately we have happy Rusty bouncing along looking back at us impatiently.  He surprised a hiker who was excited to see a fox until he realized it was a pup - part pom part fox!
We did take a nice break along side a running stream where Kel re-bandaged her blisters.  She did seem happier after that so I thought they felt better.  Then we got to a waterfall where the Gulf Hagas Trail intersects the AT.  Kel saw day hikers and realized she could get out.  She was so excited!!!
At first she was going to go alone and then meet me at the end of the 100 mile wilderness where we had hostel reservation for Tues and Weds night.  Instead I decided to go with her then she would bring me back to the parking lot Tues where I would then continue my hike and she would drive back to MD then FL.  I asked the first woman I saw if she could give us a ride until we could get service.  At first she looked surprised but then I explain to her that we were hiking the trail and Kel just needed to get off to take care of her feet.  As soon as she saw Kel feet she said poor baby and gave Kel some spray to help the pain.  We were so LUCKY!  They, Lindsey and Micky - mom and daughter,  were from Bangor ME and had came out here to hike the Gulf Hagas trail and just explore this area of Maine.  They take day trips with a destination in mind and then just decide where to go from there.  They have no definite schedule and just enjoy each others company.  Definitely fun caring family and really saved us.  They drove us directly to Shaw's Hikers Hostel where Kel had left her car.  All we did was say thank you.  I really wish I had gotten there full names and address but at the time was not thinking.  
Then we headed to the Lakeshore Lodge and Pub.  I hoped I could change my reservation to tonight and tomorrow but was unable to switch it.  We had driven through Greenville on our way to Shaw's so we headed back that way and found the beautiful Moose Mountain Inn.  We both took long wonderful showers and then headed to a sunset dinner at Kelly's Landing.  Had a great dinner and then watched TV in bed drinking Kim Crawford Sauvignon Blanc - such luxury!","Sidney Tappan Campsite
",Moose Mountain Inn,"Aug 19, Sun",7.90
Happy & Yappy now Dorothy and Toto,https://www.trailjournals.com//journal/entry/600963,"Great night sleeping in a comfy bed.  Started the day watching sunrise over Moosehead lake.  Then used my computer to update my blog.  Love my laptop so much better then my phone - so much easier to see.  Will be my last time using it though until I'm done my hike.  
Rusty was very happy to lounge all day with Kel.  About noon we left the hotel to do laundry and get lunch.  The laundry mat was family run with twins and their mom and was really a fun vibe.  Really enjoyed bumming around the town while doing laundry.  Then spent the afternoon at the hotel before heading out to Stressfree Moose Pub and Cafe for a great dinner.  Back at the hotel enjoyed watching Rusty doing tricks and watching Bachelor in Paradise.","Moose Mountain Inn
",Moose Mountain Inn,"Aug 20, Mon",0
Happy & Yappy now Dorothy and Toto,https://www.trailjournals.com//journal/entry/601210,"Kel dropped us off at the Gulf Hagas parking lot and Rusty and I started off.  Rusty trotted slowly behind me looking sad confused as to why we were not waiting for Kel.  It took a good 5 mins before he gave up and moved in front and looked happy.   
Perfect hiking weather.  Really enjoyed hiking today climbing many mountains and overlooking beautiful lakes.  Decided to stop for the night at what I thought was Long Pond Stream Lean-to at mile marker 99.4.   I changed my mind because it was a long hike down to get to it, my awol guide didn’t show tent sites and there was a stream coming up in a mile.    (My favorite camping spots are by running water.).   I get to the top of the Barren mountain in time to see the sunset - so beautiful.  ShaggyDog and Sally Forth were sitting up there admiring the view.  Shaggy Dog questions where I’m going since he had just come up the other way.   I told him I was going to stop at the last shelter but then decided to camp by the stream coming up.   He says the next spot is about 4 miles away down a huge steep decline.  He shows me his ap guthooks which shows the next water source.  I show him awol guide and he realizes I am completely wrong about where I am.  The lean to I just passed was Cloud Pond at the 95.4 mile marker.  Ug!  It was too late to go 4 miles so I head back with them to Cloud Pond.   We get there right when it’s getting dark so i get water, set my tent up and make dinner and eat in my tent.  Quiet hours are as soon as it gets dark.
In my tent thinking about the day I realized that means I averaged about 1mph today.  My normal backpacking speed is 2mph.  This terrain really is harder then anything I’ve done.  Worse is that because of my stupid mistake we got to camp too late and walked 2 extra miles.   I am getting guthooks next town day.   The positive was meeting great people.","Moose Mountain Inn
",Cloud Pond Lean-to,"Aug 21, Tue",10.70
