Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Judy W,https://www.trailjournals.com//journal/entry/589262,"I caught a ride from Delaware with my brother Paul, who will be hiking with me for a few days, and my sister-in-law Jan, who will be meeting us when she can where the AT crosses roads.The drive took us from the flatlands of Delaware and Maryland, through rolling hills in West Virginia and northern Virginia, and finally along what you could call really big hills or very small mountains. Pretty drive.We drove through Virginia on I-81, which must parallel the AT because we kept passing by towns that I’m planning to send re-supply boxes to. We saw a big forest fire near Montebello that looks like might be affecting the AT. I weighed my bag this morning with a week’s worth of fuel and 3 days of food but no water and it was 17 pounds, so I’m guessing my base weight is around 14 pounds. Very happy with that. Paul says his pack with water and 5 days of food was 29 pounds. Ugh!We stayed in Abingdon because it’s about 12 miles away from our starting point of Damascus. We checked into the hotel and then went for dinner. I chose this place called the Bone Fire Smokehouse after quickly glancing at Yelp and it turned out to be a lucky choice! They had a bluegrass band of young guys from Asheville, NC with an acoustic guitar, fiddle, mandolin, banjo and stand-up bass. The fiddle player had a long ZZ Top beard and it seemed like he had to bow across his beard when he was playing. The restaurant had all kinds and meat and 5 kinds of BBQ sauce, which isn’t my thing, so I ordered sides. Collard greens, pinto beans, broccoli salad, cornbread fritters and fried green tomatoes. Yum! Also had a honey cream ale from a brewery in Abingdon called Wolf Creek. Great food and music!",,"Abingdon, VA","May 04, Fri",0
Judy W,https://www.trailjournals.com//journal/entry/589267,"We had breakfast at the hotel and headed to the tiny town of Damascus, “the friendliest town on the trail”. The AT goes right through the town and I made Jan pull over when I saw a white blaze. She couldn’t figure out what I was talking about - she thought at first I meant the white Trail Days festival banner hanging across the street, then she thought I meant a white traffic sign, and then I showed here the rectangle painted on a telephone pole. She said “It’s so small!” and then, “I’m gonna take picture!” I wonder if it might be the beginning of white blaze fever for Jan?It’s so great having Paul to hike with, because first of all I would have headed off to Tennessee and not north, and also I’m not scared of bears the whole time.We started our first ascent out of town. We had had some pretty dire forecasts of thunderstorms for today but although we heard thunder fairly often, we only got sprinkled on a few times. The trees are leafing out, but there isn’t enough canopy for protection from the sun so I was glad we had cloud cover.After about 5 miles, we descended to a road crossing where we were supposed to meet Jan. She had a hard time finding us. She had the exact GPS coordinates but I guess she was expecting a trailhead sign with a parking lot, and although there was a small AT sign, you could easily pass it and not be aware that the AT crosses there. As she said, “I’m a city girl!” We had lunch in the car during the only real downpour of the day.For the next few miles, the AT runs along right next to the Virginia Creeper Trail which is a rail-to-trail bike trail. There were tons of people out biking and I was a little jealous of how flat their trail was and also how little they had to carry on their backs.We ran into a Ridge Runner (the Appalachian Trail Conference hires a few dozen each season to constantly hike back and forth across sections of trail to check on hikers and conditions). We also ran across several section hikers and a few thru-hikers. We talked to one thru-hiker who started in Georgia March 10 about what a rough spring the thru-hikers have had - snow, ice and cold. There was a family hiking the opposite direction with the parents and 6 kids, the oldest of which might have been 12. The kids were all well coached on trail manners - they each greeted me and wished me a good hike. Paul and I were both glad they were hiking the opposite direction because otherwise they probably would have passed us so we were spared that humiliation.One of the thru-hikers asked Paul how he was doing and Paul said it’s not as easy as it looks in the YouTube videos, which made the other guy laugh. Paul also is commenting on every uphill, but I sort of don’t notice. Partly because since my last section hike on the AT in 2012, I’ve done long hikes in the Sierra Nevadas, the Himalayas, and the Pyrenees, which have higher ascents. But I think it’s more that I’ve done enough long distance hiking that I’m mentally and physically accustomed to long long hours of doing something hard and miserable. And even though the AT doesn’t have as much elevation gain as some trails, you are always going up or down, just many times a day.Anyway, the afternoon was a long ascent with lots of switchbacks. I thought Paul would be excited when we got a sign that said Saunders Shelter was in a quarter mile, but he just said in his usual deadpan way “I thought you were going to say you want to go to the next shelter” (6 miles away, also on the sign). That’s how I knew he was really OK.We got to the shelter but set up our tents on nice pine needle carpets. I usually prefer my tent over the cramped shelter with all the mice and snoring.One man complimented my bright gaiters and I said since you look at your feet a lot, you might as well have something that cheers you up. Another hiker (who also has Dirty Girl gaiters) said some people like to get them with the pictures of French fries and pizza. We both agreed that this is a mistake.After we set up our tents, we got water (spring a quarter mile away *sigh*), and made dinner. Paul hung our food bags from a tree in a nifty PCT bear hang that I have to have him teach me.I was all settled in my tent when the wind started to pick up and the thunder got closer. We had a terrific stormy downpour for about 20 minutes but Paul says his new tent did fine.It ended up that there are 4 guys in the shelter and 2 other people tenting here - a mix of section hikers and weekenders. I just heard allthis banging and commotion from the shelter - I guess the mice have made an appearance!Now for Paul’s take on the first day of hiking:5/5/2018 From: 469.9 Damascus, VA to 479.6 Saunders Shelter
For a first day on the trail, this was different than I was expecting.  I think I wasn’t too surprised by the ups and downs but the rock obstacles on the trail were somewhat unexpected.   I had heard comments in a number of the AT vlogs that people don’t tend to film the tougher terrain (preferring to video on the flat smooth sections) because you really have to concentrate to avoid tripping on rocks and roots.  I appreciate that better now.  I was down in my sleeping bag at about 1900, but didn’t get to sleep for another three hours.   I was totally OK with that.  Nice to just relax and watch/listen to the thunder storm roll in.","Damascus, VA
",Saunders Shelter,"May 05, Sat",9.30
Judy W,https://www.trailjournals.com//journal/entry/589626,"6:00 am coyote wake-up call - they must have just killed something or were fighting. What a racket!At breakfast, one older section hiker announced he had left his breakfast in Damascus, and asked if anyone had any extra food. The weekenders gave him cherry Pop tarts, a freeze-dried dinner, two gallon ziplocks of Cheerios, and a packet of tuna. Score!We had lunch at Lost Mountain Shelter. Then we trucked it through cow pasture in the rain to meet up with Jan at a road crossing. We turned on the heat and waited out a shower.We didn’t have good options for shelters - either 6 miles or 18 miles. I had previously decided we should camp on Whitetop Mountain because there were campsites and a spring there. The walk up was rainy and windy and I was really cold. When we got to the spring, we starting setting up our tents but my hands were too cold. I put on all the clothes I had and felt much better. Two hikers came to the spring and said there were campsites across a parking lot, so we followed them. The sites they showed us were better sheltered from the wind but it is really cold. I am emptying stuff sacks to put on my hands and feet. I made a hot water bottle using a Smart Water bottle - it kinda deformed but didn’t melt.Again here is Paul’s notes:5/6/2018 To: 491.9 Whitetop Mt. Rd. Campsite
Looking at the trail guide this looked like a fairly benign morning but by the time we got to the shelter for lunch I was pretty tired.  Not much interest in eating anything, but I knew I needed to eat something.  Probably the previous day was catching up with me as well.
We crossed a pasture with some rather large beef cattle munching on grass. They weren’t much interested in us, but I still tip-toed past them.  Well maybe, tip-toeing around the cow pies too.  These were Costco-size cow pies.
Jan met us in the early afternoon at a road crossing just as the rain started to dump.  We got a 15 minute break or so, but had more miles to do, so back into the rain.  At least we had some cover from the woods.
The afternoon with a long uphill at the end of the day (in the rain) that made it that much tougher.  I was pretty beat in the afternoon – sort of getting to the point of being “stupid tired”.   I was mentally counting out hiking stick stabs to keep moving; 27, 28, 29, what comes after 29, oh 40, I’m good, 41, 42, 43…  I can understand how people get to a place of making mistakes.
We were in the clouds at Buzzards Rock.  Probably would have been the best view of the trip, but at least we got a couple of minutes to look under the clouds and see the valley.
We made it to Whitetop Mt. and found two campsites next to the spring.  After setting up out tents, Judy thought it would be best to move.  A couple of other hikers came down to use the spring and told us that there was a campground just up the road.  Maybe that is what Judy had in mind.  It was a good move since the campground was less exposed and the wind during the night was fairly strong.  The weather cleared enough for us to set up again and make dinner.","Saunders Shelter
",Whitetop Mountain,"May 06, Sun",12.30
Judy W,https://www.trailjournals.com//journal/entry/589625,"Wow really cold! I don’t have a thermometer and haven’t had reception to check the weather, but I’m guessing that it was upper 30s.My hot water bottle did not work so well - the top came unscrewed and dumped water on me. I don’t really have the gear for this weather - I have a summer quilt that’s rated to 40 degrees and only comes up to my shoulders. The thing that made sleep possible wasI put my poncho over my head and shoulders. Finally got to sleep and woke up to sunshine at 7:15.In the morning, two hikers coming up said there was a treat at the next road crossing, which I took to mean there was trail magic!It was unbelievable - über trail magic. It was put on by three couples who were friend with one of them who had hiked the AT in 2014. They had chicken salad sandwiches, pasta salad, green salad with toppings, orange juice, beer, chocolate milk, apples, oranges, bananas, strawberries, and lots more. Then they had stuff for hikers to take - tea, coffee, and drink mix packets, ziplocks, Payday bars (which don’t melt like other candy bars), Oreos, Wet Wipes, and entire backpacking meals.It was really welcome, but I feel kind of bad that these people spent thousands of dollars to give free food to hikers that aren’t really people in need. But for all I know, maybe they do stuff for people who really need it.We saw some of the wild ponies that this area is known for. When we got to the Thomas Knob Shelter, there were ponies just expectantly waiting for us. I thought they were looking for snacks, and one ran up to Paul after he took his phone out of a ziplock, but turns out they just wanted to lick sweat off us. They really went to town.We had foresty walking with flowers in the understory but also meadows with vistas. The trail near Mount Rogers was super rocky and required some scrambling. As another hiker said, “What sadistic person made this Trail?”We heard thunder throughout the late afternoon and then finally there was lightning and big rain drops. But we made it to the shelter before the storm!Tenting is not allowed in the Grayson Highlands State Park so there are 7 of us in this 8 person shelter. If there were 8, we would be squished like sardines, but it isn’t so bad.Here’s what Paul had to say:5/7/2018 To: 503.6 Wise Shelter
This was a pretty eventful day.  After a 2+ hour hike to Elk Garden where the AT crosses VA 600, we walked out of the woods into a pretty spectacular Trail Magic.  I had a great chicken salad sandwich on a croissant, Utz cheese puffs, and an orange juice - although they were offering beer.  (I later found out that someone had already taken them up on that at 0930.)  It was really great to sit in a chair and catch a break.
On the way up to Thomas Knob shelter, we saw some wild ponies off in distance in some really nice open fields.  Approaching Thomas Knob shelter, I heard a number of human voices laughing – I figured there must be some ponies at the shelter.  Sure enough, there were four ponies right at the shelter including a mare with her new foal.  The mare kept her distance which we respected.  We sat on the edge of the shelter and the other two ponies came up to us and licked the salt perspiration off our arms and legs.  It was pretty much unavoidable.  I guess they figured we were mobile salt licks.  After getting some more water at the spring by the shelter we moved on.  Pretty much impossible to eat lunch at the shelter, so it was good we had something at the trail magic earlier.
The afternoon was pretty tough with a lot of rocks to climb and maneuver around.  Some pretty tough trail and it was hard to make distance at times.  We were somewhat exposed and the occasional thunder in the background was enough motivation to keep moving to get back undercover. 
We made it to Wise Shelter and we were number 6 and 7 into an 8 person shelter.  I was nervous about the prospects of getting into the shelter given the time of day and given that there is no camping in the Grayson Highlands State Park.  After about a half hour of arriving the rain let loose so it was good to have a roof over our heads.  I was a little worried about staying in the shelter.  I didn’t want to be the old guy who snored all night.  I asked Judy about it in the morning.  She said “Well it was sort of a snorchestra with everyone contributing.”   I heard some of it but it wasn’t too bad.","Whitetop Mountain
",Wise Shelter,"May 07, Mon",11.70
Judy W,https://www.trailjournals.com//journal/entry/589627,"Another really cold night - not the best sleeping. I was awake for a few hours in the middle of the night, shivering and listening to the snorechestra. (I snored myself awake so I can’t point fingers). But I was lying down for almost 12 hours so it’s not surprising I was awake a lot. A sunny morning. We were supposed to meet up with Jan at a place called The Scales but the road was a really rough 4WD road so we figured she wouldn’t make it. So we continued to Old Orchard Shelter for lunch. We crossed VA 603 where Jan went to try to meet up with us, but she got there after us. We finally got cell reception and got in touch with her. But I guess she was asking hikers if they had seen us because several told us they had seen her and she was looking for us. The best comment was this guy “Are you Paul? Your wife says hi”.Several thru-hikers have been here - some just for dinner, some staying. There is a Finnish couple, an Indian guy, an American woman, and a few American guys. Right now the Finnish woman is giving the Indian guy his first massage. She just asked him “Do you feel like a white lady now?”What do you want to add, Paul?5/8/2017 To: 514.5 Hurricane Mt. Shelter
We hiked out of Wise Shelter in the morning and I got a wiff of a cell phone signal.  I called Jan and she offered to meet us at The Scales (a corral area that I heard was supposed to be a nice area to camp).  Apparently people use this area to car camping as well.  On the way up to The Scales, we walked through a cattle grazing area.  Judy stopped up ahead and commented about the steer with horns – you know the type of horns that Texans put on the front of their Cadillacs.  Judy said “Do you see the cow up ahead with the horns?”  I said, “No, I see the three cows with horns.  Look to your right.”  Judy is such a polite hiker.  She offered to let me go first.
I had learned a few of the hiker etiquette rules; hikers going uphill have the right of way, slower hikers give way to faster hikers.  Apparently, there is another one – the older brother gets to walk past the steer with Cadillac horns first.  One crossed the path in front of me.  I waited until he passed.  Good thing they were pretty mellow.
We made it to The Scales, but no Jan.  I looked for the road expecting to see a paved country road but all that was there was a rutted one-lane Forest Service road.  We waited a while for Jan, but figured (hoped) that she realized the road was going to be tough passage.  No cell signal, so tough to communicate.   I spent the next several hours worried that Jan was upside down in a ditch off that road.  I got a text late in the afternoon (which I didn’t realize until later) saying Jan would meet us at another location (Fox Creek) around 1500.  Unfortunately, the trail had been pretty good and we went through there about 1415.
Jan got to meet a lot of thru hikers at Fox Creek and was asking whether they had seen us.  After we got to Hurricane Mt. Shelter, there was a parade of thru hikers coming in passing the message that Jan had been looking for us.  I finally had a good cell signal at the shelter and texted Jan, but she was in a location where she couldn’t receive, so it wasn’t until she went back to town that we were able to communicate back and forth.  Jan also got to meet the legendary Trail Angel Miss Janet.
One of my concerns that I would get the trail name “Silver Alert”.  I came close I think.","Wise Shelter
",Hurricane Mountain Shelter,"May 08, Tue",10.90
Judy W,https://www.trailjournals.com//journal/entry/589934,"Not quite as cold last night. Woke up to a view of the sunrise from the shelter. The thru-hikers were all psyched to go to Partnership Shelter which is near the Mount Rogers visitor center that has a phone to call a pizza joint that will deliver to the shelter. That shelter is 20 miles away which is beyond my ability.A sunny morning walk to Dickey Gap. Right before the gap, “Daypack” was re-stocking coolers with Trail Magic. He was a 70-ish guy who has thru-hiked the AT four times and plans to do his fifth and final thru-hike next year.We got to the parking lot before Jan and we were talking to a woman in a van who, like so many people, had talked to Jan yesterday. She asked the normal questions like “Are you thru-hiking? How far are you going?” When I said I was going to Waynesboro, she asked if I had a phone so she could give me her number. I asked her what her name was and she said “Miss Janet”. Paul and I were awestruck - Miss Janet is a legendary Trail Angel. She gave me her number so if I ever needed help I can call her.Jan drove up - yay! Turns out we passed the Fox Creek parking lot at 2:15 pm yesterday and she got there at 2:30 and waited for us until 7. She had funny stories about what she learned about AT hikers. For example, someone had left a bag of Trail Magic hanging from the trailhead sign. Since hikers try to avoid taking off their backpacks whenever possible, a young woman hiker asked Jan to stuff the things from the Trail Magic into her backpack for her. And one hiker peeled the clementine Jan gave him and asked her to take the peel (hikers love getting rid of their trash at every opportunity). She said she walked up to a hiker to give him a clementine and had to take a step back because of the hiker stink.I was trying to find a campground where we could take showers and Jan already knew where it was. I asked the campground host about showers and he had to go with us to the self-pay station to find out how much it was ($2). Then he said to put the payment in an envelope and slip it in the slot. Then he walked away - didn’t seem much to care if we paid the proper fees or not. But he did come back to tell me how to rig the women’s shower to stay on longer. Even though I had to put my dirty clothes back on, the shower felt good.Miss Janet had suggested the town of Marion for lunch, and Jan knew just where to go. She was a fountain of knowledge about the area like how Hungry Mother State Park got its name (sad story that ends people finding the mother starved to death by a creek and the child next to her saying “Hungry, Mother”.We went to Subway for lunch and then we drove back to the AT. Paul gave me some stuff like his bear bag kit, K2 tape, and pita bread (my tortillas had gotten moldy). He helped me back-flush my filter because the water source at Wise Shelter was just a algae leaf-sludge puddle and my filter was all gunked up. It was so great having Paul as a hiking partner and Jan as our personal Trail Angel.After a 4 mile walk on a sunny afternoon, I got to Trimpi Shelter before 4 pm. It seemed like a shame not to walk further but after sitting and chatting with Jeremy (he is a section hiker from Albany, NY) who started the same day from Damascus), I got too lazy to move on. We were joined later by three thru-hikers and two women who are out for a couple days. One of the thru-hikers has a black T-shirt with a swirly pattern made by the salt from his sweat. He has a hickey on his arm from an over enthusiastic pony.I tried to hang my food bag myself but just am a terrible thrower. Jeremy helped with the throwing and I did manage to get it in the PCT hang Paul showed me. I was so proud I took a picture. Last time I took a picture of a “great” food bag hang, a bear took all my food so I hope I have better luck this time.We are all tenting (or hammocking) since the weather is nice.Here are Paul’s final notes on his final day:5/9/2017 To: 519.6 Dickey Gap (AT crosses VA 650)
Finishing out with a 5 mile hike to Dickey Gap.  Trail was pretty good and I think knowing that I was nearing the end was a bit of a boost.  I kept worrying that maybe the hikers wouldn’t end up at the same location as Jan for a pick-up.  We would have been SOL since there was zero cell signal.  Ten minutes after we arrived at Dickey Gap, Jan showed up and we got showers and lunch.  I had been craving a fountain Coke, even though I hardly drink much soda anymore.  We drove Judy back to the trail and hung around for a few minutes in case she had remembered something that she left behind.  In matter of seconds she was gone into the woods.  It was great to hike with Judy.  She just goes and doesn’t stop much for breaks even on the tough uphills.","Hurricane Mountain Shelter
",Trimpi Shelter,"May 09, Wed",9.30
Judy W,https://www.trailjournals.com//journal/entry/589935,"My food was there in the morning!I decided to do a big push today because I have a resupply/laundry day tomorrow. Instead of getting in late in the day and rushing around, I can get my stuff done and then have time to relax. The place I want to stay has a hot tub, so I definitely want time for that!I made good time in the morning - nice weather and trail. When I would start to lose focus, I would walk to the mantra of HOT-TUB HOT-TUB. Lots of hikers on the trail rushing to Partnership Shelter to get the shuttle to Marion for re-supply.I arrived at Partnership Shelter and asked where the water was. Usually it’s a spring or creak but was told there was a sink behind the shelter. I wasn’t sure whether or not they were pulling my leg but there actually was a sink with running water. There is also a shower (cold) and a second story. I had lunch and continued on. I lost steam in the afternoon but knew I had enough time. The trail was too rocky for me to use my mantra.Every so often a thunderstorm would threaten, and then either rain a few drops or dissipate. When I was a quarter mile from the shelter, there was thunder and lightning, and when I spotted the shelter the storm really hit. I rock hopped across the stream and ran up to the shelter. There were three guys in the shelter and I told them I was just a little too late! Then the storm picked up even more, and hail started. So maybe my timing wasn’t so bad after all. Then we had blue skies again in about 20 minutes.I hardly saw hikers in the afternoon and was thinking I would have the shelter to myself. I’m glad I’m not - too creepy. Here in the shelter with section hiker Tortoise, who was in the Saunders Shelter my first night (he asked how Paul liked his hike), and 3 thru-hikers Steady, Boxcar, and a third guy who just showed up a short while ago. This third hiker said he had literally no camping experience before the AT. His first night he saw a food bag hanging from a tree and didn’t know what it was. He is averaging about 25 miles per day so he has really found his metier. We have a really loud stream in front of the shelter - I love falling asleep to the sound a water.","Trimpi Shelter
",Chatfield Shelter,"May 10, Thu",16.80
Judy W,https://www.trailjournals.com//journal/entry/589962,"AT lingo lesson: when a hiker has a rest day and does zero miles on the AT, it’s called “taking a zero”. When a hiker does less than 5 miles, it’s a “near zero” so it’s called “taking a nero”. So I took a nero today. 
As I did my short morning walk, the bird song was gradually drowned out by the siren call of I-81. I picked up my maildrop from The Barn restaurant and had breakfast there. Boxcar was there and has some calf issues. The Finnish couple were there too and narrowly missed the rain last evening by hiding out in this old schoolhouse that is now a museum. 
Then I walked up the road and just as I was turning into the driveway of the farm, this guy pulls up and asked if I just got off the AT. It turns out it was Jeremy’s dad and there is a problem with Jeremy’s anti-seizure medication, and they haven’t been able to get in touch with him. I went with the dad to show him where the trail markers are where he could leave a note and made some suggestions where they might be able to find him. Yikes!
I waited with an orange tabby at the farmhouse until Ken showed up. Then a leisurely afternoon of showering, doing laundry and re-packing my stuff. In addition to alpacas, there are hens, 2 cats and 2 dogs. I had set my tent up with the rain fly up but then a thunderstorm passed over and I had to get it in place again. 
Cindy, my hostess, drove me a quarter mile to a Mexican restaurant. Miss Janet was there with a Filipino guy that I heard she is slack-packing all the way to Maine. She remembered me from the other day. 
I went to the Relax Inn to put some of my extra food in the hiker box. I have PB&J for my lunches but couldn’t find tortillas/bread at either of the two gas stations here. Found a pack of whole wheat tortillas in the hiker box! I saw Boxcar there and he is taking a couple zeros (see lingo lesson above) in the hope of letting his calf heal  
The hot tub is covered and at this point, I’m so happy to be clean and wearing clean clothes I don’t even care. And to think the hot tub was what I was dreaming about on those chilly nights!In my tent listening to the drone of the interstate. Kind of like a mountain stream?","Chatfield Shelter
","Long Neck Lair Alpaca Farm, Rural Retreat, VA","May 11, Fri",4.60
Judy W,https://www.trailjournals.com//journal/entry/590465,"I walked down to the Sunoco to pick up the trail and get a canned Starbucks drink. My bag was SO heavy. I sadly decided to lighten the load by sacrificing my favorite Whole Foods cranberry trail mix and my favorite Trader Joe’s sesame covered almonds. I left them on a bench outside the gas station so maybe a hiker would take them.A short walk under I-81 and back into the woods. I came upon a clearing with a privy and a picnic table that Steady was sitting at. Looking more closely, I could see the site formerly had a shelter. Steady had spent the night camped there and since there was LTE phone service, he sat at the picnic table, watching videos and eating Frosted Flakes out of the bag. See, even on the AT you can be a couch potato!Shortly before lunch, I passed a sign marking the end of the first quarter of the trail for the north-bound thru-hikers.The afternoon was really hot. A lot of cow pasture and stiles. I didn’t see many hikers and was surprised to see no day-hikers at all on a Saturday. I guess the Mt. Rogers/Grayson Highlands area we just passed is more popular for that.I just got slower and slower with the heat. Finally made it to the shelter at 7 pm and didn’t get dinner and chores done until after 9. There are 2 other hikers in the shelter with me, another one tenting, and Steady had hung his hammock. They were talking about their 25-35 mile days and their gym workouts - yawn.","Long Neck Lair Alpaca Farm, Rural Retreat, VA
",Knot Maul Shelter,"May 12, Sat",15
Judy W,https://www.trailjournals.com//journal/entry/590467,"I was looking forward to an easy 9.4 mile day, but it was so hot it wasn’t easy at all. I checked the weather and it said the high was 82 degrees but it felt much hotter.I found a nice deep creek and spent some time wading - so great especially as I’ve developed a heat rash on my ankles and calves. I ate my lunch as my feet dried.Then it was a 2,000 foot climb over 4.7 miles. I kept stopping in every spot of shade to rest. About half way up, I just lay in the middle of the trail. What am I going to do when it’s really hot?1.8 miles before the Shelter was a spring-fed pond. I stopped there and filtered some water - cold and delicious! I also dumped some on my head. It gave me enough relief to make to the shelter (at 4:40 pm - my easy walk took all day!)The shelter is a former fire warden’s cabin made of stone with a field in front where I set up my tent. A great view of the valley below which is some kind of unusual limestone sinkhole.When I got out of the shelter last night, the stars were so bright but my view was obscured by trees. I figured I would roll back my rain fly here for good star viewing, but wouldn’t you know it, the temp really dropped after the sun went down. I have half the fly open and can always close it if I get too cold.Several tenters and a loud talkative group in the shelter.","Knot Maul Shelter
",Chestnut Knob Shelter,"May 13, Sun",9.40
