Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Living Proof,https://www.trailjournals.com//journal/entry/593117,"Day 1
Parking lot 1457.2
St. John ledges 1472.2
Total miles 15.0
  My son Andrew was kind enough to let his mother sleep in on her 19th wedding anniversary and made the 70 minute drive with me to the trailhead.  I was able to start hiking by 8am.  The first couple hours were flat and cool and I was feeling great.  However with temps in the mid to high 80’s and throw in some elevation, I was soon suffering.  I played tug of war with heat exhaustion from 11-6.  Needing extended breaks to lower by body temp and slow my breathing.  I walked in the morning with a section biker named sister from New Jersey.  She decided to slow down though, then I met a man from Japan who was visiting to do a 100 mile section hike.  He seemed to hurting worse than me.  At ct341, I met energizer bunny, a Scotsman that did 1400 miles last year and was looking to finish this year.  Unfortunately the heat was really effecting him and he needed to get into Kent for some r&r.  I stayed with him until he hitched a ride.  From 341 to the St. John ledges was a death march.  I saw several younger thru hikers, only caught one’s name, landfill.  I had intended to push a bit further but there is very steep boulder descent after the ledges and I was too spent, so it will be saved for the morning.  Hope it’s a bit cooler tomorrow
Living Proof","Parking lot near NY/ct border
",St. John ledges,"May 29, Tue",15
Living Proof,https://www.trailjournals.com//journal/entry/593118,"Day 2 
St. John ledges 1472.2
Sharon mt. Campsite 1487.8
Daily miles 15.6
  I was up early as the songbirds woke me at 4:30ish am.  On the trail by 5:15 and an immediate steep descent from the Ledges, but I managed just fine and enjoyed a nice flat section along the Housatonic river, which made for some nice easy miles.  A trail first for me was using bug spray as I was swarmed with mosquitoes along the river, turns a little deet can be a lifesaver.  After still feeling the effects of heat exhaustion the day before, I hiked down rt 4 to a gas station to consume two large powerades in the shade for an hour.  The rest of the day went well, I hiked with stillbill off and on for a bit, who just returned to the trail after ending a thruhike attempt in ct last summer.  It seems I’m stuck at a 15 mile a day limit atm, until I build my endurance.  I’m very happy to be at 15 a day though given my current fitness level.  My biggest issue  atm is some fairly severe chafing in my groin region, I’ll leave it at that.
Living Proof","St. John ledges
",Mt. Sharon campsite,"May 30, Wed",15.60
Living Proof,https://www.trailjournals.com//journal/entry/593119,"Day 3
Sharon mt campsite 1487.8
US 44 1500.4
Daily miles 12.6
   I’ve decided my chafing issue requires a couple days off, not to mention my calves and quads are beyond sore.  I coordinated a pick up in Salisbury for a couple days at home to heal up.  On trail by 5:15 again I only had one decent ascent, which I managed surprisely well, although the cooler temps should get the assist there.  I hiked a good bit with an older flip flopper named do right from Virginia.  It does make the time go by to some conversation on occasion, giventhat I hike mostly alone.  It’s especially helpful when physically struggling.  I hiked into Salisbury with do right and proceeded to eat a bunch of town food.  
Living Proof","Mt. Sharon campsite
",US 44,"May 31, Thu",12.60
Living Proof,https://www.trailjournals.com//journal/entry/593121,"The downside of starting a thruhike with larger mileage days is that parts of your body simply aren’t prepared.  This year I’ve suffered some significant chafing resulting in some raw flesh in areas that that I’ll leave to your imagination.  That given, I’m home to heal before continuing on.Living Proof","Home
",Home,"Jun 01, Fri",0
Living Proof,https://www.trailjournals.com//journal/entry/593122,"Still home, chafing slowly healing.  Suffered some significant abdominal pain today, not quite sure what’s that’s about.
Living Proof","Home
",Home,"Jun 02, Sat",0
Living Proof,https://www.trailjournals.com//journal/entry/593123,"Another zero today.  My abdominal issues have gotten worse today, I’ll probably pay my doctor a visit tomorrow.Living Proof","Home
",Home,"Jun 03, Sun",0
Living Proof,https://www.trailjournals.com//journal/entry/593124,"Yet another zero and a trip to my doctor. With abdominal pain for the third day straight, I got in to see my doctor.  He thought my symptoms may be gallbladder related, which would have been a hike killer, however, after a ultrasound, it appears all my internals organs appear normal.  Doc told me start a month of Prilosec, hypothesizing a ulcer could be the cause.  Fingers crossed the discomfort will lessen soon.Living Proof","Home
",Home,"Jun 04, Mon",0
Living Proof,https://www.trailjournals.com//journal/entry/593125,"Ok, my abdomen is feeling better today and my chafing is greatly improved.  Planning on heading back up to Salisbury in morning to get back on the trail.  Living Proof","Home
",Home,"Jun 05, Tue",0
Living Proof,https://www.trailjournals.com//journal/entry/593507,"Day 9
US 44 Salisbury 1500.4 to stealth camp West rd 1521.0
Daily miles 20.6
  Wow, long day!  My wife, Kathleen drove me out Salisbury this morning and I was hiking by 7:30am.  The weather was perfect!! I may be a very long time before a get a day like today weather wise.  It was 52 when I started hiking and stayed very cool well into the afternoon.  I hiked up bear mountain with undertow, a flipflopper.  After bear came mount race and them mt Mitchell, and then ended the going up my bushnell.  The last mountain want in my original plans but I reached my destination for the day at 3:45 due to the cool weather.  I promised Kathleen not to overdo it, but that just wouldn’t be me!  I pushed on, but soon I was have trouble finding water and a place to camp.  Finding both these things was a must, so the miles just kept adding up.  Finally I managed to find something more than a mud puddle and I’m camped as discreetly as one can be in the corner of a open field.  Mosquitoes were really bad last hour of hike and setting up camp.  Bug spray is effective, but think i missed my head, and they got my a good 15-20 times through my hat.  Also like to mention a section hiker named blackberry, who has section hiked everything south of where I met her.   This is her 8th section hike!  Very tired, time some tunes then bed.
Living Proof","Salisbury US44
",West rd,"Jun 06, Wed",20.60
Living Proof,https://www.trailjournals.com//journal/entry/593508,"Day 10
West rd 1521.0 to Shaker campsite 1539.3
Daily miles 18.3
  I slept late today after pushing it a bit far yesterday and because it was quite chilly!  I had to put on additional clothing at 2:30am.  It was cool and overcast till 11am, which was nice. My left shin was tight today, so I consciously hiked slowly, trying not to further aggravate it.  It appears I’m in the midst of a mini bubble of late feb. hikers from Georgia.  My campsite is totally full and it’s only 6:30.  Highlight of the day was seeing my first wild porcupine, little guy only feet from me right off the trail in some brush.  Anyway, very tired and sore, but tomorrow looks super flat, so that should be nice.
Living Proof","West rd.
",Shaker campsite,"Jun 07, Thu",18.30
Living Proof,https://www.trailjournals.com//journal/entry/593509,"Day 11 
Shaker campsite 1539.2 to October mt. Shelter 1558.0
Daily miles 18.8
  I tried not to wake all my campsite mates, but it’s really hard being quiet in the woods!  I was hiking by roughly 5:30 and made 10 miles and goose pond cabin by 10:30 am.  Unfortunately, I hiked a bit too fast and upset my feet a bit.  Stopping at goose pond cabin for lunch was a mistake. .5 mile side trail, strike one.  Taking water from a cooler with bleached water and taking a big swig, strike two.  I would have been better off just lunching on the I-90 overpass, oh well.  On the upside, I did a big black bear right on the trail.  After seeing hundreds of chipmunks a day seeing a wild animal the size of adult male black bear is still a bit startling.  The afternoon looked flat, and it was but very rocky and rooty, which made for less than ideal hiking. I stopped at October shelter, just totally exhausted.  These past days of 18-20 miles are a bit much and my body is trying to get me to slow down .  It’s still super early in day, but literally can’t go on.  Sleep by 6 pm tonight.
Living Proof","Shaker campsite
",October mt. Shelter,"Jun 08, Fri",18.80
Living Proof,https://www.trailjournals.com//journal/entry/594349,"Day 12 
October mt shelter 1558.0 to crystal mt campsite 1574.0 
Daily miles 16.0 miles
   Today was a town day!  I was hiking by 5:30am, but promised myself to hike slowly as my body is sending me signals that I need to slow my pace and daily mileage.  It was 11 miles to dalton ma. I made it their by 11 am, as the terrain was mostly flat and forgiving.  Once reaching town I made for breakfast at a restaurant on Main Street.  Two eggs, hash, home fries, bacon, Texas toast and three ice waters! I proceeded to the public library to charge my phone, call home and put my trailjournal entries in.  After that i hit Angelina’s subs and had a foot long pastrami sub.  Left town about three and got to campsite about 5.  This site is fairly elavated so I’ll be falling asleep to the sound of breeze blowing through the treetops.
Living Proof","October mt shelter 
",Crystal mt campsite,"Jun 09, Sat",16
