Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Lotus,https://www.trailjournals.com//journal/entry/587942,,,View Entry,"Apr 25, Wed",0
Lotus,https://www.trailjournals.com//journal/entry/588093,,"Besides that just have some fun on Luke's last day. Drove an hour and 45 minutes south back 2 Maccabees notch but it's knob. Got a little overwhelmed 
",View Entry,"Apr 26, Thu",8
Lotus,https://www.trailjournals.com//journal/entry/588139,"Thurs Day 73 4/25 I'm very controlling being that was letting Luke's last day I want to do something it was fun. So when we came off the mountain on Sunday they predicted a sunny day for Thursday. I chose to go down an hour and 45 minutes 2 Maccabees knob. I got a bit overwhelmed driving down looking to my left at the Ridgeline that I have walked the last couple weeks. When you're just doing 20-25 miles a day it doesn't seem that far. When you drive an hour and 45 minutes and look at the mountains that go on and on and on it seems like a pretty far distance. So far I walked 880 MI. That's starting to seem like a long way. I really only looked at this as one day hiking. Set a goal, hike for the day, eat, and go to bed. Really quite a simple short-term situation. It did seem like a long way to drive. We had a nice four mile hike up to Maccabees knob. It was a perfect day weather wise. We spent an hour at the knob. We took a lot of photos. It's a very impressive place. We met 6 other thru-hikers there.  The views are really impressive. Got back to the hotel at 6 did laundry packed watched the draft, and went to bed.","Th 311 parking
",McAfee knob,"Apr 26, Thu",8
Lotus,https://www.trailjournals.com//journal/entry/588938,"Thurs Day 73 4/25 I'm very aware of it being Luke's last day. I want to do something that was fun. So when we came off the mountain on Sunday they predicted a sunny day for Thursday. I chose to go down an hour and 45 minutes to McAfees Knob. I got a bit overwhelmed driving down looking to my left at the Ridgeline that I have walked the last couple weeks. When you're just doing 20-25 miles a day it doesn't seem that far. Just get up do your hike get your water eat and go to bed . It's a Small World . When you drive an hour and 45 minutes and look at the mountains that go on and on and on it seems like a pretty far distance. So far I walked 880 MI. That's starting to seem like a long way. I really only looked at this as one day hiking. Set a goal hike for the day, eat, and go to bed. Really quite a simple short-term situation. It did seem like a long way to drive. The enormity of what I'm doing started to set in. This is a long hike. I mean this is a journey. It'll probably take 24 hours to drive from Katahdin Maine to Springer Mountain, Georgia. And that's with me driving 70 miles an hour. I walk 2 - 2 and 1/2 miles an hour. That's a lot of hours to hike 2,200 miles.
We had a nice four mile hike up to McAfees Knob. It was a perfect day weather wise. We spent an hour at the Knob. We took a lot of photos. It's a very impressive place. We met 6 other thru-hikers there. We had lots to talk about. One fellow talked about what I just gone through, you just push a little more and a little more in a little more to find your limits and what can you do. Well I found out what I can do and I'm going to just do it a little slower in a little easier. Cuz it's still 1400 miles to the end. We had a really great time, drove back, got in around 5, had dinner. Then we all went into serious organization and packing mode. Watched the NFL draft and went to bed ready to roll in the morning.","McAfee knob
",McAfee knob,"Apr 26, Thu",8
Lotus,https://www.trailjournals.com//journal/entry/588960,"Day 74 4/26 As we started to go up into Shenandoah Mountain National Park the fog got extremely dense. Luke had to drive 20-25 miles an hour. As we drove into the park. We must have seen 20 or 30 deer spread out on our drive to where Luke was going to drop us off. It made for some tents driving as it seems there was a deer around every curve. After Luke dropped us off, he was going to continue on in the park to Big Meadow Wayside. There he would pick up Mel and drive her up to Front Royal where he was going to switch cars. Curtis and I I hit the trail at 8:15. It was pretty smooth hiking today. We went to our first wayside which is another name for a little restaurant store. That's what they call them and Shenandoah National Park. After we had lunch we start of hiking again. Curtis immediately spotted a bear. I spotted the two Clubs that were between us and the mama bear. We went back and told the supervisor at the wayside. She encourage us to just yell if the bear apporched otherwise quietly, carefully work our way past where the bear was cuz it was below the trail. We had a nice afternoon and rolled in I think around 2 o'clock. We were first to the shelter. Then a girl 22 came in who started March 15th and already caught up. She was hiking with her mother and father for the weekend. She was also hiking with a brace because she had a completely torn ACL. They were going to repair her knee after she finished her hike. Her dad was interested in pushing on, so after they had a quick bite to eat they headed out of the shelter. Slow Papa had come in He is 74. He takes care of his sick wife 10 months of the year. He then gets a 2 month break when he goes hikeing. He actually lives up near Tionesta, Pennsylvania in Warren Pennsylvania. So we had lots to talk about. Curtis built a nice fire. By 5 Curtis was laying down. By 8 pm four or five other hikers came in as well. They were all doing 20 25 mile days. Typically you're going to get in later like 7- 8 at night. We won't be seeing them again. I'm starting to see a real pattern of the 20 to 25 mile get it done hiker coming through. They can start as much as a month after me but there young and going full tilt. The interesting thing is they're often talking about their sore knees. There were two hiker from Gettysburg College. They were involved in the outdoor club . They were used to hiking with big packs as they took care of other people the one girl got up in the morning and wrapped her knee with an Ace bandage . The other one had shin splints . They were planning to make it 2 Gettysburg Pennsylvania in like a week. They talked about doing the four State Challenge, which is a 40-mile hike . You start in Virginia shoot through West Virginia, cover the 30 miles in Maryland on which 20 miles is very difficult rock surface and end up in Pennsylvania. Usually you started at midnight to give yourself 24 hours to make it through. I just laughed to myself. They're practically limping now. I don't think go get to Gettysburg on time. I don't think they'll do the four State Challenge either. I understand their thinking. At McAfee knob a through hiker explained it. You push yourself mentally you know you can do it. So you think of the scenarios where you can do it you will do it. Burn when it comes to doing it something goes wrong. I know cuz I just went through that. In my mind I was going to be able to do 30 miles a day 6 days a week. I was building up gradually and thought everything was going fine. I realize now I overlooked how tired I was. I remember saying I was having trouble starting in the morning. I couldn't get up to speed. I figured it was just a loss of focus. No it was my body telling me I was pushing too far too fast too hard. I was testing myself trying to meet a mental goal. I even fell asleep at lunch the day that my knee and my back said enough. But I couldn't see any of the symptoms because I didn't want to. I believed it was mind over matter and I could do this. Many times it works that way. I knew Curtis and Luke we're coming and we would be hiking smaller miles so I figured I would rest then. On the Appalachian Trail, 2000 miles just wears you down. There may be some Mind Over Matter on my journey to Maine. My knee and my back told me it does matter and we're done. I had to rest. If I didn't listen and rest, I would have had a hike ending overuse injury. I am impressed with how many people try to push through the pain and end up off the trail. With rest and gentleness, I am coming back into form with 10 to 15 miles a day. I'll just keep doing the 10 to 15 with Curtis as my knee rebounds. I fell asleep before they even moved away from the table.b","
",Pinefield hut,"Apr 26, Thu",11
Lotus,https://www.trailjournals.com//journal/entry/588963,"Sat Day 75 4/27 Slept in. We're only planning 8.2 miles today. No sense in rushing off too early. Everybody was up getting ready. In the morning it's much quieter at a shelter. The culture is until the last person is up, out of their sleeping bag, we keep it pretty quiet. Watching the variety of breakfasts is such a hoot. Pop-Tarts are a big choice, dried fruit and a variety of powders poured into liquids. I had an apple and orange and a Kind bar. We left about 8:15. Curtis was actually ready before I was. We had a pretty mellow gentle hike for the first 5 miles. We stopped at a nice overlook two and a half hours in. The last three point seven miles was uphill to the Pinefield shelter. We got in at 1:15 first to the shelter. Just had a long feeding. Then some weekend hikers came in. I always say you can learn something from everyone you meet on the trail. They had lots of different gear things that I had not seen and really were quite pleasant section hikers. We had built up quite a fire when we got in. Curtis and I had brought in some long heavy 6 in tops of Tree Trunks. It took two of us to carry. So we have laid them across the fire to burn them in half so we can start feeding them in the fire better that way. So we really had quite the fire going. Our three section hikers were quite happy to see our fire. They had mushrooms and onions and other things in aluminum foil ready to cook on an open fire. So they were very happy to see such a nice bed of coals and good fire burning. After eating so much I was a little tired. I laid down and just stretched a little bit with my legs up towards the half ceiling in the shelter. Curtis made two trips to get water. Curtis is really getting the rhythm of this thru-hiking day. Really has been very very pleasant to be spending the time with Curtis. He's a bit out of his element but he's really open, positive, flexible. He's hip to picking up on what it takes to do this thru hiking on a day-to-day basis. Tonight it's supposed to go down to 31, 30 degrees. So we'll be sleeping with our water filter, our phones, our gas canisters, all these hard things to roll over in your sleeping bag . All for the fun and joy. I'm sleeping out in the woods. I just can't get enough of it. It has been very nice comradery with these three that came in. The temperature has vacillated today from cool, to so hot I just laid in the shelter to get out of the Sun, to back to cool, and as I said it's going to be cold tonight. Tomorrow we're looking to do a 12.2 hike. So far Curtis is feeling much better. He started one little blister today but his knees are feeling better and his groin is still tender but is not screaming at him. One of the hikers that joined us at the shelter was telling us about how rough 20 miles in Maryland is. The rocks that are just very hard to get firm footing on, you either twist your ankle or twist a knee. So much fun to look forward to. Last night they were talking about the 13.5 mile roller coaster right after you get out of West Virginia. It might have been right out of Virginia. They called the roller coaster and it is even the roller coaster on the guide, because it's just steep up and down, up and down, small up and down,up and down, up and down for 13.5 miles. So much fun and excitement to look forward to. Can't wait to see the roller coaster. A lot of talk of knees sprained ankles and back problems. One fellow who started on Tuesday in the 2 inch of rain had to have his buddy helped off the trail cuz his knee just blew up. Everyone is concerned how about holding up under the constant pressure of walking everyday. Like I said I'm going to go slower and smaller. So Curtis joining me is really quite a blessing. I have every reason to go slower and gentler. My higher power works in mysterious ways some more obvious than others. I'm really hoping that this slower Pace can get Curtis adopted and that he can stay till June like he would like to. It's really quite nice to have this unexpected, unplanned, extended period of time to spend with Curtis. Like everybody on the trail that I've Hiked with day after day, you end up with much more intimate detailed serious conversations. Somehow I just can't small talk and hike it's just too much work. If I'm going to talk at all I might as well talk about something real. It seems It's that way with everybody. I was odf doing my blog. When I got back to the shelter it was a very social place. There were probably nine people around the table. The crew off 3 section hikers had cooked onions mushrooms and potatoes in tin foil around the fire. They had more than enough and were offer them to everybody. Curtis and I got one whole tin foil package to share between the two of us. A very nice additional little feeding. A couple of thru hikers came in late one had a dog and they were brothers from California. They thought that tin of hot onions potatoes and mushrooms was a gift from God. Man you walk in and get offered a hot meal well seasoned verytasty. And then another guy came in I forget his name and he's got the leftovers from that. But there was a lot of spirited discussion about going into to Washington from Harpers Ferry there's a commuter train and Amtrak train. After all the mushrooms got cleared away,Curtis and I were already in our our bags. They broke out the giant marshmellos. It seemed like Christmas on the AT. Then one of the guys of the section hikers broke out a bottle of Jim Beam. the other thru hikers knew it was all a fantasy. They all enjoy the unexpected treatsfor a while. It was quite a a pleasant evening. Around 9 people finally crashed out and went to bed. It was a very nice group of guys whether they were section or through hiking and one guy had a fabulous dog. Curtis really enjoyed his experience with the dog. Super well trained dog.","
",Hightop hut,"Apr 27, Fri",8
Lotus,https://www.trailjournals.com//journal/entry/589035,"folks im not sure about dates and sequences  i remember the experiences.   on the trail everything is in the present moment. There are no dates days of the week or hours of the day. So it gets to be a blur when I try to make it all line up perfectly. Sorry about thatSun Day 76 4/28 Heading to Bear Fence Mountain hut. We started out pretty early with our headlamps. As we crested High Top Mountain there was ice on the trail. There was a cold wind blowing and we didn't spend a lot of time enjoying the view at the top. Mush, who had the dog, who was Brothers with Gandopho the Mystic passed us on the trail with his dog. I don't think I want to take a dog but this was a very good husky. We had a nice smooth hiking pace. Curtis is really getting into a nice Groove. I let him lead and set the pace whatever is right for him. He was anxious because at this time we weren't carrying much food at all. In his words raisins, a few bars, and an apple were not going to cut it for his dinner. We were hiking towards the Lewis Mountain Store. They didn't have a Wayside which would be defined as having hot food. When we got near it got very confusing. We came to a marker that said we were two miles away from the store. We hiked One Direction for maybe two tenths of a mile it was wrong. We asked somebody and at first they said the store was closed and then they said they didn't know where the store was. I saw an American flag flying. I figured that was a sign of a store. The Lewis mountain camp ground area was originally designed to be a colored only section. Secretary Eckels was a ardent civil rights supporter. His position was a national park should not be segregated in 1937. He was overruled because Virginia was a Jim Crow state and discriminated against blacks. So the Lewis Campground was designated the colored Campground. It became a very popular destination for many prominent blacks. It was a social Center outside of Washington DC. Over time the word got out that the food was better in the black Campground dining hall. Whites were clamoring to eat at the Lewis Mountain dining hall because of the food. So Eckel said if the whites want to integrate the colored campgrounds voluntarily we will let them. A couple presidents of the United States also visited Lewis Campground. Eckels did get the park intsgrated 13 years before VA. Changed their laws in 1963
We did find the store. It was open. The proprietor was from New Jersey. We had a great time in this store. They had lots of different food that we liked as well as camping gear. It was all good. He also told us to fill up our water because the water at the campsite had heavy metals in it. He told us the quick way to get back to the trail. The campsite was only Nineteen Hundred yards away. So Curtis was happy. We had food. We made our way to the Bear Fence mountain hut. Papa Bear came in. He's a Ridge Runner paid to be the eyes and ears for the for the public Rangers. There's was also a fellow from New Hampshire there is well. One of the park rangers did come in looking for Papa Bear but he was up setting up his tent. The fellow from New Hampshire was a southbounder. He had crossed paths with Mush and his dog. He put in a big complaint about how mush did not have his dog on a leash. He wanted the ranger to make an example of him. I had to chirp in that was a great dog super well trained. I spent the spent the night in a shelter with that dog the night before. He was fabulous. Curtis jumped in. He said it was the best trained dog he had ever seen in his life. The ranger didn't really take the whole conversation that seriously. She was very nice. I will say that the Rangers are heavily equipped and fully armed and wearing bulletproof vests. I guess one of the bigger challenge is poachers of animals or Forest resources. Down here everybody has a gun. So Papa Bear through Heights the AT 2 times all the way. Now he works for 6 months each year 5 days a week walking back and forth on a section of the trail. He is the eyes and ears for the rsngers. He was a wealth of knowledge. He told us at the next Shelter Rock Spring Hut to make sure to put our food in the bear box not on the pole. He showed us his food bag that the raccoon had climbed up the metal pole and ripped open and got the food out of. The guy from New Hampshire ended up getting sick from his dinner and threw up. We didn't see any more of him and that was fine with us. One person came in late name Gandolfo. A different Gandalfo than mush's brother. He was pretty cool kicking big miles. We were all in bed before it was dark.","Hightop hut
",Rock springs hut,"Apr 28, Sat",12.40
Lotus,https://www.trailjournals.com//journal/entry/589037,"Mon Day 77 4/29 with a nice morning the weather was a little warmer. The climbs today were of the gradual nature and the trail was very accommodating. By that I mean there weren't a lot of loose rocks. It was fairly smooth footing and gentle climbs and descents. We got to the Big Meadows Wayside fairly quickly. We ordered hot food and plugged in our Electronics. Curtis got some news. He'd have to head home to take care of some business matters. Papa Bear came in soon after us. We asked him about shuttle services up to Front Royal. He didn't have any answers but he tried hard to be helpful. I ended up calling Mel. Luke had given her a ride to Front Royal on Friday. Luke told me that it took him three and a half hours to drive through the park after he picked up Mel. It was foggy and he had seen 25 different clusters of deer. Mel got right back to me and texted me a list of shuttle drivers. That's how it seems to work. You help people. They help people. Everybody's helping everybody else. You never know when you're the one who's going to need the help. So we got to Big Meadows Wayside around 11. The shuttle came at 3:30. I immediately commenced to head out towards Rock Spring Hut. As I was packing up outside the Wayside a waitress came out with a bag of 10 sandwiches. Would you like these. They were all meat based sandwiches and being a vegetarian I said of course thank you very much. I knew I'd find somebody down the road who would love to have a sandwich delivered. It was a nice hike to Rock Springs with lots of view spots. Gandalfo caught up to me at a view spot. I asked him if he'd like a sandwich. He was rather surprised. He said I'm a through hiker. I'm always hungry. He wondered why was a thru hiker with a pack doing Trail Magic. He ended up eating two sandwiches right there at the view spot. I hiked on to Rock Springs. When I arrived there were eight college kids there for a 4 day hike in the park. 6 Girls 2 Guys. They were stunned as well when I put the sandwiches on the table and said anybody want one. They consume five of the sandwiches. I proceeded to get setup and take care of my water retrieval, eating, and getting my sleeping area prepared. While i was eating my cheese sandwich there was another couple from North Carolina who do three big trips a year. They were very interesting. They are trying different gear and food always thinking to prepare for their next trip. 13 came in. He got that name because he has a base pack wieght of 13 lb and was a 1300 hiker to register for the AT. 13 was very excited and ate the remaining three sandwiches. He works at minimizing pack weight. So three extra sandwiches that he didn't have to carry anywhere was a big deal to him. We all got to bed around 9. The girls were quite noisy. when I woke up later that night I realized 13 was gone. He's hiked across Australia and New Zealand. He's hike long distances in Canada. He probably didn't like the noise.","13.t
",View Entry,"Apr 29, Sun",13.50
Lotus,https://www.trailjournals.com//journal/entry/589067,nice morning the weather was a little warmer. The climbs today were of the gradual nature and the trail was very accommodating. By that I mean there weren't a lot of loose rocks. It was fairly smooth footing and gentle climbs and descents. We got to the Big Meadows Wayside fairly quickly. We ordered hot food and plugged in our Electronics. Curtis got some news. He'd have to head home to take care of some business matters. Papa Bear came in soon after us. We asked him about shuttle services up to Front Royal. He didn't have any answers but he tried hard to be helpful. I ended up calling Mel. Luke had given her a ride to Front Royal on Friday. Luke told me that it took him three and a half hours to drive through the park after he picked up Mel. It was foggy and he had seen 25 different clusters of deer. Mel got right back to me and texted me a list of shuttle drivers. That's how it seems to work. You help people. They help people. Everybody's helping everybody else. You never know when you're the one who's going to need the help. So we got to Big Meadows Wayside around 11. The shuttle came at 3:30. I immediately commenced to head out towards Rock Spring Hut. As I was packing up outside the Wayside a waitress came out with a bag of 10 sandwiches. Would you like these. They were all meat based sandwiches and being a vegetarian I said of course thank you very much. I knew I'd find somebody down the road who would love to have a sandwich delivered. It was a nice hike to Rock Springs with lots of view spots. Gandalfo caught up to me at a view spot. I asked him if he'd like a sandwich. He was rather surprised. He said I'm a through hiker. I'm always hungry. He wondered why was a thru hiker with a pack doing Trail Magic. He ended up eating two sandwiches right there at the view spot. I hiked on to Rock Springs. When I arrived there were eight college kids there for a 4 day hike in the park. 6 Girls 2 Guys. They were stunned as well when I put the sandw,"Hightop hut
",Rock springs hut,"May 01, Tue",13
Lotus,https://www.trailjournals.com//journal/entry/589069,"Tues day 78 4/30 heading to Pass Mountain hut,13.1 miles. During the night, I had noticed 13 left. When I got up in the morning and was outside the shelter I realize 13 just moved behind the shelter. He was sleeping under the stars. I was up at 4. I was drinking my 2 L of water and having 2 honey and oats Nature Valley bars. I'm noticing that with the warmer temperatures it's so much easier to drink 2 liters of warm water. It was a struggle before drinking 2 liters of cold water and going out in the cold. I was on the Trail by 5 a.m. Again there was spectacular views all along this nice gradual up and down Trail. I didn't really feel a lot of the up. I wasn't carrying any water again because of the weight. I made it to my water replenishment locations feeling very good. I came to a sign indicating I was approaching Mary's Rock. There's a significant rock formation it's named Mary's Rock. Of course it started a lot of thoughts. One of them was that it was nice that Mary had a rock in Shenandoah National Park named after her. She would have enjoyed knowing that.
There was one shelter before the one I was hiking to. The first shelter had a 0.3 steep decline to get water. Then you had to carry your water up three tenths of a mile. I skipped that shelter and hiked another four miles to get to the next shelter Pass Mt. Hut. On the way I came across a volunteer hiking up with a long hand saw. He was doing Trail maintenance. He told me that the original architect of the AT maintained this section of Trail originally. After many others it was now his responsibilities and honor to try and keep the trail clear of fallen trees. I told him that one looked extremely dangerous to me. It seems to be hanging on by a thread of a piece of wood. There was another one probably a mile before that northbound that had four trunks over the trail that you would sneak under. The 4 trunks blocked me from seeing the fifth one. I came up under it. I hit my head square on the top. It dropped me to my knees. That was a stinger. I saw my second snake of the trip as well. 1 mile before the shelter I was hiking to Pass Mountain hut. I stopped at a visitor center. I replenished fluids drinking a liter of water and ate a bar. I'm always trying to hydrate.
When I got to the Pass Mountain Hut Gundolph was already there setting up his tent. He was getting set up then hiking back to Thornton Gap and getting a ride into town to spend the evening with his friend to have dinner. So I have the shelter to myself until about 8. I was just getting ready the crash, doing my stretches when Moon came in. Moon started March the 5th. He said that two other hikers would be coming Traveler and Honey. Honey was the first to show up. Traveler was next in. An Australian chap. Very pleasant people. They're hiking big miles. They plan to be in Harpers Ferry by Saturday afternoon. I won't get there until Tuesday. Honey and Moon got married March 5/3 and started the trail March 5th. Hence the trail names HoneyMoon. I was asleep before they all settled in.","
",View Entry,"May 01, Tue",0
