Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Low Gear,https://www.trailjournals.com//journal/entry/585307,"I will soon be departing on my post government service decompression event otherwise known as a thru-hike of the Appalachian Trail.  Rather than start at Springer Mountain where about 90% of thru-hikers start, I will be starting at Damascus, VA with the intent to execute a Flip-Flop hike.  Not only will this be one less person competing for water sources and campsites in the first couple of hundred miles, but it will also take just a little bit of pressure off the already well used trail.  My route will be Damascus, VA to Mount Katahdin, Maine, return to Damascus and hike South to a finish at Springer Mountain, GA.  Plan is an early April departure and a Mid-September finish, but the beauty of this adventure is not being tied to times.  I do intend to keep folks informed of my progress via this Trail Journals site, but like most expeditionary travel, power and connectivity will most likely be the LIMFACs.",,Springer Mountain via Mount Katahdin,"Mar 30, Fri",0
Low Gear,https://www.trailjournals.com//journal/entry/585308,"Less than a week until I start my AT Thru-Hike.  I have been collecting kit for a year now, not all of which will fit in my Osprey Backpack.  I guess the blessing of walking the AT after a career is you don't have to make do with a coke can stove and a shelter half.  The downside is shake out trips give you the opportunity to invest in ""mo better"" gear which then leave extra stuff around the house.  Spent part of this week in Tampa on final Doctor checks and prescription refills.  Another benefit of walking at a mature age.  
Will be departing Saint Paul, MN on 2 Apr for the drive to Damascus with a planned step off on Wednesday 4 Apr.  No trail name at this point as I will see what the trail provides.",,Springer Mountain via Mount Katahdin,"Mar 30, Fri",0
Low Gear,https://www.trailjournals.com//journal/entry/585514,"Spent today making the final cuts to gear.  Will be using a Osprey Aether AG Backpack, REI Quarter Dome tent, an Enlightened Equipment Camping Quilt, and a Big Agnes Insulated Pad as my basic kit.  Plan to tent until the weather turns and then will transition to a Warbonnet Blackbird camping hammock.  Settled on cell phone and Fire HD paired with a Garmin InReach Explorer for connectivity. We will see how long my power sources last.
I depart tomorrow for overland travel to Damascus, VA with a planned arrival early Tuesday afternoon.  Final OPS checks Tuesday night and first step Wednesday AM.",,Springer Mountain via Mount Katahdin,"Apr 01, Sun",0
Low Gear,https://www.trailjournals.com//journal/entry/585717,Last entry from my laptop.  Great pancake breakfast at Mojo's.  Heading out in 10 minutes.,"Damascus, VA
",Springer Mountain via Mount Katahdin,"Apr 04, Wed",0
Low Gear,https://www.trailjournals.com//journal/entry/586179,"Mother Nature wanted to make sure folks know who is in charge on the AT.  First day started with rain and cleared to a brisk 26 degree morning.  Day two she rested, but made up for it on day three. Twelve hours of rain started in the PM followed by six hours of sleet and then some snow.  Then cleared so Sunday AM could start at 20 degrees.  Good test of character.
Kept mileage moderate to develop my trail legs and trail lungs. Training at 12 feet in Tampa is different than 5000 feet around Mount Rogers. Stopped last night at Massie Gap. Dennis is working hard to make the Grayson Store and Inn hiker friendly.  Good food and bed plus free shuttle from and to the trail.

Will start to increase mileage.  Need to get to Atkins before the NASCAR fans take all the rooms for the weekend.","Damascus
",Massie Gap,"Apr 09, Mon",32
Low Gear,https://www.trailjournals.com//journal/entry/586525,"The stop at Massie Gap did me good.  Not sure it it was Dennis' French Toast or just time, but day 6  was a great hiking day and it seems like I am over the hurdle IRT trail legs and lungs. Still not hanging with the fast burners from Springer, but not the reason I am here. 

First shelter night was at the Hurricane Mountain shelter with Chef from New Hampshire. Just to show the difference, I was hoping for a 14.5 mile day while he was planning a 20 mile day. 

Tent camped by myself near a stream day 7. Perfect camping weather, only issue was I had to get on the trail the next morning. 

Resupplied in Marion day 8.  Great small town where everybody knows everybody, and they all welcome hikers.  Was waiting for the shuttle to take me back to the trail when Jim Sparks drives up and asks if I want a lift.  Turns out his son thru-hiked in 2014 and was so well treated by people, his father now spends a lot of time just helping hikers. Jim gave rides to over 500 hikers in 2017.  To top it off, he gave me a huge Slim Jim as trail magic. 

Heading into a long stretch in the woods.","Marion, VA
",Atkin,"Apr 12, Thu",43
Low Gear,https://www.trailjournals.com//journal/entry/586836,"Before I talk about my day, a shout out to Steve Powell and Joe Brendler for their counsel about keeping the first two weeks in check.  Took their advice for the most part and while not quite two weeks, I think I am in a good position to go forward.  OBTW - I went over the 120 mile mark today. 
Three good days all around 15 miles each day.  Middle day did give me a whipping, but managed to survive and double down the next day. Leveraged a good friend Red for breakfast and ride back to the trail.  Gave me the opportunity to slack pack today.  Slack packing basically means stashing you full pack somewhere were and walk the day with just a day pack.  For Derek, Craig, Kevin, and Cal - had some good trail so it was like walking through an airport. 

In Bland tonight which is much appreciated as the last three hours today were through a pouring rain.  A hot shower felt good and pizza delivery didn't hurt.  Possible snow tomorrow so it will be back to cold weather gear in place of the t-shirt and sunscreen yesterday.","Marion, VA
","Bland, VA","Apr 15, Sun",46
Low Gear,https://www.trailjournals.com//journal/entry/587557,"Sorry for the gap in writing, been living the hiker life. Spent a couple days on the trail and a couple of days at Lickskillet Hostel hosted by Robert aka Mongo. Conspired with two other hikers, Joker and Inside Out to slack pack in exchange for Hostel help although truth be told, Joker a former carpenter did most the heavy lifting by hanging dry wall. We did host a family of eight, two parents and a 16, 15, 13, xx, xx, and 3 year olds. They are rolling, did 20 miles the day they stopped by the Hostel. My main contribution was spaghetti for eleven of us on an old two burner hot plate. Back to below freezing again this morning, but the forecast is for lows to be mid forties so I think the weather is finally turning on our way. I am at 188 miles and counting.","Lickskillet Hostel
",Stony Creek & VA 635,"Apr 21, Sat",44
Low Gear,https://www.trailjournals.com//journal/entry/588302,"Quite a week.  Had a good first day out of Bland and then the weather turned nasty. Best decision so far was stopping at 12 miles day two. Hiking companions went for 18 and paid the price with soaked gear and a crowded shelter. I got lucky and had one of the best shelters all to myself and stayed dry.  There was no getting around being cold and wet on days three and four. Just time to suck it up. Pushed hard day four and got over Dragon's Tooth and down to Four Pines Hostel. DT was no joke.  Hand over hand down the rocks.  Not a ""trail"" in sight. Last two days were great. McAfee Knob had a little sun and a decent view and the Roanoke River views were good. Camped last night along a creek with Armor, Sleeves, and a section hiker. Had a big fire and the moon was almost full. Hard to leave this morning, but resupply in Daleville called.  Speaking of trail names, looks like I have picked mine up.  I tend to be very careful on the down hills as I don't want my hike to end with a twisted ankle or worse. I refer to this as putting it in low so I am now known as Low Gear.","Bland, VA
",Daleville,"Apr 28, Sat",94
Low Gear,https://www.trailjournals.com//journal/entry/588307,"I know it has taken a while, but I think I have dialed in the photo entries.  TrailJournals has a 5mg max on photo size so I had to adjust my front facing camera down to stay under the limit. Selfies were always ok, but who needs more photos of me.","
",Daleville II,"Apr 28, Sat",0
Low Gear,https://www.trailjournals.com//journal/entry/589123,"It has been a good week.  First four days hiking and the last three stepping off the trail for a retirement ceremony in North Carolina. Weather was great for hiking, just nippy enough in the AM to wonder about a light jacket, but in the 70s very quickly. Sounds like I was fortunate to get through McAfee Knob when I did.  They had a fire two days after my transit that closed the trail for 31 miles. Still in awe of some of my fellow hikers.  Had breakfast with a State Dept IT guy who is on a break between assignments and is trying to finish the Trail in 100 days.  He is a averaging 25 miles a day.  With the weather change, folks are staring to send winter clothes home and lighten the pack load. I have sent some home, but my main pack issue is the food bag. Always seem to be carrying excess food at resupply time.  The skilled folks eat their last food either the night before or the day of resupply.  Will keep trying. My short vacation is about over. Will rejoin the trail tonight and start hiking tomorrow AM. OBTW - trying to get the miles calculated correctly, think we are close.","Daleville
",The James River,"May 05, Sat",57
