Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Lucero,https://www.trailjournals.com//journal/entry/582074,"Date is set, planning to hit the trail March 26th!!",,View Entry,"Jan 12, Fri",0
Lucero,https://www.trailjournals.com//journal/entry/582603,Only about a month and a half to go... Doing practice hikes of 7 to 15 miles per day. The snow is pretty but I'm ready for spring!,,View Entry,"Jan 31, Wed",0
Lucero,https://www.trailjournals.com//journal/entry/582609,I may be over doing it with my drop boxes...:),,View Entry,"Jan 31, Wed",0
Lucero,https://www.trailjournals.com//journal/entry/584439,"So unfortunately I have a change in plans due to a family situation and will be delaying my hike. May be a month or two, or next season...will update later with more info.",,View Entry,"Mar 19, Mon",0
Lucero,https://www.trailjournals.com//journal/entry/587623,"So, after an unexpected and devastating family tragedy and A LOT of contemplation, I have decided to continue with my plan to thru hike the trail this year. I will be starting on approximately May 8th. I will be doing a flip flop, starting at Harpers Ferry and going north to Katadin, then back to Harpers Ferry and go south to Springer Mountain.",,View Entry,"Apr 22, Sun",0
Lucero,https://www.trailjournals.com//journal/entry/589458,Day one on the trail! My husband and I stayed in Harpers Ferry last night and he dropped me off this morning. Checked out a few of the historic sites in Harpers and then walked the bridge into Maryland. Hiked 11 miles and I’m ready for a nap :),"Harpers Ferry 
",Crampton Gap,"May 07, Mon",11.20
Lucero,https://www.trailjournals.com//journal/entry/589581,Today started out pretty easy. The trail was relatively flat with a few steep decents. Stopped at Dahlgren Backpacker Campground for a shower and to charge all my devices. Saw the original Washington Mounument with a beautiful view. I missed the shelter I wanted to stay at and ended up doing more miles then I planned. My backpack is super heavy. Unloading a bunch of unnecessary items tonight. Hopefully it will make a big difference. I’m sure I’ll find more I can unload as I go on :),"Crampton Gap
",Annapolis Rock Campsite ,"May 08, Tue",14.20
Lucero,https://www.trailjournals.com//journal/entry/589673,Today went pretty well. The trail started out easy. My pack was lighter and I feel my body getting stronger. Leap frogged with Rest Easy and Simba all morning. A nice couple I met on my first night. The trail was very rocky today and my feet are feeling it. But the weather was gorgeous! Preparing for thunderstorms tomorrow...,"Annapolis Rock Campsite 
",Raven Rock Shelter,"May 09, Wed",11.50
Lucero,https://www.trailjournals.com//journal/entry/589820,"It was a day of firsts today. First thunderstorm, which I waited out at Pen Mar Park in a pavilion with a couple other hikers. Crossed the Mason Dixie Line. Went into Blue Ridge Summit for my first resupply. First trail magic. First a women stopped and gave me a lift back from town back to the trail. She told me she had just done the same for two other hikers. She said her goal was to retire in 3 years and thru hike the trail herself. Then, even better trail magic, my cousin Jeramiah showed up at my campsite tonight with pizza and beer!! Love my family! Lots of rocks in PA and my feet are pretty sore and raw but the trail magic made my day. Turned out to be a very good day :)","Raven Rock Shelter
",Antietam shelter ,"May 10, Thu",14
Lucero,https://www.trailjournals.com//journal/entry/590345,"Fairly uneventful day. The weather was beautiful. I decided to do a shorter day because my feet were hurting. Stayed at a beautiful campground, Caledonia State Park. I met a nice couple that told me all about their camping days. Now they have a camper so they can take their 11 year old retriever with them. I chatted with the campground host for quite a while. She was very interested in learning how my hike was going so far. I got a nice shower and was able to charge up all my devices. Still lots o rocks!","Antietam shelter 
",Caledonia State Park,"May 11, Fri",10.80
Lucero,https://www.trailjournals.com//journal/entry/590347,"The weather today started out beautiful. The hike was fairly easy. I stopped early because it was calling for thunderstorms early afternoon. I set up in a shelter by 3pm. Two other couples showed up just as it started to storm, about 6pm. It was loud and very close with big chucks of hail. The two other couples were both northbounders that started in Georgia. Got some good tips from them on trail life and good places to go once I start heading south. I slept in the shelter, which was not fun. My hammock is much more comfortable, but the shelter was safe and dry :)","Caledonia State Park
",Birch Run Shelter,"May 12, Sat",10
Lucero,https://www.trailjournals.com//journal/entry/590348,"It was rainy all day today. The trail was very easy. Pretty level all day. I crossed the half way mark of the AT today (not my half way obviously). I meet up with the couples I stayed with at the shelter last night at the Pine Grove Furnace General Store where they have the ""half gallon challenge"". Hikers celebrate crossing the half way mark by eating a whole half gallon of ice cream. Three of the four hikers had said they were going to do it the night before but due to the cold weather they all changed their minds. We all ate lunch and the food was excellent. My feet were feeling better but I stopped early again because they were calling for thunderstorms again. The rest were pushing on for seven more miles to the next shelter. I stayed at the Ironmasters Mansion Hostel where I was the only guest in this huge old house. But I got a nice shower, got to do some laundry and charge up all my stuff.","Birch Run Shelter
",Ironmasters Mansion Hostel,"May 13, Sun",9.90
Lucero,https://www.trailjournals.com//journal/entry/590449,"Today was a long day but a good one. The trail was fairly level. There were a few fun rock scrambles later in the day. I had my first spill too. I tripped, not sure over what :), and face planted with my 30lb backpack on. Wasn’t hurt but knocked the wind out of me. The rain stayed away today and the sun even came out for a bit. Back to my hammock tonight yay!!","Ironmasters Mansion Hostel
",Alex Kennedy Shelter,"May 14, Mon",16
Lucero,https://www.trailjournals.com//journal/entry/590793,It was hot for most of the day. High 80s. The majority of the day the trail was flat and in open pastures and farmlands. Got up close and personal with some cows :). My cousin came through for me again and picked me up from the trail at 4 pm just as it started to storm. High winds and hail and even a tornado. But I spent a nice evening in Harrisburg with Jeramiah and Anna and even slept in a real bed! And I hit 100 miles!,"Alex Kennedy Shelter
",Sherwood Dr ,"May 15, Tue",15.40
Lucero,https://www.trailjournals.com//journal/entry/590795,It rained heavy for the first half of the day today. Jeramiah hiked with me for the first 3 miles. It was nice to have some company :). The trail was rocky with a few decent climbs. There were A LOT of downed trees on the trail today. So glad I wasn’t out in the storm last night. I was so glad to make it to Duncannon! Taking a zero day here tomorrow :) think my body needs the break.,"Sherwood Dr 
",Duncannon ,"May 16, Wed",13.70
Lucero,https://www.trailjournals.com//journal/entry/590846,"Took my first zero day today. Stayed at The Doyle hotel, which is much more like a hostel than a hotel. In fact it reminds me a bit of scenes from the movie Hostel :). But I had a good day. Caught up on sleep, did laundry, resupplied and had a good meal. Back on the trail in the morning!","Duncannon 
",Duncannon ,"May 17, Thu",0
Lucero,https://www.trailjournals.com//journal/entry/591303,First part of the day was walking a few miles in town then over a highway overpass of the Susquehanna river. Then a decent climb. The rest of the day was fairly easy. There were lots of great places the stop for a rest with some beautiful views. At one I got to watch 3 turkey vultures stalking there next meal. Stopped for a while at Table Rock and cooled my feet on the stones and called grandpa to check in :),"Duncannon 
",Peters Mountain Shelter ,"May 18, Fri",11.40
Lucero,https://www.trailjournals.com//journal/entry/591306,"Today was kind of a bummer day. It started out when I left the shelter and walked 1 mile in the wrong direction before I realized it :-p. It rained heavy all morning and was cold. I didn’t go as far as I wanted because of the extra 2 miles I tacked on, and I was wet and cold. Snuggled into my hammock to warmup and crashed out early. Hoping for a dryer day tomorrow!","Peters Mountain Shelter 
",Tentsite,"May 19, Sat",10
Lucero,https://www.trailjournals.com//journal/entry/591307,No rain today :). The trail was very wet and muddy though. First thing this morning as I was having breakfast a porcupine came right up to me. He was freakin adorable! I started talking to him though and he got freaked out and waddled away :). I also saw two tiny bright orange lizards on the trail and a turtle. Stayed at another small unofficial campsite all by myself again. My gear is slowly beginning to dry out. I walked through a couple miles of prescribed burn area which was kind of eerie. The trail stayed pretty level till the end of the day where there was one decent climb. So ready for bed!,"Tentsite
",Tentsite,"May 20, Sun",13.40
Lucero,https://www.trailjournals.com//journal/entry/591308,The weather was beautiful today. Mid 70s and sunny. The trail was much dryer today. There was one steep climb in the beginning of the day. The rest of the day was fairly flat along the ridge line. Stayed at a really nice shelter. The caretaker is a nice guy who lives next door. He grew up in the Detroit area too. He lets the hikers use his outlets in the porch to charge their phones and runs anyone into town to get pizza. I told him I was from Traverse City. He was raving about the cherries so I promised him I’d mail him back some :),"Tentsite
",501 Shelter ,"May 21, Mon",12.10
Lucero,https://www.trailjournals.com//journal/entry/591474,"Today was another rainy day. The trail was very wet and muddy. Did a shorter day so I could stay at the Rock n Sole Hostel. This was such a great place to stay. They picked me up from the trail, did my laundry (I have dry socks!!) drove us to the grocery store and cooked us an amazing dinner. Pulled pork sandwiches, Mac and cheese, broccoli, and a pint of beer. Then had a brownie and ice cream for dessert! I even had a companion to sleep with at night (see pic above).","501 Shelter 
",Rock n Sole Hosel,"May 22, Tue",9.30
Lucero,https://www.trailjournals.com//journal/entry/591592,"Today started out with a delicious breakfast of egg casserole, cinnamon buns, fresh fruit and lots of coffee. In the pic is me and 3 (out of 12) of my roommates for the night, Tippy Top, Sandles and Poncho. After a big meal the night before and a great breakfast this morning I was more energized then I have been on the trail so far. The miles flew by today. I got to Port Clinton by 3:00. Cabelas in Hamburg had a shuttle and they picked me up. I did some shopping there, at Walmart and had dinner at Red Robin. Camping out in a park in Port Clinton tonight where they let hikers stay for free. Nice spot right along a river. Weather was perfect today and looks like it’s gonna last for the next few days :)","Rock n Sole Hosel
",Port Clinton Pavilion ,"May 23, Wed",14.60
Lucero,https://www.trailjournals.com//journal/entry/591714,I didn’t have as much energy today as yesterday. I feel like I’m beginning to sprout my trail legs though. There were two big climbs today and lots of rocks. Each day the climbs get a bit easier. Today’s hike was a lot of work! So glad to be at camp relaxing in my hammock :). This shelter is very cool. It’s a barn on the caretakers property and a tentsite in a field across the street. There’s a solar shower and the caretaker lets you use his electricity to charge your devices. Lots of hikers here I’ve been hanging with the past few nights. Feeling tired though so I’m being anti social and crashing early.,"Port Clinton Pavilion 
",Eckville Shelter ,"May 24, Thu",15
Lucero,https://www.trailjournals.com//journal/entry/592016,It was a hot one today! Lots of rocks. I saw my first rattle snake too. Didn’t see it until it rattled at me. I forgot to fill my water bladder in the morning and went most of the day without water. In 90 degree weather that’s no bueno :(. I had dinner at a restaurant near a road crossing a mile from camp. Camped at a small campsite all to myself :),"Eckville Shelter 
",Tentsite ,"May 25, Fri",12.20
Lucero,https://www.trailjournals.com//journal/entry/592018,"Another hot one today. Went through the “Knife’s Edge”. A few nerve raking bolder climbs...my feet are taking a beating. It was a long walk into town, Palmerton, but worth it. Staying at a hostel at Bert’s Steakhouse. It’s a full house with 4 other hikers here. Getting a shower, laundry, dinner and an ice cream :) Taking a zero here tomorrow. My cousin Haley and Zev are meeting me here tomorrow :)","Tentsite 
","Palmerton, PA","May 26, Sat",13
Lucero,https://www.trailjournals.com//journal/entry/592121,"Had a very productive zero day. Had breakfast at the diner attached to the hostel, did resupply shopping, and took a 3 hour nap. My cousin Haley and her boyfriend Zev happened to be driving through PA on their way to New York and stopped by and took me out to dinner! So good to see them :). I feel rested up and ready for a big climb first thing tomorrow morning.","Palmerton, PA
",Palmerton ,"May 27, Sun",0
Lucero,https://www.trailjournals.com//journal/entry/592277,"The people that run the hostel took us hikers back to the trail at 8am. The day started out with a steep, scary, long boulder climb. After that the trail went thru a part that looked like a wasteland due to zinc contamination in the area a long time ago. The rest of the day the trail was lush and green and level. I had some ankle/heel pain, from the climb I assume, and stopped early.  Hoping it will feel better in the morning...","Palmerton 
",Tentsite ,"May 28, Mon",10
Lucero,https://www.trailjournals.com//journal/entry/592377,"It was a hot one today!! My heel/ankle felt much better today, thank goodness! The trail was fairly level until the decent into Wind Gap. A trail angel gave me a ride into town. Water is very scarce in this section of the trail so she was passing out bottled water too. Trail angels are amazing!! I had a late lunch/early dinner at the Cafe on Broadway. A very hiker friendly place. They filled up my water bottles for free and let me charge up my devices. Had a hot, steep climb out of town. Stopped at a campsite at the top of the climb. Think the heat wiped me out!","Tentsite 
",Tentsite ,"May 29, Tue",12
Lucero,https://www.trailjournals.com//journal/entry/592382,"The trail was fairly easy today with just a few rock scrambles. A little cooler today which was nice. Hiked to the town of Delaware Water Gap. Staying at the hostel at the Church of the Mountain. It’s run on donations only. 6 bunks and a couple couches. It’s a full house and I got the last spot. Some familiar faces here, Tippy Top, Sandles and Thumper. Had dinner and a few cocktails in town. I’m having some new shoes shipped here tomorrow. Hoping to get back in the trail at a reasonable time tomorrow.","Tentsite 
",Delaware Water Gap ,"May 30, Wed",14.10
Lucero,https://www.trailjournals.com//journal/entry/592631,"Well my shoes did not come today like they were supposed too :(. So I am taking an unplanned zero day here. It turned out to be a fun day though. Sandles and Thumper are also zeroing here. A group of us took an Uber to Walmart to resupply. The church hostel we stayed at put on a dinner for us hikers for free. Fried chicken, hot dogs, corn on the cob and much more. It was so nice. We hung out and chatted with the people from the church. They were very interested to here our stories. I decided to stay at the hotel next to the hostel that night because a lot of the hikers were sick and I didn’t want to catch it. The hotel had a live jazz band in the restaurant/bar. A group from the hostel came over and we hung out for a while. I’m again hoping my shoes show up early tomorrow so I can get back on the trail at a decent time.","Delaware Water Gap 
",Delaware Water Gap ,"May 31, Thu",0
Lucero,https://www.trailjournals.com//journal/entry/592878,"My new shoes finally arrived today! By the time I got them and got on the trail it was 11am. The first mile was over a bridge over the Delaware River. Halfway over the bridge I crossed into my fourth state, New Jersey! The beginning of the day was mostly climbing then it leveled out. I was aiming for a shelter a little further on but decided to stop when I came across a spot on a ridge with a beautiful view. It was another hot day today and the breeze up here feels good!","Delaware Water Gap 
",Campsite ,"Jun 01, Fri",12
Lucero,https://www.trailjournals.com//journal/entry/592882,"New Jersey is most well know to hikers for one thing, bears. This morning I found out why. For a food bag I use a ursack. It’s made out of material that a bear can’t get into. So you can tie it up anywhere on a tree and it should be fine. Well, this morning when I went to retrieve my bag I found that a bear had tried very hard to get into it. There were claw and bite marks all over it. The bag worked in that the bear couldn’t get at the food, however in its effort to open it he smashed all the contents into essentially one big ball of granola, tuna fish and peanut butter :-p. So I hiked 16 miles to Branchville, the next town. According to the Google there was an Econo Lodge a half mile off the trail and a grocery store a mile further. Perfect! When I got there though it turned out the Econo Lodge was actually 10 miles away. So instead I found a campground 4 miles away and called an Uber to pick me up. At the campground I chatted with the owners for quite awhile. They were very interested in my hike. They introduced me to a woman staying there whose husband was also hiking to trail. She very generously offered to take me to the grocery store in the morning and back to the trail. The people I’ve met out here are truly amazing!","Campsite 
",Harmony Ridge Campground ,"Jun 02, Sat",16.50
Lucero,https://www.trailjournals.com//journal/entry/592885,"Sandy, the woman I met at the campground, and her sister-in-law drove me to the grocery store and then to the trailhead in the morning. Her husband is hiking southbound and I should pass by him in a few days. We exchanged information so we would know each other if we meet. It was much cooler today which was very nice. There were several climbs and descents today but nothing too steep. There were a lot a beautiful views, at Sunrise Mountain peak and from an observation tower at the highest point in New Jersey. Staying at a shelter tonight, and every night while I’m in this state. Shelters here all have bear boxes to put your food in. Not risking a repeat incident :)","Harmony Ridge Campground 
",High Point Shelter ,"Jun 03, Sun",16
Lucero,https://www.trailjournals.com//journal/entry/593171,"Today’s hike was fairly easy. All downhill except for one short steep climb just before the shelter. I stopped in Unionville, NJ for lunch and to get a few things at the store. Turns out the bear also broke my stove. So I needed to get some food that I wouldn’t have to cook. I ordered a new stove and shipped it to a town a few days away. I ate lunch with a few fellow hikers at the local tavern and hiked the remaining 6 miles to the shelter. Early Riser is here who I had met in Delaware Water Gap. It’s a quiet night here with only 3 of us staying. Went to bed early with my book :)","High Point Shelter 
",Pochuck Mtn Shelter ,"Jun 04, Mon",12.40
Lucero,https://www.trailjournals.com//journal/entry/593387,"A lot of the hike today was on a boardwalk over swamp land. It is a popular place for day hikes so there were lots of people out. I did a shorter day so I could stay at a shelter again. There are many familiar faces here today, Early Riser, Super English, Thumper and Puddles. Feeling very tired though so being anti social again and going to bed early...","Pochuck Mtn Shelter 
",Wawayanda Shelter,"Jun 05, Tue",11.50
Lucero,https://www.trailjournals.com//journal/entry/593388,"I hiked into Greenwood Lake, NY today to get my next mail drop box. Crossed into my fifth state! Only 9 more to go :). I only had 8 miles to do to get there but, phew they weren’t easy. There were many tough rock scrambles. One spot had a metal ladder embedded in the rock to climb up, and there were other spots that should have had one. But I made it. I got a room at the Linden Motel, picked up my resupply boxes from the post office and caught up on lots of rest.","Wawayanda Shelter
",Greenwood Lake ,"Jun 06, Wed",8
Lucero,https://www.trailjournals.com//journal/entry/593393,"Today’s hike was full of more steep scary rock scrambles. I got a few scrapes and bruises but made it up and down them. I saw my first bear this morning too. A cub was in a tree a few yards ahead of me. When it heard me it climbed down and ran off. I kept moving not wanting to find out where it’s mom was. 
I got some heartbreaking news from home today. My Grandpa Jerry passed away this morning. While it was not unexpected, it is still a shock. 
The shelter I was aiming for apparently has no bear box and has a problem bear that’s been hanging around. So I decided to stay at a motel tonight. This way I can also call home to see how everyone there is doing. Feeling helpless and far from home :(","Greenwood Lake 
","Harriman, NY","Jun 07, Thu",13
Lucero,https://www.trailjournals.com//journal/entry/593597,Today was a tough day. New York has been a tough state. A lot of rock scrambles. I went through the “Lemon Squeezer” today (pic above). I had to take my pack off to squeeze thru :). There were many steep ups and downs today. My new shoes seem to be too small in the toes and I’m having some pain. I ordered some new ones and will hopefully be able to pick them up tomorrow. There were many beautiful views today. New York is a challenge but it is also so beautiful!,"Harriman, NY
",West Mountain Shelter ,"Jun 08, Fri",15
Lucero,https://www.trailjournals.com//journal/entry/593601,"Today was an easy half day. I hiked up Bear Mountain, which is a popular tourist spot. So it was very crowded on a Saturday morning. I stopped at the Bear Mountain Inn for lunch/breakfast. I got an Uber into the town of Fort Montgomery where I have shipped my new shoes too. When I got here I met up with Puddles and River who are also staying in town. My shoes didn’t arrive until 12:30, the post office closed at noon :(. I got a room here for the night. I’m tired from over doing it a bit yesterday :-p","West Mountain Shelter 
",Fort Montgomery ,"Jun 09, Sat",7
Lucero,https://www.trailjournals.com//journal/entry/593721,"Yet another unplanned zero day as I wait for new shoes. I actually planned to slackpack today. Leaving the majority of my things in the hotel, hiking with only the daily essentials, and get a ride back to the hotel in the evening. However I have a bit of a stomach bug and spent the day in bed instead. I will be able to pick up my shoes in the morning and then get back on the trail. I will need to do some catchup after all these days off...","Fort Montgomery 
",Fort Montgomery ,"Jun 10, Sun",0
Lucero,https://www.trailjournals.com//journal/entry/593961,I went to the post office this morning and picked up my shoes. Hopefully they will last for awhile...I had an Uber pick me up and take me back to Bear Mountain Inn where I’d left the trail. After a short walk I got to the Trailside Zoo just as they were opening. It was a small zoo with only a few exhibits but pretty cool. I saw bear cubs (they are so much cuter safely behind a fence!) and a super cute fox. After that I crossed a bridge over the Hudson River. Breathtaking views! After that it was a climb back up to the mountains. I was aiming for a small unofficial campsite by a stream to stop for the night. When I got there Puddles and River were there. They were heading to a campsite 4 miles further. I was tired so I stayed there by the stream. It was a nice peaceful spot to sleep listening to the water :),"Fort Montgomery 
",Campsite ,"Jun 11, Mon",12
