Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Nana Troll,https://www.trailjournals.com//journal/entry/582619,"The big hike is about 2 1/2 months away. My fiance and I decided to embark on a thru-hike in August for April 2018. Some might call us crazy and others I know at least think we are without saying. We are selling the house, leaving our jobs and have no set in stone plans for our return. We are true vagabonds come April. The start date of April 19th is based on trying to avoid the crowds, as it is a later start than usual. We have considered the miles needed to hike and feel this is realistic that we can make Katahdin before it closes in mid October. We have sectioned hiked about 530  miles of the trail near our home in MA reaching north into N.H. and South into New Jersey. 
I am the crazy researcher and my partner is the go with the flow. I wish I was a little more like her, I would probably be less stressed but I do love doing the research. I have read countless books and have planned extensively.I have mapped out approximate drop box towns. The plan is to stop once a week for a resupply and every other week for a box that my friend will be mailing us. 
I am worried about food since I love food. I have read that you burn about 6000 calories a day which means lots of food to achieve energy levels needed to hike 12-20 miles daily with 25-35 pounds on your back.
Anyway the jitters have begun. I am starting to think about how much I will miss my family and friends. Like I said, I know lots probably think we are crazy but I feel they understand and are supportive. I'm going to miss my daughter immensely. I have spoken to her on many occasions at this point and I'm comfortable with my decision, though if needed I would change my plans in a heart beat. It has been keeping me up at night, hence I am writing this in the early morning. I will also miss my grandson terribly. He will turn 2 while we are gone. I will miss my mom and worry about her as well, although I have spoken to family that will be helping her. I am making plans to have visits with them during zero days and to stay in touch when reaching towns. I know they will be here when I return and I will carry them along with me on my journey in my heart. I hope to pass on what I learn and discoverer from this adventure to them. Needless to say my biggest obstacle is missing my family and friends. I have made a list of why I am hiking to remind myself when I have moments of despair, worry and guilt that I am surely going to experience. I have started this journal as a way to stay in touch and so that my family and friends can be with me through my days.
I will share my list of reasons another time but for now I am going to try to get some sleep before my handsome but very energetic grandson awakes. 
Happy trails.
Jen ( not sure on the trail name yet)","
",View Entry,"Feb 01, Thu",0
Nana Troll,https://www.trailjournals.com//journal/entry/582635,"My research in the last few days has been on estimated daily mileage in the two most difficult states N.H. and M.E. I have approximate estimations for where our boxes will be shipped in every section from Georgia-Vermont. This is definitely a challenge as the trail becomes very difficult causing a significant drop in daily miles. I think I'm going with approx. 10 with a few different options for towns with post offices that are not far off trail, which I have somewhat followed with what I have so far. These states will be less defined, which bothers me. Lol Control issues, possibly. 
Anyway, this is all estimations based on our hiking history, books, talking to others and reading journals.
After this is complete, I'm moving on to best zero day towns which I have some info. on. This will be very important because I will feel more relieved that I have a plan to see my daughter and grandson. Once we are closer to MA they will be coming to us for overnight visits. I'm not sure the exact details but I will feel relieved when I have a few location options to share. 
So, the list of reasons for the big hike, leaving out a few person reasons.
1. The obvious, I love to hike. I love the woods, the mountains, fresh air, cool lakes, amazing water falls sleeping under the stars, being part of nature. The smells, vistas, leaves under foot, being surrounded by big trees especially white birch and conifers. I like hiking long and hard, accomplishing a goal, reaching a destination only to begin again in the morning. I will list the rest another time.
Still have not chosen a trail name, any suggestions would be appreciated.
Well of to sleep.
Happy trails,
Jen",,View Entry,"Feb 02, Fri",0
Nana Troll,https://www.trailjournals.com//journal/entry/582649,"1 . The obvious, I love to hike. I love the woods, the mountains, fresh air, cool lakes, amazing water falls sleeping under the stars, being part of nature. The smells, vistas, leaves under foot, being surrounded by big trees especially white birch and conifers. I like hiking long and hard, accomplishing a goal, reaching a destination only to begin again in the morning.
2. To evaluate my life. A new beginning. When I return, I'm hoping to have a better idea of what direction I would like to move in.  A clean slate, blank canvas. 
3. To reconnect with God. To build a stronger relationship. 
4. To rediscover/ discover what I believe in. Discover what changes I can make and what I must accept. Forgiveness of myself and others. To let go. To move on. Ponder what is important to me and to leave behind what is not.
5. Process and accept the loss of my Nana. Spend time with her spirit. I will be bringing something with me and leaving it on top of Mount Katahdin.
6. Personal growth. I'm sure there will be lessons along the way. I'm hoping to be a stronger person for my daughter. To pass along some kind of wisdom and strength to her.  
7. A few other personal reasons.
8. The challenge. If I don't make it at least I can say I tried. 
I realize some of these reasons are corny, but that's me and I don't mind sharing them.
Happy trails. ( may be my trail name )",,View Entry,"Feb 03, Sat",0
Nana Troll,https://www.trailjournals.com//journal/entry/582729,"We have an estimated box drop route with 10 boxes with an approximate every two week pick-up. We continue buying more food for the boxes. I have been dehydrating mostly fruit but will be trying jerky this weekend. Im super nervous about food. I hate being without so I usually end up carrying more than needed which is just dead weight. Im hoping to work on this. 
We will be carrying 4/5 days of food with two town stops to resupply, then a box with dry food and resupply of fresh food. There is also spots to stop fotr a meal and of course trail magic! I noticed a lot of towns are in close proximity in the south for easy access to food.The shanhandona  National Park has a lot of meals along the trail side. The Whites in N.H. have the huts which have meals. 
My mom is worried that I will get lost or a number of other scary scenarios but my only worry is lack of food. 
I am not looking forward to Trail hunger but the large quantities of town food adds to the enjoyment of the town stops. 
After all, you have to love the fact of eating what ever you want in large quantities and losing weight in the process. 
On to figuring out our Zero and Nero days which I think will end up being the towns we pick up our boxes in. Happy trails!",,View Entry,"Feb 07, Wed",0
Nana Troll,https://www.trailjournals.com//journal/entry/584182,"Looks like it is a go for our trip. The house is on the market but there have been no offers. We have decided to leave anyway and have help to deal with the house while we are gone. We are due to leave in about 5 weeks. We have so much to do. Get our stuff in storage, flight tickets, last minute items. We are almost finished packing our 10 boxes, except for the food we have been collecting. After we finish with the odds and ends we will move onto the food. I will feel better once we have the boxes all set. There is a lot of organizing and estimating that goes into the preparation but we are having fun doing it. I’m thinking we have extra stuff but we can bounce stuff forward to ourselves of pass on some stuff in the hikers boxes along the way. March is flying by....of course the snow doesn’t help and three storms in less than 2 weeks takes time away from the business that has become of getting geared up. (Literally speaking) Off to bed. Happy Trails!",,View Entry,"Mar 14, Wed",0
Nana Troll,https://www.trailjournals.com//journal/entry/584422,"We are one month away from the start of our hike in Georgia. The trip has been up in the air but we continue to prepare. Even though we have been preparing for approx. 6 months it seems we still have a lot to do. The to do list is shrinking but I’m feeling a little anxious about time. We put the house on the market mid February but it has not been going well. (Too long of a story) The hope at this point is that there is at least a buyer before we leave. We started looking at storage units and will start moving our stuff in April 1. We haven’t purchased the flight tickets because although we have decided that we will leave before the house is finalized there are other things that are not completely settled. By April 1, I believe we will have a definite decision made. I really hope this will work out for us but we have a second plan of a June trip from Maine to Georgia. It’s a weird place to the not knowing if we are coming or going, and exactly where we are going. Lol. It’s in God’s hands.",,One month from our start in Georgia,"Mar 18, Sun",0
Nana Troll,https://www.trailjournals.com//journal/entry/586442,"We are one week away from our trek from Georgia to Maine. We have been prepping for months now and we are down to buying the last of the food we need and packing it in box 7-10. The boxes will be complete and we will fully be prepared. We have had a lot of recent difficulties that have distracted us from preparing. It has been very difficult to say our goodbyes. We had my mom over and I cooked dinner and we played rummie. I dropped my mom off at the airport the next morning for her flight to her brother’s house in Florida. It was very emotional and I had mixed feelings about not seeing her for six months which included fear, anxiety and sadness. I will stay in touch via messenger which seems to be our main mode of communication. Next is Barkley who we will be bringing to Stacy’s parents in N.H. We will be staying the night and saying our goodbyes to the family. It’s difficult to get ready for this trip as well as prep for the house and move our belongings into storage. I’m looking forward to finally being on the trail Thursday and being with nature and God. I don’t just want this journey but I need it.",,View Entry,"Apr 11, Wed",0
Nana Troll,https://www.trailjournals.com//journal/entry/587278,"Well we were supposed to be on the trail today but had some delays. Eventually we will get to Springer Mountain; hopefully tomorrow morning. I will admit that I am not to disappointed as I am really sick. I’m guessing it happened when I decided to play airplane with Cam propping him up on my legs and flying him over me; when the drool reached my face I figured his sickness might rub off on me. We really didn’t have the best planning for the start of our hike because of other stressors before leaving.  Things worked out just the way they should have, giving me an extra night to get well. We also met the nices people today, folks in Georgia are really friendly and kind. We had a great start sharing our love for Cam with our waitress Paige who decide to give us a coupon for our breakfast. We then got an offer from Jim who had a training at the hotel to join in the lunch buffet. We struggled with finding a ride to a hotel 1 1/2 hours from our location in Atlanta. A few rides fell through and when we were about to give up we got a ride from a very nice man named Robert. We had many different interesting conversations with Robert who charged us a very reasonable price especially compared to the prices we were expecting to pay. All in all it was a good day, with plenty of sunshine and the mountains in view. Time to get some much needed rest.",,View Entry,"Apr 19, Thu",0
Nana Troll,https://www.trailjournals.com//journal/entry/587750,"We finally made it onto the trail on Springer Mountain where we ran into Scrapbook the first thru-hiker I have met off trail. I met scrapbook at the bus station where he was waiting for his shuttle. At only 20 y.o. he as hiked the PCT and the CDT. He has this spirit that makes me smile. We ran into him again at Neels Gap last night after hiking down in the rain. Ge was staying at the hostel and hiking out this morning.
 We decided to take a zero day to avoid hiking in the rain giving me more time to get over this sickness and to hopefully prevent Stacy from getting sick. We head back on the trail in the a.m. Pot will be our shuttle back. It’s not what you think or what I thought when he first told me his trail name. He actually carries a POT up the trails to cook real food for thru-hikers when he is not shuttling. We will be dropped off at the trail head we left off at which is also an outfitter. I am going to have a (shakedown) in which they will go through my bag and help me lighten the load. My pack is 16 lbs without food and water and 26 lbs with water and 4 days of food. That’s pretty good but I do think I have more than I need. I will not let them take my trolls, which I take pictures of to send to Cam. That is how I got my trail name Nana Troll. I think it is fitting. 
Georgia has been smooth like rolling hills compared to the mountains our way. Blood mountain which is named after two Native American tribes battle was a little difficult in the rain. What I love the most so far are the little wild flowers growing along side the trail, the huge Rhododendron Forrest we walked through, and a field of what I believe were some form of Lilies growing in large numbers covering the mountain floor. Also the huge owl that was perched on a tree at the campsite we stayed at last night. She lived by the campsite picking off the mice that overtake the shelters. We believe it is a female because it seems she carries the mice to a nest that we believe may hold babies. I know gross but less mice for us and food for baby owls, hmmm. 
Off to get some rest and hoping to feel even better for tomorrow morning. 
Happy trails","
",View Entry,"Apr 23, Mon",31.10
Nana Troll,https://www.trailjournals.com//journal/entry/588122,"Georgia has been beautiful. Yesterday was a tough 14 mile hike up a couple miles with hard down hikes with not many switchbacks. Ouch on the knees. Today we hiked 10 miles to town made it into town at 1:30 which was great timing. Enough time to do our laundry, eat Mexican, and resupply. I have been icing my knee and taking care of my sore feet. Penguin ( a new trail friend from the U.K.) came in with speedy and then a few other thru-hikers joined. I was happily surprised to spend some time with these people you chat with for a little on the trail. This was nice because we tend to avoid the shelters. I was especially happy to run into scrapbook again who I met at the train station. 
This section has been refreshing as there was plenty of water with all these cool waterfalls. Looking up you had the waterfalls coming down right over the trail and downward. It felt somewhat like walking through a waterfall. There was also a lot of rock walls with water trickling down along the switchbacks. It was like a meditation trail. I saw this really cool white bird flying through the cloud mist.  I have no idea what kind of bird it was but I only saw that one. The cold and rain continues and last night was quite windy yet I wasn’t very cold. The forcast is calling for a number of warm nice days ahead of us. Yay! Tomorrow we will leave Georgia and enter the N.C. section. I am very excited to see what this section will bring. 
We will hit Franklin our first N.C. town in a few days to re-supply. Till then Happy Trails!","
",View Entry,"Apr 26, Thu",37.90
