Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Ole,https://www.trailjournals.com//journal/entry/582626,"This is it - I'm all in.  I will be hiking the Appalachian Trail in 2018.  I'm reaching the point of no return as I plan to buy my airline ticket within the next couple of weeks.  I've also bought some of the major gear I will be using and have told family and friends that I'm going to attempt the AT this year.  I have a lot more to do but I am very excited for this opportunity. I am writing this journal mostly to keep friends and family updated on my progress.  I realize that other AT thru hikers will be reading this journal also to track my progress. For this reason I will be including some additional information in the pre-hike posts that my friends and family already know to provide background for those who don't know me as well.     Recently, I have been waffling between excitement and thinking what am I doing?  I start to get caught up in the details and then get completely overwhelmed by the enormity of what I need to do before I leave.  I’m a list person but in recent years much of my outdoor travel has become so familiar that I can prepare for a week long canoe trip without compiling any lists.  I keep having this nagging feeling that I’m overlooking something really important.   I’ve read a number of books, blogs and journals that cover a wide spectrum of preparedness prior to the hike.  Some have thought (and over thought) every detail of their hike.  Others seem to just wing it.  It seems that age may be somewhat of a factor in preparation with older hikers planning out more details.  Some of the hikers who planned their hike with a high level detail eventually transitioned to just going with the flow.  I plan to fall somewhere in the middle with some planning and some winging it.In the next few posts, I'll provide more detail on my training, gear and food strategy.  Taking care of a lot of details over the next couple of months should keep me busy.",,View Entry,"Feb 01, Thu",0
Ole,https://www.trailjournals.com//journal/entry/583285,"Its about two months until I start.  I bought my airline ticket and am now totally committed to the hike.  I've also been buying gear and have spent more than I want but if I'm getting lighter, its money well spent.  And of course training has also been on going.
It has been a tough winter for outdoor training.  We’ve had a lot of cold and windy weather with a little less snow than average, until recently.  A cold snap hit on Christmas Eve and lasted for two weeks followed by a couple of warmer days and then more cold.  I have been trail running and had about 6-7 runs in a row with temps below zero and a couple of them at 20 below.  While I’m running in that weather, I try to visualize what it will be like hiking in the heat of summer.  For the past two months, I've averaged about 3-4 times a week trail running and twice a week strength training.  I'm now beginning the pack hiking phase of my training.  I will be carrying a 25-30lb pack and hiking the local streets and trails, targeting hilly areas.  Hopefully I can ramp up the pack hiking before I start.
Along with the physical training, I've also been focusing on the psychological and emotional side of the hike.  From everything I've read, it can be an emotional roller coaster and a primary reason people drop out is because they didn't handle the mental aspect of a six month hike well.  There will be times when the hike is not fun.  I will get cold, wet, sore, hungry, lonely and homesick.  I need to prepare myself mentally as well as physically.  One exercise I read about suggested that you list the reasons that you are taking on this hike.  Below is my list.
I am thru hiking the Appalachian Trail because:
I want to experience a landscape at human speed. I like the logistical challenge. I want to improve my mental toughness. I like the physical challenge. I want to see the entire trail. I want to do something significant. I want to make friends along the trail. It’s the next big challenge. I will have lots of time to contemplate my next career move – both professional and volunteer opportunities.
When times get tough and I think about quitting, I'll look at the list and remind myself why I'm taking on this hike.
In my next post, I will describe the gear I will be taking.",,View Entry,"Feb 24, Sat",0
Ole,https://www.trailjournals.com//journal/entry/584775,"Its about a month until I begin my hike.  Lots of things are starting to come together and I’m starting to feel more focused.  That doesn’t mean there aren’t times of being overwhelmed by the details.  The lists continue to be written and I’ve been checking stuff off on a daily basis.
Training continues and I’ve started to do more pack hiking.  I bought a new pack for the trip and have filled it with 30lbs of gear and have been hiking through Hartley Park near my house.  My hike yesterday covered eight miles.  I want to get up to about 12 miles before I go.  I’ve also been continuing with strength and core training twice a week and still doing some running.  I’m feeling pretty good about being ready to hike in a month.
I’ve also been doing some travelling, spending a weekend at my daughter Heather’s place in the Twin Cities and last weekend going on a winter camping trip in the BWCA with friends.  While in the Cities, we went to REI and I bought a new pack and a few smaller things.  In the next two weeks I will be going camping again and another trip to the Cities where Heather and I will be attending the NCAA Frozen Four and a Twins game.  Lots going on prior to my departure date.
I have purchased much new gear for this trip.  My new tent is a Big Agnes Copper Spur which from what I read is one of the most popular tents on the AT.  My new pack is an Osprey Exos 58, again another popular choice among AT thru hikers.  I bought a Thermorest Neolite pad and I put a long pillow case around it so I can sleep directly on the pad on warm nights.  My sleeping bag is a 10 year old Montbell down 30 degree bag that weighs about 1lb 4oz.  I’ll be using a Sawyer Squeeze water filter, a mini Snow Peak stove and titanium pot.  My base weight (all gear besides food and water) is around 20 lbs now as I debate a few small items.  Things like a first aid kit, vitamins, and personal hygiene items are still in flux.   This is much lighter than my gear for my Superior Hiking Trail thru hike last fall.

I made reservations today to stay at the HoJo in Daleville VA on the night before I start.  Details are coming together and I’m sure the next month will fly by.  I’m starting to bounce off the walls with excitement.  Some of my next tasks will be to organize mail drops for my first few stops.  I don’t plan to do a lot of mail drops but in a few places where resupply options are few, I will send myself supplies.  I will follow up with a post about my food and nutrition plan for the hike.",,View Entry,"Mar 23, Fri",0
Ole,https://www.trailjournals.com//journal/entry/586399,"Preparations continue as I decide on a final gear outfit and start putting together a few mail drops for the beginning of the hike.  I had a nice diversion from hike planning over the past couple of weeks by heading to the Gunflint Trail in northern Minnesota for some ice fishing and also going to the Twin Cities to watch my alma mater, the U of Mn Duluth, play for the NCAA hockey championship.  After a great season last year and a second place finish, the Bulldogs did one better this year and won it all.  The championship game against Notre Dame was a classic with the Bulldogs prevailing in front of a raucous crowd at the Excel Center in St Paul in a tight checking defensive game.  It was fun to share the experience with my daughter and to spend some time at her place.  We also attended a Twins game that had a temperature of 27 degrees at first pitch – the coldest home game in Twins history.     
I’ve been planning my food strategy and have done some research to make sure I get the fuel and nutrition I need.  One term that jumped out at me was skeletal wasting.  This can happen when you burn through your body’s store of fat and you begin to burn muscle.  I don’t think any of us who are attempting a thru hike want this happen.  
My research on thru hiking nutrition led me to an article (https://thesummitregister.com/nutrition-for-thru-hikers-part-1-food-for-fuel/) that references research by Dr. Brenda Braaten who has a Ph D in nutritional biochemistry.  The gist of her research says that thru hikers need to eat plenty of calories but also make sure your diet has a balance of carbs, proteins and fats and it doesn’t matter as much to the thru hiker if it’s a healthy diet since you are burning those calories so fast.  She talks about the Snickers Bar diet since they have a good balance of carbs, protein and fat.  You wouldn’t last long with a Snickers only diet since variety is important.  She also talked about the need for Calcium, Vitamin C and a probiotic in your diet to help you absorb necessary nutrients.  Thru hikers are known for eating huge amounts of food and insatiable hunger.  Eating so much can cause the body to flush foods through too fast to absorb needed vitamins and nutrients. 
Part of my strategy is to find a good variety of foods available along the trail and have a good balance of carbs, proteins and fats.  I will also be attempting to eat healthier when I’m in restaurants in trail towns.  And I will be taking supplements of calcium, vitamin C and a probiotic.  Hopefully these steps will help me get the nutrition I need to maintain energy and prevent the dreaded skeletal wasting.
I carried too much food on my SHT thru hike last fall and will try to carry less at the beginning of this hike.  From what I’ve read, almost all new hikers on the AT carry too much food.  Its hard to think about walking all day when you are concerned you won’t have enough fuel.  Its a delicate balance of minimizing weight and having enough fuel and nutrition.  With more resupply opportunities on the AT compared to the SHT, minimizing weight should be easier.
Its two weeks until I start hiking and my training has come to a premature end.  I went to a podiatrist last week because I had a broken little toenail and he suggested removing the entire toenail.  Its been a week and its still very sore but I have two weeks to heal before I start hiking.  Unfortunately, I won’t be able to do anymore pack hiking or running before I leave.  I will continue to go to the gym for strength and core training to compensate.  I still feel good about my fitness level and am ready to go. I’ve been reading other journals on this site and am excited to get started and hopefully meet some of the people I’ve been reading about.",,View Entry,"Apr 11, Wed",0
Ole,https://www.trailjournals.com//journal/entry/587917,My travels went well after an odd start.  The TSA in Duluth pulled my pack off to the side and tested my Pro Bars and Cliff Bars for explosives.  I flew to Chicago with a friend I hadn't seen for a while.  It was good to catch up and tell him about my hike.  I caught a shuttle from the Roanoke airport to Daleville and he also brought me to the outfitter for fuel and the grocery store for more food.  He them drove me to the HoJo.  I met a few other thru hikers while checking in.  I picked up my mail drops and organized my pack.  I'm now having a cold beer and trying to relax. It's hard to not get overly excited since I've been preparing for about four months and it's hard to believe that the start is so close.  The plan is to start slowly and be patient.  Thanks to all my friends and family for your support and encouragement.,,View Entry,"Apr 24, Tue",0
Ole,https://www.trailjournals.com//journal/entry/588003,After breakfast at the HoJo I hit the trail at 8:30am. The first 3 miles were easy and then a 2 mile climb to the first shelter where I had lunch and a cup of tea to fight off the damp chill. It was down a steep hill and then I had to take my shoes off to cross a creek. Made it to Wilson Creek shelter by 4pm. There are two groups here from GA and SC five people total. Early night as the others are in bed at 7pm. I feel good after today's hike and will take it easy tomorrow.,"Daleville
",Wilson Creek Shelter,"Apr 25, Wed",11.20
Ole,https://www.trailjournals.com//journal/entry/588089,Some observations after my second day of hiking.  There is a noticeable difference between how green the valleys are compared to the ridgetops.  The valleys are lush and green and the Ridgewood are just seeing some buds on the trees.  Virginia is not flat in this area.  The trail builders did a good job of routing the trail through this rugged terrain.  Switchbacks help take the edge off the uphills.I'm at a shelter that doesn't have a water source so I had to carry 3 liters of water for 3.4 miles including up a long hill.  I'm camped with three other thru hikers all around my age.  Good conversation around the fire.  Since rain is forecast I'm going to sleep in the shelter tonight.  Hopefully the snoring is at a minimum.Tomorrow looks to be wet so I will hike a shorter distance.  I'm still slow packing up in the morning and need to improve my routine.  I'm sure in time I will get faster.,"Wilson Creek Shelter
",Cove Point Shelter,"Apr 26, Thu",13.80
Ole,https://www.trailjournals.com//journal/entry/588284,"This post is a day late due to lack of cell signal.
Given the shelter spacing I decided on a shorter day after almost 14 miles yesterday. After seeing the Bryant Ridge shelter I knew I made the right decision. It is a beautiful two story structure with lots of deck space for cooking and it's located between two creeks. We had a full shelter with about 12 sleeping inside and a few more in tents. It was a lively crowd of mostly people in their 20a and a few 50s. We were up late - about 9pm. Good company as I met many new people.","
",Bryant Ridge Shelter,"Apr 27, Fri",7
Ole,https://www.trailjournals.com//journal/entry/588286,"Woke up to a chilly clear day as the first of the large group starting packing up. Had breakfast and chatted with others about their plans for the day. Lots of people looking at another 20 plus mile day. Not me, I'm trying to be patient and not injure myself early. It was up a steep hill to start and I gained over 3000 ft over the day. We passed over Apple Orchard Mt which has a FAA tower on it. I crossed another trail that had a 50km race going. They were at the 45km mark and most people were walking given the warm sunny day. After much climbing and a warm day by MN standards 10 miles felt like enough. Looking to make my first town stop in Glasgow on Monday.","
",Thunder Hill Shelter,"Apr 28, Sat",10.20
Ole,https://www.trailjournals.com//journal/entry/588512,Very cold and windy in the morning. I had ice in my water bottle. Good thing I brought my water filter in the tent. It was really cold hiking in the morning with temps in the 30s and the wind blowing over 20 mph. There was some rough trail at the start of the James River Face Wildnerness. It was mostly downhill at the end of the day to Matts Creek shelter which is a really nice shelter site. I love sleeping by moving water as it makes it easier to fall asleep.,"
",Matts Creek shelter,"Apr 29, Sun",12.40
