Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Optimist,https://www.trailjournals.com//journal/entry/553704,I have been doing training hikes to get ready for this. I have tried a lot of my equipment but not all. I am still trying to get the weight down for my pack. I have my reservations with Amtrak for get to Harper's Ferry. Still planning to start on March 20th (first day of Spring).,"Harper's Ferry
",View Entry,"Jan 23, Mon",0
Optimist,https://www.trailjournals.com//journal/entry/553763,Chris is going to come to Cuivre River State Park tomorrow and we will do another practice hike. Hope to get in 4 - 6 miles with full pack.,"
","Cuivre River State Park, Mo.","Jan 24, Tue",0
Optimist,https://www.trailjournals.com//journal/entry/553788,We completed over 5 miles on this trail today. I had on full backpack and actually cooked lunch on the trail.,"Cuivre River State Park, Mo.
",Cuivre River State Park,"Jan 25, Wed",0
Optimist,https://www.trailjournals.com//journal/entry/556787,On the train to Chicago. Will change trains there and on to Harper's Ferry. AT here I come.,"
",View Entry,"Mar 18, Sat",0
Optimist,https://www.trailjournals.com//journal/entry/556901,Arriving in Harper's Ferry around noon. There doesn't appear to be any snow left on the ground. Forecast looks good for the next few days meeting Chris this evening.,"
",View Entry,"Mar 19, Sun",0
Optimist,https://www.trailjournals.com//journal/entry/556951,Got into Harper's Ferry. Met up with Chris. Visited the Appalachian Trail Conservancy an we got our picture taken. I was asking where I could find a phone charger to buy since mine quit working on the train and all of a sudden a guy that was overhearing the conversation handed me just what I needed. My first Trail Magic. We hiked to the Knights Inn for our first night. Tomorrow will be my fist official day on the trail.,"
",View Entry,"Mar 19, Sun",0
Optimist,https://www.trailjournals.com//journal/entry/557050,First day on the trail was eventful. We climbed to the top of a ridge and hiked to Ed Garvey Shelter where we at lunch. Chris wanted to get to Gramton Gap Shelter for an 11 mile day. I was considerably slower than Chris so I lagged behind most of the day. I apparently wasn't clear on how to read signs. It said there was a path to a not reliable spring and the Grampton Gap shelter was .25 miles away. I assumed it meant on down the AT. I should have turned there. I kept going for more than an hour until I found 5 guys coming South. I asked them and I had to turn back to get there. I went South about 15 minutes and decided this was stupid. I called Chris and told him I would stealth camp and meet him in the morning. I set up camp and am now warm on my hammock and about to go to sleep.,"Harper's Ferry
",Crampton Gap Shelter,"Mar 20, Mon",10.40
Optimist,https://www.trailjournals.com//journal/entry/557159,The day started well. I slept pretty well. Was warm. Ate some breakfast. Started hiking about 9:15. I am still slow. Chris is at least 5 miles ahead of me. He has a deadline to be back to work so I may not see him again. I stopped at White Stone Cliff view and lounged on the rocks for over 1/2 hour. It felt so good to get the pack off. I nearly fell asleep. Some SoBos stopped there for awhile too. I didn't get to Dahlgrin till after 6. I was dragging big time. I plan to at least sleep late tomorrow and not try so many miles. It's going to take awhile to get in shape. I did eat some dinner but I really wanted to go to bed.,"crampton Gap Shelter
",Dahlgren campground,"Mar 21, Tue",5.80
Optimist,https://www.trailjournals.com//journal/entry/557218,I need to take a break. I am exhausted. I found an expensive B and B in Boonesboro and will try to get back on the trail tomorrow. Forecast said its gonna be cold tonight too.,"Dahlgren Campground
","Boonesboro, Md.","Mar 22, Wed",0.30
Optimist,https://www.trailjournals.com//journal/entry/557344,"Karen at Boonsboro Inn gave me a ride to the trail this morning. Made it to Pine Knob shelter by 1:30. I'm glad to be done for the day. Met a young couple, Dory and Turmeric, they are headed for Maine. They already did 160. An older couple I met is heading for main but they are doing the car shuffle thing. 
Hoping for dry weather but should be warm tonight.","Boonesboro, Md.
",Pine Knob Shelter,"Mar 23, Thu",5.40
