Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Pelican & Seagal,https://www.trailjournals.com//journal/entry/583528,This weekend we will be spending time training both with our packs walking and also doing stair reps getting our legs and back as ready for the Trail as possible.,"
",View Entry,"Mar 02, Fri",0
Pelican & Seagal,https://www.trailjournals.com//journal/entry/584909,"We did our last weekend of training before we head to the AT. Got in some stair climbing and hiking with our packs. Now, we have one week left to work. This week is all about cleaning out the fridge and eating our favorite meals “one last time!”  We are getting excited, but still have to finish our last week of work-so we are keeping our excitement contained. Countdown to do list is being checked off as we work thru our final preparations.  T-7 days til we start our trip to GA!",,View Entry,"Mar 25, Sun",0
Pelican & Seagal,https://www.trailjournals.com//journal/entry/585571,"We packed up the the condo, put our cars “to bed” and made the uneventful drive to Georgia. The only snag was that I discovered my headlamp was corroded inside when I tried to change the batteries on Saturday afternoon. After a quick stop at REI in north Atlanta (is there a such thing as a quick stop at REI) we got to Blue Ridge, Ga. We had a nice dinner and then slept soundly after a couple of crazy busy days getting ready to leave.","
",View Entry,"Apr 01, Sun",0
Pelican & Seagal,https://www.trailjournals.com//journal/entry/585572,Today we went to Amicalola State park and officially “registered” with the Appalachian trail conservancy for our hike. We are numbers 1807 & 1808 to start the trail since January. There were stories that over 70 people started yesterday. After registering we drove up the forest road to the parking area on Springer Mountain which is where mile 1  of the trail crosses and where we will be dropped off in the morning. We decided to “backtrack” the one mile to the start of the trail today. So we headed up the trail to the top of Springer Mountain and touched the starting plaque. We sat up there for a little while taking in the views and chatting with people. After a starting pic we officially “started” the trail at high noon! Tomorrow we are hoping to get some miles in before the wind and front comes in-forecasting big wind gusts for the evening! We’ll check in when we get to our first stop at Franklin NC-mile 109.,"
",View Entry,"Apr 02, Mon",0
Pelican & Seagal,https://www.trailjournals.com//journal/entry/586087,"We arrived to mile 100 yesterday-Saturday and got a ride into Franklin, NC.   We had busted out 100 miles in 5 days and crossed our first state line from Georgia to North Carolina! The weather had been pretty decent-we got a crazy windy day and a below freezing night on Wednesday, but Friday was the wet day-all day rain that became a downpour all night Friday night-we awoke to fog and continued rain-the forecast was for temps to drop into the teens last night with snow.  Our original plan was to take six days to go to mile to 109 and shuttle off, but the trail was a muddy mess and we decided an early night in town would be super!  Have I mentioned how much we love our Gore-Tex boots!! They have made hiking a dream- no more dirty feet at the end of the day and going thru the “stream” that was supposed to be a trail yesterday was amazing!  The trail is still very much in winter-no greenery yet and very few birds have flown back. The views from the rock outcroppings have been really pretty on the clear days.  We’ve gotten some Trail magic along the way-a  couple of bottles of gator aid that were left in coolers for thru hikers at road crossings and a family that did a “picnic” with hotdogs, sodas, chips, and chairs to sit on. You don’t realize how the little things like having a chair to sit on after so many days  of being on the ground really makes a difference. But that’s what the Trail life is about-taking you back to the basic simple existence and then when you come back to society you appreciate the little things that you’ve  taken for granted in your daily life. Our next stop will be Fontana Village.","Springer Mountain
",Franklin NC,"Apr 07, Sat",0
Pelican & Seagal,https://www.trailjournals.com//journal/entry/586797,"Mile 274We’ve made it to Hot Springs, North Carolina after shuttling around the 70 mile section of the Great Smoky Mountains National Park. We preplanned to skip this section due to the ridiculous camping rules whereby the park service mandates that all the hikers must camp only at the shelters. Since all the hikers begin their hikes at this time of year (this is known as the hiker bubble) it causes massive overcrowding at these mouse ridden shelters in the park. We plan to come back at the end of our hike and do this section as two 35 mile day hikes with my dad supporting us. This way we won’t have to stay at the shelters and the park will be green and pretty!  With that plan in place we covered the miles from 100-Franklin, NC to 170-Fontana Dam (the south end of the park) where we stopped for the night. The next morning we were shuttled to Davenport Gap (the north end of the park at mile 240) where we continued to Hot Springs. We had a couple of cold mornings with temps below freezing during this section that gave way to beautiful sunny days.  This section included the incredibly difficult 7.5 mile descent and 7.5 mile continuous ascent at the NOC and “Jacobs Ladder” another aptly named ascent up the spine of a mountain. We went by a beautiful old stone fire tower and then got the most amazing 360 degree views from the top of “Max Patch.”  This is at 4,620 ft and is a huge grass field on the top of the mountain. There is a parking area nearby and so there were people sunning up there with dogs, coolers, families etc-it was surreal!We also got fantastic Trail magic at Fontana Dam-from a sweet older lady-sodas, candy bars, fruit and the best part- luscious homemade brownies!  We are currently enjoying a much needed zero day after covering 104 miles in 5 days while we wait out the winter storm-snow and 40 mph wind gusts forecasted for tonight in the mountains. Our next stop will be Erwin, TN.","
",View Entry,"Apr 15, Sun",0
Pelican & Seagal,https://www.trailjournals.com//journal/entry/587489,"Mile 344-Erwin, Tennessee This section we learned that the weather forecast for a town near the trail can be completely different than up in the mountains. We left Hot Springs, NC the morning after the winter storm-which dropped about an inch of rain before turning to snow. It was a really pretty morning with the snow glistening on everything from the bright sunshine. The area around the river only got about a 1/2 inch of snow, but as we climbed up over the mountain to the ridge line there was more snow. Unfortunately, as the snow melted it added more moisture to the wet ground and produced lots of boot sucking, slippery mud. Oh how we love our Gore-Tex, vibram sole boots!  The following day was warm and we enjoyed more bright sun and light winds.  The forecast for Erwin showed continued sun and light winds so we pitched our tent up on a ridge to enjoy the evening breeze. About 9pm the winds picked up and by 11pm we were listening to the trees groaning and branches cracking-hoping that all the trees around us were sound (we always check for dead trees before pitching our tent). By 2am there was some rain and the winds were solidly gusting over 40mph!  By morning there was dense fog to add to the gusting winds. We were 29 miles from Erwin and had planned for a 20 mile day and then 9 into Erwin the following day. As we hiked, the temperature continued to drop and the wind chill was now in the teens-there were times when the wind was so strong it would blow us sideways. We could see down in the valley where the sun was shining. We decided that we would rather push the extra miles and have a warm bed than to spend the night in the cold. We made it to Erwin, cold and exhausted, but happy we dug deep and did the miles. We are resupplying-one of the highlights here is the resident kitty at the post office named “Priority” which is perfect since we send our resupply packages via priority mail. We’ll be heading to our next stop Damascus, VA. The forecast for this next section is calling for lots of rain-glad we’ve got the boots!","
",View Entry,"Apr 21, Sat",0
Pelican & Seagal,https://www.trailjournals.com//journal/entry/589060,"After spending a total of nine nights in the infamous town of Erwin, TN known for hanging an elephant in 1916 after it killed its handler, the week long heavy rains and 60 mph winds moved on and we are back trekking north. We did slackpack from Iron Mountain back to Erwin one of the nine days, so we did get in a 20 mile day and had only eight zeros. Zero: a day not hiking on the trailNero: hiking only a few milesSlackpack: basically day hiking, where you don’t carry your tent, etc for overnighting in the woods. Instead (as in this case) we left our overnight camping stuff in the hotel room, a shuttle driver took us north to a spot where the road crosses the trail and we hiked back to town with our hotel room awaiting our return.We finally left Erwin for good with full packs and Damascus VA only about 109 miles away instead of the 126 had we not slackpacked. On our first day out we received trail magic of food and drink at a couple of locations- both were set up by some good folks who had thru hiked last year. We are very appreciative of these kind hearted people who help support and encourage the thru hikers-the sight of them sitting at a Trail head usually brings jubilant tears to our eyes. Day one-the weather was nice all day, but that evening, as forecasted, the temps dropped to a hard freeze and the winds kicked up to around 40 mph. Most of the AT trail is in the woods, occasionally we cross what are known as balds. Balds are nice as you get unobstructed views of the surrounding hills, valleys, etc. However, going over balds in freezing temps and high winds isn’t very pleasant as we experienced this the next morning traversing a couple of miles of balds- just to give you an idea how cold it was-our water bottles formed slushy ice in them. The clear skies provided nice views, but with the wind and cold we hurried along. Temps increased the followings days which is much more to our liking. Spring is finally starting to take hold at some of the lower elevations as we are starting to see more flowers, green leaves, birds, butterflies, chipmunks, etc.  Unfortunately, the weather is supposed to turn on us again-there is a saying on the AT—“no rain, no pain, no Maine”. The southern Appalachians is a temperate rain forest where it will rain at least 1 out of every 3 days. The next section takes us thru the Virginia Highlands which are home to the wild ponies. Our next stop will be Marion, Va.","
",View Entry,"May 04, Fri",0
Pelican & Seagal,https://www.trailjournals.com//journal/entry/589788,"Mile 570-During this section we went through Grayson Highlands and got to see the ponies!  They are about chest high with beautiful manes and tails and  really friendly. We also saw some long horn cows in the area grazing on the scrub brush. A 50k Trail race was being run and so we got to yell “good job” to all the runners as we hiked along. It thundered throughout the day and night, but the rains held off until 4am the next morning when the heavens opened up.  After a couple of hours it stopped and we packed up and hit the muddy trail. The rains returned that afternoon and made for some slow going as we slipped away on the mud. Luckily, the Mt Rogers visitors center wasn’t too far and we got a ride into Marion to dry out. We spent a couple of days in Marion doing some slack packing. We went through a really pretty area that was full of fragrant blooming bushes and lots of bumblebees-it’s nice to be on the lower elevation mountains of 3000 feet versus the brown 5000 foot mountains. We also have come to the fence stiles-these are wooden ladder type apparatuses that you have use to climb up and over the barbed wire fences. These are real fun with a pack on your back! We got to have some Trail magic at a historic school built in 1894-very cool. We will be heading next to Pearisburg, Va.","
",View Entry,"May 10, Thu",0
Pelican & Seagal,https://www.trailjournals.com//journal/entry/590577,"We walked by the 600 mile marker along the trail and made it to Pearisburg Va, mile 635.   Fortunately we had reserved a room in town in advance as both of the hotels were sold out.   We chose to stay at the Plaza hotel, which is a very clean place, but certainly not to be confused with the Crown Plaza hotel chain.   The manager Linda is super nice and gave us a ride to and from Walmart when the only local shuttle driver wasn’t available and we didn’t want to walk another 5 miles RT carrying all our resupply items-after slack packing 24 miles earlier in the day.  Our town days are zero Trail miles, but we are still on foot for all our errands—grocery resupply, post office, laundry and meals. They are definitely not relaxing days where we get to recover from our multiple 20+ miles/day of hiking. 
Lots of the flowers are blooming and the temps are rising to the upper 80s/low 90s.    Water sources are still running, but many of the springs are getting small.   Bugs are out in full force and we spotted our first tick of the hike.    Picked up some bug juice we’ll be using going forward.
Heading out tomorrow with forecasted thunderstorms for several days.   Next planned stop is Daleville Va.","
",View Entry,"May 15, Tue",0
Pelican & Seagal,https://www.trailjournals.com//journal/entry/591790,"Mile 729. We made it to Daleville, Va after all the torrential rains passed. There had been so much rain, that the Appalachian Trail Conservancy (ATC)-the group that oversees the trail-made a statement about the trail conditions and urged hikers to beware of flooded areas and downed trees. When we got back on the trail we saw signs of flash flooding along the trail, but luckily the ground had been dry before the rains.  Even though the trail was muddy and we had to ford some of the creek crossings, overall it wasn’t as bad as it could have been. In this section we went by the area where the Mountain Valley Pipeline is going in. There were some protesters there including a couple of people who had been living up on platforms in the trees for 70 days. Speaking of trees, we went past the “Keffer Oak” which is a very large oak tree that is over 300 years old-it is an amazing site to see!  We also did the “triple crown” of Virginia-the Dragons tooth, McAfee Knob and Tinker Cliffs. The dragon’s tooth is an interesting area that has a fair amount of rock scrambling-complete with rebar ladders to climb down the face of the rock. This is a favorite area for day hikers, but it is completely different going down the rock walls as a thru hiker with a full back pack!  McAfee knob and Tinker cliffs have very nice views of the ridges and valleys in the area and we enjoyed breaks at both places. This section, the rocks on the trail increased too-we jokingly say that “Virginia is for rock lovers”.  We got new hiking shoes-no more Goretex boots-the temperature and high humidity has made them unbearable to wear-besides the fact that after 600+ miles they were more than worn out. The new shoes have made the rocks much easier to hike over which is definitely something to be thankful for. The warm weather and sunshine has also brought out the snakes. We saw our first copperhead of the hike too on this section.  The “green tunnel” is in full effect now as the trees are full of leaves and the undergrowth has filled in-the shade is nice, but without the breeze it can get stifling. We are starting to get up even earlier to to try to get our mileage in to avoid some of the late afternoon heat. We are keeping an eye on tropical storm Alberto, hoping that it doesn’t bring more flooding rains to the area. Our next stop will be Buena Vista, Va.","
",View Entry,"May 25, Fri",0
Pelican & Seagal,https://www.trailjournals.com//journal/entry/592291,"Mile 807This last section was like walking through a rainforest. We left Daleville knowing that the tropical moisture was working its way up to us in Virginia.  Unfortunately, the tropical moisture brought 100% humidity with it-no sun and not even the slightest breeze so the moisture from the previous days rain never evaporated.  The morning we left Daleville the temp was in the low 70’s and it was cloudy with 100% humidity-we were drenched with sweat in less than 5 minutes.  By the afternoon the rains came back and it was a 2 hour downpour that we walked in-the trail became a stream bed. We got to our spot to camp and had to stand in the rain and wait until it calmed a bit to put the tent up. Our clothes were drenched in sweat and rain and we hopefully hung them up on a rope line to dry after the rain ended that evening. Needless to say they weren’t any drier the next morning. We put on soaking wet clothes and shoes and continued on- it wouldn’t have mattered if they were dry because it was so wet everywhere and with the humidity we would have been soaked in no time. The forest had literally become a true rainforest-the trees and bushes were saturated and dripped water all day-no sun or breeze. The footing was slick with the wet rocks and mud. Thunder surrounded us the entire afternoon as we trudged on- we made it to our next planned site and set the tent up before the rains started-it rained all night. At 3:30am it stopped and we checked the radar seeing that we had a window of a few hours before another big rain cloud came. 28 miles and a few mountains was all that separated us from the next town-so we packed up and decided we were going for it!  The rains came back but we didn’t care because we were going to be dry-our prune feet just might have the chance to be normal again!Over the past 78 miles we went over the James River bridge (a 600 foot long pedestrian only  bridge), went by remnants of a freed slave village, saw lots of mushrooms and had cold drinks that had been left in coolers on the trail -very welcome trail magic! As a side note-it turns out that this is the wettest May in history for Central and Northern Virginia.","
",View Entry,"May 29, Tue",0
