Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Penguin and Shiver,https://www.trailjournals.com//journal/entry/582903,"Captains log, entry 1.
Well, we are 5 weeks from when when we begin. We couldn’t be more excited! We’ve pretty much finished getting our gear and base packs ready (... as soon as Han chooses her starting footwear...). The bulk cliff bars, usb power banks, and spare water filter arrived last week - completing the majority of the gear we were waiting on. We hoped to do another shakedown hike last weekend, but it poured rain and Jeff had a cold. Of course we know we will hike in the rain a whole lot, and probably even with a cold, but seemed silly to do while trying to stay healthy, finishing up work and all that. Jeff’s about to start programming a show on broadway for the next month while Han finishes up working on her TV series. Finalizing plans to move out of the apartment too! It’s all happening!! Enjoy this photo of our beloved kitten who we are soaking up every moment with before she goes to live with her Aunt while we hike.
More soon,
Han and Jeff (and Edith)",,View Entry,"Feb 12, Mon",0
Penguin and Shiver,https://www.trailjournals.com//journal/entry/584019,"We begin our trek just 1 week from tomorrow!!! It still feels a little unreal, to be honest. Between packing up our apartment, getting ready for the trail, and finishing up at work, it has really been a whirlwind of emotions. 
Tonight’s task was to get our first bit of food divided up and ready to pack! We are starting with 4 full days worth. It should be a 3 day hike to Neels Gap for the first resupply, plus a day extra.
We used the standard model of packing about 2000 calories per day, and averaging a weight of about 2 lbs per day. We will perfect this as we go, but gotta start somewhere, right? 
Enclosed photos include all the food all around our living room (probably twice as much as we packed - some of this will go to our bounce box - thanks Mom and Dad...), then a photo of our 2 dry bags that will get packed.
Tomorrow we put the rest of the pack together for the last time before hitting the trail! More entries to come!!",,View Entry,"Mar 12, Mon",0
Penguin and Shiver,https://www.trailjournals.com//journal/entry/584221,"Tonight we put the final touches on our packs!! So exciting (and slightly stressful...)! Han is at just under 30lbs and Jeff is just over 35lbs (4 days of food packed, but no water yet... I mean... do we really need water?? It seems so heavy...).Tomorrow Jeff has his last day of work, while Han and her parents continue boxing up our apartment for the move Saturday. It’s all happening!!! Stay tuned for more updates!",,View Entry,"Mar 15, Thu",0
Penguin and Shiver,https://www.trailjournals.com//journal/entry/584667,"And we are off on our adventure! Just like that. Meant to check in on the first day, but no cell service. Oh well - ultimately it’s been good to get away from our phone screens. 
Had beautiful weather the first day. We had crazy thunderstorms the night before starting, which was slightly unnerving, but it cleared right up for morning (just like what happened for our buddy, Switchback, who successfully thru hiked last year - so we are taking it as a good sign!). We hiked the 8.5 mile approach then did a couple miles on the AT and spent night 1 at the Stove Creek shelter. It was raining on and off so we opted to grab some floor in the second story loft of the shelter instead of fussing with our tent. That night brought temps below freezing.
Those temps hung around for day two so we worked hard to stay warm while beginning this hiking endeavor. We try to embrace whatever Mother Nature has to offer, knowing that we will soon be complaining it’s too hot. Night two was spent, after about a 12.5 mile hike, at a lovely tent sight called Devils Kitchen - a welcomed oasis in a valley after being high on snowy, windy ridge lines most of the day. We were in our tents resting our aching bodies by 7:30pm both nights!
Today we hiked just under 10 miles to Lance Creek Restoration, where lots of folks stop to avoid camping in the next stretch that requires bear canisters (which I’ve never seen someone travel with). Gorgeous and warmer day today! We are loving life. We arrive at Neels Gap tomorrow for a night off the trail and a resupply. 
More soon!","Devils Kitchen
",Lance Creek Restoration Area ,"Mar 22, Thu",0
Penguin and Shiver,https://www.trailjournals.com//journal/entry/585099,"We’ve been through a lot since our last entry! We arrived at Neels Gap and hitched a ride into Blairsville, GA, where we stayed at a little family owned motel. We did laundry and ate wings, burgers, fried green tomatoes, and pizza! All in all, a successful first trail town. Hitched back to the trail and restocked supplies at Mountain Crossings. 
We hiked about 9 miles the same day as resupply and stayed at our first unofficial trail side tent site. A little creepy to be camped totally alone, as opposed to with other hikers, but uneventful. That night brought heavy rain - though our tent kept us completely dry! 
The next day brought crazy pea-soup fog. Temps never really breached 40, and visibility never reall breached 100 feet. It was wild how disorienting the trail can be when you can’t really see beyond 100 feet. For all we know, we missed lots of great views! We even had some wintery mixed precipitation over some mountain ridge lines. Eventually we made it to our destination, about 12 miles away. We were both experiencing some lower knee pain at this point, mainly down hill.
Next day, the fog was less, but more of the same otherwise... more cold and windy. We had our first trail magic - a can of beer, left for us on top of Tray Mountain. (We are fairly certain that this older gentleman left it for us, who was operating a HAM radio on various mountain tops and had been talking with us.) That night we were at a more popular tent site and ended up meeting some cool people and having our first camp fire. Wizard taught us about some moss that is “the worlds strongest antibiotic and also the best toilet paper!” (We’ll see...)
This morning we hiked another 6 miles to Top of Georgia Hiker Hostel where we will take our first zero tomorrow to let our knees heal.
We also have settled on trail names for now - we’ll see if they stick. Jeff is going with Penguin - for his love of penguins, the waddle when walking, and penguin duct tape. Hannah is going with Shiver (for obvious reasons...).","Adis Gap
",Top of Georgia Hostel,"Mar 27, Tue",0
Penguin and Shiver,https://www.trailjournals.com//journal/entry/585510,"Our adventure continues. Top of Georgia was a great success. We mailed home about 6 pounds of gear that we were able to rethink / replace. Penguin’s pack was down to 36 lbs fully loaded with four days of food and water, and Shiver’s was down to 32 lbs. We have more ideas to keep cutting back on the weight. 
After TOG, lots of hikers went short distances and hunkered down for a stormy forecast. We decided to keep hiking as long as we could and not to fear the rain - as it was a nice, warmer day, even with sun occasionally. Our choice to push on paid off. We made it about 12 miles to Muskrat Creek Shelter and got all our camp tasks completed before the rain started. It rained a good 2” torrentially overnight. We also met up with a bunch of people that we hadn’t seen since our first days, learning everyone’s new trail names. It’s crazy how on the trail people disappear and reappear as you overlap with each other off and on. That day we also crossed the border from Georgia to North Carolina. (NC immediately welcomed us with climbing what felt like a few steep cliff faces...gee thanks.)
We packed up our muddy, wet tent, along with a lot of damp gear, and hiked up Standing Indian Mountain - our first 5000’+ peak of the trail. It ended up being a surprisingly manageable hike. The skies cleared and it ended up being a beautiful day. We stopped after over 9 miles, at Beech Gap, and aired out all of our gear to dry. That night we met up with some new and old trail friends and hung out around the camp fire, enjoying the weather. Eventually it did drop below freezing, but it’s getting easier to handle as we go along for sure.
It’s amazing how the act of hiking quickly has become a comfortable and welcome routine. We camp, hike, and repeat - and it’s almost therapeutic (in a painful way) after 10 or so days so far.
The following day (Saturday 3/31 for those who are counting), we started off with an easy 9 miles to the Albert Mountain approach. We were welcomed at Mooney Gap with Easter weekend trail magic (a bag with snacks and an egg from the Nantahala Trail Club). We then scaled the extremely steep, rocky climb to the top, where there was an awesome old fire tower!! The weather was perfect - our best yet, so the views were spectacular. Another 2.5 easy miles made our day about 12 miles and we arrived at our tent pad at Long Branch Shelter. Penguin slipped on a muddy slope while hanging the bear bag line. No injuries but landed exactly on his pocket containing his glasses - which promptly snapped into two pieces. A little bit of penguin duct tape and super glue that we borrowed from fellow hiker, Wet Sticks, and they were made functional again - thanks to Shiver’s craftiness. Plans for getting our hands on the back up glasses are in progress.
We are definitely getting quicker and more comfortable with a pace. A day over 10 miles used to fill the day and now we arrive mid afternoon. Still building up our knee strength and in pain occasionally, but improving all the time.
Today we hiked 7 miles to Winding Stair Gap. In honor of April Fools Day, someone told us that the Chinese satellite crashed just off the AT, North of Fontana. We believed it for part of the day! Thanks for that, Boora. We arrived at Winding Stair to waiting trail magic of oranges, Gatorade, and PBR. As we debated about how to get into Franklin, a passerby pulled over and wanted to talk to us about our hiking experiences, as he is planing a thru hike soon. He offered us and another hiker a ride to town if we let him keep picking our brains about our experience. We arrived at the Budget Inn and then walked / got rides all over town resupplying and checking out the local outfitter. Penguin finally caved and purchased a new sleeping bag that is half the weight and compresses to half the size and is warmer than his old one. The old one gets shipped home tomorrow. Shiver also did a few minor gear tweaks. We met up with lots of hiker friends at the only restaurant / bar open in Franklin on Easter Sunday - the Lazy Hiker. It was kind of like an AT Easter / Passover festival gathering. Delivery pizza and relaxing rounds out the night. 
The next weeks bring new, more challenging terrain - and we are excited for it all!","Long Branch Shelter
",Winding Stair Gap / Franklin. ,"Apr 01, Sun",0
Penguin and Shiver,https://www.trailjournals.com//journal/entry/585994,"The miles keep rolling on! We left Franklin, NC and then took two nights to get to the Nantahala Outdoor Center (NOC). Those three days were for the most part beautiful weather. We climbed our first bald mountains and explored a couple observation towers on mountain peaks. Bald mountains are odd in the east. We are used to balds out in New Mexico that are caused by being above tree level, but out here they are caused by either humans chopping the trees down long ago, bug outbreaks, fires, or other things of that nature. That day which included hiking over Wayah Bald and Wesser Bald was our longest day until then - at 13.5 miles. We finished the day tired but feeling good. 
That evening we were at Wesser Bald Shelter. A large, powerful thunderstorm swept through during the night. We awoke and trekked the 6 miles down a steep decent into NOC the next morning to find the power had been knocked out due to the storm - a bummer for us since we had reservations there and wanted to do laundry, eat at the restaurant, etc. We did manage to sneak in hot showers while there was still hot water left at least! Eventually the power came back, but it was too late for the restaurant to open. A kind individual offered to shuttle some hikers into town to resupply and get food - so a massive pizza takeout order was placed, which saved the day. We sat and waited for the pizza while drinking beers from the NOC general store down by the Nantahala River - not too shabby. We also hung out all of our gear to dry after last night’s storm. All in all - a successful stop.
The next morning, as we were hopping back on trail, a kind person popped out of his cabin and handed us a plate of fresh baked pastries - an awesome start to the day. Every hiker loves second breakfast (or food at anytime really). We scaled the mountain side out of NOC, about 3300’ additional up to Cheoah Bald, and camped for the night shortly after at Locust Gap. That evening we made the decision that we would push for our longest day yet the next morning - 17 miles - and get to Fontana a day early so we could rest and take a zero day today (Saturday 4/7) while we let some less desirable weather pass. We successfully made that goal yesterday and are in Fontana now! It was an exhausting day, but overall we are happy with how we handled it (mentally and physically)!
We are enjoying a day off today - filled with laundry, resupply, eating, beers, and chatting with lots of other hikers doing the same stuff. We are super excited to get back out there and start the Great Smokies National Park (GSNP) tomorrow! GSNP will be a big landmark accomplishment for us. People say the trail flattens out after that - but we’ve also been told never ever to believe someone when they say that the trail levels out... so we’ll see!","
",Fontana Village,"Apr 07, Sat",0
Penguin and Shiver,https://www.trailjournals.com//journal/entry/586918,"Wow - what a week (ish) it has been since Fontana! Great Smokies National Park (GSNP) was full of ups and downs (literally and figuratively). We left the lodge in Fontana on the first trail shuttle available the morning of 4/8, then immediately walked along the AT across Fontana Dam, which was extremely cool. It’s enormous. We made lots of dam jokes, took lots of dam pictures, and did some dam hiking across it. (You get the idea.)
We then hiked into GSNP - up, up, and up, back into the mountains. That day brought an awesome climb up to an old fire tower on Shuckstack Mountain, which we can’t believe we were actually allowed to scale. It was a little worse for the wear, let’s just say. We continued to make the day’s mileage total around 13 and stayed inside Mollie’s Ridge Shelter. GSNP has specific rules about staying in shelters instead of setting up tents, if possible, to minimize environmental impact, so we stayed in shelters more often in the park. It’s always a bonus to keep the tent dry. 
The next day (4/9) brought rain, mud, mud, and dense fog. Also there was a lot of mud. We passed lots of views that looked like white sheets 20 feet in front of us. That day we learned that it’s much harder to walk 13 miles in mud than a long distance in more normal conditions. Many hikers agreed that this was the hardest day yet. We tried to prepare ourselves for the real possibility that the rest of the park would be like that. Camped at Derek’s Knob Shelter.
To our delight - the following day (4/10), we awoke to a crisp, clear day. It was still cold, which at this point was getting old (we were slowly forgetting what it felt like for our hands and toes not to be numb every morning during camp chores), but we were thrilled for sunshine and visibility, especially since this was the day we were to go over Clingmans Dome, the highest point on the AT. And also as a bonus, the mud subsided! We hiked what felt like an easy 14 ish miles, even though we went up an enormous mountain, because compared to mud - everything seemed easy. At Clingmans, we were treated to a bag of fresh grapes as trail magic! After that, we passed the 200 mile mark. We stayed at Mt Collins Shelter and got a fire going in the fireplace, after a struggle with the wet, frozen wood.
On 4/11, we hiked a quick 5 miles, featuring trail magic of breakfast pastries and other snacks, to Newfound Gap. We then hitched into Gatlinburg (in a car of three lovely retired gentlemen on a vacation with their wives) for the evening. Wow - what a crazy tourist trap that town is! We had a big meal, did laundry, and resupplied.
On 4/12 we hitched back into the park (this time with a super cool father son duo from Michigan), with a plan to do 5 nights to get to the next town - Hot Springs, NC. The weather and views just got better and better. We stayed at Pecks Corner Shelter and met a new group of hikers we hadn’t yet seen. It is wild how that keeps happening as everyone’s paces change. There are so many hikers out here!! We were very happy to have warmer temps, finally.
The next day (4/13) we set out to do a 13 mile day, but it was so nice out and the terrain was so moderate that we achieved that goal by 2pm. Decision time - the next shelter was another 7 miles further, plus there was a mile side trip to another fire lookout we wanted to see. We opted to push on, and we even made it to that fire lookout on Mount Cammerer! Just like that; we achieved our first 20+ mile day. We were exhausted, but all in all felt pretty great! That night we stayed in Davenport Gap Shelter - the last one in GSNP. It’s also the only shelter on the trail that has a chain link fence over the front, that you lock yourself in at night, and you keep the food in the shelter instead of hanging it outside. Kind of an ironic feeling to lock yourself in a cage to keep the wildlife out (especially since it was Friday the 13th). We were reminded of that scene from the Blue Brothers where they are playing in that bar with the stage behind a chain link fence. I half expected a bear to just be waiting for us to come out in the morning. Other than a bat flying around the shelter at one point - it was ultimately uneventful. 
Some people in this new group that we ended up hiking on pace with had a plan to get to Hot Springs before a cold front came in, but it would mean doing only one night on trail after GSNP, and two 18+ mile days of hiking back to back. With Shiver’s hatred of cold, we decided to give it a try too! We knew it would be a big push, but we needed to show ourselves we are capable of it. It was time to really see what we could do. 
On 4/14 we left Davenport Gap Shelter, emerging from our cage. We hiked the few miles out of GSNP, and were again greeted by trail magic of snacks and sodas, fruit, and juice! This was a Saturday, which is the most likely day to receive trail magic since people are off work, etc. We lucked out that we happen to be hitting some big road crossings on a Saturday in good weather for this reason. We hiked under Interstate 40, then stopped at the famous hostel, Standing Bear Farm, for a quick resupply. The day became very hot and sunny, as we climbed the 5 miles of steel up hill to the peak of Snowbird Mountain. There was this cool looking FAA flight radar system up there, which was pretty fun to see. Lunch at Groundhog Creek Shelter, 11 miles into the day, then onwards and upwards for 7 more miles. We crossed through the famous Max Patch, a beautiful, expansive mountain top meadow, late in the day, then it was a quick trip downhill to Roaring Fork Shelter. 18 miles down - boom! Again - exhausted but feeling good!!
Woke up to rain on 4/15, but mild temps still. After the hot heat and sun while maintain climbing yesterday - this actually wasn’t terrible. Penguin had the realization that his warm weather hiking attire is essentially swimming clothes - a rash guard t-shirt (what surfers wear on top when it’s warm in the ocean - purchased on our honeymoon in Hawaii), and swim trunks as shorts. So when it rains and it’s not freezing, Penguin is more than happy to just get wet rather than sweating inside of rain gear. It’s like going for a swim! We pushed over two more mountain peaks, then hiked the 11 or so miles downhill into Hot Springs - crushing another 18+ mile day! 
We opted to treat ourselves to another zero today, since we arrived here 2 nights ahead of our original schedule. We are staying in a cool little room above a tavern! 
While it’s amazing that we proved to ourselves we can handle those big days, which will become more common, we do need to let our muscles heal a little. It was a big jump from what we were doing. They say when you get your “trail legs,” this suddenly gets easier and easier, and the miles start flying by. We are definitely on the brink of that!!","
","Hot Springs, NC","Apr 16, Mon",0
Penguin and Shiver,https://www.trailjournals.com//journal/entry/587910,"Roan, TN - mile 395
Guess what: the trail didn’t flatten out. It must never flatten out. And just when it gets warm, it drops below freezing again. Never a dull moment!
We left Hot Springs on 4/17 in nice weather, with our plan to go about 15 miles per day. The first day, we went an uneventful 16 or so miles and camped trail side. That day we saw some beautiful meadows and were treated to trail magic, in the form of a box of soda, fruit, and beer, left next to a road crossing. 
4/18 was a hot day, but had some breath taking ridge lines we traversed midday. On hot days (the very few thus far), we’ve been taking longer lunches while we filter an extra batch of water and rest in the shade, letting the heat of the day pass a bit. This was one of those days. After lunch we crossed over a mountain top called Big Butt. Then we went another 6 miles, passing some old grave sites from the civil war. The day ended at around 17 miles at Flint Mountain Shelter. At the shelter we found yet another almost entirely new group of people. It seems in our pushing farther faster, we had found a bubble that started earlier and was moving slower. Of course, with our changing pace - this would keep happening. That night brought temps back into the 30s.
The next morning on 4/19, we got up a little early (6:30 instead of 7/7:30) and planned to hike our longest day yet. This would essentially get us half a day ahead and allow us to take a full day instead of a nero (near zero mile day) into the next town. The weather called for slightly cooler temps and no rain, so better for hiking than hot and / or rainy days. So we hiked on! The day ended up being cooler and windier than ideal - but is it ever ideal? We crossed under interstate 26, and hiked 15 miles before stopping for lunch! Our morning miles come easier than afternoon, so we tend to push harder before we stop for lunch. (We consider “morning” to be anytime before lunch even though that’s often 2pm or later.) After lunch, we climbed Big Bald. Aren’t the names just so creative sometimes? It’s a big, bald topped mountain - shockingly. It was quite windy on top, but beautiful. Four more miles after that ended our 22.5 miles day at Whistling Gap, where we met up with hiker friends that we were sure were days ahead of us. That night was again to bring temps in the 20s, so we were glad they had started a campfire! It felt good to know that we could pound out those miles, but darn were we sore.
Sometimes when it’s freezing in the morning - it’s so frustrating that every camp task makes your hands go numb. We’ve mentioned this before. So this morning (4/20 - our trail 1 month anniversary!), Penguin started a fire easily with the coals from the night before. All the hikers gathered around to stay warm and allow themselves the few minute sacrifice of hiking time to have that small luxury. Always worth it! We hiked the “short” 13 miles into Erwin, TN, where we hitched a ride to a motel for the night. We resupplied and did all the usual town chores. Sometimes it’s the hikes into towns that feel the longest. It’s very hard to break the “are we there yet” mentality. The approach to Erwin went on forever - up, down, up, down, again and again, switch back after switch back. We got there eventually!
4/21 was a beautiful day - and we were happy to hit the trail and get back up into the mountains. Lots of sunshine! We came across some trial magic of snack food and cold sodas. On top of a mountain called Beauty Spot, there was a wedding happening! Two thru hikers who met on trail a couple years ago were getting married and had invited any hikers in the area! The aisle of the ceremony was the AT. They had a small catered meal and free beer for any hikers who wanted! It was a little hiker party on a beautiful mountain top - what a perfect experience. Another few miles brought us to Unaka Mountain where we camped.
Similar weather on 4/22. We hiked the relatively uneventful hike to Clyde Smith Shelter. We opted to sleep in the shelter, hearing of rain and high winds in the forecast for the night. Penguin made a campfire - again a sure fire (get it?) way to encourage hiker community.
4/23 was to bring us up over 6000 feet again, up Roan Mountain and a few bald tops after it. With the forecast to remain wet, cold, and windy - this was quite the experience. We constantly were passing freshly fallen trees over the trail, in the howling wind, as we made our first climb. Sadly we have very few photos, because stopping to take a picture isn’t really the first thought in these conditions. Visibility was near zero. Dodging the falling trees, cold, and soaked, we made it the first 8.5 miles of the day to the highest shelter on the AT, where we had lunch and took a breath. Conditions were so bad, we considered staying here for the night. To say Shiver was cold would be a dramatic understatement. We opted to add a few layers, drink a cup of hot water, and push on. To stay there would just mean wasting energy and food trying to keep warm when we could instead get lower and further along where conditions may improve. Back into the cold wet wind and fog we went. By fog, we mean, clouds flying past you right in front of your face. Fog sounds too static. This was always moving. We trekked 1.5 miles down hill through what we now call the Appalachian Stream, where we reached the visitor center at Carver Gap (a trailhead and a bathroom). We hunkered down in the little bathroom for a few minutes to again regroup and give each other a pep talk for what we had to do next - two straight miles up and down three short, but high and 100% exposed bald peaks. This is where we really entered a new universe. The wind and rain was so intense, we had to yell to communicate, as we kept getting blown a few steps off the trail and would have to brace then return again. The stream of the trail had become a small river. We’ve heard these are some great views - but would never know that day. The rain felt like being blasted with a power washer. Any waterproof clothing is no match here - we were soaked. Penguins pack cover blew right off. Somehow we caught it, but that meant even a more soaked pack. Of course with his scout training, everything inside was also waterproofed, so not the end of the world. Somehow, we got over those miles of exposure and made it the rest of our 15 miles to the famous Overmountain Shelter. This was an old barn that was actually used to house soldiers en route to a Revolutionary War battle once upon a time. Google it for more info. We were too cold and wet to read the plaque. We found lots of other hikers in the barn, already in sleeping bags, trying to stay warm, surrounded by clothes dripping on make shift clothes lines. We joined in. That night, the wind and rain continued and the barn swayed and shook in the wind, like an old wooden roller coaster. We proved this day that we can do anything on this trail, at least more than we could’ve imagined, for a few miles at least.
Today, on 4/24, the weather had not changed that much. The other hikers and us all begrudgingly got back into our wet clothes - because why get the one dry thing we had wet immediately. We climbed a couple balds first thing that morning in conditions similar to yesterday, but far less scary, knowing we’ve done it before. We had previously planned a resupply in Roan, so we hiked the 10 miles there. We opted to stay in a hostel and let the weather pass. Tomorrow is supposed to be slightly better, and the trail stays at a lower elevation for a long time now. The hostel accidentally overbooked, we we are in a much nicer room than we paid for, drying out and warming up!  Here’s to hoping conditions improve.","Overmountain Shelter
","Roan, TN","Apr 24, Tue",0
Penguin and Shiver,https://www.trailjournals.com//journal/entry/588380,"Damascus, VA - Mile 470
On 4/25 we departed the hostel in Roan. The weather was cloudy and misty, with minimal wind. Turns out that this seems like a tropical vacation, compared to what it was like in previous days! The terrain also became relatively mellow, so we polished off an easy 18 or so miles. Shiver has a new foot issue it seems - something to do with overuse on the ball of the feet. Turns out the human body takes some adjusting to hiking full time. Who would’ve thought. We setup camp at Mooreland Gap Shelter, as the rain picked up. 
The next morning, 4/26, we awoke to surprisingly clearer skies! The forecast was for more rain, so we were cautious still... We hiked out of the mountains down to the Laurel Fork River, a delightfully pleasant and scenic walk along fast water and falls. Certain types of trail conditions “don’t count,” (meaning the miles just pass without thinking or noticing). Walking along water in nice weather does not count. Walking along roads or in towns does not count either. So we enjoyed these bonus miles! A quick 6 miles up and down Pond Mountain brought us to Boots Off Hostel and Campground, as heavy rain resumed. We opted to pay a few bucks and camp here, with the use of showers, flush toilet, and a place to sit sheltered from the rain. And bonus - it came with a free shuttle to nearby stores where we treated ourselves to McDonalds for dinner! We sat with other hikers staying there and enjoyed being social for the evening, before retiring back to our tent in the rain.
4/27 brought drier conditions, but still clouds. We walked along the slightly swollen Watauga Lake, viewing another beautiful dam, before climbing back up into the mountains. After this initial climb, the terrain seemed to really mellow out, with only a few hundred feet up and down once in a while. The sun also finally returned! We were enjoying the weather and terrain so much that we opted to hike 20 miles instead of 16. We set up camp on the trail side. Funny how when it’s not raining, setting up camp and the routine of hiking is actually easy and somewhat enjoyable! We forget sometimes. This extra long day put us within another long day’s reach of Damascus, VA.
On 4/28 we decided to go for it and make the day a 1% into town (about 1% of the whole trail in a day - 22ish miles). The weather was perfect and the terrain remained tame. We hiked through beautiful pastures, and passed an old AT shelter that is no longer used but was preserved for historic reasons - the McQueen Knob Shelter. Lunch at 12 miles in, then another 10-11 downhill into town. We did it - our first back to back 20s. 
We allowed ourself a zero today, 4/29, having made time coming this way and to celebrate reaching VA. Been busy running around doing usual town errands, but ultimately enjoying a restful day before we push off towards Marion, VA tomorrow. Also, the Cavs just won game 7 against the Pacers, so we even more excited about our choice to stay in town tonight!","
",Damascus ,"Apr 29, Sun",0
