Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Puddles,https://www.trailjournals.com//journal/entry/581950,"Well, 2018 is off and running, complete with the longest stretch of extreme cold weather (sub-zero) that I can recall in my decades of living here in NH. It gives me time to train indoors while cooking and dehydrating food that I will package and eat on my thru-hike. It gives me time to pause and reflect on the magnitude of my life and the abundance of people and experiences for which I am most grateful. I have a wonderful life, and my thru-hike journey is not to escape any of that, but rather to find something perhaps I haven't spent enough time looking for all of these years. Me.  
For decades I have devoted myself to the wants and needs of others. That's not a complaint, just a fact, and it worked for me all these years. I started working at 12 as a babysitter and at 15 on payroll and I have owned my own businesses since I was just 17. I've worked more hours in these years than many who are a generation older than myself. Work has been an escape of sorts for me, keeping me fully occupied mentally. I'm also a wife and mother. I've left, or taken, very little time for myself, always thinking ""there will be time later"". What if ""later"" never comes?
In 2016 illness took over and 2017 was a year of much needed healing. I'm actually thankful for the illness, as it brought me the healing which brings me to this point in my life. My previous work habits can no longer be endured. It was years ago, at our local EMS store, while buying gear for our son's first Boy Scout overnight and while standing in line at the checkout I read the back of a book....on the Appalachian Trail. I'd never heard of it prior to that, but once read...I could never forget it either. It grabbed me by the hand (and heart). I knew at that moment that ""some day"" I would hike it...all of it. 
""Some day"" is something I reflect upon differently now. Having lost 2 young, outstanding fellow business owners and pillars of community pride and support whom I called friends and had such admiration and respect for in 2017 has helped me to understand that ""some day"" must be a day that we actively choose....or it may never come. It's important for me to understand that taking time to pursuit ones dreams outside work and family is important and that I am worthy of that opportunity. 
My wonderful husband Brian and I have spoken for years about hiking the trail together. And maybe we will still plan to do that. However the gentle tug of the trail for me has become an undeniable shout and arm twist that I can not deny. And there is no doubt for me that this is ""My Turn"". With 100% unwavering support Brian will be there for me and the thought of that causes me to overflow with emotion. He'll take care of my business, along with our son, and also be my trail boss, responsible for getting me gear, drop boxes and anything else I physically need on the trail. And his emotional support will be indescribable. I'm so Blessed. I could not ask for more. 
There is much for me to do, both at home and at work to ready myself for the trail. I am up for the challenge. This is My Year, this is My Hike and this is my Courage to Heal. This is a stroll for my soul. ""Puddles""",,View Entry,"Jan 07, Sun",0
Puddles,https://www.trailjournals.com//journal/entry/581997,"Spring is in the air! Well, not really...but it's 37 and sunny today which is much improved from the nearly 2 weeks of sub zero temps and extreme wind chills we just climbed out of. And the smell of spring? Probably just what's leftover from the marshmallow I toasted over the glowing wood stove. But even if spring isn't in the air yet, it will be soon. And I'll be ready!
So as the dehydrator softly hums its lullaby in the kitchen, preparing the delicious dinners I will enjoy on the trail, I sit at a nearby computer researching gear. As any long distance hiker knows, there is a plethora of gear out there touting the virtues of making your hike lighter, faster, dryer, more comfortable, etc. And to join it is an over abundance of advise, blogs, vlogs, reviews (many by pros who are compensated for such) and of course all the social media posts. It's enough to make me feel that my head might pop off and float away in the sea of it all. 
Thankfully, before frustration set in I took some pause. I had to decide, despite all this information, on what I personally need and what selections may best fit my needs. So I made a list of items that I will need on the trail and what is important to me about each of them. Then I went to work. Some of the items we already have. So I started with those. We have a Big Agnes Copper Spur 2 that we use when we overnight together. Will it be too big for just me? Can I save weight? Should I look for something lighter that I can set up with my trekking poles? What about a tarp? Or relying on shelters? I decided that I'm seeking solitude and I prefer a tent over shelters. It would be nice not to hear snoring in the middle of the night (my cat snores! And maybe Brian...a little). So a tent it is. I decided to bring the Copper Spur 2 for a few reasons. I love the tent. Its roomy enough for me to spread out in with my gear, I can sit up in it, its free standing and it will keep me dry and the bugs out. Sure, I could shave a little weight by choosing something else. But I like my tent. I did upgrade my backpack, since I was using an aged and very good condition EMS pack that we purchased all those years ago for our Boy Scout son. Built for a man, not a women which makes a difference in the shoulder straps. And I must say the experts at REI were super kind and helpful in properly fitting me for my new pack (Osprey Aura). I'll keep my Enlightened Equipment 20 degree quilt because that is also tested and proven and I can't beat the light weight. I took a look at my cooking set next...and it's for 2 people. So I modified that by purchasing a Snow Peak mug that doubles as a pot for boiling water and a measuring cup. It's perfect for 1 person and I can leave the bowl and mug set at home, a huge weight saving. But I'll keep my beloved MSR Pocket Rocket!
Now for the footwear. I'm not a shoe collector. I know, that may sound odd to you but I'm really not. I have however now amassed quite a selection of hiking footwear which appears as a small army of them lined up diligently waiting for orders. By far this has been the more difficult part of gear for me. I have suffered from the dreaded Plantar Fasciitis (PF) twice before. The worst episode while hiking in the Tetons. I want to be sure that my footwear choice prevents the PF from rearing its ugly head like a snake bite on the trail. I wish I could bring all of the members of my new army with me, but I know that isn't possible. So, until I leave for Harper's Ferry I will wear each one. I will wear them while working out, on practice hikes and just because. I'll work out with my pack on, walk the rocky and root sprinkled trails in NH and determine which one gets to come along. I will pack my backpack and take it with me on workouts and hikes, and when I finish I will unpack it in my basement ""camp site"" where I will set up my tent. I will need to be confident and proficient in doing this by myself. I'll have to do it nearly every day for 6 months, while I'm cold, getting rained on, in the dark and being chased by ravenous mosquitoes. Packing and unpacking will help me organize things the way I want them for ease of use and develop a familiar system that works for me. I'm an organized person, and I know I can not deal with the ""exploding backpack"" some hikers utilize. 
There's much to do before April. More training, more meals to cook and drop shipments to pack. I need to be sure the wonderful agents at my office are comfortable and confident and the Broker in charge is ready. Thinking ahead to the tasks that will need to be completed in my absence and preparing them for that as well as possible. And there is the new season of the Bachelor that needs to be watched!",,View Entry,"Jan 09, Tue",0
Puddles,https://www.trailjournals.com//journal/entry/582169,"It is another snowy day here in NH and I generally dislike the snow, however I see some benefit to it this year. I know, that' even hard for  ME to believe! In getting myself physically prepared to thru hike the AT, or at least as much as is possible for me to prepare in advance, I actually have been using the inclement weather as a fitness opportunity. I can see the irony in how I used to think of going out to shovel, such a chore! Back aching work! But this year I feel a bit welcoming to the opportunity to get my exercise in while being productive and purposeful at the same time. Not that it doesn't still come with the back ache, mind you.I've evolved. Many years ago, my son referred to me as a ""Gym Rat"". I was offended by it, but I really did spend time at the gym 5 days a week and for a couple of years had a personal trainer who whooped my butt 3 days a week before sunrise. I would do another 45 minutes on my treadmill at home after Kyle went to bed each night. I walked in the mornings before work when I wasn't at the gym. And then I guess I just burned out. I haven't stepped foot in a fitness center in probably 9-10 years. And my cross trainer at home sat so idle in its devoted room that Brian actually removed the detachable power cord so he didn't have to vacuum around it...and the cord was missing for a long, long time. Misplaced. We finally had to order a new one. For that long, long time I could not motivate myself to spend even 20 minutes on that machine. The only physical activity I squeezed into my insane work week was an occasional Sunday hike, 2 mile walk from the office at lunch and evening strolls with the dog and Brian. Sad but true. My how things have changed! I now look forward to shoveling, have been snowshoeing with my pack on, walking up and down the same set of stairs for 20-30 minutes, breezing thru sets of walking lunges back and forth across the house and 60 minutes on the cross trainer doesn't seem like enough! I am looking forward to being stronger and having more endurance on the trail. But the more important thing that I am receiving from my new exercise regiment is the realization that my mind and my determination are far more powerful than I thought. These exact tools will help me carry myself over more than 2,000 trail miles and countless ups and downs, physically and emotionally. And I will be ready to meet this challenge, head on!",,View Entry,"Jan 17, Wed",0
Puddles,https://www.trailjournals.com//journal/entry/582578,"It seemed impossible to pass up the chance to be outside with the great weather we had in NH this past weekend and I was thinking late in the week about how I could carve out the time and what activity I'd prefer in the predicted mid 40's weather, complete with a glowing golden globe in the sky. So on Friday when my Niece Laura asked me if I would like to take a hike with her over the weekend...it was an invitation I couldn't refuse. Knowing what the weather had been here recently (raining ice for days) I made a trip to the EMS store on Saturday after my last appointment to pick up the Smartwool base layer I couldn't bring myself to buy the last time I was there (I just wasn't sure I could get over the sticker shock) and a pair of Micro Spikes. I tucked the receipt in the box, thinking that it might be overkill on the purchase of spikes and if I didn't use them I would simply return them. I've always managed with my Yaktrax. On Sunday morning I slipped into my Smartwool and resisted the urge to crawl back in bed. At least now I am 100% certain of my sleepwear on the trail and I can justify every penny I spent on them! They might be the most comfortable things my skin has ever felt.So while Brian stayed behind dehydrating some homemade shepherd's pie and packaging the meals up for me, Laura and I packed our gear and lunch (PB & J) and headed out to Holderness for a hike up both East and West Rattlesnake. We arrived at the trail head and there were 3 or 4 other cars there, and several more across the street at the parking area for Mt Percival and Morgan, one of our favorite hikes! The parking area was an incredibly thick blanket of ice. With Laura's urging I promptly tossed aside the Yaktrax in favor of the Micro Spikes and found them immediately to be an almost luxurious feeling of confidence and security underfoot. Another justified purchase. I was so excited to get hiking that I threw on my pack and without even stretching we started out toward the trail, stopping to say hello to 2 beautiful dogs who were completely happy to be out for their Sunday journey. They reminded me a bit of our late dog Snickers, who would exhibit such excitement when we stopped at a trail head that she would often be bouncing around in the back of the SUV before we could let her out to go sprinting down the trail, looking back as if urging us to hurry up and follow. She was a great hiker, even if she resented carrying her own little pack. I don't know how she knew a trail head from any other place, but she certainly did.The day was as promised, in the mid 40's but breezy and an overcast that filtered the sun quite nicely to prevent becoming snow blind. The trail was often as thick a blanket of ice as the parking area, but I had 100% confidence in my footing. We enjoyed a great hike, stopped for a snack and later for lunch on the return overlooking the frozen Squam Lake below. It was a different perspective, since I've only taken this hike in warmer months. It was so tranquil below it seemed. Cabins and lake homes completely shielded in the summer now visible thru bare trees. Ice skaters, ice fishing, snow mobiles and the occasional vehicle on the ice below. Far different from the boats and general business of the lake in the summer. It was wonderful to see it this way. If it weren't for the cold wind, I could have stayed much longer enjoying the peace.I absolutely love hiking with Laura. She's a wonderful person and one of my favorite hiking companions. Easy and quiet, never rushed and we have a similar pace but never hesitate to hike a bit apart for solitude either. Always great company and conversation on the rides to and from the trails as well. I'm pleased that she's always willing to hike with me, a very lucky Aunt. On the ride home we settled on our next 2 hikes. Mount Monadnock, which tried to kill me in 2016 (okay, so that's just how it felt to me at the time) and an overnight on the Squam Range Traverse where we'll summit 7 peaks in about 14 miles and backcountry camp for a night. We'll save this one for April and it will be my shakedown hike and last of my gear testing before I leave for Harper's Ferry. Laura will join me on some sections in New England and it will be great to have her company and to catch up. For now, I will just continue to think spring!",,View Entry,"Jan 30, Tue",0
Puddles,https://www.trailjournals.com//journal/entry/583008,"Feeling the ""need"" to hike the AT this year comes easy...I really can't help it, it just speaks louder and louder to my heart until I can't ignore it. But making the choice to listen to it and obey its demands is altogether another story. I own a small business. A Successful Real Estate Brokerage with a team of 5. I love what I do and our clients mean the world to me, each and every one of them, even if many of them don't realize it. Thus deciding to leave for 6 months was an agonizing decision for me. So many questions and so much uncertainty initially circled in my head and kept me awake for hours at night with feelings of selfishness and guilt for having the want and the need to take this time for myself. Can I leave this behind for 6 months?At a recent team meeting I shared my struggles and concerns. The support I received from my team that morning and every single day since is so incredibly heartwarming and I feel so blessed and loved. I could not do this without them, not in a million years. I don't know how to adequately express how I feel about their support. The best I can say is that I feel like my heart is overflowing. I hope I make them proud out there!I'll be writing for the little hand delivered paper in our local communities and I hope that people who read it, enjoy it. If it were me reading one of my neighbors adventures, I think I would find that cool as heck!11 Weeks remain before I leave for Harper's Ferry and the Flip Flop Festival. Sometimes that seems like a long time and other days it feels like tomorrow, with so much to do in between. Either way, I'll be ready! Thanks to those who read this journal and write tips and words of encouragement and the support of my wonderful family at home and at the office!",,View Entry,"Feb 16, Fri",0
Puddles,https://www.trailjournals.com//journal/entry/584535,"I took a week off training. I fell 2 weeks ago on snow covered ice in a clients driveway. While the yaktrax and microspikes in my nearby vehicle laughed at me, my first thought was that I hope no one saw me splayed out on the ground! I mean really, I don't know how I allowed myself to be tricked by snow covered ice after living in New England all my life. That stuff is like baby powder on a marble floor and I know better. The second thought came after standing up and recounting the position my left leg was in and the slight twinge in my knee. No visible bruising, I worked out as usual the rest of the week but when the mild pain didn't subside I decided to rest for a week. I'm glad I did and it feels better. But getting back on the cross trainer today meant a workout that was harder than I remember. Still, it feels great to have accomplished it and I'm already looking forward to tomorrow. I know from social media, journals, etc., that I am not the only one concerned about getting hurt before starting the trail. So I will have to be more diligent about spying that Ninja ice so I don't get my butt kicked. There's a lot of ""suck"" to embrace on the trail and I don't want to have to try to embrace anything that would end my hike before it starts!Back on the food prep home front my order came in from Thrive, Untapped and Honey Stinger. Yummy natural energy snacks and my supplements. So I bagged up 6 weeks of my supplements last night and felt pretty accomplished. My dehydrated meals are growing in number and my wonderful Husband surprised me with a new freezer to store them all in. He also ordered my Spot, knife and a few other small items on my list, which is getting smaller by the day.",,View Entry,"Feb 16, Fri",0
Puddles,https://www.trailjournals.com//journal/entry/584539,"Time has been catching up with me and when I look over my shoulder I realize that in less than 6 short weeks I will be stepping foot on the AT to begin this amazing and exciting journey. When I stop to catch my breath and ponder it over it fills me with joy, anticipation and excitement as well as a sense of urgency to be 100% ready. We took a 10 day vacation to Hawaii in between training and food prepping. It was wonderful to be in the mountains there hiking. A particularly steep ascent aided by ropes really helped me to feel accomplished in my training. I felt very strong and able, yet at the same time I earned every bead of sweat that dripped from me. It was fun to share the adventure with Brian, and we both longed for more time there for trail exploration. What a wonderful island Oahu is. Now it's back to NH and back to training and food prep. I was able to cook some meals, run the dehydrator and add 9 more dinners to the growing collection. Later this week we will make the post office run to pick up some boxes that will be packed and ready to ship as needed. This way we can reclaim the dining room table which has become my staging area for snacks and dehydrated ingredients for meal prep.We've packed my pack and estimate that I will be around 31 pounds with 2 liters of water and 5 days of food. I'm satisfied with that and have been training with almost that much weight. I'm certainly looking forward to getting outside for the training without having to wade thru snow! So bring on the spring!",,View Entry,"Mar 20, Tue",0
Puddles,https://www.trailjournals.com//journal/entry/586296,"I can hardly believe that it is already April 10th and yet we still don't have spring weather yet. Seems impossible to remember an April so cold. I hiked yesterday a good portion of the auto road at Rollins State Park which leads to the trail head for Mt Kearsarge. I only had 2 hours in between appointments, so I wanted to make the best of it. I changed my clothes in the brisk but sunny afternoon air and slid into my pack for the ascent. It is steep and winding with occasional views. A short way up I was delighted to find that there was an open (and clean) privy! I was the only one in the park at the time. It was peaceful and beautiful though the road was still snow packed and I could see the many footprints (4 legged included) which had ventured in before me at other times. I never thought that I would listen to music while hiking. But being alone in the woods in the season of awakening bears made me a bit ""thoughtful"" of making my presence known. So I turned on Pandora and slid my phone into the pocket of my skirt and enjoyed the ""new""country music playlist. I saw no large animals or tracks, but a few playful and chubby squirrels and chippy's darting about along the edges of the road as I hiked. I was thrilled with the elevation to be honest. Working out indoors for the winter with a few snowshoeing excursions and a few treks up Oak Hill in Concord didn't really do much for getting me excited about climbing. I thought about how it would have been impossible for me to walk that road a year or two ago even without my pack. I feel so strong and so happy at this chapter in my life, physically and mentally. I realize I will need 100% of both on my upcoming journey and I feel 99% ready. I stopped at a wayside pullout and took a selfie of the view behind me. It makes me yearn for longer arms! I'm wondering how I can turn my hiking pole into a selfie stick. There must be a way, so I will have to research that. I had to turn around before reaching the top because I needed to be on time for my next appointment, but I really wanted to complete the road. On the way down I was so exhilarated that I found myself singing and doing a little dance on the few level sections. The grade downhill can be tough on the knees, which I am cognoscente of. So I practiced using the large leg muscles, instead of jarring my knee joints, by keeping soft knees. Very effective and I have no knee pain today. I also took 2 ibuprofen before bed just to be sure I could sleep thru the night without being awakened by joint pain. A refreshing nights sleep it was!  I learned before this road trek yesterday that this auto road is used by some to train for the annual run up the Mt Washington Auto Road. While I don't see myself ever doing that I do look forward to hiking the entire road, which is 7 miles round trip, a few times before my departure for Harper's Ferry on the 27th. I can't wait to see what's at the top and the accomplishment I will feel when I complete it the first time. I hope to see some changes in the weather too, perhaps the snow pack will melt off the road and some buds will burst open with their tiny ""new green"" leaves and the scent of spring. More woodland creatures will come out to play soon and the song of the arriving migrant birds will fill my ears with music. Spring is a time of renewal, rebirth and hope. Most all of my food is dehydrated and packaged up and several boxes are packed with assorted items to be shipped to me on trail by my wonderful husband. Our dining room plays a different role these days! My heart overflows with joy when I think of the level of Brian's support and devotion to me and I am reminded of how truly blessed I am. Life is wonderful! I'm looking forward to a final shake down hike with my Niece Laura the 21st and 22nd and stealing dinner dates with friends and family along with Brian so that we can see as many as possible before I leave. We hosted our friends Glen and Linda this past weekend and they made homemade baked beans, which are in the dehydrator now. I cherish the fact that I will enjoy those on trail along with sweet thoughts of such wonderful people and I will not feel alone. My heart is full.",,View Entry,"Apr 10, Tue",0
Puddles,https://www.trailjournals.com//journal/entry/586799,"In my mind hearing 12 days is different from seeing it in type. It feels so vivid in the written form, so real and solid. Wow! On Wed I left work at 3 and hiked the entire 7 mile round trip auto road to Mount Kearsarge from the gate at Rollins State Park. Nearly 1,800' of elevation gain and an average of 8.7% grade gives me a good idea now of my hiking speed and how my body reacts to that kind of hike with a pack (minus the water bladder). My calves were tight so I wore my compression socks to bed and have been diligent about stretching. I'll do all I can to avoid Plantar Fasciitis again and I know that my calves and hamstrings need stretching often. Yoga has been a blessing and I will practice on the trail every day! I don't care how fast or slow I hike, that isn't a focus for me, but it is important to be able to judge the right locations and times for my packages to be shipped to me. I don't want to wait around in town for a package to be delivered if I arrive days before it. Being able to use this hike to gauge my current speed will help in planning for Brian, if he doesn't forget, which I hope he's only kidding about! I do tease him that he seems to use my brain a lot...when he forgets things. Sometimes I can be faster than google and he doesn't have to type! This morning was an errand run with Brian to Walmart for some last minute items. I have been using Nido in my oatmeal and other meals and I have been ordering it online but I always run out. I was delighted when Brian found it at Walmart! With the last minute items I was able to spend my last day in the kitchen cooking meals that will be dehydrated this week. The freezer is almost full. My absolute favorite meal is an Epicurious recipe for a chicken chili with white beans. I have made a few batches over the past several months and just like this time only half makes it to the dehydrator. It appears to be one of Brian's favorites too! I wonder if he will miss my cooking. I try to imagine what his days and nights will be like without me home. When I tell people that I am hiking the AT they have many questions and some have fears for me. Ironically their fears are not the same as mine. They want to know if I will be armed, if I'm afraid of the people I will meet, animals or getting lost. I'm actually not in fear of any of those things. My fear is thunderstorms. Yup. Any natural flash of light more powerful than a firefly is terrifying for me. TERRIFYING. Those close to me know how this impacts me. To even take a summer stroll when the soundless heat lightning is flickering in the distance is dramatic. To say I startle easily at distant flashes might be an understatement. With some professional help I am trying to tackle this fear and to scale it back to manageable. This past week I started reading about thunderstorms online and I will follow up by watching video and listening with the volume up so that I can retrain myself to feel differently in the situation. Of course my preference would be not to get caught out in one, but that may not always be realistic. I have the AT weather app on my phone, and this will help me in terms of avoiding some days with forecast storms but there may be days with a low chance of storms where I choose to hike, and I will need to be able to calm myself. Historically for me knowledge has given me power and I will try that power play with this also. Please pray for my success.  I will plan to hike Kearsarage at least twice more before leaving for Harper's Ferry. Getting my calves adjusted to hours of incline hiking is good. Next weekend is my overnight shakedown hike with Laura and I sure hope spring gets here before then! Ice falling from the sky today and temps in the 20's certainly has the woodland creatures and we NH humans a bit disgruntled. I'm holding out the hope that spring prevails!",,View Entry,"Apr 15, Sun",0
Puddles,https://www.trailjournals.com//journal/entry/588019,"I took another hike up the Kearsarge auto road today. It was about 45 degrees, partly sunny and breezy making it pretty chilly. Today was different in that there was a car near the gate and a DOT van that pulled up as I was getting ready to head up. I bundled up in my wool hiking top, a lightweight fleece, wool beanie and fleece mittens. I took advantage of the open privy not far from the gate and began on my way. As with some women of a certain age, I can warm up in a flash. but not a quarter mile into the climb I was so overcome by it that I couldn't rip off the hat and gloves fast enough! I think I will find more comfort in starting cold than staring warm on the trail. Lesson learned. 
Today was different in other ways too. Some days are just harder than others and I felt like it was taking more effort for me to get into the zone and make this 7 mile trip. It doesn't help that I have a time constraint when I am out hiking. I generally have a window of opportunity and need to be at an appointment somewhere else on time, in my work clothes and without a 30 pound pack on my back. Not to mention my phone rings and dings with email, text and calls....because I am still working. It's distracting when I just want to focus on the beauty around me and take joy in the pleasure of hiking. It makes me wonder what it will be like to have nothing but hiking and caring for myself to do when I am on trail and I am looking forward to trying that out!
As I mentioned, there were people here today. I'm used to having this mountain to myself and today I was sharing with strangers. Not long after I stripped off the extra layers I felt the ""presence"" of someone. We've all had that feeling. I turned and looked down the road and saw a man carrying a jacket in one hand headed up. I didn't expect to have any feeling about that, but I suddenly felt vulnerable. I did a mental assessment of where I keep certain things, in case I need them. Such as what side my whistle is on, where is my pocket knife, etc. I stopped to the side for a drink of water and allowed him to pass felling more comfortable that he was in front of me and noted his features, the water bottle on his right hip and of course the leather sheath on his left hip which contained a knife larger than my little pocket knife. I continued up a minute after him and a woman older than me was jogging down, smiling. While I was struggling with it not being my easy day, I though heck....she just ran this 7 miles and if she can do that I sure as heck can walk it even if I don't feel peppy. And so onward I went. The man turned around not long after that and headed back down. I didn't see him again. 
I stopped for lunch at the half way point, ate my PB&J standing and without a break continued my trek. I was reminded by my stomach how important it is to relax and allow it time to do its work before I ask my body press on. The body doesn't do well digesting and exercise at the same time, or at least mine doesn't. Taking time for these things is how I want to practice my self care on the trail. At home I eat and work at the same time, sometimes all 3 meals of the day. On trail I will make it a point to stop and enjoy each one of them and actually feel the nourishment, physically and emotionally and take note of the beauty around me. 
I completed my round trip while 2 couples hiking separately were headed up. It was a successful day after all and I felt good. I thought I would be hiking on the bare road, but since the snowstorm last weekend had dumped additional snow upon the mountain there was actually more snow cover than the week before. I won't make another trek up before I leave for WV. But the mountain has been good to me for training, more than just physically.",,View Entry,"Apr 18, Wed",0
