Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Rickless Morty,https://www.trailjournals.com//journal/entry/585938,"After meeting Rick (the guy I plan on starting the trail with) 2 weeks ago on a short 17 mile one night backpacking shakedown hike, things were finally being set in motion to drive down from PA to GA to begin our journey. Rick wanted a location right off the turnpike so I suggested Marzoni's since it fits that criteria and I am (was) a Tuesday regular. At 18:30 Rick got to the brewery, I said my goodbyes to my parents as well as my bartenders who were convinced I would be eaten by bears. We got to Rick's sister's (Kathy) house in Chambersburg, PA and I met their mom for the first time as well. That night I slept on the floor with my thermo-rest and sleeping bag, beginning the normal trail routine.",,"Chambersburg, PA","Feb 27, Tue",0
Rickless Morty,https://www.trailjournals.com//journal/entry/585942,"We left Chambersburg, PA at 08:00. It was a 10 hour drive and the GPS took us on the scenic tour it seemed for the last hour instead of taking main roads to the Comfort Inn in East Ellijay. We are planning on doing touristy things tomorrow. It still hasn't hit me that I will be beginning a 2100 mile trek tomorrow.",,View Entry,"Feb 28, Wed",0
Rickless Morty,https://www.trailjournals.com//journal/entry/585950,"We took a very sketchy dirt forest road for about 10 miles to the Springer Mountain parking lot. We tried to hike the 1 mile up to the southern terminus before the storms rolled through. We got caught in the storm on our way back down the mountain but we were staying at a hostel tonight so it wasn't a big deal. I did the day hike with my full pack because that's how I wanted to do the entire trail. We then drove to Amicalola Falls to register. I was 462. We walked around the base of the falls, took our pictures and proceeded to drive to the lodge and to the top of the falls as well. The Lodge was a ghost town maybe only 10 people in the whole place in the lobby. Having completed are list of touristy things, we ended our drive at Neel Gap where Rick and Kathy paid for a bunk and I decided to car camp, which seemed to become the norm for all my recent big adventures. Crazy to think it all really begins tomorrow!","Springer Parking Lot
",Springer Mountain,"Mar 01, Thu",1
Rickless Morty,https://www.trailjournals.com//journal/entry/585951,"Left Neel Gap a little after 8 for the Springer Mountain parking lot. Our shuttle with Brett only cost us $50 for all 3 of us. It was a pretty good deal. We traded business cards. I figured that this is the guy I need when I'm guiding clients in northern Georgia. The wind wasted no time greeting us with fierce gusts right from the parking lot. I had made a schedule with excel with all the places I would be on what dates so that it would be easier for friends and family to meet me on the trail but we delayed a day because of the rain so I was already 17 miles behind schedule but schedules are meant to be broken. I had purchased 17 days worth of food in PA on the cheap not really knowing exactly how much I would eat and how long before I'd get sick of eating the same stuff. I bought a lot of instant grits and knorr rice sides. Luckily I only needed 9 days worth of food in the beginning to get me to my first resupply and the other 8 days will be waiting for me when I get to Boiling Springs, PA. I decided that I would just buy all my food for the whole hike. The grits were getting a bit much today for me. We enjoyed Atlanta, GA from a distance on top of Sassafras Mountain. So far no pain. The pace was a bit slow but this was expected and needed as well. It was pretty chilly all day, I never made it out of my rain gear. Made it to mile 12 today, only a few more to go, right?","Springer Mountain Parking Lot
","Cooper Gap, GA","Mar 02, Fri",11.20
Rickless Morty,https://www.trailjournals.com//journal/entry/585953,"Left camp at 8:30. Very cold start today although it did warm up enough to strip down to just shorts and a T-shirt later. Met Scarlet from London at Gooch Mountain Shelter. Got some trail magic thanks to McGyvier. He was grilling hot dogs and had bananas and chips. Woody Gap was packed. We were hiking with Pat for a decent part of the day. We were the first to arrive at the campsite which we decided to stay at because the Lance Creek was pretty full and also heard that the Nora virus has been reported there in previous years. Pat joined us shorty, followed by Scarlet, old Mart, and the family (3 kids, a 2 yr old, and the parents). We had a tent city going with our 8 tents. Hoping tonight will be warmer then last night.","Cooper Gap, GA
",Miller Gap off Dockery Lake Trail,"Mar 03, Sat",10.80
Rickless Morty,https://www.trailjournals.com//journal/entry/585957,"Left camp at 08:00. Watched the sunrise from camp. We were the first to hit the trail. Seemed to climb a lot today. Climbed to the highest point in Georgia on the AT, Blood Mountain. The climb was actually not too bad and the views were amazing from the top. Lots of weekenders and day hikers but it's Sunday so that happens. The trail down to Neel Gap was aggressive with lots of large rocks to scramble down from. Rick, Kathy, and I made it to Neel Gap around 2. They are both staying the night but I am going to press on. I passed my time at Neel Gap with a frozen pizza and some trail magic PBR. Good times. After a resupply, I left my Rick and his sister Kathy and hiked another 7 miles in under 3 hours until almost sunset and set up my tent by Preston for the night. He was a former Philmonter as well. He told me to look for his friends Zoltan, Meg, and Matt. It feels strange to finally start hiking my own hike.","Miller Gap off Dockery Lake Trail
","Hogpen Gap, GA","Mar 04, Sun",15
Rickless Morty,https://www.trailjournals.com//journal/entry/585959,"Left camp at 07:15. Got some water at Low Gap Shelter which was apparently the place to be, maybe 20 people there. Received some trail magic at Unicoi Gap. Had myself a Gatorade, crackers, rice krispy treat, and a snickers. I met 2 thru hikers there as well. Josh, who was also a SUNY ESF alum like me but considering that everyone from my college wants to hike the AT, it really shouldn't come as too big of a surprise to run into a few. The other hiker I met was Eric. First 20 of the trek , and I did not feel too bad. I had company at the shelter tonight a different Josh who didn't have trekking poles, Shadow, Poncho Villay, and Road King. The trail was a bit rocky today. Calling for rain tonight.","Hogpen Gap, GA
",Tray Mountain Shelter,"Mar 05, Mon",20
Rickless Morty,https://www.trailjournals.com//journal/entry/585960,"Left camp at 7:30. It rained until 13:00. Trail wasn't too bad just slippery from the rain. I hungout at the Top of Georgia Hostel for 2 hours to warmup, dry off, charge electronics, drink free coffee, and print out my Smokies permit. My Tray Mountain friends were supposed to make it to the Plumorchard Shelter but the rain caused them to change their minds and stay at the hostel. I met to more ESFers at the shelter. Nick was one of them. The shelter was 3 tiered, which was good because there must have been 27 people there.","Tray Mountain Shelter
",Plumorchard Gap Shelter,"Mar 06, Tue",15.50
Rickless Morty,https://www.trailjournals.com//journal/entry/585962,Left at 6:30 today so I was the first to leave. Crossed into North Carolina today and it instantly dropped 10 degrees. There were some passing snow showers as well. I was surprised to find Preston's Zoltan and told him that Preston was on his way. Every ridge was super cold with powerful wind gusts. I am thinking of buying more layers at NOC before I go up into the Smokies.,"Plumorchard Gap Shelter
",Carter Gap Shelter,"Mar 07, Wed",19.80
Rickless Morty,https://www.trailjournals.com//journal/entry/585963,"Left at 06:20. Super cold hiking today, hopefully today is the worst of it. Camping with Little Foot, Future, Mark, Strangler, Devin and Mark from London. 6 weekenders are here as well, not sure why they would want to backpack on such a cold weekend. You know it's cold when your pen won't write and you have to use a marker.","Carter Gap Shelter
",Siler Bald Shelter,"Mar 08, Thu",20
