Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Spider & ET,https://www.trailjournals.com//journal/entry/593044,"Well, it is time to start our journal for our upcoming 5th section of the AT. The previous sections have been in ~500 mile chunks, but we are only planning to hike ~250 mile this time. The shorter distance is for two reasons: 1) We will spend most of our time on this hike in the White Mountains where miles do not come easy and 2) Spider had knee replacement last year (That's why we didn't section hike the AT last year) and not sure how the knee will handle the miles.
We have our plane tickets to fly to Boston, then a commuter flight to Lebanon, NH (town just south of Hanover, NH or starting point this year). With about 7 weeks to go, it's time to start organizing the food and gear. More on that later",,Home,"Jun 04, Mon",0
Spider & ET,https://www.trailjournals.com//journal/entry/593608,"Went shopping for our trail food today. We prefer to package up our food and send it to various P.O.s or Hostels along the way, rather than take ""potluck"" in the towns we pass through. We find we can balance our diet better that way and usually keep the amount of weight and space the food takes to a minimum. We will collect boxes from the Post Office on Monday and begin to fill them with food and other ""stuff"" over the next month.
We've been communicating with friends that we will connect with as we hike the northeast. We met one couple as we hiked through Virginia 3 years ago. They were thru-hiking the AT as we were hiking our 500-mile section. We hiked with them for about a week and had a great time. They own a place in Maine and invited us to stay with them when we hiked through their area...that will be this year!!
Also connected with a couple we met through our work in Chevron. Sherrie worked for Chevron for a while but later quit and moved to Virginia when her husband got a job with the Library of Congress. They met us and went to lunch when we hiked the AT through Virginia 3 years ago. Now they are retired in Cape Cod and have invited us to visit. So our plan is to see them at the end of our hike, before we head home.",,Home,"Jun 10, Sun",0
Spider & ET,https://www.trailjournals.com//journal/entry/595603,"Today we got all of our backpacking gear down from the attic and started going through it to make sure we have everything. We keep lots of stuff for camping, short distance backpacking, long distance backpacking etc., so it's not a trivial process to sort out everything we will need for the AT. But being overly organized, we have a list for everything, so started to go through our ""AT Gear List"".
To add to the chaos, we will be headed out on a week camping trip with friends in 2 weeks, so we are trying to set aside the gear for that too. It's a very different kind of camping with a 10-man tent, zero gravity chairs, queen-size air mattress etc....definitely prep for a ""Tale"" of two camping styles.
Both ET and I are creating a to-do list of what needs to get done before we head out on a 6 week trip. Both lists started out with only a couple of dozen items but seem to grow each day as we think of things, even though we are trying to complete things as fast as possible.
Only 30 days before we hit the trail!!",,Home,"Jun 28, Thu",0
Spider & ET,https://www.trailjournals.com//journal/entry/595970,"We visited ET's 89 year old mother to deliver her birthday present this weekend. She lives in Carmel, CA so took advantage of our time there to hike 5 miles around Pt. Lobos State Park. The trail is either rocky, rooty or gravely. It climbs up and down along the coastline. Great test for my new knee, my knee brace on my other knee and my cardio. Everything worked well...we averaged 2.5 mph.
Next we head to our second home, up on Lake Tahoe, for the 4th of July week. That should give us some time to hike at elevation and build up the red blood cells!!
We have made a first pass through all our gear and have made a trip to REI to fill in some gaps. Still have purchases of items from some other stores before we have everything but we are getting things organized",,Home,"Jul 01, Sun",0
Spider & ET,https://www.trailjournals.com//journal/entry/596214,"Happy Fourth of July!! We are spending it at our house at Lake Tahoe...only about the 4th time we have done that in the 15+ years we have owned it. We brought some projects for our AT hike up with us, plus the to-do list for this house, mowing the lawns, raking pine needles, trimming bushes etc. Will have my oldest son check on the place a couple of times while we are hiking the AT. Just one of the many things we have to arrange for being away 6 weeks.
Spider is the planner for all our hikes and he is pretty ""anal"" about it!! He has read many of the 2017 TrailJournals of those who hiked the area we will be hiking this year. From those journals, AWOLs book and the Thru-Hikers Companion he has planned our hike, noting particularly difficult sections, good hostels to stay at etc. He continues to tweak the hike, but realizes the trail, weather and our bodies will be final determiner of our hike. One recent tweak was to plan a slackpack of Mt. Moosilauke...southbound, based on recommendations of many who did it, or wished they had.
One of the projects we brought to Tahoe was reinforcing our hiking pants. From reading the journals, many had issues with wearing out their pants from sliding up and down on the many rocks that needed to be negotiated...The butt and crotch areas were particularly vulnerable. So Spider is using fabric glue to put patches of canvas on the butt of our hiking pants and on the knees. We don't know if it will work or not, but thought it might be worth a try. Also since Spiders ""new"" knee is painful to kneel on, he is adding some padding under his knee patches to make it more comfortable climbing on his hands and knees.
3 of our 5 food boxes are packed, we will finish the last 2 when we get back home. Wrapping up the last few loose ends about someone watching our house and picking up our mail.
We are 3 weeks away before we crawl on a plane to Boston...Getting excited!!",,Home,"Jul 04, Wed",0
Spider & ET,https://www.trailjournals.com//journal/entry/596901,"We are getting down to the wire with our preparation. Unfortunately daily life is continuing to pull us away from our preparation for the AT.  We both have to-do lists that range from 40-50 items. A lot of things to do when you plan to leave for 6 weeks!!
Attached is a photo of ET wearing her “augmented” hiking pants. We have put a layer of canvas on the seat and knees of our hiking pants in anticipation of doing a lot of climbing on hands and knees and sliding down on our butts in the Whites…and in Southern Maine. We wonder if these pants will be a best practice on the AT...or a folly…only time will tell.

We just spent a week at our house near Lake Tahoe. The plan was to acclimate to the 6000+ foot elevation and do some hiking. Unfortunately,  we spent most of you time doing things around our house getting it ready to be abandoned for 2 months and preparing things for our AT hike. So we got acclimatized but not much exercise (unless raking pine needles counts!!)

Spider spent a lot of time reviewing our hiking itinerary and ultimately made several changes that changed how much food we would carry each week and, in some cases, where the food resupply box would be sent. It’s important because the first resupply box goes out this week!! 
Spider completely packed his pack today (water, food etc.) and it weighed 38 lbs. A little more than previous years because of more cold weather clothing. He will be working over the next couple of weeks to try to get it down closer to 30lbs.

We have been watching the weather on Mt Washington with about a month to go before we get there. Looks like it will be a crap shoot…some days are magnificent and some are unhikable!!",,Home,"Jul 11, Wed",0
Spider & ET,https://www.trailjournals.com//journal/entry/597285,"We have a busy week next week so we are trying to finish up most of the detailed preparation for our AT hike this weekend. Spider finished all the documentation and reduced it on the copier to minimize the weight. We then finished packing all our resupply boxes and sent out the first box...makes our hike seem more ""real""! 
We have been going through all our gear to make sure it has survived it's storage for the last year, in usable shape. Our picture of today is our tent set up to ensure all parts were there and no surprise holes that might let the rain in...because we certainly expect rain!! We are watching the long-range forecast and it predicts we will arrive in Hanover, NH on a day of thunderstorms...which will turn to a day of showers by our third day on the trail. Oh Well...Welcome to summer in the Northeast!",,Home,"Jul 15, Sun",0
Spider & ET,https://www.trailjournals.com//journal/entry/598221,"4 more days and we will be hiking the AT. We just got home from a week in the mountains above San Diego. ET has an annual get-together with friends that she rode horses with when she was a young girl. Every year they have a reunion and those who still have horses, bring them. It is a week of socializing, eating and horseback riding in the Cuyamaca Mountains. However, since we don't have horses, we hiked. 
The elevation was similar to where we will be hiking in New Hampshire, 4-6000 feet so we decided to take advantage of it. We hiked all 6 days we were there and hiked about 50 miles, up every mountain around. The attached picture is from the top of the tallest mountain, Mt. Cuyamaca at 6512 feet. The temperatures were in the mid-80's so once again similar to what we are seeing in New Hampshire...the difference was we only carried daypacks and the humidity was only 30-40 percent. However, our bodies stood up to the onslaught of day after day hiking and Spider had a good test of his new knee.
After getting home yesterday, we have been racing around completing all the tasks we waited until the last minute to tackle like paying bills ahead through August, haircuts, last minute clothes washing etc. We each have about a dozen tasks still to do, but by tomorrow afternoon, if they aren't done, they won't get done!!
We are getting excited about finally getting back to the AT!!",,View Entry,"Jul 24, Tue",0
Spider & ET,https://www.trailjournals.com//journal/entry/598386,"We finished all of our to-dos today and actually had some time to relax. Our neighbor Carl volunteered to take us down to the BART station, eliminating the need to call a taxi or schlep our backpacks on the local bus...Thanks Carl!
We arrived at the airport about 2.5 hours before our red-eye was scheduled to depart. However when we tried to check in our bags/packs, we found our flight had been CANCELLED within the last hour. After spending 45 minutes with a United ticket agent it became obvious that we were not getting to Boston tomorrow morning as planned...which means we would also miss our connecting flight to Lebanon/Hanover, NH. Hmmm..we know we have to be flexible on our itinerary on the trail due to weather and terrain challenges, but didn't expect to have the need for flexibility to start at the airport!
We are scheduled now to fly out tomorrow morning and now have a reservation on a bus to get us to Hanover (we arrive too late to reschedule our connecting flight). If all goes as planned we will arrive in Hanover about 14 hours later than originally planned. Which means we may need to modify our hiking plan..that is yet to be determined.
So where I expected to have a picture of ET lounging in the airport waiting for our plane to take off..instead we have ET lounging in the hotel room we were comped by United. Hopefully things will work out better tomorrow!",,View Entry,"Jul 25, Wed",0
Spider & ET,https://www.trailjournals.com//journal/entry/598482,"Last night we ate dinner in the hotel's dining room..mostly on United's dime... and got to bed at 10pm. During this time, Spider was busily canceling our connecting flight from Boston to Lebanon/Hanover. The Cape Air lines flight was something we had been looking forward to... unfortunately they had no flights scheduled we could connect with on our altered itinerary... Darn! Based on his earlier research he knew of a bus line that ran from Boston to Hanover... and the ran into the night. So he made a reservation for this evening. Lastly, Spider called the motel in Hanover to let them know we were changing from an early arrival to a late arrival!
Up at 6am to catch the 6:30am shuttle. To the airport by 7am for our 9:30 flight... wanted to make sure we had plenty of time to deal with any ""surprises"" that might come up... of course there were none! Sooo, we had plenty of time for breakfast at the airport.
Uneventful flight and landed in Boston a little early... in the rain... Uh oh! Got to the bus stop at the terminal and caught our Dartmouth Coach bus. Arrived in Hanover at 10:15. Pulled up the Uber app and... nothing... Uh oh! Walked to the nearby Hanover Inn and asked for taxi recommendations... got 3. After several no answers finally got the Big Yellow Taxi to pick us up. Arrived at our motel at 11pm. 
Arriving this late means all the town ""stuff"" we planned on doing today by arriving early, will have to be done tomorrow morning...stuff like buying fuel for our stove. This means a later start on the trail than planned, so it is yet to be determined if we will make the miles we planned for Day 1.
Time for bed!",,View Entry,"Jul 26, Thu",0
Spider & ET,https://www.trailjournals.com//journal/entry/598692,"We awoke to our alarm at 7am...lots of things to do! We first repacked our backpacks to be packs for the trail and not suitcases for the airplane by taking out our trekking poles, moving food and raingear to be accessible,  etc. We took showers, our last for awhile, then went to the lobby for our free continental breakfast at 8am. Unfortunately you get what you pay for: watered down orange juice, watered down coffee, watered down waffle mix and stale Cheerios. But we found enough to fill us up. The best part of the breakfast was the other guest there having breakfast. It was a guy who had just finished hiking the section of the AT that we were about to hike. So we picked his brain!  Really special, the guy just finished section-hiking the AT, over 25 years.
Spider had voluntered to go get the fuel for our stove (airlines prohibit the transportation of stove fuel so we always have to find a source at our destination). His plan was to use the local free bus system to a nearby hiker supply store. So while ET continued her conversation with the other hiker, Spider headed to the bus stop. Given he would have to change buses both directions, the speed at which he was able to do this would determine what time we could get on the trail. Fortunately, all connections worked well and Spider returned by 9:30am. We got dressed for the trail, finished packing our packs, checked out of the motel and caught the 10:30am bus to downtown Hanover.
We officially stepped back on the AT at 10:40am. Hooray! It started with a walk through the streets of downtown Hanover. Once at the edge of town, the trail entered the woods and we began to climb, steeply in some places. Our packs were full of 6 days of food and our bodies were city-soft, so the miles came very slowly. We maintained our usual pattern of hiking for an hour, then taking a 20 minute break to rest and eat a little food. We calculated that we were moving at about 1.5 mph. That made it a long day. As we hiked, we were passed by all the twenty-somethings who are thru-hiking the AT. We also met Otto, an older man hiking the AT from New Jersey to Maine. He too passed us by!
Things were going well until about 3pm when the predicted thunderstorms hit. We started hearing thunder at around noon, but it was far away so we hoped it would pass us by. No such luck. We stopped to put the rain covers on our packs but decided to not put on our raingear. We were already soaked from sweat with the 80 degree weather, and putting on raingear only makes us hotter. So on we hiked in the light rain..then heavier rain...then buckets of rain! The rain lasted for about 2 hours. The trail had been wet from rain on previous days, but now it was a river! We waked cautiously because of wet, slippery roots and rocks, and then we had to walk on the edges of the trail to avoid the deep water.
We finally made it to Mink Brook at 5:30pm, about 2 miles from our destination shelter. Unfortunately, all reports Spider had read was that the water source at the shelter had dried up, so we needed to get our water at Mink Brook. We filtered a 2 gallons of water then headed out..uphill! It was a slow trudge up South Moose Mtn to the shelter (no we didn't see any moose!)...arriving at 8pm just as it was getting dark. 
We quickly set up our tent and ate our dinner by using our headlamps. Ironically, we found out that the water source at the shelter was once again flowing due to the recent rains..oh well! To bed by 9pm...we are finally back on schedule.","Hanover, NH
",Moose Mountain Shelter,"Jul 27, Fri",11
Spider & ET,https://www.trailjournals.com//journal/entry/598695,"We had a little excitement during the night. At about 3:30am we were awaked by a clap of thunder. As we lay there, a parade of lightning and thunder continued. Soon it began to rain..very hard at times. Kind of hard to sleep when you feel like you are inside a drum! The storm lasted about 2 hours. After that we fell back to sleep until about 7:30am.The sun was shining with a few clouds when we crawled out of the tent. We decide to have breakfast in camp rather than on the trail like we usually prefer. We finally hit the trail at 9:40am..much later than usual for us.
The first thing we did was crawl up North Moose Mountain (still haven't seen a moose.) Then we had a long run down the north side of North Moose Mountain.  Along the way we took a break at a rare viewpoint, which is today's picture. In the distance is Smarts Mountain, a mountain we will climb tomorrow. We continued down about 1300 ft only to climb back 1000 feet to Holt's Ledges. These ledges are a Peregrine Falcon nesting area and we could hear them screeching as we looked at the vista.
Next was a steep descent to a road, then the last several miles were a series of small ups and downs. At one place, after crossing a small creek, we had to climb an 8 ft vertical rock wall. This is where we had to let the treking poles dangle from there straps and use our fingers and toes to grip the rocks and roots and climb the wall. We understand we will have many more opportunities to do this, for a further distance, in the upcoming days...Oh Boy!
We made it to the area we were going to stealth camp by 6:40pm. We found a big, soft, leaf-covered area where someone else had obviously camped. It was nice to be able to set up our tent and eat dinner before it got dark. We are now positioned to tackle the tough climb up Smarts Mountain tomorrow.
Animal sights: 2 deer with big white tails..White Tailed Deer?","Moose Mountain Shelter
",Stealth camp near Grant Brook,"Jul 28, Sat",8.50
