Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
That Golden Guy,https://www.trailjournals.com//journal/entry/581341,"My name is Robby. Think I have done all the planning.  Taking hikes about once per-week in Panthertown National Park (nearby) with my dog Indie. So far she is best selection of two possible, can take her off leash and she stays nearby, returns when called and such. Have 90% of the gear. Opted for mostly stuff I have accumulated over the years and upgraded some to more efficient and lighter editions. Finishing up notes at work for person filling in, notes for wife on who to call, what to do if? Trying to make the final decision on to take or not to take a dog and which one. Just seems if they are a huge part of my life it's the right thing to do or at least try. Done or doing what everyone else is in terms of preparation but not to any extreme. Will do final tweaks as time progresses - use every piece of gear, finalize pack sequence based on daily events, mentally prepare as best I can, physically as best I can but do have attitude of start slow and stay slow until confidence is fully established. I always hike alone. This is MY hike and I never want to compare it to what others are doing or plan to do, how many miles per-day, pack weight, best equipment and such. Always the balance of who or how many people to tell since so many things can change the plans of even the most confident of hikers. That's what makes this the AT--a truly individual experience. The photo is of the pack - from right to left- Cashie, Indie (daughter of Cashie) , Maxie, Duff the Man Dog, and Breaker (daughter of Indie) up front.",,View Entry,"Dec 20, Wed",0
That Golden Guy,https://www.trailjournals.com//journal/entry/581973,"It's sleeting outside, foggy, freezing, a really bad day for anything-except starting another journal entry.  Still have many items to check off on the get ready list. I selected a trail dog - Indie. She will accompany me on the hike. Now need time to get Indie working and comfortable with her new harness and pack. We live next to a national park and have been doing hikes to work on commands, me trying new gear, remembering lessons learned for old hikes. And, it's different when you bring a dog with you. Everything gets a bit more complicated! More research, more planning, more responsibilities, more weight, more things mail drops. more contingency planning -- but will be worth it. I really want to keep this journal interesting for you and me!. I want to avoid how many miles we did, how tough the trail is, how hard things are - I know and expect all that so no use in repeating the obvious. I want to focus on the positive aspects; those things that make you feel good and the end of a long day. So, with that being said I hope you will follow us and provide encouragement - it will be most appreciated.",,View Entry,"Jan 08, Mon",0
That Golden Guy,https://www.trailjournals.com//journal/entry/582703,"Hey, I woke up and saw there is less than a month before we hit the trail. I am wondering about the weather. I expect it to snow in March, it snows every year in March, every journal I have read shows hikers slogging thru the snow. But, it also seems to be snowing every other day around here- now. Most of my pre-hikes in Panthertown Park I have encountered heavy ice, sleet, cold rain. Guess it is a  really good experience to be somewhat miserable on these warm up adventures. Work out the kinks in proper clothing, pace, rest stop intervals and food. Indie always seems in good spirits which, of course, raises my level of feeling good in bad conditions. Its all good! 
The logistics of the hike is coming together. I will detail plan the first 500 miles and leave it at that. From there on I'll do the advance work on zero days. The equipment list is about 95% firm. I am always amazed at the little things that pop up, little nuggets that will help out on the trail. For example, while trying out some dehydrated food, cooked in its container with hot water and placed in a cozy to warm up and get right, I had an epiphany!!  I went to eat out of the package and surprise! My high speed, low drag, ergonomic, super light weight spork was about two inches too short to get anywhere near the bottom of the container. Option cut the bag down as I ate or get a longer spork -- the latter was ordered yesterday. So now no worries as I hunker over a bag of mystery food in blowing snow and can't get to the bottom of the bag due to a defective eating instrument! I shared this revelation with my dog Maxie (one of the Cahill five) and she was happy!",,View Entry,"Feb 05, Mon",0
That Golden Guy,https://www.trailjournals.com//journal/entry/582740,"I thought I would write a bit about what I have been doing for the past 10 years. When I retired the second time, Jeannie and I moved to the mountains of North Carolina from Florida. Looking for something to do, and with absolutely no experience,  I volunteered for the Blue Ridge Free Dental Clinic in Cashiers NC. Originally serving as a Board member and, after that and out of necessity to stay open,  I learned how to be a Dental Assistant to our lead and founding Dentist. Considering we started in the back of a truck to today, a modern clinic, eleven Dentists, two hygienists and  all services free to those who qualify, is simply amazing. The staff here is fully supporting my hike and I greatly appreciate that!  Coupled with Jeannie's support I do not have to worry about that stress point! It is essential to have that for a successful hike. Peace of mind is essential. By the way, we have come a long way since what is in the picture - we use leather head restraints rather than the kid with the towel!The dogs brought it all back to, you know, to the human side.   Luis Carlos Montalvn, Until Tuesday: A Wounded Warrior and the Golden Retriever Who Saved Him",,View Entry,"Feb 07, Wed",0
That Golden Guy,https://www.trailjournals.com//journal/entry/582901,"As I mentioned, I am getting ready for my AT hike by hiking. Lucky enough to live near Panthertown National Park and we try to get a hike in once or twice a week. However, it seems every time we go, its snowing or raining. Which, in a way, is good since the lessons learned can be significant. Does my rain gear work?  Routine to cook food in the rain? Does my pack leak?  How does Indie handle heavy rain?  I would rather go thru that refresher course now than on the AT. The clock is down to 22 days before I turn north and walk-for a long time! Wrapping things up at work. Everyone keeps asking if I'm ready-yes, yes, I am ready.",,View Entry,"Feb 12, Mon",0
That Golden Guy,https://www.trailjournals.com//journal/entry/583050,"A little over two weeks before the adventure starts! Last Thursday I had lunch with Phil and Lynn Barlow. Phil or ""Bald Eagle"" has done over 1,700 miles of the AT and will complete it this year. He came across my journal and shortly thereafter found out we live near each other. One question I asked him was about the ""Virginia Blues"" and does it happen. The answer was a fairly emphatic yes! Apparently when he was completing the Virginia section he endured 21 straight days of rain. I have hiked in bad weather and sometimes for days on end but not 21 straight rain days. I do expect rain, I do expect snow, ice,thunder storms, incessant bugs and heat. I just hope three straight weeks is not in the picture.
On a very sad note, yesterday our founding dog, Cashie, passed away in her sleep. She was 11+ years old, our first Golden Retriever. She traveled to Canada, Alaska, and all over the US with us. Her pups have become Champion Show Dogs, Hunting Dogs, Therapy Dogs, but mostly good old family dogs. She will be missed. But life moves on, Indie, my AT companion is Cashie's daughter. No matter how many years we get with our dogs-it's not enough. Farewell faithful Cashie.",,View Entry,"Feb 18, Sun",0
That Golden Guy,https://www.trailjournals.com//journal/entry/583146,"I will be spending tomorrow packing and repacking my backpack. Need to get the right weight distribution, things in the right place to ease finding based on when they will or might be used. And, as usual, trying to reduce any weight. I did replace my 12 year old Feathered Friends down jacket for an 8.3 oz Patagonia Micro Puff Jacket. Its about 2/3's the weight and packs down much smaller. Only problem is - not field tested which could result in a bad situation. It is light and not as puffy as a down jacket, reviews are good --  so I'll see but under trail conditions. Decided to replace my new Camelbak with a Liquid Pack Pro 2 liter camelbak type water holder. The new one, well, after three people, myself included, could not tighten the easy to close top, away it went. The Liquid Pro is pretty simple and closed the first time. I sort of prefer the old wide mouth nalgene bottles as they are multi-use,  to include a nice warm bottle in the bag when its really cold. So, things could change there. The gear list is getting pretty firmed up. Once it is I'll post the final details. I am spending a great deal of time selecting a final base layer shirt. Pretty sure of what I will be wearing around camp, mostly Patagonia stuff. The camp shoes in my gear list are really great, lighter than crocks, and can literally fold in two. I am concerned about the cold so want to have a confident selection in the pack. First aid kits are solid. I have already listed Indies kit. Our vet assisted in its composition as did my MD with mine. Probably overkill but as we all know medical help is not close for emergencies, veterinary assistance even further. Well, enough for now, more to come. Thank you for reading!
""The day God made dogs, He just sat back and smiled.""",,View Entry,"Feb 21, Wed",0
That Golden Guy,https://www.trailjournals.com//journal/entry/583384,"Time is FAST approaching! Many feelings late at night-ready? not ready? nervous, gear right? ,how much will I miss my wife and dogs? The thoughts are never ending. We packed several mail drop boxes for about the first 500 miles. I am using some prepper dehydrated food we had at our remote home just to use it. Its a pretty good selection so why not?  After I run out I will be resupplying in towns and not relying on Jeannie. However, our dog Indie will be receiving mail drops pretty much the entire time. I mentioned we are using a high quality, human grade dog food called Honest Kitchen - it too, is a dehydrated mix so easy to use and will maintain her calories. I will do one or two more looks at my pack and what I am taking to see if any reductions can happen. Other than a weather change I think I am close.  I'll be carrying a little more than I want since I am sharing Indie's stuff until she gets her ""trail legs"".  Hopefully the full pack weight will be around 25-28 pounds. Indie's pack should be about 8-10 pounds.
I have one more day of work. The remaining time before we depart on March 6 is for fine tuning for both hike and home. I have made an extensive list for Jeannie on who to call, what to do, where things are, what bills paid automatically and, in general, the things I do. Hopefully it will serve her well and eliminate some problems. OK, time to go. 
Again, thanks for reading.",,View Entry,"Feb 27, Tue",0
That Golden Guy,https://www.trailjournals.com//journal/entry/583494,"Spent much of the morning loading my pack for the final weigh in. Laid everything out and starting loading. It is fully packed and ready to go for a 3.5 day hike. The total weight came in at 30.4 pounds which is about 2.4 pounds heavier than anticipated. So, where could I drop a pound or two? I do have one or two clothing items that I could do without. But this is a winter pack, a little heavier, should I risk not having what I feel comfortable with? For example; I have the Micro Puff jacket for very cold conditions and camp wear, a lighter jacket for hiking in the 20-30 degree range (over a base layer) and the Zpack Rain Jacket.  If it were summer I would lose one of the first two - but its winter. Oh the things hikers worry about for hours and hours! I did review (again) the items and was able to drop or move a few things so weight is now right at 29 pounds.
I took a series of about 7 videos of what I am taking. I'll post them to the Video section tomorrow. For dog people it will also contain a breakdown of Indies pack and contents. Hers weighed in a 4.4 pounds which is actually much lighter than anticipated. I am carrying some of her food in my pack. She could carry another 2-3 pounds and still be way below the ""recommended"" body weight to pack weight ratio which is the norm. Most previous dog hikers said the average was 25% but actually kept it around 10%-15%. Indie weighs about 57 pounds (I think).
Still pretty nervous in anticipation of starting. It has been raining for weeks here and I expect it will be raining when I start of even a light snow. I have pretty much done all I can do. The time is now. I am ready. Having some technical problems with Trail Journals mostly about pictures and videos but they should be resolved soon.",,View Entry,"Mar 01, Thu",0
That Golden Guy,https://www.trailjournals.com//journal/entry/584037,"We are at Amicalola State Park at the Visitors Center. We were directed to a small room just outside the center that had a paper sign on it stating ""Thru Hikers Check In"". Inside two rangers, a small table with a lady handing out AT tags and maintaining a resister log. I logged in, number 716. There were 5-6 others seated in chairs asking questions. I glanced at the register log which contained name, trail name, weight of pack and destination.  Packs weights varied 22-25-28-29 and such. I annotated ""30"" and slunk away having what appeared to be the heaviest pack. Of course many people define pack weight as everything except food and water (two of the heavy items in any pack) so I took some of the weights with a grain of salt. This is winter - in the 20's- more clothes, heavier sleeping bag and such. That being done, we went to the lodge to check in.",,View Entry,"Mar 06, Tue",0
