Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Uncle D 2018,https://www.trailjournals.com//journal/entry/583823,Today all details are complete. Final packing and weighing the pack.Grif left his pack for me to bring since he is flying in.One way car rental all set to go!I have been asked if there are any concerns about hiking the AT again. It has been three years since my first hike... this one will be different. Will elaborate on that later.,"Final packing before hitting the road!
",At Home,"Mar 07, Wed",0
Uncle D 2018,https://www.trailjournals.com//journal/entry/583824,"Well... Here I am about ready to start another AT thru-hike. I did not expect to do it again but the opportunity came along to do it with my friend, Griff (Old Guy), and so here I am! He flew in to Atlanta from Texas and rented a car to go the final leg to Amicalola Falls (North Georgia).  And I did a one way car rental from Sarasota to Amicalola. It’s funny, we both went long distances but arrived within minutes of each other.","At Home
","Amicalola Falls, GA","Mar 08, Thu",0
Uncle D 2018,https://www.trailjournals.com//journal/entry/583826,"Today, our final day before our AT hike tomorrow, we spent on final preparations. This afternoon we met the other half of our party, Colin and David, whom will be doing a thru-hike as well. This will be quite a different dynamic considering I did my first thru-hike alone. We expect cold and rain our first couple of days. Oh well...might as well jump right in!","
",Checking out sights,"Mar 09, Fri",0
Uncle D 2018,https://www.trailjournals.com//journal/entry/584002,"Today’s the day! Griff and I got up about 5:30 in order to get breakfast and be ready for our shuttle we hired to get us to the trail head. We were meeting several other hikers who would be going along with us. There is D Square (David), Crazy Brit (Colin), Helo (helicopter pilot), Jay, Blue, Griff and I. I did my first AT thru/hike alone. It will be interesting to see how this “plays out”.
The forecast was rain and cold and it didn’t disappoint. Even though the weather was crappy it felt good to be back in the woods.  Even in the rain the mountains are beautiful. The group soon spread out as we all have our own pace. Our goal for the day was 14 miles to a camp site. I really didn’t know if I could make that considering I only made 8 miles to Hawks Shelter on my previous 2015 hike. 
Surprisingly I made it although pretty tired. Everyone came in over the next hour or so except my hiking buddy Griff.  It would be dark soon and without cell service I really started to be concerned. As tired as I was I began hiking back down the trail. Without a pack I could hike very fast which I needed to do to avoid being caught out in the dark. I hiked 2 to 3 miles and miraculously I regained cell service on a mountain summit. There was a text there from Griff and he said; he had taken a bad fall while crossing a log  which spanned a stream. He had badly injured his back but had made it to Hawks Shelter another 6 miles from me at this time. He said, he would work his way down the mountain and he needed to get to a doctor. He said don’t come back for him that he would be ok. Oh Shit!  Here I was still an impossible distance from him in fading light and my extreme fatigue and still miles from my camp where food, warmth and shelter was. It was good to know where Griff was and I must trust him to be capable of getting out.  I knew he was among other hikers at the shelter and would certainly get the help he needed from them. Hikers are like that. I tried to contact him but I got no response. I turned and hiked as fast as I could since the light was almost gone and I had a long way to go. When I returned, Colin made me the best cup of coffee I ever had. I explained to the guys Griff’s misfortune. 
As I fixed myself a hot meal in my little tent it was so sad to think about Griff’s bad luck. I really need some rest.","Springer Mountain, GA
",Gooch Mountain Shelter,"Mar 10, Sat",14
Uncle D 2018,https://www.trailjournals.com//journal/entry/584004,"It rained most of the night but luckily it stopped when it was time to get up and hike. It’s always difficult to put on cold wet pants and socks in the mornings. I still was concerned about how Griff was making out. He was only 8 miles away but he might as well been a thousand miles away. 
Everyone was pretty tired from our long hike yesterday (long for the first day) so we decided to make a shorter day of it...only 10 miles.  It rained intermittently throughout the day. The highlight of the day was getting cell service on a mountain summit and hearing from Griff.  He was down off the mountain and had gotten to the ER. Nothing was broken but he had deep tissue bruises. He will be back on the trail after required rest. Thank goodness :) 
Our campsite is right on a stream. I look forward to some good sleep tonight. Nasty weather is coming.","Gooch Mountain Shelter
",Lance Creek,"Mar 11, Sun",10
Uncle D 2018,https://www.trailjournals.com//journal/entry/584005,Last night was so cold.  But I was snug in my 0 degree sleeping bag.  Some of the others were very cold and unfortunately Colin’s tent collapsed in the high winds. This caused his gear to get really wet in the hard pour.  Even David’s gear got wet due to a leaky tent. Today’s hike was really cold with gale force winds.  Visibility was limited for most of the day. Even the water in my water bottle started to freeze. The rain of course had turned to snow and sleet and grew worse as we climbed Blood Mountain.  This was the most difficult climb to date.  The summit has a stone shelter but I only stayed there for a few minutes...my feet and hands were numb and I was anxious to get down in the gap where it would be warmer. Our destination was Neel Gap. We are checked into a small cabin (Blood Mountain Cabins) where hot showers and pizza saved the day.  Tomorrow will be even colder but there shouldn’t be any snow.  Are we having fun yet! Ha!,"Lance Creek
",Blood Moutain Shelter,"Mar 12, Mon",7
Uncle D 2018,https://www.trailjournals.com//journal/entry/584072,"Well...we started in the dark in snow flurries. But it stopped early. Everything is frozen solid.  Rocks are covered in ice which makes hiking very tough. We we’re all so very cold. The highlight of the day was coming down off the mountain and finding “trail magic” at a road crossing. I couldn’t believe those guys were set up in the freezing temperatures and wind. What a treat. Hot coffee and pastries and chocolate.  They even had chairs for us with their van blocking the wind. The rest of the day was just hard, cold hiking. We hiked about 14.5 miles but had to tent near a mountaintop which was the only suitable place to stop unfortunately. The temps should go down to the teens tonight.","Blood Mountain
",Sheep Rock Top,"Mar 13, Tue",14.50
Uncle D 2018,https://www.trailjournals.com//journal/entry/584228,"We started in the dark, this morning. That seems to be David’s preference. Start early, quit early. I personally prefer to hike during daylight. Less chance of losing the trail. We summited several tough mountains today. There was, Blue Mountain (4,000), Rocky Mountain (also 4,000) and Tray Mountain (4,500). These were all long, hard climbs. We are really suffering since we don’t have our “hiker legs” yet. We camped near Tray Mountain Shelter...big mistake! Probably the coldest night of our lives. I’m sure it must of hit single digits at that altitude and of course the wind was howling around us. And my tent does not stop wind.  I have a zero degree sleeping bag and I had to put on every piece of clothing I had...even my rain jacket. We could hardly wait for morning to come. Hiking helps warm you up. Brrr....Only 2,132 miles to go.","Sheep Rock Top
",Tray Mountain,"Mar 14, Wed",16
Uncle D 2018,https://www.trailjournals.com//journal/entry/584229,"It was hard to regulate our clothes to remain somewhat comfortable today. Near the summits the cold and wind would freeze you but down in the valleys you would sweat...almost overheating. It was just more long hard climbs today. The good news was our destination is “Top of Georgia” hostel. Good food, a shower, clean clothes and a nice comfy mattress. It’s a typical hostel with rooms full of bunk beds. We got a shuttle into town for some Mexican food and resupplied at “Ingles” for the next leg. The weather report says tomorrow it should finally warm up. Only 2,122 miles to go.","Tray Mountain
",Dicks Creek Gap,"Mar 15, Thu",10
Uncle D 2018,https://www.trailjournals.com//journal/entry/584326,"Well ...the hostel stay didn’t work for me. The shower, clean clothes and good food was good, but. The snoring was so loud that i virtually got no sleep. It was a long, long night. And on top of that, we had our toughest hike to date today on no sleep. We left Georgia and entered North Carolina this afternoon. It seemed like the mountains immediately got so much steeper. The climb up Couthouse Bald was brutal! We did a little over 12 miles, shorter than previous days but so much tougher. It was nice though hiking into another state. We found a nice little remote campsite with water at a place called Whitehall Stamp...must be something Southern.Tomorrow will be tough because there never is enough time for the body to recover before the next days beating begins. Whew! I need a day off. 
Only 2,109 miles to go.","Dicks Creek Gap
",Whitehall Stamp,"Mar 16, Fri",12
