Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Woody,https://www.trailjournals.com//journal/entry/553091,"I noticed a question some hiker posted in the forum section regarding the best way to go about layering for cold temperatures. I left it for other more experienced hikers to give him advice. But as it turned out, even down here in the Deep South, the Good Lord provided me an opportunity to get out walking in some pretty cool temps to test out my own layering gear. Yesterday was a sunny afternoon with the temps in the low 20's. Today it was overcast with the temp hovering around 35 degrees. Both days we had a slight wind of about 10 mph that added to the cold. I layered up with the following: light weight tights on my legs under my hiking trousers. The trousers have the zip off legs which provide that option should I begin to feel overheated. I didn't. On top I wore a base layer long sleeved shirt. I have my cycling sleeves that I could have used under the shirt to provide more warmth to my arms but these weren't needed. Over the shirt I wore a fleece vest and topped that off with my Marmot Windshirt (the best $50 I ever spent). Then I wore my neck gaitor, my toboggan, and light weight runner's gloves on my hands. It all served me well. Yesterday I was comfortable throughout my walk even when I picked up my pace. Today, after the first couple of miles I began unzipping my windshirt and vest and loosening up the other coverings. Funny what that 15 degree difference could do. Anyway, we just don't get that many chances down here to prep ourselves for real cold. I think the weatherman is calling for a daytime high back up close to 70 in a day or so. So, I am thankful for this brief chance to taste winter. You winter hikers out there take care!","The Blizzard of 2017
",Layering,,0
Woody,https://www.trailjournals.com//journal/entry/554357,"Had an interesting prep walk today. It had been stormy all day here but by 3:30 or so it seemed to have stopped. Boy was I wrong!When I started walking there were only a few drops hitting me. No big deal. But within the first few miles the sky seemed to open up on me. It began to pour. A real frog-strangler! Which reminds me of a conversation I had recently with Paul Stutzman. Paul hiked the trail back in 2008 and followed up his hike with a book, Hiking Through. I recommend it highly. Anyway, I got in touch with Paul because he wrote that he ended up the first day camping in Horse Gap beside a small stream. I've been through there a number of times and know there is no water in Horse Gap. So I had to ask, and upon reflection, he figured it must have been rain runoff which looked like a stream flowing down that hill past their tents. Makes sense. In fact, I walked beside and stepped over a number of such temporal rivulets today. Anyway, getting back to my walk, I was glad I packed along 'Big Red' -- my umbrella. It really came in handy, especially when marble-sized hail began to pelt me. They just bounced off of 'Big Red' and I kept going.By the time I neared the finish of my six miles, the rain had stopped, most of the really threatening clouds had moved off to the East, and I was left with a gorgeous sunset in the West. All in all -- a very nice walk!","Feeling Old
",A Prep Walk,,0
Woody,https://www.trailjournals.com//journal/entry/523840,"Two years is a long time. Believe me, I know. Back in 2013 when I injured myself early and had to abandon my hike that year, I knew it would be two years minimum before I'd get another chance. So I know what that wait is like. Now I'm there again. I've got to figure out how to keep the fire burning for 24+ months and work through a long span of boring workouts, just continuing to log in the miles to keep in shape so that I'll be reasonably ready when the jump-off date arrives. All the best to my fellow 2018 Dreamers!","
",Home in Mississippi,"Mar 16, Wed",0
Woody,https://www.trailjournals.com//journal/entry/523845,For a. number of years now I've used Merrell's. I've had no problems with them and would certainly use them again. But I'm thinking of checking into Oboz. Don't know what they have in wide sizes but several hikers have recommended them and say they hold up well. I may secure a pair to walk in over these training/waiting months to see how I like them. If anyone out there has a strong opinion then pass it along.,"Home in Mississippi
",Puzzling Over Footwear,"Mar 17, Thu",0
Woody,https://www.trailjournals.com//journal/entry/523852,"One of the important things about hiking is to spend time examining and evaluating things after the hike is over. What aspects of the hike were you pleased with? What changes would you make? If you've read my earlier entries then you know this is what I've been doing -- asking questions about my 2015 hike. On the plus side, let me say that many things fell into place nicely for that walk. My gear worked well. I had made the right clothing choices. I fell in with the very best of hiking partners. Negatively, I wasn't pleased with some of my food choices. I've also decided that I hate the whole process of camp cooking and especially the cleaning up. So, next time I'm considering going stoveless. The times I've done this in the past have been enjoyable. There is now so much that is available along the trail to sustain a hiker which involves no cooking. Again I've plenty of time to rethink this but I'm convinced I'll go this route next go around. Breakfast will be simple with cereals, pop tarts, and sweet rolls. Snacks will remain much the same with snicker bars, bagels with Nutella, energy bars and protein shakes. Evening Dinners will be where the major differences occur. I'll go with tortilla wraps of string cheese and pepperoni or summer sausage, or use spam singles or tuna. I can supplement this with Fritos or some other chips and follow up with cookies or Cosmic Brownies. The choices are nearly endless. A small jar of Crunchy Peanut Butter, another of Nutella, and a small squeeze bottle of spicy mustard and I should be able to put together something to hold me over till I reach the next town.","Home in Mississippi
",Thinking of Going Stoveless,"Mar 18, Fri",0
Woody,https://www.trailjournals.com//journal/entry/523864,"This is my Lightheart Gear Solo set up near Hawk Mtn Shelter in 2015. I like this tent and it served me relatively well. It is spaceous inside with plenty of room for me and all my gear. It is light weight and uses trekking poles for support. All in all a very good tent. But I may go back to my MSR Hubba. Why? The footprint. There were times when I had trouble finding enough clearing space to accommodate the LH elongated design. I never had that problem with the Hubba. Also, the Hubba is free standing. I can't tell you the number of pegs I bent trying to set up the LH on rocky ground. Anyway, the trade off is more weight and poles and smaller interior room. But I sleep snugly in the Hubba. Well, I've time to mull this over.","Home in Mississippi
",Tents,"Mar 19, Sat",0
Woody,https://www.trailjournals.com//journal/entry/524269,"Those I've met know something of my love for Prose Poetry. The works of Lewis Jenkins are among my favorites. Here's a piece of my own doing. A KINDRED SPIRITI met a turtle along my walk today. Face to face we stood. Each one similarly absorbed in our own thoughts. The pack I wore on my back prompted me to imagine we had much in common. ""Where are you headed?"" I asked. Got no response. Didn't expect one. Looking back along his chosen route, nothing in the immediate vicinity appeared a sufficient enticement to lure my little friend to abandon what was left behind. It puzzled me. Far off in the distance the sparkling surface of a small pond could be seen. It seemed a logical end, but impossibly remote. I questioned his ability to reach it in a day, or even two. Should I have picked up this diminutive nomad and carried him to that distant haven? I could easily have spanned the reach in a fraction of the time. But no, I countered. My help, I reasoned, might rob him of the greater gladness -- the journey over the destination. Only a fellow wanderer would understand. We parted company, each to resume our way along our chosen path. Each a goer and not a stay-put-er in our own rights. Later, after much reflection, my thoughts returned to my hard-shelled friend. Where might be be now? Did he make it to his desired end? Will that spot only prove to be a temporal rest along his extended pilgrimage? I wonder -- does he have similar thoughts of me?","Tents
",Some Thoughts,"Mar 20, Sun",0
Woody,https://www.trailjournals.com//journal/entry/524679,"Another stormy day here in the Deep South. So, stuck in the house, I fill my time with other things - as seen by the following:THE HUNGRY TREEDeep within the forestStands a Hungry Tree,And anyone that spies itWould be well advised to flee.It lurks beside a lonely pathAwaiting its next meal,Then pounces when the time is rightAnd gobbles down with zeal.Its taste is indiscriminateAlmost anything will do,Animal, mineral, wood or stoneNo object is thought taboo.Its hunger is never satedSo it's always on the prowl,The wind you think you're hearingMay just be its stomach' growl.Hikers are its favorite feastWhenever they be found,It reaches out its gnarly limbsAnd nabs them without sound.Their odor? That's no botherFor this tree, it has no nose,Hiker, pack, and boots and allQuickly down its gullet goes.So beware Unsuspecting travelerLest you, his fare become,And keep your wits about youAs you hurry, hurry home.If you chance to spot this hungry treeDo give it a wide berth,Or you may become the sustenanceThat adds to its growing girth.          --- A 'Woody' Original","Some Thoughts
",The Hungry Tree,"Mar 21, Mon",0
Woody,https://www.trailjournals.com//journal/entry/527065,"This time a year ago I was hiking on the trail. Seems longer ago than that. Just being back up here at this time of the year brings back many memories. It's easy to forget how cold it can be in the lower Appalachians in early April. The temps tonight are to hit 27 degrees. Burrrrt!Was checking the forecast the other day and it announced we were in for ""howling wind"". I thought, ""that sounds interesting."" And it was! Man, I was thankful I was in our cabin and not a tent. Things were falling out of the trees and hitting the roof all night long. Would have been quite scary in a thin veneer of nylon. It's been fun to watch it begin to green up this week. We sit out on the deck and watch Spring creep up the side of the hills. Love it!
Stopped in at the local REI store and looked at shoes. They didn't have any wide sizes. For that you have to go on line. Bought some socks. Found some powdered hummus in the local grocery store. All in all a profitable trip to the mountains.","The Hungry Tree
",April in the Mountains,"Mar 22, Tue",0
Woody,https://www.trailjournals.com//journal/entry/530126,"You've heard of a 'pack explosion', right? You arrive at a shelter or a campsite late in the day and begin to set up for the night and before you know it you've got gear lying around everywhere. It looks as if a small twister came through while you were collecting water and scattered your belongings all over the place. That's a pack explosion. Several times recently my wife has commented on how my hiking gear is all over the house. In spite of her subtle hints I've mostly been able to ignore the obvious. Until recently when I started looking for a particular item and discovered she was correct. Somehow inexplicably and with no direct connection to any person living or dead my gear had become dispersed nearly into every room of the house and I know there's more of it lying up at our cabin in the North Carolina mountains. All I can say is that it's providential that I'm not looking to hit the trail again for another 22 months because it will probably take me that long to find and re-gather my stuff. Oh well. Think I'll start tomorrow. After all tomorrow is another day. Haven't really had time to follow any of this year's hikers. Work has me rather busy. Tried calling my buddy Gorp the other day but didn't get through. Gorp, if you read this and have changed numbers let me know. Trying out some no stove food and meal plan options to see if I think I can go with it. I like the powered hummus but will have to pack along a small bottle of olive oil. The powdered protein shakes are great. For B'fast I will plan to add a packet of Carnation Instant Breakfast. At other times I might just add crunchy peanut butter. I really enjoy slicing up an apple on my peanut butter tortillas. It's a slow experiment but I'm discovering some items and combinations which will serve me well. 
Alright then. Things are heating up out there. The snakes are out. You hikers be careful! ??????","April in the Mountains
",Gear Explosion,"Mar 23, Wed",0
Woody,https://www.trailjournals.com//journal/entry/530944,"Walt Whitman once wrote of Paths Untrodden ""in the growth by margins of pond-waters, escaped from the life that exhibits itself. "" I find myself thinking of those paths these days more and more. Paths which offer a brief escape from, as Whitman put it, ""the clank of the world. "" The paths, they are there. Some on mountain heights. Some hidden away in the deep recesses of ones heart and mind. But they are there and offer the respite and companionship for which we long. Spring has been a colorful explosion here in the Deep South. With that has come, of course, all the pollen that seems to wreck such havoc on my respiratory system. But God and allergy meds have kept me functioning thus far. I've been limiting my daily mileage as to cut down a bit on prolonged exposure. I may have to work out an AT hiking plan that calls for waiting until after the bulk of the pollen (especially pine and oak) has fallen. Sometimes wish I were more of a winter, cold weather hiker. Oh well!

Got to get serious about trying to save some $$$ for 2018. So far I've not put away a dime. Every time I tuck some away, some need arises and the hiking fund is raided. This month it would seem that we must join with several of our mountain neighbors to lay out several thousand or so on road repair work. Maintaining steep mountain roads is a constant struggle but we do love our North Carolina cabin. That's our haven from the ""clank of the world"".","Gear Explosion
",The Paths Untrodden,"Mar 24, Thu",0
Woody,https://www.trailjournals.com//journal/entry/531751,"So saddened to learn of the passing of this man who for so long has been a friend to many, a friend to the Trail itself. His no nonsense and straightforward advice to novice hikers will be remembered and passed along to others. I'm sure that campfire gatherings will resound with the eager telling of Baltimore Jack stories for years to come. It was as if he were destined to make a mark and leave a lasting impression upon the A.T. as he shared himself with others. I am reminded of some words of Whitman (from his poem: Song of the Open Road)I am larger, better than I thought,I did not know I held so much goodness. All seems beautiful to me,I can repeat over to men and women     You have done such good to me    I would do the same to you,I will recruit for myself and you as I go,I will scatter myself among men and women as I go,I will toss a new gladness and roughness among them,Whoever denies me it shall not trouble me,Whoever accepts me he or she shall be blessed and shall bless me. It was a personal joy to have run into Baltimore Jack on several occasions, the last being last Spring while hiking. I thanked him for the pieces he wrote several years ago which have helped a number of us in making resupply plans all up along the trail. His legacy will live on.","The Paths Untrodden
",Baltimore Jack,"Mar 25, Fri",0
Woody,https://www.trailjournals.com//journal/entry/534491,"I know that twenty-one months is quite a time to wait, but there's also a joy to be found in the anticipation. And I'm confident that anticipation will continue to mount. In the meantime, there is much to do. My work is richly rewarding and I love what I do. It will be a difficult thing to retire and depart from these people. But the best of others we carry with us always. Good friends become a part of us and enrich our own existence with every passing moment. I was reading some Thoreau the other evening where he wrote: ""I went to the woods because I wished to live deliberately, to front only the essential facts of life, and see if I could not learn what it had to teach, and not, when I came to die, discover that I had not lived. ""
While I reject Thoreau's overall worldview, and am not as misguided as to personify nature itself, I do accept that there is much we can, and should, learn in nature/creation around us. I am not fearful that it may be that I might possibly pass my days without truly living. I live. But there is more life yet to live, more wonders to discover, more lessons to learn -- even about myself. So I too look forward to another extended stay in the woods and to living with deliberation there as I attempt to do elsewhere. To discover more about the joys of simplicity and experience the friendship of other fellow searchers. Today's photo is one of my favorites. I cannot say how many times I've had the good fortune to awaken early to scale a ridge to witness the birth of morning light in darkened valleys below. Such wonders make all the sweat and pain worth while.","Baltimore Jack
",Twenty-One Months,"Mar 26, Sat",0
Woody,https://www.trailjournals.com//journal/entry/534988,"Nothing more needs to be said! I saw this and the message just spoke to me. It's becoming so HOT here in the Deep South. I mean Hooooottttt! And Humid. I come back from my training walks just dripping. Oh what I'd give for the cooler, wood-shaded slopes of my mountains. Ah!","Twenty-One Months
",Timeout,"Mar 27, Sun",0
Woody,https://www.trailjournals.com//journal/entry/536042,"""The heavens are Your, O Lord, the earth is also Yours; the world and all it contains, for You have founded them. ""Beautiful vistas such as these make all those sweaty, heart-thumping climbs worth while. Here, a dear friend of mine is poised at such a lookout point where the whole of creation seems spread out before her. What a wonder to behold!
I am reminded of these words by Thoreau: ""I keep a mountain anchored off eastward a little way, which I ascend in my dreams both awake and asleep. ""
I have come to understand what he meant, and I too keep a mountain anchored in my thoughts, a mountain, as someone put it, ""to rest my eyes upon"". Whether I'm awake or asleep I can draw comfort and joy from it as I'm reminded of all the joys which are bestowed upon us in this wonderful place we call home -- our Earth.","Timeout
",An Awesome Expanse,"Mar 28, Mon",0
Woody,https://www.trailjournals.com//journal/entry/537531,"I am reminded of something I found in writings of A. A. Milne about an event in the Hundred Acre Woods. ""Halfway between Pooh's house and Piglet's house was a Thoughtful Spot where they met sometimes when they had decided to go see each other, and as it was warm and out of the wind they would sit down there for a little and wonder what they would do now that they had seen each other. ""In my mind's eye, this place beside a quiet pond north of Hot Springs is such a spot -- a good place for thinking. As I recall, some of my mental rumblings on this day were:Boy am I tired!Why didn't I insist that we stop and spend the night in town?I know I just had lunch an hour ago but I'm hungry. Wonder if I should change socks?Wonder how far down in my pack my socks have fallen?Why do my feet hurt so much?With all the pollen in the air today, I wonder if I'm going to be able to breathe my way up the next hill?Why does no one else here look as weary as me?Wonder what my chances are of hitching a ride back into Hot Springs when we reach Tanyard Gap?When is this hike going to start being fun?Wonder what I'd be doing if I were back home?If I left now, might I get home to my own bed by tonight?Let's see what I can find in my food bag. Huh, wonder if that is still good?Wow, look at what that other hiker is eating. Why didn't I pack out one of those?Why am I so tired?How many more miles might I have to do today?Wonder if I might just pitch my tent right here once all the others leave?Wonder if I'll feel better tomorrow?Some Thoughtful Spots along the trail can be quiet places of great struggle indeed!","An Awesome Expanse
",A Thoughtful Spot,"Mar 29, Tue",0
Woody,https://www.trailjournals.com//journal/entry/539329,"WOW, is it hard to stay motivated to get out there for my training walks in this oppressive Mississippi heat! I try everything. I play mind games. I sing songs. I work on my poetry while walking. I dream of sections of the trail I know so well. Nothing seems to help for long. The heat and humidity soon wins out. I'd be tempted to shift gears and become a cold weather hiker but I don't like that extreme either. Oh well. It's all part of the challenge, isn't it? I think it was Jennifer (Odyssa) in her book who said that at some point the hike turns from Adventure to Adversity. That's true even of these days of training. One of my motivators is remembering my hiking friends. Here's a pic of GORP, Me, Icefire, and Special Ed posing before the AT plaque in Unicoi Gap. Having just descended that long drop off of Blue Mountain we were all more than ready to drop our packs for a bit before heading up Rocky Mountain. They were great guys to hike with and I am blessed to continue to maintain contact with them. Don't know if any of you tapped into the forum thread on Scott Jurek and speed hiking. After suffering through a few entries I was forced to weigh in on the issue. As I sought to express, I've always been bothered by certain behaviors out there on the trail and sometimes you just have to speak up and address it. But much of the time I think it's wiser to just move on and create some space between you and other offensive hikers. I recall a time when someone's wet dog came bounding into the sheltered area only to shake water all over our food we were cooking. I can't remember the number of times I've chosen to just move away from certain individuals whose speech seemed obcessively peppered with cursing and filth. I routinely stop to pick up candy wrappers and other litter thoughtless folk have dropped. All I'm saying is that we have to just accept that we will run into all types out there. They have a right to be there. We just don't have to hike with them.","A Thoughtful Spot
",Summer Boredom,"Mar 30, Wed",0
Woody,https://www.trailjournals.com//journal/entry/543493,"It's so good to be back up in our mountains. We drove up yesterday, arriving at our cabin just before dark. Our little laughing monk who sits on the steps to the deck was waiting for us and welcomed us home. May have to get rid of our woodpecker door knocker as it may be attracting real peckers. The evidence of their damaging assault on a corner of the roof which covers the deck could be seen. Was surprised to see how the raspberries had thrived in the bed where we to had set them in the spring. Next year we should have a bumper crop. Don't plan to do much this week but rest and enjoy the cooler temps. Just want to rest my eyes on my mountains for a while. It's good to be home!","Laurel Spring
",Back Among the Mountain Laurel,"Mar 31, Thu",0
Woody,https://www.trailjournals.com//journal/entry/543832,"Well, in the morning we'll be headed back south to Mississippi, saying adieu to our beloved North Carolina mountains. Plan to be back up in October. It's been a great week. The weather has been perfect. Didn't have a lot planned so we mostly rested and relaxed. Sat out on the deck and listened to the wind whispering through the trees. Of course we found plenty of needful chores around the place to keep us from becoming total vegetables. There was weeding in the flower gardens to be done. I had to attack some borer bee nests and fill in their tunnels with wood filler. The gutters had to be cleaned out and I had to weed wack the path down to the spring. Then one afternoon I worked along side of our road shoveling out the ditch to help prevent erosion of the road in the coming wetter months. So all in all we got quite a bit of work done. The photo today is of quite possibly the last Mountain Laurel blossom on the mountain. I walked around quite a bit and it was the only one I saw. It's pretty late for these blossoms here in the southern Appalachians. So I thought I'd preserve this last one in my journal. Made several visits to local outfitter stores. A large REI is just minutes away. Saw a few items that I was tempted to drop a buck or two for but ended up resisting the temptation. My present gear is more than adequate. So we close up the cabin and head back to friends and work tomorrow.   The weeks and months continue to count down. GORP and others have asked me about my projected start date in 2018. I haven't set one yet but will announce hopefully in the near future.","Back Among the Mountain Laurel
",Headed Back South,"Apr 01, Fri",0
Woody,https://www.trailjournals.com//journal/entry/545789,"I've been giving it some thought and have pondered the following. First, my final decision must wait until closer to March of 2018 to see what the major weather patterns are for that Spring. Some year's Spring seems to come earlier. I'll have to check out the Farmers Almanac. Second, it will depend to a large measure on how well we've done with our move and are settled into our mountain cabin. Third, Easter falls on April 1st that year and I may want to time my hike to hit the huge hiker feast in Deep Gap where a large group sets up each year on Easter weekend. So figuring nine to ten days out of Springer that may push the start date back to March 21 or so. We will see.","Headed Back South
",Start Date???,"Apr 05, Tue",0
