Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Bad Habit,https://www.trailjournals.com//journal/entry/614231,"My trail name is Bad Habit and, like every other hiker, I have a few screws loose.  When things get me down or when my job gets to be too much, I start looking at maps.  Then all hell breaks loose.  
  
I’m 47 years old and I live in Delaware.  Earlier this year, I tried to hike a section of the Appalachian Trail from Harrisburg, Pennsylvania to Harper’s Ferry, West Virginia (106 trail miles).   On my third day hiking south of Harrisburg, my boots tore apart in the rocks and I had to turn around.  Eventually, my left foot turned into something resembling a bloody hamburger patty.  Eventually, I realized that my failure had more to do with poor preparation than a lack of willpower or ability.  I vowed to return.  
Now, I’ve planned a new hike in the Spring of 2019.  I haven’t set a date or chosen the exact route yet, but I want to spend at least a week or two on the Appalachian Trail in the Mid-Atlantic.  Read along with me and see if I can make it this time or if I end up failing again.
 ",,View Entry,"Nov 02, Fri",0
Bad Habit,https://www.trailjournals.com//journal/entry/614232,"I’ve been working out a couple of times a week at the gym and I took a hiking class at an REI store to improve my chances of reaching my goal this time.  The instructor showed us the equipment that he used when he did a thru hike.  He also showed us how much food to carry, where to resupply, how to plan zero days, and how much a backpack should weigh.   I was rammy last hike, which led me to make poor decisions. This time, I’m going to start out on a slower pace and try to enjoy myself, which will hopefully increase my chances of success.  Hope I can stay motivated to work out over the holidays!",,View Entry,"Dec 04, Tue",0
Bad Habit,https://www.trailjournals.com//journal/entry/614233,"I didn’t get to work out over the holidays.  Now that I’m back, though, my legs feel great!  I bought a new down sleeping bag, a lighter stove and lightweight raingear.  The weather in the spring is all over the place and I want to be prepared for both the heat and the cold.  I’ve studied the logistics of getting to and from the Appalachian Trail between West Virginia and the Hudson River.  Doesn’t look like finding water or buying food as I go will be a problem.  I’m planning on leaving in late April/early May depending on my work schedule.   Not sure if I want to start from Harper’s Ferry and hike north or start from the Hudson River or the Delaware Water Gap and hike south.  All three plans have advantages and disadvantages.  Regardless, it will be game on later this spring.  Can’t wait!!!",,View Entry,"Feb 19, Tue",0
Bad Habit,https://www.trailjournals.com//journal/entry/614236,"I traveled out to the West Coast in March and caught a cold.  AHHH!   I am diabetic and my immune system doesn’t always work right.  Last year, I couldn’t shake a sinus infection that made me feel pretty awful for almost four months.  I don’t want to go through that again, but I don’t want to cancel this hike either.  I started working out again today and it felt pretty good.  Hopefully, I can power through this setback. ",,View Entry,"Apr 01, Mon",0
Bad Habit,https://www.trailjournals.com//journal/entry/614237,"Things are looking up.  My cold cleared up without any lingering side effects.  Nice!  I also got the green light from my boss for my vacation.  The date is set: I’ll be leaving Wednesday, April 24th.  My plan is to start in Harper’s Ferry and go as far north as I can in two weeks.  Overall, I want to hike at least 100 trail miles.  I also want to stay in the moment and enjoy the hike instead of freaking out about my pace.  Experienced hikers will tell you to hike your own hike and to avoid judging your experience against the experience of others.   For a stubborn nut like me, that’s easier said than done.  Let’s see how it goes!",,View Entry,"Apr 15, Mon",0
Bad Habit,https://www.trailjournals.com//journal/entry/614239,"Did my last minute shopping today and picked up insect repellant, beef jerky, sugar free water flavor packets, Kind Bars, cookies, beef jerky, goldfish crackers, sealable plastic baggies, gorilla tape, an external battery for my phone and some rope.  I also picked up a surprise for my girlfriend (more on that later).  Time has now officially grown short.  Luckily, everything fit in my bag including a couple of extra layers of clothes. My pack felt heavier than I wanted it to, so I committed to reevaluate everything before I left.  My eleventh hour to-do-list included updating the weather app on my phone, spraying my clothes with Permetherin (a long lasting insect repellant), driving to the post office to stop my mail, and learning how to use the Guthooks app properly.  
  
That’s all that I have time to do today.  It still doesn’t feel like it’s almost time to leave.  I’m probably in denial.  Hopefully, I’ll be ready on Wednesday!!!",,View Entry,"Apr 20, Sat",0
Bad Habit,https://www.trailjournals.com//journal/entry/614240,"Today was absolutely the most incredible day of my life.  I proposed to my fiancé Deirdre.  She is a strong and special woman who is a very hard worker, a great mother to her children, and is stunningly gorgeous.  How did I get so lucky?  I have no idea.  At least she said yes!!!  As hikers, we all tend to forget how much stress we put on our loved ones.  Deirdre has been amazing and has supported me every step of the way.  She makes me feel strong.  This hike would not have been possible without her.    

Things are starting to get real.  On the first day of the hike, the train wouldn’t get to Harper’s Ferry until 5:15 pm, so I have about two and a half hours to hike over six miles to the first shelter.  Not a big deal, but I’ve never night hiked before.  I’ve started thinking about all the problems that crept into the hike last year: trail washouts, heat, a bad plan, and a backpack that was way too heavy and contained the wrong equipment.  I picked up my backpack and it felt lighter than it did when I packed it.  Was it light enough or was I just pumped up on adrenaline?  No way to know for sure until I start.  Here it goes!",,View Entry,"Apr 21, Sun",0
Bad Habit,https://www.trailjournals.com//journal/entry/614242,"At 10:30 am, I walked out my front door and the trip was underway!  My first destination was the transit hub on Main Street in Newark, Delaware, a couple of miles from my house.  I tried to get there quickly, which made the walk seem much longer than it really was.  I need to cut that out.  I also remembered how many non-trail miles that I would be walking.  Today’s total is 6.8 trail miles, but I walked much farther than that.  I caught the bus and switched to an Amtrak train in Wilmington, DE that took me to Washington, DC.  I ate a meal in Union Station in Washington and switched trains again. The train to Harper’s Ferry was like a throwback to the 1920s.   I boarded and went through a series of tight corridors with no windows and up a set of steps that turned three corners before finding my seat.   
  
Finally, I arrived in Harper’s Ferry.  All I could think about was making the shelter before dark.   The weather was perfect and it felt great to be outside.   My hike started in the center of the historic town.  Then, the trail crossed an old railroad bridge that passed over the rocky rapids of the Shenandoah and Potomac Rivers.  Next, the trail follows a towpath along the Potomac River for about 3 miles next to the ruins from a Civil War Era canal.  Then came the hard part: the first climb. 
  
The trail turns north from the towpath and climbs up a mountain.  The elevation change from the river to the ridgeline over the Weaverton Cliffs is about 1100’.  At first, I became winded and my legs were burning.  After a quick break, I caught my breath and started back up the hill.  My legs feel so much better than last year!  I made it to the top in no time at all.  I was stoked.  
  
The walk along the ridgeline was pleasant and easy.  Beautiful valleys stretched out on either side of the mountain.  I arrived at the shelter at about 7:30, in the daylight, well before dark.  All of that worrying for nothing!  I met a guy from Kansas with a fluffy beard who was fun to talk to.  He was going to sleep in the shelter with another guy.  I’ve never actually slept in a shelter before.  Usually, I just pitch a tent.  This shelter, however, was unique.  It had an upstairs area that was enclosed.  No one was up there, so I figured this was as good a time as any to give it a try.  Hung my bear bag on the pole and climbed into my sleeping bag.   To my chagrin, I discovered that my air mattress had a leak and wouldn’t stay inflated; had to sleep directly on the hard floor.  UGH!  I heard howling sounds in the distance and dug in for the night.  All in all, today was a great start to the hike.","Harper's Ferry, West Virginia
",Ed Garvey Shelter,"Apr 24, Wed",6.80
Bad Habit,https://www.trailjournals.com//journal/entry/614245,"It rained overnight and I was happy to be in the dry shelter.  Today’s plan was to hike 8 miles to Rocky Run Shelters and see how I felt.  If things went well, I wanted to push on an additional three miles to a tenting area.  Nice easy pace.  
  
The trail started on the ridgeline and then wound down a hill, emerging in the middle of a civil war battlefield with ruins, a monument and a covered picnic area.  Took a short break to eat and climbed a steep hill coming out of the park.  Then, the trail passed through lush, green woods.  I arrived at Rocky Run Shelter early in the early afternoon and decided to keep going. The terrain was easy, but I finally started to feel a little bit tired.  The last two miles seemed to last forever.  
  
I arrived at the Dahlgren Backpacker Campground at around 2:30 in the afternoon.  There was a rectangular tan brick building with a bathroom, showers and electric outlets for charging phones.  Luxury!  I pulled out my phone and looked at the weather forecast.  Storms were coming.  

The guy from Kansas passed through the camp before I set up my tent.  He told me that there was a very nice restaurant about a mile away, but I didn’t go.  He went to the road to make a call and didn’t come back.  Another guy came into camp right behind Kansas.  He was quiet and did some yoga after he set up his tent.  I only spoke to him for a minute.  He had a foreign accent, but I couldn’t place it.  I pitched my tent, hung my bear bag, and covered my backpack to protect it from the rain that was coming.  These mundane things would be afterthoughts back home.  Out here, they captured my complete attention.   I crawled into my tent well before hiker’s midnight (dusk).   It felt really good to lie in my tent and rest.","Ed Garvey Shelter
",Dahlgren Backpack Campground,"Apr 25, Thu",10.80
Bad Habit,https://www.trailjournals.com//journal/entry/614246,"I got a few good hours of sleep, which was a bonus.  It rained hard around 1:00 am, but the camp was surprisingly dry in the morning.   A third hiker had arrived and pitched a tent sometime overnight and I didn’t hear him.  I drained my phone battery looking at the radar overnight and had to recharge it before I left.  This observation would lead me to a bad decision later in the day. 
  
The morning was cold and foggy despite a steady wind.  I climbed up a steep hill and emerged in Washington Monument State Park.  There actually was a Washington Monument at the top of the hill!  I passed a few day hikers that smelled fragrant.  After a few days in the woods, they stick out like sore thumbs.  The Washington Monument was closed due to a lightning strike and a fire.  I kept pushing up the hill and reached a nice, flat ridgeline.  Then, I reached the footbridge along I-70.  I had seen this bridge when I was a kid and had always wanted to cross it.  Now I have! 
  
After the bridge, I stopped at Pine Knob Shelter to eat lunch.  I met a 70 year old guy whose trail name was Chili.  He was in great shape.  The foreign guy came in behind me.  We all sat and ate together.  The foreign guy’s name was Richard.  He was French and from Montreal.  He also started in Harper’s Ferry and was going to hike for three months.  He and Chili hit it off.  Chili was a guitarist who liked obscure French Jazz music.  A young couple showed up and they were talkative as well.  Richard, Chili and I left the shelter at about the same time.  Chili charged ahead very quickly while Richard and I leapfrogged each the rest of the day.  
  
After the shelter, the trail continued along a ridgeline and was relatively flat for a long time, with beautiful vistas overlooking the valley through the thick fog.  The trail descended a hill and arrived at the Pogo Memorial Campground, where I took a wrong turn in the rocks and went down a steep hill.  I could have stayed at the Campground and rode out the thunderstorms that I knew were coming, but I didn’t look at the radar because I was afraid to drain the battery.   If I had done so, I would have seen that there were really strong storms bearing down on the mountain.  
Then, after two and a half days of relatively easy hiking, things started to get hard.  First, the rocks appeared.  There were fields of them that lasted for miles.  Knee-high rocks that pushed me from side to side as I tried to crawl over or through them.  My pace slowed to a crawl.  Then, the heavens opened up.  Driving rain tore out of the sky and made each rock into a slippery landmine.  The storm brought lightning and I was high up along a ridgeline, so I had to keep moving to get to lower ground.  Going down the steep hill on the wet, jagged rocks started killing my knees.   Finally, I reached the shelter.  By this time, I was completely exhausted and the temperature began to plunge.  The wind picked up and howled.  Luckily, my raingear kept me dry.  There were seven other people piled into the shelter.  I was too tired and sore to pitch my tent, so I took a spot on top of one of the bunks and dug in for a long, cold windy night.","Dahlgren Backpack Campground
",Ensign Cowall Shelter ,"Apr 26, Fri",14.10
