Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Columbus,https://www.trailjournals.com//journal/entry/604755,"This is the first or three journal entries that will serve as a test for my 2019 AT thru hike journal. This is a Grand Canyon Rim to Rim hike and will serve as a shakedown hike as i get ready for the AT.
September 20, 2018 - flew from NY to Flagstaff, AZ.  There are a total of six of us in our group.  Me, Fran, Ian, Melissa, Bill and Ben.
September 21, 2018 - Out the hotel door at 4AM for a 4 hour drive to the trail head at the North Rim.  Stopped for breakfast along the way.  Weather was perfect.  Sunny, blue skies and probably in the mid-50's.  Arrived at the trail head around 10:30AM and started hiking around 11AM.  Down, down, down into the canyon.  
More to come...",,Grand Canyon,"Sep 21, Fri",6
Columbus,https://www.trailjournals.com//journal/entry/604757,Camped at Cottonwood campground last night.  The hike down the canyon went well.  Beautiful views everywhere.  The steep descent wasn't too bad.  Knees feel fine.  Pace of hike is intentionally slow as we are not in any kind of hurry.  Reached the campsite around 5PM.  Four tents on one site.  Kind of tight but manageable.  While Ben was cooking dinner we sat in the river drinking wine.  Water was pretty cold which was exactly what our feet needed.  Dinner was awesome and then off to bed around 9PM.,,Bright Angel Campground,"Sep 22, Sat",7
Columbus,https://www.trailjournals.com//journal/entry/604758,Up and on the trail by 9AM.  Headed to Ribbon Falls and then to Bright Angel Campground.  Ribbon Falls is a must stop for everyone doing the rim to rim hike.  The day's hike was pretty easy in terms of elevation and pace.  Weather was perfect again.  Sunny and blue skies and the heat was very manageable.  Reached the Bright Angel campground around 5PM.  Dinner at the site and then some beers at the Phantom Ranch cafe.  In bed by 10PM.,,Grand Canyon,"Sep 23, Sun",7
Columbus,https://www.trailjournals.com//journal/entry/604759,"Up and on the trail by 8:30AM.  Hiking to Indian Garden campground.  Stopped along the way to meet up with Ben's crew for some resupply, hit a waterfall for a very enjoyable shower, took a nap on some huge boulders overlooking the canyon, and feasted on a great lunch before making our way to Indian Gardens.  Once we got to the campsite, while Ben made dinner we walked about a mile to Plateau Point to see the sunset.  Pretty incredible.  Just as the sun was setting in the west a full moon was rising in the east.  The canyon was lit up with so many colors.  Got back to the site for dinner and some wine before bed.  Tomorrow we make the big hike out of the canyon's south rim.",,Indian Garden Campground,"Sep 24, Mon",5
Columbus,https://www.trailjournals.com//journal/entry/605638,"Hello
family, friends and trail journal readers!  Welcome and thank you for
coming to my trail journal.  I hope you enjoy it and I look forward to your
comments and questions to this and all my future journal entries.  The
topic of this journal entry is: How did I come to the decision to hike the
Appalachian Trail (AT).  Most of the time people will start by asking me
""why am I hiking the AT?”.  That's a reasonable question and I'm
looking forward to telling you the answer to that in a future journal
entry.  But I think the appropriate place to begin is with an explanation
of how I came to the decision to do an AT thru hike.
I first
heard about the AT in early 2016.  I made my decision to thru hike the AT
a full year later in 2017.  In 2016 I was nearing the end of my triathlon
and marathon days.  After ten straight years of training and racing I was
feeling burned out.  As much as I loved hanging out with my triathlon
friends and all of the fun and camaraderie we shared on race days, the thrill
and motivation were gone.  Around that same time, I learned about the John
Muir Trail (JMT).  That's when I decided to trade in my wet-suit and
bicycle for trail runners and a back pack.
The JMT
is a world famous 210-mile bucket list hike through the Sierra Nevada mountains
of California.  The JMT was going to be my entry into long distance
hiking.  I began my transition with lots of research about the JMT and by
doing hikes on the Finger Lakes Trail in NY and the Black Forest trail in
PA.  Unfortunately, I was unsuccessful in my attempt at securing a permit
for the JMT and had to look for an alternative hike.  This led me to a new
goal of section hiking the AT.  
A
""thru hike"" of the Appalachian Trail is a continuous hike covering
the full 2,200 miles of the AT and is usually completed over a period of five
to six months.  A ""section hike"" of the AT means completing the
2,200 miles one section at a time, over multiple years.  In both cases you
cover the same distance but they are two completely different
experiences.  It was late 2016 and I was planning to do a section hike of
the AT in 2017 which would not require any changes or sacrifices relative to my
family and work situations.  However, that all changed in early 2017 when
I first said to myself ""I'm going to do a thru hike of the AT."" 
That decision happened over time, slowly, little by little after each
conversation with past thru hikers and current section hikers, after each book
about thru hiking the AT, after each hike with Custer and Steady State, and
after watching my new favorite movie of all time, ""The Secret Life of
Walter Mitty"".  It was a progression for me that started with first hearing about the AT and the concept of a thru hike.  At that time a thru hike was as much a reality for me as Mars.  But that concept became a dream and the dream became an obtainable reality.  It was a watershed moment and I knew there wasn't anyway I could turn back.  I was going to attempt a thru hike of the AT!   It would be weeks before
I said it out loud to anyone.  It would
be months before my wife was fully on board (thank you honey for your unwavering support of my crazy dreams over the past 28 years!  You're the best!).  And it would be another twelve months before I would get approval for a leave of absence from my job. All told, when I step foot on the AT in
March, 2019 it will have been a full two years in the making.
Next up, planning and preparations for my 2019 AT thru hike.",,View Entry,"Dec 05, Wed",0
Columbus,https://www.trailjournals.com//journal/entry/605831,"Hello family, friends and trail journal readers!  Welcome back to my trail journal.  This trail journal post focuses on planning and preparations.  I hope you enjoy it and I look forward to more of your comments and questions…
Planning for my AT thru hike:
Mike Tyson the famous boxer once said “Everybody’s got a plan until they get punched in the mouth.” Well, the Appalachian Trail is famous for punching thru hikers in the mouth and sending them home.  With that in mind here’s my plan, before the punch in the mouth:

 March 10th – Arrive at Harpers Ferry, WV.  March 11th – Begin my SoBo (southbound) hike to Springer Mountain in Georgia.  Hopefully I will be joined by my hiking buddy, Custer for the first week or so of my hike.  My hiking mileage plan is noted below.   10 to 12 miles per day for first couple of weeks.
12 to 15 miles per day for the next couple of weeks.
15 to 20 miles per day after week four.
Resupply in local towns every three to five days. No mail drops
 May 17th – Return to NY to attend my son Alex’s college graduation on May 19th.
May 24th – Return to AT and continue SoBo hike to Georgia.
Mid/Late June – Reach Springer Mountain in Georgia.  Late June – Return to Harpers Ferry and begin my NoBo hike to Mt. Katahdin in Maine.
Late September – Reach the summit of Mt. Katahdin.  I will likely weigh 30 pounds less and smell like a sweaty old shoe that served as the primary residence of a family of skunks with personal hygiene issues.

 Preparing for my AT thru hike:
No matter how much preparation thru hikers do, 75% of them will not make it to Mt. Katahdin.  They will quit.  Injuries, illnesses, mental and physical fatigue, financial problems, work and family commitments will pull all but a few thru hikers from the trail.  With that in mind here’s a peek at what I’ve done to prepare:

 Hikes & Workouts - the best preparation for a thru hike is hiking and more hiking.
 110 mile hike of the Shenandoah Valley section of the AT (9 days)
The Grand Canyon Rim to Rim hike (4 days) Black Forest Trail in Pennsylvania (3 days)
Numerous day hikes and several multi-day hikes on the Finger Lakes Trail
At least three gym workouts per week for the last year, focusing on legs and core strength.
 Research - Books, Podcasts and YouTube Videos  AWOL on The Appalachian TrailBecoming Odyssa
Appalachian Trials
Appalachian Trail: A Road More or Less Traveled
Where’s the Next Shelter
A Walk in the Woods
Darwin on the trail (one of many You Tube videographers)
Backpacker Radio (>30 podcast episodes)
Returning to Katahdin Met and talked with several thru hikers and section hikers.  Shout out to thru hiker Rob “the bearded wonder” McIntosh who tutored me about the AT from day one, and to section hiker Todd “where are my car keys” Johnson for trying to teach me the finer points of land navigation.   Gear – On average, thru hikers will spend twelve hours a day hiking, eight hours sleeping and four hours in camp.  So when making decision about your gear choices keep that in mind and prioritize your budget and gear weight vs. comfort appropriately.  The “big three” of hiking gear are your backpack, tent and sleeping bag.  Here are my big three:  Backpack - Osprey Exos 58.
Tent - ZPacks AltaPlex
Sleeping Bag/Pad - Enlightened Revelation Quilt/NeoAir XTherm
 
Trial and error and learning from other hikers have played a big part in my final gear selection.  The base weight of my pack with all my gear is 18 pounds.  My total pack weight including food, water and consumables will average 26 pounds.  

 Work & Family Preparations
 My employer, Corning Incorporated, granted me a six month leave of absence.   By providing >1 year’s advance notice we were able to work out the necessary transition plans.  I am very grateful for this support by Corning. My family and friends are a big part of this adventure.  By sharing my plans and excitement with my wife, kids and friends they are all engaged and are already providing me their support that is so critical.  There’s a large map hanging in our home that my family will use to track my progress and this trail journal will be another important way for me to receive support from my family and friends.  I’m already looking forward to them meeting me at different points along the way.
 Mental Preparations
 I wrote down my “why’s” for hiking the AT and will look at that list when I’m having a tough day.
I must hike my own hike. Staying on the trail will require perseverance, staying positive and relying on my problem solving skills to overcome unexpected adversity.  This point cannot be overstated.I will be grateful for the trail that I’m given rather than being pissed off for not getting the trail that I expected.
 
 Next trail journal post will focus on my “why’s” for hiking the AT and some fun facts.",,View Entry,"Dec 09, Sun",0
Columbus,https://www.trailjournals.com//journal/entry/605982,"Hello and welcome back.  Today's journal entry will answer that question which folks tend to ask me the most.  Why am I thru hiking the AT?
If you're looking for a simple straight forward answer then I am sorry, prepare to be disappointed.  There are many reasons and at the same time there is no good reason to subject oneself to the challenges of an AT thru hike. 
My own reasons for hiking the AT continue to evolve.  At this moment, I want the adventure. Who among us doesn't want a little adventure now and again? Most of the people I talk with share this same feeling. I want the physical and mental challenges, the unknowns and frankly the risks that come with that adventure.  I want to live a more simple, slower, quieter, thoughtful life immersed in the sounds, smells and sights of the Appalachian mountains.  I want the confidence, self reliance, peacefulness and the change in perspective that can come from this adventure.  I want my children to really believe that dreams become realities and that its not only ok, but sometimes life's greatest joys are found by taking that road less traveled. I want to live outside the norm and beyond the busy world for awhile.  I want to wash away the effects of thirty years of florescent lights, gray walls and power point presentations and regain the creativity and passion for my work. And because starting out is so much better than ending up.  Not sure that last one will make sense to everyone but some of you can probably relate.  Those are some of my reasons at this time.  Ask me again in six months though...


Here are some quotes picked up from past AT thru hikers:

1."" If we were being paid to do this we would have quit by now.""
2. ""We're prisoners, and the keys are right in our hands."" (i.e. we're out here voluntarily and nobody is making us do this.)
3. ""Hiking the AT is “pointless.” What life is not “pointless”? Is it not pointless to work paycheck to paycheck just to conform? Hiking the AT before joining the workforce was an opportunity not taken. Doing it in retirement would be sensible; doing it at this time in my life is abnormal, and therein lay the appeal. I want to make my life less ordinary."" David Miller, AWOL on the Appalachian Trail.
Fun Fact: the average thru hiker will lose 30 pounds and go through at least four pairs of shoes before  finisihing their hike.",,View Entry,"Dec 20, Thu",0
Columbus,https://www.trailjournals.com//journal/entry/606020,"Hello,
Today's trail journal post is about my gear.  Base weight is 18 pounds.  Total weight with 4 days of food and water will average about 26 pounds.
Here's a list of my gear...
ZPacks Altaplex tentEnlightened Revelation sleeplig quiltThermarest NeoAir sleeping pad Sea to Summot pillowOsprey Exos 58 backpackBlack Diamond trekking polesMSR pocket rocket stove 4 oz fuel container, bic lighter, small cook pot/mug, small collapsible cup,30ft paracord with carabiner for hanging foodSawyer Squeeze, 2 water bags, Aqua mira as backup for water treatment,Trail journal and penTrail guide (half)Head lamp with extra batteriesButt padPack coverMosquito net, cell phone,Phone charger with cordsAnker phone battery charger, two Smart water bottles, stuff sack for food, small trowel,  TP, hand sanitizer,First aid kit and miscellaneous: ibuprofen,  toothpaste and toothbrush, ear plugs, floss, lueka tape, bug repellent,  band aid, neosporin, Tenacious tape.
Clothes: wool skull cap, baseball cap, gloves, down jacket,  fleece jacket,  rain jacket and rain pants, hiking pants with zippered legs, running shorts, two pairs of socks, one pair of sock liners, two pair of underwear,  one long sleeve micro fiber shirt, one short sleeve microfiber shirt, thermal tights, bandana, buff,  Solomon X Ultra 3 trail runners, stuff sack for clothes, extra strength hefty bag for pack liner, dirty girl gaiters.
Fun Fact: there are 165,000 white blazes marking the AT between Georgia and Maine.  And yet there's a good chance that I will get lost somewhere along the way...",,View Entry,"Dec 25, Tue",0
Columbus,https://www.trailjournals.com//journal/entry/607866,"Hello and welcome back friends,  family, and trail journal readers.  This post will cover day 1 of my 2019 AT thru hike.  I hope you enjoy and please feel free to leave  comments in the Guest Book.
Yesterday morning Marcia, Todd and I drove from Corning, NY to the PA/MD border where we left Todd's truck and then to Carlisle, PA.  We spent the night in Carlisle and at 9:30am today Todd and I officially started our southbound (SoBo) AT hike 1,131 miles from Springer Mt. in Georgia.
The weather was typical for PA in March.  Mid-30's temps.  The trail was slippery with mud,.snow and slush.  We made 12 miles and finished the day at Alec Kennedy shelter.  Dry clothes and a hot dinner and off to bed.","
",Alec Kennedy Shelter,"Mar 10, Sun",12
Columbus,https://www.trailjournals.com//journal/entry/607911,"8 miles today.  Hit the trail at 9am.  Beautiful weather today. Must have been in the high 40's with mostly sunny skies and only occasional winds in the upper elevations.  Trail conditions were mostly snowy that made the up hills slow and the downhills interesting.  We stopped at Green Mountain General Store and Deli on PA 34, mile 1112.6 NoBo.  Great subs and warm hospitality.  Worth the .2 mile walk into town.  We're at James Frye Shelter tonight.  Into dry clothes, light dinner and early to bed.","
",James Frye Shelter,"Mar 11, Mon",8
