Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Cowboy ,https://www.trailjournals.com//journal/entry/607314,I parked at the covered bridge and hiked up the ridge overlooking the Mohican River; the trail had some uphill climbs and lots of tree roots to trip on; I had a full pack but no food; about 25 lbs; the trail took me to the Pleasant Hill Dam; I walked across the top of the dam to the other side of the river and worked my way down the 100 or so stairway; this part of trail run next to the river;  The Mohican is a slow flowing with clear clean water; I passed a few fishermen and many other hikers; I found a over night camping area but that will be for another time;  Cowboy,,View Entry,"Jun 21, Thu",0
Cowboy ,https://www.trailjournals.com//journal/entry/607315,"I met a friend at Front Royal VA and took the afternoon Trolly the 4 miles to tha Appalachian Trail;  it was only a 6 mile hike to our shelter but our backpacks were on the heavy side (40 or more lbs.);  We planned an overnight stay and a cookout of corn on the cob, hot dogs and new out of my garden red potatoes; The hike went well with only light on and off rain; Reached the Jim and Molly Denton Shelter around 6pm and grabbed a spot in the shelter; The first order of business was to start a camp fire; I gathered wood but with the rain all was water logged; I lit up my propane cook stove and lates along the wood; after 15 minutes I had a hot enough fire and got our food cooked; we had twice the food we could eat so we shared it with a nice young couple; a little “trail magic”! After a good nights sleep we woke to a heavy rain storm so we cooked breakfast in the shelter; When there was a break in the downpour we packed up an hiked to the road where a good guy offered up a ride to town, more “trail magic”;",,Jim and Molly Denton Shelter,"Jul 23, Mon",0
Cowboy ,https://www.trailjournals.com//journal/entry/607317,"I stopped at the information office at the Cuyahoga Valley National Recreation Area south of Cleveland Ohio to find a place to do some hiking; The first thing I noticed was a very nice bike trail that had lots o bikers on it; At the office I picked up maps of their hiking trails; The CVNRA is a very large place and it took me 30 minutes to get to my hiking spot; Putting on my full backpack I spent 2 1/2 hours hiking over the hills and rocks, finding some nice views and passing many other out on a nice day;  Cowboy",,View Entry,"Aug 14, Tue",0
Cowboy ,https://www.trailjournals.com//journal/entry/607391,"I like a hot cup of coffee on a cool morning, but may send home my cook stove when the weather warms up and stays warm; This is one reason I will start with half my food that I can eat without heating; These foods to start with:Instant oatmeal Granola OvaEasy Egg CrystalsJif-Whips Peanut ButterJelly/HoneySoft Taco Tortillas Cheese/Beef Sticks/JerkyTuna CreationsKnorrs (Teriyaki Rice/Red Beans-Rice)Seeds of Change Brown-Red RiceRamen Noodle SoupFruit-Grain Cereal BarsPropel Electrolytes (to add to water)Instant coffeeDried fruit Apricot/Pineapple Some not that healthy; will replace the bad as I hike and see what others are eating",,View Entry,"Feb 26, Tue",0
Cowboy ,https://www.trailjournals.com//journal/entry/607486,"To get my mind ready I read:AT journal of people that started the same time of the year as I plan toPatrick J Pipher-One Step At a TimePaul Stutzman-Hiking Through watched-National Geographic-Appalachian Trail To get my body in shape:Sit-ups and pushupsBiked 1 hour 3 times a week 62 step stairway up/down x10, 3 times a week with full backpackLot and lots of walking",,View Entry,"Mar 01, Fri",0
Cowboy ,https://www.trailjournals.com//journal/entry/607531,Osprey Ant-Gravity BackpackBig Agnes UL2 Mt Glo TentREI Treated Down Sleeping BagThemarest Voyager Air Mattress Kelty Trekking PolesFrogg Toggs Rain Suit (Walmart)MSR Propane Cook Stove1.1 L Cook Pan  1/2 L CupSawyer Water Filter/ Water Treat TabsAWOL AT GuideGuthook,,View Entry,"Mar 03, Sun",0
Cowboy ,https://www.trailjournals.com//journal/entry/609510,"finally starting my hike! I started one mile up the trail and hiked south to Springer Mt and sign in to start me official miles where I met Dave aand Renae from Washington (state) a friendly couple about my age;Lots of ups and downs on the way to Hawk Mt sheiter. Most of the hike was along a rocky stream, a good water source; I set up my tent, eat and was asleep by 7pm;","
",View Entry,"Apr 03, Wed",8.10
Cowboy ,https://www.trailjournals.com//journal/entry/609558,"Today hike was a lot of steep climbs with many uneven rocks and roots to trip on; We had a long stretch with no water; Just about out of water, I came to a clearing to find a lady giving out hot dogs bananas and mt dew; perfect location; My first trail magic; Thank U Trail Angel “Red”! Tonight I’m tenting at Gooch Mt Shelter with 30 other friends;","Hawk Mt Shelter
",Gooch Mt Shelter,"Apr 04, Thu",7.60
Cowboy ,https://www.trailjournals.com//journal/entry/609641,"Shortly after dark the rain started and lasted till 10 am; then heavy fog moved in; But still had a good day of hiking; The trail was not that muddy, just a few puddles; The spring flowers are just coming out, very nice","Gooch Mt Shelter
",Lance Creek.camppingArea,"Apr 05, Fri",8.20
Cowboy ,https://www.trailjournals.com//journal/entry/610047,"Blood Mt is the highest AT peak in Ga and the site of some of the worse Native American war in our country’s history!  On your way up U may get drinking water from Slaughter Creek if U dare? Being a weekend, there were dozens of day hikers, many with dogs climbing the rocky trail; kids asking “R U going all the way to Maine”? I normally answered “YES, do U happen to know how much further it is”?","Lance Creek Camp Site
",Neels Gap,"Apr 06, Sat",8.20
Cowboy ,https://www.trailjournals.com//journal/entry/609838,"while at Mt Crossing I took my backpack into their store and did their shakedown; Taking our all things they think not needed; After they weighed it and pack it to send home; 7 1/2 pounds;              Today at Tesnatee Gap a man was giving out teasty “everything good stew”, brownies,bananas and lemonade; The man fought and beat cancer a few years ago and was a AT hiked; Thanks for the great food and drink “Trail Angel Bob”!","Mt Crossing Hostel
",Whitley shelter,"Apr 07, Sun",6.70
Cowboy ,https://www.trailjournals.com//journal/entry/609922,"first, I would like to thank Patrick P. for the good words; Last night we had 8 staying; made a bond fire played cards (watch) and celebrated Balinda birthday, a good night; Today I stoped at Low Gap Shelter to take a lunch break at 12:15 and then the clouds opened and I chose to stay the night; The hike today was mostly level with just a few climbs;","Whitley Gap Shelter
",Low Gap Shelter,"Apr 08, Mon",4.60
Cowboy ,https://www.trailjournals.com//journal/entry/610031,"Last night we had 7 people sleeping in the Shelter; we played the card game        “Mafia”; There we’re husband and wife Crusher and Balinda, Punky, a young man from Cincinnati, a gal from Canada, a gal from Ireland and myself;Today’s hike was flat the first 2hours and then a lot of climbs with uneven rocks covered with wet leaves; I had a room reserved at the Budget Inn with the plan to pick me up at 4:pm; I arrived at 2:pm with thunderstorms moving in so I hitched a ride the 12miles to town;,1/2 hour latter a violent storm came through;At the hotel, a French speaking Canadian couple staying at the hotel offer me ice for my knees;?i gladly excepted ( my knees were swollen and sore live ever other hiker); A big thank U to my friends from north of the border! Wednesday will be a “0” day for rest and buy hiking food;","Low Gap Shelter 
",Unicoi Gap,"Apr 09, Tue",9.70
Cowboy ,https://www.trailjournals.com//journal/entry/610046,l would like to offer a challenge to Michelle from Ireland and Katie 1st grade teacher from Canada hiking the AT now: Try to find 3 people on the trail each day having a BAD DAY ?and try to put a BIG SMILE on their FACE!?PS And for heaven sakes GET SOME DARN.   HIKING POLES before U FALL OFF the SIDE of a MOUNTAIN??‍♂️,"
",View Entry,"Apr 10, Wed",0
Cowboy ,https://www.trailjournals.com//journal/entry/610119,"Today the weather was all sunshine and 80 D. I walked to Walgreens to get bandages and Tylenol, then on to Ingles food store; I signed up for their discount card, witch saved me 4 dollars on a 40 dollar purchase;  my list included cheese, wheat thins, Spam singles, oatmeal, dry fruit, jerky, Ramon Noodles and drink mix; Back at my room I repacked most things in ziplock bags to save room and weight; Had dinner at Danial Steak house (AYCE) and sat with 3 hiker friends for a while to catch up; Finish the day with ice on my knee, a hot bath (for my knee) and more ice on my knee; will be back on the trail tomorrow and hope to be out of Georgia by Sunday?","
",View Entry,"Apr 10, Wed",0
Cowboy ,https://www.trailjournals.com//journal/entry/610189,"Took the hotel bus out to the trail and started hiking at 9:20; the first hour was all climbs; A big climb in the middle where and a walk on a ridge looking down  to valleys on both sides lead us to a man cooking hot dogs with chips apples bananas culiflower and pop; When asked why he goes to all that work he answered “it’s better than watching Gunsmoke reruns; the day ended at 7:pm, just enough time set up my tent and eat;","Unicoi Gap
",Deep Gap Shelter,"Apr 11, Thu",13.10
Cowboy ,https://www.trailjournals.com//journal/entry/610357,"Still hiking a lot slower than the under 30 group but today that payed off, I found a nice morral mushroom along the side of the trail; I added it to my eggs and veggie I cooked for dinner;                                 We had a trail runner stay at the shelter by the name of Crooket (trail name); He checks the trail for envasive spices among other duty’s;  He was talking what a special place the Smokies and how fragile it is; Most hikers going though thing hiking the entire trail is most important thing going up the trail; as he says they should be thinking how to protect the fragile place as the Smokies; Along with him we had two from Great Britain, two from Florida and guy and his girl friend;","
",Plum orchard shelter,"Apr 12, Fri",8.10
Cowboy ,https://www.trailjournals.com//journal/entry/610359,"By 11AM I reached the GA/NC state line;,one state down 13 to go;        I’ve been pushing it a little the past 3 days, to test my sore knee; came through OK!  Thank you for your help (Doc) Sebastian and Sweet Caroline! Besides the French Canada couple I shuddle our to the trail with Joe Cool, Frisco Gal, a German couple and two other men (on Thursday); I also hiked some this week with Curly and the 2 Brits.; it’s been a good week of hiking;","Plum Orarch Shelter
",Standing Indian Shelter,"Apr 13, Sat",12.20
Cowboy ,https://www.trailjournals.com//journal/entry/610588,"At 1AM today the high winds and heavy rain started and lasted all day; winds of 50 mph with gust to 80 mph; We were safely in a newer heavily built shelter and with that unsafe weather most of us planned to stay a second night as limbs were falling everywhere; to our surprise, 9 people stop by as they were trying to hike through it; the funniest was a small gal with a umbrella; somehow the umbrella stood up to that wind; such foolishness I’ve not seen before; the next day we hike finding limbs and trees down everywhere but thankfully no body’s under them;","Standing Indian Shelter
",None,"Apr 14, Sun",0
Cowboy ,https://www.trailjournals.com//journal/entry/610591,"Today we started early and with an almost level path it was my easiest and most mile so far at 21 miles; we cross another milestone today at over 100 miles; Not liking any of the 3 shelters we passed, we choose to camp on top of a mountain 2 1/2 miles from a bus stop to Franklin NC; I hiked with Gar from Great Britain and a young guy “Trail Blazer” from Arizona;","Standing Indian Shelter 
",Cowboy Camp sight,"Apr 15, Mon",21
Cowboy ,https://www.trailjournals.com//journal/entry/610608,"Today’s plan was to get to the bus stop 10 miles out of Franklin by 9:30, get breakfast, wash cloths, check in the Budget Inn and get some hiking food;     All went as planned; weather was perfect all sunshine and mid 70s; will ice my knee a few times and get a good nights sleep in a real bed; Lots of climbs coming for tomorrow;","Cowboy camp 2.5 out
",Franklin NC,"Apr 16, Tue",2.50
Cowboy ,https://www.trailjournals.com//journal/entry/610790,"Today was some hard climbs; Early in the day I met up with “Pack Mule” a guy from farm country in New York State; Had some good conversations on farming and hunting, making the hiking go by fast; That night with the shelter being full, I cowboy camped just be on the shelter;  5 other tents were there including “Snack Pack” from Columbus, Ohio, a couple from MA; a women hiking with her puddle and Curlie Sue, a gal I hiked before with;","Winding Star Gap
",Cold Springs Shelter ,"Apr 17, Wed",15.80
Cowboy ,https://www.trailjournals.com//journal/entry/610792,"Today we were trying to reach Nantahala Outdoor Center; This is a big white water rafting and zip line place; With a general store, eatery making pizza, burgers and beer; They also have a week long water training and rescue class for $450 with a lot of firemen attending; There are maybe 20 building with logging with a men’s and women restroom and shower and a big dining and kitchen area above;  I have a room for 2 nights;  I also picked up my pass to overnight hike in the Smokies; You must stay in or aside the shelters in the Smokies and if someone with a reservation comes along, we through hikes have to give up our space!","Cold Springs Camping Area
",NOC,"Apr 18, Thu",11.80
Cowboy ,https://www.trailjournals.com//journal/entry/610882,"Today the rain started early morning and pour most of the day; Mid morning a flash flood warn was issued and a mud slide closed the main road here;After 16 days hiking I see 2 age groups: the under 30 and the over 50, a few but not many in between; All have one thing in common, a few friendly words and a smiling face; Tomorrow I will set out on what is said to be the 5th hardest part of the entire trail;Madison, Austin and James, my gran children are keeping track of my progress on the trail; On Monday kids you should be able to mark me as being to the Smokie Mountain National Park!","
",View Entry,"Apr 19, Fri",0
Cowboy ,https://www.trailjournals.com//journal/entry/611147,Everything wet on the trail today and as the day went on it turned to wet snow; most people stop at the first shelter and called it a day;,"NOC
",Sassafras Gap Shelter,"Apr 20, Sat",6.80
Cowboy ,https://www.trailjournals.com//journal/entry/611149,No snow at our shelter in the morning but in the Mts there was 2inchs everywhere! I hiked though snow for 2 miles shaking of low hanging branch’s so they would raise enough to go under and not hit my backpack;,"Sassafras Gap Shelter
",Cable Gap Shelter,"Apr 21, Sun",15.20
