Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Dale Ford,https://www.trailjournals.com//journal/entry/608232,"We've actually been thinking about this for over a year now ... discussions, affirmations, really?, affirmations ... Then the gear purchasing began last fall.  Yeah, we are new to the lighter gear weights and long hike trekking, but we have always been an active family with camping, short family hikes, crosscountry skiing, snowshoeing in local Regional Parks, and the various school and club sport stuff.  Now it was time to make commitments with appropriate gear procurement and picking a start date!  March 26th we'll start from Springer Mt as set and ready to go as we will ever be!",,View Entry,"Mar 16, Sat",0
Dale Ford,https://www.trailjournals.com//journal/entry/608359,"Ok.  Got the gear together and ready to go.  Packed and unpacked and packed ... it all fits! A - Z: got the Big Agnus Copper Spur single person tent ... and the ZPack Arc Haul backpack.  Can't believe I'll be carrying more than 26 items, but here's the pre-hike list - enjoy!  (awkwardly pasted from excel file)  Item
Brand Name
Description
Comments
lbs
oz


  Backpack
Z Pak Arc Haul
49L main body, 2.5L each side pocket, 8L center pocket, 62 Liters Total
water resistant. Gridstop Fabric. Arched. Bear canister fits verticle inside. Better at 30 lb than Arc Blast. (not planning on raincover but line interior)
1
8


   
Z Pak Arc Haul
(1) Shoulder Pouch, Jetblack Gridstop
 
 
0.5


   
Z Pak Arc Haul
(1) Pair Belt Pouch, Black DCF
 
 
1.5


   
Z Pak Arc Haul
(1) Set Trekking Pole Holders
 
 
0.4


   
Z Pak Arc Haul
V Top Strap
 
 
0.5


   
Z Pak Arc Haul
Shock Cord Lashing
Side Straps
 
0.5


  Bear Canister
Garcia Backpacker
Cache 812
9.8L 600cu in. 2 lb 11 oz. 8 dia x 12"" IGBC cert.
~100 cu in. per 1 day of food. Top requires coin or hard edge to unscrew.
Possibly more secure than Bear Vault.  (means est 4-5-6 days food)
The Garcia holds roughly 10 packages of Mountain House 2-serving meals.
2
12


  Tent
Big Agnus Tent
Copper Spur
Copper Spur HV UL1
High Volume Ultra Light 1 person tent. (Footprnt sold separate)
Much use on trails.  A popular trail tent. Side entrance.
2
2


  Sleeping Pad
Nemo Tensor Insulated
R4      3""thick Reg Wide = 25x72x3
yellow, pump sack included in price, insulated, quiet, 10-20F
1
3


  Sleeping Pad Backpackng Quilt
Hammock Gear Econ 30 Quilt
800 fill power duck down. 1.1 oz fabric. 30 degr. 20 oz weight.
30 Degr+ quilt.If colder wear clothes to incr warmth. 800 fill power water repellant down. 2 oz overfill to minimize down shifting.
1
6.2


  Sleeping Bag Liner
Sea to Summit
100% Premium Silk Liner - Traveler
Ripstop Lightweight Silk
 
5.4


  Stove
BRS Stoves
Ultralight Backpacking Stove / 23 grams
screws directly onto fuel can
cook individually. It takes just minutes to heat water to rehydrate food. (ref$20)
 
1


  Titanium Cup
Toaks
750ml cooking container
TOAKS Titanium 750ml Pot with Bail Handle. 24fl oz capacity (ref$39)
 
3.9


  Titanium Spork
SnowPeak
Spork
fork/spoon w serrated edge only cooking eating utinsile (ref$9)
 
2


  Water Filtration
Sawyer Squeeze
Good for 100,000 filtrations. Get 2 water
bags with it. Bigger model / not mini
 
 
3


  Water Bottle
Any Off-brand
Water Bottle 16 fl oz. Disposable. (NotNalgeen)
Carry 2 of these on trail.  (1 liter is 34 fl oz. 1.5 lter is 50 fl oz)
 
3


  Rain Gear
Z Pack Vertice
Rain top for upper body
Rain top for upper body.  Large  Waterproof breathable. Black
 
5.7


     Camp Shoes
Croc
sturdy sandal / flip flop / Croc
light wt. for camp wear & stream crossing
 
5


  Hiking Poles
Cascade Mountain
Tech walking poles
3K Carbon Fiber Quick Lock Trekking Poles Cork Grip
Cork grips, 3k carbon poles, tungsten carbide tips max length 54"".
1
0


  guide book
The A.T. Guide
2019 edition
to be carried and used on the trail.  [Order #22534] (January 7, 2019)  Dale
 
6


  


Basic Gear Weight Calcs
8
69.6


  


Basic Gear Weight Calcs
4.4
4.4


  


Summing Known Basic Gear Weight Total:
12.4
 


  







  Food
Dry Food
1st 4 day food supply
 
7
4


  Water
Water
start with two 16 fl oz bottles of water
The weight of a fluid ounce of water in pounds is equal to 8.34 / 128
2.1
 


  Isopropynol Fuel
MSR Fuel Can
2 small cans
carry 1 can each. Restock on trail. 
 
7.4


  


Food & Fuel Weight Calcs
9.1
11.4


  


Food & Fuel Weight Calcs
0.7
0.7


  


Food & Fuel Weight Totals
9.8
 


  







  


Running Start Pack Weight Basic Gear Calcs
12.4
 


  


Running Start Pack Weight Food & Fuel Calcs
9.8
 


  


Running Start Pack Weight Calcs Total (known & calc wts)
22.1
 
11 adder
33.1
  







  Clothes packing
 
 
weighed as part of pack grand total
 
 
 
 
     Jacket
 
 
cold weather
*
 
2lbs
11
     Gloves
 
 
cold weather
*
 
 - 
 
     scarf
 
 
cold weather poly neck warmer
*
 
 - 
 
     stocking cap
 
 
night sleep and cold days
 
 
x
9lbs
     baseball cap
 
 
goes well with Vertice raincoat hood
 
 
x
 
     Rain Pants
 
 
Will have rain pants at least thru Smokeys.
*
 
x
 
     Sleep Top
 
old poly top 3/4 length cut sleeves
in dry bag
 
 
x
 
     Sleep Bottom
 
old sheer poly bottoms
in dry bag
 
 
x
 
     Sleep Socks
 
old alpaca wool socks (from Maine!)
in dry bag
 
 
x
 
     Extra socks
Darn Tough
Hike/Trek light cushion
merino wool combo. Packing my fears
 
 
x
 
     Extra socks
Wrightsock
Lightweight Double Layer Coolmesh II
built in liner socks, very comfortable liner. two layer: outer & poly liner
 
 
x
 
     Extra socks
Injinji
ultra thin 
41% nuwool with poly.  possible liner sock use
 
 
x
 
     Extra socks
misc
very light weight
have a couple of extra pairs
 
 
x
 
     extra top
Dickies
85 poly / 12 wool long sleeve
cold weather for layering
*
 
x
 
     extra bottoms
 
poly slim long underwear
cold weather for layering
*
 
x
 
  Daily Meds
 
   Med 1
Store separate easy accessible
 
 
x
 
   
 
   Med2
Store separate easy accessible
 
 
x
 
  Foot Balm
Gold Bond 
   Friction Defense
Handy Access
 
 
x
 
   
Body Glide
   Foot Glide antiblister balm
Handy Access
 
 
x
 
  Daily Toiletries
 
   Crest Toothpaste
Store with food
 
 
x
 
   
 
   Toothbrush
Store with food
 
 
x
 
   
 
   Dental Floss
Store separate easy accessible
 
 
x
 
   
 
   Hand Sanitizer
Handy Access
 
 
x
 
   
 
   Toilet Paper
Handy Access
 
 
x
 
  First Aid Kit
 
   Ibuprofen
Store with food
 
 
x
 
   
 
   Assorted FADs
Store First Aid Kit
 
 
x
 
   
 
   Tegaderm
Store First Aid Kit
 
 
x
 
   
 
   Micropore tape
Store First Aid Kit
 
 
x
 
   
 
   Wrap
Store First Aid Kit
 
 
x
 
   
 
   Moleskin
Store First Aid Kit
 
 
x
 
   
 
  Diarrhea tablet
Store First Aid Kit
 
 
x
 
   
 
   Antihistamine tablets
Store First Aid Kit
 
 
x
 
   
 
   Ear Plugs soft
Store First Aid Kit
 
 
x
 
   
 
   Insect Repellant
Store First Aid Kit
 
 
x
 
   
 
   Nail Clippers
Store First Aid Kit
 
 
x
 
   
 
   Aquaphor ointment
Store First Aid Kit
 
 
x
 
   
 
   Alcohol wipes
Store First Aid Kit
 
 
x
 
   
 
   Water Supply Chemical Tablets
Store First Aid Kit
 
 

 
   
 
   Benadryl
Store First Aid Kit
 
 
x
 
   
 
   Corn Starch Bags
Store First Aid Kit
 
 
x
 
  Tools
 
   Small Screw diver & Mag glass
Store First Aid Kit
 
 
x
 
   
 
   Knife (w/ strong flat screw)
Handy Access
 
 
x
 
   
 
   Gorilla Tape
 
 
 
x
 
   
 
   Sharpie Pen
 
 
 
x
 
   
 
   Whistle
Handy Access
 
 
x
 
   
 
   Compass
 
 
 
x
 
   
 
   Bic Lighter
Store with stove
 
 
x
 
   
 
   Trowel
Titanium cat hole digger
 
 
x
 
   
 
   Head Light  Energizer
with 3 AAA batteries
 
 
x
 
  Dry Sacks
Sea to Summit
Waterproof bags for interior BP storage
Use especially for sleeping bag/clothes
 
 
x
 
  Plastic Bag(s)
Compactor bag
Back Pack Liner
also for wet vs dry separation (wet tent / wet rain gear) ?
 
 
x
 
  Footprint sleep pad
 
cut plastic
to be used as lightweight sleeping pad footprint
 
 
x
 
  Footprint tent
 
Plastic 
Make own by cutting plastic supply in garage. Use for tent.
 
 
x
 
  plastic cup
Any Off-brand
Coffee Cup with cap closure
Plastic coffee cup for quick morning coffee? Vertical ""cup"" for side pockets
 
 
x
 
  Towel
 
 
A quick dry lighter weight specific camp towel
 
 
x
 
  Food Prep
 
Food Steeping Pouch
Made per Darwinonthetrail video
 
 
x
 
  kerchef
 
Cotton kerchef
 
 
 
x
 
  Mosquito Net
 
Net to cover head
I have only one.
 
 
x
 
  Pillow
REI
Travel Down Pillow
My own well used down camp pillow. 
 
 
x
 
  Cell Phone
 
ATT (anticipating not the best coverage)
Phone, cord, Jack
 
 

 
  Hiking App
Gut Hooks App
AT Hiker App shows water holes camps
20 per yr. might track on trail also.
 
 

 
  Weather App
Dark Sky
Dark Sky the weather app
Recommended  need to test
 
 
 
 
  







  Clothes wearing
 
 
Not Weighed and not part of Pack Weight
 
 


     Trail Shoes
Altra Timp Trail
Nice wide toe box, medium cushion.
""Trailrunners"" a class of shoe for trail hiking. went 1/2 size larger
1
7.6


     Ankle Gaiter
REI
 
medium nuisance protection
 
 


     Trail Socks
REI
Technical Hiking
toe & heel cushion, 53% merino wool with nylon
 
 


     Trail Socks
 
Light Poly liner socks
very light
 
 


     Pants
LL Bean
100 Nylon
Old comfortable. Quick dry
 
 


     Underwear
 
yes
 
 
 


     Shirt
Columbia PFG
Long Sleeve
 
 
 


     Undershirt
 
Poly T-shirt
 
 
 


     gloves
 
Lightweight for gripping poles
 
 
 


     Hat
Tilly Airflo
 
Good brim hat for some sunscreen
 
 ","
",View Entry,"Mar 18, Mon",0
Dale Ford,https://www.trailjournals.com//journal/entry/608453,"The pace around here at home is increasingly frantic as our AT travel day is coming closer and closer.  Completing some last minute house chores and discovering I need 4 more lightweight tent stakes to be able to stake down all available tent tie-downs...We will start our trail pace intentionally slow with 7 - 8 mile days.  And though this may be weather dependent, I'm not sure whether this means we'll put on more miles to get to the next shelter in inclement weather, or whether it means we'll be staying put to avoid getting totally wetted-out.  On our first day we'll start at the P off USFS42 and walk the 0.9 miles southward to Springer.  (I'll be seeing my first white blaze backwards!)  We'll signup and boldly go ... northward where we've just been!  Can't wait!  I'm ok with probably getting to Neel Gap/Mountain Crossings on the 4th day and to the GA/NC border after 10 days.  That would be a 7.81 miles a day for our walk through this Georgia section.  A nice way to initiate this journey, but, I'm sure the trail will have some input!",,View Entry,"Mar 19, Tue",0
Dale Ford,https://www.trailjournals.com//journal/entry/608613,"Friends and family are asking what will we be eating and about food prep.  I added a Food item to the Gear List - but am disappointed on the way it posted.  Below is another attempt to paste this info into this site.  This supply scheme is my adaptation from the great advice of darwinonthetrail.  Basically, there are trail towns along the AT every 3 - 4 - 5 days for the most part.  So every so many days there will be an opportunity to re-supply in town ... and burger-up! The idea on the trail is to carry dehydrated food, boil water, re-hydrate in the food package, and steep for the dinner meal.  Note: this method means no cleanup - but carry out the used food package.  Power bars and other misc will be food for breakfast and lunch.  There is lots of water along the trail, in springs and small creeks, that we will filter (meticulously) for drink and food prep. Below then is a our 4 day initial food supply divided into day by day ziplocks.  This 4 day supply weighs 7 lbs 4 oz - so estimating average is 2 lbs per day.  This supply also uses Knorr Rice Dinner Packs and Tuna Packs, with good calorie and protein count, which are a lot cheaper than typical commercial freeze dried dinners - though I will be using those as well to mix things up.  The cost totals are at the bottom of this info paste.  But this home bought supply averages to $394 a month for the trail food - so planning on $400 - $500 a month for food cost on the actual trail (not restaurant food in town).  Bon Appetite!  Adapted from darwinonthetrail



  4 Day Plan / Re-supply Scheme

  Separate into Day Ziplocks

  Tip: On the way out of town: Get Town food & carry with you for lunch or 1st nite  (burgers, subs)
  
Calories
Protein
Cost
Tot Carb
  Day 1 Breakfast
 
 
 
 
  Hostel

 
  Day 1 Lunch

 
  3 Protein Bars MetRX Apple Pie
400
31
1.74
48
     Premier Choc Peanut
290
30
1.12
25
     Premier Dark Choc Almond
290
30
1.12
25
  1 Clif Bars Peanut Butter
260
11
1.08
40
  Day 1 Dinner


 
  Knorr Rice Sides: Cheddar Broccoli
575
17.5
1.00
118
  StarKist: Tuna Creations Hickory
110
19
1.50
0
  Hot Chocolate

0.25
 
  Day 1 Totals
1925
139
7.80
256
  
Calories
Protein
Cost
Tot Carb
  Day 2 Breakfast
 
 
 
 
  Atkins Choc Peanut Bar
250
16
2.00
23
  Clif Bar Oatmeal Raisin Walnut
250
10
1.08
43
  Coffee

0.33
 
  Day 2 Lunch


 
  3 Protein Bars Met RX Cookie Crunch
410
32
1.74
42
     Builder Vanilla Almond
270
20
1.30
30
     Premier Dark Choc Almond
290
30
1.12
25
  Clif Bar Peanut Butter
260
11
1.08
40
  Day 2 Dinner


 
  AlpineAire SW Style Masa Beef
660
40
9.00
92
  Hot Chocolate

0.25
 
  Day 2 Totals
2390
159
17.90
295
  
Calories
Protein
Cost
Tot Carb
  Day 3 Breakfast
 
 
 
 
  Met RX Apple Pie
400
31
1.74
48
  Clif Bar Oatmeal Raisin Walnut
250
10
1.08
43
  Coffee

0.33
 
  Day 3 Lunch


 
  3 Protein Bars Met RX Cookie Crunch
410
32
1.74
42
     Builders Vanilla Almond
270
20
1.30
30
     Premier Yogurt Peanut Crunch
290
30
1.18
25
  Clif Bar Peanut Butter
260
11
1.08
40
  Day 3 Dinner


 
  Knorr Rice Sides: Medley peas carrots
600
18
1.00
118
  StarKist: Chunk Light Tuna
150
17
1.50
0
  Hot Chocolate

0.25
 
  Day 3 Totals
2630
168.5
11.20
345.5
  
Calories
Protein
Cost
Tot Carb
  Day 4 Breakfast
 
 
 
 
  Atkins Choc Peanut Bar
250
16
2.00
23
  Clif Bar Oatmeal Raisin Walnut
250
10
1.08
43
  Coffee

0.33
 
  Day 4 Lunch


 
  3 Protein Bars Builders Vanilla Almond
270
20
1.30
30
     Premier Dark Choc Almond
290
30
1.12
25
     Premier Choc Peanut
290
30
1.12
25
  Day 4 Dinner


 
  Knorr Rice Sides: Creamy Chick Flavor
600
15
1.00
120
  StarKist: Tuna Salad
100
14
1.50
3
  Hot Chocolate

0.25
 
  Day 4 Totals
2050
135
9.70
269
  By this time we should be at Neel Gap
 
 
 
 
  Extras

  Extra lunch all days in one gal zipbag.
 
 
 
 
  Hormel Pepperoni/Beef Jerky. 

3
 
  .4 lb peanuts. 

1.64
 
  .4 lb sunflower seeds.

1
 
  Reserve of 1 Ramen Packs
 
 
0.25
 
  (Est Trail Food Cost for 1 month)
 
 
 
 
  Total for 4 Days

$52  
  Av per 1 Day

$13  
  Av x 30 Days
 
 
$394  ",,View Entry,"Mar 22, Fri",0
Dale Ford,https://www.trailjournals.com//journal/entry/609926,Springer Mt start!  Jake sand I shaved our beards and mustaches for a fresh start - tradition has no shaving on the trail. Heidi drive us up the narrow gravel USFS42 to the Springer Mt Parking lot where Jake and I said our goodbyes and actually started south on the trail for 0.9 miles to get to the start. A nice sunny day for hiking and a rocky up and down from Springer! There are rocks and roots and boulder fields on that trail ... Oh my! On the way down back to the parking lot we met a woman having problems with her pack and a broken trekking pole. Goodness! We made sure She had a cell connection and was talking to her husband about picking her up before we continued on. Got to Hawk Mountain Campsite in good time despite our late start but it was sprinkling. Also surprised not too ma y in camp. Went to filter water first and cooked our first dinner by the little stream as the rain had let up. But as soon as we started setting up tents a harder sprinkle started again. But we mana g ed to stay mostly dry inside working together to get tents covered quickly. A great first day!,"Springer Mt
",Hawk Mt Campsite,"Mar 26, Tue",7.40
Dale Ford,https://www.trailjournals.com//journal/entry/609928,We started wet on the outside after the notes rain but today was mostly cloudy. The trail was in good shape despite the rain. We broke camp and we decided to each go our own pace this morning. Jake was out front. I got to a stream 0.6 miles down the trail and needed to filter water. I could not find my Sawyer Squeeze filtering system! Others were also taking a break at the stream so I told them I had to go back to the campsite to look for the Sawyer Squeeze. Jake was going to wait for me at some point along the trail so I told them to pass the word I would be more delayed if they so that guy wkith the green backpack. At the campsite I found the filter after checking several sites. On the way Back to the stream there was a spit with cell signal so I gave Jake a text also suggesting he go ahead to the next shelter to ensure tent sites.  He did not fully understand my text but by word of mouth on the trail the situation finally got better explained to him!  Lesson 1 (among many lessons 1 to be sure) double check the tent site before leaving!Sassafras Mt was a most difficult climb. It is about 700 ft climb in a mile but very rocky with big steps up and very direct with little switchback. Not a tall mountain but very difficult thus early on. Finally met up with Jake at Hooch Mt Shelter with a clear evening and a chance to exchange the forgotten filter stories.,"Hawk Mt Campsite
",Gooch Mt Shelter,"Mar 27, Wed",8.30
Dale Ford,https://www.trailjournals.com//journal/entry/609929,A good day for a hike with good trail conditions. Jake and I decided to head for Woods Hole Shelter 11 plus miles. We took the shelter side trail not really realizing the shelter itself was 0.4 miles away. But once we got there we had it all to ourselves!! A beautiful spot and sunset. Also saw many lit campfires in the distant hillsides. We stayed inside the shelter first time.,"Gooch Mountain Shelter
",Woods Hole Shelter,"Mar 28, Thu",11.80
Dale Ford,https://www.trailjournals.com//journal/entry/609930,Blood Mountain is the highest mountain on the AT in GA. (Maybe the 3rd highest in GA?)  Thank goodness it was a dry day!  Going up was difficult but managed with frequent breathtaking stops. On top is an old stone building now used as a shelter. Very neat views from this summit! Now the way down was treacherous!  Normally white blazes are painted on trees to mark the AT. A significant number of these rectangle blazes were painted on sloping rock outcroppings to mark the proper way down!  This was knee jarring!  A most difficult descent! At the bottom of the descent is Neel Gap and the outfitter Mountain Crossings. Jake and I bunked there in the hostel and Resupplied. The place is also famous for shoes slung into a big oak out front: some frustrated hikers!? I put my heavier boots in a box with a few other non-essentials and Jake added a thing or 2. We sent that 6 pound box home to Eagan! The nite was a cacophony of snores saws and coughs but inside and dry. Bought fresh brewewd coffee in the morning. A good stay.,"Woods Hole Shelter
",Neel Gap,"Mar 29, Fri",3.60
Dale Ford,https://www.trailjournals.com//journal/entry/609190,After bunking at Mountain Crossings Jake and I got an earlier start with a 7am lights on! Showered last night gear together and brewed coffee. Off for a target 11 mile day. Beautiful day. Trail magic atTesnate Gap.  Chips fruit and vitamin I by Antenna Papa G Mama G. The 1/2 mile up and down the next mountain to the next gap and more trail magic!  White bean stew with pulled pork pieces and rice hot!  Also bowtie pasta salad. All served in the parking lot at the gap.  From then on a lot of not too difficult trail hiking to get here at Low Gap. Word does have it there be a storm tonight. We are set. All tented in !,"Neels Gap Mountain Crossings
",Low Gap Shelter,"Mar 30, Sat",11.50
Dale Ford,https://www.trailjournals.com//journal/entry/609259,An awesome rainstorm last night. The wind was really strong coming up the gap. We did get wind at ground level but mostly you heard that almost unearthly sound as it whirled thru the trees wave after wave. The morning was cold and wet but the tents held up fine on the inside. An icy start on the finger tips as we packed things away. And a cold wind on the leewardard side of the mountain trail. We learned at Blue Mt Shelter others on the trail were going into Helen for the night. I desperately needed to sanitize my close so we are doing the same. This entry is from the laundry mat getting clothes done! Sure Stay Hotel tonite at hiker rate. Back on the trail tomorrow! Oh and a little trail magic at Unicoi Gap. Thanks Solo!,"Low Gap Shelter
",Unicoi Gap,"Mar 31, Sun",9.70
