Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Gordon,https://www.trailjournals.com//journal/entry/560044,"Based on my plan I will hit the trail 6 weeks from today. I have told very few people about this since I wanted to make sure it was going to happen before I posted any information......I do feel like I have a made the commitment since I booked my flight to Atlanta last week......My plan is to hike the Appalachian Trail from Springer Mountain, Ga to Hot Springs, NC.... This trek is 274 miles on the AT (I will cover close to 300 miles with side hikes)......I will fly to Atlanta on May 25 and hit the AT on May 26. The Plan is to reach Hot Springs on June 19 (Tyson will be with me the last 2 days - 30 miles).More later...........................",,View Entry,"Apr 14, Fri",0
Gordon,https://www.trailjournals.com//journal/entry/560146,"Thinking this morning about the preparation for the trek. 1st I am very thankful Marilee has supported me in doing this.... I hate I will miss her birthday on May 29 but I will send my love to her from the trail.......
Training for this adventure - I started doing a 3 day a week work out (2.5 miles on the treadmill and then about 20 to 30 min on different machines to work on my core body muscles)in February 2016. I was motivated to start my workouts by watching Marilee's dedication to her workout routine (4 or 5 days a week). I have added to my workout the last few weeks the hike up and down the Lowes' hill (100 ft from top to bottom -- this is where the kids sled). I do this with my 40 lb pack. 15 times up and down is a mile and 1500 feet in elevation change.",,View Entry,"Apr 15, Sat",0
Gordon,https://www.trailjournals.com//journal/entry/563180,3 weeks from today I will be on the AT. Booked the shuttle yesterday to pick me up at MARTA's North Star terminal.  I still have a few items to buy and some  planning to do but I am getting excited. ,,View Entry,"May 05, Fri",0
Gordon,https://www.trailjournals.com//journal/entry/566141,"May 25: Springer Mountain: 0 miles to Stover Creek Cove: 2.8 miles 
Started out the day finishing up a few items and sending a few email reminders. It is hard to get ready to leave for 30 days.

Marilee and I got my pack ready last night so it could be checked st the airport.

We left for the airport at 7:30 and everything went great at the checkin. Marilee and I said our goodbyes (I am really going miss her the next several weeks). Boarded the plane for Atlanta at 9:30.

Arrived in Atlanta at 1pm and was on Marta at 1:45pm. Survivor Dave picked me up at the North Spring station at 2:35. We stopped in Dawsonville, Ga for food. 

The last 13 miles on the trip the trailhead parking was on US National Forest dirt road. We arrived at 4;45pm. I loaded up my pack and back up (Southbound) the AT so I could start at the 1st AT blaze. It was 1 mile to top (1000 ft elevation gain) of Springer Mtn. After a few pictures and a sandwich at 6pm. I decided to hike some of trail vs spending the night at Springer Mtn. I was going to Stover Creek Shelter which was 2.8 miles. So I covered 3.8 miles my 1st day on the trail. I arrived at Stover Creek at 7:05 with plenty of sunlight to pitch my tent.

I met the people at campsite. There were 6 people in the shelter and 1 person tenting. 

I put up my tent first and since it was my first time it was taking a little long. Sebastian from Montreal come over to tell he had the same tent and I got him to show me the features of it I purchase the tent at 3pm yesterday (another story for later). 

I got the tent up, ate the other half of the sandwich I purchased in Dawsonville, and refilled my water bottles at the spring. 

It was a long day but it was good.

I am ready for tomorrow.","Springer Mountain
",Stover Creek Cove,"May 25, Thu",2.80
Gordon,https://www.trailjournals.com//journal/entry/566360,"Starting Stover Creek Shelter(2.8) and going to Gooch Mtn. Shelter (15.8 )-- 13 miles 
Several trips to bathroom during the night but I was up at 5:45. It was not light until 6:15am. I had 2 packages of oatmeal with pecans and 2 cups of coffee. At 7:30am I was on the trail. The trail starting out was good with a little up and down. Within the 1st hour I had at least 7 crossing of Stover Creek. The section to Hawk Mtn Shelter was mostly downhill with only a piece that had 700 ft elevation gain. I reached Hawks Mtn. at 8.1 mile post at 10:15am or I hiked 5.3 mi in 2.75 hours (I had planned on staying Hawk Mtn on first day of hiking). I called Marilee to check in and I left Hawks Mtn at 11am. 

My next stop was at Cooper Gap (12.3 mile post) for a snack. I arrived at 2pm. It was hard. It took me 4 hrs to go 4.1 miles. The terrain was back to being covered with roots, rocks and boulders and I had to hike over Sassafas Mtn. It was an 800 ft elevation gain over 1 mile on tough terrain. A couple of times I could touch the trail front of me; it was so steep.  Even after I clear the peak the downhill was hard because of large boulders. 
After a snack at Cooper Gap I left at 2:20. Justin Mtn up next it was hard because of Terrain but not as hard as Sassafras. 
I reached Gooch Mtn Shelter (15.8 mile marker) at 4:45om. I was on the trail 9 hrs and covered 13 miles. This is the longest I have ever backpacked in one day. The terrain was a big ""WOW"" today but I reached Gooch Mtn Shelter. My shoulders are sore and I have a hot spot on my big toe but very satisfied. I made Gooch on 1st full day on the AT. 
After I arrived in camp I got my water ready for tomorrow. For dinner I had peanut butter and honey on a tortilla plus some trail mix (too tired to cook). 
Spent the rest of the evening talking to people in the campsite. There are 6 of us who stayed at Stover Creek last night that made it to Gooch (Joe & Jake -  brother and sisters from NY and are going Franklin, NC; Chris from Atlanta and he is hiking for 14 days; Gabriel & Sabastian  from Montreal and they going to Maine). Memorial Day weekend has brought a lot of hikers on the trail. I saw 10 to 12 hikers during my 9 hrs.
Heading to bed at 9:15pm
It was a good day!","Stover Creek Shelter
",Gooch Mtn ,"May 26, Fri",13
Gordon,https://www.trailjournals.com//journal/entry/566361,"Gooch Mtn Shelter 15.8 miles to Woodys Gap (20.8 miles) : hiked 5 miles  I slept great last night.  I did not wake up until 6am. I got up and fixed breakfast and coffee and proceeded to pack my stuff and take down my tent.

I hit the trail at 7:40.

It was going to be short day since I decided I could not make Neels Gap which was 15.8 miles away and would have to hike over Blood Mtn. The last 8 miles before Neels Gap requires bear canisters and most hikers do not carry them due to the weight.

There were great views along the trail this morning ( I will post pictures) The terrain was still hard and very up and down like yesterday. I reached Woodys Gap at 11:10am and had gone 5 miles.  Marilee booked me a bunk at Hikers Hostel for tonight which is 7 miles off the AT. I had a snack and Hiker Hostel picked me up at 12:15. I felt better today but still a little tired-- I wish I could hike a few more miles.

I have spent the afternoon taking a shower, washing all my cloths (2 shirts, 2 shorts, 2 pairs of socks and my long tights- I wore my gym shorts as laundry was being done), and catching up on the internet since wifi has not been available on the trail. 

The Hostel is very nice and very clean. I am in a bunk room with 2 bunk beds.

A great story: I broke my reading glasses on the trail today. The Hostel did not have a pair I could buy and they suggested I call Mama's Taxis to take me in town (14 miles away) to buy some.

I called the taxi but no one answered. I took my shower and called again. Martha answered and I told her what I needed.  She said the fare would be $50 so I told her I would do without my glasses for a few days. She calls me back in 15 min and told me she was in a Dollar General and had reading glasses. She said she could buy and drop them off at the Hostel later tonight. I told her to buy me 3 pairs (cost was $3). She delivered them about 4pm. She just wanted me pay for glasses - I gave her a pretty tip and she did not want to take it because she said she was just doing me favor. I got her to take tip.. There are still good people out there.

I spent the afternoon on the porch (picture) checking out things on my phone and catching up on my journal. I order a medium pizza from Papa Johns. I could only eat half of it. Check weather and calling thunderstorm in the morning- not good.
That is it for today. I am heading to bed at 9pm.","Gooch Mtn Shelter
",Woody Gap,"May 27, Sat",5
Gordon,https://www.trailjournals.com//journal/entry/566558,"Sunday, May 28 Started at Woody Gap at the 20.8 mile and finished at Neel Gap at 31.7. Today I did 10.9 miles.

The night at the Hiker Hostel was great. As I said last night, I went to bed at 9 pm and fell asleep immediately. I did not wake up until 3 AM to go to the bathroom (that is a long stretch for me). I fell back asleep and woke up at 6 AM as a big thunder storm was coming through and it was pouring down rain. I had wifi so I checked weather and it was supposed to clear by 9 AM but there was a good chance for storms this afternoon. I decided to take the regular shuttle at 9 AM. (The manager of the Hiker Hostel was originally going to make a special run for me at 7:30AM) I got up and packed and got ready for a day on the trail in the rain. (rain gear was ready)

Coffee was ready at 7:30 AM. I had about 5 cups. Breakfast was at 8 AM – muffins and fruit. (The fruit was very good.) There were 2 men from Tampa, Florida in the bunk house with me. They were involved in Boy Scouts and had gone to Philmont. They are out of scouting today since their boys are finished. Their boys were Eagle Scouts. These guys were 57 and 63 years old and were doing a 7 day hike for about 60 miles. 

The 63 year old (I will give you their names later) had tried a thru hike in 2008. He twisted his knee, stepped on a boulder (Boulders are everywhere on the trail.) before Hawk Mtn Shelter (8.1 miles and one day into the trail) An EMT had to hike in and take him out on a stretcher. His trail name is “One Day” and his friend’s name is “Footloose”.

Our shuttle took us up to Woody Gap. We arrived at 9:15 AM. I didn’t hike with them (they were going 4 miles) and I was trying to make Neel Gap by 5 PM. (I would have been ok arriving between 5:30 or 6 PM)

It stopped raining by 8:30 AM and it was dry. Blood Mtn is 8.5 miles and it was 2900 foot elevation gain over about 4 miles. The first miles were a lot of up and down (no switchbacks like we had at Philmont). The terrain was the same as previous day with a lot of rocks, boulders and roots on the trail. You have to watch every step. The difference was more rocks and boulders.

I went the first 2.2 miles in 1.5 hours (moving at a good pace considering the ups and downs plus the terrain.)

I arrived at Jarrad Gap at 12:25. I covered the last distance of 3.6 miles in 2 hours. The big climb started up Blood Mtn. I had 2.6 miles to reach the peak. I arrived at 2:35 PM. I had a lot of water and took some pictures of the view. There is a photo of rhododendron flower canopies over the top of the trail. They were beautiful and smelled even better. I felt great about my pace up the mountain. “One Day” and “Footloose” didn’t catch up to me.

The views on Blood Mtn were outstanding. 

Still no rain. I had a steep decline to Neel Gap over rocks and boulders. (See the picture) The AT blaze were marked on the rocks instead of the trees. Plus the rocks were slippery because of the rain and mud. Going over a boulder, my foot slipped and went into a crevasse on the boulder and my foot was stuck. It was steep and it caused me to fall. I went to my knees. I had to lean back to get my foot out and I couldn’t get up without taking my pack off. A person hiking behind me on the trail saw it and came up as fast as he could to see if I was ok. He helped me get up (He looked like a football linebacker). I was very lucky. I could have easily twisted or broken my ankle and the trek could have been over. I was lucky – I decided to slow down.

Decent to Neel Gap. I arrived at Neel Gap at  4:34 PM. I was on the trail 7 hours and 20 minutes and covered 10.9 miles. I felt good arriving before 5 PM.

The outfitter store was still open (closes at 5 PM). I decided to buy a new sleeping bag to reduce my pack weight by 2.6 lbs. I shipped my old sleeping bag home. My new sleeping bag weighs 17 oz. FYI- I weighed my pack this morning and it weighed 37.8 lbs. The 2 guys at the Hostel said their packs weighed 29.9 lbs. & 32.0 lbs. Also food and water in all packs weighed about 12-14 lbs. 

I have showered and I’m heading to bed at 9:30. 

Thanks for following on my journal.","Woody Gap
",Neel Gap,"May 28, Sun",10.90
Gordon,https://www.trailjournals.com//journal/entry/566814,"Monday, May 29.  Neel Gap to Poplar Stump Gap (44.6) for total of 12.9 miles.

It is Marilee’s birthday today and I hate not being home.

I had a great night at the Blood Mtn Cabins. After I fell asleep I slept great. I woke up at 4:30 and was up at 5 AM. I wanted to get an early start since the forecast is calling for rain this afternoon. When I got up this morning, the hot spot/ blister on my big toe was bothering me. I decided I had to do something if I was going to make it 12.9 miles today. I decided on a moleskin patch. I did not realize I could not see the bottom of my foot (what time in your life does that happen?) so I had to get my 2x5 inch camp mirror while I held my head lamp to see my toe and what I needed to do. The blister was between my toe and the ball of my foot. I cut moleskin to fit with my pocket knife and held the moleskin in place with medical tape.

I made coffee and packed making my rain gear more accessible. I sent Marilee a text for her birthday. I turned in the key. It was a 1.0 mile back to the AT from my cabin, (The night before one of the guys at the Mountain Crossing Outfitter Store gave me a ride to the cabin.)

I hit the trail at 7:15 AM. The place I had to go onto the trail was thru a breezeway between the Hostel and the Store. This is the only place in the AT that the trail goes through a building. 

The climb coming out of Neel Gap was steep for the first 2 miles (800 ft elevation gain). However the trail had fewer boulders today. (I hope it stays that way). There were some great views today to the east. I stopped to take pictures at Mile Marker 36.2. (The AT does not have mile markers but I get where I am on my phone app.) I had gone 4.5 miles and it was 10 AM. After a few pictures and a water break, I left at 10:15. 

The trail was very up and down today. (Up 500 feet, down 300 feet) but the trail was better than previous days  - still rocks and roots but not as many.

I went over several mountains, too many to list.  I stopped to have lunch at Hog Pen Gap. I met a girl who had just graduated from college (somewhere in NY) and did not have a place to live so she decided to hike the AT. She is going south bound and had started in Nantahala Outdoor Center (NOC) since she had a friend that works there. She was hiking to Springer Mtn, Ga and a friend was picking her up and taking her to Maine to start hiking south from Katahadin (at the north end of the AT) so she could hike to NOC and cover all 2189 miles. This is called a Flip Flop hiker. 

I continued on after only a 20 minute lunch. And the trail was the same with lots of ups and downs. 

At the top of Poor Mtn (mile marker 40.6) some day hikers stopped me to tell me to be careful - about 20 minutes ahead on the trail there was a rattlesnake. It was still there when I got there but it was setting on the edge of the trail (The trail is only about 2 ½ to 3 feet wide.) and I couldn’t see it but I heard it rattle and he was upset. Another hiker and I marked the trail so hikers would stop. I am so thankful those hikers told me because I do not think I would have seen the snake in the leaves. 

I got to Low Gap Shelter (43.2 miles) and thought about stopping at the shelter since it looked like rain and this would keep my tent from getting wet. While at the shelter I made a few calls to get a shuttle to pick me up at Unicoi Gap tomorrow so I can stay at the Budget Inn and restock food in Hiawassee, Ga. I got it lined up with the shuttle driver, John. I decided to go to an actual campsite up the trail at Poplar Stump Gap (at mile marker 44.6). I looked like rain so I moved along at a faster pace. I arrived at 4:30 PM. That was a 9 hour 15 min day on the AT.

I got my tent up as fast as possible so I could put my stuff inside while I went and got water. The stream was .1 mile away. At night I always fill my 2 water bottles (1 liter smart water bottles – they are tall and slender & fit great in my pack) and 2 liter platypus. I use the 2 liter platypus for cooking, coffee, and to refill my water bottles in the morning. Since the water has to be filtered, it takes about 30 or 45 min to do 4 liters of water.

I tried to call Marilee but did not get her. I had settled into my tent when rain started at 7 PM. It rained hard awhile and then stopped. When the rain stopped I hung my bear bag of food. I had 2 peanut butter and honey sandwiches in tortillas tonight for dinner since I could not cook. 

I finally got my call to go through to Marilee and we caught up on how her birthday was today. 

I’ve been updating my my journal as I listen to the rain. It is raining hard. It is 9:30 and I am heading to bed. Thanks for reading.","Neel Gap
",Poplar Stump Gap,"May 29, Mon",12.90
Gordon,https://www.trailjournals.com//journal/entry/566851,"May 30, Tuesday:  Poplar Stump Gap (44.6) to Unicoi Gap (52.9) for total of 8.3 miles
As I said it was raining last night when I went to bed at 9:30. I woke up several times during the night due to the noise the heavy rain was making as it hit my tent. 
At 5 AM it had stopped raining. I got moving at 6 AM and I began to pack my back pack. It was dry inside my tent but very muddy outside. I did heat water so I would have coffee & oatmeal. I was the only person in my campsite last night and it was located right next to the trail.
I hit the trail at 8 AM. I packed so if it started to rain I would have my rain gear available. It was cool when I started out. 
There were no tracks on the trail this morning. It was muddy. I was thinking as I walked that I was the first person to hit the trail.
About an hour into the hike I noticed a very fresh print in the trail. It was the paw print of large black bear. (See the picture) I never did see the bear but it had to be close. I moved along at a pretty good pace.
At 10:45 AM I had gone 5.0 miles. The terrain on the trail was better today about 70% of the time. It was foggy. I was walking in the clouds. Also there were a lot of flowering trees along the trail. 
I did hike over Blue Mtn today at a height of 4025 feet. After I cleared Blue Mtn it was downhill to Unicoi Gap over rocks & boulders. They were very slick due to the mud. I think I would have fallen 8 to 10 times if it were not for my trek poles helping me maintain my balance. 
I made it to Unicoi Gap at 1:15 PM. I called the shuttle yesterday and arranged a pick up for 4 pm (since I wasn't sure of the terrain or weather and I didn't want the person to wait on me). I called John, my shuttle guy at 12:45 when I had cell service and told him I would be there around 1:15 PM. He picked me up at 1:30. I am staying at Holiday Inn Express in Hiawasse Ga tonight. 
I dried my tent by hanging it over chairs around the pool. I washed my clothes and took a shower. And Ingle Grocery Store was about .4 mile from my hotel so I walked up there to get some re-supply and more moleskin for my feet.
I had dinner at a Mexican restaurant at 6:30 PM. I got back to my room and prepared for tomorrow. I plan on hiking without my big backpack. I will do a day pack and will need to do 17 miles since that is the place John, my shuttle driver can pick me up. He will bring me back to the same hotel for a second night.
I will be heading to bed before 10 PM since tomorrow will be a long day. 
I had a great day. I hope you did also.","Poplar Stump Gap
",Unicoi Gap,"May 30, Tue",8.30
Gordon,https://www.trailjournals.com//journal/entry/566972,"May 31, Wednesday: Unicoi Gap (52.9) to Dicks Creek Gap (69.6) for 16.7 total miles
I had a great night of rest. I was tired. I got up at 5 AM to prepare for my day. I wanted to work on my right foot so it could get me through the 16+ miles today. I packed my day pack (food, power pack for my phone, 1 liter of water, filtration system for additional water, rain jacket, and first aid kit). I think my day pack weighed about 4 or 5 lbs. I am spending a second night in the same hotel so I can leave my full pack today. I will shuttle back to town. 
I had breakfast of eggs, sausage, pancakes, an extra sausage biscuit and coffee at 6:30. John. my driver picked me up at 7:15 and dropped me off where I left off yesterday. So I hit the trail at Unicoi Gap at 7:35 AM. I had a lot of ups and downs ahead of me for the next 16.7 miles.
I started out my day with a 700 foot climb over Rocky Mtn (pictures) and a 1400 ft climb over Tray Mtn in the 1st 5.2 miles. I reached the top to Tray at 10:10. I reached a group (father and 17 year old son) that I met at the hotel this morning about 1 hour in the hike. They left 30 minutes ahead of me.
I was moving at a good pace today. As I was passing Tray Mtn Shelter, Max (a person I had met a few days before on the trail) and Packman (a 25 year old that had been in the service and was looking for a job but could not find one so decided to do a thru hike on the AT) leaving Tray Mtn Shelter. I talked to them for a while but told them I was going ahead. Max passed me about 1 mile later and Packman caught up with me when I was taking a break. 
Packman had a crazy story. He started from Springer Mtn 1 1/2 weeks ago and got to Unicoi Gap last Friday and decided to catch a shuttle to Hiawassee, the same town I am staying in, to take a break. He was at a local Subway getting something to eat and a 69 year old woman asked him if he needed a place to stay and he did not need to pay just do some yard work. He stayed with her over the weekend and got back on the trail Tuesday. He tells me today, the AT is too hard and he was quiting. There are lots of crazy stories out there on the trail. 
I did not meet anyone today on the AT going south. I did pass 4 people going north. The mornings are great with the cool temperatures and the birds singing. 
There were some great views both east and west plus lots of flowers along the trail. 
I had originally told my driver, John to pick me up at 6:30 PM today at Deep Gap (3.5 miles left). I called him and told him I thought I would arrive at 4:15 or 4:30  PM. He said he would be there at 4 PM so I would not have to wait. I decided to pick up my pace so he would not have to wait. I arrived at 4 PM at Dick's Creek Gap. I was on the trail for 8 1/2 hours today and covered 16.7 miles, the longest single day of hiking I have ever done. (I did not have a back pack today but still a great day.)
The 16.7 miles had 4500 feet of elevation gain. That is huge. 
I got to the hotel at 4:20 and did laundry, took a shower and called Marilee. I went back to the same Mexican restaurant I went to last night since it was very good. I got to my room at 8 PM. I will do my journal and pack for tomorrow and hopefully will be in bed by 10PM. 
Another great day on the AT. Thanks.","Unicoi Gap
",Dick's Creek Gap,"May 31, Wed",16.70
