Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Happy Feet and Coffeebean,https://www.trailjournals.com//journal/entry/608516,"So we have spent the weekend doing last minute packing and adjusting. David figured we should carry 5 days + 1 extra meal. After loading that into his pack and hefting it onto his back, he quickly changed his mind. He reminded me of Katz in “A Walk in the Woods”, throwing out food and saying “We don’t need this! This is too heavy!” I will be carrying the tent and assorted odds and ends - first aid kit, power bank & phone cords, etc. I have laughed with friends about maybe hiring a Sherpa to carry our packs! 
I will be bringing a paper journal and pen for journaling too. I’m old-fashioned in that respect and will journal on paper and then add to this journal when I can. I will only have my phone and I’m not crazy about typing journal entries on that little keyboard. Maybe I should hire a teenage Sherpa to type my journal entries online. :)",,View Entry,"Mar 19, Tue",0
Happy Feet and Coffeebean,https://www.trailjournals.com//journal/entry/608512,Tonight will be the final shakedown of our pack. David stopped at our local and awesome outfitters and talked to them about the logistics of carrying water and about food weight. We have packed about 4-1/2 days of food and the weight is about 16 pounds. They said that was a good weight for 2 people.We are excited and nervous!,,View Entry,"Mar 21, Thu",0
Happy Feet and Coffeebean,https://www.trailjournals.com//journal/entry/608609,"So last night we did another run-through of our backpacks and re-weighed them. David was 37.2 and mine was 31.6. I was pretty shocked and upset at the weight gain. (The first time I weighed my pack I was in the low 20's.) I walked around part of the night wearing it to get used to the feel. 
I've decided to take my pack with me tomorrow and have a shake-down done at the local outfitters. I've also decided to embrace technology and threw out the paper journal and pen. This girl is going high-tech (if you call a smartphone high-tech.)
Today at work I was called up to the front office. As I walked into the principal's office I was serenaded with the song ""Happy Trails"". On the desk was a beautiful cake with ""Happy Trails"" written on it. My job rocks!! I love my co-workers!! We spent some time talking about my upcoming adventure and whether I was brave or crazy. We laughed and laughed and laughed. I will miss them so much! I will miss everyone at school so much!Today was David's last day at work. They took him to lunch at Massaki and then had a party at work. Speeches were made, stories shared, and there were damp eyes. He was truly highly thought of and loved. He will miss the people he worked with very much and has already made plans to meet up with a group of them when we pass through Waynesboro.We leave for GA tomorrow and then the adventure really begins! Can't wait!",,View Entry,"Mar 22, Fri",0
Happy Feet and Coffeebean,https://www.trailjournals.com//journal/entry/608702,"We both slept fairly well last night. The nerves are kicking in this morning. Mackenzie was up early and ready to go. (Hmm. Is she anxious to get us out of the house so she is now the boss??)I sent out an email to our neighbors to verify today was really the day. We stopped by to say a personal goodbye to one couple. Told them to stay healthy till we saw them in June. They were avoid hikers in their younger days so they are really excited for us. The drive to GA was about 8 hours and David insisted on driving the whole way. Mackenzie and Megan slept most of the way. Kenz offered to drive the last 15 minutes and we laughed about that.We had Mexican for dinner and, as always, I ate too many chips and felt bloated afterwards. Ugh!We are staying at a nice little local hotel called the Stratford Motor Inn in East Ellijay, GA.TOMORROW'S THE BIG DAY!",,View Entry,"Mar 23, Sat",0
Happy Feet and Coffeebean,https://www.trailjournals.com//journal/entry/608703,"Did not sleep well. Weather is supposed to be nice today but tomorrow is rain and thunderstorms. Nothing like starting things out with a bang.
Tried to eat this morning but nothing really settled. Note to self while dressing, Injinji socks have a right and left!
We are leaving in a few minutes for Amicolola Falls State Park and the adventure begins!",,View Entry,"Mar 24, Sun",0
Happy Feet and Coffeebean,https://www.trailjournals.com//journal/entry/609103,"March 24 (Day 1): Got going about 6:30am to get over to the 7:00am breakfast. I couldn't eat. I was sick to my stomach with nerves. Went to the bathroom about 3 times in an hour (probably more info than you wanted). The drive to Amicalola State Park was 19 miles.
We got there and registered and got our AT tags. I am 1395. David is 1396. Bob weighed our packs. Mine was 32 lbs and David's was 40. Splinter gave us a 15-minute talk on trail do and don't. They said the registration was slow today. They had only had about 20 hikers register so far that day.
We had our pictures taken under the arch. Some with the girls too. Then the tears began. We all cried and cried. I had made copy of a picture of all the girls. David pulled the picture out of his pack and showed it to them. They said “Great, dad. Now you're going to die!” We always joke when we see a movie and some character pulls out a family picture to show everyone. We say “Well, that guy is going to die.” And it never fails. That character always dies. Hopefully we will make it through. :)
We finally got on our way and headed up the hill. The girls called out “The sign says the Approach Trail is to the left.” Great! We start our hike by taking the wrong path! 
We came back and walked towards the falls. It's the tallest falls east of the Mississippi. 604 steps up the side of the falls! I met our first Trail Angel, Jeremy. He gave me a filter and a Tornado Tube to go on our Sawyer filtration system. Woo hoo. Thanks, Jeremy! I also saw some trail magic on the steps up. A box of Kleenex. My nose runs all the time so I was happy to see it. The box was the Wonder Woman symbol.
I won't lie, the Approach Trail was brutal. Alot of uphill climbing… and that was after the 604 stairs!
We met a bunch of hikers: Shaun, Grey Fox, Whitey (James from Ireland) to name a few. Most don't have their trail names yet, but some do. (Grey Fox named himself because he heard of one hiker getting the trail name Two Poops and he didn't want to get a name like that. Haha)
We finally got to the Southern Terminus about 5:30pm. We signed the log and headed to the Springer Mt shelter. We were told that by shelter standards it was a palace and it was. Two privy's, fresh water, and a big shelter with an upper floor.
David went to the stream to get water and I set up the stove and tent. Walking past the tent David noticed a couple small holes in the rain tarp of our tent. (We think it happened when I was waterproofing the tent on the back deck at home and the wind grabbed the tent and threw it.) Tomorrow calls for rain and thunderstorms. I searched everywhere and could not find the repair kit I brought. Luckily our neighbor, Michael, had a kit and we were able to repair a number of holes. He is just section hiking while trying out a new pack. He brought his beautiful German Shepherd, Apollo,with him.
We cooked a quick dinner of pasta with Lipton soup to flavor. I only ate a little. I just don't have an appetite right now. Hit the privy and then the sleeping bag. I'm done for the day.","Amicalola Falls Visitors Center
",Springer Mt shelter,"Mar 24, Sun",9
Happy Feet and Coffeebean,https://www.trailjournals.com//journal/entry/609104,"March 25 (Day 2): Last night was a bad night for David. He felt sick and couldn't sleep. He got up 3 times in the middle of the night. Everytime one of us would move the sleeping pad made, what seemed to me, a really loud noise. I was concerned about disturbing the neighbors, but poor David. He really had a bad night. I slept on and off.
Not sure what time we got up but if David hadn't been sick I would have strangled him. The alarm on his phone went off at 6:15am!
We tried to make breakfast and I thought I had lit the fire on the little propane can because I could hear the hissing. After about 5 minutes we realized we were just listening to the propane escaping. Crap! Ended up having poptarts for breakfast.
We left the Springer Mt shelter about 10:30am and got to the Stover Creek shelter about 12:00. That was only 2.6 miles. I'm told that's called a “nero day” which stands for “near zero” day. The rain is due about 3:00pm with thunderstorms. Since we found holes in the rain tarp, we decided to stop here for the night. That way we will stay dry tonight AND won't have to pack up a wet tent in the morning.
Lots of hikers have come and many decided to push on. But the rain started shortly after. It has not stopped and the shelter is filling up but the conversation is wonderful! Folks from NC, CT, Arkansas. Amy is a veterinarian and is here with her standard poodle, Nash. Tyler is a hoot and has really kept the conversation lively. :) We're also bunking with Emma, Emmy (Sundrop), Chatham, Compte (his real name, not a trail name), Colt, Sloth, and Diana.
The thunderstorms rolled in a few minutes ago (7pm) and then hail. The ground is sprinkled with white hailstones. In March! Wow! So glad we stayed even though we didn't make many miles.","Springer Mt shelter
",Stover Creek shelter,"Mar 25, Mon",2.60
Happy Feet and Coffeebean,https://www.trailjournals.com//journal/entry/609145,"March 26 (Day 3): We slept in the Stover Creek Shelter and there were some real snorers! David did not have a good night again. I'm really worried about him. He said his lungs hurt. We may need to leave the trail and find a doctor.
David had a couple of his butterrum Lifesavers left and set them on the shelf near where we were sleeping. I found them on the ground the next morning. Somewhere nearby is a very sugared up mouse!
The fog this morning was unbelievable! It was milky white and visibility was really low.
We didn't get up and moving until about 8. I packed up while he made breakfast. First thing he made was a cup of Folger's instant coffee. He said it was the best tasting coffee he'd had. Being a coffee snob, that was a shock to hear.  :) He also made a combination of plain oatmeal and maple sugar oatmeal. I finally had an appetite today for the first time since we left. I had oatmeal and made up a snack bag of my strawberry Instant Breakfast w/ powdered milk. That tasted awesome!! David is feeling better. Must have been the coffee.
We said our goodbyes and finally headed out about 11:45am. We are only going to the Hawk Mountain Shelter (5.3 miles) so it shouldn't take long. It is supposed to rain again so we want to make sure we get to the shelter in time to grab a spot. After today we are supposed to have nice weather with sun. Yay! Not supposed to have more rain until Sunday. That will give us time to get to the Mountain Crossing resupply store to get a repair kit for the rain tarp.
After leaving Stover Creek we had to cross over a number of cool bridges. Some were planks, but the first one out was just a really long log. It was a little slick because of the rain but fun to cross.
Farther along we came to a path with a sign to Long Creek Falls. They were beautiful! It would have been a nice place to stop for lunch but it was really wet.
On the walk we met Lexie and Fireweed. They were sitting by the creek soaking their feet. Fireweed did a thru-hike in 2012 and said that she washes her feet every day! Keeping your feet clean is very important she said. 
We got to the shelter and met a nice lady and a father/son team. The lady, Renee, retired last year after 26 years on the police force. She also served 2 tours in Iraq. When the guys heard that they said “Oh there's your trail name - Police”. She said “No, no. I want a name that's nice and cuddly so people aren't afraid of me.” So her trail name became Cuddles. She had a sweatshirt on that said ""Just another half mile or so"". Love it!
Lexie and Fireweed strolled in later. Fireweed is big on hammock camping. She has 7 tents! The one she has with her is called a Hummingbird. She gave a Hammock 101 class. She set her hammock up in 2 minutes! It was really neat. I might like to try hammocking.
Fireweed also gives talks on hiking the AT. I told her that I had read alot about getting your “hiker's legs” but I had never heard anything about hiker's lungs. I told her that it worries me how much I suck wind hiking uphill. She said week 3, about 100 miles, you will be amazed how “hiker tough” you become. Hiking uphill will become much easier. I look forward to that!
We have a full shelter tonight because of the rain. A lot of folks are still camping out. The rain just seems relentless. It's also gotten really cold. Tyler gave us a prepackaged backpacker's dinner of red beans and rice. David cooked that up for dinner. It was fabulous!! It tasted gourmet to us! We went to bed about 7:30.
About 8 pm or so a hiker we had met hiking to the Southern Terminus our first day, came into camp. His name is Phil and he is recovering from a stroke and is doing a thru-hike! What an inspiring guy. He set his tent up in the rain and slept in it.
Another hiker, Ephraim, who hails from Israel, came in later. The shelter was packy with hikers but he just threw his stuff on the floor and slept there.
Before falling asleep we could hear helicopters overhead and, at one point, machine gun fire. The Army Rangers were training nearby. They are supposed to stay off the trail and away from the shelter. One of the hikers said that they were told that if they ran into a Ranger they were to ignore them and not ask questions or start a conversation. Like I'm going to force a conversation on a person holding a machine gun!","Stover Creek shelter
",Hawk Mountain shelter,"Mar 26, Tue",5.30
Happy Feet and Coffeebean,https://www.trailjournals.com//journal/entry/609235,"March 27 (Day 4): Today was cold, cold, cold and the wind just cut right through you. Someone said the temp was in the low 30s. The rain finally stopped during the night. The sunrise was beautiful.
David made breakfast while I packed us up. I had hot tea to warm me up. We improved our time and got on the trail by 9:50.
There was alot of elevation change today. Some of it pretty brutal, but we know that NC/Tennessee hike is going to be really tough. So far we have have only hiked as high as 3782’ (Springer Mt). The NC/Tennessee hike will go up in the high 6000’s. As Scarlett O'Hara would say ”I'll worry about that tomorrow.”
The weather turned out beautiful. Sunshine! I was able to shed my fleece jacket and puffy jacket.
We came down the side of Cooper Gap and saw several hikers in the gravel parking lot. Cuddles had slipped on her way down the mountain and fell back and tried to catch herself on her right hand and when she took her pack off at the bottom she was in terrible pain. Thank God that Amy was nearby. She stabilized Cuddles right arm. She said it looked like a rotator cuff injury because Cuddles couldn't lift her arm. Cuddles had some phone numbers of friends so she called them and they were on their way. We got her situated on a seat cushion with food and water. Another hiker, Paul, said he was going stay with her and ride into town because he needed to go into town anyways. Poor Cuddles broke down and cried for a bit. She had been training for this hike since November and was so upset that she had gotten hurt 3 days in. We told her that it could just be a strain and a few days off trail to rest could be all she needed. We said we would see her on Katahdin! I also gave her our phone number and told her to call us when she got to Waynesboro and we would come get her. We would lhave a soft bed, shower, and washing machine waiting for her. She thanked us and told us to get back on the trail.
We took off and continued on. I said a prayer for Cuddles.
We stopped for a quick lunch of crackers, peant butter, and a Snickers bar about 12:30.
We came to a fairly wide stream and decided to follow Fireweed's advice and soaked and washed our feet. That ice water felt so good!!
We finally got to Gooch shelter about 5pm. It's always great to walk into a campsite or shelter. Everyone says hello and congratulates you for making it. We set up camp and then went up to the shelter to cook dinner and chat with everyone. The conversations are always fun and entertaining.
Well it's 8pm. Way past “hiker midnight” time. Time to get some sleep. Tomorrow is an 8.3 mile day. Then Friday is Blood Mountain.","Hawk mountain
",Gooch Mountain,"Mar 27, Wed",7.60
Happy Feet and Coffeebean,https://www.trailjournals.com//journal/entry/609236,"March 28 (Day 5): We were able to camp in our tent last night and that was nice. We shared a tent site with Moe, who is also a thru-hiker. I slept fairly well, but sometimes David and Moe would start snoring in stero.
I've noticed that we definitely have the hiker funk now. Good thing I like myself or I wouldn't be able to stand the smell! :)
Each day we are getting better with our time. We got up at 7:30 and were hiking out by 9:13. The hike today was fairly level a good chunk of the time. Hiking up to Preacher's Rock was tough but the view was incredible. You could see mountain ridges for miles.
We experienced more Trail Magic today. Came down into a parking area of the Chestatee Wildlife area and a couple was there with bottled water and Twinkies and Hostess cupcakes. A steak dinner couldn't have tasted better! We wolfed it down like we were starving. There was also a privy (no TP unfortunately) and trash cans! It was great to finally be able to throw away all the trash we have been packing.
We leap frogged with Amy, Nash and Lexie all day. We all ended up at Lance Creek campsite. There aren't many sites here and alot of hikers ended up setting up their tent on the trail. We were lucky enough to find a flat spot in the campsite. There is no privy so we had to dig our first cathole. We also had to hang all food and anything with a scent up on the bear wires. No bear boxes here.
After setting up our tent, we went down to the stream and soaked our feet. I also “iced down” my knees. Boy, that felt good.
Since this is a dry campsite we had a dry dinner - tuna fish in flour tortillas and water to drink. We took our dinner up to the upper campsite, where Lexie and Amy are staying and sat and ate. More and more hikers joined us and we had a great time.
The campsite is not dry. There is a great stream, but back at the parking lot a Ridge Runner said to pass the word that the water at Lance Creek was questionable because several people had gotten sick after drinking it. We made sure to water up before getting here.
Once the sun goes down it gets really cool but tonight is only supposed to go down into the 40s. Yay.
Got a text from from Cuddles and she had a rotator tear. She got 2 cortisone shots and was told to take 2 days rest and then she could slack pack (where you carry only what you would need for a day trip.)
Time to hit the sack. Tomorrow is the climb over Blood Mountain and it's mostly a straight up climb but down the other side is Neels Gap and resupply. Amy asked if we wanted to share a cabin with her, Lexie, and Katie (who is from Luxombourg). We had been talking about asking them the same thing so we jumped at it. Can't wait! A bed, a shower, and washing machine. I also hope to get cell service so I can upload my journals.","Lance Creek campsite
",Lance Creek campsite,"Mar 28, Thu",7
