Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Honeymoon Hikers,https://www.trailjournals.com//journal/entry/604969,"Just finished an amazing 4 months off of work, travelling, hiking and seeing the country. We started july 4th and travelled thru 32 states, visited a dozen or more national parks and reached 11 more state high points. We climbed the 3rd highest mountain in the USA at 1441ft in Colorado. We went on a 8 day cruise to Alaska and spent a month in Spain hiking the Camino trail. We hiked 528 miles in 27 days. Tomorrow we move back to North Carolina to start working to get our money together for our 2019 yoyo of the AT. GOD BLESS.","
",View Entry,"Oct 31, Wed",0
Honeymoon Hikers,https://www.trailjournals.com//journal/entry/605005,Made it back to North Carolina and cant believe its only 4 months until we get to hike the AT again. GOD BLESS,"
",Home,"Nov 01, Thu",0
Honeymoon Hikers,https://www.trailjournals.com//journal/entry/605019,Just adding a 3rd entry so posts will start being posted. We haved moved back to North Carolina and have finished unpacking. We are now counting down the days until we start our yoyo. GOD BLESS.,"
",Home,"Nov 02, Fri",0
Honeymoon Hikers,https://www.trailjournals.com//journal/entry/606170,We want to wish everyone a Happy New Year. Hard to believe the new hiking year is here. Good luck to those who left Springer this morning to start their thru hike. We have 75 days until we start our Thru hike. God Bless and pray everyone has a great and safe new year.,"
",Home,"Jan 01, Tue",0
Honeymoon Hikers,https://www.trailjournals.com//journal/entry/606614,"We have 7 weeks before we start our AT thru hike. This will be numbers 4 and 5 for us thru hiking the AT as a couple. We start March 22nd and our friend Spirit who has been on the AT about every year since 2004 hiking sections, along with one thru hike in 2012 when we met her. She is going to meet us at road crossing until we reach Dicks Creek so she can spend some time with us as we start this yoyo journey. We are getting excited about this trip, just to get back on the AT after 4yrs is great. Cant wait to meet up with all the 2019 fellow thru hikers, be safe and enjoy your hike. GOD BLESS.","
",View Entry,"Jan 26, Sat",0
Honeymoon Hikers,https://www.trailjournals.com//journal/entry/606698,"Instead of starting at Springer and hiking to Maine, then turn around and hike back to Springer, we have come up with a new way for our yoyo. We will start in Damascus and hike to Katahdin, then hike back to Damascus in 160 days averaging 21.5 per day. Then get off trail for ten days to go on a cruise with friends, then return to Damascus and hike to Springer before turning around and finishing at Damascus. This will save us from renting a car to go on a cruise bc our family only lives and hr away and it also will allow us to celebrate with family in Damascus when we finish the trail. So, i guess it is logistics and getting to finish near family. We have NOBO twiced finishing at Katahdin and SOBO once finishing at Springer so this will also be a new finishing place. The adventure begins March 21. GOD BLESS.","
",View Entry,"Jan 29, Tue",0
Honeymoon Hikers,https://www.trailjournals.com//journal/entry/607085,"One month until we start our yoyo of the AT. We have checked all of our gear and we only have to order a few small items, then we are ready to hit the trail. We cant wait to get on the AT again, its been 4yrs since our SOBO thru hike in 2015. We cant wait to reconnect with trail friends along the AT that we have met on our 3 thru hikes. GOD BLESS and hope to see everyone out there on the AT.","
",View Entry,"Feb 16, Sat",0
Honeymoon Hikers,https://www.trailjournals.com//journal/entry/608158,"We start in 5 days, again if you are following us we are doing an unconventional yoyo. We start in Damasacus to Katahdin then back to Springer then back to Damascus. We are doing this because our family is 1hr away from damascus. We want to be close to family when we finish because it will be our 5th thru hike of the AT as a couple and for the people that know us we dont hike the AT for any records, we have been told 5 thrus for a couple and a female might be the most for a couple or female. Like i said we dont care about that we just love the AT because it has been such a big part of our lives since we first set foot on the AT march 27 of 2010. We had never hiked in our lives and since then we have thru hiked the AT 3 times, been married at Springer and hiked the AT for our honeymoon summitting Katahdin on our 1 yr anniversary to doing trail magic every year around the smoky mtns. So we hope to meet and make many more new friends along the way. GOD BLESS, and thank you for following our journey. Also we are going to strava the whole hike, so if u stava find us on stava under marcia or winston terry to follow us there as well.","
",View Entry,"Mar 15, Fri",0
Honeymoon Hikers,https://www.trailjournals.com//journal/entry/608264,Tomorrow we leave for Virginia to visit family before starting our thru hike. We have to put our home in storage until November. We are looking forward to living on the trail again and meeting old and making new friends. GOD BLESS.,"
",View Entry,"Mar 17, Sun",0
Honeymoon Hikers,https://www.trailjournals.com//journal/entry/608398,We start our yoyo tomorrow with Ratmans dad and sisters hauling us to Damascus. We have a friend joining us at Dasacus to hike the first 2wks with us. We met her on Springer in 2015 when we finished our 3rd thru hike. Thankfully the weather looks great for the next week so we are so looking forward to getting back on the AT. GOD BLESS.,"
",View Entry,"Mar 19, Tue",0
