Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Hyper99,https://www.trailjournals.com//journal/entry/608831,"My 20 year redo of the AT! I remember how my parents came down and started me off from here 20 years ago. How things change. Both of them are dead now, my father just last year in December. They loved shadowing me until their camper caught on fire outside of Franklin at the top of the pass by the AT and made the local paper's front page news.... ahhh so long ago. I too have changed. I was such a beast then. Now I feel far more fragile. One knee replaced, the other one also already qualifying for a replacement. Last time I too was challenged by the AT approach trail, but this time, while I was comfortably exhausted, my knees were on fire, screaming at every step at the end.  I gave myself permission to back out if I wanted to but just day one is not enough of a test. I made it a day hike and once we hit the Springer Mt parking lot I was happy for a ride to the bottom where I could sleep in a real bed and try to work out the aches and pains. Tomorrow? A two night stint to Woody gap and another ride to a clean dry bed. Yay, the privilege of old(der) age. Take it slow. Give myself more creature comforts and make a summer of it. Maybe I'll make it, maybe I won't. But at least today I made it to the top of Springer.


Hyper99",,Springer Mountain,"Mar 22, Fri",8.50
Hyper99,https://www.trailjournals.com//journal/entry/608827,"My 20 year redo of the AT! This is to log that first mile of the AT from the top of Springer to the Springer parking lot as part of my AT hike  though of course the Approach Trail was the biggest part of today's journey. My companion for much of this hike will be my 2.5 year old Great Dane. She's very small for her age and still has big paws so most guess she's still a puppy. Definitely has puppy brain. Learning how to hike with a dog, (and she learning how to hike all day) has been a bit of a challenge. I'd say shes a good 10-20% handycap. She's constantly pulling on her leash either forward or back, or circling me causing me to do 360s to keep her leash in front of me. I've let her off the leash on occasion but there are alot of people hiking the approach trail so not the best plan. Besides she needs to get used to it for Shenandoah. I felt I was being passed by pretty much everyone today and I passed no one. All good. I promised myself to be good to myself and take all the time I need. Sleeping in a real bed tonight!!! Yes!


Hyper99","Springer Mountain
",Springer Mountain parking lot,"Mar 23, Sat",1
Hyper99,https://www.trailjournals.com//journal/entry/608830,"Another gorgeous day. A good nights rest a little leg massage and two Aleve seemed to make a big difference. Took two more this morning just to have them on board if I was going to re-experience the knee pains I had from yesterday.  My two day goal is Woody Gap where I can get another trail rescue to a clean bed so two tens would be a good goal, but its supposed to rain much of tomorrow so a few extra miles today would be a bonus. I think the terrain was a bit easier today and another thing I remembered was to bring my hiking poles. They helped me significantly soften the impact of each step going either up or down steeper inclines. I'd like to say that was the difference. My goal had been Justice Creek at 14.4 but had a feeling that was too far. Remembering back to 20 years ago I realized I made it all the way to Gooch Gap Shelter at mile 15.7 but this time I was happy to dry camp at the top of Cooper Mountain (AT mile 11.6). The Hawk shelter was beyond packed with over 30 hikers and 4 dogs by 3PM. I didn't think I could make it the next 6 miles to Justice (the next water supply) so I had my ""dinner"" early and packed enough water to dry camp along the way. This was also a test of the dog. Leila had never camped and been outdoors overnight so other then learning how to hike, this overnighter would be quite an experience for her.


Hyper99","Springer Mountain parking lot
",Cooper Mountain,"Mar 24, Sun",10.60
Hyper99,https://www.trailjournals.com//journal/entry/608843,"I'm happy that the promised rain didn't start as early in the morning as had been predicted. Cooper Mountain was a great though dry camp site. It was at the top of the mountain and I was worried about pre storm wind, but I picked a fairly sheltered spot and the wind was not bad so a great stop all in all. Better than having stayed at Hawk Mt Shelter (mile 8.1) with its large crowds. As I met a few hikers from there though out the day I learned there was quite a bit of drama for much of the night. People on cell phones much of the night. People getting into arguments and storming off. Glad I missed the fun. I had my own drama.  Leila had never gone camping before so I wondered how this tenting thing would go. It went about as I expected, badly. She was a bit freaked and uncomfortable. Good thing I left my tent screen unzipped as she bolted up and barreled through it when she heard something. More than a couple of times in the night she headed out to bark at some imagined threat. I'm wondering what she would do if she encountered a bear. I'm not sure what I should do. She's so big I can't really control her if she's on that kind of mission. Neither of us got a good night sleep. I was encouraged however to see the moon through much of the night thinking we'd have a weather reprieve. We did. Happy to make it to Gooch Shelter without rain. Fun to meet some of the hikers there. Named Green Slouch and maybe Tater. Met Chopstix (2016) and Q-Tip. Did some Geocaching along the way! Shhh! And then the rains began. It was about 2 miles to Woody Gap. I remembered how much my Leila girl hates rain and realized I had no rain cover for her pack. Things to take care of for next time. That last stretch was also another small test for us as a hiking pair. The best news of all was that my knees have been only whispering their pain, not at all like day one. This I can live with. I'm sore and tired but not in too much pain. As the rain came pouring down we made it to the warm dry car. Ahhh for the want of a nice warm shower and a hot meal. Happy happy.


Hyper99","Cooper Mountain
",Woody Gap,"Mar 25, Mon",8.90
Hyper99,https://www.trailjournals.com//journal/entry/608929,"Oh yes, I am so spoiled!  My partner has an RV and is shadowing me especially closely these early miles. I got to sleep in a real bed without rain. This also involved a real cooked meal a shower and heat! Today will be another slack packing day where I will be back at the RV for dinner. So sweet! I feel sorry for the poor saps stuck out there in the storm last night. It was pretty rough. The morning was partly sunny in the valleys but the clouds were stubbornly hanging on to the ridge line. Rain was forecasted for the evening again though. 
Blood Mountain was on the menu today and it was my boggy man experience from the first time. I now remember that 20 yrs ago I had done 16 miles on my second day and wanted to reach Neels Gap by the end of day three. This time I would be reaching it at the end of day four. But that last time exhausted me and also taught me my most memorable hiking lesson. 20 years ago hydration systems as well as ultralite packs and equipment were barely on the scene. If I wanted to get a drink of water or food I would have to take my pack off and it was pretty heavy so not something I did much. Further I had an old hiking practice where I would reward myself with a snack or meal once I reached some goal, say the top of a mountain or so. But I would always miscalculate and where I thought I would reach that mountain top by noon, I might only reach it by 3. Thus I would go too long without eating or drinking. This problem was finally compounded by my lack of digestive feedback. Normally, when I'm hungry my stomach would let me know. I have an internal dinner bell that gets quite demanding. It had just stopped. So I didn't know I was hungry. Some speedy hiker passed me and said,""Warm bed, hot shower 3 miles ahead, warm bed hot shower 3 miles ahead"" but I was acting like I was drunk, stumbling and weaving as I walked. Something was wrong. I knew 3 miles was far more than I could manage. There was a shelter nearby and I pulled in. It was only 3PM. Slowly I made myself a big meal. Then I laid out my sleeping bag and crawled in. 45 min later I woke up feeling like I had slept all night! Top on the list of changes was a hydration system. Next was changing my eating strategy. When hiking I now eat by the clock, Snack at 10, lunch at 12, snack at 2, drink, drink, drink. Blood Mountain was a cake walk today. Shorter hiking distances and properly fed and watered made all the difference. It was also sunny and beautiful with great views when I was there. There were perhaps 8-10 other thru hikers at the peak shelter so we shareds some fun banter. Trail names I heard were Polar bear, Almost There, River... (forgot) but the best was the story behind the newly minted trail name Thunder Buddy. He had been hiking yesterday and suddenly the skies let loose with some fierce rain and thunder. He ran over to the nearest standing tent and asked the occupant if he could duck in. I guess it was a very small tent and both men were of pretty good size, thus the name Thunder Buddy was born. Perfect, Just where a hiking trail name should come from. 
Made it in great time to Neels Gap where there is an old CCC building turned hiker hostel, outfitter and postal service. For most hikers this is the first time they get contact with the real world again and you could see they were happy. My partner brought up a little Trail Magic and we all had fun eating pie. While the views at the top of Blood Mountain were beautiful, in less than half an hour of our arrival it started raining again. So happy to be off the mountain as the descent had alot of ledges which would be treacherous in the rain. The rain became quite intense for a couple of hours. More hikers arrived but the hostel was full and the next campsite was another 1.6 miles away. They looked quite forlorn in the building's breezeway hoping for a break in the weather which did not come. Another day on the trail.


Hyper99","Woody Gap
",Neels Gap,"Mar 26, Tue",10.80
Hyper99,https://www.trailjournals.com//journal/entry/609150,"Full pack today as the distance to the next road crossing is more than I can hike in a day. Whoo! That extra 20 lbs above my day pack weight was noticeable. I'm slower. Leila carried her pack as well as we have our second overnight tenting experience. My plan was to get to Unicoi Gap at mile marker 52.5 in two hiking days where we'd meet Stan again, keeping with my 10 miles per day goal. I've been feeling stronger everyday and though I had targeted Low Gap shelter at mile marker 42.8, I was hoping to make it a bit further. The hiking weather was again fantastic and terrain tolerable and I have been slowly getting my hiking stride back so I was pleased with my progress. Leila is also becoming a better hiking partner though tended to follow so close behind me she often stepped on the back of my shoes or, especially when going downhill, butted the back of my pack in such a way that it launched me forward a bit. Good thing I have hiking poles (sticks) so I didn't find myself face first down the hill! I readjusted my goal to the Poplar Stamp Gap at mile marker 44.3 and as it looked like another dry tent site so I needed a water plan. As before I figured I'd stop to eat dinner at the Low Gap shelter then hike the last mile or so to set up camp. There was quite a crowd at the shelter as well as a number of tenters nearby. It was hard to leave and getting later but I wanted to get in earlier to Unicoi so wanted to move on. I was in for a happy surprise. The trail out of Low Gap was an old graded mountain road. That was VERY easy walking! I flew up the hill at much better than normal hiking speed. Since this site was on the map I assumed I would find other campers there. In total there were 6 of us. A father and son (forgot their names), A german hiker Alex, Ethan, Eliza and myself. While I rarely make campfires, the group was up for it and we had a great time chit-chatting around the fire. Leila still needed to play guard dog however and stood guard for a few more hours before I could coax her in to sleep.


Hyper99","Neels Gap
",Poplar Stamp Gap,"Mar 27, Wed",12.80
Hyper99,https://www.trailjournals.com//journal/entry/609151,"That beautiful graded old roadbed continued out of Poplar Gap for another few miles and the hiking was fast and easy. Wow. If the whole hike could be this smooth, but eventually we were back to a more traditional hiking trail. I was far ahead of schedule so started looking at the next section, Unicoi to Dick's Gap. It still seemed more than I could do in a day (mile 52 to 69) but since I was so early perhaps I would just move on. I met Stan at Unicoi Gap at 1PM, plenty of time to hike a few more miles making Dicks Gap and mile 69 reachable in one more day. Unicoi also had another surprise, a ""hiker feed"" was taking place. I had never heard the term before but I guess its now more common. Some group sets up food for hikers. In this case it was a local baptist church offering burgers, chips, fruit, cookies, bibles, advice and more. I partook of the food and enjoyed the camaraderie of some of the other hikers that had stopped. It was good to sit for a bit before moving on especially looking at the hill we had to climb right out of the gap. Woof! To increase my speed for the next section I asked Stan to take pup. The short goal was Indian Grave Gap, up and down 1000 ft in three miles, the longer goal was Tray Mt shelter adding another 1000 ft elevation in another 3 miles. Did it!. Great spot, great views, lots of hikers again but I managed to snag a spot in the shelter for a quicker morning getaway.


Hyper99","Poplar Stamp Gap
",Mt Tray Shelter,"Mar 28, Thu",14
Hyper99,https://www.trailjournals.com//journal/entry/609159,"A special treat waiting for me at the end of the day. Stan had found a nearby winery offering a tapas and live music event for the evening. If I could make it down by three we could make it. There's some motivation. I also promised myself a zero day tomorrow (no mileage). I don't want to stop as the weather is projected to be beautiful and I hate to waste a sunny day to sit around, but it's been 7 days of hiking and I can feel my body getting worn down. Everything is sore. I need to recover a bit. On the knee front, the new knee has been getting stronger, but the old knee is starting to tweek with more pain, especially on the downhills. In the beginning my old knee was doing extra duty to make up for the weaknesses of the new one. Now the reverse is starting to happen. I know I need to take the break. Since Tray Mt is the second highest peak in Georgia the net elevation change was all downhill. One 1000 foot climb up Kelly's Knob and we were into the Gap. I was also able to slide out of the shelter by 7:15 and was the first one on the trail this morning. Combining an early start with my improved strength I was happy to see the end of my hiking day at 1PM. As to the tapas, it was great but I was so tired I didn't even want to go. Just let me get clean, slide me into bed, get my feet up and sleep! We'll sort it all out tomorrow!


Hyper99","Mt Tray Shelter
",Dick's Creek Gap,"Mar 29, Fri",11.10
Hyper99,https://www.trailjournals.com//journal/entry/609161,"Whew! Tired! Ah, to lay down and get my feet up above my heart.  On the trail I put my backpack under my legs to elevate my feet at night and bring down the throbbing and any swelling in both feet or knees. Here I enjoyed a pillow. No blisters yet and I hope that stays that way. I was happy to get cleaned up, rest my body and eat real food. I have been eating well on the trail so far keeping up with my Nutritarian diet goals.  Most of that has been possible because of the amount of food I prepped before starting the trail. Alot of my food doesn't look that appetizing because it doesn't have the commercial color dyes but tastes just fine. This stop has also exposed how my diet change has improved my choices. 20 years ago my routine was a quart of OJ, a quart of milk and the greasiest burger I could find, this time we headed for the grocery store that had a beautiful salad bar and I piled it high. It was just as satisfying. I hear it on the trail and have heard it much of my athletic life: eat more protein, you need it to compete. Now I believe: eat more nutrients - greens, nuts, seeds, legumes. I feel so much better.","Dick's Gap
",Hiawassee,"Mar 30, Sat",0
Hyper99,https://www.trailjournals.com//journal/entry/609396,"Rained hard last night. I mean RAINED HARD!!! Thunder, lighting rocked the RV. I was so happy to be under cover. Avoiding this storm hadn't been my intention but it was sure good timing. Headed out before 8 to a damp cool morning. My last 7 miles in GA. Good bye pecan pie and sweet tea (neither of which I had had anyway, Georgia just reminds me of those things). Somehow its a milestone to say good bye to the first state of the trail. The trail maintainers along this section were outstanding. I met 4 of them and their care and attention to both the trail and structures as well as the passing hikers, was phenomenal. Kudos!!! Met and loosely hiked with two father/son pairs and we all crossed into NC together and took plenty of pictures of each other. My plan was a 3 day 41 mile stretch to Franklin NC Rt 64 so I needed to do close to 13-14 per day, however about mid day things really started changing. A cold front was moving in after that rain and it was starting to bite. Everyone else was pulling into Muskrat Creek Shelter and I wanted to share the company. I'd try to fit the extra miles into another day. Brrr it got cold. I'm told that at a lower elevation than us (4567 ft) it was only 15 degrees! We made a fire but even that was not enough and died down quickly. Turns out that in total we had five father/son pairs at this location. NC feels different. The shelters are different, or perhaps its just the cold introduction.


Hyper99","Dick's Creek Gap
",Muskrat Creek Shelter,"Mar 31, Sun",11.80
