Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Lightfoot,https://www.trailjournals.com//journal/entry/608784,"Still training with the pack on. Went to Warren Dunes again lots of ups and downs. My trail hiking friend (Flash) and one of his dogs, Izzy hiked a 5 mile loop. Now that all the snow and ice are gone hiking through the sand really ups the effort. Hopefully it will pay off.","
",View Entry,"Mar 25, Mon",0
Lightfoot,https://www.trailjournals.com//journal/entry/608906,"Hiked again today,did 7 miles. Will be doing a flip flop starting in Harpers Ferry and head to Katahdin then make my way back to Harpers Ferry and hike south to Springer Mountain. My daughter will hike the first week with me. My son will join somewhere on the trail,a few friends and maybe some nephews might also join me.","
",View Entry,"Mar 26, Tue",0
Lightfoot,https://www.trailjournals.com//journal/entry/609039,"Hiked 5 miles yesterday and 8 miles today. Still unapacking and repacking my backpack almost everyday,filtering through gear and clothing trying to get the weight down. We'll see what the final weight will be in a couple weeks.","
",View Entry,"Mar 28, Thu",0
Lightfoot,https://www.trailjournals.com//journal/entry/610363,"Well I’m back from our trip to Scotland and Ireland. Had a great time with my wife and younger brother and his wife. We picked up our daughter, Amanda from O’Hare on Friday. Repacked our backpacks and did a quick 4 mile hike. Jumped in the car and headed for Harpers Ferry this morning. Going to check in AT headquarters in the morning and hit the trail.","
",Harpers Ferry ,"Apr 13, Sat",0
Lightfoot,https://www.trailjournals.com//journal/entry/610461,"Left Harpers Ferry at 10:00 this morning. Hiked in the rain off and on took a break at Ed Garvey shelter and replenished our water. Hiked on to Crampton Gap, Trail was an obstacle course of mud and rocks and uphill. Decided to put up tents in the rain and then hustled to the shelter to make supper (add boiling water to a dehydrated meal in a pouch). Met with some fellow flip flippers . The Old Ranger, Mojo and a young guy without a trail name yet.Amanda is doing great but was the muddiest of all of us.","Harpers Ferry 
",Crampton gap,"Apr 14, Sun",12.40
Lightfoot,https://www.trailjournals.com//journal/entry/610548,"Sad day today Amanda (NOLA trail name) had to leave trail today woke with sore throat and head cold. We hiked to Dalgren campground and called for a shuttle ride to Harpers Ferry. After she got picked up I continued hiking to Annapolis Rocks campground, looks like I’m the only one here. So far all camps have had bear poles to hang food. See you tomorrow.","Crampton Gap
",Annapolis Gap,"Apr 15, Mon",12.50
Lightfoot,https://www.trailjournals.com//journal/entry/610663,Missed my hiking partner today. Hope your feeling better. Started off in the 30’s this morning and ended up in the 60’s . Nice that the wind stopped.talk later.,"Annapolis Rock
",Falls Creek Footbridge ,"Apr 16, Tue",16.60
Lightfoot,https://www.trailjournals.com//journal/entry/610705,Great day for a hike weather was perfect. Nothing to exciting. A few boulder scrambles and some long ups and downs. Stopped at Trail of Hope Hostel tonight. Had burger and fries that hit the spot. Washed clothes and took a shower ( not that I needed one). Bought a few food supplies and charging phone and battery bank. Talk again tomorrow.,"Falls Creek Footbridge 
",Trail of Hope Hostel ,"Apr 17, Wed",17.20
Lightfoot,https://www.trailjournals.com//journal/entry/610781,Another nice day for hiking in the low 70s. Started off with another bike ride to Rutgers gas station and had breakfast and a large coffee. Then they gave me a ride to the trail. Pretty easy hiking today compared to previous days. No boulders in the way and not as long climbs. Stopped at a hostel again tonight. Trying to hike in the light as long as I can but was getting late and still had 3 miles to go. It’s nice to have options. Will talk tomorrow.,"Trail of Hope Hostel 
",Iron Masters Mansion Hostel,"Apr 18, Thu",19.80
Lightfoot,https://www.trailjournals.com//journal/entry/610873,"Started today with breakfast at the hostel. Eggs 2 waffles a bagel orange juice and coffee. Started hiking and about a mile later came across my first trail magic,a cooler full of bottled drinks I grabbed a Gatorade. It’s awesome that people do that. Decided to name my pack , since it’s a team effort. I call him Thunderbolt. Only saw a few hikers today all section hiking. Talk tomorrow","Iron Masters Mansion Hostel
",Tent sight ,"Apr 19, Fri",14.20
Lightfoot,https://www.trailjournals.com//journal/entry/611020,"Forgot to mention had to stop and set up tent at 3:00 yesterday in the rain, it rained through the night. Got up at 6:00am packed up, everything wet and hiked into Boiling Springs and had a big breakfast, much needed. Hiked to next shelter,14 miles, with no camping in between. Trail runs along farm land. Finally camping with some people. The last mile and a half to camp was steep. Talk tomorrow","Tent sight 
",Darlington Shelter,"Apr 20, Sat",19.50
Lightfoot,https://www.trailjournals.com//journal/entry/611081,Hiked into Duncannon today got there at noon. Only place to eat was a Sunoco gas station . Not much to see in Duncannon took forever to hike out of town. Then once you reach the trail it was a steep climb and more boulder scrambling on the ridge line. Was wore out by the time I made to shelter. Just myself and The Lobster Man ( from Maine) talk tomorrow,"Darlington Shelter
",Clark’s Ferry Shelter,"Apr 21, Sun",15.60
Lightfoot,https://www.trailjournals.com//journal/entry/611252,Hiked the ridge line most of the day. Trail switched from one side of the crest to the other. Made good time no bouldering. Real time consuming. Talk tomorrow,"Clark’s Ferry Shelter
",Yellow Springs camp,"Apr 22, Mon",20.10
Lightfoot,https://www.trailjournals.com//journal/entry/611253,Another nice day to hike in the 70’s. It does get a little warm when climbing. Did some more bouldering this afternoon. Good work out! Made it to shelter (they are quite a ways apart sometimes) at 4:00. Time to eat. Talk tomorrow,"Yellow Springs camp
",William Penn Shelter ,"Apr 23, Tue",18
Lightfoot,https://www.trailjournals.com//journal/entry/611344,"Hiked another day through rocky trail, did some more bouldering along the way. Made it to The Eagle Nest shelter camping with Red Beard and Kierkegaard (the philosopher). Heading for Port Clinton tomorrow, about 9 miles away. There’s a Cabelas there for resupply,and a motel, can’t wait. Talk tomorrow","William Penn Shelter 
",Eagle Nest Shelter ,"Apr 24, Wed",19.20
Lightfoot,https://www.trailjournals.com//journal/entry/611473,"Short day today hiked into Port Clinton for resupply, do laundry, eat some real food and relax a little. Supposed to rain tomorrow but will try to get some miles in anyway. Was able to get everything at Walmart, nice that they carry dehydrated food . Talk tomorrow","Eagle Nest Shelter 
",Port Clinton ,"Apr 25, Thu",9.30
Lightfoot,https://www.trailjournals.com//journal/entry/611581,"Red Beard and I took an Uber back to trail, didn’t want to walk in the rain. We saved that for the trail. It rained on and off lightly in the morning. Got caught in the rain at 3:30 and didn’t get to shelter till 5:30 had beef stew and got settled in. 2 guys from Connecticut are at camp and another guy in a hammock I haven’t met yet. Did find out what’s worse than millions of rocks and boulders in the trail , wet rocks and boulders in the trail. Can’t wait to get out of Pennsylvania only 50 some miles to go! Talk tomorrow","Port Clinton 
",Allentown Shelter ,"Apr 26, Fri",21.90
Lightfoot,https://www.trailjournals.com//journal/entry/611674,"What a day made it through 5 or 6 boulder fields a couple went over top of the ridge line, with the blowing 25-30 mph. Made it to next shelter and decided to take on Lehigh gap. This has been the granddaddy of all so far. Straight up with hand over hand pulling yourself up to next boulder. Glad that’s done! Supposed to rain tomorrow not sure what the plan is yet. Talk tomorrow","Allentown Shelter 
",Mile 1263.9 stealth camp,"Apr 27, Sat",22.10
