Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Moose Snoot,https://www.trailjournals.com//journal/entry/614411,"Tomorrow, I head back into the woods for the first time this season. It's funny how no matter how many times I do this, I get nervous.
This one is the start of something much bigger. An almost unfathomable goal that I'll reach in 5 years? Maybe 10?
I'm going to hike the entire Appalachian trail. All 2100 miles of it. In a way, I've already started. In 2017, I hiked the Long Trail in Vermont which shares its first 100 miles with the AT. But this summer, tomorrow, I officially start my section hike. Tomorrow, it goes from something I want to do to something I AM doing. It's a new goal. A new challenge. A new motivation. 
There's this apprehension that comes with starting a long journey or working toward a big goal. In those first steps, I have to commit to myself and trust myself. But I also have to forgive myself. Forgive myself for my future mistakes. Forgive myself for my failures. I have to give myself the space to take on something without knowing that I'll be successful. For me, that is the scary part. I'm vulnerable. But it's worth it. It's worth it when I stand at the summit, drenched in sweat, miles and mountains behind me, and more ahead. It's worth it when I wake up in the morning, every muscle sore and walk in time with the birdsong. It's worth it at lunch as I sit next to a stream, everything finally quiet, including myself. 
Right now, I'm nervous. I'm worried that I'll miss my train or I'll have forgotten some key piece of gear. I'm worried that I'll get to the first campsite to find no available space, meaning I'll have to walk another three miles. I'm worried that I've over-estimated how many miles I can do or how many pounds I can carry. Or maybe I've under-estimated how many hours it will take or how many calories or how much fuel I need. Im worried that I might fail. But, in the end, I know without a shadow of a doubt that it will all be worth it. 
I'm packed. I'm planned. I'm ready.",,View Entry,"May 24, Fri",0
Moose Snoot,https://www.trailjournals.com//journal/entry/615014,"Queens to campsite at mile 1303.9Total miles: 6.8Total trains: 4Total smelly cars with old(ish) oversharing men: one. But for AN ENTIRE HOUR
Today, I woke up in the middle of one of the most populated cities in the world. Then, four trains and an hour long cab ride later, I stepped onto a very crowded trail. And now, I'm laying in a tent, on a ridgeline, completely alone.
Oh boy did I make some great time today! Which is great because after passing what had to be the fourth boy scout troupe headed for the same campsite as me, I made other plans. The other plans involved 3.7 additional miles, but I was still riding the adrenaline high of being back out here that I barely noticed them pass. I'm sure my body will remind me about them tomorrow...
It was a great day to be back at it. The weather was warm, but not too warm, the sky was clear enough to get some beautiful views, and the trail itself was very kind. And for once, my brain was pleasantly quiet. I was able to keep a great pace the entire day without too much trouble... Then again, maybe it helps that my best comparison, trail-wise is the Long Trail in VT.  I still have nightmares about some of those climbs. ""This can't be the trail. That's literally a rock face... Ah, with a rope attached to it. Darn you Vermont!!! *shakes fist angrily toward the sky*"" 
It's occurring to me that there's no chance that I'm going to be happy about going back to civilization on Wednesday. Probably, someone will have to drag me kicking and screaming all the way back to Queens.","Queens
",Campsite Mile 1303.9,"May 25, Sat",6.80
Moose Snoot,https://www.trailjournals.com//journal/entry/615079,"The wind last night was intense! (Or should I say inTENTs?! Ahahah get it??) I was woken at one point by what I thought was just my water bottle falling over. When I rolled over, though, I realized that the wind had ripped the vestibule stake out of the ground and slammed the door against the side of my tent. I got out of the tent to assess and restake the door, but quickly realized that no amount of staking down would work. Luckily, there were a ton of heavier ricks around, so I grabbed my paracord and rigged to a nice sized rock. Thanks to years of stagehanding, I know how to tie a bowline! The wind, rain, and lack of light, however, were an added challenge. After a few tries, I got it and scurried back into my sleeping bag. I slept like a baby for the rest of the night!

Today's hike was nearly perfect. The miles flew by with plenty of rewarding views, fields of blooming wildflowers, and plenty of wildlife. Now I'm back in camp, ready for dinner. Just need to hike down to the water first...","Campsite Mile 1303.9
",Buttermilk Falls tentsite mile 1316.1,"May 26, Sun",12.20
Moose Snoot,https://www.trailjournals.com//journal/entry/615080,"I've learned something just now. Never EVER leave your tent uncovered and leave camp. Because even if the skies are blue and clear and the forecast shows no rain, you'll be three-quarters of the way to the water source (which is nearly a mile straight downhill) when you start feeling sprinkles. In that moment, you'll need to make a decision... Keep going, knowing that your sleeping bag is just getting drenched right now, but there's nothing you can do, or turn around and run straight up a cliff in hopes of beating a little bit of the rain. I chose option B and now I'm ANGRY. My tent had an actual puddle in it. Everything is wet. Miraculously, I have one dry shirt. But beyond that, my clothes are wet. My shoes are wet. My sleeping bag is wet. MY PILLOW IS WET. And I'm cold. And I'm wet. Backpacking sucks. I don't know why I do this. It is actually the worst.","
",View Entry,"May 26, Sun",0
Moose Snoot,https://www.trailjournals.com//journal/entry/615104,"Ok, so maybe I was being a tad dramatic last night... I did finally drag my mopey butt out of my tent to make dinner and wound up chatting with some other backpackers. Walking Home is a thru hiker who initially started his hike as a way to lose weight and get into shape. Now he is hiking just to see how far he can go. He says he won't summit Katahdin when he gets there, but I'm having a hard time believing that... After they made their dinner, Big Tex and her dad Old Bear came to join us, and we had a good time chatting about past hikes, our lives back home, sports, and colleges. When I finally laid down for the night, everything was still wet, but my spirits were up. I formed a plan to get up in the morning and drag my soggy things up to the top of the next mountain to dry in the sun. I didn't have to do that, though. When I woke up this morning, everything was dry!
The hike was nice. Lots of sun and more beautiful views. I played leapfrog with my hiking acquaintances as we each stepped to our own beat. Tonight, I'm back in camp with Walking Home, Old Bear, Big Tex, and some new friends who also happen to be my real life neighbors. Chris and Christina (The Nice Couple) are Jackson Heights residents, which means we probably ride the same trains regularly. How funny that we had to go all the way into the woods of New Jersey to find one another!
We all stopped for lunch at a restaurant right on the trail as it walks through a small town. What a treat to have fresh food and a cold beer! 
Tonight, I'm staying in the shelter with Big Tex and Old Bear to avoid any more rain. Tomorrow, I'm planning on walking to the state park and catching a ride to Port Jervis. From there, I'll catch the 9:30pm train to the city, a shower, and my warm, dry bed.","Buttermilk Falls tentsite mile 1316.1
",Gren Anderson Shelter Mile 1326.8,"May 27, Mon",10.70
Moose Snoot,https://www.trailjournals.com//journal/entry/615097,"I'm sitting in the parking lot at he High Point State Park headquarters, waiting on my ride into town for dinner and a train home. The headquarters has closed, and all of the folks that I've walked with the past few days have caught their shuttles into town or headed back into the woods. I'm all alone save the fog, the birds, and the frogs chirping away on the pond out front. This serenity is what calls me back time and time again. As my inner peace mingles with that of the universe; of nature, things fall into balance in a way that I can't even begin to replicate anywhere else. This is where I belong. This is where I'm happiest. I'm not ready to go back to NYC yet...

Next section: Bearfence Mountain Hut (Mile 918.2) to Harper's Ferry (Mile 1025.5), June, 2019","Gren Anderson Shelter, Mile 1326.8
",High point state park Mile 1338.1,"May 28, Tue",11.30
Moose Snoot,https://www.trailjournals.com//journal/entry/616141,"Today was mostly a travel day... We had a 4 hour car ride and got to bearfence mountain trailhead around 3. The drive through SNP was beautiful! I think this chunk of the AT is going to be a treat.
After changing shoes, suiting up, and a quick little photo shoot, mom and dad waved me back onto the trail.
The trail started out steep but quickly leveled out for the next mile or so until a long, semi steep climb up to hazletop mountain. I have no idea what happened between last weekend and now, but my legs were NOT ready for that climb. You spoiled me New Jersey! I did make good time, but man did I work for that last mile... 
I had it on good authority that there were some stealth sites on the summit, so I started looking around. It took a few moments before I realized that they were just down a spur trail to a view. I'm sure the view is breathtaking, but all I'm getting tonight is a drop-off into a sea of fog. It's not the best view, but it did just fine for dinner.
Dinner tonight was home made pepperoni rolls, a hard boiled egg, and a cookie. Normally, I do a full meal like ramen, but I didn't come across a water source today, and won't for a couple of miles tomorrow, so I wanted to conserve.
It's just starting to rain, which is just fine because I'm warm and cosy in my tent. Hopefully it clears up by morning and I can get a peek at that view! In the meantime, I better get some rest. 12 miles tomorrow!","
",Hazeltop Mountain Campsite ,"Jun 07, Fri",2.40
Moose Snoot,https://www.trailjournals.com//journal/entry/616142,"Some days on the trail are ""why do I do this? It super sucks"" days, and others are ""why don't I do this full time it super rules"" days. And then some days, when everything comes together into a perfect storm, I get to ride a roller coaster of sky high to suck all within a handful of hours. Yay!!!!Today was that day. Except I suppose it was less roller coaster and more steady decline into full suckage.
It rained all night last night, but it stopped shortly before I woke up, and I finally got to see what that sea of fog was hiding! It was absolutely breathtaking, and was an amazing way to start my first morning on the trail. I skipped breakfast so that I could get to the water supply faster, but did sacrifice some water for tea (oh sweet sweet caffeine. You are even more glorious in the woods). I've been focusing on being more mindful on the trail. I want to spend less time in my own head and more time in my surroundings. When I slow my step and quiet my brain, I see and hear much more. Today, it was deer. So many deer! I'd say the population might be a bit high in SNP, but that didn't stop me from taking pictures of every single one of them... I also encountered so many different people from day hikers to thru-hikers. I even ran into some friends that I met last week on the AT in New Jersey! They're out doing a loop this weekend and just happened to pass me on the trail headed south. What an insanely small world! I wish I had thought to get their names again, but they did say that they were part of a hiking group called the Trail Dames and I just love that so much. Running into them put such a smile on my face! 
For lunch, I stopped at a beautiful cliff edge with an insane view. And beyond a few pretty flowers, that's about where my day started to turn toward the suck... 
It's going to rain tomorrow. All day. ALL. DAY. While I know there's nothing I can do about it, and I know I just need to embrace the suck, I still let it color part of my day. I decided to push on a couple more miles past my planned campsite while I have dry weather. I assumed that I'd find a decent campsite near the Skyland Resort. Which I did... Kind of. It's next to a giant water tank. HUGE. And turns out it's basically right on the trail (no idea how I missed this one since I was JUST on it but whatever Rachel, let's just go with it). The tank, I knew about, but I missed the trail until I saw someone walking down it... And they saw me pretending not to see them. (don't judge me fellow hiker, I swear I'm not new at this! Just a little soggy and tired...) 
So here I am, everything hurts, I'm damp because it's the outside and they don't have air conditioning here and also because I'm wearing the same clothes as yesterday, and I'm camping in basically the ugliest place I've seen on the AT. 
BUUUT I hiked 12 miles today and now I have 2 less miles to do in the rain tomorrow. And I'll be sleeping in a shelter tomorrow so no setting up the tent in the rain. AND this resort that probably uses the crap out of my water tank neighbor has a breakfast buffet tomorrow morning. I wasn't planning on splurging, but considering the whole ""embrace the suck"" thing, I figured unlimited biscuits and gravy might be an alright start. And anyway, the birds are still chirping and I'm warm in my sleeping bag and what the hell? I guess still like it out here, even with the suck. But maybe ask me again tomorrow night....","Hazeltop Mountain Campsite 
",Skyland Campsite ,"Jun 08, Sat",12.30
Moose Snoot,https://www.trailjournals.com//journal/entry/616143,"It rained for most of the night last night, but did stop for a bit this morning. Long enough to get up and packed and head down to the lodge for breakfast. I walked in at the same time as another hiker and the host asked me if I wanted a table for two. ""Oh! No, just for one please."" The hiker behind me asked me if I'd like to join him and his friends. I was happy for the company. He and his two friends are thru hiking together and getting some major mileage.... 30 plus miles a day! I don't think I'd want to hike that much even if I could, but it was great to share a table with them and hear their stories. They'll be way past me for the rest of my trip, which is a bit of  a theme with the shorter miles that I prefer. I meet lots of hikers who are pushing 30 mile days, so it's always a passing conversation. It can get lonely, but I'm kind of ok with it. Part of what Iove so much about hiking is the solitude. I like having people around, but also, I like not seeing them. And not having to talk to them.... Unless I want to. 
After breakfast, the day sucked as expected. It rained nonstop the entire day. It's still raining now, actually, and hasn't even begun to slow down. (not great considering how badly I have to pee...) 
My shoes got soaked almost immediately, and the rest of me followed soon after. Even with rain gear, the condensation makes its way into every layer I've got on. I did encounter two really great moments of trail magic, though, which made the hike more tolerable. 
The first was at a picnic pavilion that I ducked into to escape the rain and call my parents (my spot beacon died and I thought they'd probably be worried). There were no other humans (what luck!), but there were the remnants of a fire still smoldering in the fireplace. With a little poking and stoking, I got it up and running again. It was a wonderful surprise to get to warm up and dry out, even just for a half hour or so.
The second bit of magic came from Mother Nature herself. On my last climb of the day, as I was soaked to the bone and freezing, it started to rain harder. I looked up to the sky and muttered a few unsavory words and thought a moment about crying. (I mean, what the heck... no one would be able to tell anyway...) I stopped to pull out the map and see how much further I needed to go. When I looked up, there was a mother deer right in the middle of the trail, looking at me. We held eye contact for a few seconds before she looked into the woods ahead of her and wandered off. As I followed her with my eyes (I wasn't about to move a muscle...), I saw her fawn. Tiny, knobby, and covered in white spots. It was beautiful. When I started to walk again, mom spooked a bit and the fawn took that as her cue. She bounded into the woods and hid, waiting for mom to tell her it was safe again. What a sight! The experience held me over for the rest of my hike and carried me into the shelter.
After two cups of tea and a steaming bowl of ramen (and another tasty farm fresh butt nugget straight out the chicken), I'm all curled up in my sleeping bag, kind of dry and sort of warm.
Only problem is, I still have to pee... And it's still raining. 
And if I'm being completely honest, hiking kind of blows.","Skyland Campsite 
",Pass Mountain Shelter ,"Jun 09, Sun",10.90
Moose Snoot,https://www.trailjournals.com//journal/entry/616144,"Today started rough. I woke up still cold and still wet. I was really just looking at the day as a job. Get up, get it done. I skipped my morning tea so that I didn't have to boil water and left the shelter as quickly as I could. At least it wasn't raining.
Until it was. Two minutes after I left the shelter, I had to stop and put on my raincoat. After that, the morning continued to be crap. More rain, more cold. But I was headed for a wayside that promised cheeseburgers and French fries and sodas.
I should have taken a picture of that bacon cheeseburger, because I'm certain that it couldn't have possibly have been as amazing as I remember. Basically, it was the best bacon cheeseburger I have ever had. No doubt. It was perfect. And the fries! Ugh the fries! So salty. So warm. So delicious. 
After the wayside, it didn't rain anymore (thank you, oh goddess of rain for your undeserved mercy!). I was still in a lot of pain, but happy to be able to put my hood down and actually look up from the trail from time to time.I arrived at the shelter decently early and was able to nab a good spot on the top platform. Theoretically, there are less mice up there... theoretically. As the evening approached, several hikers started to trickle in. I had briefly met some of them last night, though none of us were really in the mood to socialize. Some others were new faces to me, and we got to know one another over steaming pots of ramen and knorr sides. I made a few new ""best friends"" when I offered up my (very heavy, please eat as much as you want so I don't have to carry it) bag of dried fruit. The best way to a hiker's heart: free food. 
Tonight, the shelter is full of happy (despite the overall dampness) hikers laughing and telling stories and I'm reminded again that trail magic comes in all forms. I needed this camaraderie, this band of random people who all share one passion, to bring me back to a positive mindset. Tonight, I go to sleep next to 8 new friends and with a smile on my face. I take back the ""hiking blows"". It's actually pretty great.","Pass Mountain Shelter 
",Gravel Springs Hut,"Jun 10, Mon",13.10
