Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Mosey,https://www.trailjournals.com//journal/entry/603596,"I told my family so it’s real now, not just a dream!",,View Entry,"Sep 26, Wed",0
Mosey,https://www.trailjournals.com//journal/entry/603663,"In 2000 my daughter did a few weeks on the AT and it intrigued me. I joined a local hiking meetup in California and after one backpacking trip I was hooked. I’ve done many backpacking trips all over the US and have had the long trail itch for many years. But every year it seemed that something stopped me; the births of grandchildren, health, etc. I’ve also had a fear of starting alone, as I have always backpacked with my daughters or husband. When I saw a post on FB Appalachian Trail Women that there were others starting next spring with the same fears I knew I had solved that issue. The next step was telling hubby. He was completely supportive and said he will meet me along the way. So I’m going for it!",,View Entry,"Sep 27, Thu",0
Mosey,https://www.trailjournals.com//journal/entry/603725,"Since I’ve done a lot of backpacking I have most of my gear. But since I’ve mostly gone with my daughters or husband I was able to share gear. So there are a few things I need to replace. The biggest item is a tent. We also carry an MSR water filter that is too heavy, so I need to figure out what filter system I will carry. And I’m considering not carrying a stove. ",,View Entry,"Sep 28, Fri",0
Mosey,https://www.trailjournals.com//journal/entry/603804,One thing I’ve found is that I don’t have anyone to talk to. I spend a lot of time researching and am excited to share but my family is already tired of my rambling on about the Appalachian Trail. I took a class at REI yesterday on hiking the AT. It was interesting. He had a lot of fun facts. ,,View Entry,"Sep 30, Sun",0
Mosey,https://www.trailjournals.com//journal/entry/605258,My husband and I did two nights here. It was beautiful with the leaves changing. There were some tough sections climbing through rocks and boulders but overall a nice hike. I was cold at night so realize I need to reconsider my cold weather clothes for beginning the AT.,,View Entry,"Nov 04, Sun",0
Mosey,https://www.trailjournals.com//journal/entry/605256,I got my Patagonia Nano puff today. I’m not sure if I will keep it. I have a North Face puffy that only weighs 1.5 ounces more and I’m not sure the Nano is any warmer based on reviews and comparisons. I should get my tent tomorrow; Big Agnes Copper Spur UL1. I bought the footprint also and now see one used on REI for less so might swap that. I think my Deuter pack might be too heavy but I love it. I’m also debating on my BV. I’ve carried it for years since it was required in many places. And it fits in the bottom section of my pack. I don’t feel comfortable with hanging my food. I think I have my weight pretty good other than these two things. I still have time to decide. ,,View Entry,"Nov 12, Mon",0
Mosey,https://www.trailjournals.com//journal/entry/606316,"I have all of my gear except sleep clothes. My son was in the Army and said their silk weight long underwear were real warm so I’m thinking of trying those to start with if I can find them. I’m worried about being cold. It’s a delicate balance between being warm enough and keeping weight down.  I’ll be trying my cold weather sleep system next week, camping at the Southern Ruck. 
I’m still having foot problems. The inserts helped with the pain on the outer edge of my foot but I still have other issues. All on my right foot. My toes were going numb so I switched to thinner Darn Tough socks and that seemed to help that. The last issue is pain in the ball of the foot. I have arthritis there so there might not be anything to do but I’ve been researching and think metatarsal pads might help but have yet to find any that will actually work for backpacking. I might have to buy a different pair of inserts that have them built in. ",,View Entry,"Jan 09, Wed",0
Mosey,https://www.trailjournals.com//journal/entry/606552,"last weekend I went to the Southern Ruck and camped at Vogel State Park. Saturday poured rain all day and my Big Agnes Copper Spur didn’t have a drop inside. I woke Sunday with my tent zipper frozen in the 20 degrees, tent covered in snow. I was cold at night so I have ordered some reflectix to put under my pad in the colder southern section. Overall I was very happy with my gear!",,View Entry,"Jan 23, Wed",0
Mosey,https://www.trailjournals.com//journal/entry/607563,"I had a panic moment last night thinking, Am I crazy?  What makes me think I can do this?  I couldn’t sleep so I got up and read a little from “Old Lady on the Trail: Triple Crown At 76”. It helped me remember that I just have to put one foot in front of the other, set small goals, really see what is around me, and remember how blessed I am to have this opportunity. Out of panic mode and back to excitement and anticipation!",,View Entry,"Mar 04, Mon",0
Mosey,https://www.trailjournals.com//journal/entry/608186,A week from today and I’ll be on the trail!  So excited!,,View Entry,"Mar 16, Sat",0
