Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
NARSIL aka Father Time,https://www.trailjournals.com//journal/entry/518308,This is my first journal entry in preparation for my hike.,"Springer Mountain
",Mt. Katahdin,"Dec 12, Sat",0
NARSIL aka Father Time,https://www.trailjournals.com//journal/entry/518309,I am finalizing my gear at this time. I plan to start at Springer mountain since I have already done the approach trail.,"Mt. Katahdin
",View Entry,"Dec 13, Sun",0
NARSIL aka Father Time,https://www.trailjournals.com//journal/entry/518311,I have done several practice hikes including most of the Smokey Mountain trails. All of my hikes have taken place in cold weather months so I feel as prepared for those as I can. I have never hiked/camped over a very long period of time so as with most everyone else the first several weeks will be critical to develop pace and routine.,,View Entry,"Dec 14, Mon",0
NARSIL aka Father Time,https://www.trailjournals.com//journal/entry/524753,My wife and I have finally decided we will not move from Florida until I complete my hike. I can now set a firm target date for my hike from March 1 to April 15. Once I sell my business I'm good to go. Reading current 2016 journals can't wait to start!,"
",View Entry,"Dec 15, Tue",0
NARSIL aka Father Time,https://www.trailjournals.com//journal/entry/534406,"I have unfortunately had to postpone my hike until 2018. However disappointing, it is necessary to facilitate a more fruitful transition from working to retirement.","
",View Entry,"Dec 16, Wed",0
NARSIL aka Father Time,https://www.trailjournals.com//journal/entry/550807,"I am still on track for a March 2018 start. I have completed gear selection and financial readiness. Set to retire late 2017, sell business, home and move back to Michigan prior to starting the AT. Looking forward to a great adventure and meeting new people on the trail. Any advice for a ""senior"" hiker about food, gear or trail tips would be appreciated.","
",View Entry,"Oct 23, Sun",0
NARSIL aka Father Time,https://www.trailjournals.com//journal/entry/552140,"Just had a great opportunity for hiking in the Rocky Mnts this past weekend. It's been awhile since I have been able to log in some milage. However going from sea level (Orlando) to Colorado was a challege. We topped out at almost 10000 feet, the air was a bit thin for me, glad the AT dosen't reach those altitudes. Still looking at retirement this coming August, and the hike March of 2018. Also still tweaking geer. Having trouble finalizing food choices. Anyway Happy and safe Holidays to everyone - keep the dream alive!","
",View Entry,"Dec 05, Mon",0
NARSIL aka Father Time,https://www.trailjournals.com//journal/entry/553162,"Greetings and Happy New Year! I am looking for some advice. I have been using a Granite Gear V60 backpack which has served me well, however I am thinking I want more exterior pockets/pouches. I may boost up to a 65l pack as well. Obviously want to keep the weight to a minimum. Any trail tested suggestions?","
",View Entry,"Jan 10, Tue",0
NARSIL aka Father Time,https://www.trailjournals.com//journal/entry/553337,Planning a short shakedown hike the 23 & 24 out of Damascus to Saunders shelter or the campsite a couple miles further. Never been in that area before. Purchased a new Osprey Atmos 65 backpack and want to give it a try. Anyone familiar with that section of the trail and have any heads up for me I would appreciate. Also plan to pass through Erwin and Hot Springs to get a preview for some of the trail towns I have read so much about.,"
",View Entry,"Jan 11, Wed",0
NARSIL aka Father Time,https://www.trailjournals.com//journal/entry/553790,"Hello,Completed a short one night shakedown hike from the Damascus long term parking lot to Saunders shelter. The weather was cool and rainy both days which is what we will all encounter during a thru hike. Planned on tenting but set up my tent inside the shelter due to the rain.The hike in was moderate and enjoyed the solitude. Started encountering issues immediately. I thought I was properly prepared..forgot my knife, spoon and puff jacket.My Thermarest pad developed a hole and wouldn't stay inflated and my steripen stopped working. (Boiled water) My gloves turned out not to be waterproof and my frogger rain pants did not perform well.All the rest of my equipment worked very well including my first hike with my new Osprey atmos 65 backpack. (Really liked that). Didn't encounter any other hikers and did sample fresh spring water with no ill effects. Took Woodys advice and hiked the Creeper trail back. Note to AT&T users no network in or directly around Damascus. I also traveled through Hot Springs and Erwin to see some of the hiker stops I have read about.Very advantageous journey on many levels. Lessons learned..can't check gear too many times!NARSIL","Damascus
",Saunders shelter,"Jan 23, Mon",0
