Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Ole Girl,https://www.trailjournals.com//journal/entry/607581,"Well
it's time to get serious about getting ready for my thru hike attempt. I have
to say attempt as 80% of those that start a thru hike on the Appalachian trail
do not finish. I have attempted twice before in 2017. I started northbound
(NOBO) and after week I had to leave as my Dad passed away unexpectedly. After
spending 2 months settling the majority of my parent’s estate I was back in
Maine.  Being in Maine it seemed to make
sense to try hiking southbound (SOBO).  I
had planned all the food, taken time off and saved for the trip. Once again
after only 5 days on the trail I fell in the 100-mile wilderness, falling down
a bank and had a really bad blow to the head. Now as a nurse I always think
about the worse and after hiking on for another couple miles with a severe
headache I felt I needed to leave the trail for safety sake. My concerns were
if I had a minor brain bleed from the fall, I could have severe consequences
before help could reach me in that remote area of the trail. I was able to get
a ride out with some fishermen and my husband picked me up outside of Milo
Maine. It's been a couple years, I've officially retired at 62 and feel it's
time to go hit the woods again to try and reach my dream of a full thru hike.
After much thought and deliberation, I decided on a flip flop hike. This is
when you start the Appalachian trail somewhere near the middle and hike north
or south, flip back and forth according you your plans to complete the trail
within a 12-month period. Originally my goal going northbound was I was hiking
""Home"". Being retired I spend my winters in Florida but I was raised in
Maine and a Mainiac at heart. My summers were spent at a girl scout camp
located beside Baxter Park and I have been climbing Mt Katahdin nearly every
year since I was 8 yo. Going home to Katahdin just felt so right. Well in my
NOBO attempt even though I was only on the trail for 6 days I learned a lot.  1.) I found I didn't like the big group of
people hiking, 2.) need to get a spot for camping early as there would be 50+
people in an area at night 3.)Hostels were filled or you had to make
reservations and that locked you into a time frame to complete miles regardless
of how you feel or weather.  I'm older,
I'm fat and slow that pressure to make miles changed my plan and suddenly it
didn't become my hike anymore.  In going
SOBO there wasn't the pressure of the people but you start in the most
difficult section of the trail. I have hiked most of Maine in section hikes.
Recently I found at my age the miles were harder and I was harder on myself to
make those miles. Even before the fall that took me off the trail, I was
worried about making it to Monson within my designated time frame with food and
such. Knowing those things personally and talking to successful flip flop “senior”
hikers I decided the flip flop hike was the best option for an overweight 62
yo. This allows me to start in the ""easiest"".... relative term
regarding backpacking on the Appalachian Trail... part of the hike. I will be
hitting New England with strong trail legs but not worn out and tired from 5
months of hiking.  No time restrictions
to reach Baxter before it closes.   It allows me to take a few weeks off in Maine
to spend time at home before flipping back and hiking south. Logistics for me
in Maine are easy as my family is there so they can join me for sections and
help support me. I am planning to start at the southern end of the Shenandoah
National Park and hike north to Katahdin. Additionally, besides the flip flop
plan I am starting off with a support vehicle. I will make use of the shuttle
services so I can park my car ahead along the trail and hike to it. The
distance ahead will depend on how it goes. To start I am planning on only a
little over 30 miles. Each time my goal is to extend that distance further.
Additionally I will be hiking with my Havanese dog. I will only be doing low daily
miles to start as I adjust to trail life and the exercise also this will be
easy for the dog to manage just fine.  As
I go along and the terrain gets more difficult, I can shuttle the dog home if
needed.... less mental stress on the journey. Another factor involved is one of
my 3 adult children and her husband will be coming back to Maine for a week
vacation. It’s been 3 years since they have been able to come home.  I want to be able to go back to Maine to be
there while they are home. This should help me with ""homesickness""
and missing the family emotions that creep up when hiking alone. 
YES, I
am hiking alone. I know I will find other hikers along the way and make new
friends. I do better hiking solo where I don't have to worry, I am holding
someone up or if I want to go further, stop sooner, or take a day off that a
hiking partner may not want to do.
Having
attempted a thru hike previously I have all my gear and done shake downs so
know what I will be taking. With the car support/shuttle plan I won't have to
carry as much. Extra gear, food and change out equipment can be kept in the car
for when I need it. By getting off the trail with the car every week I can look
at forecasts and pack accordingly, I don't have to pack for every occasion this
way. I will do a note on my gear next with photos of what I use.

""Ole Girl""","Home
",Home,"Mar 04, Mon",0
Ole Girl,https://www.trailjournals.com//journal/entry/607748,"Just for interest as sometimes people wonder or ask what I have for gear.  This is my list.Pack:  Osprey EXOS 48L  Wt: 2.5 pds empty ( Mine may be slightly more as I have modified it by adding 2 straps to bottom to hold my tent and a small bag to hold my phone on the waistband.Sleep system:  Henessey Hammock side zip hammock with an Silnylon Hex Fly (Wt - 1lb, 1oz)   I switched to a hammock sleeping system about 10 years ago and never looked back.  Love my hammock.  I sleep better in it,  feel I can set up anywhere and not worry about finding a flat tent spot.  It allows for easier stealth camping which I may need to do more as my miles will be smaller to start and I probably won't make the designated huts for camping till I get stronger.  The larger Hex Fly allows me to bring the rain fly down so it's almost to the ground to prevent rain blowing in and for easier dressing and undressing in privacy.Underquilt - Revolt Enlighten Equipment (14oz)  Love this underquilt and worth the expense to purchase for warmth and lighter weightOver Quilt - Enlighten Equipment 20 degree down (22.5 oz)  Absolutely love this quilt.  Custom made for color and down fill.  Went with a lower degree bag as I'd rather pull off than be cold and shivering all night.Titanium Alcohol cook stove w/ Vargo windscreen - (2.5 oz)  Last few trips out loved using the alcohol stove.  It's light weight and I know exactly how much fuel I have by looking at the bottle of fuel (full it is 8oz).  This time I am planning to start to have less cooked meals.  Will use the stove to heat water in the am and if I have hot dinner planned - use to cook that.  As I go this will change how much I cook and how much I just do ""no cooking "" meals.Titanium Cooking pot with homemade cozy -(15.1 oz)  I have had this pot for a while so sticking with what I have verses buying a new pot.Electronics:    Battery bar charger (6 oz),   Cell Phone w/ charge cord (8.5 oz), Inreach GPS tracker ( 7 oz)Katydin Water Filter - (13.5oz) (There are lighter options with the Sawyer squeeze system.  I tried that and after a week missed my trusty Kataydin filter system.  I like the ease of working it, easy to drop the filter line into a stream or small trickle of water and pump to quickly fill bottles.  Personal preference)Smart Water bottles - in sleeves attached to front shoulder straps (home made)  I switched from a camelback water bladder system to the bottles as I have read and seen the advantage of being able to visualize what you have for water.  The advantage is ease of weight.  You and see exactly what you have and only carry the amount of water you need.  I also don't have to carry another bottle which I did with the water bladder so I could mix drinks.  With 2 smart bottles one can be used for mixed drinks and the other for plain water.  I made sleeves for the bottles that attach to the pack shoulder straps so the bottles are infront - off setting somewhat the weight of pack - thus not all the weight is pulling backwards in the pack.   Time will tell how they hold up.  I made pockets in the water sleeves, one for my ipod and the other to carry my Inreach GPS tracker.Ole Girl","
",None,"Mar 07, Thu",0
Ole Girl,https://www.trailjournals.com//journal/entry/609012,"My gear List and weights.    I have used all my equipment on previous hikes and trials so pretty comfortable with what I have to start.  I may change things out either adding or removing depending on the weather and such.Pack - Osprey Exos 48L   Weight - 2 lbs 3oz.  (attachments - straps for hammock on bottom and water sleeves to front shoulder straps)Shelter -  Hennessey Hammock Asym side zip and snake skins  Weight:  36 ounces (2.25 lbs)Hex fly silnylon - Weight: 17.9 oz. (1lb 1.9oz)  I like the larger tarp for better coverage in foul weather and privacyTent stakes 6 with carabiner to hold together in sleeve,  used for tarp and hammock - Weight 3.2 ozOver Quilt - Revelation Custom 20 degree down  - weight: 22.5 oz ( 1 lb 4 oz)Under Quilt - Enlighten Equipment down , Weight - 14ozKatahdyn Water Filter - Weight - 13.4 oz. ( The sawyer mini filters are lighter but after trying I went back to my old favorite...Confidence to get water out of the smallest trickle with this filter and such success in previous hikes I'm okay with the difference in weight)Smart Water Bottles (2) - DIY sleeves attached to pack shoulder straps for front carry of water bottles.   I incorporated a small pocket on the sleeve to hold my InReach tracker and small snack.  My switch out to just one bottle depending on water sources as I go.Cooking:   Titanium Pot and lid with cozy  weight - 15oz ( to start I am going stoveless but have this as a back up if I find I miss hot meal options)Stove - Alcohol Titanium  Weight - 1.2oz ( will not have to start )Wind Screen for stove - vargo  Weight - 1.3ozAlcohol fuel - 8oz when using stove.Piece of thermarest padding for sit pad - weight - 3.5 ozPhone - samsung, & charge cord.  use GutHooks app, camera & e-reader also - weight - 8.5 ozInReach GPS tracker - weight - 7 oz.  (My family feels better with me having this so they can follow me daily and also has emergency locator if needed.   I can also send text messages if no phone service or phone not charged)Bar battery backup charger - 5.4 oz.  (Using Guthooks app, camera and reader needed recharge daily on previous hikes)Clothes:   Puffy down jacket, midweight LLBean insulated shirt, merino wool t-shirt (2), Hiking Skirt (Purple Rain), Underwear 2 pair jockey short style, 3 pair Darn tough socks (one for sleeping), Injiin toe socks (2 pr), Long Johns upper and lower for sleeping or extra insulation as needed, Rain Jacket - Enlightened Equipment under arm zips = 5.3 ozRain Kilt - Ula weight - 3ozRehband knee support sleeves.    My trainer recommended these to me years ago and I swear by them.  Hiking they prevent knee pain in these old, fat knees.  Also add padding for scrambling up over rocks.   Hiking other folks complain about their knees aching and never have that with these sleeves in the past.Hiking Shoes - Altra Lone Peak 4.0 Trail runners (I found I liked trail runners better than boots.  Hiking in Maine and NH the rocks were an issue with my boots getting caught between rocks and I was often twisting and pulling my feet free.  Not an issue with trail runners.Camp shoe - Crocks, Ladies style with strap behind and over foot.  Fits a little more secure for river fords than the regular crock for me.Dirty Girl Gators - Love these.  Keep out all the little debris that tends to get in your shoes during the day.  HeadlampBearbag hanging kit (bag for tossing rock with hanging rope and caribiner)First Aid / repair Kit - Bandaids, blister bandaids, surgical tape, 2 sterile 2 x 2 pads, emergency blanket, antibiotic ointment (small individual packets), alcohol pads, Sterile needle, Ibuprophen, Doxycycline, Immodium, Antacids,  Personal meds,  tweezers, nail clippers,  small zip ties, duct tape, water proof matches,  headlamp backup battery. (I am luck as a nurse I was able to get a some items donated by my work office - alcohol pads, antibiotic oint pkts, sterile needle)Personal Bag - hand sanitizer, Baby wipes (one per day between resupply), Small towel, toothbrush and tooth paste, Goldbond powder, Body Glide, Small notebook as diary and mini pencil.P-style - Female urinal with P rag.  (this may be TMI for some, still wanted to include as I found this a nice item for me so I can stand to pee, not remove my pack to squat and pee)That may not include everything.  Its the majority and I can journal changes as I make them adding in or removing items from lists.  Starting out I am going to to stoveless as Past hikes I generally have to force myself to eat.  I was always tossing prepared meals out.   I have meal bars and foods that can rehydrate with cold water.   I saved 2 small plastic jars to use for rehydration and drinking as needed.  My foods that need rehydrating will be divided into individual portion sizes in ziplock freezer bags which I can eat right out of after meal is ready.    As I journal I will post what I am eating and drinking. Ole Girl","Home
",None,"Mar 27, Wed",0
Ole Girl,https://www.trailjournals.com//journal/entry/609193,"I officially retired yesterday, Friday and now last minute prep work is in order.   My plan is to start my hike at RockFish Gap the southern end of Shenandoah National Park in approximately 2 weeks.  Down to the count getting ready.  My plan is to have no plan.   I will putter along hiking northbound (NOBO) and see how things go.  If nothing else I learned in my previous thru hike attempts is life is unpredictable and sometimes shit happens we can't control.  By setting schedules and lots of planning I was putting too much pressure on myself.  This time I am hiking with no agenda, days will be as long as I wont and pace that feels right that day.  As another hiker said, ""never pass up a good sit rock""so I will sit, relax and enjoy the journey not pushing to make certain miles.  It is my hope as I adapt into trail life my daily miles will get higher and my conditioning better so I can start pushing myself more if it feels right.Today I organized food I have purchased and also tried cold soaking the pasta meals I have.   I purchased pre-set pasta meals at Walmart where everything is included.  Each box mix I divided into 3 Ziplock freezer bags and the seasoning powder into a small bag to add after pasta is hydrated.  The meals I tried worked well with cold soaking to hydrate for eating. Additionally I added a Tablespoon of dehydrated veggies for extra zip to the meal.  I have been picking up individual mayonnaise packets at the deli, a few each time, so used those with mixing the dressing for the pasta dishes.  It all was successful.  One packet suggested adding milk for a creamer mix so the first taste was okay then I added some powdered milk to the mixture and liked the creamer version.  So powdered milk added to those packed up for eating on the trailTomorrow my plan is to apply my premetherin to clothes and hammock.   Seeing too many folks struggling with Lyme disease in Maine I don't want to take any chances.   Depending on how my hike progresses I may need to retreat my clothes again as they will be washed weekly.   I will also spend some time organizing my pack, rechecking how things fit and placement. This will give me time to play around with things.  Also it's time for me to start wearing my fully loaded pack daily around the house and all my walks, including walking the dogs.  There probably won't be any more posts till I actually start hiking.  My plan is to journal frequently as I can when I have internet access.","None
",None,"Mar 30, Sat",0
Ole Girl,https://www.trailjournals.com//journal/entry/609783,"Making final plans for the start of my Flip Flop hike of the Appalachian Trail.   I received some information that parts of Shenandoah National park are closed due to storm damage.   Originally I was planning to start hiking at the southern end of the park, staging my car about 40 miles ahead in a parking area.   I would make use of shuttles to section hike northward with my dog.  As ""Harley"" is young and a small dog I felt I would need to bring him home after a bit and return to the trail alone to continue.   Part of me is insecure in finishing this hike as past trials I haven't done well.   So having my car is a safety net for me if I get sick or struggle.   It is with great hope that I get off successfully, no family emergencies, and I can successfully complete my hike as I have planned.   Soooo... with the intel on the closure and possible no parking in parts of SNP I looked an another option.   I contacted Open Arms Hostel in Luray VA for assistance.  They have been fabulous!!!!!!   My plan is to drive from Florida to Virginia next Friday.   Saturday morning I will finish my drive to Thornton Gap in SNP.   Open Arms Hostel shuttle will meet me at the parking lot at 1PM and drive me to Front Royal VA.  I will hike south from Front Royal back to my car.  Starting mid afternoon my goal is 2.9 miles to the first shelter south.  I can stealth if that doesn't workout.  There aren't options for parking in Front Royal.  After hiking back to my car over the next 4 days or so I plan on going to Open Arms Hostel for a night off the trail.  Shower, laundry and pet friendly so no issues with Harley being with me.   I am planning low miles each day to ease into hiking conditioning.  All my plans for hiking in Florida and workouts have not come to reality.  Always excuses and also life, work and getting things finished to leave seem to fill my days.  Time has flown by and now it's down to the wire.    Interestingly Alison from Open Arms Hostel told me she didn't know of any closures now in SNP and was unaware of parking limits.   This just reminds me to be flexible and work out things as I go and some folks may not be accurate in their information.  As it stands now I will be hiking most of SNP in the flip side of my hike in the Fall so any concerns with clearing the trail should be finished.  Also I most likely will not have my car so that wouldn't be an issue with parking.   I'd also have options for using Open Arms Hostel again starting southbound (SOBO).  Abbreviations.NOBO - Northbound,   SOBO - southbound.  Thru Hiker - someone who completes the Appalachian trail in a 12 month period in any way they want.   Flip Flop - alternate hiking plan, generally starting midway along the trail and hiking in one direction then flipping at a certain point and hike the rest of the trail in the other directions.  Most common Flip Flop is starting in Harpers Ferry north to Katahdin, back to Harpers Ferry and hike south to Springer Mnt.   SNP - Shenandoah National Park,    AMC - Appalachian Mountain Club (New England organization mostly involved in Whites of NH.)  White Blaze - White marks for the Appalachian trail.  GORP - ""good old raisins and peanuts or generally a trail mix snack.  HYOH -  Hike your own hike.  PUDs - Pointless Ups and Downs,  MUDs - Mindless Ups and Downs,  NERO - nearly 0 mile day, generally 1 mile or less,  ZERO - 0 miles hiked that day, rest day.Next posts will be from the trail.","None
",None,"Apr 06, Sat",0
Ole Girl,https://www.trailjournals.com//journal/entry/610794,"April 13, 2019  Day #1.  First day on the trail.  I met my shuttle driver at Thornton Gap.  Saw my first wild life there as a Doe and her fawn came strolling across an open area.   The owner of Open Arms hostel that gave me a shuttle, Alison, was soooooo nice.   I think I will stay there when I am done this section.  I may take a day and visit Luray caverns as I hear they are pretty interesting.  I don't know if I will ever be back this way so I'm going to take time to smell the Rose's and see the areas I'm in where I have my car.  Met a daughter, father team starting same time as me.  Didn't chat much but maybe will get to know them later.  Shes a plus size woman too and we big girls need to stick together.    Today was mostly elevation gain, a short down hill.  I set my goals to a tree and would hike to that.   Didn't pass up a good sit rock or downed tree in hoping I'm not beating my out of shape body up too bad.   This is slow and steady for me....no time frame.    I made it to the Tom floyd shelter where a group of boyscouts and their dads were already camped.  It was only 5 but they convinced me to stay and I'm glad I did.  It was a great evening of chatting with some great guys from Virginia.  Harley loved all the attention from the boys and adults.  They even fed me.  spicy bean and sausage soup.  I wasn't hungry but managed a cup of soup n beans.  Passed off the sausage as my stomach wasn't real happy with that much spice.   Drank my electrolytes.  Think I may need more.  Been thirsty tonight so getting more water in.    Weather was muggy to start in the 70s then cooled a bit with cloud cover and was more comfortable hiking.   the trees are just starting to bud and those that flower are in full bloom. Very pretty scattered thru out the woods.   I think they might be chockcherries.    Violets and some other white ground flowers add color to things.   Off to bed...tomorrows a new day and I'll see how I do with a full day of hiking.  The next shelter is 10.5 and where the boys are headed.  It might be nice to reach that tho I know that will be pushing this out of shape body.  My goal is 5 miles and we will see after that.","US Rt 522 Front Royal
",Tom Floyd Shelter,"Apr 13, Sat",3
Ole Girl,https://www.trailjournals.com//journal/entry/610797,"April 14, 2019   ..  Day 2.  10.5 miles.  36004 steps.  Over cast and showers all day.  I had hoped to find a spot and camp after about 6 miles.  The issue I am finding is water.  There are not a lot of water sources along the trail and that is dictating my plans.  Ups and downs thru out the day.   Although not big elevation gains when you are 50 pds over weight and carrying 28.6 pds pack every step up you feel.  Goals were set in yards going up.  Nick Brown and Lily Hamill your ears must have been burning as I pictured your support in my crossfit times on just breaking things down into doable chunks....get up and do just one more..lol. Not much for photo shots with the cloud cover and rain.  I did jump a herd of 5 deer, one stayed for a photo shoot.  I  pushed on to get to the shelter as the rain started in earnest around 4 pm.  I had thought I might stay in the shelter where bad weather was predicted and started before I got there.  That wasn't going to happen...old white beard stopped me at the edge of the shelter shouting...""its full you cant stay"".  I hurried to hang my hammock as I was really shaking in cold.  I know hyperthermia was starting as I struggled to set up my hammock in a driving rain and gale winds on a side hill.   Everything got soaked as I worked to try to set up before complete darkness.  No dinner...crawled in my hammock and miserable night with gale winds and heavy heavy rain.  I was up multiple times to re-tie the rain fly as the wind was so strong it was ripping out my stakes.   This is a learning process as I am exposed to things I haven't been previously.   I have camped in rain but never in such a wild storm where I hurried to set up.   In trying to lighten my load I almost let out the space blanket in my first aid kit.   I was so glad I didn't because when I finally got into my hammock I was shaking with cold and soaked.  Rain was dripping in for a bit at first as I hadn't gotten the rainfly set well in the rush.  The space blanket helped warm me with my down quilt - allowing some protection from the wet as well.  Definitely will keep a space blanket in the pack......another day in the books.","Tom Floyd Shelter
",Gravel Springs Hut,"Apr 14, Sun",10.50
Ole Girl,https://www.trailjournals.com//journal/entry/610798,"April 15, 2019  Day # 3.  5 miles,  24553 steps.  Cold windy morning.   Slept in as wind kept howling and everything was wet.  A horrible night getting up multiple times to fix my rain fly that kept blowing off as the wind was so strong it kept pulling up my stakes.   Laid things out to dry and let stomach settle a bit.  No dinner last nite in my rush to get into bed n out of the rain. Thunder storms high gale winds and driving rain all night. I started hiking around 1030 with a slow n steady day.     Very windy n cold all day with windchills in low 20's.  I wish I had brought my down jacket, forecast said 60's so working to keep things lighter left it out.  Won't make that mistake again, learning curve here.   As long as I kept moving I was okay with everything I had on for upper layers.   My stomach is still acting up and I can't seem to eat or keep things down.   I'm making sure I drink 2 bottles of electrolytes as well as energy gels to keep those from getting to out of wack with the lack of solid foods.   Stopped at a Wayside cafe for a cheeseburger around 4.  I managed to eat  half before nausea stopped from eating more or the fries.  I know my body is trying to adjust to the change in exercise and hiking stress.   Many folks said it can take a few weeks for the traditional ""hiker hunger"" sets in.   I am just hoping to manage to hike without getting too sick.   At I lunch managed a tuna salad n pita but 30 mins later bad cramps n diarrhea not pleasant situation when your legs are already tired lol.  Gotta laugh at myself.  Squatting in the woods at times can be a challenge but with screaming thigh muscles it's an extra challenge.   Stealth camped with the boyscouts again  just beyond the Wayside.   I will miss them.  Great ambassadors for scouts,  always helping me out and trying to feed me.  Harley was their honorary mascot.  Another freezing night and glad I had a space blanket to help with drafts ..it has saved me the last few nights.  Got my rain fly staked out with 3 stakes per line and tied down to ground level to help with winds and tonight that did the trick.   It was my first time having to hang a bear bag on this hike.  Bear poles have been available at all the campsites, stealth camping I knew I definitely needed to get a good hang.  Shenandoah is known for a lot of bears and I don't want to tempt them and make problems.","Gravel Springs Hut
",Elkwallow Wayside spring stealth camp,"Apr 15, Mon",5
Ole Girl,https://www.trailjournals.com//journal/entry/610799,"April 16, 2019   Day #4.  steps 25079.  9.3 miles to Thornton Gap and my car.   Last night the wind died down after midnight and it warmed up a bit.  I was up and on the trail around 930.  I'm not a fast morning person yet.  I was able to managed a couple poptarts for breakfast but the stomach wasn't having it and I suffered the results.  I know it's time for me to get off the trail for a few days and recoup.  I planned to be slow and see the sites.  Tomorrow will hang out at the Open Arms hostel, do laundry and soak my feet.  Today had 2 summits.  The second Pass mountain wasn't hard but I was really slow in short sections as I have no energy with not eating and also my body is still adapting.   I reverted to my crossfit training, little goals...hike to the next sit spot.  I am guessing it will take me a month to get some trail legs so I am not going to be hard on myself, accept the situation and move slow and steady.  Also as I was huffing and puffing for air I thought of my late sister Shelly and she brought me inspiration.  She struggled to breath every day so I could suck it up and climb that mountain. Glad to get to the Open Arms Hostel for a hot shower and out with Shelley and Brent for pizza.  Now on the trail  I can't keep anything down but put a big old slice of pizza in front of me and I chow that down with no problems....the stomach is a challenge for sure. A good day. My phone ran out of power mid day so not many photos of the views of Shenandoah valley.  The cold took its cold on more than just me.","Elkwallow Wayside spring stealth camp
",Thornton Gap,"Apr 16, Tue",9.30
Ole Girl,https://www.trailjournals.com//journal/entry/610801,"April 18, 2019    Day #6.   Miles 8.5.  Steps - 26046,   US Rt 522 Front Royal to Tuckers Lane Parking area Marshall VA.    Planned a slackpack (not carrying my full pack) today for this section.  Yesterday I took a zero day to recoup and do some sightseeing.   I visited Luray Caverns and loved that, definitely glad I'm taking time to visit other areas to start as I adapt to trail life.   I then drove the Skyline drive from Thorntons Gap to Front Royal to see the areas that I missed in the fog and the rain.  Today I chose to do a slack pack as there is another bad storm coming in on Friday and feel I want to be off the trail this time than fight out another severe storm in my hammock.   Used ""Sharons Shuttle"" for driving me from my parked car to the starting point and hiked back to my car.  I started out at 9:30 and finished by 2:30.  Definitely easier without a full pack.  Uphills still remain a challenge where I do them in short segments.   There was a nice ridge walk with nice trail where I was able to maintain a good pace.  Felt good when I finished then after driving to a hotel for night I had stiffened up and could feel those miles and pace.  A reminder to myself to keep it slow and lower miles even if I'm done mid afternoon....don't get frustrated and I can't be critical of my pace.  It is what I need at this point in the journey.   I really enjoyed the drive to Harpers Ferry where I'm spending the night.  I remember driving some of the area with my Mom on her quest for Civil War sites.  I which I appreciated it more at the time....Now I am taking time to smell the roses and see the sights.  My mom was a huge History buff and would enjoy seeing this section onto Harpers Ferry as it was where one of the Confederate Soldiers line was held for several years.  She'd be visualizing the troops and how telling me tons of stories to bring that history to life.   I have to know she is sitting on my shoulder and with me in spirit.","US Rt 522 Front Royal
",Tuckers Lane Parking Lot,"Apr 18, Thu",8.50
