Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Perdido,https://www.trailjournals.com//journal/entry/605829,"Making these updates to get the Journal started.  Like many, I have been reading Trail Journals for many years, wondering what it will be like to be out on the Trail.  If all holds together, I plan to start on March 22, hopefully my two sons will be with me for the weekend.  Who knows, maybe they can join me again for short hikes before I finish.  Less than 4 months before it all becomes a reality!",,View Entry,"Dec 09, Sun",0
Perdido,https://www.trailjournals.com//journal/entry/605830,"Making these updates to get the Journal started.  At this stage, still reviewing and buying needed items, figuring out what is still needed, etc.  I will likely do a few mail-drops, but not rely on those too much.  Swapping out winter gear for warmer weather gear, getting new shoes,things like that.  Resupply can hopefully be done in trail towns along the way.  
After reading so many great journals by other hikers over the years, I realize that there is a real talent in describing ones though processes and planning rituals as one prepares for  hike like this.  Sadly, in creating these entries to get started, it is painfully obvious why I never pursued a career in writing!  Oh well, it is all about the hike, not the writing.  Maybe that part will get easier once the hiking starts, I hope so anyway.",,View Entry,"Dec 09, Sun",0
Perdido,https://www.trailjournals.com//journal/entry/605964,"Planning is ongoing, reviewing gear, wondering what is still needed, will I stay warm in the first month or so...?  Still wondering about food, what to take, how much cooking do I want to do, reading the pro's & con's of using a stove, I will likely take one and see how that goes. I hope to maintain a Journal, covering any interesting events of the day.  Not sure how often it will be updated, but hope to keep it real and describe what is happening on the trail.",,View Entry,"Dec 19, Wed",0
Perdido,https://www.trailjournals.com//journal/entry/606149,"Managed to go out locally and hike 7 miles with a less than full pack at a local State Park the other day, Big Lagoon State Park.  Mostly sandy, easy and flat terrain, nothing like what I will experience on the AT, but still good to get out and hike.  I was hoping to get some practice walking in the rain, testing the pack cover, etc, but after I started, no more rain came that day.  Oh well, from reading journals, I know there will be plenty of rainy days on the trail.I fell pretty good about my basic gear, but still need to get a sleeping bag liner (rather than buying another, warmer bag) and warm, light weight coat for the early cold days. Something tells me these next 2 1/2 months will pass quickly.  Still hopeful that at least one or maybe both sons will be able to join the start of my journey, but too early to say on that right now.  Trying to work on ""journaling' skill set as well.  I haven't attempted an update with my phone yet, but need to practice that too.  Maybe I will put together my gear list, so I'll see about that.  Til next time.",,View Entry,"Dec 30, Sun",0
Perdido,https://www.trailjournals.com//journal/entry/607131,"I have met a fellow 2019 Thru Hiker, Popps, from Milton, FL, who will be starting around 3/02, a few weeks before my planned start date (3/22).  He has been great to share his hiking/gear/outdoors knowledge and expertise, as well as giving me a couple of trash compactor bags, as I was having no luck locating those. We have met for lunch a couple of times to talk everything AT, from gear to food to logistics and everything in between.  
We recently did an overnight shake down hike in the Blackwater National Forest in Northwest Florida.  When I got to Popps house, he offered to weigh my almost loaded pack.  It came in at 30 lbs, so I was pleased at that.  It had everything I will be carrying except for extra food and my puffy coat and gloves.  The forecast was for rain, which we both wanted in order to test our gear, but the rain didn't arrive until after we hiked out the second day.  Regardless, we had a good, though uneventful 8+ mile hike the first day before making camp.  Camp was setup, Popps in his hammock, me in my tent, and after a while, we cooked our dinner.  It was a rather warm day and humid, so nothing like we will experience in Georgia!  
Have been doing lots of hiking with a mostly full pack, but sandy & flat is certainly not the same as what I will experience in the mountains of North Georgia, and I understand that.  Still, practice is needed to get used to the weight of the pack and how to get the best setup so it feels comfortable.  Also breaking in Merrill boots, but my Darn Tough socks are causing blisters, so need to figure out why that is happening.  
Departure time is getting closer and I am growing anxious about the start and looking forward to the challenge.  Local hiking will continue, packing and unpacking continues and I also plan to experiment with cooking the foods I will carry.  No dehumidifier, so it will be the usual instant stuff one can find at the stores, pasta, potatoes, rice, etc., along with mixes of tuna and chicken for dinners.  I’m sure that will get old in short order.  Oh well, practice will continue along with the countdown.  Ready to get started!","
",Blackwater State Forest,"Feb 18, Mon",0
Perdido,https://www.trailjournals.com//journal/entry/608305,"Everything is still on track to travel to Amicalola Falls on Thursday and begin hiking the approach trail on Friday, 3/22. Getting really anxious and nervous about the whole thing!  Have already seen entries on the 2019 AT Facebook page of a few hikers who have already called it quits for a variety of reasons. That doesn’t help the confidence factor at all. 
This is my 1st entry using my phone as all others have been done from the comforts of the home PC. Hoping I can make it all work. Adding a picture will be interesting too!  
My pack is full and heavy, still need to load my nalgene bottle and not sure where that will be. Knowing there will be cold days & nights ahead I may have more clothes than needed but not much. If I had a bigger pack it would just be heavier so that’s not the answer. I’m sure I will figure out what to shed in due time. So many unknowns at this point. 
Can’t wait to earn a Trail Name and may start with a self given “Perdido"", which is Spanish for lost - not because I feel lost or because I am searching, merely because we live on Perdido Bay in Pensacola, FL!  We’ll see what happens. Looks like phone entries wont be too bad, but updates will be depending on battery life & signal strength and since AT&T is my carrier, can’t count on that too often either. 
The journey is about to start & again have to thank my wife for her support of this dream or I could never do this. She will have her hands full with our 2 dogs, bills, her Mom and all the daily activities of living!  Thanks Mic!  Friends & neighbors have also been very supportive & curious about my hike and all say they will help out on the homefront while I’m gone. 4 days and counting.",,View Entry,"Mar 18, Mon",0
Perdido,https://www.trailjournals.com//journal/entry/608307,"And I meant to mention earlier, thanks for signing my Guest Book!  I admit that my entries are not as exciting as most, and I did not want to do entries that just explain what the AT is (that has been done many times) but hopefully I will be able to do justice to Trail Journals once the hiking starts!",,View Entry,"Mar 18, Mon",0
Perdido,https://www.trailjournals.com//journal/entry/608463,"I met two friends, James Melton & James Penfield, from Birmingham yesterday for golf at Perdido Bay Country Club (open to the public!!) and made 1 new friend, Bobby, for a last round of golf for a while.  Great fun, nice weather (a little windy) and great company.  Had an additional neighborhood sendoff from Brain & Nansea yesterday afternoon and got to talk about the trail.  Hard to believe the start is so close after just talking about this for so long.We will drive to Amicolola tomorrow, meet one of my sons and his friends late tomorrow to stage a vehicle for them to hike to and the hike begins on  Friday!  We will try to meet Hopeful (AT '03 & '11) and Circuit Rider (too many AT's to list - 9 x's!) as we take on the approach trail.It's getting real, doing final errands today, will probably unpack and repack a few more times, see what I can eliminate, and maybe get Hopeful or someone else to do a pack shakedown at Amicolola before we actually start.  I better get started on my errands or I'll run out of time!  Here we go...",,View Entry,"Mar 20, Wed",0
Perdido,https://www.trailjournals.com//journal/entry/609157,"Rob, Ross,Leo and I hiked the Approach Trail from the Visitor Center/ Ranger Station Friday morning. I attended a briefing by the Rangers where they talked about everything from bears and other possible wildlife encounters to the LNT (Leave No Trace) and how important is in preserving the AT and the environment. We hikedthe Approach Trail, 8.8 miles, then another 2.8 to Stover Creek Shelter for a total of 11.6 but only 2.8 count for me!  The stairs youmust climb by the waterfall, while pretty, it is physically challenging with a 40 lb pack on your back!We all got our tents set up as the Shelter was full, butnone of us planned to use anyway. Had a decent night, good company and got ready to go for the next day.","Approach Trail Ranger Station
",Springer Mountain ,"Mar 22, Fri",2.80
Perdido,https://www.trailjournals.com//journal/entry/609160,"Hard to describe just hiking all day butthat is what we did. Passed the entry for the Benton McKaye Trail, passed Hawk Mountain Shelter then Horse Gap. Altitude has been up to 3782 feet at Springer down to 2530 ft, then back to 3347ft at the top of Sassafras Mtn. Georgia is known for its “PUD’s” - pointless ups & downs and it is true. Up a mountain, down a mountain. The loose rocks & roots keep you stumbling and with the heavy pack it is a challenge!No issues for the 3 young guys, so I tag along, bringing up the rear. Some great views, but it is all about the hiking right now.  We set up camp, had a nice fire, relaxed and ate and before too much longer, turned infor the night. It gets cold quickly in the mountains at night and the best way to get warm is in your tent!  Get ready to do it again tomorrow.","Stover Creek Shelter 
",Justus Creek,"Mar 23, Sat",11.50
