Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Pheriel,https://www.trailjournals.com//journal/entry/606151,"2018 was meant to be a flip flop thru hike that started in Daleville, VA.  A few injuries from a variety of falls (20 falls to be exact!) took me off trail a couple times with fall #19 south of Manchester, VT essentially ending my season.  I did another 9 miles closer to home a few weeks later but the previous injuries proved too much.  So now instead of being a thru hiker I've graciously accepted the title of section hiker for 2019. The goal now will be to get back into pre-trail shape with 3.5 months to go until my start date.  Be safe.  
Pheriel
""We make our plans but the Lord determines our steps.""",,"Hickory, NC","Dec 30, Sun",0
Pheriel,https://www.trailjournals.com//journal/entry/606152,"With all my equipment from 2018 still mostly intact I took an inventory and decided to visit REI for a couple adjustments.  I've been using the REI Flash as my air mattress and really liked it.....when it stayed inflated.  Hopefully I'm not going to be living the definition of insanity but I utilized REI's great return policy and swapped it out for another REI Flash.  I'll be inflating and testing it out in the basement for a few nights just to be sure the integrity is there.  From experience I can tell you my carpeted floor is much softer than the floor of a shelter.  The other replacement was my silk sleeping bag liner.  Too many wash/dry cycles on high heat made it a bit brittle resulting in a small rip that grew over time.  So the equipment is ready but the body is not.  The treadmill and elliptical will be my ""friends"" moving forward along with some day hikes and a few over-night excursions.  I'm blessed to live in western North Carolina where the trails are plentiful.  Be safe.
Pheriel
""Commit your work to the Lord and your plans will be established.""",,"Hickory, NC","Dec 30, Sun",0
Pheriel,https://www.trailjournals.com//journal/entry/606153,"Wet roots, wet rocks and mud, oh my!  These were the main culprits during the 2018 season that led to my sudden horizontal trail experiences.  I've giving a bunch of thought to how I reduce the falls in 2019 and the main thing I came up with...slow down!  I'm retired so time is on my side, I'm now a section hiker so I'm not looking to set any land speed records and with my 2018 experiences hopefully I'm wiser.  Hopefully.  Going NOBO out of the Hot Springs, NC area in mid-April translates into most of the snowfall being behind me so I'll be able to better see where I'm stepping. Like 2018 I'll also be going shorter miles the first couple weeks until the trail legs are earned so maybe I'll be a little less tired at days end.  I know falls are a part of the experience but I'm hoping to have a little less of that particular kind of experience in 2019.  Time will tell.  Be safe.

Pheriel
""Now it is God who makes both us and you stand firm in Christ"".  I like the concept of standing....",,"Hickory, NC","Dec 30, Sun",0
Pheriel,https://www.trailjournals.com//journal/entry/606166,In one of my entries I mentioned adjusting a couple equipment items.  The complete list of my equipment used this year is on my 2018 Appalachian Trail Journals page.  I have no desire to go through and relist them all on my 2019 TJ page and there may be a simple way to cut and paste the list but......I'm not what you'd exactly call tech savvy. :),,"Hickory, NC","Dec 31, Mon",0
Pheriel,https://www.trailjournals.com//journal/entry/606849,"Still in the getting ready process for hitting the trail April 14th. Treadmills, ellipticals and various local day hikes will do as preparations for now. We have an abundance of trails to hike in western NC and I’ve planned some extended weekend hikes as I get closer to my “due” date. The various injuries that took me off the trail last year after 900 miles are either completely or nearly healed. As a section hiker this year I’m looking forward to a different approach to my trail strategy as there’s now not the intensity to complete the trail in a season. Smell more roses and watch more sunsets. The sense of anticipation, excitement and drive are still there just not the pressure. Be safe.",,View Entry,"Feb 04, Mon",0
Pheriel,https://www.trailjournals.com//journal/entry/611112,"This was was my shakedown hike prior to the start of the 2019 season that took place about 3 weeks ago. I was fortunate to have my friend, Train Wreck, with me again this year. The shuttle let us off and we headed south. Immediately I felt like a salmon swimming up stream as we encountered about 15 NOBOs in the first 45 minutes! But our weather was great and the hiking superb so we pushed on with a hello and what’s your trail name from the rest of the hikers we met. Our first night we camped in the large clearings around Shelton Graves. It was a perfect night with no visits from unwanted apparitions and we woke to an incredible orange and yellow sunrise. We weren’t sure how far we’d get on this second day but we were feeling pretty good. We continued to meet an interesting mix of NOBOs trekking north towards Katahdin. There was one that stood out. As the young man was approaching we could see something strange strapped to the back of his pack. It was an inflatable doll!  Didn’t want to really ask many questions as I tried to shutdown my imagination. My guess it was mostly for shock factor. Hopefully. As we continued to click off miles we determined the end of the day would put us 16 miles down trail and near Hemlock Hollow Hostel so we called for a reservation and a 6pm pickup. The place and people working there were awesome and I highly recommend this place. After a great night of clean sleep we were back on trail the next morning with 14 miles of trail until Hot Springs. Another near perfect day with many thru/day hiker encounters and we rolled into town by about 4pm. Took showers at Laughing Heart Hostel and were soon heading back to Hickory.Today, my beautiful and understanding wife is driving me to Bland, VA where I’ll start hiking north to Daleville which is where I started my Flip-Flop attempt last year. Now as a Lasher(long ass section hiker) I’ll be leap frogging up and down the trail to complete my unfinished sections. Without sounding antisocial I picked Bland in an attempt to get ahead of the mass of hikers I met a few weeks ago. After Daleville I’ll head back to Sam’s Gap where I’ll hopefully be behind the hiker bubble. Be safe.","Devil’s Fork Gap 
",Hot Springs ,"Apr 22, Mon",0
Pheriel,https://www.trailjournals.com//journal/entry/611167,"We left Hickory this morning heading for my true 2019 restart and got to Bland about 10am. After taking some time for a few pictures and to say goodbye to Susan I was heading northbound. As with last year my plan was to only go 8-10 miles a day for the first 10 days or so but with the way the shelters were situated I ended up doing 12 miles. Bubba is feeling it with my feet and legs yelling at me! Can’t really blame them. The terrain wasn’t too bad with only a couple 1200’ climbs but the sore feet is about the distance. All that’s after the fact because the rest of the day was perfect. Not a cloud in the sky, a light cool breeze blowing out of the northwest and a temperature about 70 degrees. A perfect 10! I saw a limited number of other hikers until I got to the shelter then they started filing in. Probably 12 in all and mostly young guns doing large miles. One twenty-something did a 34 mile day in roughly the time it took me to do a 12. Impressive....show off! Jealous as I am of having the ability to hike that far in a day I’d have to say my spirit is willing but my body is weak!
It was mostly ridge hiking which means plenty of sunshine because of no tree canopy and cool breezes. I did see a large deer today that was momentarily startled but quickly stopped. I had a great view of this amazing creature that makes going up and down these hills look effortless. A simply beautiful animal. The sun has now gone below the western ridge and the temperature is cooling quickly. As I’m writing this I hear a turkey in the valley below calling out for his “harem”. I also hear the young human “turkeys” sitting around their tents telling embellished tales about the days events. It’s a coed group so I guess it’s to be expected. Anyway, the sun is fading and hiker midnight is approaching so the camp will soon be silent except for the mice scurrying around the shelter. As long as one doesn’t run across my face....This is truly a beautiful place in the creation. Got to say that God did good in this neck of the woods.
Last thing. Thank you Susan for letting me do this two years in a row. I love you more than you can know. Everybody sleep well and be safe.","US 52 North of Bland,VA
",Jenny Knob Shelter,"Apr 22, Mon",0
Pheriel,https://www.trailjournals.com//journal/entry/611397,"Last night the group of young guns were true to hiker midnight and were quickly quiet as last light faded behind the ridge to our west. I got a later start this morning with the intention of doing 8-10 miles then stealth camp somewhere near a water source. As the day went along there was a variety of terrain along higher elevation ridge lines where the hardwoods are just starting to sprout green buds then descending to a gap bringing a mix of blue, yellow and white wildflowers complemented by wild dogwoods in full bloom. Later in the day the famed green rhododendron tunnels of Virginia were prevalent adding shade and cooler temps. The trail through this section was paralleling Dismal Creek so the ground was intermittently wet and muddy requiring me to do the AT shuffle from one side of the trail to the other to keep my shoes dry. Never was a good dancer. Emerging from the tunnels and for about 3 miles was a flat pine forest of trees standing 40-50’ high. Likely second or third generation trees but they also provided shade. The trail had a slight elevation as it was heading up the narrow valley toward the base of a high ridge and the Dismal Creek headwaters. Again, quite a variety of terrain.
For me, the ego was again speaking louder than the wisdom gained from last years hike so my day ended at 15 miles. My dogs are barking loud this evening. At the shelter tonight is a woman named Pushing 60 and Jolly Rancher who are sleeping in their tents with Six Wheel and me in the shelter. A little older group so we had some good conversation and were also a little quieter than the younglings the night before. As the sun has set its a little darker now and we can already hear our vermin shelter mates running around and planning their nightly attack. Hoping for a great night of sleep but that’s really in their grubby little claws now.
It was a great day but I’m looking forward to tomorrow which will be only about 8 miles as I’ll be staying at Woods Hole Hostel. This one came to me as a “must do” recommendations from a couple of my thru hiker friends from last year. Looking forward to the shorter day with the extra rest for my aching body. Did I mention that the Wapiti Shelter was the the site of a double murder in 1981? Be safe.","Jenny Knob Shelter 
",Wapiti Shelter,"Apr 23, Tue",0
Pheriel,https://www.trailjournals.com//journal/entry/611596,"Until about 11pm a mouse was in full frontal attack mode on my backpack which was hanging from a nail sticking out of a log beam. I finally had enough and got out of my sleeping bag to put the pack on the picnic table. The mouse won the battle but I won the war...at least at this shelter. It was finally peacefulish except Six Wheel was gently sawing some logs but I was still able to nod off for the night.
It was another beautiful clear, calm and cool day as each of us left out after breakfast at various times. Knowing I was only going 8 miles I took my time ascending out of the Dismal Creek valley. After the climb out I was back on a ridge making good time when I heard footsteps behind me. It was the first of the young guns who had already done 7 miles of hiking that morning. The rest of his tramily was close behind so I found a comfortable rock(sort of), pulled out a Snickers bar and took a break as the parade passed me by. It wasn’t long as they followed the trail around a curve and disappeared. Impressive. I soon followed but never saw the 7 of them again. The last 1.5 miles was over rocky terrain which is not exactly my favorite. It slowed me down some but...I didn’t fall! This makes 73 miles this year without a fall which I believe is a new personal best for me! Bet I just jinxed it...
By about 2pm I was walking over a creek and into the entrance of Woods Hole. I was greeted with the welcoming bark of their two dogs sounding the alarm. On the right was a gorgeous old 1880’s log cabin, in front of me was a log cabin bunk house and down to my left was a small barn with one of those forever views across a lush field with cows, goats and pigs behind it. Looking across the field were distant green hills that disappeared into the horizon. The smell of smoke from burning logs was strong in the air. I knew then why this place had been recommended to me. It was absolutely beautiful! The inside was warm, cozy and invitingly decorated with period furniture pieces that had to make everyone who enter feel at home.
It was a relaxing afternoon and evening of making new friends (Sweet D, D Terminator and Choo-Choi) while sitting in the porch rocking chairs or porch swing talking about hiking and family while snacking on fresh baked bread and homemade cheddar cheese. Between the experience, accommodations, the food and the people who work there this place was a near perfect 10! Think I’ll get some good sleep tonight! Be safe.","Wapiti Shelter
",Woods Hole Hostel,"Apr 24, Wed",0
Pheriel,https://www.trailjournals.com//journal/entry/611712,"With bad weather coming tomorrow I decided to head to Angel’s Rest Hostel today then take a zero tomorrow.The new friends I made at the hostel offered to slack pack me to Pearisburg since they were also staying at Angel’s Rest and I gladly accepted. Instead of carrying a 28 pound pack it was now going be about 6 pounds. After an incredible breakfast I was on my way at 9am. There was a gradual ascent getting back to the ridge but then it flattened out and the miles started clicking by. There wasn’t anything remarkable about the hike(other than being able to slack pack) until I stopped for lunch at Pearis Ledges. The Legdes look out to the east and are about 1100’ above the New River Valley floor. It was a cloudless day with a steady, cool breeze and as I sat there I felt like I had the valley all to myself. The colors in front of me were incredible with the dark, emerald greens of new crops that were growing at the bottom of the valley. Ascending the valley walls were the pink and whites of various trees that had blossomed out followed by the pastel, variegated greens of new leaves budding from their hardwood hosts. The ridges were still brown as the trees at the top were just experiencing spring as their branches blended into the blue sky Their opportunity for color would be here in the coming days. A masterpiece that could only we painted by our Creator! It was a peaceful feeling and even my tuna burrito with a tube of Arby’s Horesy Sauce on it tasted better than usual(just kidding).
After about 45 minutes I had to move on and after a long, steep descent into Pearisburg I got to the hostel about 3:30. unpacked, showered, put clothes in the washer and went for a resupply. When dinner rolled around Sweet D, D Terminator, Choo-Choo and I went to an Italian restaurant for dinner. Only one of us ordered Italian with the other three getting a....cheeseburger and fries! So it’s not just me!
Hoping for a good night of rest and a relaxing day tomorrow. Be safe.","Woods Hole Hostel
",Angel’s Rest Hostel-Pearisburg,"Apr 25, Thu",0
