Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Quillgirl,https://www.trailjournals.com//journal/entry/606212,"I rarely make formal resolutions at the start of a new year. 2019 is an exception of sorts. This idea to hike all of the Appalachian Trail has been an aspiration of mine for many years, but this is the first year I have resolved to tackle it. And it is the first time I've made my plan public to family and friends. Beginning in March I will section it, probably in 100 mile chunks (+/-) over the next few years. So there it is.. a resolution written down at the crack of this new year. NOBO in March. First section starts at Springer. I took this photo a couple of months ago on a hike about an hour south of the trail. Springer looks like a blue wave on the horizon. Excitement and trepidation in equal measures. Gearing up!",,Sawnee Mountain,"Jan 04, Fri",5
Quillgirl,https://www.trailjournals.com//journal/entry/606261,"In October we spent a week in Acadia National Park. What a spectacle of crayola box color--yes, the maple leaves and birches but also technicolor mushrooms, green mosses, the slate blue ocean and rosy skies at sunset, the holly berries, lichen splattered pink granite balds, deep scarlet blueberry leaves against white deer moss. Lush tarn shorelines and boulder strewn narrows taken out of Tolkien's Middle Earth. We woke early every day, packed up a hiker's lunch and climbed a new mountain: Pemetic, Cadillac, Beech, The Bubbles, Dorr, The Anvil. Drunk on beauty at day's end we'd stumble back into town feeling lucky and achey with the good sort of misery that says your body has been working hard. On one of those blue clear days atop a mountain facing west you could see all the way to Baxter State Park. Katahdin loomed on the horizon like a whale surfacing from the sea, the largest thing visible. We haven't yet met face to face, Katahdin and me. There are a lot of mountains to climb first, and a few mountains that have to be moved to begin the trek.",,Acadia National Park,"Jan 05, Sat",0
Quillgirl,https://www.trailjournals.com//journal/entry/606310,"When Emma Gatewood was 67 years old she ran away from her home in Ohio wearing a pair of Keds sneakers and began hiking the Appalachian Trail NOBO in Georgia. The year was 1955 and she became the first woman to ""thru hike"" all 2100+ miles in one season. She had been inspired by an article in National Geographic about Earl Shaffer who was the first thru hiker after returning from WWII. Emma went on to thru hike it two more times, the last time a section hike in 1969. This trivia about ages and dates only matters because I turned 56 in November. Thinking more about age and endurance these days. For my birthday we went camping at my favorite state park, Cloudland Canyon, and spent the weekend taking beautiful hikes along the rim and through the gulch to see every waterfall. It had been rainy so they were full of thunder, plunging over the ledges, pounding into the pools, churning through the gorge as if a dam had broken upstream. Chattanooga is less than a half hour away so cocktails and dinner at St. John's restaurant made for a most perfect birthday celebration. Yeah, I'll be a decade younger than Grandma Gatewood when I begin my first big section of the AT. My pack will likely be 20 pounds heavier than the homemade gunny sack she carried on one shoulder stuffed with little more than a blanket, a flashlight, some raisins and peanuts, and a shower curtain to keep the rain off. So lighter pack goals because age is not the biggest barrier to finishing the AT but an overstuffed pack probably is!",,Cloudland Canyon,"Jan 08, Tue",0
Quillgirl,https://www.trailjournals.com//journal/entry/606385,"Fifteen years is a long life for a dog but not nearly long enough for a good dog. We got Pinder one afternoon in spring when my sons were ten and twelve. We had been dog-less for some years because I was reluctant to add puppy training on top of my kid training duties. But in 2004 we found a blonde 4 month old lab mix pup at a parking lot showcase put on by a local dog rescue organization and my boys fell in love with him. I'd sort of hoped they'd fall in love with a housebroken adult dog but he won them over with his playful energy and frequent kisses. This new pup went straight from the parking lot to his first little league baseball game that day. He spent a lot of time at baseball games and ultimate meets and family gatherings. And as the boys grew up and away, he became mostly my dog and spent more time on hiking trails. He loved them as much as I did, maybe more because the trails told him richer and more layered stories than I could understand. He heard or smelled every dog, every squirrel, every deer, every human, everything that had walked our path before us. When he stopped to snuffle under the leaves we joked that he'd stopped to check his ""pee-mail."" He  lived to get in a car and go on an adventure, run a trail, track a scent, see something different, stand on a high place and look out at the world like he owned it. He also lived for food: the tidbits left on a plate, the drippings on the dishwasher door, the crumbs dropped on the floor, a snack left unattended in front of the TV. 
On Friday the trail finally ended for him. His appetite never wavered but his body failed him in a way that made him confused and feeble. We helped him leave us gently with his dignity intact, laying peacefully in his own bed in the living room, his pack-mate beside him with her paws over his, our hands on his head, whispering in his ears what a good boy he was. We'll miss him so much. I'll miss my trail dog and constant companion of fifteen years. There wasn't enough time, not enough trails with him. Pinder was such a good good dog. Maybe I'll put his tags on my pack and bring him along on one more long trail.",,Chattahoochee Recreation Area,"Jan 13, Sun",0
Quillgirl,https://www.trailjournals.com//journal/entry/606557,"Between the holidays and a couple of outdoor store sales I've accumulated a lot of new gear. I'm trying to keep my general base weight below 18 pounds and finally had the chance to pack it up and get it weighed. Divided into categories:
Pack: Osprey Aura AG 50 with rain cover (Not the lightest pack but I'm an organization nut and I like pockets. Plus it is comfy.)
Tent: Marmot Tungsten 2P UL (because my husband will be hiking along sometimes so I'll take a little extra weight for flexibility) my footprint is tyvek.
Sleep System: Enlightened Equipment 10 degree bag. (Will switch it out later for a lighter bag.) Thermarest neo air xlite pad. Cheapo small inflatable travel pillow with removable fleece cover (purchased at drug store.) Black diamond down throw for extra warmth (may be overkill.)
Kitchen: MSR Pocket Rocket with fuel canister and stabilizer tripod, good old Stanley Adventure cookpot (without the cups), DIY reflectix pot cozy, lightweight no-brand coffee cup and rubbermaid storage bowl with lid, Snow Peak long handle titanium spoon, mini lighter. I'm still tweaking this system. Kind family gifted me with two other cooking pot options during the holidays so I might switch out the Stanley.

Other stuff: Zpacks Bear Bag kit (may switch to bear canister eventually), stuff sacks, Street Cat headlamp, Foxelli carbon cork quick lock poles, Sawyer Squeeze water filter, SmartWater bottle, Bogler aluminum mini-spade (love this design- found on ETSY,) medical kit, toiletries, bandana, phone chargers and cables and an old ipod shuffle with music, DIY butt pad (yes it has a chicken on it.) A few more odds and ends including a Garmin inReach because my family insists.
It's amazing how much you can shove in a turtle shell! I'm pleased that my base weight came to just 16 pounds. My total weight with food, water, and clothes should ideally stay below 30 pounds using the 20% of body weight rule but I really want to keep it a lot lower. Planning a weekend backpacking trip to do a shakedown of the final gear list. It will be chilly but sunny and clear. 
Hey, a special thanks to everyone who offered kind words about my dog, Pinder. Our little family misses him. Our other dog, Grace, still goes out and paws at the leaves where he spent his last outdoor time before we carried him inside to wait for the vet. Gracie spends a few moments laying on his bed everyday but never sleeps on it. The cat and Gracie are figuring out a new relationship without him as the mediator. Time moves forward. Rain refreshes the trail and makes it new again.",,Somewhere in Atlanta,"Jan 23, Wed",0
Quillgirl,https://www.trailjournals.com//journal/entry/606599,"Early NOBO hikers usually leave from the trailhead at Springer Mountain in late February or early March with hopes of reaching Maine before things freeze over and make summiting Katahdin difficult or impossible. That start date here in Georgia runs along the cusp of Spring, sometimes bouncing back and forth between warm weather and unexpected ice storms. Our unpredictable weather often spoils early blooming flowers and at times an early hike. Yesterday I took advantage of a sunny day and drove north with my pack. I thought I'd hike a section of the AT that crosses over Richard B Russell Hwy: the trail up to Wolf Laurel Top at Tesnatee Gap. The photos I took are a stark reminder that even on a sunny day the terrain and conditions on a mountain can be hard to gauge. Both photos are from the same day, taken within fifteen minutes of one another on the same mountain, but on different sides of it and at slightly different elevations. Tesnatee Gap was frozen over with a temp of 24 degrees and gusting winds that made it feel like the mid teens. Steep frozen trails made things even more treacherous. But a fifteen minute drive back around the mountain to Raven Cliff Falls revealed windless, ice free trails (though muddy from all the rain we've had) and a balmy 35 F. So for all of you with an early start date, plan carefully. It does get very cold here on the regular. Some days you can even hike from winter into spring in a single afternoon.",,Tesnatee Gap and Raven Cliff Falls,"Jan 25, Fri",0
Quillgirl,https://www.trailjournals.com//journal/entry/606695,"The Appalachian Trail runs 2180 miles from north Georgia into Maine, but the Appalachian mountain range dips a bit farther south and west into Alabama. I really wanted to do a gear check but also hoped to avoid the frozen trails I found along the AT last weekend, so I joined a small group of 5 other hikers who are members of the GA Appalachian Trail Club. We met up at FDR State Park in Pine Mountain, GA not far from Warm Springs where President Roosevelt had his ""Little White House"" near the therapeutic pools of naturally warm spring water that flow from underground. The park is in the southern foothills of the Appalachians just above central Georgia's flatlands. High on one ruffle of land is this view from Dowdell's Knob, a favorite of FDR's for picnics and quiet contemplation. The area is about a 3ish mile hike from Molly Hugger parking area and it is a lovely place to have lunch. It can be reached by car so there are picnic tables but no other facilities. Our group put in another 3+ miles before we reached our final campsite at Big Oak. It has a nice raised fire circle of large stones, lots of level tent site choices under the trees, and a clean flowing water source a hundred feet or so downhill. Two barred owls called out above us all night, the stars were brilliant, and the temp a crisp 34 at night then up into the 50s during the day for the hike out. All my equipment performed as I'd hoped so now it's just a waiting game until my official start. There may be time for another weekend pre-hike on the Alabama side of the Appalachians, maybe a section of the Pinhoti Trail which covers the mountains from Alabama into Georgia and hooks into the Benton MacKaye Trial that leads to Springer. So many trails, so little time.",,FDR State Park,"Jan 29, Tue",0
Quillgirl,https://www.trailjournals.com//journal/entry/607356,"Oh how nice to be roused by the morning sun and not a clap of thunder or the drumbeat of rain! Being deprived of trail days has been dispiriting and frustrating. I've lived vicariously through the journals of those who've started the AT this month. I won't say I envy the days and nights battling severe storms and biting cold, but I tip my hiking pole to everyone mucking along soggy trails in sodden boots. You are hearty souls.
But on this new day of blue skies I wanted to be out there with you, so off I drove and arrived at Neel Gap with my light pack and dry boots. I crossed the road and started south toward Blood Mountain shelter. It's a climb up some steep rooty dirt paths, mud bogged low areas, up stairways of uneven rock steps, through laurel tangles and across granite balds. The first clear area stops you in your tracks on a day like today. Rolling waves of multi-hued blue as far as the eye can see. Way out there at the horizon's southern edge is a spiky little patch that is the city of Atlanta. My home, a city that sprouted up in the foothills of Appalachia with many an old foundation set with granite from these mountains.
As I climbed/squished up the trail I ran into 8 or 10 thru hikers on their way to Mountain Crossings. Most had been on the trail 3 days or so depending on zeros for weather. I ran into Rocket and Hot Mess with a friend who has no trail name yet. An Aussie lady with no trail name and another young woman with a very full pack who asked about need for bear canisters in NC. And another with a pink beanie who is from Athens and shared that Justus Creek is very high and must be crossed on a narrow slippery log. 
Everyone seemed to be in high spirits with the great weather today. At the old stone shelter up top I stopped to gobble down a snack but the gusting wind was very cold so I headed back down pretty quickly. The shelter's interior smells of wood smoke even though the fireplace has long been filled in. Its back room windows are covered in blue tarps to baffle the cross gusts at night. A scout troop was descending as I climbed so I'm guessing this was their overnight accommodations. One of them had left behind a damp ball cap in the front room. This shelter has no bunks so sleeping on the stone floor is probably very chilly. And I imagine the sudden snapping of the tarps as wind sucked them in and out of the window openings like a bellows all night would be unnerving. All the AT Thru hikers I met were planning to stop at Mountain Crossings or the Blood Mountain Cabins at Neel Gap rather than shelter in the historic stone cabin up top. 
My up and back clocked in at around 8+ miles, which included a side trip down the Byron Herbert Reece blue blazed trail to check out the tumbling waterfall you could hear from the intersection. Drove home fully trail-satiated for the moment but so eager to begin the entire GA section in March. And hoping to hum ""Blue Skies"" everyday I'm on the trail. Added a few photos of the conditions and one video.",,Neel Gap to Blood Mountain,"Feb 24, Sun",8
Quillgirl,https://www.trailjournals.com//journal/entry/607990,"Call it a very soft start. One official mile on the AT so far, but six miles of hiking today. First: there are two ways to access the summit of Springer Mountain where the trail officially begins. Most NOBO hikers begin at the Amicalola Falls visitor center and take the blue blazed approach trail up from the parking lot. I've hiked the approach trail many many times as a day hiker or weekender. It's nearly all uphill and a good introduction to what lies ahead. Along that 8.8 miles you'll pass a few tent sites and then see Black Gap Shelter--the first standing structure on the trail (if you don't count the shelter right beside the visitor's center.) Climb a bit more and you reach the summit to see the first white blaze of the 165,000 blazes that will mark this trail from Springer all the way to Mount Katahdin in Maine. A mile beyond the first blaze is a gravel parking area where you can leave a car for 14 days. This lot is the second way to access the beginning of the trail but it requires you to hike SOBO for a mile and then double-back to begin the NOBO journey. NOBO purists feel you have to begin with the full blue blazed approach trail and others think because the blue blazes don't count as part of the AT it doesn't matter. As they say, ""Hike your own hike"" or ""you do you.""
Back to the math of this first official piece of trail. I've been torn about whether to begin at the visitor's center and retrace the blue trail that I've done many times or begin closer to the top to give me more time to complete the GA section. On Sunday the decision fell into place. My son came in from Philly to visit and it seemed like a good day for a hike so we zipped up to the mountains from Atlanta. We took the dirt FS road up to the Springer parking area, left the car there and hiked a mile to the first blaze then down some more to Black Gap shelter for a total of around 3 miles. Light drizzle pushed us inside for lunch. Another hiker from Pittsburg had a small fire going in the stone ring when we got there. Tom, the ridge runner for this section of trail, appeared soon after we did. I really appreciate his efforts to keep the trash in check and be a shelter caretaker/advisor for early NOBO hikers. Already he'd collected a giant black bag of garbage folks had left. (Pack out your own trash, people!) Several other newbie thru hikers joined us to wait out the drizzle. Tom entertained us with bear tales while we ate. The rain slacked off and we jumped back on the trail to retrace our path back up to that first blaze then the parking area--but now going NOBO. So I'll count that as my first official trail mile. Next Monday hubby (trail name Ukester) and I will shuttle from the lodge to the parking area and keep going NOBO until he has to get off in Suches. Then I'll continue without him to get most of Georgia during this first section hike.
One mile completed so far, but I got to take all of those steps with my son along so it was a very sweet mile indeed. Yay!","Springer Parking Area
",Springer,"Mar 11, Mon",1
Quillgirl,https://www.trailjournals.com//journal/entry/608421,"What a beautiful day to begin a big adventure. Blue skies, mostly dry trails, friendly people along the way. We began with a shuttle up to the Springer lot where we left off last week. Traveled to the 5.4 mark and stopped for lunch at a cross trail with the Benton MacKaye where Long Creek tumbles over a rock outcropping into a pool 20ft below. It felt strange to take off my pack, my feet seemed like they might lift right off the ground with each step. Odd sensation almost like being in space. We continued up and over to Hawk Mountain shelter at mile 8.1 where we are overnighting with several other hikers. Some are from the US (Virginia, Florida, Massachusetts, Ohio, Pennsylvania, Michigan, N Carolina) but also The UK, Scotland, Germany, Australia, India. Around the campfire our international friends spoke with reverence of the great unspoiled places in this country. And how lucky we are to have such trails and places at the edges of our backyards. As we watched a campfire (hiker TV) with our trailmates, we did feel lucky to be in the midst of it all and among people who love it like we do. Hiker midnight..8pm Time for bed. A chilly night ahead!","Springer Mountain 
",Hawk Mountain Shelter,"Mar 18, Mon",7.40
