Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
RJ,https://www.trailjournals.com//journal/entry/610692,"Gear choice is finalized, I think.  I've been on the fence between taking Z pack's Solo or Big Agnes HV2.  Z pack's is lighter by a pound, so it's my final choice.  Big Agnes gives me more privacy and weather protection, but I just can't justify an entire pound.  Not at my age - 76!  Z pack's Solo is so easy and quick to put up.",,View Entry,"Apr 17, Wed",0
RJ,https://www.trailjournals.com//journal/entry/610693,"I'm carrying a new bear canister this year.  I got it at Gossamer Gear.  It's little! but should be ok.  I can carry 3 days of food in it, I think.  And if I take more, I'll hang it.  I'm bringing my old standbys - taco, peanut butter, candy, trail mix, and a lot of oatmeal.",,Georgia,"Apr 17, Wed",0
RJ,https://www.trailjournals.com//journal/entry/610694,"I'm looking forward to the train ride - not!  26 hours from Buffalo, New York to Gainesville, Georgia.  I've decided to spend my first night there in the lodge so that I'm fairly rested to start April 22. Don't know how far I'll get this year and I don't care.  My fate rests with my knees and how long they can hold out.",,View Entry,"Apr 17, Wed",0
RJ,https://www.trailjournals.com//journal/entry/611135,I'm all set to start today.  Arrived by train yesterday morning and stayed here at the lodge in Amicalola last night.  I wanted to start off with a good night's sleep and didn't think the train would be a good place to get one.  I was amazed at how full the train was!  The seats in the dining car were even sold out.Hope to go about 10 miles today.  The weather looks good.  Right now it's 44 degrees with a promise by the weatherman to reach 70.  The flowers are out! Perfect!,"Amicalola 
",View Entry,"Apr 22, Mon",10
RJ,https://www.trailjournals.com//journal/entry/611241,"Spent the night at Stover Creek Shelter, a dead zone for cell phones.  Tried to call home before climbing Sassafras Mountain and then again at the top of it (elevation 3347 feet) but with little success.  All is good. Will probably aim for Justus Creek campsite tonight.","Stover Creek Shelter
",Justus Creek - maybe,"Apr 23, Tue",9
RJ,https://www.trailjournals.com//journal/entry/611310,Tough going yesterday getting over two mountains.  I drank and drank water but still felt dehydrated.  It's warm - 80 degrees and the leaves on the trees aren't out yet.  Today is starting out much better.  Had a good night's sleep at Justus Creek (mile 14.3) and today's terrain doesn't look as challenging. Highest altitude is 3593'.  I've made it to Lance Creek ( mile 23.9) and am going to spend the night here. Easier day today!,"Justus Creek
",Lance Creek ,"Apr 24, Wed",9.60
RJ,https://www.trailjournals.com//journal/entry/611429,"Another beautiful day!  Took this photo from the top of Blood mountain (4457')  I'm finding more and more that it's not a small world, but a closet.  Met someone yesterday who lives down the road from dear friends of ours.  The goal for tonight is Neel Gap at mile 31 but I'll see how things go.","Lance Creek 
",Neel Gap ??,"Apr 25, Thu",7.30
RJ,https://www.trailjournals.com//journal/entry/611524,The rain stopped this morning so I have decided to continue on.  I was pretty tired last night and thought about staying here an extra day and continuing on tomorrow.  But a good night's sleep in a real bed in a private cabin at Blood Mountain Cabins has spurred me on.  Nice people and the food was good!  Supposed to be chilly today with winds up to 40 - 45 mph.  Looks like dinner might be flour tacos with pb and j if the wind prevents starting a fire. The weekend's weather looks great! Called home while sitting under a tree with 100's of shoes hanging above me.  They're from all the hikers who buy new shoes when they get to the outfitter store here.  Quite a tradition! I myself bought new socks there.  So far my feet aren't in great shape but not bad either.  Ready to start up today's first mountain - Levelland (3870')  Tonight's destination is Low Gap Shelter at mile 42.6.  ,"Neel Gap
",Low Gap,"Apr 26, Fri",11.50
RJ,https://www.trailjournals.com//journal/entry/611676,"Called from the top of Rocky Mountain for a shuttle into Hiawassee and am spending the night in a motel here.  I'll decide after hearing tomorrow's weather if I'll stay here tomorrow and rest up or continue on.  The town will be very quick on a Sunday so I'm tempted to continue, but I'll see.  The descent into Unicoi Gap was very rough.  From the top of Blue Mountain to Unicoi it's 1076' over 1.5 miles.  I'm beat!","Low Gap
",Hiawassee,"Apr 27, Sat",9.70
RJ,https://www.trailjournals.com//journal/entry/611713,I've decided to hike today as I'm waiting for a diner to open for my breakfast.  Didn't get a good night's sleep - the right knee is letting me know it's there. Shuttle is picking me up in an hour and not sure if he'll take me back to the trail at Unicoi Gap (mile 52.3) or Dicks Creek Gap (mile 69).  The trail is a triangle in this area so I'll end up back here in Hiawassee Monday night hopefully. Probably will spend the night at Sassafras Gap or some place in between Unicoi and Deep Gaps. Weather is good and in the mornings I feel great.,"Hiawassee
",Sassafras Gap - maybe???,"Apr 28, Sun",10
