Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Raid,https://www.trailjournals.com//journal/entry/553455,"“You’re going to hike the Appalachian Trail? Wow, that’s crazy.” “Well, yes, yes it is,” was my reply. I was tired of feeling I needed to defend myself for my decision, and frankly, on that day, I also was beginning to think this endeavor was crazy. Previously, when people would ask the question, I would feel as though they were making a judgment, on my age ( I am no longer young,) on my physical appearance (I am no longer lean,) on my gender (I am still a female, and most likely will stay that way as I am quite happy with myself.) I was getting down to about 50 days left before I started my hike, getting down to actually feeling nervous instead of wistful wishing. I was realizing I was leaving my husband for a life time. Maybe that’s an exaggeration, but it’s still longer than the 12 or so hours we are apart during the day. I would be out of touch with our adult children who still like to run life’s issues past me every now and then, making me feel as though I must have had some parenting skills, which is not true at all. I truly possessed subpar skills but the kids persevered and were somehow determined they could raise their own Mother while raising themselves. I’m thankful that Scott was not a traveling sales man and was able to be home at night to take care of us all. Take care of us he did, along with taking care of puppies that grew into dogs and neighbor kids that were in and out of the house at will (Don’t leave your home unlocked because you have no keys if you don’t want neighbor kids in your home, eating your cereal. It’s cheaper to replace the keys, though not as entertaining.) He also welcomed into our home, Kasie, whom we had met only once before. She was a friend of our daughters who needed a place to live. She made a place in our home and our hearts.  So, I kind of feel that I know what crazy is. I am going to miss Scott, the kids, the pets, my friends and family and I will miss work. At work, I am treated very well, the people are great, and just about 50 feet down the hall is a Chick-fil-a and a Starbucks where it’s always warm and dry. Am I going to trade all of that for a new kind of crazy? “Well, yes, yes I am.”",,View Entry,"Jan 18, Wed",0
Raid,https://www.trailjournals.com//journal/entry/553604,"This morning, I tried downloading Guthook's App and experienced technical difficulties on behalf of my carrier. I will probably go into the store to try to have them figure it out since the person on the phone was not able to help. I was going on a hike today on the AT and thought it would be good to try out the App. As it was, it rained pretty solid the entire time so I would not have brought my phone out to use the App anyway. A First World problem, I suppose. My rain skirt worked well, as expected, my jacket wet out, as expected but my rain mitts failed which was not expected. I am not sure if I want to purchase new or just use plastic bags over the mitts. I am not sure how reliable the bags will be and I really want something I can rely on since my hands and feet get cold quite easily. Another First World problem. When we got home, Scott made Sloppy Joes, and we got into warm, dry clothes. A First World blessing.",,View Entry,"Jan 21, Sat",0
Raid,https://www.trailjournals.com//journal/entry/553661,"When people ask what I am doing in preparation for my hike, I explain it is a mixture of hikes, treadmill workouts and PT exercises to strengthen my legs. I found this photo on my friends calendar and decided it looks like how I feel when I work out.",,Work outs,"Jan 22, Sun",0
Raid,https://www.trailjournals.com//journal/entry/553789,"I have had a few people ask about my name.Scott and I live a few miles from MuddButt (class of 2003) and she agreed to meet with us and talk Trail. She comes from a family of Violin Makers, their shop is in an old home with wide baseboard and window moldings, it comes complete with squeaky hardwood floors that are beautiful. Violins and other stringed instruments adorn the walls.MudButt is a natural story teller and kept us mesmerized with her stories of the trail. As she talked, she mentioned that people pack their fears. I told her if that is true then I need to pack a can of Raid. She replied if I did, people would call me Raid. She continued on with her story for about ten minutes. She stopped, looked at me and said, ""Raid wouldn't be a bad trail name."" About ten minutes after that she asked if I was going to accept the name.I am arachnophobic. Lizards and snakes don't bother me so much, but spiders paralyze me. Along that note, tomorrow, I am sending my clothes to Insect Shield (www.insectshield.com) They will treat my clothes with permethrin and the treatment will last 70 washings as opposed to 6 if I do it myself, which will pretty much take me through my hike. Some people say that wading in streams with clothes treated this way will poison the water. I spoke with the people at Insect Shield and in its wet form, before it is applied and dried, it is toxic. Once it is dried, it is not. It does slowly break down, but it is the agitation of the wash machine that breaks it down, not wading in the streams. So, I am going to use this in hopes of keeping ticks, spiders, flies and mosquitoes away from me. My husband has a hat treated with this and it works incredibly well. If you are interested in doing this, you can download the order form from their web site. I have called them twice with questions and they are very gracious and will answer all of your questions.I have no affiliation with them.",,Trail Name,"Jan 25, Wed",0
Raid,https://www.trailjournals.com//journal/entry/553907,"Gypsy J was coming through town and planned on stopping by. I asked if she could teach me to upload photos. She clearly has more technology skills than I. So, this is a practice photo. Thank you Gypsy J!",,Gypsy J to the rescue,"Jan 28, Sat",0
Raid,https://www.trailjournals.com//journal/entry/554014,"Tomorrow, it becomes official, I am going to hike the trail. Official in the manner that I am going to give my notice at work. Giving my notice is going to be very difficult to do. It isn't that they don't know about it, I let them know of my plans three years ago, but to be fair, none of the current management staff were in their positions three years ago, a fact that Lisa, my Supervisor reminds me of. Lisa would like me to give them six more months notice. She has a great sense of humor! But I secretly kind of wonder if she isn't serious. Lisa will someday hike part of the trail with me, I will carry her little babies if needed to make it happen. Our Management has very good to me, especially when accommodating my schedule. I am a person that needs a full time job but also needs lots and lots of vacation. Vacations take money, so I work, then when I have money, I want to vacation, it's a vicious cycle. I am sure I need some type of therapy for that. They put up with my ""this would work so much better if we did this.."" ideas, which I am sure every member of management hears so often from people who really have a very small view of the big picture. But they humorously listen to me and kindly let me go back to doing my job, and I appreciate that because I really need the job. Our Management has been very supportive of my hike and in fact, gave me their own trail name, ""Three Toes,"" which I actually like but I already have a trail name. I wonder if they were thinking I should give my second personality a trail name all her own? I don't really know if I have two personalities but I found you can get away with lots of things at work if you blame it on your other personality. I probably need some kind of therapy for that too.",,It's official,"Jan 31, Tue",0
Raid,https://www.trailjournals.com//journal/entry/554047,This is the view I am giving up. No doubt i will see many more views just as pretty. I actually wanted to practice down loading another picture. Please bear with me.,,View from my desk,"Feb 01, Wed",0
Raid,https://www.trailjournals.com//journal/entry/556709,"I have always thought it was important to have an annual physical, well OK, I didn't always think that, but as I age, I understand the importance of it. The problem is, that while I think I am doing fine, my Doctor always finds some things to tweek and tune, she reminds me of my mechanic, he always finds SOMETHING that needs fixing on my car. This year, my labs came back goofy (I am certain this is a real medical term) and I needed to visit a Specialist. I of course, have this hike pending and need the Specialist to see me ASAP. Specialists don't know what ASAP is. The day I am to see the Specialist, he is sick. Should I be concerned about being treated by a Doctor that is sick?? Maybe, but at this point I am desperate so I am more than willing to see his nurse. She was less impressed with my desire to hike and more impressed with my medical history and lab results and determined I needed a battery of tests, none of which is done ASAP. As a matter of fact, one of the tests was done on the very day I was to start my hike.The results are not what I wanted to hear, it is not a perfect scenario but it could be worse. Now, this issue concerns my liver. It was not caused by alcohol (I am taking the Specialists and Pathologists word on this) but I decide to have a little fun with our Pastor. I tell him the Doctor told me that our church cannot have communion every Sunday as it is bad for my liver. (We are Lutheran and communion takes a long time, I'm thinking, if we have communion just every other Sunday, that leaves us more time for cookies and coffee and every Lutheran knows cookies and coffee are worth their weight in gold.) Without missing a beat, Pastor Zach says, ""Well Cheri, if you wouldn't hang on to the Chalice so long and and let it go sooner, you wouldn't have this problem!"" For the record, the Specialist has cleared me to hike so I will be out there, albeit a little later than planned, probably doing some type of flip flop to make it all happen, but I know now, I am lucky to even be able to attempt this.",,Words of Wisdom from Pastor Zach,"Mar 17, Fri",0
Raid,https://www.trailjournals.com//journal/entry/558838,"We decided it would relieve some pressure if I started at Winding Stair Gap. The first day was emotional, but I found out i could not cry while hiking up hill. So i just kept hiking. I met a man who I hiked with for a small part of the day. At a big hill, I took a break and he went on. Then i met Concrete, a man from Racine, WI. We hiked off and on together that day. We hung our bear bags together that night. My filter quit working the first day, i was panicked and called Scott. He calmly told me to ask another hiker for help. Concrete helped me back flush it. It was limping along but I decided to replace it at the NOC.","Winding Stair Gap
",Wayah Bald Shelter,"Apr 01, Sat",0
Raid,https://www.trailjournals.com//journal/entry/558883,"I'm still not able to figure how to add mileage in but when I do, it will get updated.First, going into the NOC ended up being a bit treacherous. Gypsy J said it was dangerous and going up out of NOC was brutal. I don't think she exaggerated. A short time after I packed up leaving Wesser Bald Shelter, it started to rain. It was about 60 degrees and I was heading to the NOC so I didn't put on rain gear. It was raining pretty good when I got to the Jump Off. Its a place in the trail where the trail goes 180 degrees in the other direction and if you dont go in that direction, its a cliff. Its a pile of rocks. It looked more like a fall off place if you weren't careful. I couldn't get pics as it was raining. I ended up having to scoot down on my butt. The trail quickly goes into a hair pin turn. I promptly fell. In my dramatic brain, I envisiobed only 2 inches of teail between myself and falling over the cliff. When I recovered, I realized I had a couple of fwet before I would fall off. As I hiked on, it continued to rain. I caught up with Concrete. He fell 3 times, each time he was able to fall inland rather than over board. We both ended up slowing down. Got into the NOC and checked in. Even though we were all wet and muddy, they were happy to see us. Met some very nice women in my bunk house. It is worth the 20.00 to stay there. Going up the next day was as Gypsy J said, beutal. I'm quit certain I have left a lung back there somewhere. The climb didn't really end until almost to camp. I don't think I did too badly for my 4th hiking day. However, I would not recommend starting there. I did have lunch at a pretty site. I will try to pist the pucture of the view.","Wesser Bald Shelter
",NOC,"Apr 03, Mon",0
