Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Running Nose,https://www.trailjournals.com//journal/entry/611622,"Here is my planned itinerary.
Based on my last section hike this will probably evolve into something very different as my hike progresses, but hey, you got to start somewhere!  If things go great I could make it to Duncannon, PA which would be about 125 miles total.  I wouldn't bet your life on it though.  This plan seems pretty reasonable considering my past hiking trips and current fitness level.
BTW, this image is the cover of a book by Gary Sizer based on his thru hike of the AT.  I've listened to the book on audio a couple of times through.  Very enjoyable.  I'd recommend it.


Day   DateAT MileDaily Distance  Total Distance Location0   1025.5   00Harper's Ferry1Sat 5/18   1031.8   6.36.3Ed Garvey Shelter2Sun 5/19   1042.7   10.917.2Dalgren Backpack Campground3Mon 5/20   1051.9   9.226.4Pogo Memorial Campsite4Tues 5/21   1061.5   9.636Raven Rock Shelter5Wed 5/22   1071.1   9.645.6Deer Lick Shelters6Thurs 5/23   1081.3   10.255.8Rocky Mountain Shelters7Fri 5/24   1090.2    8.964.7Tent site8Sat 5/25   1100.5   10.375Tom’s Run Shelter9Sun 5/26   1111.4   10.985.9James Fry Shelter10Mon 5/27   1123.3   11.997.8Parking (Boiling Springs)",,View Entry,"Apr 27, Sat",0
Running Nose,https://www.trailjournals.com//journal/entry/612273,"It’s been almost a year since my last overnight backpacking trip so I am doing a little overnight, out-and-back trip to shake off the cobwebs and make sure my gear is all still in working order.  I’ve planned a 12.9 mi hike (each way) on the AT just north of Duncannon, PA. I’ll start at Peters Mountain Rd trailhead (AT NoBo mile 1157.1) aiming to camp at the intersection of the Horsehoe Trail with the AT. 
I got my stuff sacks all packed and my backpack ready to go last night.  I picked up a few last food items and found my missing headlamp today and I'm ready to go first thing tomorrow morning.  My pack weighs in at 29.2 lbs without water.  
Weather reports are not great. 30% chance of showers Saturday with 100% chance of rain overnight, then 70% chance of rain Sunday.  On the bright side, it’s good weather to test my gear and prep!",,View Entry,"May 03, Fri",0
Running Nose,https://www.trailjournals.com//journal/entry/612424,"It thunder-stormed last night and was raining off and on as I drove the 50 minutes from home to the Peters Mt parking lot for my 12.9 mile (each way) out-and-back overnight shakedown hike on the AT.  The rain stopped as soon as I hit the trail and didn’t return.  A great stroke of luck.
 I strapped on my pack around 8:30am, stopped at the Peters Mt Shelter to take a quick break and use the privy around 9:30am, stopped for lunch and rest around 12, descended to Clark Creek and began the 1,100ft ascent to my campsite arriving around 4:00pm.
That’s 12.9 miles in 7.5 hours or about 1.75 mi/hr with breaks included. Not too shabby (for me).
As I write this at 7pm it has started drizzling. There are two thru-hiker couples camping here tonight as well as a guy my age on a section hike. One of the couples are both dressed in purple head-to-toe and are sporting purple gear. Awesome!  I think they may be calling themselves the purple people. 
So far I’m feeling fine and the feet are both okay - just a little sore but no blisters.  Hopefully the trend continues on my way back out tomorrow.
Forecast is for rain this evening and tomorrow morning.  Yeah. I get to test out the hammock and rain gear. This IS a shakedown hike after all!",,View Entry,"May 04, Sat",0
Running Nose,https://www.trailjournals.com//journal/entry/612587,"Last nite the purple people couple graced the campsite with some absolutely  beautiful music.  He played a ukulele (I think) and she played a small zylaphone and sang.  What a treat to have on the top of a mountain on the AT!
It rained pretty steadily all night but I slept well in my hammock with my earplugs, eventually climbing into my sleeping bag to ward off a bit of chill.  The rain continued unabated through most of the day.
I ate breakfast and was packed up and on the trail by 8:30am to head back to my car.  I took a few short breaks along the way, stopped to filter some water, ate lunch and took my last break at Peters Mountain shelter.  There I met a section hiker who had come from Harpers Ferry WV (the starting point for my upcoming section hike).  He was spending a month on the trail.  I also met a thru hiker- Forget-Me-Not - who uses a Hennessy Hammock like me.  He was in the shelter updating his journal on www.trailjournals.com  I’ll have to check it out.
Soon after leaving the shelter I met a thru hiker named Good Samaritan.  He advised me to always remember ABCDEFGH - Always  Be  Chewing, Drinking, or Eating For a Good Hike!  He had lost 20lbs so far, but true to his credo he was chowing down on a sports bar when we met.
I arrived back at my car at 4:30pm - 12.9 miles in 8 hrs or 1.6 mi/hr with breaks included. A little slower than yesterday but with the rain I found I had to check my speed on large flat rocks to avoid slipping.  And there were no shortage of those on this section of trail.
Overall I am pleased with the way my gear performed.  My Tulley Airflo hat did eventually get soaked by the afternoon and occasionally water dripped in my eyes - wipe forehead with bandana, problem solved (for awhile anyway).  The temps were cool enough that I did not get sweaty in my REI rain jacket.  My mid calf gaiters kept the bottom of my pants dry and mud-free.",,View Entry,"May 05, Sun",0
Running Nose,https://www.trailjournals.com//journal/entry/613750,"... and all through the house, 
my  gear was scattered like crumbs by a mouse. 
I gathered my things all into my pack,
and weighed them to see if it would all break my back!  
I went through my list and checked it all twice,
and prayed that the weather would be very nice!
At last I sat down to update my journal,
Looking forward to trail angels and woodlands most vernal.
Well, my full pack weighs in at 34 lbs with no water - 7.6 lbs is my food bag packed for 5 days.  I have a mail drop to resupply at what I expect will be my halfway point.
Tomorrow morning my wonderful wife and I will head to Harpers Ferry.  We plan on doing a bit of horseback riding at a nearby establishment, http://www.elkmountaintrails.com/, and visit the ATC headquarters in Harpers Ferry.  Then she’ll head home and I’ll hit the trail north.  Can’t wait!",,View Entry,"May 17, Fri",0
Running Nose,https://www.trailjournals.com//journal/entry/613869,"From Harpers Ferry, WV (AT mile 1025.5) to Ed Garvey Shelter (AT mile 1031.8).
As I write this it is almost 10pm. Well past hiker midnight as they say on the trail. So I will try to keep it brief. 
Carrie and I had a great day today. We arrived in Harpers Ferry a little after 10am and visited the ATC headquarters. I got my picture added to the book of 2019 AT hikers. Then we did some horseback riding. I hadn’t rode a horse in 45 years - man I’m getting old!  But that was great fun.
We headed back to Harpers Ferry around 2:30pm for a late lunch.  Harpers Ferry was really packed with humans. We were both a bit hangry but eventually got some food and coffee and things were right with the world again. 
Carrie dropped me off at the old arsenal building which is right were the AT crosses the Potomac River, we said our goodbyes and I hit the trail!
The first four miles of the trail heading north from Harpers Ferry follow the old historic C&O Canal trail. This is probably the easiest four miles of the entire 2,200 mile AT!  Perfectly level and paved with finely crushed and compacted gravel it was a dream to walk on I did it in about 50 mins or about 4.8 miles per hour!
Needless to say my pace slowed to a crawl when the trail turned into the woods and began climbing about 1,000ft over a mile and a half.  Maybe the horseback riding had tired me out, but for whatever reason my butt was dragging when I reached my destination for the night - Ed Garvey Shelter around 7pm.
The water source for the Shelter is a nice piped spring, but the side trail to it leads seemingly all the way back down to the bottom of the mountain!  Still, it was a lot easier to do without a pack on.
There are some Boy Scouts here tonight and they started a smokey fire, the smoke from which has decided to follow the prevailing winds right into my hammock!  My eyes are burning.  Hopefully the darn thing will burn itself out soon!
I’m sleeping without my rain fly tonight.  The weather report looks okay but you never really know.  Guess I'll find out if I wake up to rain drops!  Good night all.","Harpers Ferry WV
",Ed Garvey Shelter,"May 18, Sat",6.30
Running Nose,https://www.trailjournals.com//journal/entry/613952,"From Ed Garvey Shelter (AT mile 1031.8) to Dahlgren Backpackers Campground (AT mile 1042.7).
I woke around 6:30am today.  I had my trail breakfast- a cliff bar and a vanilla protein shake with a packet of Starbucks instant coffee. Shaken, not stirred. No olives. ;)
I was all packed up and on the trail with two liters of water by 7:30am. The morning was cool and misty at times but no rain. Most of the morning was spent hiking with a tall natural wall of huge stones about 100ft off the trail to my right. Pretty cool. 
I stopped at a nice outlook with an unobstructed view of the mountain I had just hiked earlier.  There I ate a lunch of turkey jerky and did some blister foot care. 
My feet are beginning to slow me down today.  
The afternoon was sunny with cotton ball clouds and temps in the high 80s.  Humidity was not bad and it was cooler under the trees, which is where I was 90% of the time. 
The trail today was rocky in most places with a few muddy section mixed in just to prevent boredom. 
Early in the day I passed through Maryland’s Gathland State park and took advantage of the public restrooms and water to top off my water bottles. I saw a guy in a confederate civil war uniform walking through the parking lot. Throughout the day I would hear the boom of a large cannon. There must be weekend re-enactments going on. There are a good deal of civil war battlefields in the area. 
I arrived at Dahlgren Backpackers Campground around 2:15pm. My body was ready to keep going but my feet objected strenuously. I set up camp and took a little nap. 
It turns out my feet made a good call. There is a fancy restaurant a short walk from the campground - South Mountain Inn - that doesn’t turn away stinky hikers. I had an early dinner of crab soup, chicken saltimboca, fettuccini Alfredo, and a nice berry pie with ice cream. This hiking deprivation is really hard!  ;)
It’s 7:20pm as I finish writing this journal entry. Weather tonight is calling for a chance of thunderstorms. I have the rainfly up over my hammock and I am listening to the birds and occasional thunder in the distance.  Nice.","Ed Garvey Shelter
",Dahlgren Backpackers Campground,"May 19, Sun",10.90
Running Nose,https://www.trailjournals.com//journal/entry/614048,"From Dahlgren Backpackers Campground (AT mile 1042.7) to stealth camp beyond Pogo Memorial campsite (AT mile 1053.9).
I was on the trail by about 9am this morning after breakfast and some foot care. 
The trail passed thru Washington Monument State park early on.  I took advantage of the restrooms and water. Unfortunately the monument was closed. Looks like they’re doing some maintenance on it.  FYI  this was the original monument before they built the one in D.C.
It was slow going in the morning, the Tylenol I packed was not taking the edge off my blisters. At the intersection of route 40 I got a Lyft ride to a local Sheetz and picked up the last bottle of Ibuprofen they had. The driver was great. Let me charge my phone and waited to give me a ride back to the trail. I was sitting by the side of the road getting my stuff in order when I realized I left my phone in his car!  Aaaaah!  30 seconds later he was back to return it.  Lucky me!
A couple of ibuprofen did the trick and I was moving with just a bit of discomfort to remind me to not over do it. 
I uploaded a lot of photos today. Check them out if you’re curious. 
At one point today the AT actually ran through someone’s backyard before crossing the six lane divided I70 highway on a footbridge. Crazy!
Soon after I came across what is called Trail Magic by the hiker community. Some kind soul left a large container full of individually packaged snacks for AT hikers to take just because.
I climbed up, up, up, and took a short side trail to visit Annapolis Rocks which is a rocky and precipitous drop off with some pretty views.  I ate lunch and watched the young day hikers take selfies near the edge.  Not me!
I reached my originally planned destination - around 3pm. Pogo Memorial  campsite. I cameled up with 4 liters of water and decided to continue on for a bit more.  The trail climbed to a rocky ridge line and I made it about 2 1/2 miles more before finding a spot I could set up my hammock around 5pm.
I fussed around picking a good site to tie up the hammock, making sure to avoid proximity to any widow makers (standing dead trees).  The wind has been blowing strong here tonight.
Finally I got settled in and had a nice dinner of pepper steak with rice, dehydrated of course, and hung my food bag out of the reach of any curious critters.
My hammock is set up on a ridge tonight not far from the trail. As I’m writing this I hiker Just passed by, I could hear the clicking of his trekking poles and see the beam of his headlamp in the darkness. Man!  I had a hard enough time getting over the rocks and boulders in the daylight!  Clearly he must have been a thru hiker. 
Good night all.","Dahlgren Backpackers Campground
",Stealth camp beyond Pogo Memorial Campsite,"May 20, Mon",11.20
Running Nose,https://www.trailjournals.com//journal/entry/614235,"[Cell coverage problem last night.  Couldn’t upload until today.  I have spotty coverage from motel now.  Photos may have to wait for better coverage area]
From stealth camp beyond Pogo Memorial Campsite (AT mile 1053.9) to Falls Creek campsite (AT mile 1066.9).
Last night after I updated this journal, three more hikers speed by in the darkness with their headlights blazing. The last was singing at the top of her lungs, oblivious to my presence!  Awesome!  [Post edit:  These people were likely AT thru hikers doing the 4 state challenge.  The AT passes through four states - VA, WV, MD, and PA - in 40 some miles.  Some hikers try to do these miles in a single 24 hour period - the four state challenge.]
I didn’t sleep well with the blowing wind snapping my rain fly like flag in a gale, even with my ear plugs.
It got a bit chilly too. I have a sleeping bag rated for 15 degrees Fahrenheit. That means that you won’t die from hypothermia at that temp, not that you’ll be toasty warm. I wasn’t shivering or anything but I could feel the cold on the bottom of my bag from contact with the hammock. Wind chill!
I got up and was packed and on the trail by 7:30am.  I passed through lots of different landscapes today: Boulder scrabbles, rocky stretches, stream crossings, large rock formations, grassy meadows, parks, road crossings, railroad tracks, and even around residential houses!
I stopped for a morning break at Ensign Cowall Shelter and ate lunch at the Cascades - a small waterfall streaming down a rock wall with all kinds of big rock formations in the area. 
I met “Sharp Shin” today.  He is a SoBo (south bound) thru hiker. I believe he may have a trail journal online. I’ll have to check it out. 
I made to Pen-Mar Park for dinner near the MD-PA border.  I was motivated by the prospect of takeout food delivered to my park bench and I practically ran the last mile, arriving around 5pm. Indeed it was not just a fevered hiker dream, 40 minutes later I had a meatball parmigiana sandwich, a coke, and a hunk of cheese cake. They forgot napkins and a fork, but hey, I have two hands and i was not going to be deterred. 
I had a nice conversation with an older guy in a golf cart who was apparently a park custodian. We compared dinners. He had a apple and a yogurt. I think I won!  After scarfing down that heavenly mana, I headed to the restrooms to fill my water bottles and was back in the trail by 6pm with just a mile to go for my destination for the night. 
I crossed the Mason-Dixon Line and was at the Falling Creek campsite by 6:30pm. My hammock was strung up and my bear bag was hung and I was settling down for the night when I realized I had left my water bottles back in the restroom at Pen-Mar Park!  Crap!!!  I strapped on my considerably lighter backpack, grabbed my trekking poles and hoofed it back over the state line as fast as my weary legs would move. 
I did it in 15 minutes this time and it was mostly up hill!  I arrived at the park restroom just as the old caretaker was getting ready to lock it up for the night!  Whew!  Crisis averted.
Back across the state line to PA.  An extra 2 miles today that don't count spent running in circles.","Stealth camp ~2 mi N of Pogo Campsite
",Falls Creek campsite,"May 21, Tue",13
Running Nose,https://www.trailjournals.com//journal/entry/614267,"From Falls Creek campsite (AT mile 1066.9) to Rattlesnake Run Road (AT mile 1073.9).
I slept well last night but it was a bit chilly - probably low 40’s. Because of the cold air on the hammock surface my bottom half was a bit chilly while my topside was toasty warm. I have a reflector insert for the hammock for just these conditions. It’s back home right now because I thought we would be getting lows in the mid 50’s at worst. Oh well.  ;)
I was packed up and on the trail around 7:30am. I am planning a short day today so I can catch a ride to the Fayetteville P.O. to pick up my resupply box and get a motel room for the night. 
My feet are doing a little better today. But it still takes a morning “tune up” to get my blisters in the mood for hiking. I start out gingerly stepping, leaning heavily on my trekking poles, hobbling down the trail but I slowly pick up speed. After a bit of moving the blisters seem to realize that nobody is listening and they quiet down for the ride.  At this point, going up is much easier on the feet than the pounding associated with the downgrades. If I stop for any length of time I have two begin this training process again from the start.  But enough whining.
The woods of southern PA have a subtle uniqueness to them that speak of home to me. It is really beautiful to just walk through the hemlocks and pines listening to nothing but the birds and occasional  burbling water. The constant creaking of your pack straps and the sound of stones crunching under feet fade into the background. You can really zone out. Like, woah dude. Totally. ;)
When I reached PA route 16 I had to wait for the right moment and dash across Frogger-style to avoid the cars and trucks barreling down the road in both directions!
Soon after I passed through a picturesque thicket of mountain laurel and stopped to get water at a nearby spring around 9:30am. 
I passed through a few muddy sections today but on the whole the path I walked had a healthy portion of relatively smooth trail.  A nice change from the previous day in Maryland. 
I arrived at the AT trailhead on Rattlesnake Rd near the Old Forge picnic area around 11:30am. This was the spot I had planned to get get off the trail and get a ride to Fayetteville for the night. My cell coverage hovering between one and two bars. My phone battery was at 18% and dropping. Not great but good enough to get a ride, right?  After screwing around with the Lyft and Uber apps for 20 mins and finding neither had any drivers available, I tried several of the shuttle services listed in the AT Guide, but all where too far away to be feasible. Around 12:30 I decided I was out of alternatives. 
Hmmm. I’ve never hitch hiked before, but there’s gotta be a first time for everything, right?  The percentage of the population that drives around on backwoods roads looking to due harm a to stranger they might encounter has got to be pretty low, right?  Heck, the number of strangers said deviant might encounter on such outings has got to be so low as to cause said deviant to look for more fruitful pastures, right?
With no other recourse, I started hoofing it up the road in the direction I wanted to go and turned around and stuck my thumb out whenever I heard a car approaching. Several passed before a young lad stopped to give me a ride. He said he liked to drive the winding roads in the area listening to music on his lunch break. He took me a ways up the road before he had to drop me off so he could get back to work. 
More hoofing it with occasional backwards walking smiles and outstretched thumb for passing cars. Eventually a car passed but slowed and stopped down the road. I ran up the road to greet them. They said they could drop me off at route 30 but were heading east from there. They wanted to know if I was an ax murderer and I laughingly said no.  As we conversed about hiking, family, home, and the AT the two sisters eventually decided to go out of their way to take me to the Fayetteville P.O., and since I was staying at the Rite Spot Motel (Scottish Inn) we passed on the way to the P.O. they offered to wait and drop me off at the motel because they were heading that way also. They refused any money for gas. There are some very generous people out there. Thanks ladies. 
I was at the motel by 1:30pm. I immediately got a nice long shower and cleaned up. The motel washed my stinky laundry for 10 bucks and delivered it to my room.  They will probably shuttle me back to where I got off the trail today, but still waiting to hear on that. Nice. 
I’m having trouble with the motel WiFi and AT&T cell data coverage here so I haven’t been able to upload any pictures from yesterday or today. 
I ordered a pizza and I’m going to watch some TV while I go thru my resupply box.  Good night folks.","Falls Creek campsite
",Rattlesnake Run Road,"May 22, Wed",7
